 , C00, C01, C02, C03, C04, C05, C07, C10, C11, C12, C17, C21, C23, C40, C43
Time(s)/Cell Status, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted
85.8, 40.30102, 76.67581, 38.39087, 40.91293, 1407.152, 33.7016, 1195.208, 5.008134e-05, 6.540645, 1844.701, 60.22873, 0.01569938, 150.3849, 377.3048, 36.85973
85.90000000000001, 38.14307, 113.9153, 35.69064, 38.62318, 1285.458, 30.87533, 1201.515, 4.75491e-05, 6.276251, 1803.027, 55.5175, 0.01498658, 139.8063, 358.9124, 34.04451
86, 36.10067, 108.1688, 33.18032, 36.46157, 1301.412, 28.28607, 1131.248, 4.514489e-05, 6.022545, 1717.347, 51.17479, 0.01430614, 129.9719, 341.4166, 31.44431
86.09999999999999, 34.16764, 102.7123, 30.84657, 34.42095, 1188.862, 25.91395, 1160.415, 4.286225e-05, 5.779094, 1635.739, 47.17178, 0.0136566, 215.9185, 324.7736, 29.0427
86.2, 32.3381, 97.53094, 28.67696, 32.49453, 1086.046, 23.74076, 1108.392, 4.069502e-05, 5.545485, 1653.197, 43.48189, 0.01303655, 200.7301, 308.9419, 26.82452
86.3, 30.60653, 92.61099, 26.65996, 30.67593, 992.121, 21.74982, 1043.571, 3.863738e-05, 5.321318, 1661.778, 40.08064, 0.01244465, 186.61, 293.8819, 24.77575
86.40000000000001, 67.83556, 87.93923, 24.78482, 28.95911, 906.3195, 19.92585, 982.5403, 3.668377e-05, 5.106214, 1582.81, 36.94543, 0.01187962, 173.4833, 279.5561, 22.88347
86.5, 64.20325, 92.75603, 23.04157, 167.6031, 827.9382, 18.25483, 1161.598, 3.482894e-05, 40.08571, 1507.595, 34.05548, 0.01134025, 161.2799, 265.9286, 21.13571
86.59999999999999, 60.76544, 91.81809, 21.42093, 158.2229, 765.0319, 16.72395, 1105.815, 3.30679e-05, 38.46532, 1606.613, 31.39158, 0.01082537, 149.9349, 252.9654, 19.52143
86.7, 57.51171, 87.18633, 21.33598, 159.4677, 783.0205, 15.32145, 1154.133, 3.13959e-05, 36.91042, 1573.341, 28.93606, 0.01033386, 139.388, 240.6341, 18.03045
86.8, 54.4322, 82.78821, 19.83531, 150.5429, 715.3026, 14.03657, 1153.539, 2.980844e-05, 35.41838, 1591.398, 26.67261, 0.009864672, 129.583, 228.904, 16.65335
86.90000000000001, 51.51759, 78.61195, 18.44018, 142.1176, 653.441, 12.85944, 1142.112, 2.830125e-05, 33.98666, 1675.287, 24.58622, 0.009416785, 120.4677, 217.7456, 15.38142
87, 48.75904, 74.64637, 175.2535, 134.1637, 596.9295, 11.78102, 1075.319, 2.687026e-05, 32.61281, 1595.677, 22.66302, 0.008989234, 111.9936, 266.7569, 14.20664
