 , C00, C01, C02, C07, C08, C09, C13, C19, C22, C23, C30, C32, C34, C49
Time(s)/Cell Status, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted
388.3, 1540.448, 11.68423, 612.5004, 0.5790717, 3.483656e-06, 1378.834, 0.9811946, 4.789406e-06, 6.199285, 810.7906, 1485.603, 32.0294, 17.18499, 182.2868
388.4, 1480.619, 11.00165, 722.749, 0.5537802, 3.334265e-06, 1479.421, 0.9309249, 4.478379e-06, 5.786879, 764.5968, 1398.99, 29.98205, 16.11769, 171.247
388.5, 1406.053, 10.35895, 712.7672, 0.5295933, 3.191281e-06, 1442.359, 0.8832307, 4.187551e-06, 5.401907, 721.0349, 1373.611, 28.06557, 15.11668, 160.8757
388.6, 1344.88, 9.753798, 679.0943, 0.5064629, 3.054428e-06, 1514.733, 0.83798, 3.915608e-06, 5.042547, 679.9548, 1293.527, 26.27159, 14.17783, 151.1326
388.7, 1277.15, 9.183994, 647.0123, 0.4843427, 2.923444e-06, 1459.236, 0.7950477, 3.661327e-06, 4.707092, 641.2152, 1286.192, 24.59228, 13.2973, 141.9796
388.8, 1405.734, 8.647478, 616.4459, 0.4631886, 2.798077e-06, 1415.945, 0.754315, 3.423558e-06, 4.393954, 704.5123, 2139.064, 23.02032, 12.47145, 133.3809
388.9, 1334.94, 8.142304, 587.3235, 0.4429584, 2.678086e-06, 1388.495, 0.715669, 3.20123e-06, 4.101647, 680.4547, 2273.667, 21.54883, 11.69689, 125.3029
389, 1267.711, 7.666642, 605.818, 0.4236118, 2.563241e-06, 1312.151, 0.6790031, 2.99334e-06, 3.828786, 641.6866, 2330.721, 20.17141, 10.97044, 117.7142
389.1, 1203.868, 7.218768, 607.7124, 0.4051102, 2.453321e-06, 1365.404, 0.6442156, 2.798951e-06, 3.574076, 605.1273, 2194.835, 18.88203, 10.28911, 110.5851
389.2, 1276.532, 6.797057, 579.0026, 0.3874166, 2.348114e-06, 1398.324, 0.6112105, 2.617186e-06, 3.336312, 633.4573, 2282.531, 17.67507, 9.650086, 103.8877
389.3, 1221.67, 6.399982, 551.6492, 0.3704958, 2.247419e-06, 1321.439, 0.5798963, 2.447224e-06, 3.114364, 597.3669, 2269.782, 394.7201, 9.050754, 97.59598
389.4, 1256.84, 6.026104, 525.588, 0.3543141, 2.151042e-06, 1334.907, 0.5501864, 2.2883e-06, 2.907182, 563.3326, 2137.449, 369.4892, 8.488644, 91.68527
