 , C000, C001, C002, C003, C004, C006, C009, C013, C017, C019, C020, C023, C030, C040, C047, C049, C069, C071, C112
Time(s)/Cell Status, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted
175.4, 114.5364, 71.53313, 438.0293, 68.88277, 254.3483, 191.1516, 1151.296, 645.2892, 651.7604, 232.5111, 627.5557, 58.26257, 564.0019, 1042.781, 878.2711, 261.379, 669.3801, 578.3518, 1574.834
175.5, 108.5993, 67.8362, 416.2366, 65.13546, 406.7101, 180.309, 1189.927, 636.9204, 620.8046, 218.2987, 591.694, 54.55721, 551.7625, 1157.89, 986.2313, 243.4658, 636.2606, 568.5921, 1527.152
175.6, 102.9699, 174.8081, 468.6425, 61.59201, 467.9547, 170.0814, 1243.51, 607.0904, 591.3192, 204.955, 624.7239, 51.08751, 525.9982, 1104.769, 938.183, 226.7803, 604.7797, 578.9315, 1535.712
175.7, 97.63239, 165.7738, 445.3268, 58.24132, 601.9648, 160.434, 1204.135, 578.6575, 563.2341, 192.4269, 589.024, 47.83846, 501.437, 1235.836, 892.4755, 211.2384, 589.7127, 545.3947, 1468.187
175.8, 92.57151, 157.2064, 423.1711, 55.07292, 742.0764, 207.0103, 1221.607, 551.5562, 623.2415, 180.6647, 555.3643, 44.79605, 478.0226, 1229.416, 848.9948, 196.7615, 560.535, 605.68, 1504.101
175.9, 87.77297, 172.8457, 446.3389, 52.07688, 963.9814, 195.2681, 1161.923, 525.7242, 593.6403, 169.6214, 523.6281, 41.94713, 570.2668, 1173.013, 869.9399, 183.2768, 611.0981, 599.196, 1437.965
176, 83.22317, 262.1541, 424.1328, 49.24383, 902.3322, 184.1921, 1153.648, 501.102, 628.2322, 159.2531, 493.7054, 39.27939, 543.6384, 1119.198, 898.5278, 170.7163, 617.4785, 564.4854, 1374.738
176.1, 78.90921, 248.6056, 403.0315, 46.5649, 966.3141, 196.4024, 1097.284, 477.633, 606.023, 149.5186, 465.4926, 36.78131, 518.2535, 1067.852, 1011.427, 159.0166, 602.5926, 531.7854, 1314.29
176.2, 74.81887, 401.6762, 382.98, 44.03171, 904.5157, 185.262, 1099.185, 455.2632, 592.0138, 142.6622, 446.237, 34.44211, 494.0539, 1117.927, 962.1509, 148.1187, 572.7776, 500.9797, 1256.501
176.3, 70.94056, 380.9171, 363.9261, 41.63633, 846.6696, 202.445, 1122.812, 451.2382, 563.8958, 133.9418, 420.7368, 32.25167, 578.4316, 1123.484, 929.5804, 137.9676, 544.4377, 471.9586, 1251.448
