 , C02, C03, C05, C07, C11, C13, C15, C19, C22, C28, C30, C45
Time(s)/Cell Status, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted
59.5, 389.5404, 87.50063, 1.498186, 75.05464, 421.8338, 590.4738, 29.45747, 1154.773, 468.084, 357.4849, 1039.178, 1641.761
59.6, 369.3224, 83.28155, 1.407068, 71.64574, 398.876, 649.5846, 27.86425, 1098.308, 440.2672, 335.1972, 993.8917, 1594.392
59.7, 350.1537, 79.26591, 1.321492, 68.39166, 377.1676, 625.7424, 26.3572, 1181.571, 414.1035, 314.299, 950.5787, 1515.147
59.8, 439.9567, 75.44389, 1.24112, 65.28539, 356.6406, 689.6577, 24.93166, 1159.141, 389.4947, 294.7037, 909.1533, 1439.84
59.9, 486.1562, 71.80617, 1.165636, 62.32019, 337.2308, 789.7501, 23.58322, 1102.462, 366.3482, 276.3302, 988.2732, 1496.798
60, 460.9236, 68.34384, 1.094743, 59.48967, 318.8774, 814.6973, 22.30771, 1072.748, 344.5773, 259.1021, 945.2051, 1422.404
60.1, 675.4206, 65.04846, 1.028162, 74.40284, 324.141, 766.4464, 21.10118, 1085.242, 324.1002, 242.9482, 904.0139, 1491.181
60.2, 940.476, 67.95113, 0.9656302, 71.02354, 306.5, 749.5578, 19.95992, 1064.541, 304.8399, 227.8013, 864.6177, 1417.066
60.3, 891.6633, 64.67468, 0.9069015, 67.79772, 289.8191, 705.1649, 18.88038, 1034.681, 286.7243, 213.5988, 826.9384, 1346.634
60.4, 866.8875, 61.55622, 0.8517446, 64.71842, 288.1868, 663.4011, 17.85922, 984.0872, 269.6852, 350.1878, 790.9011, 1334.887
60.5, 821.8941, 58.58812, 0.7999423, 61.77898, 272.5025, 624.1108, 16.8933, 935.9678, 308.3933, 328.355, 864.8366, 1403.213
60.6, 849.8099, 55.76314, 0.7512906, 73.89954, 257.6718, 587.1476, 15.97962, 961.6116, 290.0665, 380.9135, 930.5139, 1435.259
60.7, 805.7029, 53.07438, 0.7055979, 70.5431, 279.1767, 597.6381, 15.11535, 1282.575, 272.8288, 409.2411, 889.9629, 1363.923
60.8, 809.8936, 50.51525, 0.6626841, 67.3391, 263.9828, 562.2427, 14.29783, 1421.347, 256.6154, 383.7266, 889.6627, 1296.132
60.9, 767.8583, 48.07953, 0.6223803, 64.28063, 249.6158, 601.5598, 13.52453, 1405.132, 355.77, 374.0222, 850.8919, 1317.979
61, 728.0048, 45.76125, 0.5845277, 61.36107, 236.0307, 565.9321, 12.79305, 1426.855, 389.008, 500.4717, 922.5684, 1312.485
61.1, 690.2198, 43.55474, 0.5489773, 58.57412, 223.185, 532.4145, 12.10113, 1376.22, 365.8904, 469.2693, 882.3636, 1247.251
61.2, 654.3959, 41.45464, 0.515589, 55.91374, 211.0384, 587.7944, 11.44664, 1402.764, 344.1467, 440.0123, 884.578, 1219.055
61.3, 620.4313, 39.45579, 0.4842314, 106.7043, 199.5529, 552.982, 10.82754, 1366.248, 323.6952, 412.5793, 846.0288, 1244.862
61.4, 685.9164, 60.30232, 0.4547809, 103.7796, 240.8339, 626.668, 10.24193, 1328.052, 304.459, 386.8567, 809.1596, 1182.989
61.5, 650.3159, 75.30415, 0.4271216, 152.4106, 253.7019, 589.5533, 9.687989, 1263.114, 286.3659, 424.1015, 821.3626, 1261.95
61.6, 616.5631, 73.11549, 0.4011444, 145.4882, 620.8156, 554.6367, 9.16401, 1262.594, 269.3481, 397.6605, 906.6151, 1199.228
61.7, 584.5621, 69.59003, 0.3767472, 138.8803, 624.7104, 521.7881, 8.66837, 1237.399, 253.3416, 372.868, 867.1056, 1139.624
61.8, 554.2221, 66.23457, 0.3538338, 132.5725, 590.7112, 575.5501, 8.199537, 1265.682, 238.2863, 349.6212, 829.3179, 1082.982
61.9, 528.6224, 117.1306, 0.332314, 126.5512, 567.0709, 541.4629, 7.756062, 1203.794, 224.1257, 327.8237, 793.1769, 1029.155
62, 649.2713, 111.4829, 0.312103, 120.8034, 536.2086, 509.3945, 7.336572, 1282, 210.8066, 307.3852, 788.7659, 978.0031
62.1, 615.5727, 147.6883, 0.2931212, 115.3166, 507.026, 537.0496, 6.93977, 1219.313, 198.2791, 288.221, 787.2457, 985.9656
62.2, 583.6231, 185.1306, 0.2752938, 110.079, 479.4317, 554.9995, 6.56443, 1159.692, 186.496, 270.2516, 752.9382, 1061.231
62.3, 553.3318, 176.2041, 0.2585507, 105.0794, 453.3391, 522.1293, 6.20939, 1125.498, 175.4131, 393.4629, 774.4344, 1008.486
62.4, 594.1377, 167.7079, 0.2428259, 100.3068, 428.6666, 491.206, 5.873552, 1116.506, 164.9888, 368.9321, 740.6852, 1004.744
62.5, 617.4574, 189.7568, 0.2280575, 95.75092, 405.3369, 462.114, 5.555879, 1066.214, 155.1841, 345.9307, 708.4067, 954.8054
62.6, 585.41, 180.6071, 0.2141872, 91.40202, 383.2769, 434.7451, 5.255386, 1033.714, 145.962, 324.3633, 677.535, 930.9569
62.7, 555.026, 171.8987, 0.2011606, 87.25063, 362.4174, 408.9971, 4.971147, 1085.447, 137.2879, 304.1406, 648.0085, 1095.522
62.8, 579.8275, 163.6101, 0.1889262, 83.2878, 342.6933, 384.7741, 4.70228, 1032.372, 129.1293, 285.1787, 668.9531, 1041.072
62.9, 549.7332, 155.7212, 0.1774359, 79.50495, 324.0425, 361.9856, 4.447955, 999.9884, 121.4556, 267.399, 732.4401, 989.3278
63, 521.2009, 148.2127, 0.1666444, 75.89392, 306.4069, 340.5468, 4.207386, 991.8751, 114.2379, 250.7277, 700.521, 940.1558
63.1, 494.1494, 141.0663, 0.1565093, 72.4469, 289.731, 320.3778, 3.979827, 969.6023, 163.5224, 307.6476, 669.9929, 1024.834
63.2, 468.502, 134.2644, 0.1469905, 69.15643, 273.9627, 329.2982, 3.764576, 922.1912, 153.8048, 364.4354, 729.0505, 1035.089
63.3, 444.1857, 127.7905, 0.1380507, 66.01542, 295.2805, 318.4956, 3.560968, 877.0983, 273.3526, 341.7143, 715.455, 983.6422
63.4, 466.2521, 163.2688, 0.1296546, 63.01707, 279.2101, 391.8322, 3.368371, 907.819, 332.2094, 378.5616, 684.276, 960.727
63.5, 442.0526, 155.3963, 0.1217691, 60.1549, 264.0144, 368.6258, 3.186191, 909.1539, 312.4672, 369.6551, 654.4558, 1004.326
63.6, 484.5874, 147.9035, 0.1143633, 57.42272, 249.6457, 346.7937, 3.013865, 864.6985, 293.8983, 346.6086, 625.9352, 954.4089
63.7, 459.4362, 140.7719, 0.1074078, 54.81464, 236.059, 326.2547, 2.850859, 1024.048, 276.4328, 462.0681, 678.3173, 1023.718
63.8, 499.8726, 133.9842, 0.1008754, 52.32502, 223.2118, 306.9321, 2.696669, 1196.559, 260.0053, 433.26, 691.894, 972.8365
63.9, 974.5941, 222.7143, 0.09474022, 49.94847, 211.0637, 288.7539, 2.550818, 1298.399, 244.554, 406.248, 661.7419, 924.4841
64, 1486.491, 211.9756, 0.08897821, 47.67986, 199.5768, 271.6523, 2.412856, 1389.707, 230.0209, 380.9201, 644.9443, 944.1251
64.09999999999999, 1554.667, 286.2975, 0.08356664, 45.51429, 207.6823, 255.5636, 2.282356, 1377.952, 287.6379, 357.1713, 616.8382, 897.1997
64.2, 1473.977, 272.4929, 0.0784842, 43.44708, 204.4442, 240.4277, 2.158914, 1340.62, 270.5445, 334.9031, 637.9916, 852.6067
64.3, 1397.474, 259.3539, 0.07371087, 41.47376, 193.3175, 226.1882, 2.042148, 1275.067, 408.0383, 340.2306, 610.1885, 1098.848
64.40000000000001, 1569.79, 246.8485, 0.06922784, 39.59006, 182.7964, 212.7921, 1.931698, 1212.719, 573.4907, 319.0186, 583.597, 1081.513
64.5, 1606.984, 234.946, 0.06501748, 37.79192, 172.8479, 200.1894, 1.827221, 1218.267, 539.41, 375.1991, 655.233, 1027.76
64.59999999999999, 1523.578, 223.6175, 0.06106318, 36.07545, 163.4408, 188.3331, 1.728395, 1186.258, 507.3546, 351.807, 626.6785, 1361.143
64.7, 1493.494, 212.8352, 0.05734938, 34.43694, 154.5457, 177.179, 1.634914, 1252.938, 477.2041, 329.8733, 599.3683, 1507.489
64.8, 1415.979, 202.5728, 0.05386144, 32.87285, 146.1348, 166.6854, 1.546489, 1243.242, 448.8453, 309.307, 573.2484, 1432.563
64.90000000000001, 1536.046, 192.8052, 0.05058564, 31.3798, 138.1815, 221.4906, 1.462846, 1182.451, 422.1719, 290.023, 643.7803, 1361.361
65, 1456.322, 215.8954, 0.04750907, 29.95456, 130.6611, 208.3727, 1.383728, 1147.563, 397.0835, 271.9412, 615.7249, 1293.698
65.09999999999999, 1380.736, 205.4855, 0.04461962, 28.59405, 123.5501, 223.1908, 1.308888, 1091.45, 452.763, 254.9868, 644.3221, 1453.055
65.2, 1309.073, 195.5775, 0.0419059, 27.29534, 157.6715, 209.9722, 1.238096, 1038.081, 518.8542, 436.6534, 616.243, 1500.801
65.3, 1346.914, 186.1472, 0.03935722, 26.05561, 149.0904, 197.5365, 1.171133, 1070.516, 488.0204, 409.4299, 589.3877, 1426.208
65.40000000000001, 1337.538, 219.0338, 0.03696356, 24.87219, 216.0384, 185.8373, 1.107792, 1096.375, 459.0189, 383.9036, 563.7027, 1355.322
65.5, 1291.196, 208.4725, 0.03471547, 23.74253, 251.0573, 174.831, 1.047877, 1042.765, 431.7408, 359.9688, 539.137, 1287.959
65.59999999999999, 1238.307, 198.4204, 0.03260411, 22.66416, 281.1855, 164.4765, 0.9912019, 991.7767, 406.0838, 337.5262, 515.6419, 1223.944
65.7, 1245.811, 188.8531, 0.03062116, 21.63478, 265.8823, 154.7353, 0.9375923, 943.2813, 381.9515, 316.4828, 564.1894, 1163.111
65.8, 1192.913, 179.747, 0.02875881, 20.65215, 251.412, 145.5711, 0.8868822, 1034.108, 359.2534, 296.7514, 539.6025, 1105.302
65.90000000000001, 1130.998, 211.9169, 0.02700973, 19.71415, 500.9734, 136.9495, 0.8389148, 983.5422, 337.9041, 278.2501, 516.087, 1050.365
66, 1155.112, 305.1248, 0.02536702, 18.81875, 496.9498, 128.8386, 0.7935417, 935.4495, 317.8235, 260.9024, 493.5964, 1087.217
66.09999999999999, 1265.233, 290.4124, 0.02382422, 17.96403, 469.9039, 121.2081, 0.7506226, 889.7083, 298.9362, 244.6362, 472.0859, 1033.18
66.2, 1199.565, 280.6813, 0.02237526, 17.14812, 444.3299, 114.0295, 0.7100249, 905.9279, 281.1714, 229.3841, 521.7602, 1023.935
66.3, 1137.305, 267.1475, 0.02101442, 16.36927, 430.063, 107.276, 0.6716229, 886.814, 264.4623, 215.0829, 587.1663, 1077.562
66.40000000000001, 1078.276, 254.2663, 0.01973634, 15.62579, 764.7737, 100.9226, 0.6352978, 935.6229, 248.7461, 201.6734, 588.4516, 1024.004
66.5, 1022.311, 242.0062, 0.018536, 14.91608, 723.1517, 94.94537, 0.6009375, 889.8733, 233.9639, 189.0999, 578.1141, 973.1086
66.59999999999999, 969.251, 326.2427, 0.01740865, 14.23861, 706.9443, 89.32219, 0.5684355, 926.864, 220.0602, 177.3103, 552.9203, 1008.571
66.7, 1066.523, 324.7372, 0.01634988, 13.59191, 697.4178, 84.03204, 0.5376915, 881.5427, 206.9827, 166.2557, 528.8245, 1027.794
66.8, 1226.123, 618.7992, 0.01535549, 12.97458, 659.4615, 79.0552, 0.5086102, 838.4374, 249.3154, 155.8903, 505.7788, 976.7103
66.90000000000001, 1162.485, 632.3943, 0.01442159, 12.38529, 623.571, 74.37312, 0.4811018, 797.4399, 234.4993, 146.1712, 483.7374, 1045.55
67, 1102.149, 635.9489, 0.01354448, 11.82276, 589.6339, 69.96833, 0.4550812, 758.4471, 220.5638, 137.058, 502.8345, 993.5839
67.09999999999999, 1044.945, 623.9735, 0.01272072, 11.28578, 557.5436, 65.82442, 0.4304679, 721.361, 207.4564, 128.513, 480.9214, 944.2003
67.2, 990.7105, 593.887, 0.01194706, 10.77319, 612.9367, 61.92594, 0.4071859, 686.0882, 226.8337, 120.5008, 484.2548, 968.1221
67.3, 939.2905, 565.2511, 0.01122045, 10.28389, 698.8773, 58.25835, 0.3851631, 652.5402, 487.0157, 112.988, 544.6534, 972.6198
67.40000000000001, 902.0406, 537.996, 0.01053803, 9.816801, 660.8416, 54.80797, 0.3643314, 686.212, 922.9141, 105.9437, 520.9178, 924.2781
67.5, 875.5821, 512.0551, 0.009897118, 9.370932, 624.876, 51.56194, 0.3446263, 830.6703, 913.8457, 99.33852, 498.2167, 878.3392
67.59999999999999, 871.7698, 487.365, 0.009295185, 8.945313, 590.8679, 48.50816, 0.3259871, 790.0526, 913.9557, 93.14517, 476.5048, 834.6836
67.7, 911.9155, 463.8654, 0.008729861, 8.539026, 558.7105, 45.63523, 0.3083559, 829.5988, 954.4462, 87.33795, 455.7391, 968.7216
67.8, 864.5851, 441.4989, 0.00819892, 8.151193, 528.3033, 42.93246, 0.2916784, 858.721, 988.1925, 81.89278, 435.8784, 953.6592
67.90000000000001, 819.7112, 420.2108, 0.00770027, 7.780974, 499.5509, 40.38977, 0.2759028, 816.7317, 929.4673, 76.7871, 416.8832, 906.2599
68, 777.1664, 399.9493, 0.007231947, 7.42757, 472.3634, 37.99766, 0.2609805, 776.7955, 951.2853, 71.99974, 425.9245, 944.3377
68.09999999999999, 736.8298, 380.6647, 0.006792107, 7.090217, 446.6555, 162.9508, 0.2468652, 738.8122, 894.7535, 67.51085, 407.3631, 897.4018
68.2, 698.5868, 362.3099, 0.006379017, 6.768187, 422.3468, 185.8086, 0.2335134, 702.6861, 867.12, 63.30182, 389.6106, 852.7987
68.3, 744.8232, 344.8402, 0.005991051, 6.460783, 399.361, 174.804, 0.2208838, 668.3265, 943.5721, 59.35521, 372.6317, 872.1996
68.40000000000001, 706.1652, 328.2128, 0.005626682, 6.16734, 564.8082, 164.4512, 0.2089372, 656.2408, 887.4986, 55.65466, 375.66, 867.4953
68.5, 695.3306, 312.3871, 0.005284472, 5.887226, 576.9481, 207.3006, 0.1976367, 668.5938, 834.7574, 52.18482, 432.143, 910.2188
68.59999999999999, 671.7125, 297.3246, 0.004963076, 5.619834, 610.9387, 195.0231, 0.1869474, 635.9012, 859.0987, 48.93131, 448.2989, 864.9786
68.7, 719.126, 282.9883, 0.004661226, 5.364587, 577.689, 183.4728, 0.1768363, 719.9357, 808.0452, 45.88064, 463.4435, 821.9871
68.8, 681.8018, 269.3433, 0.004377735, 5.120933, 546.2488, 172.6065, 52.56784, 746.2518, 760.0256, 43.02017, 513.4725, 781.1323
68.90000000000001, 646.4148, 256.3562, 0.004111485, 4.888346, 516.5198, 162.3838, 49.72469, 892.5692, 906.513, 40.33804, 491.0958, 904.681
69, 612.8644, 243.9953, 0.003861428, 4.666322, 488.4088, 152.7665, 47.03531, 848.9247, 924.3004, 37.82313, 469.6943, 859.7161
69.09999999999999, 664.4337, 232.2304, 0.00362658, 4.454382, 461.8277, 143.7189, 44.49138, 811.9247, 869.3721, 211.1033, 544.1451, 816.9861
69.2, 629.9481, 221.0328, 0.003406015, 4.252069, 436.6932, 135.207, 42.08505, 772.2236, 817.7081, 197.9419, 520.4318, 822.7465
69.3, 597.2524, 245.5026, 0.003198864, 4.058944, 478.8006, 161.5374, 39.80886, 734.4638, 769.1143, 241.8279, 497.7518, 781.8539
69.40000000000001, 640.294, 340.5833, 0.003004313, 3.874591, 452.7424, 302.6664, 37.65578, 698.5504, 723.4082, 226.7509, 476.0602, 851.4013
69.5, 765.582, 329.1581, 0.002821593, 3.698611, 428.1024, 302.6405, 35.61915, 664.393, 680.4183, 212.6139, 455.3139, 809.0845
69.59999999999999, 756.1078, 313.2869, 0.002649986, 3.530624, 404.8034, 296.9371, 33.69268, 631.9058, 639.9832, 199.3583, 435.4717, 768.871
69.7, 716.8641, 298.1809, 0.002488817, 3.370267, 382.7724, 413.7576, 31.87039, 618.4489, 670.2465, 186.9291, 416.4942, 995.2659
69.8, 730.2214, 283.8033, 0.002337449, 3.217193, 361.9404, 460.7807, 30.14667, 588.2083, 630.4158, 175.2748, 422.67, 945.7988
69.90000000000001, 692.3213, 270.119, 0.002195288, 3.071071, 438.9091, 433.4907, 230.8571, 565.1084, 592.9522, 164.3472, 404.2504, 898.7902
70, 656.3883, 257.0945, 0.002061773, 2.931587, 531.5385, 407.817, 486.2963, 537.476, 597.8093, 154.1008, 386.6335, 854.1181
70.09999999999999, 622.3203, 244.698, 0.001936378, 2.798437, 502.6101, 383.6638, 459.9948, 587.7199, 562.2834, 171.4383, 369.7844, 811.6663
70.2, 590.0205, 232.8992, 0.001818609, 2.671335, 475.2561, 360.9411, 471.2743, 558.9819, 656.8843, 217.2929, 353.6695, 771.3245
70.3, 559.3972, 221.6694, 0.001708003, 2.550005, 449.3908, 339.5642, 445.7852, 581.8412, 641.2598, 338.2287, 441.4937, 732.9878
70.40000000000001, 530.3632, 210.981, 0.001604124, 2.434187, 424.9332, 389.1664, 421.6748, 553.3907, 603.1517, 452.2708, 422.2538, 696.5565
70.5, 567.5898, 200.808, 0.001506563, 2.323628, 401.8067, 480.3619, 398.8683, 555.7402, 567.3083, 1461.223, 403.8523, 661.9359
70.59999999999999, 603.7617, 191.1255, 0.001414935, 2.218091, 470.0495, 507.1068, 377.2953, 528.5659, 798.8709, 1370.122, 401.9847, 629.0361
70.7, 572.4251, 181.9099, 0.00132888, 2.117348, 586.0814, 514.4446, 388.0515, 602.7739, 788.9478, 1378.379, 384.4666, 597.7714
70.8, 542.715, 173.1386, 0.001248059, 2.02118, 554.1845, 483.9763, 753.4216, 580.3081, 764.7364, 1457.123, 367.7119, 568.0607
70.90000000000001, 514.5469, 164.7903, 0.001172153, 1.92938, 580.9798, 455.3126, 852.0428, 551.9325, 745.8432, 1366.277, 376.1537, 539.8267
71, 487.8408, 156.8445, 0.001100864, 1.84175, 784.368, 498.6216, 834.6802, 621.8023, 779.2011, 1281.096, 443.2669, 512.996
71.09999999999999, 462.5208, 149.2818, 0.00103391, 1.758099, 966.8542, 469.0905, 887.373, 591.3977, 758.6414, 1201.224, 423.9497, 487.4988
71.2, 438.515, 142.0838, 0.0009710288, 1.678248, 972.3938, 441.3084, 839.379, 562.4799, 786.6425, 1126.333, 456.0515, 463.2689
71.3, 415.7551, 135.2328, 0.0009119718, 1.602024, 1001.012, 415.1717, 822.3124, 534.976, 751.8481, 1111.59, 436.1772, 440.2433
71.40000000000001, 394.1765, 128.7122, 0.0008565065, 1.529262, 984.0443, 390.5829, 848.5698, 897.7341, 809.3982, 1159.124, 476.2873, 418.3622
71.5, 441.3692, 122.506, 0.0008044146, 1.459804, 930.4888, 367.4504, 802.6745, 1090.326, 1275.583, 1086.858, 455.5311, 397.5685
71.59999999999999, 418.4612, 116.5991, 0.0007554909, 1.393501, 892.6482, 372.5491, 759.2615, 1275.986, 1262.818, 1056.068, 435.6794, 377.8084
71.7, 430.3603, 110.9769, 0.0007095427, 1.33021, 844.0668, 382.5763, 718.1965, 1435.71, 1187.773, 999.6573, 416.6929, 657.2178
71.8, 413.9848, 105.6259, 0.000666389, 1.269793, 798.1293, 359.9181, 679.3525, 1384.26, 1135.421, 1087.952, 398.5338, 624.5524
71.90000000000001, 435.0769, 100.5328, 0.0006258599, 1.21212, 754.692, 338.6017, 788.5335, 1316.573, 1333.71, 1026.344, 381.166, 593.5106
72, 412.6011, 95.68539, 0.0005877957, 1.157067, 713.6187, 318.5479, 745.8853, 1361.437, 1754.396, 1195.562, 364.5551, 1021.118
72.09999999999999, 408.0066, 91.07166, 0.0005520465, 1.104514, 674.7808, 348.7998, 705.5438, 1395.123, 1941.679, 1313.127, 348.6681, 1088.019
72.2, 386.8302, 86.6804, 0.0005184716, 1.054348, 638.0565, 328.1419, 667.3841, 1326.905, 1826.291, 1451.187, 333.4734, 1033.941
72.3, 366.7528, 82.50088, 0.0004869386, 1.006461, 738.7657, 336.3441, 631.2883, 1312.527, 1717.76, 1374.266, 318.9409, 1025.956
72.40000000000001, 406.1723, 78.52288, 0.0004573235, 0.9607486, 698.5591, 316.424, 597.1448, 1665.844, 1817.203, 1325.26, 305.0417, 974.9639
72.5, 385.091, 74.73669, 0.0004295095, 0.9171124, 759.0901, 317.2385, 564.848, 1637.621, 1859.392, 1271.613, 291.7483, 1106.145
72.59999999999999, 484.3346, 71.13306, 0.0004033872, 0.8754581, 717.7775, 298.4499, 677.1463, 1557.545, 1826.81, 1253.981, 333.7349, 1051.167
72.7, 533.8899, 67.70319, 0.0003788536, 0.8356957, 678.7132, 333.3634, 640.5225, 1515.098, 1807.512, 1175.8, 319.191, 998.921
72.8, 558.4196, 103.5871, 0.0003558121, 0.7977393, 731.7664, 313.6198, 605.8796, 1516.625, 1700.097, 1102.494, 305.2809, 1158.144
72.90000000000001, 529.4364, 139.1162, 0.0003341719, 0.7615067, 691.9408, 295.0455, 573.1103, 1442.466, 1652.782, 1278.097, 348.6266, 1351.598
73, 550.4321, 132.4084, 0.0003138479, 0.7269199, 654.2827, 277.5713, 542.1133, 1417.486, 1554.562, 1218.857, 333.4338, 1284.421
73.09999999999999, 521.8635, 151.7088, 0.00029476, 0.6939039, 618.674, 261.132, 512.7929, 1348.175, 1489.596, 1161.2, 401.9268, 1350.469
73.2, 631.3614, 144.3937, 0.0002768329, 0.6623875, 585.0034, 387.1107, 485.0583, 1282.253, 1408.337, 1161.157, 414.6553, 1359.431
73.3, 942.0754, 137.4314, 0.0002599962, 0.6323025, 575.9135, 465.9652, 458.8237, 1347.166, 1435.08, 1171.404, 465.7154, 1381.908
73.40000000000001, 906.8358, 130.8048, 0.0002441835, 0.603584, 544.57, 438.3682, 434.008, 1281.293, 1349.798, 1098.372, 445.4199, 2015.223
73.5, 859.769, 124.4977, 0.0002293325, 0.5761698, 514.9324, 458.7758, 495.6433, 1227.455, 1337.984, 1162.886, 426.0089, 2323.298
73.59999999999999, 815.1451, 118.4947, 0.0002153847, 0.5500008, 486.9077, 431.6046, 468.8362, 1219.87, 1258.472, 1090.385, 407.4438, 2244.721
73.7, 772.8373, 112.7812, 0.0002022852, 0.5250203, 460.4083, 406.0426, 443.479, 1199.416, 1183.685, 1022.404, 389.6877, 2369.342
73.8, 732.7254, 107.3431, 0.0001899824, 0.5011744, 435.3511, 381.9945, 478.3918, 1140.768, 1297.805, 1103.414, 372.7054, 2324.312
73.90000000000001, 694.6954, 102.1673, 0.0001784279, 0.4784116, 411.6576, 359.3707, 669.7401, 1084.987, 1239.642, 1034.62, 356.4633, 2282.785
74, 658.6392, 163.5609, 38.43611, 0.4566826, 405.0253, 338.0868, 692.5054, 1055.546, 1165.974, 970.1159, 340.9289, 2250.547
74.09999999999999, 782.3199, 155.6744, 67.66623, 0.4359405, 382.9822, 318.0634, 676.4174, 1219, 1096.684, 1023.876, 326.0715, 2252.135
74.2, 766.2094, 148.1682, 63.55083, 0.4161406, 458.1461, 432.1181, 639.833, 1242.013, 1031.511, 1138.045, 311.8616, 2287.485
74.3, 741.5112, 141.0238, 59.68573, 0.3972399, 433.212, 406.5257, 605.2274, 1196.081, 1065.021, 1091.061, 298.2709, 2202.724
74.40000000000001, 762.3187, 134.224, 56.05571, 0.3791976, 488.1683, 382.449, 572.4933, 1137.596, 1050.816, 1080.246, 285.2725, 2164.289
74.5, 770.4647, 127.752, 52.64645, 0.3619749, 633.7336, 446.7046, 541.5298, 1081.97, 1121.437, 1012.897, 272.8406, 2123.126
74.59999999999999, 834.3718, 121.5921, 49.44455, 0.3455343, 599.2433, 420.2483, 512.2409, 1123.713, 1054.793, 1271.329, 260.9504, 2017.602
74.7, 791.066, 115.7293, 46.43738, 0.3298405, 566.6301, 395.3589, 484.5361, 1071.651, 1016.443, 1247.845, 303.31, 1943.814
74.8, 750.008, 110.1491, 43.6131, 0.3148595, 535.7919, 371.9435, 458.3298, 1019.25, 956.0393, 1170.047, 290.092, 1936.557
74.90000000000001, 711.0809, 104.8379, 40.96059, 0.3005589, 506.632, 349.915, 433.5408, 985.3755, 908.1169, 1108.787, 300.2727, 1920.39
75, 711.9857, 99.7829, 38.46941, 0.2869078, 479.0591, 329.1911, 410.0926, 950.7747, 940.4471, 1039.659, 287.1871, 1910.675
75.09999999999999, 675.0321, 94.9716, 36.12974, 0.2738768, 452.9868, 309.6946, 387.9125, 1048.052, 884.5593, 1037.016, 274.6717, 1941.005
75.2, 639.9965, 90.3923, 33.93236, 0.2614376, 428.3335, 291.3528, 366.9321, 1026.275, 831.9927, 988.8761, 262.7018, 2058.254
75.3, 606.7792, 91.32105, 31.86863, 0.2495633, 405.0219, 274.0973, 347.0865, 1123.433, 860.2288, 927.2237, 251.2534, 2031.812
75.40000000000001, 612.936, 110.8983, 29.93041, 0.2382284, 382.979, 257.8637, 328.3141, 1068.5, 865.024, 1011.242, 240.304, 2004.138
75.5, 581.1233, 105.551, 28.11007, 0.2274083, 362.1358, 242.5916, 367.4164, 1016.253, 813.6183, 964.6218, 229.8318, 1904.527
75.59999999999999, 581.1532, 100.4616, 26.40044, 0.2170797, 342.4269, 228.224, 347.5445, 966.561, 765.2676, 922.7695, 273.4701, 1903.429
75.7, 550.9901, 95.61757, 24.79479, 0.2072202, 323.7907, 214.7073, 328.7474, 919.2986, 791.1637, 865.2386, 275.4184, 1890.43
75.8, 522.3925, 91.00711, 23.2868, 0.1978084, 306.1687, 201.9912, 310.967, 874.3472, 744.1473, 923.8707, 263.4159, 1828.631
75.90000000000001, 495.2792, 86.61896, 21.87052, 0.1888242, 289.5058, 190.0281, 294.1482, 951.4055, 699.925, 866.2712, 251.9365, 1846.105
76, 469.5732, 93.91963, 20.54037, 0.180248, 285.6186, 178.7736, 278.2391, 964.051, 658.3306, 826.3651, 240.9573, 1754.349
76.09999999999999, 445.2013, 89.39104, 19.29113, 0.1720613, 270.0741, 168.1857, 275.1915, 916.9113, 619.2081, 774.8446, 230.4566, 1667.154
76.2, 422.0944, 85.08082, 18.11786, 0.1642464, 255.3756, 158.2248, 260.3077, 1030.061, 641.587, 726.5362, 284.8723, 1584.292
76.3, 433.1703, 80.97842, 17.01595, 0.1567865, 241.4771, 148.8539, 246.2288, 1240.037, 603.4595, 700.7182, 272.4578, 1603.004
76.40000000000001, 410.6878, 77.07384, 15.98106, 0.1496654, 228.3349, 140.0379, 232.9114, 1205.117, 567.5978, 657.0312, 260.5843, 1647.197
76.5, 389.3722, 73.35752, 15.0091, 0.1428678, 215.9081, 131.7441, 220.3143, 1320.348, 533.8673, 616.0681, 249.2282, 1590.588
76.59999999999999, 369.1629, 69.8204, 105.441, 0.1363789, 204.1575, 123.9415, 208.3985, 1255.786, 565.6945, 680.3581, 238.3671, 1612.847
76.7, 392.8985, 66.45382, 388.1884, 0.1301847, 544.9507, 116.601, 211.881, 1268.788, 922.5947, 841.0342, 405.0045, 1532.684
76.8, 452.236, 63.24957, 638.6438, 0.1242718, 681.4, 109.6952, 200.4213, 1228.795, 1097.526, 788.5992, 387.3547, 1456.506
76.90000000000001, 428.7639, 60.19983, 638.6353, 0.1186275, 644.3155, 103.1985, 299.2752, 1168.71, 1153.876, 739.4332, 370.4742, 1783.76
77, 482.2058, 57.29713, 599.7941, 0.1132396, 614.6929, 97.08649, 290.6742, 1137.694, 1115.874, 693.3326, 354.3292, 2070.907
77.09999999999999, 513.2194, 54.5344, 678.8742, 0.1080964, 618.0114, 91.33649, 274.9529, 1140.991, 1049.561, 666.9797, 338.8878, 2046.399
77.2, 487.0679, 51.90488, 637.5858, 0.1031867, 584.3768, 85.92705, 337.5129, 1090.691, 987.1891, 770.2764, 369.272, 2011.452
77.3, 461.788, 49.40215, 598.8084, 0.09850011, 552.5728, 80.83797, 319.2584, 1089.474, 928.5236, 820.6552, 353.1794, 2087.989
