 , C000, C003, C005, C008, C009, C010, C012, C015, C018, C019, C021, C022, C024, C026, C030, C033, C036, C037, C039, C040, C045, C047, C049, C062, C081, C082, C086, C118
Time(s)/Cell Status, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted
172.3, 185.0571, 266.3157, 83.7684, 30.8566, 1506.892, 326.8549, 1470.352, 202.0459, 1148.756, 623.1669, 2272.188, 880.8544, 549.8486, 1594.402, 32.4784, 1351.47, 701.1425, 566.7922, 3042.089, 280.5939, 2250.005, 935.2799, 1543.754, 1877.661, 689.5118, 955.5482, 1497.16, 0.8738381
172.4, 175.5882, 252.383, 78.86082, 29.44695, 1646.473, 390.3977, 1439.801, 192.6061, 1094.989, 654.2238, 2171.205, 841.2198, 523.8577, 1762.741, 30.98486, 1285.341, 659.5206, 692.1713, 3042.001, 308.9056, 2249.957, 946.097, 1474.283, 1798.226, 654.5068, 936.2524, 1474.104, 0.8374664
172.5, 166.6039, 239.1792, 74.24076, 28.10171, 1564.858, 368.7546, 1528.18, 183.6075, 1043.739, 650.2968, 2129.961, 803.3687, 499.0955, 1685.964, 29.56, 1222.449, 620.3696, 654.4169, 3106.052, 305.0284, 2149.128, 904.1328, 1413.272, 1820.672, 621.2789, 1012.812, 1407.026, 0.8026085
172.6, 158.0792, 226.6663, 69.89137, 26.81792, 1489.629, 348.3114, 1456.461, 175.0292, 1119.618, 622.7523, 2199.549, 1141.663, 475.5037, 1612.53, 28.20066, 1257.803, 583.5427, 618.7217, 3096.667, 305.8939, 2149.972, 864.03, 1349.673, 1734.078, 713.8106, 962.6746, 1343.001, 0.7692015
172.7, 233.7756, 214.8079, 65.79678, 25.59277, 1666.405, 329.0015, 1498.152, 166.8517, 1067.215, 596.3746, 2128.799, 1161.258, 494.4963, 1668.077, 26.90384, 1318.696, 548.9019, 584.9736, 2997.535, 462.7978, 2264.096, 852.7531, 1288.935, 1774.634, 677.572, 915.0187, 1281.888, 0.7371851
172.8, 221.8139, 203.5699, 61.94207, 24.4236, 1816.591, 359.8081, 1475.631, 159.0563, 1053.282, 645.3014, 2049.323, 1113.174, 574.4332, 1742.553, 25.66665, 1254.171, 516.3174, 553.0663, 2971.958, 443.3112, 2209.077, 814.9292, 1314.765, 1690.231, 643.173, 1070.806, 1223.557, 0.7065012
172.9, 210.4643, 192.9199, 58.31319, 23.30784, 1726.544, 339.8608, 1471.295, 151.6251, 1003.984, 617.9685, 2120.282, 1223.115, 557.0801, 1787.799, 24.48635, 1192.803, 623.8135, 522.8994, 2901.329, 424.6452, 2139.899, 789.9072, 1317.65, 1666.458, 610.5205, 1033.144, 1249.957, 0.6770945
173, 199.6954, 182.827, 54.89691, 22.24305, 1762.367, 321.0194, 1430.727, 144.5411, 1072.997, 668.508, 2117.087, 1168.08, 563.4957, 1822.218, 23.36033, 1301.979, 736.1631, 494.3778, 2921.787, 406.765, 2044.003, 754.8708, 1432.108, 1782.484, 579.5256, 1105.16, 1243.091, 0.6489118
173.1, 189.4776, 173.2622, 61.3718, 21.2269, 1675.008, 303.2226, 1435.702, 137.788, 1022.776, 640.1922, 2265.711, 1233.117, 536.8598, 1742.849, 22.28609, 1238.272, 693.9285, 467.412, 2952.085, 445.4909, 2115.6, 736.3494, 1580.181, 1716.254, 550.1043, 1088.005, 1186.525, 0.6219022
173.2, 179.7825, 164.1977, 133.9249, 20.25718, 1658.736, 346.7778, 1519.901, 131.3505, 974.9059, 613.0757, 2255.089, 1225.336, 511.4829, 1678.311, 21.26125, 1337.557, 902.2064, 441.9171, 2951.509, 426.7331, 2020.792, 703.6886, 1509.07, 1634.627, 522.1767, 1078.054, 1218.03, 0.5960168
173.3, 170.5835, 155.6075, 126.0789, 19.33175, 1576.514, 327.5529, 1503.195, 125.2137, 929.2761, 587.1078, 2221.271, 1170.201, 487.3056, 1740.541, 20.28354, 1272.109, 898.1548, 485.0289, 2922.553, 408.765, 2127.903, 672.4764, 1643.785, 1568.931, 495.6669, 1024.686, 1162.605, 0.5712088
173.4, 161.8552, 147.4667, 182.3848, 18.44861, 1521.509, 417.7175, 1432.649, 119.3637, 885.782, 562.2399, 2140.555, 1227.234, 489.1709, 1664.73, 19.35079, 1280.4, 844.8378, 593.862, 2847.195, 391.5535, 2095.073, 642.6487, 1569.812, 1494.311, 470.5029, 1044.263, 1138.803, 0.5474334
173.5, 153.5735, 139.7518, 171.6998, 17.60581, 1645.425, 394.5599, 1438.342, 113.7869, 844.3237, 572.2875, 2167.086, 1212.22, 466.0482, 1722.807, 18.46093, 1217.749, 794.6857, 561.4698, 2800.57, 375.0668, 2048.902, 678.9911, 1499.167, 1545.56, 446.6165, 992.5684, 1086.983, 0.5246475
173.6, 145.7156, 132.4404, 184.9616, 16.80151, 1593.122, 372.686, 1382.239, 108.4707, 804.8057, 598.3508, 2136.266, 1323.952, 444.0186, 1732.341, 17.61199, 1158.164, 908.3879, 530.8445, 2934.67, 437.7862, 2259.504, 659.8089, 1431.702, 1553.098, 575.333, 1118.052, 1037.52, 0.5028101
173.7, 138.2597, 125.5116, 205.3635, 16.03395, 1551.467, 352.0248, 1317.37, 103.4029, 767.1374, 573.0067, 2124.33, 1378.555, 423.0302, 1923.676, 16.80209, 1101.494, 854.4634, 501.8897, 2801.823, 419.3527, 2158.248, 672.575, 1508.168, 1529.631, 546.1246, 1062.705, 1011.719, 0.4818816
173.8, 212.0007, 118.9453, 193.3323, 15.30146, 1514.419, 431.1322, 1293.286, 98.57185, 731.2321, 548.736, 2080.461, 1445.87, 403.034, 1839.888, 16.02944, 1064.833, 803.74, 474.5141, 2674.99, 565.2482, 2401.398, 704.6006, 1440.298, 1502.747, 518.399, 1010.097, 1060.327, 0.4618243
