 , C000, C001, C002, C004, C006, C007, C008, C009, C011, C012, C014, C015, C016, C023, C028, C034, C038, C041, C042, C087
Time(s)/Cell Status, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted
166.1, 952.6463, 677.1218, 13.17905, 83.50246, 508.4956, 1302.897, 217.6478, 387.5095, 304.7687, 612.3331, 74.34946, 92.06281, 530.9015, 561.4815, 26.43447, 323.8882, 337.7625, 607.489, 4.226248, 1042.242
166.2, 890.7126, 628.8269, 12.52275, 78.10176, 474.2218, 1236.206, 204.8758, 362.6124, 286.0792, 580.1526, 68.45895, 86.59355, 498.0615, 521.9518, 25.17393, 348.911, 309.3502, 572.6083, 3.999848, 1079.959
166.3, 916.8774, 583.9766, 11.89914, 73.05037, 456.3599, 1287.147, 192.8533, 339.3148, 268.5358, 549.6634, 63.03512, 81.44921, 467.2529, 485.2052, 23.9735, 405.3912, 283.3278, 539.7303, 3.785577, 1031.406
166.4, 857.2691, 542.3252, 11.30658, 68.32568, 505.1353, 1221.261, 181.5363, 317.5141, 252.0682, 678.99, 58.04102, 76.61049, 438.3501, 451.0455, 22.83031, 382.4825, 259.4944, 636.1526, 3.582783, 985.0361
166.5, 851.2085, 503.6445, 10.74353, 63.90658, 477.8423, 1158.749, 170.8834, 297.1141, 236.6104, 643.3064, 53.44258, 72.05922, 411.235, 419.2908, 21.74163, 360.8684, 237.6659, 599.626, 3.390854, 957.9583
166.6, 795.8695, 467.7227, 10.20852, 59.77329, 445.6346, 1241.203, 160.8556, 333.2504, 222.1006, 609.4982, 49.20846, 67.77834, 385.7973, 389.7717, 20.70487, 340.4757, 217.6736, 565.1968, 3.209206, 977.1638
166.7, 744.1282, 434.363, 9.70015, 55.90733, 415.5978, 1239.599, 151.4162, 311.8393, 208.4806, 577.4667, 45.3098, 63.75177, 523.5449, 362.3308, 19.71754, 321.2354, 282.8425, 532.7443, 3.037289, 992.3177
166.8, 695.7508, 403.3826, 9.217097, 52.29141, 429.9064, 1250.697, 142.5308, 291.8039, 195.6958, 579.9761, 41.72002, 59.96441, 491.1599, 336.8219, 18.7773, 494.4908, 259.05, 502.1552, 2.874581, 947.705
166.9, 650.5184, 374.6118, 8.758101, 48.90936, 400.9297, 1186.678, 134.1668, 273.0558, 183.695, 549.4961, 38.41465, 56.40205, 460.7783, 313.1088, 17.88189, 466.5471, 237.2588, 473.3225, 2.72059, 905.098
167, 608.2267, 347.8931, 8.32196, 45.74604, 393.4756, 1207.279, 126.2937, 255.5121, 172.4301, 520.6179, 35.37116, 53.05132, 432.2759, 291.0652, 17.02918, 440.1825, 217.3007, 446.1454, 2.574848, 1029.103
167.1, 568.6846, 323.08, 7.90754, 42.78732, 366.9544, 1145.482, 118.8825, 380.7929, 161.856, 493.2574, 32.5688, 49.89965, 487.9057, 270.5735, 16.21714, 415.3077, 199.0215, 420.5286, 2.436914, 982.8368
167.2, 531.7131, 300.0368, 7.513757, 40.01996, 342.2208, 1116.296, 111.9062, 356.3273, 151.9304, 557.4963, 29.98846, 46.93522, 457.7253, 251.5244, 15.44381, 391.8387, 182.2799, 396.3828, 2.306368, 938.6504
