 , C000, C001, C002, C004, C006, C007, C008, C009, C011, C012, C014, C015, C016, C023, C028, C034, C038, C041, C042, C087
Time(s)/Cell Status, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.1, 63.33081, 0, 0, 0, 0, 0, 0, 45.32806, 0, 0, 0, 296.3054, 547.2412, 92.71228, 120.666, 0, 0, 0, 90.26105, 0
0.2, 59.21353, -7.629395e-06, -6.103516e-05, 102.4793, 2.244507, 0, -7.629395e-06, 64.80914, 0, 0, 0, 278.7025, 665.649, 86.18512, 151.897, 0, 0, 0, 85.42584, 74.44855
0.3, 55.36393, 44.64789, -6.103516e-05, 133.869, 114.7356, 124.8928, -7.629395e-06, 70.03748, 0, 0, -3.814697e-06, 337.6633, 701.7358, 80.11749, 144.6536, 0, 0, 0, 80.84955, 71.10147
0.4, 51.76459, 41.46344, -6.103516e-05, 125.2108, 169.3879, 118.4999, 13.90997, 65.53763, 0, 0, -3.814697e-06, 339.0893, 717.4285, 74.47702, 261.5288, 0, 0, 0, 308.2585, 113.9286
0.5, 77.10287, 38.50611, 151.7799, 131.0375, 190.928, 112.4342, 13.0937, 61.32687, 0, 0, -1.907349e-06, 318.9448, 686.6342, 69.23366, 249.0576, -3.051758e-05, 0, 0, 291.7451, 108.8065
0.6, 72.09024, 85.41413, 282.9828, 122.5623, 178.059, 186.1484, 12.32534, 57.38666, 0, 0, 0, 299.9969, 729.1077, 64.35944, 378.6616, 59.35086, 0, 0, 276.1163, 103.9148
0.7, 67.40349, 83.92809, 281.4774, 114.6354, 166.0574, 176.6201, 11.60207, 120.676, 0, 0, 0, 388.6655, 914.9429, 59.82838, 603.1863, 113.1843, 0, 0, 325.55, 158.0258
0.8, 63.02143, 77.94203, 325.51, 107.2211, 293.3528, 216.4959, 10.92123, 112.9227, 0, 0, 0, 568.9948, 1191.037, 55.6163, 574.423, 106.7882, 0, 0, 402.3382, 150.9213
0.9, 58.92427, 72.3829, 309.3001, 100.2864, 273.58, 205.4141, 10.28035, 105.6675, 0, 146.5598, 1.907349e-06, 535.192, 1434.104, 51.70078, 650.3298, 162.0331, 0, 0, 406.9174, 144.1361
1, 69.32888, 195.8063, 487.6284, 93.80013, 255.1401, 194.8995, 9.677078, 98.87845, 0, 172.2479, 1.907349e-06, 552.2336, 1591.035, 176.9612, 619.3185, 357.8632, 0, 0, 385.1188, 137.6561
1.1, 64.82166, 181.8407, 494.1631, 87.73341, 237.9431, 277.6022, 28.50047, 92.52557, 0, 163.1956, 1.907349e-06, 549.1625, 1492.618, 164.5027, 704.8457, 337.6403, 0, 0, 364.488, 131.4673
1.2, 60.60745, 212.8278, 532.3569, 82.05907, 269.11, 263.3926, 26.82801, 86.5809, 0, 251.8786, 0, 516.5378, 1491.023, 152.9213, 671.2347, 629.7522, 0, 0, 418.0847, 146.8404
1.3, 56.66722, 267.3631, 505.8463, 76.75173, 250.9713, 249.9104, 25.25368, 124.6926, 0, 238.6414, 0, 557.4029, 1526.549, 142.1553, 767.1356, 718.53, 0, 0, 433.2848, 309.5256
1.4, 167.0392, 255.7634, 710.681, 71.78766, 312.7772, 255.0988, 51.62161, 160.6847, 0, 226.0999, 9.536743e-07, 524.2888, 1432.121, 132.1472, 854.64, 677.9258, 0, 0, 410.0738, 295.61
1.5, 195.9568, 237.5214, 675.2902, 67.14464, 291.6953, 242.041, 48.59235, 150.3609, 0, 247.8035, 9.536743e-07, 493.1419, 1343.534, 122.8437, 841.4727, 639.6161, 0, 0, 388.1061, 282.3199
1.6, 183.2172, 220.5804, 641.6617, 62.80193, 272.0343, 267.0303, 45.74085, 140.7003, 0, 234.7805, 1.907349e-06, 463.8453, 1284.307, 321.9043, 801.3464, 603.4713, 0, 0, 395.582, 269.6274
1.7, 171.3059, 204.8478, 729.3724, 58.74009, 253.6986, 345.2078, 99.87245, 131.6604, 0, 222.4418, 9.536743e-07, 436.2892, 1204.863, 299.2415, 939.9473, 569.3691, 0, 0, 661.4443, 257.5055
1.8, 160.1689, 313.629, 824.84, 54.94094, 236.5987, 423.6604, 94.01173, 123.2014, 0, 210.7516, 9.536743e-07, 410.3702, 1130.334, 278.1742, 971.7839, 661.0099, 0, 0, 626.0107, 245.9285
1.9, 149.7559, 309.6647, 837.3546, 51.38752, 220.6514, 401.9745, 88.49493, 259.7311, 0, 232.7909, 9.536743e-07, 425.4121, 1060.415, 258.59, 934.8519, 623.6562, 0, 0, 652.1251, 234.872
2, 272.8513, 292.1049, 891.8336, 48.06393, 205.779, 381.3986, 83.30186, 243.0436, 0, 220.5568, 9.536743e-07, 400.1393, 1030.14, 240.3847, 1157.069, 786.5515, 0, 0, 617.1907, 224.3126
2.1, 255.1127, 271.2708, 1002.814, 44.9553, 191.909, 361.8759, 78.41354, 227.4283, 0, 208.9657, 0, 376.3679, 966.4183, 444.9684, 1101.894, 742.1034, 0, 0, 584.1278, 214.228
2.2, 238.5272, 296.7135, 952.875, 42.04772, 178.9739, 343.3526, 73.81208, 212.8162, 0, 197.9838, 0, 354.0086, 906.6386, 413.6416, 1124.007, 796.6948, 0, 0, 797.0768, 204.5967
2.3, 223.02, 275.5508, 905.4233, 39.32819, 166.9106, 325.7774, 69.48064, 199.1429, 0, 237.6715, -4.768372e-07, 332.9777, 1107.031, 384.5202, 1070.408, 771.2619, 0, 0, 1004.8, 195.3984
2.4, 208.521, 255.8975, 860.3347, 36.78456, 155.6604, 309.1019, 65.40338, 186.3482, 0, 309.3985, -4.768372e-07, 381.1208, 1038.553, 357.449, 1214.634, 968.767, 0, 0, 950.9733, 186.6137
2.5, 194.9645, 237.6459, 817.4913, 34.40545, 145.1686, 293.2798, 61.56537, 174.3755, 0, 293.1384, -9.536743e-07, 388.0051, 974.3115, 332.2838, 1156.714, 914.0219, 0, 0, 977.3245, 178.2239
2.6, 182.2894, 220.6961, 776.7816, 32.18021, 135.3839, 358.6943, 57.95259, 163.172, 0, 277.7328, -9.536743e-07, 435.356, 943.0796, 308.8901, 1101.555, 1030.687, 0, 0, 924.9693, 170.2113
2.7, 170.4384, 204.9553, 823.8578, 30.09888, 126.2587, 409.5499, 54.55182, 152.6883, 0, 263.1369, -9.536743e-07, 431.2939, 920.9778, 287.1435, 1255.772, 972.4424, 0, 0, 875.4187, 162.5589
2.8, 159.3578, 190.3371, 831.6212, 28.47008, 117.7486, 486.9083, 51.35061, 142.8782, 0, 249.308, -9.536743e-07, 629.4445, 864.009, 266.9279, 1355.782, 960.6968, 0, 0, 828.5225, 155.2506
2.9, 148.9976, 176.7615, 790.2078, 26.62872, 109.812, 552.4985, 48.33725, 133.6984, 0, 236.2059, -9.536743e-07, 596.9375, 855.4803, 248.1355, 1291.131, 1050.817, 0, 0, 784.1385, 148.2708
3, 139.3109, 164.1542, 750.8566, 24.90645, 102.4104, 524.2178, 94.84153, 165.9095, 0, 223.7924, -4.768372e-07, 641.9415, 977.2144, 230.6662, 1283.328, 1335.885, 0, 0, 858.0557, 141.6048
3.1, 130.254, 225.062, 766.6558, 31.06689, 95.50774, 497.3846, 202.026, 155.25, 0, 212.0312, -7.152557e-07, 739.8733, 916.7668, 214.4267, 1222.131, 1312.7, 0, 0, 948.8925, 135.2386
3.2, 121.7859, 209.0098, 728.4775, 87.20413, 89.0703, 471.925, 190.1707, 263.8362, 0, 200.8881, -4.768372e-07, 695.9189, 860.0584, 314.1667, 1163.853, 1279.363, 0, 0, 898.0603, 129.1585
3.3, 113.8683, 220.9271, 733.9834, 156.9703, 83.32464, 447.7686, 179.0111, 246.8849, 0, 190.3307, -2.384186e-07, 654.5759, 954.5399, 292.0486, 1366.213, 1355.186, 0, 0, 849.9512, 123.3518
3.4, 106.4655, 205.1698, 825.2827, 167.6475, 77.70836, 424.8486, 168.5063, 292.6434, 0, 180.3281, -2.384186e-07, 781.5185, 895.4949, 271.4876, 1379.757, 1302.951, 0, 0, 804.4194, 117.8061
3.5, 314.8615, 253.0945, 916.9531, 156.8045, 72.47063, 403.1019, 158.6181, 285.2408, 0, 273.7309, 64.40389, 745.0357, 898.8657, 306.7871, 1328.158, 1542.216, 0, 0, 920.0478, 112.5098
3.6, 294.3916, 235.0429, 871.2903, 146.6629, 67.58594, 505.1656, 149.31, 266.9143, 0, 259.3453, 59.30134, 763.354, 863.6842, 610.3777, 1425.193, 1570.996, 113.5631, 0, 1062.112, 107.4516
3.7, 275.2525, 218.2787, 827.9014, 173.1297, 63.03049, 479.3077, 140.5482, 310.9102, 0, 245.7157, 54.60305, 718.0048, 810.2593, 567.4056, 1357.232, 1482.219, 104.0102, 0, 1005.215, 102.6207
3.8, 257.3577, 354.0526, 786.6732, 191.9828, 83.61858, 454.7734, 132.3006, 290.9345, 0, 232.8024, 50.27699, 675.3496, 760.139, 527.4589, 1369.374, 1398.458, 95.26094, 0, 951.3655, 98.00713
3.9, 240.6263, 328.8002, 777.968, 179.5659, 77.98248, 431.4949, 124.5369, 272.2422, 0, 220.5677, 46.29368, 655.3919, 713.1191, 490.3244, 1304.074, 1319.432, 87.24764, 0, 900.4009, 93.60091
4, 224.9827, 305.3489, 752.8449, 212.1159, 72.72627, 409.408, 117.2288, 254.7509, 0, 208.976, 42.62595, 657.2107, 669.0078, 455.8044, 1326.177, 1293.507, 79.90842, 0, 852.1664, 89.3928
4.1, 210.356, 308.0874, 731.3049, 198.3969, 67.82436, 388.4517, 110.3496, 238.3834, 0, 263.5594, 39.24881, 618.1672, 627.6249, 423.7147, 1556.17, 1220.411, 73.18657, 0, 806.5159, 85.37388
4.2, 196.6803, 355.2558, 694.887, 185.5651, 63.25283, 368.568, 103.874, 368.9866, 0, 249.7083, 36.13923, 581.4432, 656.8864, 393.8841, 1481.964, 1252.43, 67.03016, 0, 763.3109, 81.53564
4.3, 183.8937, 329.9177, 732.055, 173.5633, 58.98943, 349.7021, 97.7785, 345.2795, 0, 236.5851, 33.27601, 546.9009, 616.2534, 366.1537, 1411.295, 1215.112, 87.4272, 0, 722.4203, 77.86996
4.4, 171.9383, 306.3867, 695.5998, 162.3378, 55.0134, 428.3194, 92.04066, 323.0956, 0, 224.1517, 181.3548, 514.4106, 578.1338, 340.3756, 1411.121, 1335.255, 147.0443, 0, 683.7203, 74.36908
4.5, 160.7602, 284.5341, 660.9601, 151.8382, 51.30537, 406.395, 158.2578, 411.7783, 0, 212.3716, 175.5456, 483.8506, 686.3381, 316.4123, 1510.92, 1489.269, 134.675, 0, 914.1646, 71.02559
4.6, 150.3088, 323.6528, 721.8, 142.0178, 47.84726, 441.1978, 155.1502, 385.3219, 0, 456.8717, 161.6376, 455.106, 672.9628, 385.4219, 1727.725, 1499.371, 123.3462, 0, 865.1928, 67.83242
4.7, 140.5369, 364.0553, 685.8555, 132.8325, 80.04296, 418.6142, 146.0457, 360.5653, 0, 432.8613, 235.2157, 428.0692, 653.9508, 358.2872, 1879.844, 1658.333, 112.9704, 0, 1079.873, 64.78281
4.8, 131.4003, 415.7027, 651.701, 124.2413, 74.64787, 462.9072, 137.4754, 337.3993, 0, 410.1128, 216.5802, 402.6385, 613.4994, 423.063, 1790.202, 1713.627, 151.553, 0, 1022.024, 61.8703
4.9, 122.8577, 386.0533, 619.2473, 116.2057, 69.61643, 439.2124, 129.4081, 327.6224, 0, 388.5597, 199.4211, 378.7186, 606.8897, 469.3953, 1833.221, 1813.862, 178.3579, 0, 967.274, 59.08873
5, 114.8704, 446.8825, 588.4098, 108.6899, 64.92412, 416.7305, 121.8141, 306.573, 0, 368.1394, 183.6215, 356.2197, 569.3494, 436.3487, 1745.803, 2035.09, 163.3545, 0, 1046.728, 56.43221
5.1, 107.4024, 415.0092, 559.1079, 101.6601, 60.54808, 470.8011, 114.6658, 306.3796, 0, 348.7922, 169.0736, 335.0574, 545.6263, 405.6287, 1920.191, 2053.651, 149.6132, 0, 990.6546, 53.89513
5.2, 100.4199, 446.4048, 531.2652, 95.08504, 56.467, 446.7022, 107.937, 333.9856, 0, 330.4619, 155.6784, 315.1524, 528.148, 377.0714, 1915.7, 1937.599, 137.0278, 0, 1161.311, 51.4721
5.3, 93.8914, 414.5655, 504.809, 88.93523, 52.66099, 423.8369, 101.6031, 319.1881, 0, 313.0948, 143.3444, 296.4299, 495.4784, 350.5247, 1907.563, 1940.826, 125.5011, 0, 1099.099, 49.15802
5.4, 87.78731, 398.6849, 479.6703, 83.18316, 56.88752, 402.1419, 95.64079, 298.6805, 0, 296.6404, 131.9876, 278.8196, 523.7944, 325.8469, 1870.076, 1936.567, 114.9441, 0, 1040.221, 46.94797
5.5, 82.08006, 370.2492, 455.7835, 77.80312, 53.05316, 381.5575, 90.0284, 415.614, 0, 281.0508, 121.5305, 262.2555, 491.3941, 302.9065, 1993.341, 1881.948, 105.275, 0, 1033.941, 44.83728
5.6, 76.74384, 343.8416, 515.1733, 72.77104, 49.47726, 362.0267, 134.5664, 388.9112, 0, 266.2805, 153.8261, 246.6754, 460.9979, 281.5811, 1965.719, 1775.599, 96.41936, 0, 999.634, 42.82148
5.7, 71.75455, 319.3176, 565.1241, 68.06442, 46.14237, 343.4957, 126.6698, 363.924, 0, 252.2864, 141.6389, 232.021, 578.4623, 261.7571, 2222.98, 1733.733, 88.30862, 0, 946.0836, 40.89632
5.8, 67.08963, 296.5426, 690.0718, 63.66222, 43.03227, 325.9131, 119.2366, 416.5162, 0, 239.0278, 130.4172, 218.2371, 572.8792, 441.9321, 2136.623, 1635.76, 80.88014, 0, 1074.393, 39.0577
5.9, 62.72798, 275.3921, 734.1302, 59.54473, 40.13179, 309.2306, 112.2395, 389.7554, 0, 226.4659, 120.0846, 271.7032, 678.0538, 547.4255, 2176.322, 1650.849, 74.07655, 0, 1271.95, 37.30174
6, 58.64989, 333.3997, 697.5717, 55.69355, 58.72878, 293.402, 105.6531, 364.714, 0, 214.5643, 110.5706, 255.5618, 680.5754, 508.8854, 2259.359, 1557.559, 67.84528, 0, 1203.812, 35.62473
6.1, 54.83693, 309.6204, 662.8337, 52.09146, 87.8886, 278.3837, 99.45313, 341.2814, 0, 203.2881, 101.8104, 266.0499, 661.2279, 634.7479, 2151.62, 1709.739, 62.13817, 0, 1243.936, 34.02311
6.2, 51.27185, 357.7988, 807.1974, 127.7143, 81.96471, 264.1341, 93.61703, 340.4736, 0, 192.6045, 93.74422, 277.9465, 620.3264, 590.0601, 2269.047, 1655.93, 56.91114, 0, 1312.808, 32.4935
6.3, 47.93855, 332.2792, 778.0414, 119.4541, 76.44009, 250.6138, 88.12339, 572.8921, 0, 182.4824, 86.31712, 261.4343, 713.8724, 548.5184, 2234.839, 1562.353, 52.12381, 0, 1429.661, 31.03265
6.4, 44.82196, 308.5798, 1073.081, 111.7281, 71.28786, 329.549, 120.4496, 536.0843, 0, 172.8922, 147.4988, 245.903, 689.2084, 692.4916, 2533.151, 1504.136, 96.34959, 0, 1931.811, 29.63748
6.5, 41.90798, 286.5708, 1054.961, 104.5019, 66.48288, 312.6804, 113.6995, 516.9008, 31.01339, 163.8061, 135.8129, 231.2944, 745.0587, 928.4575, 2436.013, 1566.001, 88.24472, 0, 2256.751, 28.30503
6.6, 39.18344, 266.1315, 1002.426, 97.74303, 62.00178, 296.6752, 107.0273, 483.6904, 29.11153, 155.1974, 125.0528, 217.5537, 698.9716, 863.0918, 2319.851, 1501.837, 80.82162, 0, 2320.147, 27.0325
6.7, 36.63604, 247.15, 1080.294, 193.8538, 57.82272, 317.6966, 100.7468, 452.6137, 27.3263, 147.0412, 115.1452, 204.6293, 725.8953, 802.328, 2347.51, 1416.968, 74.02296, 0, 2379.995, 25.81717
6.8, 34.25425, 229.5223, 1079.898, 193.9265, 53.92532, 301.4347, 112.8255, 423.5336, 25.65055, 139.3136, 106.0225, 192.4727, 680.9937, 745.8422, 2235.568, 1439.086, 67.79619, 0, 2267.781, 24.65648
6.9, 32.0273, 213.1519, 1335.969, 181.3839, 78.42993, 286.0052, 141.5193, 461.632, 24.07757, 131.9921, 97.62263, 181.0383, 638.8694, 693.333, 2207.743, 1357.763, 62.09321, 46.9216, 2165.662, 23.54797
7, 29.94513, 197.9491, 1269.439, 169.6526, 73.14357, 271.3654, 133.2146, 431.9726, 22.60104, 125.0554, 89.88825, 302.7106, 599.3509, 644.5207, 2262.184, 1333.165, 56.86996, 91.07378, 2049.648, 22.4893
7.1, 27.99833, 183.8306, 1206.223, 158.6799, 68.21352, 257.4751, 209.4312, 404.2187, 21.21506, 118.4833, 82.76664, 284.7272, 562.2769, 599.1448, 2230.394, 1257.828, 52.08609, 85.84451, 2022.543, 21.47823
7.2, 26.1781, 170.7192, 1261.738, 209.5448, 63.61576, 244.2957, 197.1414, 378.248, 19.91408, 112.2565, 76.20925, 267.8122, 553.0483, 556.9636, 2299.331, 1368.31, 47.70464, 80.91549, 2067.36, 20.51261
7.3, 24.4762, 246.6053, 1267.226, 369.278, 179.527, 231.7909, 185.5727, 353.9459, 18.69287, 106.357, 89.94022, 251.902, 558.4384, 517.752, 2231.125, 1290.987, 43.69175, 76.26949, 2118.77, 19.5904
7.4, 22.88494, 229.0165, 1675.309, 557.8756, 248.6077, 219.9263, 174.6829, 393.3164, 17.54655, 100.7675, 82.81449, 236.9371, 523.895, 481.301, 2227.066, 1218.033, 40.01643, 71.89026, 2206.603, 18.70966
7.5, 21.39714, 212.6822, 1591.881, 543.7418, 231.851, 208.6689, 164.4322, 368.0461, 16.47054, 95.47182, 76.25331, 238.7433, 491.4884, 447.4162, 2226.158, 1149.202, 36.65027, 67.76247, 2088.395, 17.86851
7.6, 20.00607, 262.221, 1512.608, 508.5742, 216.2237, 197.9878, 154.783, 344.3995, 15.4605, 90.45441, 70.21196, 224.56, 461.0864, 415.917, 2230.54, 1119.36, 33.56727, 63.87169, 1997.128, 17.06517
7.7, 18.70543, 257.4391, 1437.283, 475.6811, 201.6497, 187.8534, 145.7, 420.1635, 14.51241, 85.70068, 64.64925, 243.6533, 432.565, 386.6354, 2124.175, 1313.696, 30.74361, 60.2043, 1890.142, 16.29796
7.8, 17.48934, 239.0776, 1365.708, 444.9154, 188.058, 178.2377, 137.15, 393.1683, 13.62245, 81.19677, 59.52726, 229.1784, 472.0134, 359.4153, 2034.369, 1239.459, 28.15747, 56.7475, 1954.817, 15.56523
7.9, 16.35232, 222.0257, 1297.698, 416.1396, 175.3825, 169.1143, 129.1018, 367.9076, 12.78707, 76.92957, 54.81107, 215.5634, 442.8161, 334.1116, 1937.359, 1248.761, 25.78888, 53.48917, 1850.097, 14.86545
8, 15.28922, 206.19, 1233.075, 402.1287, 163.5613, 160.4578, 121.5258, 370.6098, 12.00292, 72.88662, 50.46853, 243.4976, 415.4248, 310.5894, 1886.879, 1178.194, 23.61954, 50.41793, 1813.867, 14.19713
8.1, 14.29523, 191.4837, 1171.669, 433.5314, 152.5368, 258.5306, 114.3944, 346.7984, 11.26686, 69.05614, 58.03884, 229.032, 389.7278, 288.7231, 1920.837, 1183.17, 21.63267, 62.1185, 1851.456, 13.55886
8.199999999999999, 13.36587, 254.514, 1200.349, 405.4919, 142.2555, 245.2972, 107.6815, 324.5169, 10.57593, 65.42697, 53.44057, 215.4256, 406.9731, 268.3963, 1850.145, 1140.904, 19.81294, 209.3136, 1815.944, 12.94928
8.300000000000001, 12.49692, 273.2043, 1178.702, 379.2659, 132.6672, 292.3837, 101.3626, 363.2503, 9.927377, 61.98853, 49.20662, 202.6277, 499.8936, 249.5006, 1875.487, 1177.201, 18.14629, 209.4458, 1797.83, 12.3671
8.4, 11.68447, 267.1953, 1186.704, 354.7361, 123.7251, 296.7426, 95.41441, 378.548, 9.318593, 58.73079, 45.30811, 190.59, 468.9717, 231.9351, 1887.481, 1203.615, 16.61983, 197.4198, 1830.832, 11.8111
8.5, 10.92484, 381.9161, 1127.608, 331.7928, 115.3857, 281.5533, 89.81529, 354.2266, 8.747143, 270.9806, 41.71847, 179.2674, 439.9625, 215.6063, 1856.894, 1167.559, 15.22178, 201.4209, 1891.29, 11.2801
8.6, 10.21459, 504.8891, 1071.454, 310.3334, 107.6084, 267.1414, 84.54475, 331.4678, 8.210735, 256.7395, 38.41322, 168.6175, 451.0092, 200.4271, 1768.346, 1101.581, 49.76803, 189.8558, 1789.973, 10.77297
8.699999999999999, 9.550513, 468.8785, 1060.529, 325.0246, 100.3554, 253.4673, 79.5835, 310.1713, 7.707222, 243.2469, 35.36984, 158.6003, 423.1111, 186.3165, 1856.533, 1111.602, 45.58157, 178.9546, 1694.085, 10.28864
8.800000000000001, 55.31921, 435.4363, 1007.717, 349.477, 93.59119, 240.4931, 74.91338, 306.5881, 7.234587, 304.2151, 32.56758, 149.1782, 396.9387, 173.1994, 1934.554, 1071.032, 41.74727, 168.6794, 1650.947, 9.826079
8.9, 79.89377, 415.6801, 957.5338, 326.8739, 87.28293, 228.183, 70.51731, 286.89, 6.790936, 288.2274, 29.98734, 164.8088, 372.3853, 161.0057, 1902.111, 1119.743, 60.62892, 182.7574, 1819.6, 9.384317
9, 74.69969, 386.0322, 909.8502, 305.7326, 152.0141, 413.487, 66.37921, 283.1859, 6.37449, 419.5062, 50.70896, 155.0179, 418.1523, 149.6705, 1811.408, 1296.482, 55.52885, 172.2639, 1722.125, 8.962417
9.1, 69.84329, 387.117, 999.1697, 285.9587, 179.4692, 392.3219, 62.48394, 264.9914, 5.983583, 397.4595, 46.69142, 145.8086, 392.2867, 139.1334, 1847.101, 1427.562, 50.8578, 199.1614, 1629.87, 8.559483
9.199999999999999, 78.92328, 399.0501, 949.4126, 267.4638, 167.3725, 396.5121, 58.81726, 247.9659, 5.616648, 473.5871, 42.99218, 137.1464, 368.021, 129.338, 1759.021, 1423.091, 46.57967, 203.9237, 1542.558, 8.174665
9.300000000000001, 73.7923, 379.1393, 902.1334, 250.165, 215.6836, 376.2159, 55.36575, 232.0343, 5.272214, 448.6982, 115.968, 128.9989, 345.2563, 120.2323, 1792.481, 1342.672, 42.66141, 202.5234, 1459.923, 7.807148
9.4, 68.9949, 352.0977, 857.2085, 233.9851, 201.146, 356.9586, 52.11677, 217.1263, 4.948902, 425.1174, 135.5548, 149.8316, 357.3416, 111.7677, 1714.91, 1294.595, 39.07276, 263.458, 1430.523, 7.456154
9.5, 129.0492, 439.2646, 814.5209, 218.8516, 187.5883, 467.0346, 49.05845, 203.1761, 4.645417, 402.7758, 125.1847, 174.172, 335.2375, 103.8989, 1841.478, 1221.438, 35.78598, 310.6339, 1485.432, 7.120939
9.6, 167.5339, 407.9346, 959.6454, 204.6969, 174.9444, 443.1285, 46.1796, 190.1222, 4.360543, 430.183, 115.3892, 175.9186, 314.5007, 96.58421, 1841.442, 1323.591, 32.77568, 292.7979, 1405.858, 6.800796
9.699999999999999, 287.2821, 378.8392, 1054.545, 204.8306, 163.1527, 420.4461, 43.46969, 177.907, 4.093139, 482.0087, 106.2472, 572.9444, 305.2852, 89.78445, 1753.632, 1448.617, 107.6729, 275.9861, 1415.935, 266.2466
9.800000000000001, 268.6053, 484.2004, 1002.03, 191.5827, 219.5761, 398.9247, 40.9188, 166.4767, 3.842132, 456.6773, 97.82952, 549.0338, 379.369, 83.4634, 1670.009, 1613.444, 98.61555, 260.1395, 1445.242, 254.2766
9.9, 251.1426, 449.6655, 952.1304, 179.1917, 204.7762, 378.5049, 38.5176, 155.7807, 3.606519, 432.6772, 153.6495, 670.5132, 405.0219, 77.58738, 1617.567, 1522.268, 90.32007, 245.2028, 1581.313, 276.0941
10, 234.8153, 417.5936, 1005.826, 210.1904, 195.799, 359.1304, 36.25731, 145.7719, 3.385353, 497.8527, 141.4763, 749.4384, 379.9684, 72.12505, 1566.197, 1604.172, 82.7224, 231.1238, 1496.602, 263.6815
10.1, 219.5494, 588.5225, 973.9439, 196.5959, 274.7134, 340.7476, 34.12966, 136.4062, 3.177751, 471.6886, 137.0439, 704.9158, 356.4647, 67.04726, 1491.512, 1513.52, 75.76383, 217.8531, 1499.397, 320.7703
10.2, 205.276, 568.261, 1088.661, 299.5132, 256.1971, 393.8274, 32.12686, 127.6422, 2.982879, 554.2167, 126.1863, 663.0382, 399.505, 62.32697, 1555.538, 1777.087, 222.6143, 205.3445, 1534.147, 306.3491
10.3, 191.9305, 527.7305, 1074.69, 280.1415, 238.9288, 389.6145, 30.24159, 119.4413, 2.799958, 525.0905, 116.1889, 623.6485, 463.9707, 57.939, 1531.449, 1809.777, 203.8881, 193.554, 1451.963, 292.5762
10.4, 179.4527, 501.5743, 1021.172, 304.026, 222.8244, 369.6713, 28.46695, 181.5527, 2.628254, 497.4949, 106.9835, 586.5989, 435.2709, 53.85995, 1458.421, 1772.85, 186.7372, 182.4405, 1586.632, 380.2507
10.5, 167.7861, 465.8002, 1246.68, 284.3625, 207.8055, 350.7489, 26.79646, 179.0031, 2.46708, 471.3496, 98.50752, 551.7502, 408.3464, 50.06808, 1456.637, 1672.666, 171.0289, 171.9652, 1594.952, 363.1554
10.6, 156.8779, 517.717, 1282.13, 265.9708, 193.799, 393.9158, 25.22399, 167.5023, 2.31579, 446.5784, 90.70303, 723.5267, 508.9413, 46.54316, 1612.49, 1697.948, 295.3057, 162.0913, 1562.574, 346.8286
10.7, 146.6789, 609.5403, 1218.282, 248.7686, 225.2102, 373.7525, 23.74379, 282.114, 2.173777, 488.5732, 83.51686, 897.9672, 477.4597, 43.26641, 1535.597, 1601.997, 270.4647, 152.7843, 1596.838, 331.2359
10.8, 137.143, 566.0657, 1296.52, 232.6789, 210.0305, 354.6212, 22.35046, 263.9883, 2.040473, 462.8968, 76.90003, 844.6208, 520.658, 40.22035, 1515.481, 1511.468, 247.7134, 144.0118, 1511.295, 316.3442
10.9, 128.227, 562.2555, 1294.33, 217.6299, 195.8739, 398.2643, 183.9104, 247.0273, 1.915343, 438.5698, 70.80744, 794.4437, 522.7676, 37.38874, 1538.098, 1426.055, 226.8759, 135.7429, 1522.393, 302.1219
11, 119.8907, 522.1534, 1333.686, 203.5543, 230.3038, 377.8783, 173.1182, 231.156, 1.797887, 415.5213, 65.19756, 747.2474, 490.4308, 34.75648, 1634.968, 1414.008, 236.4575, 127.9488, 1595.73, 288.5392
11.1, 112.0963, 547.7592, 1326.33, 190.389, 214.7808, 358.5359, 162.9593, 232.0671, 1.687634, 393.684, 149.1011, 790.9793, 508.8396, 32.30954, 1557.003, 1384.671, 216.5668, 120.6023, 1510.247, 360.1481
11.2, 104.8087, 508.6909, 1260.281, 178.0752, 200.304, 340.1835, 153.3965, 217.157, 1.584142, 372.9944, 143.3029, 801.2271, 540.5058, 30.03487, 1501.079, 1413.546, 198.3493, 113.6776, 1644.143, 343.9565
11.3, 97.99483, 472.4092, 1385.764, 166.5578, 186.8031, 322.7705, 144.3949, 203.2048, 1.486997, 353.3921, 131.9494, 753.6278, 555.4019, 27.92034, 1429.5, 1394.546, 181.6643, 107.1504, 1650.963, 431.9346
11.4, 91.62396, 438.7152, 1519.93, 155.7853, 174.2121, 306.2488, 135.9215, 190.1491, 1.395809, 334.8199, 121.4954, 708.8564, 521.0464, 25.95468, 1509.287, 1460.344, 166.3828, 100.9981, 1562.521, 412.5157
11.5, 85.66728, 453.55, 1549.497, 145.7096, 162.4698, 290.5729, 127.9453, 187.4798, 1.310212, 455.055, 111.8696, 666.7447, 532.1375, 227.9707, 1447.983, 1458.452, 354.5624, 95.19896, 1551.55, 393.9698
11.6, 80.09785, 437.9314, 1627.039, 136.2855, 151.519, 275.6993, 120.4373, 175.4344, 1.229865, 502.8802, 103.0065, 627.1348, 499.221, 264.2083, 1378.935, 1629.468, 350.4399, 89.73283, 1634.476, 376.2577
