 , C001, C002, C003, C004, C006, C007, C008, C009, C010, C012, C014, C016, C019, C021, C022, C025, C036, C053, C054, C063, C064, C091
Time(s)/Cell Status, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.1, 162.2133, 191.9625, 64.10912, 0, 30.78506, 0, 0, 0, 0, 176.2344, 62.38422, 97.24252, 0, 0, 0, 0, 0, 85.68282, 25.5634, 0, 15.08466, 392.5056
0.2, 260.3545, 177.781, 60.96722, 263.2805, 29.3681, 0, 1.525879e-05, 0, 1.525879e-05, 449.6368, 151.2375, 116.7147, 9.536743e-07, 38.52032, 0, 0, 0, 81.88696, 24.16627, 0, 168.8132, 529.3743
0.3, 241.969, 164.6472, 57.97929, 256.3447, 28.01636, 112.5641, 0, 0, 146.4739, 497.3129, 166.8421, 109.5542, 71.65375, 311.3438, 0, 3.814697e-06, 0, 78.25928, 95.13531, 1.525879e-05, 219.371, 592.5942
0.4, 224.8819, 214.3583, 139.5365, 241.68, 26.72687, 164.7469, 367.8705, 0, 208.448, 464.5316, 275.0737, 102.8331, 172.8513, 295.2043, 0, 0, 0, 74.7923, 122.2308, 1.525879e-05, 257.4238, 738.2019
0.5, 278.3277, 267.8492, 132.698, 233.067, 97.84576, 154.5532, 730.0989, 0, 196.5702, 479.1506, 330.2881, 183.0544, 159.6293, 279.9014, 0, 0, 0, 71.47891, 115.5504, 1.525879e-05, 368.0029, 741.9292
0.6, 258.673, 278.0075, 126.1946, 219.7339, 150.6598, 144.9902, 675.2324, 0, 185.3692, 447.5664, 313.0919, 171.824, 354.0869, 350.7784, 0, 0, 0, 69.58797, 170.3181, 1.525879e-05, 517.3091, 983.0098
0.7, 240.4063, 261.4797, 120.01, 476.9158, 143.7253, 136.019, 624.4891, 39.9728, 174.8065, 418.0642, 296.791, 161.2826, 327.0016, 332.5945, 0, 0, 0, 140.0246, 161.0096, 1.525879e-05, 491.2018, 1052.465
0.8, 223.4295, 242.1626, 114.1284, 449.6329, 137.11, 127.6028, 663.8309, 37.68203, 164.8457, 390.5066, 281.3388, 151.3879, 352.5977, 315.3533, 0, -3.814697e-06, 0, 133.8214, 152.2098, 1.525879e-05, 466.412, 1312.655
0.9, 207.6516, 224.2725, 108.5352, 553.1207, 130.7992, 119.7074, 613.9445, 91.19193, 155.4525, 364.7656, 266.6912, 334.1176, 325.6262, 446.812, 0, 0, 0, 127.8929, 143.891, 1.525879e-05, 442.8734, 1455.352
1, 192.9878, 207.704, 103.216, 521.4783, 124.7789, 112.3005, 567.8069, 85.96587, 146.5945, 364.4465, 410.3131, 402.8788, 431.7752, 423.65, 0, 3.814697e-06, 0, 122.2271, 136.0268, 1.525879e-05, 420.5226, 1475.953
1.1, 333.3305, 405.1794, 98.15752, 514.8627, 119.0357, 105.3519, 617.3569, 81.03931, 138.2412, 424.8156, 388.9504, 777.5212, 431.1727, 441.3542, 0, 3.814697e-06, 0, 116.8123, 128.5925, 1.525879e-05, 487.2126, 1527.761
1.2, 309.7917, 406.774, 93.34695, 485.4089, 113.5568, 98.83331, 606.9597, 76.39508, 130.364, 396.8129, 446.8345, 853.8521, 448.1375, 463.1337, 0, 3.814697e-06, 0, 111.6373, 256.6291, 1.525879e-05, 682.9376, 1574.428
1.3, 287.9152, 376.723, 88.77214, 457.6402, 108.3301, 92.71801, 601.1646, 180.3287, 122.9356, 370.6562, 423.5704, 948.8214, 413.8578, 439.1256, 0, 3.814697e-06, 0, 106.6917, 242.6033, 1.525879e-05, 648.4714, 1548.034
1.4, 267.5834, 348.8921, 84.42152, 579.6667, 174.2132, 86.9811, 555.9874, 169.9944, 260.3018, 346.2237, 401.5175, 890.6111, 382.2004, 668.62, 0, 3.814697e-06, 0, 101.9651, 229.3442, 1.525879e-05, 615.7446, 1579.254
1.5, 248.6875, 323.1172, 80.28414, 546.5058, 329.2128, 81.59916, 514.2053, 160.2523, 245.4693, 323.4016, 380.6129, 835.972, 352.9645, 843.4316, 0, 3.814697e-06, 0, 97.44792, 216.8096, 1.525879e-05, 660.7576, 1542.998
1.6, 315.9293, 347.924, 76.34953, 515.2418, 314.0601, 76.55022, 475.5631, 151.0685, 297.0976, 302.084, 428.0726, 784.6851, 325.9651, 799.7095, 0, 1.907349e-06, 0, 93.13086, 204.9602, 1.525879e-05, 663.2149, 1570.009
1.7, 293.6193, 322.2207, 72.60773, 485.7664, 299.6047, 71.81367, 439.8249, 142.411, 280.1684, 282.1715, 485.9185, 736.5446, 301.0309, 758.2538, 0, 1.907349e-06, 0, 89.00505, 193.7584, 1.525879e-05, 629.744, 1545.37
1.8, 272.8847, 298.4161, 69.04932, 652.8759, 285.8148, 67.37022, 406.7723, 134.2497, 264.2038, 263.5716, 536.3245, 758.8484, 278.0039, 718.9471, 0, 1.907349e-06, 0, 85.06202, 183.1687, 1.525879e-05, 737.4841, 1518.101
1.9, 253.6144, 276.3702, 65.66531, 615.5269, 287.122, 63.20169, 376.2036, 126.5561, 265.2604, 246.1977, 508.4011, 712.293, 256.7385, 681.678, 0, 214.0502, 0, 81.29367, 173.1579, 1.525879e-05, 700.265, 1474.167
2, 396.9084, 255.953, 62.44714, 647.589, 273.9066, 59.29109, 347.9322, 119.3033, 250.1453, 229.9691, 481.9316, 855.6857, 237.0996, 646.3409, 0, 200.234, 0, 77.69226, 163.6942, 1.525879e-05, 716.4042, 1403.991
2.1, 392.1352, 237.0441, 59.38669, 610.5423, 275.1652, 55.62246, 321.7853, 112.4663, 412.711, 214.8102, 456.8402, 958.25, 218.9631, 612.8356, 0, 187.3096, 0, 74.2504, 154.7477, 1.907349e-05, 901.2983, 1641.792
2.2, 479.8117, 219.5322, 56.47623, 575.6151, 262.5002, 52.18083, 297.6033, 106.021, 389.1939, 200.6506, 433.0551, 899.4613, 202.2138, 581.0673, 0, 175.2195, 192.4391, 70.96101, 146.2902, 1.907349e-05, 882.3879, 1563.636
2.3, 458.713, 203.3139, 53.7084, 542.6858, 250.418, 48.95215, 275.2386, 99.94513, 410.5213, 187.4243, 410.5085, 844.2792, 186.7458, 550.9456, 0, 163.9097, 354.868, 67.81736, 138.2949, 2.288818e-05, 837.8558, 1489.2
2.4, 547.1158, 188.2938, 51.07622, 511.6404, 286.6104, 77.70013, 254.5546, 94.21745, 473.2732, 175.0699, 389.1357, 792.4826, 172.4609, 522.3855, 0, 153.3299, 422.7864, 64.81297, 130.7365, 104.0148, 889.2283, 1505.215
2.5, 508.4801, 174.3834, 48.57304, 482.371, 332.6381, 72.89244, 235.425, 88.818, 507.8476, 163.5298, 368.8756, 743.8638, 159.2688, 495.3058, 0, 143.433, 746.4796, 61.94168, 123.5913, 214.8055, 844.3511, 1665.833
2.6, 692.5363, 161.5006, 46.19255, 454.776, 317.3276, 68.38223, 217.7329, 83.72799, 648.4557, 152.7504, 412.8305, 1136.24, 147.0858, 469.63, 0, 134.1749, 937.7832, 59.19759, 116.8366, 508.2189, 833.3585, 1856.806
2.7, 680.2451, 290.847, 43.92871, 428.7596, 309.9376, 128.3662, 201.3705, 78.92968, 721.5286, 142.6815, 391.3368, 1460.819, 135.8347, 445.2851, 0, 125.5144, 1218.19, 56.57507, 110.451, 581.7303, 959.8364, 1930.717
2.8, 632.2082, 269.3602, 126.9569, 431.5567, 295.672, 125.3972, 328.8515, 74.40635, 726.7607, 133.2764, 536.3447, 1494.544, 125.4442, 422.2023, 0, 117.4129, 1416.927, 54.06873, 104.4145, 552.1285, 911.3958, 1907.49
2.9, 587.5635, 265.3021, 120.735, 406.8686, 282.063, 122.1094, 304.1385, 70.14225, 737.8314, 124.4912, 508.4203, 1468.632, 115.8485, 400.316, 0, 109.8343, 1344.088, 51.67341, 98.70784, 524.033, 980.3751, 1980.511
3, 608.3241, 245.7025, 114.8179, 383.5929, 320.8821, 114.5539, 399.7889, 66.12251, 718.7399, 116.2851, 481.9498, 1378.531, 106.9869, 379.5642, 0, 102.7449, 1348.764, 49.38422, 93.31309, 497.3672, 1014.655, 2016.052
3.1, 668.9934, 227.5509, 290.9465, 527.6473, 306.1128, 145.7498, 369.745, 62.33314, 756.8004, 108.62, 585.3613, 1293.958, 98.80307, 359.8882, 0, 96.11308, 1611.996, 47.19643, 88.21318, 472.0582, 1263.378, 2108.443
3.2, 1011.948, 210.7403, 276.6876, 497.4622, 292.0233, 136.7316, 341.9589, 58.76093, 713.6764, 101.4601, 554.8849, 1842.866, 91.24528, 341.2322, 0, 89.90933, 1529.129, 45.10558, 83.39201, 448.0371, 1359.957, 2136.488
3.3, 1045.243, 195.1716, 263.1276, 543.7936, 278.5822, 128.2713, 385.0731, 55.39344, 673.0096, 94.77211, 561.9745, 2081.595, 84.2656, 323.5432, 0, 180.3315, 1450.522, 43.10735, 78.83433, 425.2384, 1326, 2034.782
3.4, 971.4313, 180.753, 250.232, 638.5649, 265.7599, 181.4071, 356.1351, 52.21894, 634.6602, 88.52502, 532.7158, 2097.267, 77.81984, 306.7712, 0, 168.6917, 1375.956, 41.19764, 74.52574, 403.5998, 1259.08, 2221.367
3.5, 902.8318, 167.3996, 237.9685, 620.7872, 253.5277, 170.1826, 420.9138, 49.22636, 598.4959, 82.68971, 566.6393, 1968.6, 71.86713, 290.8687, 0, 232.132, 1305.223, 39.37254, 70.45264, 383.0623, 1351.645, 2247.44
3.6, 906.1185, 155.0327, 226.306, 585.2739, 241.8585, 159.6526, 389.2824, 46.40528, 564.3925, 77.23906, 584.4902, 1920.653, 78.75355, 275.7905, 0, 217.1487, 1238.126, 37.62828, 66.60214, 363.5698, 1283.431, 2165.691
3.7, 842.1311, 143.5795, 215.215, 551.7922, 230.7264, 149.7741, 360.0281, 56.45232, 532.2322, 72.14769, 554.0591, 1802.821, 72.72941, 550.655, 0, 203.1326, 1281.244, 35.9613, 62.96209, 345.0692, 1218.659, 2274.143
3.8, 782.6623, 132.9723, 204.6676, 520.2258, 220.1067, 140.5068, 432.5523, 66.13805, 570.3414, 67.39192, 580.279, 1740.255, 67.16608, 522.1099, 0, 190.0211, 1215.379, 34.36818, 59.52098, 327.5101, 1157.156, 2176.904
3.9, 837.6406, 123.1488, 253.2129, 490.4653, 209.9758, 131.813, 400.0463, 98.93948, 537.8422, 62.94965, 805.0922, 1723.084, 109.8254, 495.0446, 0, 177.7559, 1270.502, 252.2496, 56.26794, 310.8445, 1098.758, 2199.22
4, 864.9695, 114.051, 670.5124, 520.8832, 200.3112, 123.6571, 415.8519, 232.1199, 507.1948, 58.80021, 844.3932, 1695.976, 191.1978, 469.3823, 0, 166.2824, 1205.19, 261.5546, 53.19268, 295.0269, 1043.306, 2259.898
4.1, 960.6974, 105.6254, 733.6678, 491.0851, 191.0914, 116.0058, 384.6009, 393.309, 478.2938, 54.92427, 1014.641, 1656.211, 176.5724, 445.0503, 0, 155.5495, 1564.295, 477.3436, 50.28551, 280.0142, 990.6528, 2188.99
4.2, 892.8558, 97.82214, 697.7117, 462.9915, 182.296, 108.828, 355.6984, 395.1439, 451.0397, 51.30383, 961.8142, 1554.602, 163.0657, 421.9796, 0, 145.5093, 1483.88, 575.5751, 47.53722, 265.7654, 940.6569, 2223.585
4.3, 858.2115, 90.59539, 663.5178, 436.5052, 173.9054, 102.0942, 328.9679, 867.291, 460.9511, 47.92203, 911.7381, 1459.227, 150.5923, 400.1048, 0, 136.1172, 1467.199, 550.0764, 44.93913, 252.2417, 893.1841, 2261.614
4.4, 797.6072, 83.90253, 630.9997, 411.5341, 165.901, 95.77718, 304.2462, 884.503, 434.6852, 44.76315, 864.2691, 1369.703, 139.073, 379.364, 0, 127.3313, 1419.597, 525.7074, 42.48304, 585.8947, 848.1073, 2218.42
4.5, 751.7515, 77.70411, 600.0752, 396.9177, 158.2651, 89.85098, 281.3822, 833.8136, 409.9159, 41.8125, 819.2716, 1363.651, 128.4348, 359.6984, 0, 119.1125, 1346.621, 502.4179, 40.16119, 556.0809, 805.3054, 2112.814
4.6, 698.665, 71.96362, 570.6663, 374.2112, 150.9806, 84.29146, 260.2365, 786.0292, 386.5581, 39.05634, 776.6168, 1519.504, 135.6647, 341.0522, 0, 403.2226, 1277.396, 480.1602, 37.96623, 527.7843, 764.6636, 2142.554
4.7, 802.9495, 99.23656, 542.6987, 352.8037, 144.0314, 79.07594, 240.6799, 740.9832, 533.2758, 36.48186, 736.1829, 1426.282, 125.2872, 323.3726, 0, 377.1961, 1405.764, 458.8885, 35.89124, 500.9275, 726.0728, 2352.501
4.8, 746.2476, 112.4709, 516.1017, 332.6209, 137.402, 75.20363, 222.593, 698.5187, 584.6092, 34.07709, 697.8541, 1338.78, 115.7035, 306.6095, 0, 352.8494, 1333.499, 438.5592, 33.92965, 475.4373, 689.4296, 2474.896
4.9, 781.7488, 126.1998, 490.8083, 347.4789, 209.2496, 139.1996, 205.8652, 772.3427, 551.297, 31.83083, 661.5208, 1282.272, 106.853, 290.7153, 0, 330.0742, 1264.948, 540.6252, 32.07526, 451.2443, 654.6357, 2545.56
5, 726.544, 145.7123, 466.7544, 451.2598, 199.6184, 130.5867, 190.3946, 750.1833, 519.8829, 29.73264, 627.0792, 1352.579, 98.67941, 444.6293, 0, 308.7692, 1257.926, 518.9581, 30.32223, 428.2824, 621.5978, 2424.381
5.1, 700.3274, 134.9476, 443.8794, 506.5425, 190.4305, 122.5066, 176.0866, 707.1916, 490.259, 27.77275, 594.4308, 1313.004, 91.13108, 1059.902, 0, 288.8392, 1244.267, 545.6397, 28.66501, 406.4888, 590.2273, 2520.463
5.2, 650.8724, 124.9781, 422.1255, 529.8861, 181.6655, 114.9265, 162.8538, 749.2123, 462.323, 25.94205, 563.4822, 1232.451, 84.16015, 1471.932, 0, 270.1957, 1255.994, 521.4672, 27.09836, 385.8043, 560.4399, 2400.479
5.3, 604.9097, 115.7452, 401.4377, 499.5729, 173.3039, 107.8155, 150.6154, 706.2762, 435.9789, 24.23203, 534.145, 1156.84, 77.72244, 1395.629, 0, 252.7555, 1346.606, 546.0922, 25.61733, 366.1723, 685.5728, 2286.206
5.4, 562.1927, 107.1944, 381.7637, 617.7366, 165.3272, 101.1444, 139.2968, 665.8007, 411.136, 22.63473, 664.5734, 1085.868, 71.77718, 1323.282, 0, 236.4411, 1329.961, 521.8997, 24.21725, 425.0843, 773.3251, 2307.504
5.5, 522.4924, 99.27523, 363.054, 582.3977, 157.7177, 94.88612, 188.8092, 703.309, 387.7086, 27.9683, 629.9729, 1019.25, 66.2867, 1254.685, 0, 221.1796, 1536.198, 498.7789, 22.89369, 741.8978, 908.493, 2398.207
5.6, 485.5956, 181.9998, 345.2612, 549.0805, 150.4584, 203.8754, 226.2059, 663.0035, 404.2221, 100.4921, 670.4136, 956.7184, 61.21619, 1257.297, 65.34927, 206.9033, 1793.639, 476.6823, 21.64247, 704.1457, 862.6436, 2585.494
5.7, 451.3042, 333.4221, 328.3404, 572.928, 373.7463, 191.2606, 439.4288, 687.0639, 381.1887, 258.0904, 635.509, 898.0236, 56.53355, 1192.121, 116.6733, 193.5484, 1791.756, 455.5648, 145.1021, 668.3146, 819.108, 2570.559
5.8, 419.4344, 308.79, 312.2489, 650.4972, 356.5438, 179.4264, 406.406, 647.6895, 469.457, 241.0779, 602.4218, 842.9298, 52.2091, 1130.323, 129.6082, 181.0556, 1745.077, 435.3827, 137.1717, 634.3068, 777.7696, 2528.009
5.9, 389.8152, 285.9778, 296.946, 688.1227, 399.1881, 168.3244, 393.8891, 610.5715, 442.7064, 259.4754, 571.0571, 791.2159, 48.21545, 1291.374, 121.7396, 169.3691, 1893.209, 416.0947, 129.6748, 602.0296, 738.5174, 2493.53
6, 362.2877, 269.4223, 282.393, 701.9674, 380.8146, 157.9093, 364.2885, 575.5806, 446.33, 242.3715, 617.7307, 742.6747, 64.39025, 1246.132, 206.2993, 246.7879, 1857.905, 397.6612, 171.0497, 571.3948, 701.2462, 2407.78
6.1, 336.704, 249.5183, 336.1962, 661.8099, 460.8133, 148.1387, 336.9125, 542.5951, 420.8972, 329.9218, 585.5691, 697.1116, 59.46481, 1203.318, 193.7747, 230.8586, 1911.034, 380.0444, 161.7012, 542.3189, 665.856, 2489.744
6.2, 312.9269, 280.6714, 527.3146, 623.9498, 545.1542, 138.9727, 395.1946, 511.4999, 396.9136, 308.1744, 555.0818, 654.3438, 54.91614, 1200.701, 182.0105, 215.9575, 1861.76, 363.2079, 152.8636, 738.4568, 632.2518, 2371.222
6.3, 290.829, 259.9364, 501.4716, 750.6635, 652.4753, 130.3737, 365.496, 482.1867, 374.2966, 287.8604, 526.1819, 614.1996, 159.9097, 1138.458, 170.9604, 293.4376, 1927.816, 347.1174, 144.509, 700.8798, 788.2611, 2300.368
6.4, 275.6581, 318.2802, 476.8952, 715.64, 622.4437, 122.3069, 367.7048, 454.5534, 352.9684, 268.8856, 717.9238, 576.5184, 192.4098, 1299.776, 160.5813, 274.4973, 1849.179, 331.7397, 136.6111, 963.0248, 979.1134, 2190.861
6.5, 379.8251, 294.7668, 493.1514, 674.7004, 613.3525, 114.7392, 467.5585, 428.5037, 332.8556, 368.9975, 680.5457, 541.1489, 177.6917, 1360.701, 150.8322, 256.7794, 1892.759, 317.0432, 129.1448, 1029.795, 1039.608, 2203.066
6.6, 353.003, 383.3943, 620.4733, 636.1028, 749.9055, 107.6397, 432.4218, 403.9469, 313.8888, 344.6743, 645.1135, 507.9494, 164.0994, 1290.164, 141.6751, 240.2052, 2086.353, 308.8074, 176.0318, 1120.277, 1014.306, 2214.816
6.7, 328.075, 355.0705, 1034.785, 806.4451, 715.3894, 100.9795, 494.9068, 380.7974, 362.2245, 321.9544, 719.3201, 476.7867, 169.2566, 1223.284, 186.2904, 357.7931, 1979.101, 295.1269, 222.7337, 1159.984, 1060.05, 2210.011
6.8, 351.5463, 422.115, 1447.202, 840.5547, 682.462, 94.73141, 575.7244, 358.9745, 478.687, 353.5405, 937.5364, 447.5358, 156.3096, 1159.871, 174.9805, 397.3506, 1951.634, 347.3702, 264.6775, 1361.379, 1121.112, 2259.251
6.9, 326.7211, 390.9307, 1534.049, 792.4691, 651.0502, 88.86992, 615.926, 338.4023, 451.4104, 330.2362, 888.7243, 420.0794, 144.3529, 1099.745, 205.6874, 499.8866, 1879.241, 331.9813, 309.6401, 1487.415, 1122.265, 2322.15
7, 303.649, 396.1146, 1561.196, 805.5308, 621.0841, 83.37111, 569.6396, 319.009, 589.6517, 308.468, 931.4076, 394.3074, 133.3109, 1042.736, 193.1999, 467.6207, 1987.895, 317.2741, 362.2289, 1658.763, 1065.627, 2242.195
7.1, 282.2062, 366.8511, 1550.089, 759.4488, 592.4973, 78.21253, 526.8315, 300.7271, 556.0522, 293.4734, 915.7239, 370.1166, 123.1135, 988.6823, 181.4706, 437.4374, 1885.704, 304.8065, 342.4318, 1574.355, 1011.848, 2261.268
7.2, 262.2776, 339.7495, 1636.879, 756.7969, 565.2263, 73.37314, 487.2405, 283.493, 533.4158, 458.1045, 1022.17, 347.4099, 113.6961, 1110.993, 267.9098, 409.2024, 1788.767, 291.3032, 323.7166, 1494.243, 1186.896, 2280.233
7.3, 243.7564, 314.65, 1556.658, 713.5029, 672.0021, 68.83319, 450.6247, 267.2465, 542.3518, 466.4128, 968.9515, 326.0963, 104.9991, 1136.625, 251.6447, 382.7899, 1975.163, 278.3982, 306.0243, 1418.207, 1281.118, 2171.685
7.4, 226.543, 291.4048, 1480.368, 672.6855, 641.0717, 64.57414, 459.2925, 251.931, 511.4475, 435.6682, 981.9978, 306.0903, 173.4386, 1257.374, 236.3671, 358.0822, 1994.173, 266.0648, 289.2989, 1576.665, 1216.463, 2144.425
7.5, 234.3046, 278.4853, 1407.817, 763.9437, 611.5648, 60.57862, 464.2017, 237.4933, 482.3041, 480.1462, 930.8708, 287.3116, 160.1717, 1192.193, 245.4176, 334.9693, 1891.66, 254.2778, 342.882, 1496.435, 1155.071, 2130.672
7.6, 263.4682, 279.1415, 1338.822, 720.2407, 583.4162, 56.83033, 429.3172, 223.883, 454.8215, 456.3447, 882.4058, 269.685, 209.9263, 1130.392, 283.1839, 313.3482, 1794.417, 243.013, 546.8021, 1513.374, 1243.777, 2029.244
7.7, 244.8629, 282.1408, 1442.495, 679.0379, 556.5632, 53.31396, 397.0543, 211.0526, 428.9048, 426.2639, 946.3312, 253.1398, 193.8683, 1071.794, 265.9915, 433.9602, 1863.98, 318.9792, 573.4833, 1436.365, 1338.844, 1998.472
7.8, 346.9589, 322.8689, 1428.823, 795.9879, 530.9462, 50.01517, 367.2159, 198.9576, 474.4356, 413.4683, 897.0612, 237.6096, 213.7487, 1016.234, 249.8429, 405.9496, 1768.16, 304.8481, 735.7286, 1363.274, 1295.758, 1993.37
7.9, 371.8563, 487.2505, 1358.798, 767.6727, 506.5082, 46.92048, 339.6199, 187.5556, 447.4013, 386.2137, 1046.042, 223.0323, 197.3983, 963.5541, 252.3424, 379.747, 1677.265, 322.001, 901.3652, 1293.903, 1263.26, 1898.478
8, 345.5969, 464.9333, 1421.725, 723.7565, 483.195, 44.01729, 314.0977, 176.8071, 421.9075, 438.022, 991.5802, 209.3492, 182.2986, 913.605, 237.0225, 675.6273, 1671.11, 307.736, 852.1022, 1294.398, 1291.941, 1915.197
8.1, 321.1919, 457.6972, 1408.669, 682.3525, 460.9549, 41.29372, 290.4935, 166.6746, 397.8663, 409.1489, 939.9543, 196.5056, 247.4472, 866.2452, 222.6326, 632.0179, 1607.584, 294.1029, 909.6819, 1400.613, 1476.91, 2054.576
8.199999999999999, 298.5103, 423.8842, 1339.632, 643.3172, 439.7384, 38.73868, 268.6631, 157.1228, 375.1951, 382.179, 891.0164, 184.45, 249.7592, 821.3405, 209.1164, 591.2234, 1564.698, 281.0738, 859.9645, 1329.342, 1402.374, 2024.023
8.300000000000001, 318.4957, 392.5692, 1273.978, 615.2224, 419.4984, 36.34173, 248.4732, 148.1183, 353.8157, 453.3779, 844.6263, 173.134, 230.6543, 778.7635, 196.4207, 553.0621, 1484.263, 268.6219, 812.9642, 1261.697, 1331.599, 1927.671
8.4, 442.5125, 363.5676, 1211.542, 580.0273, 400.1901, 34.09309, 229.8006, 139.6299, 333.6545, 479.9694, 927.2249, 162.5122, 213.0107, 943.1027, 184.4958, 517.3639, 1407.962, 256.7216, 836.4347, 1197.494, 1264.397, 1835.906
8.5, 411.2636, 336.7085, 1385.886, 546.8458, 381.7704, 31.98358, 212.5312, 131.628, 314.6422, 448.3313, 1031.648, 152.542, 205.0857, 894.2137, 215.2296, 483.9699, 1481.577, 245.3485, 930.8701, 1136.559, 1383.833, 1907.483
8.6, 382.2214, 360.634, 1317.966, 533.6899, 364.1985, 30.0046, 259.9282, 124.0846, 296.7132, 418.7786, 977.9362, 143.1835, 287.2462, 847.8591, 262.8398, 452.7314, 1436.675, 234.4792, 879.9946, 1078.724, 1545.017, 1932.608
8.699999999999999, 355.23, 333.9917, 1253.374, 503.1591, 347.4355, 28.14807, 240.3947, 116.9735, 279.8059, 391.174, 1053.622, 214.4602, 265.2738, 803.9075, 259.0367, 423.5092, 1362.821, 224.0915, 831.8997, 1082.807, 1516.391, 2040.903
8.800000000000001, 330.1447, 309.3176, 1191.948, 474.3748, 331.444, 26.40641, 222.3292, 110.27, 263.862, 365.389, 998.7664, 201.303, 244.9821, 762.2343, 243.3103, 396.1732, 1540.117, 214.164, 896.3552, 1027.708, 1439.862, 2125.764
8.9, 306.8309, 286.4663, 1133.532, 448.8543, 316.1885, 24.77252, 205.6213, 103.9506, 248.8266, 341.3036, 946.7664, 188.9531, 226.2425, 722.7213, 228.5387, 370.6017, 1460.945, 213.863, 847.3661, 975.4118, 1367.196, 2130.53
9, 285.1634, 329.6467, 1077.979, 423.1767, 301.6352, 23.23973, 190.169, 97.99334, 234.6479, 318.8059, 897.4737, 177.3608, 208.9364, 685.2565, 214.6639, 346.6807, 1398.583, 242.403, 801.0544, 925.7771, 1298.196, 2114.598
9.1, 390.4441, 311.0616, 1182.475, 398.968, 287.7518, 21.80177, 175.8779, 92.3775, 221.2772, 297.7912, 850.7474, 372.3704, 192.9542, 649.7339, 201.6315, 324.3036, 1460.219, 231.6642, 757.2738, 953.2703, 1394.562, 2202.197
9.199999999999999, 362.8721, 322.7426, 1124.523, 376.1443, 274.5074, 20.45279, 162.6608, 87.0835, 208.6684, 432.9971, 806.4539, 349.5255, 178.1944, 616.0527, 189.3902, 303.371, 1438.188, 221.4012, 760.0608, 904.7623, 1399.983, 2305.079
9.300000000000001, 337.2472, 298.8996, 1069.412, 354.6262, 261.8725, 19.18727, 150.437, 82.0929, 196.778, 404.4553, 764.4665, 328.0821, 164.5637, 584.1176, 177.8922, 283.7895, 1407.422, 211.5929, 718.5206, 858.7227, 1329.329, 2464.021
9.4, 313.4318, 385.0417, 1158.641, 334.3391, 249.8192, 18.00007, 139.1317, 77.38829, 185.5652, 377.7948, 724.6652, 307.9542, 151.9757, 719.9423, 167.0921, 265.4719, 1385.416, 202.2191, 679.2508, 815.0259, 1262.241, 2481.985
9.5, 291.2982, 356.5962, 1128.454, 315.2125, 238.3208, 16.88631, 128.6761, 72.9533, 174.9913, 352.8917, 686.936, 289.0612, 140.3505, 682.6216, 156.9478, 248.3367, 1314.197, 193.2605, 642.1272, 1042.665, 1198.538, 2363.833
9.6, 270.7276, 330.2521, 1073.15, 297.1802, 227.3515, 15.84148, 119.0062, 68.77247, 165.02, 361.0848, 651.1712, 271.3272, 129.6146, 647.2356, 147.4194, 232.3074, 1246.639, 184.6988, 607.0326, 989.6078, 1264.719, 2270.749
9.699999999999999, 251.6096, 305.8543, 1020.556, 423.9045, 216.8871, 14.86129, 110.0629, 64.83124, 155.6168, 337.2831, 617.2685, 254.6813, 119.6999, 613.684, 138.4694, 217.3128, 1182.553, 176.5164, 852.1899, 939.2507, 1200.891, 2310.353
9.800000000000001, 233.8417, 283.2589, 970.5399, 399.6542, 206.9044, 13.94175, 101.7918, 61.11587, 146.7495, 353.7067, 585.1309, 239.0565, 138.3226, 650.4255, 277.5936, 203.286, 1121.762, 168.6966, 805.6146, 891.4562, 1229.161, 2251.251
9.9, 217.3285, 345.3298, 976.741, 376.7912, 197.3812, 13.0791, 94.14219, 57.61342, 138.3874, 398.3358, 554.6665, 224.3904, 127.7418, 616.7086, 507.7318, 190.1647, 1198.863, 161.2231, 870.3456, 846.0936, 1212.679, 2144.083
10, 201.9814, 319.8181, 928.8723, 374.9867, 188.2963, 12.26984, 134.2369, 54.31169, 130.5018, 372.0787, 525.7882, 210.624, 117.9704, 681.4736, 622.0311, 177.8902, 1137.233, 154.0807, 892.0443, 803.0395, 1184.496, 2283.256
10.1, 187.7181, 296.1911, 938.5603, 353.5348, 179.6295, 11.51064, 168.3597, 51.19918, 123.0655, 347.5524, 498.4135, 197.7022, 108.9464, 724.3021, 584.267, 166.408, 1170.293, 147.2548, 843.2907, 762.1761, 1188.893, 2301.682
10.2, 174.462, 274.3095, 939.2869, 333.3102, 171.3617, 10.79842, 155.7076, 48.26504, 116.053, 324.6428, 685.1438, 185.5732, 100.6127, 686.7554, 548.7956, 155.667, 1124.245, 140.7312, 797.2017, 723.3922, 1128.892, 2376.197
10.3, 162.142, 254.0446, 1020.169, 314.2425, 163.4743, 10.13027, 144.0062, 45.49905, 109.44, 303.2433, 649.4723, 174.1882, 92.91653, 651.1552, 515.4777, 145.6192, 1112.036, 134.4966, 753.6317, 686.5817, 1246.087, 2263.081
