 , C001, C002, C003, C004, C006, C007, C008, C009, C010, C012, C014, C016, C019, C021, C022, C025, C036, C053, C054, C063, C064, C091
Time(s)/Cell Status, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted
117.5, 308.0577, 452.5086, 524.2408, 160.2515, 107.0108, 267.1172, 270.626, 1434.267, 768.2794, 74.84113, 1293.661, 152.0279, 158.8325, 533.8254, 315.3818, 186.1618, 742.8353, 480.698, 203.4199, 938.7112, 894.6927, 0.6039842
117.6, 290.1436, 419.0789, 583.6865, 151.084, 123.9263, 250.5893, 265.3651, 1509.597, 822.5163, 74.06566, 1356.789, 142.701, 146.6829, 704.6055, 1119.684, 174.1457, 806.7711, 703.4404, 192.3023, 890.9441, 849.5397, 0.5752321
117.7, 324.3941, 388.1189, 555.0808, 142.4409, 205.2572, 235.0841, 389.7728, 1423.084, 852.0908, 69.18347, 1468.241, 133.9463, 135.4626, 668.0799, 1454.052, 162.9052, 765.2979, 751.2917, 283.0905, 943.9742, 1003.355, 0.5478487
117.8, 301.4863, 359.4461, 527.877, 134.2923, 195.8097, 220.5383, 431.2416, 1530.109, 803.5369, 64.6231, 1391.798, 125.7287, 125.1006, 633.4477, 1481.728, 152.3903, 725.9566, 747.928, 267.6185, 931.2828, 952.7184, 0.5217689
117.9, 280.1963, 332.8915, 546.4542, 126.6098, 186.7971, 206.8925, 398.8341, 1549.165, 983.3215, 60.36334, 1498.196, 118.0152, 115.5312, 600.6108, 1491.985, 142.554, 820.6662, 714.7939, 252.9922, 969.6068, 904.637, 0.4969305
118, 260.4096, 308.2987, 596.7943, 119.3669, 178.1994, 274.9097, 439.6007, 1460.385, 996.6666, 56.38437, 1682.786, 110.7749, 106.6938, 569.4761, 1409.155, 133.3527, 899.1718, 683.1277, 239.1652, 920.2675, 858.9821, 0.4732746
118.1, 242.0203, 285.5227, 567.5461, 112.5382, 169.9974, 257.8997, 406.565, 1481.152, 939.8745, 199.6526, 1595.173, 103.9789, 98.53241, 539.9553, 1393.373, 124.7453, 852.9485, 700.0942, 226.0939, 873.4388, 988.7327, 0.4507448
118.2, 224.9295, 264.4293, 539.7314, 106.1003, 162.1729, 241.9422, 376.0119, 1406.538, 886.3185, 186.4921, 1801.649, 97.59978, 90.99532, 511.9649, 1308.78, 171.4231, 809.1015, 734.112, 213.7371, 828.9932, 1163.809, 0.4292875
118.3, 209.0457, 244.8942, 513.2799, 100.0306, 154.7085, 226.972, 347.7549, 1325.931, 977.9351, 175.962, 1707.848, 91.61202, 84.03477, 485.4255, 1229.322, 194.3481, 930.9824, 731.4451, 202.0555, 786.8091, 1172.186, 0.4088517
118.4, 194.2835, 226.8023, 488.1248, 94.30814, 147.5877, 212.9282, 321.6213, 1249.944, 922.2103, 164.3631, 1766.683, 85.99162, 77.60666, 460.2618, 1238.612, 240.6093, 1002.507, 699.6044, 191.0125, 746.7717, 1138.478, 0.3893887
