 , C002, C003, C004, C005, C006, C007, C008, C011, C014, C015, C019, C022, C023, C027, C029, C030, C032, C034, C036, C037, C057, C068, C092
Time(s)/Cell Status, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted
50.5, 1393.152, 868.2878, 339.7052, 897.3657, 345.8471, 71.51639, 1334.314, 1.81895, 369.6398, 356.1484, 119.0541, 223.8955, 431.0175, 2.374623, 25.61001, 439.9915, 172.4077, 59.60702, 308.0129, 412.101, 323.0774, 44.14501, 1276.083
50.6, 1321.634, 822.7236, 323.4426, 949.4803, 327.4228, 68.23459, 1310.473, 1.734284, 391.4484, 344.0663, 114.0401, 213.5606, 412.4425, 2.257883, 24.36235, 489.0621, 164.6973, 56.89103, 293.979, 394.9556, 307.1709, 42.21796, 1240.625
50.7, 1253.788, 798.5692, 307.9585, 897.1848, 309.98, 65.10339, 1316.642, 1.653559, 373.4695, 329.3653, 109.2373, 214.8195, 394.668, 2.146882, 23.17548, 465.8973, 195.9279, 54.2988, 303.343, 378.5236, 350.6758, 40.37503, 1272.747
50.8, 1257.467, 778.7927, 293.2157, 965.6458, 293.4664, 62.11588, 1261.646, 1.576592, 356.3165, 315.2924, 104.6367, 204.9035, 396.2838, 2.041337, 22.04643, 546.5908, 207.8238, 51.82468, 289.5219, 392.6275, 333.4105, 38.61255, 1219.288
50.9, 1278.222, 737.9247, 279.1786, 912.46, 277.8326, 59.26546, 1208.947, 1.503207, 339.9512, 301.8208, 100.2299, 222.6617, 379.2057, 1.940982, 20.97238, 520.701, 240.6445, 49.46329, 276.3305, 376.2923, 316.9953, 36.92701, 1168.074
51, 1312.877, 699.2014, 265.8136, 862.2035, 263.0316, 56.54585, 1207.015, 1.433237, 324.3376, 340.3098, 96.00871, 212.3837, 362.8636, 1.84556, 19.95066, 496.0376, 229.8825, 47.20951, 263.7402, 360.6367, 354.7769, 35.31504, 1119.011
51.1, 1292.86, 662.5101, 253.0883, 814.7151, 249.0191, 53.95103, 1307.008, 1.366525, 309.4411, 325.7693, 91.96526, 202.5802, 347.2258, 1.754829, 18.97871, 472.5424, 293.3128, 45.05841, 251.7235, 345.6325, 337.3098, 33.77345, 1072.01
51.2, 1463.496, 788.6306, 240.9723, 869.8314, 235.7531, 51.47529, 1266.683, 1.302918, 295.2288, 398.0057, 88.09212, 193.2293, 332.2618, 1.668559, 18.05412, 450.16, 280.1953, 43.00533, 287.1404, 331.2525, 363.8189, 32.29914, 1075.871
51.3, 1388.367, 776.6355, 229.4363, 925.9065, 223.1938, 49.11315, 1213.774, 1.242272, 281.6692, 381, 93.2022, 184.31, 317.9428, 1.58653, 17.17457, 428.8378, 267.6645, 41.0458, 274.0575, 317.4708, 345.9066, 30.8892, 1104.928
51.4, 1317.095, 735.8808, 218.4525, 928.2504, 211.3036, 46.85941, 1255.75, 1.184448, 268.7324, 364.7209, 89.27696, 221.6327, 304.2408, 1.508533, 16.33787, 408.5255, 255.6941, 39.17555, 261.5707, 304.2624, 328.8761, 29.5408, 1110.197
51.5, 1249.482, 697.2647, 207.9946, 877.1242, 200.0468, 44.7091, 1203.297, 1.129316, 256.3898, 349.1373, 85.51704, 211.4023, 293.3403, 1.434371, 15.54193, 389.1754, 279.2426, 37.39052, 249.6529, 291.6036, 312.6841, 28.25126, 1063.565
51.6, 1243.656, 731.9564, 198.0373, 861.9163, 196.5092, 42.65745, 1153.036, 1.07675, 244.614, 334.2196, 81.91546, 201.6441, 280.6986, 1.363855, 14.78476, 370.7418, 266.7544, 35.68682, 269.7506, 279.4715, 297.2894, 27.01802, 1155.712
51.7, 1227.995, 693.5463, 188.5567, 926.8751, 186.0405, 40.69995, 1286.539, 1.026631, 233.3792, 319.9393, 94.07301, 192.3363, 347.0022, 1.296806, 14.06448, 353.1813, 254.8247, 34.06076, 257.4601, 267.8441, 282.6526, 25.83861, 1107.169
51.8, 1352.624, 704.0629, 179.53, 896.4492, 176.1296, 38.83229, 1232.8, 0.9788449, 222.6603, 306.2691, 90.11109, 183.4582, 340.8176, 1.233052, 13.3793, 336.4525, 243.4285, 32.50878, 284.8571, 256.7005, 372.9052, 24.71069, 1060.664
51.9, 1283.187, 667.1165, 170.9354, 847.0746, 166.7467, 37.05032, 1181.306, 0.933283, 212.4337, 293.1831, 86.31603, 174.9899, 326.1299, 1.172434, 12.72749, 320.5162, 295.5746, 31.02752, 271.8783, 246.0205, 354.5455, 23.632, 1157.192
52, 1261.382, 632.1089, 162.7522, 817.8979, 157.8636, 35.35013, 1131.963, 0.8898418, 202.6769, 280.6561, 82.6808, 166.9125, 312.0751, 1.114795, 12.10744, 305.3347, 282.356, 29.61376, 259.4908, 235.7848, 337.0897, 22.6004, 1227.866
52.1, 1196.629, 598.9384, 154.9608, 772.8498, 266.9295, 33.72796, 1181.986, 0.8484226, 193.3681, 268.6644, 79.19867, 159.2079, 298.626, 1.05999, 11.5176, 290.8722, 269.7285, 28.26441, 247.6678, 335.4966, 320.4933, 21.61383, 1247.704
52.2, 1248.188, 595.5507, 147.5424, 804.8882, 252.7094, 32.18023, 1132.615, 0.8089314, 184.4869, 257.1851, 75.86319, 151.859, 285.7566, 1.007879, 10.95649, 468.8671, 257.6658, 26.97655, 246.956, 321.5383, 304.7141, 20.67033, 1195.297
