 , C000, C001, C002, C003, C004, C007, C011, C016, C017, C018, C019, C021, C022, C023, C027, C028, C029, C030, C058, C059, C065
Time(s)/Cell Status, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted
19.1, 41.85289, 41.29403, 3.408271, 17.78062, 7.289156, 109.4186, 70.98589, 150.9669, 99.69394, 93.43061, 16.13139, 0.2199373, 89.33444, 191.3846, 28.05934, 11.08253, 210.8731, 108.9101, 124.8498, 33.76664, 106.2504
19.2, 39.35815, 49.43793, 3.186389, 16.55072, 6.818434, 125.8176, 87.46309, 168.755, 96.45971, 88.62512, 15.06399, 0.2089998, 84.32572, 201.97, 26.55569, 10.38878, 200.0754, 103.3611, 116.176, 31.96173, 100.4249
19.3, 37.01211, 58.32486, 2.978953, 15.40589, 6.37811, 129.1334, 82.9395, 161.1078, 90.6892, 118.141, 14.06722, 0.1986062, 79.59782, 205.5571, 25.13263, 9.738462, 193.7259, 98.09475, 108.1048, 30.25329, 94.91869
19.4, 34.80591, 71.8127, 2.78502, 14.34026, 5.966222, 122.4604, 78.64988, 153.8071, 96.67551, 112.0645, 13.1364, 34.61684, 90.07536, 197.1754, 23.78582, 9.128853, 207.7506, 93.09675, 100.5944, 28.63618, 117.824
19.5, 32.73122, 66.65664, 2.603713, 13.34833, 5.580933, 116.1323, 74.58212, 146.8373, 90.8921, 106.3006, 18.23493, 32.89534, 85.02509, 203.3294, 22.51118, 8.557404, 201.0369, 88.35339, 93.60568, 27.1055, 111.3638
19.6, 30.7802, 97.75256, 2.434209, 12.42502, 5.220525, 129.7408, 70.72473, 159.9524, 85.45467, 100.8332, 17.02834, 43.89608, 94.72284, 205.6546, 21.30485, 8.021726, 224.3601, 83.85172, 87.10252, 25.65665, 112.7677
19.7, 28.94547, 92.8154, 2.27574, 11.56557, 4.883391, 123.0364, 67.06686, 152.7041, 80.34251, 127.8691, 50.96756, 41.71313, 92.28618, 214.3455, 20.16317, 7.51958, 212.8718, 87.10893, 81.05117, 24.28523, 106.5848
19.8, 27.2201, 86.15137, 2.127587, 10.76557, 4.56803, 122.0354, 63.59817, 167.5504, 75.53618, 121.2923, 47.59509, 39.63873, 112.3303, 203.3314, 19.08266, 7.048868, 226.4476, 100.878, 75.42023, 22.98713, 112.8552
19.9, 30.2977, 79.96581, 1.989079, 10.02091, 4.273034, 115.7292, 69.02975, 159.9578, 71.01738, 115.0538, 48.92657, 37.66749, 106.0322, 192.8833, 18.06006, 6.607622, 214.8525, 95.73818, 70.18049, 21.75841, 118.4745
20, 28.49173, 108.658, 1.859589, 9.327756, 3.997088, 109.7489, 65.45954, 156.2656, 66.76891, 109.1361, 50.97466, 48.16423, 114.6609, 205.4693, 17.09226, 6.193997, 232.0348, 90.86025, 65.30478, 20.59537, 111.9787
20.1, 26.79341, 104.4021, 1.738528, 8.682549, 3.738962, 104.0777, 62.07398, 159.6503, 62.7746, 138.2818, 47.62124, 67.30227, 108.2322, 194.9113, 16.17632, 5.806264, 222.5905, 86.23085, 60.7678, 19.4945, 129.8696
20.2, 25.19633, 141.2266, 1.625348, 8.08197, 3.497506, 98.69946, 58.86352, 175.4717, 76.50222, 131.1695, 44.47019, 71.42107, 110.0923, 184.8958, 15.30946, 5.442803, 216.0984, 81.83732, 56.54602, 18.45247, 122.749
20.3, 23.69444, 131.0867, 1.519537, 7.522934, 3.271643, 93.59917, 73.47324, 167.5201, 71.92564, 124.4229, 42.09408, 67.86929, 104.203, 175.395, 14.48906, 5.102093, 211.8627, 77.66765, 70.69586, 17.46614, 116.0188
20.4, 22.28207, 121.6749, 1.420614, 7.002568, 3.060365, 88.76244, 69.67321, 165.9526, 67.62283, 118.0234, 39.30875, 64.49414, 98.36063, 166.3823, 13.71262, 4.782712, 201.0143, 73.71043, 65.78435, 16.53253, 123.0122
20.5, 20.9539, 112.9388, 1.32813, 6.518195, 2.862732, 84.17564, 73.33485, 158.4324, 91.37161, 118.2267, 42.72057, 61.28685, 92.84583, 168.3743, 12.97779, 4.483322, 190.7215, 69.95483, 76.54681, 15.64882, 116.2676
20.6, 19.70489, 127.3115, 1.241668, 6.067327, 2.677861, 79.82586, 83.46075, 151.253, 94.15577, 120.1408, 39.89379, 58.23905, 87.64024, 159.7224, 12.28233, 4.202675, 180.9557, 75.59498, 104.0527, 14.81235, 109.8928
20.7, 18.53033, 195.6685, 1.160834, 5.647645, 2.504929, 80.01044, 79.14417, 146.2878, 88.52309, 123.0144, 37.25405, 55.34282, 82.72652, 151.5151, 11.62415, 3.939595, 171.6899, 83.17114, 96.82373, 14.0206, 103.8675
20.8, 17.42578, 191.7454, 1.085263, 5.256994, 2.343165, 75.87591, 75.05083, 151.3936, 83.22738, 116.6873, 34.78899, 52.59061, 80.05245, 150.114, 11.00123, 3.692984, 176.5904, 78.9335, 102.2747, 13.27116, 107.3461
20.9, 16.38708, 177.9783, 1.014611, 4.893364, 2.191847, 71.95502, 71.16921, 146.1647, 78.24847, 110.6856, 32.48703, 49.97528, 84.4462, 154.9887, 10.4117, 3.46181, 182.3902, 74.91178, 97.3228, 12.56178, 101.4605
21, 15.41028, 165.1997, 0.9485594, 4.554886, 2.050301, 68.23675, 67.48835, 166.1404, 73.56741, 104.9926, 36.19816, 47.49001, 82.69531, 147.0246, 9.853755, 3.245107, 173.051, 71.09497, 101.8729, 60.28211, 95.89753
