 , C001, C002, C003, C005, C006, C008, C009, C010, C011, C012, C014, C016, C019, C023, C024, C029, C031, C033, C034, C036, C040, C042, C082, C123
Time(s)/Cell Status, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.1, 0, 0, 23.37329, 0, 0, 0, 0, 24.41278, 0, 0, 126.7808, 0, 0, 0, 131.7636, 0, 256.2424, 0, 241.4716, 0, 0, 119.64, 0, 0
0.2, 0, 0, 22.25934, 0, -3.051758e-05, -3.051758e-05, 0, 79.96829, 0, 0, 120.1593, 0, 148.5721, 0, 125.0334, 0, 694.2734, 0, 338.6981, 0, 0, 113.3428, 6.103516e-05, 0
0.3, 0, 0, 21.19843, 0, -3.051758e-05, 143.7914, 0, 207.2822, 6.103516e-05, 0, 113.8836, 388.5421, 138.7482, 0, 118.6469, 0, 799.7793, 0, 315.2448, 0, 0, 107.377, 57.65735, 0
0.4, 0, 0, 20.18814, -1.907349e-06, -3.051758e-05, 137.1681, 0, 294.6877, 6.103516e-05, 0, 107.9357, 380.6859, 313.299, 0, 129.8155, 0, 763.325, 0, 321.0002, 0, 0, 101.7253, 54.79596, 0
0.5, 0, 0, 30.57648, -1.907349e-06, 0, 130.8498, -3.814697e-06, 278.3282, 6.103516e-05, 0, 102.2984, 362.8955, 292.583, 0, 123.1848, 0, 728.5325, 0, 298.7724, 0, 0, 96.37103, 52.07654, 0
0.6, 0, 0, 291.0045, -1.907349e-06, 0, 171.5309, -3.814697e-06, 262.877, 6.103516e-05, 0, 135.4869, 345.9364, 300.9107, 0, 116.8927, 0, 695.3257, 0, 278.0839, 0, 0, 91.29855, 49.49207, -3.051758e-05
0.7, 0, 0, 669.765, -1.907349e-06, 0, 163.6298, 0, 248.2836, 337.8914, 0, 128.4107, 396.2057, 281.0139, 0, 110.922, 0, 1909.799, 0, 302.7018, 0, 0, 86.49307, 47.03589, 0
0.8, 0, 0, 803.421, 111.9814, -1.525879e-05, 332.358, 0, 481.4162, 318.5787, 0, 240.8523, 686.5969, 411.0912, 0, 113.1924, 0, 2985.361, 0, 281.7411, 0, 0, 81.94055, 100.4437, 0
0.9, 0, 0, 1027.991, 208.6634, 0, 317.0489, 0, 454.6907, 300.3698, 0, 286.0815, 665.1561, 383.909, 0, 107.4108, 0, 2893.251, 0, 274.8272, 0, 0, 77.62759, 95.45892, -3.051758e-05
1, 0, 0, 1002.527, 197.5742, 0, 302.4449, 0, 460.404, 319.0525, 0, 271.14, 1046.808, 358.5242, 0, 101.9244, 0, 3820.04, 0, 455.5393, 0, 0, 73.54172, 214.7607, -3.051758e-05
1.1, 0, 0, 954.7465, 187.0744, 37.08513, 288.5135, -1.907349e-06, 585.1009, 300.8166, 0, 256.9789, 997.8881, 421.0938, 0, 96.71829, 0, 3645.922, 0, 539.1542, 0, 0, 69.67087, 246.2555, -1.525879e-05
1.2, 0, 0, 1040.06, 177.1325, 35.34073, 275.2239, -1.907349e-06, 552.6194, 283.6229, 0, 243.5574, 1298.866, 393.2502, 0, 91.77809, 0, 3479.739, 0, 622.1062, 0, 0, 66.00375, 234.0343, 0
1.3, 0, 0, 1161.683, 167.719, 76.18069, 262.5464, -1.907349e-06, 521.941, 592.5289, 0, 230.8369, 1238.167, 367.2477, 0, 87.09023, 0, 4048.336, 0, 768.9971, 0, 0, 62.52969, 580.1931, -1.525879e-05
1.4, 0, 0, 1106.317, 158.8058, 72.59732, 250.453, -1.907349e-06, 557.6446, 558.662, 0, 218.7807, 1227.745, 342.9645, 0, 82.64181, 0, 3863.811, 0, 715.7478, 0, 0, 59.23846, 551.3992, -1.525879e-05
1.5, 0, 0, 1124.941, 150.3662, 69.1825, 238.9165, -1.907349e-06, 526.6873, 526.7308, 0, 207.3543, 1170.369, 320.287, 0, 78.42061, 0, 3687.697, 0, 666.1857, 0, 0, 56.12044, 524.0342, 0
1.6, 0, 0, 1071.326, 142.3752, 65.9283, 227.9115, 0, 497.4486, 496.6247, 0, 196.5246, 1347.975, 299.1089, 0, 74.41502, 0, 3519.611, 0, 620.0555, 0, 0, 53.16658, 498.0274, 0
1.7, 0, 0, 1083.16, 134.8088, 62.82718, 217.4133, 0, 469.833, 546.0947, 0, 186.2605, 1342.093, 279.3312, 0, 87.08096, 0, 3820.542, 0, 577.1196, 0, 0, 217.2915, 736.0067, 1.525879e-05
1.8, 0, 0, 1031.536, 172.2734, 145.8135, 207.3987, 0, 443.7505, 514.8818, 0, 205.4433, 1381.289, 260.8613, 0, 82.63303, 0, 3686.97, 0, 537.1569, 0, 0, 205.8545, 699.48, 0
1.9, 29.57743, 0, 982.3733, 163.1181, 138.9548, 197.8455, 0, 419.1159, 613.2894, 0, 194.7134, 1316.738, 243.6126, 0, 110.8236, 0, 3518.917, 0, 499.9613, 0, 0, 470.618, 838.0324, -1.525879e-05
2, 27.76848, 0, 935.5533, 154.4494, 132.4187, 188.7322, -9.536743e-07, 395.849, 698.9254, 0, 184.5439, 1384.903, 227.5044, 0, 118.3939, 0, 3447.844, 0, 465.3414, 0, 0, 445.8472, 796.4425, -1.525879e-05
2.1, 26.07016, 0, 964.0039, 146.2414, 126.19, 292.958, -9.536743e-07, 373.8737, 658.9772, 0, 174.9056, 1320.183, 415.8516, 0, 154.3095, 0, 3543.251, 0, 433.1187, 0, 0, 458.9243, 849.5739, -1.525879e-05
2.2, 24.47571, 0, 918.0594, 138.4695, 120.2543, 279.4637, -9.536743e-07, 353.1183, 621.3124, 0, 165.7706, 1511.334, 388.3546, 0, 200.3926, 0, 3505.912, 0, 414.4384, 0, 0, 434.769, 927.6249, -1.525879e-05
2.3, 22.97878, 0, 924.1757, 131.1107, 163.4306, 266.5909, 25.75208, 333.5151, 740.0968, 0, 157.1127, 1514.806, 362.6758, 0, 190.1569, 0, 3565.01, 0, 529.9498, 0, 0, 518.8488, 976.5777, 0
2.4, 21.5734, 0, 932.7512, 124.143, 155.7432, 254.3111, 23.81742, 315.0002, 697.7954, 0, 148.907, 1444.015, 338.6949, 0, 180.444, 0, 3706.931, 0, 493.2533, 0, 0, 567.6059, 974.4517, 0
2.5, 20.25397, 0, 888.2963, 117.5456, 148.4174, 242.597, 22.02812, 297.5132, 670.6745, 0, 141.1299, 1478.185, 316.2997, 0, 171.2272, 0, 3537.968, 0, 459.0978, 0, 0, 537.7301, 926.0916, 7.629395e-06
2.6, 19.01524, 0, 992.5745, 111.2987, 141.4362, 231.4224, 20.37323, 280.9969, 687.7458, 0, 133.759, 1409.106, 295.3853, 0, 162.4812, 0, 3426.74, 0, 427.3075, 0, 0, 509.4269, 987.8593, 1.525879e-05
2.7, 41.57703, 0, 984.5425, 105.3839, 134.7833, 220.7625, 40.3311, 265.3975, 648.4366, 0, 126.7731, 1343.255, 275.8539, 0, 154.182, 0, 3450.223, 0, 525.3857, 0, 0, 482.6133, 998.522, 2.288818e-05
2.8, 39.03418, 0, 959.55, 99.78339, 128.4434, 277.8775, 46.33178, 250.6642, 611.3741, 0, 147.5779, 1337.887, 257.6139, 0, 146.3066, 0, 3560.557, 0, 503.2643, 0, 0, 457.2111, 1098.311, 2.288818e-05
2.9, 36.64685, 0, 948.8767, 94.48051, 122.4017, 265.0779, 42.85106, 236.7487, 576.4301, 0, 139.8702, 1293.752, 240.5799, 0, 138.8335, 0, 3769.194, 0, 468.4157, 0, 0, 433.1459, 1043.804, 1.525879e-05
3, 34.40553, 0, 903.6532, 89.45946, 116.6442, 298.0667, 39.63183, 223.6057, 543.4833, 0, 132.5651, 1233.292, 224.6722, 0, 131.7422, 0, 3667.898, 0, 435.9801, 0, 0, 435.1558, 992.0015, 1.525879e-05
3.1, 65.46371, 0, 860.585, 84.70523, 263.8486, 284.337, 36.65445, 211.1924, 562.4323, 0, 125.6415, 1401.385, 209.8165, 0, 125.013, 0, 3500.714, 0, 405.7906, 0, 0, 412.2514, 942.7703, 2.288818e-05
3.2, 143.7691, 0, 819.5695, 80.20367, 259.9385, 271.2398, 33.90075, 199.4682, 567.3433, 0, 119.0795, 1450.845, 195.943, 0, 118.6276, 0, 3341.15, 0, 377.6915, 0, 0, 510.537, 895.9824, 2.288818e-05
