 , C000, C001, C002, C004, C005, C006, C008, C011, C012, C015, C017, C020, C021, C024, C028, C030, C035, C036, C037, C039, C049, C051, C054, C065
Time(s)/Cell Status, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted
187.5, 190.2949, 473.0242, 145.2957, 9.631578, 267.089, 37.13097, 329.7468, 177.708, 66.26851, 228.362, 157.6091, 328.8162, 635.4969, 466.4908, 659.436, 357.8124, 344.8879, 488.2886, 187.1813, 475.0165, 79.9805, 2463.186, 519.798, 981.8669
187.6, 180.8947, 447.3328, 138.8266, 8.847666, 330.6851, 34.50599, 310.8257, 168.7551, 62.14304, 211.4913, 146.5533, 364.0689, 601.1703, 442.3261, 685.9401, 339.5369, 328.1392, 519.4612, 177.794, 449.4803, 154.6623, 2321.733, 493.808, 1109.399
187.7, 171.9589, 423.0368, 238.4082, 8.127556, 310.9877, 32.06659, 292.9904, 160.2531, 58.2744, 195.867, 136.273, 342.0835, 568.6978, 419.4131, 647.8823, 470.8326, 312.2039, 647.7086, 168.8774, 425.317, 156.961, 2188.403, 469.1176, 1057.524
187.8, 163.4646, 400.0604, 227.7934, 7.466055, 292.4636, 29.79963, 373.51, 152.1795, 54.6466, 181.397, 126.7139, 364.5511, 537.9794, 397.6871, 611.9361, 446.7845, 297.0424, 621.9672, 160.4081, 402.4525, 149.2464, 2137.078, 445.6616, 1035.18
187.9, 155.3898, 378.3319, 217.6513, 6.858394, 352.94, 27.69294, 371.9567, 144.5126, 51.24464, 245.0847, 117.8253, 342.5366, 508.9202, 420.5594, 577.9843, 559.6384, 282.6172, 698.1089, 153.9844, 380.8173, 141.9109, 2202.954, 423.3785, 1040.425
188, 147.7139, 357.7836, 207.9607, 6.30019, 331.917, 25.73519, 364.0046, 137.2321, 48.05446, 226.9786, 109.5602, 367.4855, 481.4306, 398.774, 545.9162, 531.0545, 268.8925, 663.5155, 146.2619, 360.3451, 134.936, 2214.559, 402.2095, 1063.148
188.1, 140.4171, 338.3513, 198.7015, 5.787419, 312.1462, 23.91583, 454.6836, 130.3183, 45.06289, 210.2101, 101.8749, 345.2939, 709.0555, 378.1171, 515.6273, 503.9305, 364.5661, 630.6363, 138.9268, 340.9735, 128.3039, 2244.301, 382.099, 1060.092
188.2, 133.4808, 319.9744, 189.8546, 5.316382, 293.5531, 22.2251, 428.5936, 123.7528, 42.25755, 194.6805, 94.72872, 474.3498, 761.7037, 433.4241, 487.019, 478.192, 346.8618, 599.3864, 131.9594, 322.6433, 187.9391, 2115.417, 362.994, 1010.523
188.3, 126.8872, 302.5956, 181.4016, 4.883682, 276.0675, 20.65389, 404.0007, 117.5181, 39.62686, 180.2981, 88.0838, 445.7048, 720.5599, 410.9723, 459.9979, 704.9951, 433.9167, 599.262, 125.3415, 305.2985, 197.9686, 2052.049, 344.8442, 963.2711
188.4, 120.6192, 286.1608, 173.325, 4.4862, 297.594, 19.19376, 413.5563, 111.5975, 37.15993, 166.9782, 111.5013, 418.7896, 681.6385, 389.6835, 434.476, 668.987, 412.8446, 569.5667, 119.0555, 288.8861, 188.2385, 1934.206, 327.602, 918.2289
188.5, 114.6609, 270.6185, 165.608, 4.121069, 279.8677, 17.83685, 389.8262, 105.9751, 34.84659, 201.3049, 103.6798, 393.4998, 644.8195, 369.4975, 674.3218, 634.8181, 392.7957, 541.343, 113.0848, 273.356, 178.9866, 1914.315, 311.2218, 987.3647
188.6, 108.9969, 255.9204, 158.2345, 3.785656, 263.1973, 16.57588, 367.4578, 100.6361, 32.67725, 275.9735, 96.407, 369.7372, 609.9893, 350.3571, 658.9844, 602.3943, 373.7205, 514.5178, 107.4135, 258.6608, 170.1894, 1900.088, 295.6607, 941.196
188.7, 103.6127, 242.0206, 151.1893, 3.477542, 247.5199, 15.40404, 404.4391, 95.56599, 30.64297, 255.5854, 89.64435, 347.4096, 651.5159, 332.2083, 622.4222, 571.6266, 448.4087, 523.5109, 102.0266, 244.7556, 161.8246, 2700.284, 280.8776, 931.699
188.8, 98.49448, 228.8757, 144.4578, 3.194505, 232.7762, 14.31505, 381.2322, 90.75134, 28.73533, 236.7036, 93.5866, 326.4303, 616.3239, 314.9995, 751.5275, 542.4304, 426.6327, 497.5694, 96.90982, 231.5979, 248.3787, 2879.936, 266.8337, 888.1332
188.9, 93.62907, 348.2365, 138.0261, 2.934505, 218.9108, 13.30305, 459.0378, 86.17926, 26.94644, 219.2166, 93.73769, 306.7179, 583.0329, 298.6822, 827.6453, 514.7255, 405.9143, 472.9133, 95.41045, 219.1475, 236.1709, 2742.123, 253.492, 950.3152
189, 89.004, 329.3228, 131.8807, 2.695666, 240.2637, 12.36259, 432.6979, 93.51183, 25.26892, 356.1357, 157.7826, 327.7581, 551.5401, 419.1226, 912.3105, 488.4355, 472.0823, 449.479, 126.5844, 347.5035, 224.5632, 2642.092, 240.8174, 905.879
189.1, 84.6074, 311.4362, 126.0089, 2.476266, 225.9523, 11.48861, 407.8694, 193.9599, 23.69584, 329.8255, 146.7146, 307.9655, 597.7111, 414.5552, 861.6931, 463.4884, 449.1567, 427.206, 120.236, 397.6944, 262.5928, 2581.493, 355.387, 961.9811
