 , C000, C001, C002, C004, C005, C006, C008, C010, C012, C014, C015, C016, C017, C019, C024, C029, C030, C035, C037, C038, C040, C042, C047, C053, C080, C095, C101, C105, C107
Time(s)/Cell Status, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted
52.1, 16.47766, 290.2977, 270.0766, 171.527, 116.535, 995.9235, 579.1182, 521.6232, 706.1827, 41.03688, 488.6531, 0.9378407, 1015.325, 21.11295, 13.5435, 650.6682, 436.8856, 1986.002, 774.6221, 386.9678, 99.35669, 238.8659, 518.347, 383.5007, 798.4808, 782.981, 2341.346, 1706.038, 2357.985
52.2, 15.42328, 274.8331, 256.325, 161.7945, 110.5143, 999.9236, 576.2479, 497.857, 669.9755, 39.22855, 458.2683, 0.8800314, 955.7982, 19.97867, 12.89522, 615.1115, 413.1883, 1957.717, 733.5073, 360.278, 93.94566, 227.3799, 549.7408, 360.2364, 757.5733, 738.6404, 2229.133, 1702.235, 2360.458
52.3, 14.43636, 260.1923, 243.2735, 152.6142, 104.8047, 1101.854, 547.1721, 475.1736, 635.6246, 37.4999, 429.7729, 0.8257855, 899.761, 18.90533, 12.27798, 581.4979, 614.5278, 1945.144, 694.5748, 335.4291, 88.82932, 216.4463, 518.6016, 338.3834, 815.2267, 696.8108, 2264.125, 1639.593, 2380.215
52.4, 13.51259, 331.6839, 230.8866, 225.9915, 99.39006, 1221.249, 519.5634, 453.5238, 603.0349, 35.84743, 490.7693, 0.7748834, 847.0092, 17.88966, 11.69028, 549.7211, 615.6339, 1846.611, 657.7087, 450.4176, 83.99162, 206.0383, 551.0067, 317.856, 773.4612, 657.35, 2251.86, 1563.553, 2379.667
52.5, 12.64793, 443.8325, 219.1305, 241.9252, 94.25517, 1233.147, 522.3875, 432.8603, 770.8386, 34.26778, 475.3899, 0.7271189, 893.8398, 16.92855, 11.13071, 572.489, 582.241, 1901.55, 622.7994, 473.9545, 79.41738, 196.1309, 519.7957, 298.5739, 733.8355, 945.4277, 2143.936, 1607.449, 2552.748
52.6, 35.46636, 453.3294, 207.9729, 228.1983, 89.38557, 1278.916, 496.0294, 413.1383, 841.8973, 32.75773, 496.5988, 0.6822987, 841.4352, 35.02424, 10.59793, 556.4599, 647.2258, 1805.225, 589.743, 441.2652, 266.247, 186.6999, 543.6979, 280.4615, 696.2399, 1102.05, 2104.076, 1551.232, 2592.538
52.7, 41.89494, 429.1799, 197.3834, 215.2502, 84.76756, 1216.727, 582.1324, 394.3149, 798.7316, 31.31423, 537.4684, 0.6402412, 965.8619, 68.90213, 10.09065, 526.0513, 612.4238, 1713.78, 558.4412, 531.436, 251.747, 177.7223, 512.9009, 263.4479, 660.5703, 1291.882, 2145.694, 1479.291, 2623.698
52.8, 39.21413, 406.3168, 187.3331, 203.0369, 80.38812, 1137.122, 552.7597, 404.9625, 757.7792, 29.93434, 547.333, 0.6007762, 909.2347, 99.76754, 9.607646, 497.3045, 619.0079, 1626.968, 528.8007, 494.782, 238.0367, 169.1765, 607.132, 247.4663, 626.7282, 1218.722, 2164.423, 1514.45, 2638.626
52.9, 36.70486, 555.8737, 177.7946, 191.5165, 76.23495, 1142.59, 574.892, 386.5116, 718.9265, 28.61525, 543.4596, 0.5637438, 1011.173, 94.40761, 9.147765, 470.1286, 606.7069, 1544.553, 500.7335, 496.8831, 225.0731, 161.0415, 572.7419, 232.4543, 669.6399, 1149.705, 2099.104, 1745.333, 2617.559
53, 38.32466, 526.2615, 168.7417, 180.6498, 72.29635, 1091.085, 574.5777, 368.9013, 682.0657, 27.35429, 509.6669, 0.5289942, 951.8897, 89.33563, 8.709897, 444.4377, 692.1069, 1671.454, 474.156, 504.2225, 212.8154, 153.2978, 540.2999, 218.3529, 635.3331, 1084.597, 2096.718, 1745.8, 2567.419
