 , C000, C001, C002, C004, C005, C006, C008, C010, C012, C014, C015, C016, C017, C019, C024, C029, C030, C035, C037, C038, C040, C042, C047, C053, C080, C095, C101, C105, C107
Time(s)/Cell Status, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.1, 0, 0, 0, 0, 0, 0, 0, 125.8674, 0, 0, 0, 0, 68.46637, 100.4537, 0, 0, 0, 81.96643, 0, 210.4865, 0, 19.61157, 0, 0, 140.5432, 279.8395, 49.91821, 38.7605, 61.03418
0.2, 108.2669, 0, 0, -7.629395e-06, 0, 0, 7.629395e-06, 120.1326, 0, 0, 110.4193, 123.6966, 120.6188, 95.05685, 0, 58.65298, 3.619446, 77.81445, 0, 409.7125, 0, 18.66858, 6.103516e-05, 0, 133.343, 410.8589, 343.6332, 69.07617, 220.2158
0.3, 101.339, 7.629395e-06, 0, 0, 0, 0, 0, 114.6591, 0, 24.54637, 103.5534, 368.0837, 113.5471, 89.95, 0, 188.0898, 170.8735, 293.0076, 0, 572.6002, 0, 46.51044, 0, 0, 156.0452, 447.7671, 340.7169, 94.54224, 210.5751
0.4, 206.5905, 7.629395e-06, 0, -7.629395e-06, 0, 0, 92.9763, 109.435, 0, 72.15749, 225.3724, 378.6935, 106.8901, 85.11751, 0, 177.8114, 161.605, 313.1692, 0, 692.0913, 126.9243, 44.27393, 138.9651, 76.76941, 270.3022, 422.4098, 336.3785, 140.8088, 201.3566
0.5, 825.0286, 7.629395e-06, 0, 182.5952, 82.1933, 0, 88.28498, 104.4489, 0, 221.2324, 240.4185, 355.3505, 149.5956, 80.54463, 0, 168.0947, 152.8394, 297.3054, 97.95575, 644.3567, 120.0119, 90.26767, 231.9615, 196.2682, 256.4542, 398.4885, 383.0926, 444.9544, 192.5416
0.6, 1665.458, 18.00934, 0, 172.2347, 77.94686, 0, 83.83037, 99.69003, 0, 313.7691, 225.4691, 333.4464, 140.8251, 143.9021, 0, 158.9089, 144.5491, 314.2476, 92.75659, 613.468, 113.476, 85.92712, 218.8224, 184.3621, 243.3156, 549.0818, 443.6261, 515.8903, 184.1125
0.7, 2592.555, 65.21165, 0, 162.4621, 165.1989, 0, 95.98618, 98.43307, 0, 347.6034, 211.4493, 337.3734, 196.2638, 136.1711, 0, 150.2251, 136.7085, 385.2543, 108.5153, 571.1561, 258.8959, 81.79529, 206.4275, 173.1781, 230.8501, 608.8532, 454.9323, 817.5428, 176.0524
0.8, 2804.693, 61.73773, 0, 153.244, 156.664, 0, 91.143, 93.94826, 0, 332.2859, 198.3012, 316.5774, 249.9853, 133.551, 0, 142.0158, 132.5377, 540.3287, 102.7556, 531.7626, 244.7963, 77.86212, 194.7347, 162.6726, 219.0233, 748.1724, 433.1291, 910.8356, 168.3451
0.9, 2821.495, 58.44887, 0, 167.9237, 148.5702, 0, 147.5194, 89.66779, 1.525879e-05, 442.2029, 259.707, 297.0633, 235.3289, 152.2619, 105.3216, 134.2551, 203.9992, 512.9581, 224.2509, 495.0862, 231.4646, 74.11807, 183.7043, 152.8044, 327.4518, 837.1064, 412.3707, 868.5936, 160.9752
1, 2766.79, 55.33522, 0, 158.3956, 140.8944, 0, 208.1752, 85.58233, 1.525879e-05, 469.3969, 243.5583, 278.752, 325.9645, 144.0817, 124.7306, 126.9186, 192.934, 587.7279, 620.3539, 515.1259, 218.8588, 101.0746, 173.2987, 143.5349, 310.676, 936.5944, 555.6456, 828.3107, 377.5184
1.1, 2633.391, 52.38743, 0, 149.4082, 133.6152, 0, 228.27, 87.30206, 1.525879e-05, 546.7061, 275.075, 261.5695, 306.8537, 142.9113, 289.0665, 119.9829, 323.0297, 620.2152, 587.4274, 479.5969, 206.9397, 122.6539, 163.4824, 134.8276, 294.7595, 914.4303, 529.0154, 869.0155, 628.0806
1.2, 3064.549, 49.59668, 0, 217.5722, 126.7122, 0, 216.7521, 83.32441, 58.89305, 522.615, 275.8105, 245.4461, 288.8633, 135.2336, 275.23, 113.4262, 305.5081, 588.7978, 637.3352, 446.5184, 195.6696, 182.5087, 289.7518, 126.6486, 279.6584, 1004.418, 503.6616, 952.0057, 646.0687
1.3, 4205.682, 75.1483, 0, 205.2271, 241.5242, 0, 205.8154, 79.52798, 187.6279, 499.5854, 258.6605, 230.3166, 323.8667, 127.9682, 262.0558, 107.2279, 288.9369, 672.8781, 716.6924, 415.7213, 185.0133, 173.7327, 273.3392, 220.2425, 265.3311, 1068.98, 516.3135, 1256.722, 762.3767
1.4, 4707.757, 71.14504, 0, 278.7874, 285.5503, 0, 195.4306, 75.90453, 178.0079, 592.5652, 242.5768, 411.2111, 365.7506, 121.0932, 249.5123, 101.3683, 273.2645, 638.793, 728.6306, 387.0484, 174.9373, 165.3787, 361.3517, 226.0847, 251.7377, 1170.063, 553.1727, 1288.991, 841.7131
1.5, 4939.355, 67.35504, 0, 262.969, 281.0806, 0, 185.5697, 72.44617, 168.8811, 566.4531, 227.4932, 385.8637, 358.5735, 125.4187, 237.5691, 95.82887, 258.4422, 606.4346, 730.6595, 360.3531, 165.4101, 238.9377, 380.1776, 212.3697, 238.8408, 1140.566, 526.6611, 1453.947, 833.2535
1.6, 4681.733, 63.76694, 0, 248.048, 266.5588, 0, 176.2064, 69.14537, 213.3284, 541.4918, 316.865, 362.0787, 354.0658, 118.6807, 226.1976, 90.59216, 244.424, 575.7151, 691.8782, 382.6187, 156.4018, 227.4483, 533.7928, 238.8475, 226.6046, 1284.24, 501.42, 1392.274, 917.4199
1.7, 4570.37, 60.36998, 0, 249.5646, 252.7873, 0, 167.3155, 65.99496, 202.3907, 589.03, 437.3771, 401.0972, 333.3074, 112.3047, 215.3704, 112.4859, 300.7678, 558.2829, 655.1553, 517.5906, 147.884, 216.5114, 578.4945, 415.9953, 306.5049, 1353.483, 529.3888, 1327.704, 877.2569
1.8, 4363.173, 57.15398, 0, 255.9622, 239.7273, 0, 158.8733, 62.9881, 192.0137, 579.9067, 410.1806, 376.3732, 386.9067, 106.2712, 205.0614, 106.3389, 287.2809, 530.0027, 657.9717, 481.8916, 139.8302, 206.1003, 545.7266, 495.2625, 691.8345, 1389.216, 504.0171, 1266.129, 971.4664
1.9, 4083.978, 54.1093, 0, 241.4388, 278.2763, 0, 150.857, 60.11823, 182.1688, 596.2771, 384.6753, 353.1732, 399.0511, 122.4711, 195.2459, 100.5279, 271.6983, 683.0525, 623.0485, 573.6353, 132.215, 196.1899, 580.7149, 517.3578, 656.3906, 1310.544, 479.8613, 1207.41, 928.9373
2, 3898.036, 51.22682, 0, 227.7395, 263.8995, 0, 143.2452, 57.37913, 227.5706, 570.0016, 439.6625, 331.4034, 428.2642, 115.8914, 185.9003, 220.7334, 256.961, 685.8682, 589.9789, 705.3796, 125.0144, 186.756, 863.1823, 526.7987, 788.9408, 1391.516, 456.8633, 1151.414, 1015.667
2.1, 3809.999, 48.49789, 0, 249.4728, 250.2654, 0, 136.0174, 54.76482, 267.8849, 544.8839, 477.7358, 310.9754, 403.1556, 109.6652, 177.002, 208.6711, 243.0231, 651.1251, 608.6809, 656.7285, 118.2061, 177.7758, 842.8114, 541.5226, 972.9012, 1312.714, 524.2061, 1112.625, 1039.773
2.2, 3566.201, 45.91434, 0, 235.3176, 237.3357, 0, 232.2928, 52.26962, 254.1499, 520.873, 448.0298, 291.8066, 379.5191, 103.7735, 168.5296, 197.268, 229.8411, 618.1419, 630.6432, 611.4329, 111.7685, 169.2273, 841.3545, 508.6722, 1028.563, 1561.112, 499.0827, 1206.021, 1140.433
2.3, 3407.055, 43.46841, 0, 221.9657, 225.074, 0, 220.572, 49.88811, 241.1192, 497.9203, 420.171, 273.8194, 357.2684, 98.19838, 160.4627, 204.2813, 217.3742, 733.3752, 817.6147, 569.2614, 105.6815, 161.0899, 793.6972, 546.4574, 1017.528, 1472.706, 659.861, 1279.251, 1090.507
2.4, 3189.041, 85.51129, 0, 209.3713, 213.4458, 0, 209.4425, 47.6151, 286.9717, 475.9789, 394.0445, 256.9409, 336.3222, 92.92275, 152.782, 193.1181, 311.6792, 731.4861, 774.2181, 546.9612, 99.92601, 153.3438, 748.7394, 513.3076, 1288.284, 1389.306, 628.2362, 1323.611, 1106.654
2.5, 3072.607, 102.029, 0, 197.4915, 202.4183, 0, 246.0723, 60.56041, 272.2581, 455.0044, 455.6965, 241.1029, 316.6041, 87.93055, 145.4689, 182.5648, 294.7733, 788.1802, 901.3275, 509.2365, 94.48398, 145.9702, 706.3281, 535.02, 1367.516, 1310.629, 598.127, 1342.624, 1058.207
2.6, 2890.174, 96.5938, 0, 186.2858, 191.9606, 0, 233.6562, 57.80116, 306.6334, 492.8987, 427.361, 226.2411, 298.042, 83.20654, 138.5059, 172.5883, 278.7844, 748.2544, 853.4875, 512.6575, 89.33831, 138.9512, 703.0823, 586.9647, 1428.64, 1236.407, 569.4609, 1280.357, 1114.517
2.7, 2955.372, 91.4481, 0, 175.7158, 182.0431, 0, 221.8666, 55.16762, 338.5682, 471.1786, 400.7874, 212.2954, 280.5682, 78.73634, 131.8762, 163.157, 263.6627, 710.3511, 808.1868, 535.1915, 84.47289, 132.2697, 677.9445, 760.1425, 1380.728, 1166.389, 542.1686, 1249.604, 1108.036
2.8, 2766.261, 86.57653, 0, 165.7457, 172.638, 0, 210.6718, 52.65408, 321.2091, 450.4156, 375.8662, 199.2093, 264.1188, 74.50629, 125.5638, 154.2411, 249.3612, 894.4971, 785.5231, 498.2785, 79.87244, 125.9094, 666.6528, 794.713, 1534.288, 1100.335, 516.1843, 1266.307, 1242.174
2.9, 2607.368, 81.96448, 0, 180.5876, 176.6188, 0, 200.0419, 50.25505, 304.7401, 430.5676, 352.4945, 186.9299, 248.6339, 70.50349, 119.5535, 145.8123, 235.8355, 849.1858, 936.554, 591.0736, 75.52254, 119.855, 628.8913, 746.5033, 1805.916, 1038.023, 491.4454, 1273.463, 1250.74
3, 2440.525, 193.1439, 0, 254.2437, 167.494, 0, 189.9484, 47.96532, 289.1156, 481.4189, 330.5762, 175.4073, 341.718, 66.71575, 113.8309, 137.8442, 223.0434, 806.1697, 886.8444, 593.1334, 71.40953, 114.0918, 643.812, 803.8211, 1736.97, 979.2393, 467.8922, 1349.027, 1195.984
3.1, 2637.34, 182.8548, 0, 239.8178, 158.8406, 136.1861, 180.3641, 45.77993, 318.0738, 460.2047, 347.2256, 164.5951, 321.6835, 63.13149, 108.3823, 130.3115, 210.9452, 937.2161, 839.7732, 631.1511, 67.52052, 108.6056, 678.2289, 755.059, 1668.405, 923.7844, 445.4677, 1286.463, 1143.626
3.2, 2550.125, 284.4738, 0, 226.2105, 150.6342, 214.8532, 171.2635, 43.6941, 432.1696, 439.9253, 396.7768, 154.4493, 302.8236, 59.7398, 103.1945, 123.1905, 199.5032, 889.7408, 795.2004, 599.8519, 63.8433, 103.3832, 687.7473, 798.9811, 1826.57, 871.47, 424.118, 1269.797, 1146.474
3.3, 2451.55, 269.3194, 0, 213.3752, 142.8519, 222.7175, 162.622, 41.70331, 410.0115, 420.5395, 525.662, 144.9289, 342.1352, 56.53033, 98.25495, 116.4585, 188.6819, 844.6704, 752.9935, 623.7685, 60.36636, 98.41202, 648.791, 892.3253, 1732.992, 822.1183, 490.2271, 1210.908, 1147.8
3.4, 2396.508, 254.9724, 0, 201.2683, 135.4716, 228.7197, 154.4166, 39.80322, 685.8928, 530.496, 503.4468, 135.9954, 432.893, 53.49328, 93.55187, 110.0945, 261.1216, 820.679, 713.0267, 686.9541, 57.07877, 93.67984, 754.9912, 968.6576, 1714.964, 775.5613, 722.9148, 1154.749, 1325.163
3.5, 2270.005, 241.3896, 0, 220.4557, 178.7348, 228.4083, 255.6804, 37.9897, 849.0842, 534.1192, 472.1421, 127.6125, 407.5131, 115.0723, 89.07391, 144.8012, 246.958, 820.659, 675.1813, 639.5739, 53.97022, 89.17521, 759.8573, 909.8959, 1627.104, 969.6278, 688.2681, 1142.806, 1341.159
3.6, 2140.629, 258.356, 0, 207.947, 169.5006, 212.6988, 242.7795, 36.25882, 980.5604, 510.5827, 510.531, 119.7464, 383.6212, 172.3597, 406.5201, 158.5491, 325.8268, 873.5856, 799.2739, 595.4614, 51.03096, 84.88718, 758.0331, 854.699, 1543.745, 1044.568, 655.2819, 1114.701, 1376.791
3.7, 2021.326, 244.593, 0, 196.148, 160.7435, 198.0698, 230.5296, 34.60679, 1033.804, 504.5625, 478.7858, 112.3651, 430.5027, 163.0998, 387.0615, 149.885, 329.261, 962.2909, 756.8507, 554.3915, 48.25179, 80.80535, 774.8436, 802.8503, 1464.656, 1017.828, 623.8765, 1063.005, 1499.168
3.8, 1891.983, 297.1528, 0, 207.3125, 152.4389, 184.447, 218.8977, 33.03003, 980.799, 523.9424, 449.0146, 105.4388, 449.3418, 154.3374, 368.5344, 141.6943, 311.4014, 1015.48, 716.6792, 516.1543, 45.62396, 76.91979, 868.5181, 754.147, 1389.619, 986.5408, 593.9762, 1050.73, 1525.955
3.9, 1770.917, 281.3231, 0, 195.5495, 144.5633, 183.6839, 242.0565, 31.52512, 930.5116, 532.6661, 421.0946, 98.93948, 422.9975, 146.0457, 350.8941, 133.9512, 294.5106, 989.4392, 678.6399, 480.5544, 43.13925, 73.22107, 819.3221, 708.3983, 1473.896, 1173.764, 565.509, 1002, 1588.78
4, 1804.504, 266.3365, 0, 289.4754, 137.0946, 248.4595, 229.8431, 30.08877, 882.8026, 509.1936, 471.4045, 92.84076, 398.1977, 138.1995, 334.0981, 126.6313, 278.5359, 939.3185, 642.6196, 447.4098, 40.78986, 69.7002, 772.9129, 665.4247, 1398.385, 1328.563, 538.4061, 955.5303, 1546.485
4.1, 1769.907, 252.1484, 0, 273.0505, 130.0117, 231.371, 278.9859, 28.71786, 837.5396, 576.0413, 442.0922, 87.11797, 374.8519, 130.7749, 318.1062, 119.7113, 263.4277, 891.7368, 608.5112, 446.418, 38.56842, 66.34864, 729.1324, 625.058, 1362.181, 1350.644, 512.6023, 1042.387, 1545.732
4.2, 1656.653, 290.0037, 0, 257.5575, 123.2948, 215.4578, 264.9091, 27.40942, 794.5974, 777.9979, 414.6026, 81.74795, 352.8748, 123.7491, 302.8797, 113.1695, 249.139, 882.8528, 576.2131, 415.6279, 36.46796, 63.15824, 687.8318, 587.1401, 1444.328, 1387.341, 488.035, 994.0443, 1543.251
4.3, 1550.645, 274.5547, 0, 242.9436, 116.9249, 200.639, 251.5426, 26.16059, 753.8569, 743.7147, 397.6503, 76.70893, 332.1862, 117.1008, 288.382, 106.9852, 235.6253, 1024.211, 545.6294, 386.9614, 34.48189, 60.12125, 648.8707, 551.5225, 1483.965, 1308.775, 464.6452, 967.8317, 1558.203
4.4, 1451.421, 259.9288, 0, 289.7688, 110.8841, 186.8395, 238.8504, 24.96866, 715.2053, 751.4169, 372.9242, 71.98053, 429.0112, 110.8096, 274.5783, 101.1389, 266.5042, 972.3294, 516.6689, 462.8817, 32.60398, 57.23029, 612.1164, 518.0655, 1407.939, 1234.658, 442.3764, 967.2163, 1616.772
4.5, 1418.372, 246.082, 0, 273.3272, 105.1553, 173.9891, 226.7987, 23.83104, 678.5353, 776.8101, 349.7355, 67.54359, 403.8588, 104.8564, 261.4353, 95.61198, 252.0486, 923.0754, 565.7271, 430.9561, 220.7325, 54.47835, 577.444, 486.6381, 1335.808, 1164.739, 421.1749, 922.3596, 1592.485
4.6, 1327.612, 232.9729, 0, 257.8185, 99.7226, 162.0225, 246.1918, 22.74525, 643.7455, 762.8343, 373.1988, 64.49403, 399.2211, 99.22311, 248.9214, 90.38712, 238.3771, 876.3164, 535.6999, 401.2324, 208.7112, 51.85873, 544.7355, 457.1172, 1267.372, 1098.779, 400.9894, 971.3116, 1522.769
4.7, 1308.807, 220.562, 0, 243.1898, 94.57053, 150.8789, 233.7697, 21.70893, 610.7395, 729.2192, 349.993, 60.51857, 375.8152, 93.89243, 237.0065, 85.44778, 225.4471, 905.5215, 585.4414, 373.5587, 218.688, 49.36508, 513.8798, 429.3871, 1302.702, 1036.555, 381.7715, 976.9594, 1456.105
4.8, 1271.561, 230.4776, 0, 322.8474, 89.68464, 140.5018, 221.9743, 20.71983, 579.4258, 697.0854, 328.2302, 56.78815, 413.2575, 88.84813, 225.6619, 80.77837, 213.2186, 859.6517, 554.3679, 347.7938, 206.7781, 46.99134, 615.7177, 403.3392, 1277.228, 977.8542, 363.4745, 1044.968, 1544.839
4.9, 1190.195, 264.6012, 148.5466, 304.5289, 85.05117, 130.8383, 269.5615, 19.77579, 549.7176, 742.1421, 307.8206, 53.28768, 389.0287, 84.07483, 214.8604, 76.36412, 201.6533, 851.5292, 524.9436, 354.3132, 357.5193, 44.73174, 639.9174, 575.8527, 1293.768, 922.4779, 346.0544, 996.5051, 1477.209
5, 1114.036, 250.5055, 389.4793, 287.2499, 80.65709, 121.8395, 255.9602, 18.87477, 521.5325, 759.8616, 324.0584, 50.00298, 366.2205, 79.55798, 204.5758, 72.19109, 190.7153, 808.3944, 572.3871, 417.1912, 338.0486, 42.58079, 625.7009, 540.9197, 1227.486, 870.2375, 329.4692, 950.2902, 1412.539
5.1, 1066.556, 237.1607, 497.0733, 297.614, 76.49002, 113.4597, 268.9921, 18.01479, 494.7926, 726.3775, 397.2442, 72.58096, 344.7495, 75.28378, 194.7836, 68.24611, 180.3707, 767.4446, 542.0064, 388.4169, 319.6383, 40.53327, 790.5581, 508.1059, 1164.6, 820.9556, 313.679, 932.9234, 1350.701
5.2, 998.3079, 224.5268, 471.7635, 280.7273, 72.53824, 105.6562, 255.4195, 17.194, 616.3073, 694.369, 372.5433, 68.107, 324.5373, 71.23922, 185.46, 64.51671, 170.5871, 728.5692, 653.9139, 361.6272, 302.2306, 38.58421, 745.7781, 602.7151, 1104.935, 1280.933, 298.6454, 889.6572, 1291.569
5.3, 942.6139, 212.566, 447.7425, 277.5844, 68.79063, 98.38935, 242.5318, 16.41061, 584.7081, 742.4284, 349.3783, 63.90883, 305.5101, 67.41194, 176.5828, 60.9911, 161.3342, 691.6631, 804.4231, 336.6852, 285.7709, 36.72887, 703.5346, 566.1526, 1048.328, 1208.393, 284.3324, 892.5635, 1360.895
5.4, 882.297, 201.2423, 424.9445, 277.7168, 65.23663, 91.62234, 230.2943, 15.66291, 554.729, 709.7125, 327.6537, 110.3465, 287.5984, 63.79029, 168.1305, 57.65815, 152.5832, 726.2241, 761.7266, 408.5659, 270.2076, 34.96274, 663.684, 531.8081, 994.6201, 1139.962, 270.7054, 925.3689, 1366.453
5.5, 851.9269, 190.5218, 403.3074, 261.9591, 61.86624, 85.32075, 303.241, 14.94927, 620.6581, 727.7957, 384.4608, 1048.014, 315.3288, 60.36321, 160.0827, 182.213, 144.3069, 689.4367, 721.2963, 482.2788, 255.492, 33.28154, 626.0906, 499.547, 943.6641, 1075.405, 257.7314, 882.453, 1363.352
5.6, 797.413, 180.3724, 382.7719, 271.6102, 58.66998, 79.45256, 287.9403, 14.26816, 588.8358, 897.7095, 360.5547, 2030.571, 435.9197, 57.12024, 152.4202, 172.2558, 136.4794, 654.5128, 766.0968, 1075.948, 241.5777, 31.68118, 590.6266, 469.243, 1210.897, 1014.504, 245.3792, 877.6056, 1303.667
5.7, 880.2145, 170.7637, 363.2821, 270.1334, 55.63886, 73.98798, 305.9806, 13.61807, 558.6451, 1077.7, 338.1352, 2540.378, 410.3623, 54.0515, 145.1244, 162.8426, 129.0766, 621.358, 725.4346, 1330.222, 228.4212, 30.15778, 557.1714, 440.7773, 1148.861, 957.0523, 233.6191, 836.9048, 1601.741
5.8, 823.8906, 161.6669, 344.7847, 254.806, 52.76433, 68.89924, 315.2201, 12.9976, 530.0023, 1181.637, 317.1097, 2884.898, 406.3922, 51.14762, 138.1779, 153.9438, 122.0753, 589.8828, 785.1287, 1301.579, 215.9812, 28.70763, 525.6113, 414.0385, 1090.003, 902.854, 222.4225, 832.9846, 1531.62
5.9, 771.1707, 153.0546, 327.2291, 330.5923, 50.03831, 64.16049, 342.4505, 12.4054, 502.8281, 1129.567, 297.3916, 2707.07, 382.566, 48.39976, 131.5638, 145.5314, 115.4538, 560.0018, 856.6814, 1322.219, 204.2188, 27.32721, 495.8388, 388.9217, 1034.16, 851.7249, 211.7626, 794.3533, 1464.568
6, 721.8243, 144.9012, 310.5674, 311.8344, 47.45314, 59.74767, 325.1714, 11.84019, 477.0472, 1130.21, 278.8996, 2540.204, 385.511, 45.79951, 125.2664, 137.5786, 126.5999, 531.6346, 811.2112, 1231.023, 193.0969, 26.01317, 467.7528, 365.3285, 981.1786, 803.4913, 201.6136, 757.5135, 1400.452
6.1, 675.6356, 137.1821, 294.7541, 294.1409, 45.00152, 55.63834, 308.7642, 11.30073, 452.5881, 1105.752, 303.7494, 2401.621, 362.9091, 43.33897, 119.2704, 130.0604, 119.7329, 504.7043, 768.1544, 1265.64, 182.5807, 24.76231, 441.2577, 343.1666, 930.9112, 757.9892, 191.9509, 755.8481, 1339.142
6.2, 632.4024, 164.0659, 279.7459, 277.4512, 42.67656, 51.81165, 345.7779, 10.78584, 429.383, 1108.207, 284.8621, 2253.583, 341.6322, 41.01062, 113.5614, 122.9531, 113.2384, 479.1382, 727.383, 1178.347, 172.6372, 23.57161, 416.2633, 451.6679, 883.2191, 715.0639, 182.7514, 734.8362, 1280.517
6.3, 591.9357, 155.3259, 352.8134, 261.7086, 40.47172, 48.24815, 349.861, 10.29442, 407.3678, 1165.856, 344.8258, 2114.67, 355.8151, 38.80735, 108.1256, 116.2341, 107.0962, 510.7817, 741.7862, 1116.458, 163.2353, 22.43815, 472.5934, 424.2684, 837.9702, 674.5695, 173.9928, 793.6245, 1224.458
6.4, 554.0583, 147.0514, 445.4246, 246.8591, 38.38079, 44.92974, 332.208, 9.825383, 386.4813, 1114.481, 323.3843, 2162.554, 490.603, 51.55379, 102.9501, 109.8823, 101.2872, 648.2841, 777.8409, 1089.931, 154.3454, 21.35921, 496.2564, 398.531, 795.0396, 636.3683, 165.6539, 772.7437, 1170.854
6.5, 518.6047, 139.2178, 523.0227, 232.8523, 36.39788, 41.83957, 315.4458, 9.377718, 479.1157, 1065.37, 381.4392, 2029.252, 461.8396, 48.78411, 98.02225, 103.8777, 221.5121, 634.2191, 750.7091, 1179.113, 145.9397, 20.33214, 486.7043, 374.3549, 754.3083, 600.3304, 157.7147, 736.9061, 1119.596
6.6, 485.4198, 271.3775, 496.3917, 219.6402, 34.51742, 38.96193, 299.5293, 8.950451, 454.5505, 1018.424, 484.3538, 1967.322, 434.7625, 46.16322, 93.33031, 98.20111, 236.8533, 602.0923, 710.8636, 1148.24, 137.9917, 19.35446, 600.8395, 422.8145, 715.6638, 566.3334, 150.156, 757.4534, 1070.582
6.7, 454.3583, 301.7855, 471.1166, 207.1777, 32.73412, 36.28221, 315.728, 8.54265, 485.792, 973.5459, 508.2263, 1846.055, 489.3678, 72.31161, 88.86295, 92.83477, 224.006, 581.7006, 694.6677, 1096.906, 130.4766, 18.42379, 566.8059, 525.1537, 678.9991, 534.2617, 142.9595, 722.3249, 1023.713
6.8, 425.2844, 328.4062, 542.2706, 195.4224, 31.04294, 33.78679, 299.7973, 8.153429, 460.8846, 930.6456, 538.0665, 1732.262, 534.1946, 68.42672, 84.60942, 87.76168, 211.8556, 731.2733, 760.5996, 1042.535, 123.3707, 17.53787, 578.2161, 493.2964, 644.2129, 504.0062, 136.108, 688.8256, 978.897
6.9, 398.0709, 336.3828, 514.6595, 184.3341, 29.43914, 31.46301, 284.6704, 7.781942, 437.2542, 889.6357, 627.748, 1625.484, 502.8755, 177.7685, 80.55949, 82.96582, 268.2653, 694.2301, 720.2291, 970.6295, 116.6519, 16.69456, 598.8478, 529.1948, 611.2088, 475.4641, 129.5848, 753.9456, 936.0425
7, 372.5988, 318.4631, 488.4543, 173.8749, 27.9182, 29.29905, 332.4664, 7.427382, 538.7987, 850.4331, 588.7142, 1525.288, 473.3926, 168.218, 76.70342, 78.43204, 253.7142, 659.0634, 682.0014, 903.6837, 110.2989, 15.89179, 564.9269, 497.0923, 579.8955, 448.5383, 123.3743, 718.9798, 895.0642
7.1, 348.7566, 446.9276, 528.0436, 164.0092, 26.47583, 27.28392, 315.6911, 7.088975, 511.1735, 812.9579, 603.8, 1431.268, 445.6382, 159.1806, 73.03193, 74.146, 273.3343, 732.8574, 645.8027, 943.4539, 104.292, 15.12763, 532.9275, 466.9371, 550.1865, 423.1373, 117.4614, 748.9844, 855.8798
7.2, 326.44, 423.119, 508.3629, 154.7033, 25.10798, 25.40739, 299.7623, 6.765986, 484.9647, 777.1341, 566.2552, 1343.043, 419.511, 201.2629, 69.53618, 70.09419, 258.5082, 734.7412, 611.5254, 928.6182, 98.61218, 14.40021, 502.7406, 438.6113, 521.9995, 399.1749, 111.8319, 714.887, 818.4108
7.3, 305.5515, 553.73, 529.8578, 145.9254, 23.8108, 23.65992, 284.6371, 6.457715, 460.0996, 742.8889, 531.0452, 1377.329, 394.9156, 190.4502, 66.20776, 66.26379, 261.8886, 722.9485, 579.0673, 951.4039, 93.24169, 13.70777, 474.2636, 503.3045, 495.2566, 376.5694, 106.4722, 681.7327, 782.5822
7.4, 285.9995, 524.232, 553.6641, 137.6455, 22.58064, 22.03264, 270.2751, 6.163488, 436.5094, 710.1527, 519.119, 1292.43, 476.0079, 180.2184, 63.03865, 62.64271, 334.6834, 788.1841, 548.3321, 885.7841, 88.1637, 13.04862, 601.1835, 472.7726, 469.8837, 355.2441, 101.3693, 650.1158, 748.3221
7.5, 267.6987, 496.3054, 546.2437, 129.8355, 21.41404, 20.51728, 256.6378, 5.882668, 414.1288, 885.0237, 500.3757, 1212.763, 448.1002, 170.5363, 60.02123, 59.21951, 316.5297, 767.6935, 659.9125, 986.0984, 83.36224, 12.42118, 659.0485, 660.8099, 445.8108, 335.1265, 96.51105, 619.9654, 715.5619
7.6, 250.569, 469.8665, 518.4302, 122.4686, 20.3077, 19.10615, 243.6886, 5.614641, 392.8956, 846.0242, 469.262, 1215.419, 494.4912, 161.3744, 57.14825, 55.98338, 299.3607, 829.2769, 624.8863, 930.3561, 78.82228, 11.8239, 750.8953, 676.1302, 422.9712, 316.1481, 91.8856, 629.5791, 684.2358
7.7, 253.2857, 486.5383, 492.033, 115.5197, 19.25852, 17.79206, 231.3928, 5.358827, 372.7512, 808.7433, 529.6052, 1140.499, 614.931, 152.7047, 54.41278, 52.92409, 283.1229, 787.2693, 591.7191, 943.0939, 74.52956, 57.70051, 708.362, 684.682, 401.3016, 298.2445, 87.48186, 600.3811, 654.2811
7.8, 237.0782, 466.8646, 466.9799, 108.9651, 18.26355, 16.56836, 382.7815, 5.114668, 353.6395, 844.1599, 496.674, 1111.816, 742.6233, 144.5007, 351.8558, 50.03197, 267.7659, 749.0783, 560.3123, 878.0474, 70.47063, 145.262, 736.7621, 643.1472, 380.7423, 281.3547, 83.28916, 618.9258, 625.6378
7.9, 226.3275, 518.2536, 443.2024, 102.7824, 17.31998, 15.42883, 363.4674, 4.881633, 335.5078, 806.9611, 465.7905, 1043.283, 741.7232, 214.24, 335.0138, 47.2979, 283.8167, 711.1332, 530.5726, 887.3798, 66.63276, 138.277, 695.0293, 604.132, 361.2362, 265.4215, 79.29741, 590.2219, 598.2484
