 , C002, C003, C004, C006, C007, C008, C009, C010, C011, C014, C016, C024, C025, C026, C027, C031, C042, C043, C054, C060, C067, C101, C115, C116
Time(s)/Cell Status, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.1, 0, 0, 21.53232, 72.56335, 0, 59.8689, 0, 0, 450.4416, 147.9074, 0, 0, 0, 33.62872, 75.76129, 0, 157.296, 40.65344, 0, 270.2219, 174.5703, 46.51831, 69.86572, 0
0.2, 0, 3.051758e-05, 81.21411, 144.7918, 0, 57.28351, 0, -1.525879e-05, 849.1495, 140.1961, 0, 0, 53.7063, 382.999, 71.82111, 3.814697e-06, 169.8002, 86.48779, 44.96173, 307.4729, 209.9692, 115.0569, 66.63757, 32.01746
0.3, 0, 0, 75.51459, 136.1859, 0, 54.80969, 0, 31.75664, 1360.167, 150.9338, 0, 0, 123.9696, 363.8706, 68.08575, 0, 184.958, 199.7792, 42.61096, 364.3142, 197.7725, 122.0098, 195.2526, 49.70386
0.4, 0, 0, 70.21506, 128.0915, 0, 52.44275, 0, 29.84142, 1555.104, 262.5582, 0, 0, 162.8232, 345.6976, 64.54474, 3.814697e-06, 295.8389, 237.1934, 40.38306, 485.2692, 186.2844, 244.5928, 186.2312, 61.84216
0.5, 0, 0, 65.28745, 120.4783, 0, 50.17804, 0, 28.0417, 1534.211, 272.33, 0, 0, 247.3495, 328.4322, 61.18787, 3.814697e-06, 281.1624, 354.637, 107.3428, 458.2686, 175.4636, 413.0826, 298.8973, 190.8829
0.6, 0, 0, 60.70566, 113.3175, 0, 48.01111, 0, 29.24344, 1456.059, 258.1317, 0, -3.051758e-05, 236.4788, 312.0291, 58.00562, 3.814697e-06, 267.214, 332.9294, 101.7305, 432.7704, 373.1592, 392.2379, 318.9093, 182.2249
0.7, 0, 0, 56.4454, 106.5823, 0, 45.93774, -2.384186e-07, 27.4798, 1381.888, 312.9643, 0, 0, 226.0857, 296.4453, 54.98883, 3.814697e-06, 253.9576, 312.5508, 96.41156, 496.4834, 467.987, 413.1643, 304.1743, 173.9597
0.8, 0, 0, 149.1976, 100.2475, 0, 43.95392, -2.384186e-07, 25.8225, 1490.486, 296.6475, 0, 0, 216.1494, 281.6397, 52.12897, 3.814697e-06, 241.3589, 384.4756, 91.37073, 468.8589, 902.0355, 422.6159, 290.1202, 166.0693
0.9, 0, 0, 342.0878, 94.28915, 0, 42.05579, -2.384186e-07, 24.26516, 1414.562, 300.7932, 0, 0, 206.6498, 267.5736, 49.41785, 3.814697e-06, 273.1516, 374.5925, 86.59351, 442.7714, 966.1313, 401.2901, 276.7155, 427.3793
1, 0, 0, 318.0805, 88.68497, 0, 40.23962, 0, 47.25468, 1342.504, 308.8828, 0, 0, 197.5677, 254.21, 46.84775, 0, 397.711, 446.6772, 82.06604, 518.9171, 935.9247, 381.0405, 464.9532, 407.9944
1.1, 0, 0, 295.758, 83.41387, 0, 121.6728, -2.384186e-07, 155.3908, 1388.609, 292.7789, 0, 0, 307.0221, 241.5138, 44.41129, 0, 377.9807, 419.3359, 77.77527, 490.0444, 929.8606, 567.3842, 443.4706, 389.4887
1.2, 0, 3.051758e-05, 275.0021, 78.45607, 0, 172.929, 0, 169.3059, 1379.239, 385.6742, 0, 0, 449.4437, 229.4517, 111.6214, 285.556, 359.2292, 422.05, 73.70883, 462.7781, 875.8469, 634.7119, 583.8987, 371.8224
1.3, 0, 3.051758e-05, 255.7028, 73.79294, 0, 208.0706, 0, 159.0952, 1308.981, 430.2404, 0, 3.051758e-05, 429.691, 217.992, 105.8162, 416.6731, 341.408, 459.9828, 69.85504, 485.0525, 900.0634, 602.6834, 631.2305, 354.9574
1.4, 0, 169.2385, 237.7579, 173.9169, 0, 199.0851, 0, 149.5003, 1346.795, 407.8093, 0, 186.2253, 418.3414, 207.1047, 226.9034, 394.0883, 463.8873, 431.8271, 66.20273, 566.5223, 847.7806, 775.8226, 797.9384, 338.8574
1.5, 0, 161.4518, 221.0723, 163.58, 0, 190.4877, 0, 158.3152, 1296.86, 386.5476, 0, 176.43, 399.9556, 196.7611, 215.1025, 511.4932, 457.991, 405.3948, 62.74136, 535.0008, 798.5348, 736.6735, 841.2999, 323.4875
1.6, 42.5363, 154.0234, 205.5577, 153.8574, 0, 306.6674, 0, 167.0357, 1230.798, 366.3945, 0, 167.15, 382.3778, 186.9342, 327.6428, 577.1089, 435.2703, 510.4948, 271.8185, 505.2332, 752.1495, 699.4999, 911.4501, 308.8149
1.7, 39.85199, 146.9367, 191.1319, 144.7127, 0, 293.424, 0, 174.4664, 1174.572, 347.2921, 0, 158.3581, 611.6661, 177.598, 369.6362, 649.714, 540.5079, 479.2473, 257.6067, 477.1218, 801.2087, 952.5435, 971.1461, 294.8078
1.8, 72.96944, 168.97, 177.7185, 136.1115, 0, 322.0871, 0, 163.9445, 1209.193, 329.1856, 0, 150.0287, 584.7838, 168.7281, 350.412, 614.4978, 532.86, 449.9124, 244.1379, 550.5841, 754.6682, 1025.546, 1001.318, 281.436
1.9, 68.3646, 168.0056, 314.848, 128.0216, 0, 413.0959, 0, 154.0571, 1266.909, 312.0232, 0, 142.1374, 559.0831, 160.3012, 332.1878, 581.1904, 515.234, 422.373, 231.3734, 519.9494, 710.8311, 973.7951, 1112.21, 268.6707
2, 64.05036, 181.1264, 292.7523, 120.4125, 0, 395.2564, 0, 144.7661, 1322.222, 295.7555, 0, 134.6611, 559.8337, 152.2952, 314.9113, 549.6884, 675.3419, 396.5194, 219.2762, 583.0898, 669.5404, 1113.303, 1273.752, 256.4844
2.1, 60.00838, 198.8726, 272.2073, 113.2556, 0, 378.1873, 0, 292.7709, 1481.704, 280.3359, 0, 127.5781, 696.9462, 144.689, 298.5333, 715.5786, 641.8384, 372.2484, 207.8115, 550.6465, 630.6482, 1057.124, 1354.8, 244.8509
2.2, 56.22147, 189.7225, 253.1042, 106.5241, 0, 361.8553, 0, 275.1141, 1775.972, 265.7203, 0, 120.8676, 738.3131, 137.4627, 283.0071, 676.7924, 718.0402, 349.4629, 196.9462, 520.0084, 594.0151, 1003.78, 1292.202, 233.7451
2.3, 52.67353, 180.9933, 235.3416, 100.1927, 0, 346.2287, 1.192093e-07, 258.5222, 2066.731, 251.8666, 0, 114.5101, 705.8647, 130.5973, 268.2885, 640.1085, 742.7238, 328.0721, 186.649, 679.3154, 559.51, 1029.801, 1379.506, 223.1429
2.4, 49.3495, 202.8526, 218.8256, 94.23765, 0, 549.8382, 1.192093e-07, 315.996, 2178.304, 238.7353, 0, 108.487, 686.5248, 124.0748, 406.822, 605.4129, 780.6058, 307.9907, 222.2722, 641.5181, 527.0092, 977.8358, 1315.767, 213.0217
2.5, 46.23523, 314.8148, 203.4687, 88.63652, 0.9881018, 526.0935, 0, 296.9386, 2184.321, 535.7679, 0, 102.7807, 810.9526, 117.8781, 406.9336, 811.579, 830.5648, 289.1385, 210.6508, 605.8239, 602.3821, 1203.678, 1254.973, 203.3595
2.6, 43.3175, 476.1948, 189.1895, 83.3683, 0.9229632, 570.7889, 0, 414.1701, 2073.052, 799.1115, 0, 239.0399, 775.3119, 111.9908, 385.7697, 1157.433, 873.5765, 271.4403, 354.0041, 768.6382, 567.391, 1142.939, 1257.13, 194.1356
2.7, 40.58389, 454.2849, 175.9124, 78.41321, 0.8621188, 546.1395, 0, 389.1919, 2023.878, 1067.578, 0, 226.4666, 973.4037, 106.3976, 504.1204, 1282.807, 952.7468, 254.8253, 472.4754, 763.9471, 534.4324, 1131.091, 1331.04, 185.33
2.8, 38.02279, 433.3832, 163.5671, 73.75262, 0.8052854, 522.5545, 0, 365.72, 2029.193, 1210.429, 0, 307.4209, 930.6234, 101.0837, 563.2238, 1252.899, 905.4814, 239.2274, 585.6838, 721.4408, 503.3884, 1149.457, 1269.541, 176.9239
2.9, 35.62331, 413.4432, 204.5322, 69.36905, 0.7521986, 531.1473, -5.960464e-08, 470.546, 1925.827, 1147.322, 0, 291.2509, 1055.325, 96.03523, 602.8638, 1184.989, 951.757, 300.471, 600.0995, 824.6859, 474.1475, 1139.204, 1363.467, 168.899
