 , C000, C002, C004, C005, C007, C008, C009, C010, C011, C012, C013, C022, C025, C030, C048, C096
Time(s)/Cell Status, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted
112.9, 11.85459, 338.9789, 256.6942, 468.3161, 52.59632, 399.671, 236.3329, 575.8511, 103.3726, 191.0557, 128.6828, 909.8406, 516.324, 0.176586, 840.2819, 296.8928
113, 11.16585, 313.3218, 240.815, 466.0101, 49.60818, 377.7832, 225.5226, 541.4079, 98.37313, 175.0953, 123.0348, 853.6602, 493.3921, 0.1691592, 799.9073, 282.5958
113.1, 10.51714, 289.6066, 225.9182, 453.9431, 46.78981, 357.0941, 215.2067, 509.0248, 93.61549, 160.4682, 117.6348, 800.9489, 542.4548, 0.1620448, 761.4726, 268.9872
113.2, 9.90611, 267.6865, 211.9429, 483.5229, 44.13155, 337.5381, 205.3628, 478.5786, 89.08795, 147.063, 112.4717, 751.4922, 518.3624, 0.1552296, 724.8846, 256.034
113.3, 9.330582, 247.4254, 198.8321, 546.3059, 41.62432, 319.053, 195.9691, 449.9535, 84.77937, 134.7777, 107.5353, 705.0895, 495.34, 91.71275, 690.0547, 243.7046
113.4, 8.78849, 228.6979, 186.5323, 517.5446, 39.25953, 301.5803, 187.0051, 542.5042, 80.67917, 123.5186, 102.8155, 661.5519, 473.3401, 95.41853, 656.8984, 231.9689
113.5, 8.277894, 211.3879, 174.9934, 490.2974, 37.02909, 285.0644, 178.4512, 510.0555, 76.77727, 113.2002, 98.30289, 620.7028, 452.3173, 91.40546, 625.3351, 220.7983
113.6, 7.796962, 195.3881, 164.1683, 464.4848, 34.92537, 269.453, 170.2885, 495.6811, 73.06407, 103.7437, 93.98833, 582.3759, 432.2281, 87.56117, 595.2885, 210.1656
113.7, 7.343972, 180.5993, 154.0128, 520.3942, 32.94116, 254.6966, 162.4992, 466.033, 69.53046, 95.07712, 89.86314, 546.4156, 413.0313, 209.9702, 566.6855, 200.045
113.8, 6.917299, 166.9298, 150.5281, 527.5098, 31.06968, 240.7482, 155.0661, 447.7836, 66.16774, 87.13457, 85.919, 512.6758, 394.687, 201.1394, 539.4568, 190.4117
113.9, 6.515416, 154.295, 141.2164, 594.1055, 81.39741, 227.5638, 147.9731, 421.0005, 62.96766, 79.85553, 82.14797, 481.0194, 377.1575, 227.9601, 513.5366, 181.2424
114, 6.136881, 142.6165, 132.4807, 562.8276, 76.773, 215.1014, 141.2046, 395.8192, 59.92234, 73.18456, 78.54246, 451.3177, 429.9135, 218.3727, 578.1063, 172.5146
114.1, 73.75594, 131.8219, 124.2855, 559.9796, 72.41132, 203.3215, 134.7456, 437.15, 57.0243, 146.6623, 75.09519, 423.4499, 410.8195, 216.3536, 550.3289, 164.207
114.2, 69.47085, 121.8444, 138.559, 551.5613, 68.29744, 192.1867, 128.5821, 418.0089, 54.26642, 134.4104, 71.79922, 397.3029, 496.6952, 254.9953, 606.1599, 156.2996
114.3, 65.43471, 174.2318, 129.9877, 522.5233, 64.41727, 181.6617, 122.7005, 560.5153, 51.64193, 123.182, 68.64793, 372.7705, 474.6351, 338.4881, 678.7418, 148.7729
114.4, 145.2572, 161.0443, 121.9467, 495.014, 60.75755, 171.7131, 117.088, 652.9268, 49.14436, 112.8917, 65.63493, 349.7528, 453.5548, 324.2521, 646.129, 208.6781
114.5, 136.818, 148.8549, 114.4031, 496.2546, 57.30575, 177.3407, 111.7321, 613.8735, 46.76758, 209.94, 62.75418, 328.1565, 433.4107, 440.1731, 831.13, 422.8936
114.6, 128.8691, 137.5882, 230.8826, 470.1283, 54.05006, 178.8477, 106.6213, 602.8493, 44.50575, 192.402, 59.99987, 307.8936, 414.1613, 449.2334, 791.1951, 402.5289
114.7, 121.382, 178.1734, 244.803, 445.3775, 50.97933, 250.494, 101.7442, 583.0494, 42.35331, 176.3292, 57.36645, 288.882, 395.7668, 430.3397, 853.0638, 545.6888
114.8, 114.3299, 187.3744, 229.6594, 625.5822, 48.08305, 250.8471, 97.09028, 614.1138, 40.30497, 260.6129, 54.84861, 271.0442, 378.1894, 412.2407, 890.3182, 519.4109
114.9, 107.6876, 173.1922, 215.4527, 592.6472, 45.35133, 280.7183, 92.64919, 577.382, 38.35569, 245.695, 52.44128, 254.3079, 361.3925, 394.9028, 893.0944, 494.3984
115, 101.4311, 160.0833, 202.1248, 564.1094, 42.7748, 334.8072, 88.41125, 542.8471, 36.50069, 225.1702, 50.1396, 238.605, 345.3417, 378.2942, 915.3049, 470.5904
115.1, 95.53812, 147.9667, 189.6213, 534.4108, 40.34464, 316.4716, 84.36715, 553.6, 34.7354, 206.3599, 47.93895, 223.8718, 330.0038, 561.4727, 906.3162, 447.9289
115.2, 89.98751, 136.7672, 277.9803, 589.0173, 92.93869, 299.1402, 80.50804, 520.4876, 33.05548, 189.121, 45.83489, 210.0483, 315.3471, 537.8585, 862.7687, 426.3587
115.3, 84.75938, 126.4154, 352.0227, 558.0074, 208.7668, 419.4676, 226.3263, 629.419, 31.45681, 235.97, 43.82317, 331.5504, 301.3414, 665.502, 885.9653, 558.1131
115.4, 79.83501, 116.8471, 330.2465, 528.63, 196.9062, 424.491, 215.9737, 661.3212, 29.93546, 224.8867, 41.89975, 436.0243, 287.9577, 637.5126, 918.5029, 531.2369
115.5, 75.19672, 301.0325, 334.0044, 500.7993, 185.7194, 653.1359, 206.0947, 621.7657, 28.48768, 519.9211, 40.06075, 409.1009, 275.1684, 610.7004, 966.9992, 644.4403
115.6, 70.82792, 279.7664, 313.3429, 474.4337, 175.1682, 646.8722, 196.6675, 584.5762, 27.10993, 815.3176, 38.30247, 438.2226, 262.9471, 585.0158, 1030.673, 613.407
115.7, 66.71294, 258.591, 293.9595, 552.5617, 165.2164, 665.0334, 187.6716, 549.6111, 25.79881, 791.8588, 36.62135, 462.1474, 251.2687, 560.4114, 1055.637, 583.868
115.8, 62.83703, 242.3089, 275.7751, 523.471, 155.83, 628.6133, 179.0871, 516.7373, 24.55109, 746.5806, 35.01402, 610.5919, 240.1089, 536.8419, 1004.915, 555.7516
115.9, 59.1863, 223.9687, 258.7156, 495.9119, 146.9769, 594.1876, 170.8954, 485.8298, 23.36372, 810.3477, 33.47724, 572.8894, 229.4447, 514.2637, 980.7165, 528.9891
116, 55.74768, 292.0817, 242.7115, 469.8036, 138.6267, 561.6473, 163.0783, 456.771, 22.23378, 1078.369, 32.00791, 537.5149, 219.2542, 492.635, 933.5941, 503.5154
116.1, 52.50883, 269.9742, 227.7426, 445.0699, 130.751, 530.889, 197.9565, 429.4502, 21.15848, 988.2841, 30.60307, 504.3247, 265.2028, 471.916, 901.1161, 497.3416
116.2, 49.45816, 278.7825, 254.1184, 421.6383, 151.3945, 501.8151, 287.917, 403.7636, 20.13519, 905.7249, 29.25988, 473.1839, 309.0077, 452.0683, 982.2306, 473.3919
116.3, 46.58472, 295.8729, 238.3986, 399.4403, 142.7934, 474.3335, 274.7471, 379.6134, 19.16139, 830.0624, 27.97565, 443.966, 295.2835, 433.0554, 935.0355, 472.8067
116.4, 43.87823, 319.2287, 223.6512, 378.411, 134.6809, 448.3569, 262.1797, 356.9077, 18.23468, 760.7208, 26.74779, 416.5522, 282.1688, 414.8422, 890.108, 450.0384
116.5, 41.32898, 392.835, 212.7738, 358.4889, 127.0293, 423.8029, 250.1871, 335.56, 17.35279, 697.1717, 25.57381, 390.8311, 269.6367, 397.3949, 847.3393, 428.3666
116.6, 38.92783, 363.1016, 199.6116, 339.6155, 119.8124, 400.5935, 272.7823, 315.4893, 16.51356, 638.9314, 24.45137, 366.6983, 257.6611, 380.6814, 806.6255, 435.1709
116.7, 36.66619, 435.5304, 230.1419, 321.7358, 113.0056, 416.6348, 364.0712, 296.619, 15.71491, 618.7363, 23.37819, 698.316, 343.6801, 364.6709, 801.0733, 687.2567
116.8, 101.6929, 402.5654, 265.998, 304.7974, 106.5854, 450.255, 347.4179, 278.8773, 244.5346, 624.6503, 22.35211, 762.3979, 465.5837, 349.3337, 1005.178, 654.1616
116.9, 95.78472, 372.0954, 309.6955, 288.7507, 129.0358, 452.8758, 331.5263, 262.1969, 232.7081, 572.4683, 21.37106, 889.9707, 717.4776, 334.6416, 956.8799, 622.6601
117, 90.21979, 343.9317, 335.9201, 273.5489, 173.5718, 440.3467, 424.6766, 246.5142, 221.4536, 724.4637, 20.43307, 971.1644, 917.1904, 320.5674, 1041.491, 592.6756
117.1, 84.97817, 317.8997, 315.14, 259.1473, 163.7107, 442.2134, 422.614, 231.7695, 336.9591, 663.9435, 19.53626, 911.1974, 924.3932, 307.0851, 991.4487, 564.135
117.2, 80.04108, 293.8381, 420.2562, 245.504, 154.4099, 467.6781, 484.2695, 217.9067, 320.6627, 608.4791, 18.6788, 879.1482, 883.3374, 294.1698, 943.8106, 536.9688
117.3, 75.39083, 271.5976, 394.2591, 232.579, 145.6374, 442.066, 462.1181, 204.8731, 305.1544, 557.6479, 17.85898, 1024.778, 896.1909, 281.7978, 898.4615, 511.1108
117.4, 71.01075, 251.0406, 369.8702, 220.3344, 137.3634, 417.8565, 440.9799, 313.8475, 290.3962, 511.0632, 17.07514, 1089.834, 856.3876, 269.946, 904.8588, 486.498
117.5, 66.88515, 232.5842, 346.99, 208.7345, 129.5594, 451.1609, 472.6851, 338.5153, 276.3517, 468.37, 16.3257, 1220.703, 818.3522, 258.5928, 861.3813, 643.8667
117.6, 62.99923, 272.0634, 449.2192, 197.7453, 124.4427, 426.4533, 713.8199, 483.1367, 262.9864, 429.2433, 15.60916, 1192.755, 782.0062, 247.717, 819.9929, 612.861
117.7, 72.32688, 274.9171, 446.9501, 204.7068, 141.9837, 403.0988, 681.1685, 454.2389, 339.245, 393.3853, 14.92407, 1119.105, 747.2744, 237.2986, 780.5931, 583.3483
117.8, 125.3314, 254.1088, 419.3018, 296.8685, 133.9172, 381.0233, 650.0106, 427.0696, 356.7049, 401.1954, 14.26904, 1195.012, 864.1902, 227.3184, 867.8631, 555.2569
117.9, 133.0969, 329.596, 417.3142, 281.2393, 126.309, 360.1568, 707.1506, 505.5949, 605.6942, 367.6804, 13.64277, 1121.223, 840.6031, 217.7579, 826.1632, 637.7933
118, 143.4147, 373.1389, 391.4991, 266.4329, 119.133, 340.433, 674.8043, 475.3539, 576.4008, 387.7818, 13.04398, 1051.991, 847.3735, 208.5996, 786.467, 755.7831
118.1, 135.0825, 344.8963, 367.281, 274.5652, 112.3647, 321.7894, 643.9374, 482.0434, 679.755, 355.3873, 12.47147, 987.0328, 809.7385, 199.8264, 843.2659, 719.388
118.2, 127.2344, 379.6615, 385.6294, 260.1101, 105.981, 304.1667, 614.4825, 453.2111, 646.8799, 325.699, 11.9241, 926.0861, 773.775, 191.4222, 817.8688, 847.5125
118.3, 119.8423, 473.9763, 371.3249, 246.4161, 99.95994, 287.5092, 586.375, 572.3868, 615.5947, 298.4908, 11.40074, 868.9026, 739.4087, 183.3714, 841.3912, 819.7399
118.4, 112.8797, 438.1013, 348.3547, 233.4431, 94.28094, 309.1453, 559.5531, 538.1508, 585.8225, 273.5555, 10.90036, 815.2501, 706.5688, 175.6593, 829.4651, 872.4093
118.5, 106.3216, 484.8445, 474.2074, 302.7198, 88.92459, 379.9621, 533.9581, 505.9625, 557.4902, 250.7032, 10.42193, 764.9104, 675.1874, 168.2715, 828.8286, 830.398
118.6, 100.1445, 478.4016, 444.8729, 286.7826, 83.87254, 487.1313, 509.5339, 475.6994, 530.5282, 229.76, 9.964511, 717.6791, 645.1998, 258.2813, 813.061, 790.4098
118.7, 94.32625, 442.1917, 446.6166, 271.6843, 79.10752, 584.5338, 486.2269, 447.2465, 504.8701, 210.5663, 9.527164, 673.3642, 616.5441, 247.4186, 773.9943, 752.3472
118.8, 88.84605, 423.4296, 418.9889, 303.7331, 74.61321, 552.5221, 463.986, 420.4955, 480.453, 192.976, 9.109012, 631.7856, 589.161, 237.0128, 736.8047, 716.1176
118.9, 83.68425, 441.1508, 393.0702, 287.7425, 70.37424, 522.2635, 442.7624, 395.3445, 457.2168, 234.1252, 8.709213, 592.7745, 562.9941, 304.231, 846.8423, 681.6326
119, 177.414, 438.3847, 447.1305, 272.5937, 66.37608, 743.9633, 422.5096, 371.6978, 435.1043, 223.4823, 8.326962, 556.1721, 537.9894, 306.3008, 815.1431, 738.1719
119.1, 167.1065, 405.2036, 430.9081, 258.2425, 62.60508, 703.2206, 403.1832, 349.4655, 414.0613, 204.813, 7.961487, 521.8299, 514.0953, 293.4185, 798.0393, 837.2199
119.2, 267.7948, 374.534, 404.252, 244.6468, 59.04832, 664.7091, 384.7409, 369.1387, 394.0359, 187.7034, 7.612054, 489.6082, 491.2625, 371.9464, 759.6944, 825.2955
119.3, 335.8132, 346.1857, 379.245, 231.7669, 208.424, 628.3067, 367.1421, 347.0595, 374.9791, 172.023, 7.277957, 459.3761, 547.8354, 492.3049, 723.1919, 785.553
119.4, 641.7733, 319.9831, 404.1817, 219.5651, 196.5828, 697.4149, 609.5703, 326.3009, 470.76, 226.6778, 6.958524, 431.0108, 523.504, 471.5997, 688.4433, 770.9332
119.5, 604.4874, 295.7638, 379.179, 330.3467, 185.4144, 659.2213, 581.6874, 306.7839, 447.9926, 285.861, 6.653111, 518.2277, 698.325, 451.7654, 729.9252, 733.8085
119.6, 569.3677, 273.3776, 355.723, 579.279, 174.8805, 623.1194, 555.0799, 288.4343, 554.1633, 348.7682, 6.361103, 486.2285, 667.3098, 466.4814, 740.3636, 894.3594
119.7, 536.2884, 252.6858, 410.4591, 742.7827, 164.9451, 588.9946, 529.6895, 271.1823, 527.3622, 343.9485, 6.081911, 456.2051, 688.835, 542.9066, 715.228, 891.2525
119.8, 505.131, 233.5601, 385.0681, 807.375, 155.5741, 556.7386, 505.4605, 254.9621, 636.2388, 416.9109, 5.814973, 495.9748, 824.3765, 520.0732, 735.7887, 848.3338
119.9, 475.7837, 215.8821, 361.2477, 887.2949, 146.7355, 538.1333, 482.3398, 239.7121, 634.3066, 382.083, 5.559751, 465.3496, 787.7629, 498.2002, 700.4349, 807.4819
120, 448.1414, 199.5421, 338.9009, 846.4948, 138.3991, 508.6627, 460.2767, 225.3743, 603.6295, 350.1646, 5.315731, 436.6154, 752.7754, 477.2471, 706.681, 865.2814
120.1, 422.1052, 310.9113, 317.9365, 801.9294, 130.5363, 480.8061, 439.2228, 231.5897, 613.7899, 528.6511, 5.082421, 762.452, 719.3418, 497.6403, 990.0193, 1153.967
120.2, 397.5816, 287.3786, 347.8642, 770.094, 123.1202, 454.475, 454.2809, 217.7377, 584.105, 484.4887, 4.859352, 732.5999, 687.3931, 529.8813, 1018.753, 1230.103
120.3, 374.4828, 268.2235, 326.3452, 892.8629, 116.1254, 513.4998, 544.1886, 204.7142, 555.8558, 444.0155, 4.646072, 687.3636, 656.8634, 507.5958, 993.5762, 1170.867
120.4, 352.726, 247.9218, 448.6342, 870.056, 109.528, 485.3783, 519.2964, 192.4697, 528.9728, 435.7464, 4.442154, 701.2874, 627.6896, 573.2582, 998.7613, 1114.483
120.5, 332.2332, 229.1567, 420.8816, 872.7167, 103.3054, 458.7968, 495.5428, 180.9575, 587.2993, 399.345, 4.247186, 876.331, 599.8116, 549.1483, 950.7719, 1060.815
120.6, 312.931, 211.812, 394.8459, 826.7708, 97.43633, 433.6711, 472.8758, 227.6091, 607.2228, 365.9846, 4.060775, 822.2197, 573.1717, 526.0525, 905.0884, 1092.184
120.7, 294.7502, 222.4109, 370.4207, 854.6172, 91.90071, 409.9213, 451.2455, 213.9951, 577.8556, 358.1091, 3.882545, 771.4497, 668.0352, 503.928, 861.5999, 1039.589
120.8, 277.6258, 205.5767, 347.5064, 943.0872, 86.67958, 387.4722, 430.6047, 201.1955, 839.2178, 419.7937, 3.712139, 723.8146, 788.9885, 482.734, 863.7175, 1015.481
120.9, 261.4962, 190.0167, 379.3128, 1167.199, 81.75508, 502.5183, 410.9081, 189.1614, 890.426, 384.725, 3.549211, 782.4801, 815.5403, 512.9437, 1097.804, 987.7996
121, 246.3037, 175.6345, 355.8485, 1170.33, 77.11035, 494.2156, 392.1124, 177.8472, 847.3622, 352.5859, 3.393435, 734.1639, 779.3191, 520.6788, 1141.702, 940.2316
