 , C000, C001, C003, C004, C011, C017, C036, C042, C054, C057, C059, C064, C071, C072, C082
Time(s)/Cell Status, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted
403.3, 394.3528, 822.0957, 737.9024, 91.92544, 948.2138, 5869.375, 3784.447, 4.730731, 18.73173, 7.342379, 746.2776, 312.1326, 237.6799, 1350.056, 1086.443
403.4, 371.8479, 782.1653, 764.856, 87.149, 998.2935, 5717.14, 4222.345, 4.458289, 17.35754, 6.780618, 695.6828, 296.5367, 227.1498, 1588.93, 1033.693
403.5, 350.6273, 744.1743, 726.5524, 82.62075, 945.1465, 5497.25, 4193.573, 4.201537, 16.08417, 6.261837, 648.5181, 281.7201, 306.5008, 1835.168, 983.5055
403.6, 330.6177, 708.0286, 690.167, 78.32779, 894.8289, 5197.299, 3995.272, 3.959571, 14.90421, 5.782748, 604.551, 267.6438, 292.9217, 1772.52, 1081.744
403.7, 311.7501, 673.6386, 655.6038, 74.25789, 887.4603, 5092.856, 3889.752, 3.73154, 13.81082, 5.340313, 563.5646, 254.2709, 279.9442, 1823.412, 1029.223
403.8, 293.9591, 678.4552, 623.0743, 70.39946, 900.9413, 4920.071, 3774.598, 3.516642, 12.79764, 4.931729, 525.3571, 241.5661, 267.5417, 1715.019, 979.2522
403.9, 277.1834, 737.3398, 591.8711, 66.74152, 852.9772, 4819.791, 3760.992, 3.314119, 11.85878, 4.554405, 489.7398, 229.4961, 301.716, 2268.292, 931.7075
404, 261.3651, 928.2664, 562.2305, 63.27364, 807.5665, 4591.21, 3555.941, 3.12326, 10.98881, 4.20595, 456.5373, 218.0292, 396.8161, 2361.695, 886.4711
404.1, 246.4496, 883.179, 534.0743, 59.98595, 764.5734, 4683.998, 3481.039, 2.943392, 10.18265, 3.884156, 425.5857, 207.1353, 379.2357, 2318.111, 1094.487
404.2, 232.3852, 840.2817, 507.3282, 56.86908, 787.1345, 4515.299, 3544.383, 2.773883, 9.435638, 3.586981, 396.7326, 196.7857, 362.4342, 2270.116, 1041.348
404.3, 219.1234, 799.4679, 481.9214, 53.91417, 745.2292, 4480.379, 3558.961, 2.614136, 8.743427, 3.312543, 369.8356, 186.9532, 502.8227, 2210.167, 1295.985
404.4, 206.6185, 760.6365, 457.7871, 51.1128, 705.5548, 4268.398, 3364.925, 2.463588, 8.101997, 3.059102, 344.7621, 177.612, 480.5458, 2078.783, 1233.062
404.5, 194.8272, 723.6913, 434.8614, 48.45699, 667.9926, 4032.66, 3317.253, 2.321711, 7.507624, 2.825052, 321.3885, 168.7375, 459.256, 1955.209, 1173.194
404.6, 183.7088, 688.5405, 413.0837, 45.93917, 776.6449, 3993.323, 3210.657, 2.188004, 6.956854, 2.608909, 299.5996, 160.3064, 438.9093, 1838.981, 1116.233
404.7, 173.2249, 655.097, 423.6682, 43.55217, 1407.704, 3834.156, 3255.273, 2.061997, 6.446489, 2.409303, 279.2878, 152.2966, 419.4641, 1729.663, 1062.038
404.8, 163.3393, 623.278, 408.4059, 908.5046, 1670.609, 3737.367, 3101.377, 1.943247, 5.973566, 2.224969, 260.3531, 144.6871, 400.8803, 1626.842, 1010.474
404.9, 154.0179, 593.0044, 435.2135, 1904.468, 1777.566, 3873.456, 3003.639, 1.831336, 5.535337, 2.054738, 242.7022, 137.4577, 431.6469, 1530.134, 961.4131
405, 145.2284, 564.2013, 413.4182, 2102.496, 1682.932, 3729.138, 2990.195, 1.72587, 5.129257, 1.897531, 226.2479, 130.5896, 412.5234, 1439.175, 914.7344
405.1, 136.9405, 536.7972, 392.7144, 1993.25, 1593.336, 3546.782, 3034.426, 1.626478, 4.752967, 1.752352, 210.9091, 124.0646, 401.8179, 1433.581, 870.3221
405.2, 129.1256, 510.7241, 373.0475, 1889.681, 1654.879, 3378.725, 2969.4, 1.532809, 4.404283, 1.61828, 196.6103, 117.8656, 390.4114, 1415.935, 828.0662
405.3, 121.7566, 485.9175, 354.3655, 1791.494, 1650.061, 3282.979, 2970.674, 1.444535, 4.081179, 1.494467, 183.2808, 111.9764, 373.1148, 1331.764, 787.8618
405.4, 114.8082, 462.3157, 336.6191, 1793.014, 1562.215, 3214.594, 2833.218, 1.361345, 3.781778, 1.380126, 170.855, 106.3815, 356.5845, 1252.597, 749.6095
405.5, 108.2564, 439.8604, 319.7614, 1872.39, 1479.046, 3051.086, 2734.429, 1.282945, 3.504341, 1.274533, 159.2717, 101.0661, 398.3535, 1247.045, 713.2144
405.6, 102.0784, 418.4957, 303.7479, 1825.755, 1400.305, 2876.967, 2786.793, 1.209061, 3.247258, 1.177019, 148.4737, 96.01625, 380.705, 1382.75, 678.5863
405.7, 96.25298, 398.1687, 323.04, 1730.889, 1405.008, 2932.738, 2751.821, 1.139431, 3.009034, 1.086966, 138.4077, 91.21875, 363.8384, 1326.629, 645.6395
405.8, 90.76001, 378.829, 306.8623, 1774.335, 1330.208, 2920.177, 2779.158, 1.073811, 2.788287, 1.003803, 129.0242, 86.66096, 570.3383, 1247.767, 614.2924
405.9, 85.58052, 360.4287, 291.4948, 1682.141, 1259.391, 2753.529, 2877.62, 1.011971, 2.583735, 0.9270028, 120.2768, 82.3309, 579.408, 1250.068, 584.4672
406, 97.93755, 342.9222, 338.7208, 1642.029, 1287.532, 2655.403, 3393.527, 0.9536917, 2.394188, 0.8560784, 112.1225, 78.21719, 615.7028, 1229.874, 556.09
406.1, 92.34846, 326.2659, 321.7578, 1659.593, 1339.973, 2702.41, 3382.645, 0.8987688, 2.218547, 0.7905803, 104.521, 74.30903, 588.425, 1204.041, 529.0907
406.2, 87.07832, 310.4187, 328.58, 1727.838, 1268.635, 2548.189, 3404.689, 0.8470089, 2.055792, 0.7300935, 97.43487, 70.59614, 562.3557, 1310.374, 503.4022
406.3, 112.1774, 295.3412, 350.6031, 1649.256, 1250.843, 2712.623, 3272.5, 0.7982299, 1.904976, 0.6742344, 372.5514, 67.06876, 627.4819, 1312.108, 478.961
406.4, 105.7756, 280.996, 404.2096, 1581.728, 1184.251, 2610.359, 3300.235, 0.75226, 1.765224, 0.6226492, 476.2506, 63.71764, 638.8074, 1319.597, 455.7065
406.5, 99.73923, 267.3476, 383.967, 1621.173, 1126.467, 2461.391, 3335.207, 0.7089375, 1.635725, 0.5750107, 650.2353, 60.53395, 610.506, 1241.153, 433.581
406.6, 94.04731, 254.3621, 462.67, 1536.938, 1275.437, 2447.418, 3192.837, 0.6681099, 1.515726, 0.5310169, 606.1517, 57.50935, 671.9631, 1313.905, 412.5297
406.7, 88.68022, 242.0074, 439.4998, 1469.11, 1427.527, 2307.749, 3018.762, 0.6296336, 1.40453, 0.4903891, 565.0569, 54.63586, 642.1927, 1235.8, 392.5005
406.8, 83.61942, 230.2527, 417.4899, 1408.603, 1351.528, 2324.823, 3094.794, 0.5933732, 1.301492, 0.4528697, 526.7481, 51.90596, 613.7413, 1162.337, 373.4438
406.9, 78.84743, 219.069, 416.9591, 1415.724, 2094.966, 2459.471, 2989.604, 0.5592009, 1.206012, 0.4182209, 928.5853, 49.31245, 586.5504, 1093.242, 355.3123
407, 74.34776, 208.4285, 396.078, 1541.297, 2225.05, 2473.859, 2914.398, 0.5269967, 1.117538, 0.3862231, 1192.476, 46.84853, 560.5641, 1239.047, 338.0612
407.1, 223.4713, 198.3048, 376.2426, 1472.034, 2231.25, 2368.271, 2786.812, 0.4966471, 1.035554, 0.3566734, 1213.936, 44.50772, 535.7292, 1207.402, 321.6476
407.2, 210.7182, 188.6728, 357.4006, 1406.847, 2228.668, 2233.118, 2634.873, 0.4680453, 0.9595839, 0.3293845, 1131.636, 42.28387, 511.9945, 1273.506, 306.0309
407.3, 198.693, 179.5087, 339.5021, 1333.747, 2110.018, 2264.496, 2865.261, 0.4410906, 292.584, 29.59209, 1054.915, 40.17113, 537.6879, 1197.802, 291.1725
407.4, 187.354, 170.7897, 322.5001, 1282.526, 1997.685, 2277.395, 2709.046, 0.4156883, 1233.631, 278.86, 983.3956, 38.16396, 513.8664, 1126.599, 277.0355
407.5, 176.662, 162.4942, 306.3494, 1425.067, 1891.333, 2305.739, 2561.348, 0.3917489, 1499.311, 257.5246, 1090.295, 36.25708, 491.1003, 1059.628, 263.5848
407.6, 166.5803, 154.6016, 291.0076, 1388.651, 1806.668, 2334.919, 2494.883, 0.3691882, 1516.88, 237.8216, 1251.469, 34.44548, 469.3428, 996.6378, 250.7872
407.7, 157.0739, 147.0923, 296.6781, 1335.097, 1975.757, 2293.533, 2477.968, 952.0798, 1473.039, 219.626, 1205.594, 32.72439, 448.5493, 1116.016, 238.611
407.8, 148.11, 139.9478, 281.8206, 1265.726, 1870.572, 2162.646, 2458.836, 1148.085, 1364.974, 202.8225, 1342.709, 31.0893, 436.8611, 1103.325, 227.0259
407.9, 139.6577, 133.1503, 267.7072, 1296.326, 1935.984, 2235.614, 2426.272, 1081.967, 1264.838, 187.3047, 1273.76, 29.53591, 417.5066, 1037.737, 216.0033
408, 131.6877, 126.683, 303.2004, 1228.969, 1832.916, 2108.032, 2293.991, 1144.853, 1283.546, 172.9741, 1212.663, 28.06013, 574.9901, 976.0485, 205.5159
408.1, 169.8909, 120.5298, 288.1129, 1165.112, 1933.068, 1996.361, 2168.921, 1078.921, 1189.384, 159.74, 1130.449, 26.65809, 549.5159, 1078.422, 195.5377
408.2, 192.2708, 114.6755, 273.6844, 1182.925, 2004.586, 1882.433, 2131.319, 1016.786, 1150.542, 147.5184, 1127.972, 25.32611, 532.4768, 1079.866, 186.0439
408.3, 213.4122, 109.1056, 654.4754, 1121.461, 2330.646, 1798.139, 2015.119, 958.2299, 1066.136, 136.2318, 1051.5, 24.06068, 508.8862, 1075.277, 177.0111
408.4, 201.2332, 103.8061, 1128.733, 1153.887, 2361.838, 1806.63, 2058.281, 903.0457, 987.923, 125.8088, 980.212, 22.85847, 629.0016, 1031.024, 168.4169
408.5, 189.7492, 98.76411, 1101.003, 1093.931, 2658.453, 1790.169, 2197.453, 1347.356, 915.4476, 116.1832, 980.6876, 21.71634, 730.6491, 1035.591, 160.2399
408.6, 178.9206, 93.96699, 1045.865, 1061.826, 3319.379, 1688.008, 2125.765, 2067.444, 848.2891, 107.2941, 1188.832, 20.63127, 698.2787, 1236.754, 152.4599
408.7, 168.71, 89.40287, 993.4888, 1069.933, 3468.499, 1621.906, 2114.546, 1948.381, 786.0574, 99.08511, 1130.719, 19.60042, 667.3425, 1163.235, 145.0576
408.8, 159.082, 85.06044, 943.7354, 1139.869, 3529.317, 1619.92, 2096.747, 2018.767, 728.3911, 91.50417, 1259.041, 18.62107, 781.9031, 1094.086, 138.0148
408.9, 150.0035, 80.92892, 1003.783, 1080.642, 3341.424, 1595.22, 2014.35, 1902.507, 674.9553, 84.50323, 1370.246, 17.69066, 805.154, 1029.048, 131.3139
409, 141.4431, 76.99809, 953.5141, 1221.683, 3182.211, 1504.184, 1959.395, 1792.942, 625.4396, 78.03794, 1342.207, 16.80674, 883.4221, 967.8755, 124.9383
409.1, 133.3713, 73.25817, 905.7626, 1158.205, 3130.678, 1479.784, 2062.441, 1689.687, 725.4282, 72.06731, 1251.211, 15.96698, 881.2708, 910.3399, 118.8723
409.2, 144.5334, 69.69991, 946.8763, 1098.024, 3369.969, 1478.724, 2006.064, 1592.378, 672.2097, 66.55348, 1166.383, 15.16918, 844.1785, 856.2244, 113.1008
409.3, 243.3881, 66.31448, 899.4572, 1079.82, 3190.559, 1394.337, 1948.879, 1592.664, 622.8954, 61.46151, 1142.911, 14.41125, 963.6335, 805.3259, 107.6095
409.4, 229.4984, 63.09349, 854.4129, 1023.713, 3141.217, 1362.062, 1991.612, 1523.367, 577.199, 56.75913, 1065.426, 13.69118, 974.4997, 936.4016, 102.3848
409.5, 216.4014, 60.02894, 917.856, 1162.115, 3146.012, 1407.872, 2039.258, 1583.534, 534.8549, 52.41652, 1007.337, 13.0071, 931.3259, 880.7369, 97.41384
409.6, 204.0518, 57.11324, 871.8902, 1101.732, 2978.525, 1427.21, 2168.1, 1492.339, 495.6172, 48.40616, 1028.766, 12.35719, 890.0649, 828.3812, 92.6842
409.7, 192.407, 54.33916, 828.2264, 1044.486, 2946.746, 1424.125, 2049.895, 1457.332, 459.258, 44.70264, 1106.941, 11.73976, 850.6318, 779.1378, 88.18418
409.8, 181.4267, 51.69983, 786.7493, 1197.643, 2989.027, 1342.853, 2076.569, 1559.722, 425.5662, 41.28246, 1031.894, 11.15317, 1054.693, 732.8217, 83.90266
409.9, 171.073, 49.18869, 747.3493, 1135.414, 2943.676, 1266.219, 2094.97, 1469.898, 394.3461, 38.12397, 961.9355, 10.5959, 1007.966, 689.2589, 79.82901
410, 161.3102, 46.79952, 740.6401, 1095.443, 2798.052, 1391.997, 1980.752, 1385.247, 365.4163, 35.20712, 896.7199, 10.06647, 963.3099, 648.2856, 75.95315
