 , C001, C003, C006, C007, C008, C009, C011, C014, C015, C016, C017, C019, C020, C021, C022, C024, C025, C026, C027, C028, C029, C030, C031, C034, C035, C036, C037, C038, C039, C040, C043, C047, C048, C049, C051, C052, C053, C058, C060, C066, C067, C068, C069, C070, C072, C074, C075, C076, C077, C078, C079, C082, C084, C085, C086, C087, C088, C090, C091, C092, C093, C099, C101, C102, C108, C112, C113, C118, C119, C120, C121, C124, C125, C126, C130, C131, C134, C136, C137
Time(s)/Cell Status, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.1, 31.05193, 66.20813, 61.27161, 67.83569, 0, 0, 0, 114.334, 54.07715, 119.4036, 164.2599, 41.02118, 0, 162.4702, 75.28741, 287.9585, 0, 128.6692, 0, 100.4625, 50.33983, 0, 171.7732, 53.35815, 236.1068, 0, 155.6338, 180.9105, 93.74683, 0, 36.88824, 129.9623, 112.7603, 0, 75.24609, 17.11975, 0, 151.7413, 0, 175.4821, 20.92029, 43.58295, 0, 99.33112, 0, 0, 0, 112.5047, 15.30029, 78.78345, 0, 0, 0, 143.2002, 78.95728, 0, 117.152, 106.4105, 29.27344, 0, 65.90875, 220.3762, 0, 100.7158, 0, 113.4056, 73.79144, 51.67249, 379.6833, 61.18472, 133.9888, 263.9422, 196.382, 25.35034, 40.99646, 0, 73.54498, 0, 67.65631
0.2, 43.10818, 62.61316, 119.8569, 200.5955, 0, 0, 155.1438, 217.3829, 51.7879, 168.9492, 200.9977, 64.49951, -1.525879e-05, 195.6929, 207.1304, 516.4133, 112.924, 179.3423, 95.36526, 138.4911, 48.10568, -0.0001220703, 283.7625, 170.9795, 225.0315, 0, 199.5743, 297.203, 127.4851, 0, 35.30579, 204.6188, 194.374, -6.103516e-05, 295.2305, 50.07336, 0, 145.5145, 0, 236.0927, 69.96457, 41.70886, 0, 254.2657, 34.25861, 0, 42.31543, 106.7599, 82.78537, 397.1653, 0, 0, 0, 137.2439, 252.5061, 0, 154.9668, 135.3656, 43.41125, 0, 63.12061, 231.9678, 323.5879, 204.212, 122.5573, 108.6415, 70.58228, 49.49915, 515.412, 58.42642, 188.2441, 253.1469, 248.8542, 63.1763, 116.9039, 0, 70.46075, 0, 109.5279
0.3, 41.34296, 184.3125, 114.1046, 220.3218, 0, 0, 244.7858, 236.4956, 164.7117, 160.725, 350.7458, 61.74249, 0, 186.7988, 198.3235, 494.5652, 124.9956, 208.1978, 90.80292, 132.6821, 45.97067, -0.0001220703, 298.4856, 221.0023, 214.4756, 7.629395e-06, 191.3213, 279.5311, 327.1074, 0, 33.7912, 297.5103, 223.9253, -6.103516e-05, 390.7207, 47.98328, 18.92236, 165.4415, 0, 223.6271, 134.4092, 70.08319, 0, 289.2076, 53.72241, 0, 93.14941, 148.6117, 79.26175, 684.5527, 0, 0, 0, 131.5352, 296.0803, 71.95523, 148.0782, 331.4158, 179.9175, 0, 60.45038, 222.0861, 330.4716, 251.2109, 154.4339, 104.0775, 213.5417, 194.9585, 492.5818, 55.79242, 180.3192, 242.7931, 290.6487, 60.32843, 165.6049, 0, 67.50586, 0, 159.4217
0.4, 73.09961, 174.3046, 170.3101, 304.4979, 0, 0, 283.6378, 267.1268, 241.5161, 152.9012, 333.7196, 59.10333, 0, 263.3722, 248.303, 618.074, 131.8351, 375.0923, 86.45883, 158.6299, 43.93044, 59.53296, 386.2208, 275.8502, 280.1783, 0, 183.4095, 337.207, 369.1814, 0, 32.34155, 343.4823, 346.1542, -6.103516e-05, 665.001, 45.98041, 17.98376, 353.776, 0, 309.1083, 127.5517, 86.51178, 0, 346.603, 111.3879, 0, 145.0854, 141.0231, 75.88809, 656.6328, 0, 0, 0, 126.0641, 305.9481, 68.89508, 141.4958, 317.3824, 198.7094, 0, 86.33508, 285.8575, 316.7048, 239.5565, 147.8287, 99.70518, 204.2549, 212.238, 470.7631, 121.824, 271.5221, 232.8628, 278.4948, 57.60895, 205.51, 0, 83.27136, 0, 152.7062
0.5, 70.10631, 189.1703, 210.6772, 290.6744, -1.525879e-05, 0, 374.7408, 254.9208, 231.2925, 145.4581, 389.6591, 147.1787, 0, 282.5854, 277.8959, 591.9248, 126.2737, 377.4795, 108.2289, 175.3408, 41.98073, 223.7495, 446.1393, 312.2312, 317.0919, -7.629395e-06, 175.8251, 317.1564, 552.4978, 0, 53.29926, 375.0392, 365.7941, -6.103516e-05, 765.6128, 44.06116, 17.09167, 450.0321, 0, 397.4634, 121.044, 216.265, 0, 387.9218, 135.9227, 0, 138.6783, 133.822, 72.65802, 848.4995, 0, 0, 0, 120.8205, 409.342, 92.33936, 276.6021, 380.1656, 281.4824, 0, 126.7884, 398.6448, 657.5745, 331.1718, 141.506, 132.8869, 195.372, 203.3115, 504.8622, 116.3319, 260.0914, 223.3386, 266.8491, 55.01208, 196.9742, 0, 123.8353, 0, 182.3227
0.6, 67.23557, 348.534, 333.134, 395.691, -1.525879e-05, 0, 400.9342, 243.2726, 221.5019, 138.3774, 515.0179, 156.4217, 0, 319.2637, 324.685, 766.595, 120.9469, 600.8562, 103.0511, 182.5726, 40.11757, 212.2903, 467.1754, 390.8192, 322.426, -7.629395e-06, 168.5543, 333.5123, 586.4893, 0, 126.6273, 353.0673, 396.821, -3.051758e-05, 969.8662, 42.22205, 94.63983, 511.8114, 0, 434.5223, 114.8684, 206.9655, 0, 409.5205, 195.629, 0, 204.5696, 126.9886, 69.56546, 1022.848, 0, 0, 0, 147.4372, 432.9111, 143.6898, 264.3066, 414.261, 269.8521, 0, 121.4249, 381.6626, 630.1813, 384.7773, 135.4537, 161.9187, 375.2877, 287.1575, 482.4994, 111.0875, 275.3398, 214.204, 305.0596, 52.53226, 263.2238, 0, 170.5124, 0, 174.6426
0.7, 64.48238, 362.0275, 317.1459, 377.7275, -1.525879e-05, 0, 543.6259, 254.8005, 212.1255, 131.6413, 603.0874, 149.7355, 0, 488.9443, 310.8798, 886.8079, 137.7261, 658.2938, 111.4856, 277.2095, 87.08891, 232.8306, 565.9838, 519.1562, 307.3016, 27.38361, 366.6026, 346.7156, 759.7393, 0, 121.1951, 332.3825, 583.782, -3.051758e-05, 1138.683, 140.4185, 89.94537, 512.8657, 0, 503.2064, 109.0079, 233.3082, 0, 546.6347, 267.1869, 0, 195.5355, 120.5042, 348.4245, 1230.552, 0, 0, 0, 148.7134, 425.7734, 137.5789, 252.5576, 613.0109, 384.2395, 0, 155.9677, 365.4039, 719.4475, 433.5609, 185.438, 155.1165, 358.9667, 376.925, 739.4012, 211.7091, 467.2764, 205.443, 362.245, 168.1931, 351.7587, 0, 225.126, 0, 274.1332
0.8, 67.4466, 420.8669, 301.9253, 360.5796, 0, 0, 531.7642, 249.3362, 437.2895, 260.1766, 736.1393, 143.3351, 1.525879e-05, 500.9026, 297.6614, 956.4709, 173.5901, 829.3431, 106.1521, 316.0255, 83.22379, 292.6907, 620.313, 603.6781, 363.8028, 65.98674, 426.9453, 408.7979, 761.1035, 0, 288.6309, 368.4013, 598.7014, -3.051758e-05, 1247.149, 134.5573, 212.5541, 509.442, 0, 673.0754, 103.4464, 351.277, 0, 683.374, 281.3456, 0, 186.9004, 114.3508, 333.5943, 1222.06, 0, 0, 0, 188.4288, 536.8331, 195.6029, 241.331, 736.7758, 520.2435, 0, 149.3698, 476.5629, 860.9302, 478.6369, 177.5068, 148.6001, 343.3554, 361.0721, 799.6943, 202.1649, 506.7488, 197.0403, 482.7325, 194.9696, 337.1483, 0, 215.6851, 0, 272.0098
0.9, 64.68477, 398.0147, 374.4981, 431.3434, 0, 0, 522.4166, 390.4418, 418.7787, 288.6737, 750.4985, 159.4076, 52.17641, 627.9478, 492.0936, 979.071, 172.7451, 861.4758, 170.6254, 420.2319, 79.5302, 277.7007, 743.3159, 697.4755, 471.5479, 63.22452, 647.4887, 384.4905, 984.3156, 0, 276.2489, 434.6387, 599.4559, -3.051758e-05, 1367.052, 190.8518, 240.6106, 744.0244, 0, 869.3899, 98.16861, 336.1719, 0, 943.9146, 403.4131, 0, 336.1776, 108.5117, 319.3954, 1466.569, 0, 0, 0, 180.5912, 574.5745, 319.5818, 230.6034, 857.6748, 498.7478, 0, 273.593, 456.2615, 1080.68, 574.8525, 202.5746, 267.1947, 328.4232, 345.886, 1014.973, 193.0509, 541.4783, 188.9812, 582.3927, 267.5518, 426.231, 0, 307.0175, 0, 304.0209
1, 112.4591, 410.5751, 399.5021, 411.7614, -1.525879e-05, 0, 510.0338, 409.332, 513.4526, 350.4089, 876.4885, 152.5938, 49.46263, 599.4082, 511.6727, 1124.7, 214.36, 904.2612, 174.5629, 442.4412, 76.00055, 263.4783, 751.7638, 729.4103, 449.4284, 60.57793, 645.8419, 434.4143, 1014.738, 0, 264.3983, 435.986, 639.673, -6.103516e-05, 1625.009, 215.5255, 228.6754, 755.2825, 0, 832.2505, 231.2207, 386.8904, 0, 897.1268, 425.7477, 0, 321.3315, 250.014, 305.8008, 1585.033, 0, 0, 0, 173.0796, 780.6855, 305.9904, 220.3526, 950.4052, 601.2759, 0, 314.5448, 502.3783, 1255.633, 608.4885, 193.9104, 255.9699, 314.1402, 463.8503, 1068.525, 184.3478, 564.6672, 181.2518, 643.4342, 255.4912, 465.2675, 0, 294.1424, 0, 414.892
1.1, 107.8541, 446.2579, 380.3289, 459.5742, 0, 0, 519.6449, 390.6282, 491.7179, 333.3515, 980.7766, 192.8798, 46.89, 572.1658, 614.4434, 1251.177, 249.0728, 955.7633, 266.7673, 529.6127, 72.62753, 324.0995, 863.1016, 708.8707, 428.3466, 58.04212, 619.1345, 408.5837, 972.3755, 0, 300.3427, 410.4434, 810.0626, -3.051758e-05, 1705.715, 347.1414, 313.6029, 818.6427, 0, 976.6749, 219.424, 370.2539, 0, 1009.174, 442.0952, 0, 378.8092, 237.2475, 292.7849, 1658.884, 0, 0, 0, 165.8804, 756.4209, 292.977, 210.5575, 995.6768, 673.9023, 0, 301.2385, 567.9426, 1203.326, 642.4105, 252.4454, 380.2744, 335.1121, 534.3456, 1053.972, 176.0371, 540.8955, 173.8386, 616.5281, 279.1613, 541.9876, 0, 281.8073, 0, 397.4152
1.2, 103.4377, 456.49, 474.4063, 490.6827, 65.4445, 0, 564.7018, 372.7791, 495.6508, 383.1237, 933.1666, 210.2605, 71.39743, 593.2124, 594.9542, 1319.239, 249.2256, 1089.468, 254.005, 601.1133, 69.40423, 407.2709, 934.9604, 756.6473, 535.8518, 55.61246, 767.2824, 584.3392, 1221.268, 0, 432.1974, 479.0893, 825.5005, -3.051758e-05, 1857.346, 332.6515, 298.047, 859.6482, 0, 987.6159, 208.229, 412.5887, 0, 970.4026, 423.4641, 0, 456.985, 225.1329, 280.3229, 1914.774, 0, 0, 0, 158.9807, 783.6389, 280.517, 201.1979, 1029.06, 672.212, 0, 288.4951, 651.29, 1198.754, 720.3468, 241.6481, 364.2992, 320.5382, 583.4904, 1078.089, 248.4949, 518.1245, 166.7285, 659.4999, 266.5774, 532.4291, 0, 300.2816, 0, 380.6746
1.3, 99.20207, 536.2838, 504.4707, 511.6613, 62.41104, 0, 576.6187, 355.7456, 564.0389, 396.2454, 942.5174, 344.9884, 221.7067, 702.0033, 595.9792, 1469.53, 238.7121, 1178.745, 241.8532, 575.8993, 66.32399, 423.0517, 990.2941, 862.9563, 510.716, 53.28452, 792.4371, 585.6552, 1238.853, 0, 413.6566, 534.1411, 846.5197, -3.051758e-05, 1921.181, 318.7664, 283.2627, 926.6884, 0, 1125.577, 197.6053, 473.0357, 0, 984.8013, 405.6181, 0, 436.804, 235.2343, 268.3914, 1974.729, 12.71466, 0, 0, 186.1451, 851.3976, 268.587, 192.2542, 1094.051, 775.3446, 85.0353, 276.2908, 691.9231, 1148.817, 838.6023, 231.3127, 348.9951, 306.5983, 659.9131, 1057.112, 258.1076, 560.9067, 159.9093, 631.922, 254.5607, 577.6603, 0, 287.689, 0, 426.7928
1.4, 95.13991, 507.1645, 516.2975, 624.854, 59.51819, 0, 551.7621, 382.2923, 540.1628, 376.9566, 1044.345, 330.2419, 246.3255, 670.0981, 637.3673, 1582.097, 335.4531, 1242.151, 230.2828, 551.7429, 63.38044, 475.4354, 958.8571, 991.0491, 486.7593, 51.05402, 807.0998, 550.8317, 1329.823, 0, 395.9113, 599.1442, 914.3448, -6.103516e-05, 1967.488, 305.4609, 404.4996, 888.6613, 0, 1066.148, 187.5236, 548.2455, 0, 935.9868, 388.5242, 0, 456.3726, 317.274, 256.9677, 1932.096, 12.108, 0, 0, 178.4025, 1077.245, 488.2327, 183.7082, 1186.323, 758.7222, 81.47836, 264.6028, 672.3143, 1100.959, 848.442, 271.2138, 334.3339, 293.2645, 718.0521, 1010.287, 246.4716, 537.2933, 153.3689, 629.0462, 243.0857, 650.04, 0, 405.5991, 0, 408.8147
1.5, 91.24409, 544.0773, 491.519, 697.8976, 56.75945, 0, 527.9771, 475.9014, 517.2975, 403.8752, 1159.891, 336.6732, 233.5137, 814.0168, 677.6793, 1745.859, 321.3022, 1209.131, 219.2659, 655.8535, 60.56754, 451.086, 1036.132, 949.1283, 463.9263, 48.91689, 840.8326, 573.5973, 1358.958, 0, 378.9272, 617.4958, 1037.408, -6.103516e-05, 2191.355, 292.7108, 384.4349, 892.5883, 0, 1009.857, 295.1648, 524.6707, 0, 907.6442, 465.3706, 0, 569.4573, 328.7377, 246.0302, 2116.318, 11.53029, 0, 0, 170.9819, 1031.872, 467.4688, 175.542, 1158.651, 887.0145, 78.07019, 253.4093, 858.5112, 1258.97, 881.3029, 259.6139, 320.2886, 364.3703, 687.8517, 965.5369, 235.3602, 561.2833, 147.0961, 704.083, 277.1077, 639.8324, 0, 388.5898, 0, 391.5939
1.6, 87.50781, 582.7052, 522.5567, 666.2147, 96.56363, 0, 763.5456, 541.45, 632.1814, 384.2151, 1153.845, 346.1334, 221.3683, 896.0386, 785.8282, 1747.533, 307.7482, 1243.725, 208.776, 669.2334, 57.87946, 427.9838, 1062.463, 1038.348, 442.1645, 46.86921, 825.5864, 592.5189, 1387.556, 0, 362.6717, 709.6827, 987.1852, -3.051758e-05, 2278.971, 280.4929, 394.198, 1022.494, 0, 1036.438, 280.1056, 523.6744, 0, 1075.507, 445.7586, 0, 558.1642, 311.9513, 235.5583, 2096.128, 52.83669, 0, 0, 163.8701, 1109.431, 447.5879, 167.7388, 1219.191, 868.6234, 74.80459, 242.6892, 821.939, 1281.562, 997.2017, 248.5101, 306.8334, 564.3613, 658.9216, 992.4124, 303.6497, 587.8826, 141.0798, 674.6407, 264.6163, 714.9919, 0, 372.2939, 0, 375.0984
1.7, 141.3872, 601.7757, 497.4778, 686.1487, 183.5202, 0, 796.0407, 568.6031, 605.4209, 365.512, 1174.939, 347.8459, 266.5863, 855.3149, 832.2937, 1845.574, 294.7661, 1235.926, 198.788, 705.5682, 55.3107, 406.0647, 1167.604, 1067.273, 473.9419, 44.90726, 809.9316, 557.2874, 1488.199, 0, 347.1135, 668.1052, 968.9507, -3.051758e-05, 2200.094, 268.785, 374.6443, 1149.801, 0, 998.0129, 265.8148, 576.3273, 0, 1022.196, 511.57, 0, 767.1783, 296.022, 225.5322, 2322.97, 50.31567, 0, 0, 157.054, 1232.906, 428.5526, 160.2825, 1309.642, 873.3358, 71.67558, 232.4227, 786.9248, 1483.827, 950.9385, 237.8812, 293.9434, 539.8176, 631.2083, 1024.194, 289.9606, 600.3369, 135.3096, 725.1, 252.688, 685.2947, 0, 395.3042, 0, 359.2979
1.8, 189.7365, 709.9889, 547.4447, 743.0039, 175.0137, 0, 796.6932, 578.3728, 683.3668, 347.7193, 1117.904, 346.5214, 329.566, 859.6005, 1044.806, 1907.685, 282.3315, 1299.228, 189.2779, 675.9728, 52.85594, 385.2682, 1164.063, 1089.859, 451.7101, 43.02743, 789.4875, 609.8582, 1558.125, 0, 332.2228, 683.7299, 922.0419, -3.051758e-05, 2456.207, 257.5657, 402.1886, 1139.392, 0, 1126.46, 252.2531, 633.9374, 0, 1086.971, 490.011, 0, 733.2988, 351.5225, 215.9327, 2345.428, 47.91494, 0, 0, 174.244, 1180.977, 410.3268, 153.1577, 1472.342, 890.4906, 68.67746, 320.4899, 828.8192, 1422.014, 1082.692, 227.7069, 281.5949, 516.3412, 739.3202, 978.8273, 332.3253, 679.2834, 129.7754, 694.7791, 241.2975, 680.8416, 0, 378.7267, 0, 399.2518
1.9, 261.1165, 725.6259, 521.1713, 709.2731, 166.9016, 0, 762.3499, 608.0188, 654.4396, 330.7928, 1108.183, 334.5725, 312.4247, 890.3784, 1130.615, 1844.648, 270.4215, 1368.117, 180.2227, 741.8818, 50.51012, 438.6382, 1277.19, 1187.313, 532.5399, 41.22629, 910.603, 573.5955, 1550.047, 0, 317.9709, 643.6729, 877.4041, -4.577637e-05, 2468.134, 246.8148, 411.7109, 1143.625, 0, 1089.221, 239.3832, 606.6777, 0, 1063.242, 469.3607, 0, 700.9155, 333.5726, 206.7419, 2484.146, 45.62876, 0, 0, 166.9964, 1268.848, 392.876, 146.3495, 1504.147, 994.8575, 65.80475, 306.9321, 884.5815, 1362.776, 1032.463, 217.9678, 269.7652, 650.9241, 708.2253, 1034.435, 317.3435, 650.6866, 124.4675, 665.726, 266.2233, 652.5626, 0, 362.8444, 0, 382.4338
2, 280.2559, 757.1791, 496.1588, 826.6921, 159.1654, 0, 729.4869, 580.2363, 645.8093, 314.6902, 1156.212, 320.2712, 296.175, 927.9662, 1274.431, 2039.138, 259.0139, 1504.806, 171.6007, 794.7834, 104.7285, 451.1301, 1300.54, 1180.472, 507.5594, 39.50055, 872.947, 575.0425, 1706.163, 0, 304.3304, 667.5953, 834.9272, -4.577637e-05, 2569.008, 236.5126, 391.2885, 1153.124, 0, 1155.831, 227.17, 580.5901, 0, 1173.35, 515.585, 0, 762.5375, 316.5394, 197.9422, 2382.829, 109.7048, 0, 0, 192.5954, 1367.201, 376.1675, 139.844, 1440.456, 1048.112, 63.0522, 322.3292, 846.8987, 1426.594, 1072.157, 260.9587, 258.4324, 622.616, 678.4382, 1022.208, 367.0007, 752.8789, 119.3768, 637.8877, 275.5626, 670.2551, 0, 347.6281, 0, 424.8459
2.1, 268.7799, 716.0656, 621.5737, 841.5651, 151.7878, 0, 698.0406, 553.7234, 676.9384, 380.8017, 1244.871, 381.4897, 330.4249, 948.5185, 1354.372, 2113.058, 271.7851, 1665.575, 163.3912, 842.5188, 105.2615, 428.0255, 1398.755, 1232.465, 483.7508, 37.84705, 902.7258, 579.5346, 1711.918, 0, 291.275, 837.1476, 906.1727, -4.577637e-05, 2518.836, 226.6404, 409.241, 1204.662, 0, 1119.931, 393.2232, 620.4926, 0, 1115.189, 538.2119, 0, 728.8629, 413.5827, 189.5171, 2419.519, 321.6053, 0, 0, 184.5845, 1429.178, 360.1696, 133.6277, 1514.455, 1023.224, 60.41479, 385.8672, 810.8212, 1367.165, 1103.675, 308.1941, 247.5758, 595.5388, 751.2112, 1024.026, 350.4556, 721.1838, 114.4942, 611.2135, 263.1409, 820.6491, 0, 360.4448, 0, 483.102
2.2, 257.7738, 761.659, 609.3334, 986.0142, 144.7523, 0, 667.9499, 690.3176, 648.2833, 447.9336, 1263.792, 394.0834, 313.2389, 959.6987, 1457.367, 2224.774, 303.1469, 1691.799, 155.5744, 899.6862, 100.5899, 406.1043, 1485.91, 1364.193, 665.1818, 166.1586, 986.2745, 545.0751, 1784.446, 0, 278.7796, 874.4794, 917.9409, -3.051758e-05, 2747.558, 466.1213, 388.9411, 1237.787, 0, 1127.125, 373.1612, 593.8109, 0, 1286.521, 515.5302, 0, 731.4142, 469.8635, 181.4506, 2658.043, 306.2605, 0, 0, 176.9068, 1368.982, 344.8521, 127.6877, 1652.37, 980.9461, 57.8877, 369.5438, 980.2327, 1684.658, 1129.896, 326.0082, 237.1752, 569.6393, 719.6162, 1138.412, 380.9071, 690.823, 109.8114, 798.5935, 251.2791, 792.6994, 0, 345.3292, 0, 494.3156
2.3, 247.2184, 785.7418, 604.2464, 941.2514, 220.9592, 0, 761.5061, 658.7747, 672.9666, 690.6056, 1482.997, 377.2384, 296.9468, 974.9921, 1728.502, 2385.149, 290.3588, 1780.136, 148.1316, 960.738, 96.12555, 436.0826, 1424.928, 1430.007, 688.8971, 159.2032, 1101.975, 651.4301, 1779.845, 0, 266.8203, 885.7949, 873.5016, -3.051758e-05, 2751.051, 446.6652, 369.6482, 1388.143, 0, 1159.648, 354.1227, 568.2767, 0, 1359.92, 580.9669, 0, 824.9127, 540.8716, 173.7274, 2879.85, 291.6478, 0, 0, 201.6832, 1524.926, 330.1859, 122.0117, 1677.021, 1063.136, 55.46631, 353.9109, 938.4752, 1614.479, 1158.528, 312.0647, 227.2115, 544.8661, 689.3501, 1252.018, 363.735, 759.5897, 105.32, 893.9641, 288.4534, 791.3103, 0, 411.5539, 0, 473.4933
2.4, 290.4135, 818.1974, 639.6063, 898.5208, 241.7701, 0, 728.6796, 628.673, 777.5026, 656.9878, 1523.806, 409.3987, 406.3175, 1021.697, 1825.399, 2450.722, 373.3022, 2090.102, 141.0449, 1040.333, 91.85938, 514.0658, 1476.361, 1471.719, 713.8533, 152.5389, 1233.184, 720.8016, 1816.448, 0, 255.3741, 960.7294, 831.2137, -3.051758e-05, 2888.518, 428.0211, 553.2328, 1331.179, 0, 1502.561, 336.0555, 693.147, 0, 1534.612, 605.2026, 0, 788.4835, 513.2531, 166.333, 2762.394, 277.7323, 0, 66.27979, 193.2943, 1576.266, 316.1436, 116.588, 1973.101, 1148.873, 53.14621, 489.0153, 898.4966, 1685.798, 1104.78, 298.7176, 304.9036, 521.1703, 660.3569, 1306.154, 365.6445, 727.6121, 101.0124, 913.5076, 472.5386, 856.0752, 0, 489.2884, 0, 474.7125
2.5, 286.9478, 794.8301, 648.7726, 938.7792, 253.2609, 0, 827.8923, 599.9468, 744.5905, 625.0065, 1683.237, 405.4717, 385.1843, 996.2906, 1747.785, 2535.8, 357.5546, 2219.447, 134.2972, 996.6956, 87.78254, 487.738, 1476.263, 1723.182, 764.6747, 146.1536, 1232.523, 677.9423, 1839.884, 0, 244.4189, 959.5497, 790.9731, -3.051758e-05, 2986.967, 410.1553, 525.7904, 1331.316, 0, 1476.13, 318.9102, 727.8199, 0, 1516.321, 579.6978, 0, 777.2103, 487.0447, 159.2533, 2848.566, 264.4807, 0, 63.31735, 185.2543, 1533.356, 302.6984, 111.4055, 1999.864, 1210.226, 50.92315, 468.3283, 908.5907, 1615.571, 1053.526, 285.9413, 356.5328, 498.505, 740.8703, 1408.79, 349.1605, 817.3121, 96.881, 875.308, 451.2377, 846.4679, 0, 482.7139, 0, 647.29
2.6, 544.8921, 838.6868, 677.1465, 924.6237, 241.5218, 0, 814.7241, 712.3433, 807.5388, 594.5819, 1620.323, 404.1095, 365.1502, 1071.538, 1745.156, 2636.886, 342.4713, 2241.858, 127.8723, 1019.195, 94.88543, 462.7586, 1415.678, 1788.742, 796.8905, 140.0356, 1181.555, 637.6313, 2011.715, 0, 233.9336, 980.4583, 752.6806, -3.051758e-05, 3136.239, 393.0352, 600.5809, 1415.858, 0, 1429.474, 302.6395, 806.0817, 0, 1481.804, 597.1706, 0, 742.8878, 462.1747, 152.4749, 2801.03, 251.8615, 0, 195.1935, 218.5704, 1500.818, 289.825, 106.4533, 1925.232, 1280.751, 48.79308, 448.5165, 1050.12, 1616.776, 1260.988, 273.7115, 341.5549, 618.6815, 738.9226, 1346.388, 503.5901, 848.8895, 92.91853, 838.7058, 430.897, 898.2606, 0, 462.4709, 0, 659.8682
2.7, 618.0476, 1125.987, 677.267, 898.2145, 230.3269, 0, 779.6034, 679.7939, 827.5897, 565.6384, 1606.736, 386.8359, 346.1581, 1089.29, 1779.962, 2823.365, 345.5072, 2325.147, 121.7548, 1044.353, 90.67429, 439.0586, 1546.526, 1827.5, 759.5099, 134.1736, 1132.695, 599.7173, 1927.731, 0, 223.8981, 949.5809, 716.2419, -3.051758e-05, 3113.25, 376.6296, 619.8469, 1507.165, 0, 1446.857, 287.199, 771.4197, 0, 1516.406, 572.0042, 0, 797.4185, 438.5745, 145.985, 2785.39, 239.8443, 0, 186.4691, 209.4791, 1489.328, 277.4991, 101.7212, 2009.212, 1423.037, 46.75211, 429.5428, 1028.122, 1549.424, 1202.487, 295.6241, 351.6795, 844.5388, 737.0071, 1286.75, 573.9598, 837.0838, 89.11813, 988.8995, 411.4732, 900.9806, 0, 470.1755, 0, 632.0721
2.8, 626.8235, 1064.848, 644.7631, 1095.359, 219.6509, 0, 917.1606, 648.7318, 829.2013, 538.1038, 1689.485, 370.3008, 328.1538, 1198.92, 1747.713, 2891.263, 360.3997, 2396.686, 115.93, 1010.358, 86.65005, 416.5723, 1483.057, 1898.152, 723.8827, 128.5571, 1171.405, 564.0577, 1877.994, 0, 214.2932, 932.6273, 681.5673, -1.525879e-05, 3099.167, 360.9089, 694.9734, 1544.128, 0, 1388.281, 272.5463, 847.3296, 0, 1441.241, 547.8984, 0, 773.6909, 416.1795, 139.7713, 2871.406, 228.4006, 0, 178.1347, 200.7659, 1469.018, 265.6974, 97.19955, 2035.077, 1586.635, 44.79652, 411.3717, 1051.431, 1484.879, 1174.022, 392.0095, 357.7933, 807.8104, 748.9745, 1229.753, 647.8637, 855.854, 85.47316, 947.5474, 392.925, 898.7583, 0, 475.7273, 0, 605.4469
2.9, 601.1561, 1081.539, 668.9675, 1097.765, 253.7368, 0, 888.2695, 663.7369, 794.1008, 511.9096, 1607.472, 354.4723, 441.9588, 1183.904, 1768.571, 2940.225, 358.8339, 2356.637, 110.3839, 992.8354, 82.80441, 395.2376, 1579.852, 1998.319, 775.9539, 123.1757, 1193.898, 677.7992, 2044.724, 0, 205.1003, 1013.104, 648.5712, -1.525879e-05, 3131.222, 345.8443, 660.5001, 1670.161, 0, 1459.59, 324.4232, 810.8939, 0, 1427.814, 524.8084, 0, 874.0935, 448.191, 133.8222, 2923.336, 217.5028, 0, 170.1728, 192.4152, 1509.675, 254.3976, 92.87884, 2081.846, 1683.318, 42.92272, 393.9693, 1112.078, 1423.021, 1284.64, 375.243, 385.9391, 876.2095, 826.4574, 1175.282, 643.3593, 840.2769, 81.97726, 907.9244, 375.2129, 932.1221, 0, 505.379, 0, 579.9432
