 , C001, C003, C006, C007, C008, C009, C011, C014, C015, C016, C017, C019, C020, C021, C022, C024, C025, C026, C027, C028, C029, C030, C031, C034, C035, C036, C037, C038, C039, C040, C043, C047, C048, C049, C051, C052, C053, C058, C060, C066, C067, C068, C069, C070, C072, C074, C075, C076, C077, C078, C079, C082, C084, C085, C086, C087, C088, C090, C091, C092, C093, C099, C101, C102, C108, C112, C113, C118, C119, C120, C121, C124, C125, C126, C130, C131, C134, C136, C137
Time(s)/Cell Status, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted
28.3, 394.3415, 909.4769, 1324.186, 1347.533, 730.8658, 0, 959.4794, 916.2592, 927.2095, 54.26834, 206.1485, 1410.234, 718.0521, 1703.343, 961.0534, 2484.274, 702.8302, 2067.456, 413.9387, 912.6593, 402.2275, 1124.527, 2905.18, 1781.639, 647.1456, 679.3593, 709.174, 654.4779, 2840.603, 286.0314, 1032.306, 595.2391, 2077.21, 361.5801, 4066.72, 109.2898, 669.7368, 2173.491, 101.2383, 1387.224, 421.7882, 613.7672, 393.6971, 807.3414, 775.2004, 186.353, 1354.483, 915.4766, 0.002130412, 4197.893, 506.6765, 159.4656, 20.86225, 0.02772706, 2058.802, 0.9628019, 149.0528, 1528.145, 3202.544, 108.0422, 203.271, 1463.263, 31.35519, 1699.59, 638.546, 0.01601121, 1156.436, 1361.47, 398.004, 469.3694, 207.5003, 0.002028064, 2.526474, 611.3405, 266.7935, 0, 469.6955, 0, 358.0237
28.4, 378.1939, 860.0941, 1274.395, 1307.126, 735.4612, 0, 918.1187, 888.8303, 887.9603, 51.62663, 196.1414, 1428.051, 751.7097, 1677.047, 920.1904, 2469.333, 727.7225, 2063.4, 394.1355, 874.3774, 384.3761, 1153.153, 2785.952, 1706.276, 616.7892, 683.6766, 748.3962, 615.5622, 2722.015, 273.8015, 1037.672, 560.3665, 2044.877, 345.2173, 4154.104, 104.728, 648.9413, 2207.465, 97.051, 1396.674, 400.2688, 587.3749, 375.4706, 767.3234, 742.5313, 178.114, 1362.489, 897.6627, 0.002039734, 4213.412, 482.5013, 152.1291, 19.9298, 0.02657377, 2056.028, 0.9218551, 142.4272, 1486.148, 3270.251, 103.5229, 194.672, 1400.928, 30.04899, 1774.982, 611.2351, 0.01533859, 1168.708, 1371.104, 380.3745, 507.6866, 198.7649, 0.001945115, 2.420826, 583.7827, 255.7122, 0, 470.3201, 0, 342.9424
28.5, 362.7075, 966.5663, 1317.897, 1255.104, 716.6024, 0, 910.6181, 899.0535, 926.235, 49.11351, 186.6201, 1404.464, 767.8124, 1627.581, 979.8984, 2553.645, 697.0239, 2063.923, 375.2798, 837.7012, 367.317, 1094.095, 2790.638, 1674.13, 587.8568, 655.0577, 717.4479, 578.9604, 2698.223, 262.0945, 1002.851, 527.5369, 2044.194, 329.595, 4185.608, 100.3566, 667.5159, 2234.258, 93.03685, 1394.549, 443.2665, 562.1174, 358.0878, 729.2888, 777.8667, 170.2391, 1345.911, 860.8286, 0.001952916, 4192.803, 459.4796, 145.1302, 19.03901, 0.02546845, 2056.776, 0.8826497, 136.096, 1507.869, 3217.958, 99.19263, 186.4368, 1376.61, 28.79721, 1692.635, 611.0045, 0.01469422, 1117.882, 1313.437, 416.6605, 500.5504, 190.3971, 0.001865559, 2.319596, 608.6434, 245.0912, 0, 450.5968, 0, 328.4964
28.6, 347.8552, 956.0247, 1282.209, 1341.397, 683.3868, 0, 972.2929, 857.9727, 985.7773, 46.72272, 177.561, 1344.43, 727.8773, 1611.343, 938.2341, 2445.606, 667.6203, 1997.646, 407.7169, 831.6816, 407.4255, 1137.49, 2787.589, 1669.66, 560.2815, 652.8101, 719.1511, 685.0934, 2677.946, 250.8881, 997.2889, 539.1955, 2006.264, 314.6797, 4193.851, 96.16765, 634.4047, 2154.231, 89.18873, 1344.086, 420.6512, 537.946, 341.5098, 762.3863, 745.0853, 162.7125, 1316.96, 886.88, 0.001869793, 4142.134, 541.4604, 138.4533, 18.18805, 0.0244091, 1970.146, 0.8451118, 130.0463, 1504.758, 3226.632, 95.0435, 178.5499, 1317.967, 27.59758, 1703.178, 618.9527, 0.01407692, 1113.535, 1355.858, 398.2046, 477.9846, 182.3817, 0.001789257, 2.222599, 581.2073, 234.9113, 0, 431.7005, 0, 314.6589
28.7, 370.9922, 904.1143, 1257.366, 1327.335, 651.7108, 0, 930.3798, 891.0801, 994.1293, 44.44832, 168.9416, 1338.207, 690.0192, 1626.486, 945.9453, 2449.632, 639.4571, 2029.717, 388.2115, 861.8854, 389.3434, 1079.233, 2754.21, 1754.798, 623.6339, 657.4583, 689.4122, 644.3572, 2673.673, 240.1608, 954.5065, 507.6062, 1937.842, 300.4393, 4105.076, 92.15355, 651.6725, 2245.311, 85.49977, 1416.509, 453.5431, 514.814, 386.0887, 724.5966, 843.6105, 224.2358, 1268.288, 910.138, 0.001790208, 4145.701, 542.364, 132.0835, 17.37512, 0.02339381, 1947.136, 0.8091702, 124.2655, 1571.286, 3218.109, 91.06792, 170.9966, 1385.845, 26.44792, 1688.193, 592.4799, 0.01348555, 1145.593, 1298.832, 447.9739, 478.9367, 174.7037, 0.001716076, 2.129658, 624.2985, 225.1542, 0, 413.5967, 0, 301.4043
28.8, 355.8007, 855.0226, 1197.022, 1267.078, 689.735, 0, 903.009, 850.3636, 961.2324, 42.28463, 160.7407, 1308.35, 676.9351, 1552.564, 905.7247, 2439.481, 636.7924, 2015.993, 369.6391, 856.7606, 391.91, 1023.961, 2750.39, 1680.571, 637.1591, 658.9865, 684.8132, 606.0433, 2681.055, 229.8922, 947.7625, 510.7654, 2025.436, 286.8433, 4082.563, 88.307, 683.6206, 2219.785, 81.96339, 1424.514, 541.9627, 492.6767, 435.2701, 782.236, 844.9003, 214.3219, 1268.312, 914.7802, 0.001714011, 4125.65, 516.486, 126.0068, 16.59852, 0.02242076, 1865.124, 0.7747572, 118.7416, 1526.107, 3178.661, 87.25864, 163.7629, 1326.808, 25.34615, 1771.133, 601.8638, 0.01291903, 1218.784, 1383.4, 428.131, 473.763, 167.3489, 0.001645888, 2.040604, 617.8765, 215.8024, 0, 430.5627, 0, 288.708
28.9, 341.2312, 808.5966, 1241.56, 1301.894, 731.058, 0, 950.0011, 811.5076, 950.7173, 40.22626, 152.9378, 1301.264, 720.7133, 1535.023, 947.3407, 2447.685, 673.9974, 1971.238, 384.0078, 820.8234, 374.5165, 1072.139, 2770.25, 1609.484, 702.0259, 631.4011, 656.4943, 608.9943, 2683.498, 220.0627, 969.6051, 619.621, 2041.573, 273.8626, 4001.923, 84.62102, 665.9124, 2321.497, 78.57328, 1489.303, 685.7349, 471.4914, 415.1188, 743.4623, 851.262, 285.4928, 1327.908, 964.5205, 0.001641056, 4209.48, 542.9599, 120.2097, 15.85664, 0.02148818, 1887.274, 0.7418078, 113.4633, 1586.591, 3154.422, 181.5837, 156.8352, 1270.287, 24.29029, 1787.465, 653.8935, 0.0123763, 1208.255, 1459.922, 409.167, 482.0412, 160.3037, 0.001578571, 1.955273, 603.7593, 206.839, 0, 412.5066, 0, 276.5465
29, 327.2584, 920.8301, 1181.974, 1242.791, 749.9197, 0, 909.049, 816.1642, 963.8093, 38.2681, 186.2148, 1282.648, 819.4471, 1531.453, 907.0607, 2461.019, 645.5652, 1987.225, 401.2679, 878.9583, 357.895, 1017.229, 2713.032, 1620.249, 669.0952, 660.9059, 688.6751, 663.8489, 2682.928, 210.6534, 976.5568, 583.3199, 2007.269, 261.4694, 3989.914, 367.8472, 682.2028, 2244.839, 75.32339, 1410.67, 740.3149, 451.2169, 463.4478, 746.3871, 815.3875, 272.8705, 1269.266, 951.0311, 0.001571207, 4094.188, 597.2669, 114.6792, 15.14791, 0.02059439, 2034.159, 0.7102596, 108.4197, 1545.6, 3186.66, 173.9882, 150.2006, 1376.277, 23.2784, 1835.475, 625.9262, 0.01185638, 1219.943, 1398.519, 391.043, 460.3098, 194.374, 0.001514007, 1.873511, 721.7166, 198.2479, 0, 438.0638, 0, 264.8974
29.1, 313.8577, 1079.626, 1272.213, 1204.334, 770.8256, 0, 943.7704, 857.5594, 978.5797, 36.40526, 184.9636, 1280.183, 776.8263, 1566.566, 949.5782, 2471.284, 618.3323, 2046.589, 382.071, 842.09, 350.3747, 1055.169, 2755.379, 1551.713, 637.7092, 633.2402, 714.899, 624.376, 2719.163, 201.6464, 934.6638, 549.1456, 2027.208, 249.6369, 4037.136, 352.493, 648.363, 2321.638, 72.20792, 1336.188, 767.2495, 431.8144, 475.805, 728.3935, 823.264, 294.8531, 1260.93, 976.081, 0.001504331, 4074.183, 592.8227, 109.4032, 14.47086, 0.01973777, 2032.521, 0.6800532, 103.6002, 1543.523, 3204.852, 166.7104, 143.8466, 1349.303, 22.30867, 1862.678, 650.4506, 0.01135829, 1221.225, 1495.661, 373.7219, 439.5582, 262.3799, 0.001452083, 1.795167, 689.1833, 190.0136, 0, 419.6931, 0, 253.7389
29.2, 328.2411, 1021.004, 1224.263, 1248.376, 752.3865, 0, 903.087, 869.8564, 1067.159, 34.63309, 191.4913, 1311.691, 848.931, 1570.971, 1023.454, 2449.091, 645.1792, 1999.768, 426.1191, 806.7681, 380.7646, 1001.129, 2720.072, 1623.33, 607.7954, 606.7327, 730.7903, 618.5667, 2652.184, 193.0246, 911.2404, 516.9734, 1984.775, 238.34, 3998.61, 337.7798, 616.2017, 2369.098, 69.22131, 1369.813, 823.2113, 413.2461, 453.7772, 692.2886, 857.2256, 317.1458, 1349.216, 926.2392, 0.001440301, 4203.683, 564.5372, 104.37, 13.82407, 0.01891679, 1968.031, 0.6511314, 98.995, 1588.685, 3200.837, 159.7371, 137.7614, 1291.823, 21.37933, 1776.263, 687.8594, 0.01088113, 1225.98, 1472.069, 357.168, 419.742, 304.4195, 0.001392693, 1.7201, 763.573, 182.1214, 0, 421.2602, 0, 243.0505
29.3, 314.8002, 1077.323, 1257.14, 1226.918, 752.2664, 0, 864.1572, 878.4598, 1048.176, 32.9472, 182.1957, 1255.623, 900.743, 1499.573, 979.9381, 2448.846, 617.9626, 1958.306, 405.7333, 910.4307, 363.8657, 1091.74, 2659.132, 1554.664, 631.5377, 581.3347, 700.5701, 617.6011, 2609.52, 184.7714, 1035.501, 588.5518, 1965.616, 227.5542, 3925.522, 323.6806, 651.7241, 2271.881, 66.35822, 1395.76, 781.2115, 395.4763, 557.219, 657.9735, 840.4133, 303.1241, 1311.41, 1005.497, 0.001378997, 4180.062, 537.6012, 99.56827, 13.20619, 0.01812996, 2022.942, 0.6234396, 94.59448, 1521.414, 3172.722, 153.0554, 131.9337, 1306.914, 20.48871, 1795.509, 692.6143, 0.01042402, 1172.663, 1488.257, 341.3473, 400.8193, 324.1221, 0.001335731, 1.648172, 773.9371, 174.5569, 0, 448.4641, 0, 232.8123
