 , C000, C001, C002, C003, C004, C007, C008, C009, C012, C013, C014, C015, C016, C018, C019, C022, C023, C024, C026, C027, C030, C031, C032, C033, C035, C037, C038, C039, C042, C043, C044, C046, C047, C048, C050, C052, C053, C054, C056, C057, C058, C059, C060, C061, C062, C066, C067, C070, C072, C073, C074, C076, C078, C079, C080, C081, C086, C087, C090, C091, C092, C093, C094, C098, C101, C102, C108, C111, C112, C113, C120, C124, C125, C127
Time(s)/Cell Status, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.1, 52.77765, 0, 0, 70.80072, 44.30731, 0, 0, 87.65901, 97.13269, 82.1167, 155.0315, 0, 0, 0, 4.728786, 116.8364, 12.68243, 0, 29.6871, 87.37183, 30.1405, 42.34613, 0, 0, 0, 69.74475, 78.06616, 89.62341, 14.68408, 121.5524, 0, 0, 28.58325, 0, 24.90976, 8.143585, 0, 0, 0, 0, 94.46838, 0, 0, 0, 85.69373, 66.92725, 0, 123.7014, 0, 63.78119, 126.4402, 72.8924, 0, 188.7256, 44.62506, 0, 19.04144, 0, 0, 0, 143.75, 111.0464, 95.88452, 96.73218, 80.15283, 0, 0, 54.66321, 84.85315, 0, 114.8467, 50.08112, 176.9021, 0
0.2, 49.93829, 0, 0, 67.59698, 42.39313, 0, 14.81544, 230.9894, 93.12115, 148.5754, 193.2061, 0, 0, 28.07227, 29.61312, 192.7526, 177.778, 117.7975, 28.37457, 83.49554, 28.8526, 40.33527, 0, 0, 11.79224, 87.12305, 122.0364, 97.37457, 32.9841, 252.9354, 0, 79.02277, 27.28412, 0, 61.08484, 22.74698, 0, 0.0001220703, 0, 0, 90.38647, 0, 0, 0, 219.6865, 213.0815, 0, 215.1919, 137.8812, 162.6952, 213.5464, 138.6082, 64.14691, 265.6113, 147.5379, -3.051758e-05, 89.23743, -6.103516e-05, 0, -1.525879e-05, 137.5459, 139.1492, 188.0483, 92.25787, 246.745, 134.374, 0, 184.6832, 141.6371, 0, 242.6484, 191.7172, 332.9951, 0
0.3, 101.8126, 0, 0, 98.67603, 111.735, 7.629395e-06, 14.16527, 246.7162, 207.9529, 191.2112, 230.8431, 0, 10.71313, 26.81549, 28.31564, 223.3115, 169.9216, 112.0287, 27.12006, 141.3273, 27.61981, 38.41986, 227.2845, 0, 11.29077, 151.7962, 142.6306, 122.9911, 31.48322, 241.4087, 26.46487, 82.26596, 126.0809, 0, 58.58795, 110.4365, 0, 0.0001220703, 0, 64.13287, 216.5497, 3.051758e-05, 0, 6.103516e-05, 209.5126, 203.8878, -1.525879e-05, 278.8762, 131.5517, 184.7737, 304.9617, 132.231, 78.58722, 254.2129, 173.3026, 0, 131.735, 0, 0, -1.525879e-05, 284.8508, 181.8523, 287.9159, 87.99054, 319.1911, 128.2005, 0, 271.7185, 135.4977, 0, 294.0848, 183.7087, 511.9446, 0
0.4, 96.33527, 0, 16.01245, 94.211, 106.9079, 0, 13.5436, 536.131, 240.8669, 286.0536, 300.5756, 0, 46.14203, 85.50037, 46.45303, 294.9373, 162.4124, 106.5425, 25.921, 182.6417, 26.4397, 36.59543, 233.5396, 0, 158.287, 215.4532, 214.455, 117.8914, 58.84442, 261.6746, 25.29265, 108.0102, 195.064, 0, 56.19312, 116.2949, 0, 0.0001220703, -6.103516e-05, 136.8712, 207.1929, 3.051758e-05, 0, 9.130249, 336.0021, 263.3118, 0, 374.1166, 125.5129, 280.9305, 336.4264, 126.1471, 75.32947, 243.3035, 269.0123, 27.85382, 168.779, -6.103516e-05, 0, -1.525879e-05, 272.5569, 271.1996, 489.6234, 83.92053, 305.5408, 207.4934, 0, 258.7512, 222.4094, 0, 390.194, 304.3504, 490.1498, 0
0.5, 91.15259, 0, 27.93039, 204.3702, 102.2894, 7.629395e-06, 12.94923, 510.5044, 264.1848, 274.0007, 333.5616, 0, 44.14453, 81.67261, 75.94579, 282.2798, 224.988, 101.3248, 24.77497, 261.2391, 41.23102, 34.85767, 223.928, 0, 164.8152, 220.3036, 284.2023, 198.9076, 117.841, 390.4032, 24.17233, 108.9149, 186.1982, 130.3266, 53.89615, 111.1786, 0, 78.67419, -6.103516e-05, 297.1457, 236.5698, 3.051758e-05, 0, 98.16254, 396.1216, 307.9664, -1.525879e-05, 640.975, 119.7512, 379.7983, 361.2972, 166.9872, 72.20679, 370.2632, 254.8545, 64.70795, 161.125, 0, 0, -1.525879e-05, 475.8684, 259.2075, 468.1415, 80.03876, 292.4743, 197.9606, 0, 389.1088, 318.2434, 0, 373.6465, 291.637, 585.302, 0
0.6, 248.4635, 0, 35.60962, 195.1226, 164.8789, 7.629395e-06, 12.38095, 486.1028, 324.045, 262.4557, 455.2747, 3.051758e-05, 42.23355, 149.4296, 72.61829, 270.1656, 278.1915, 218.0618, 23.6796, 249.6491, 39.46924, 81.59818, 320.3965, 0, 157.8054, 361.2585, 409.3813, 190.6601, 144.1675, 459.2981, 23.10165, 104.0724, 231.7444, 124.9472, 51.69308, 117.5049, 0, 75.10138, -6.103516e-05, 351.3647, 291.3912, 6.103516e-05, 0, 101.4876, 495.2086, 329.9451, -1.525879e-05, 703.2349, 114.254, 364.1114, 453.2898, 159.3043, 102.4492, 545.8977, 353.4318, 127.4099, 304.662, 30.34796, 0, -1.525879e-05, 522.813, 294.7542, 447.6021, 76.33655, 440.7511, 324.7563, 0, 410.6254, 368.9986, 0, 475.6383, 279.4548, 611.1825, 0
0.7, 235.0966, 0, 89.36336, 186.2933, 157.7559, 7.629395e-06, 39.1187, 462.8676, 330.5292, 572.6804, 545.8896, 3.051758e-05, 40.40527, 156.846, 69.43657, 258.5713, 290.1723, 352.658, 22.63267, 337.8246, 72.2196, 77.7233, 453.6649, 0, 151.094, 343.5511, 434.6531, 182.7546, 137.6074, 438.3672, 22.0784, 108.7687, 243.2119, 119.7898, 49.58008, 153.9454, 0, 197.9094, -6.103516e-05, 333.7731, 314.8197, 6.103516e-05, -1.907349e-06, 106.1244, 522.3278, 404.1279, -1.525879e-05, 712.6865, 109.0092, 445.8023, 433.051, 210.1716, 98.2023, 737.5984, 334.8311, 121.5004, 290.8458, 29.10638, 0, -1.525879e-05, 590.0717, 385.1793, 680.9532, 138.4551, 421.9023, 425.3722, 0, 438.0237, 517.5356, 0, 613.4034, 267.7815, 723.0918, 0
0.8, 222.4488, 1.525879e-05, 85.6368, 293.9146, 150.9406, 3.814697e-06, 93.01936, 541.5367, 316.8787, 655.5162, 523.4708, 0, 126.0896, 149.8242, 66.39426, 247.4745, 277.3489, 335.3875, 123.8004, 322.8369, 95.71381, 143.0064, 508.5868, -1.525879e-05, 244.5485, 472.1459, 597.8112, 175.1769, 170.522, 556.9537, 87.6441, 109.1576, 312.69, 114.8452, 47.55344, 272.5101, 0, 188.9217, -6.103516e-05, 416.6956, 362.158, 3.051758e-05, 0, 101.7548, 498.1381, 469.5741, 0, 766.3757, 104.0051, 427.3892, 662.1986, 402.8048, 179.4811, 835.0432, 404.0487, 215.579, 277.6561, 152.9552, 0, -1.525879e-05, 785.9415, 422.2905, 651.0767, 319.6026, 420.546, 405.8297, 0, 500.9498, 495.1025, 0, 715.7144, 423.753, 789.4801, 0
0.9, 314.9528, 21.04314, 82.06563, 339.9171, 215.4264, 3.814697e-06, 169.8112, 548.4189, 397.0172, 627.896, 548.083, 190.2816, 120.6313, 143.1166, 63.48524, 338.569, 398.8877, 385.9905, 148.0106, 308.5141, 160.7919, 214.482, 663.761, 0, 297.765, 631.5134, 697.7401, 167.9134, 162.7626, 797.455, 83.76201, 183.6284, 298.4779, 110.1048, 45.60965, 354.8308, 0, 180.3422, 112.7575, 395.833, 497.4656, 6.103516e-05, 0, 113.2207, 493.2617, 518.8331, 0, 862.2367, 99.23077, 487.0756, 935.7745, 550.5013, 180.1741, 1126.665, 382.7841, 321.186, 265.0646, 146.6977, 0, -1.525879e-05, 1056.198, 403.6176, 652.1294, 537.5841, 458.0525, 405.3232, 0, 477.0427, 473.6417, 0, 714.193, 406.052, 1074.003, 0
1, 298.0089, 20.07654, 78.64339, 398.7897, 250.325, 3.814697e-06, 169.3103, 580.946, 380.6208, 660.9069, 606.6848, 182.0149, 164.8319, 186.5302, 60.70368, 370.3662, 444.6039, 367.0877, 141.4666, 335.0316, 153.9215, 254.9229, 674.6307, 0, 295.1371, 600.5593, 834.0955, 160.951, 155.3564, 998.8236, 146.6171, 213.3491, 503.1257, 231.5797, 282.4471, 491.7075, 0, 172.1523, 206.5701, 449.2844, 539.806, 6.103516e-05, -1.907349e-06, 108.559, 544.4716, 496.4471, -1.525879e-05, 864.7332, 94.67558, 495.9565, 986.2389, 604.9677, 334.7834, 1110.891, 362.6386, 344.2383, 253.0441, 156.4857, 0, -1.525879e-05, 1160.512, 441.1599, 732.214, 541.764, 438.4637, 443.5989, 0, 561.8354, 453.1111, 0, 907.6879, 503.2076, 1130.007, 0
1.1, 281.9765, 19.15434, 75.36386, 448.2012, 239.5106, 3.814697e-06, 274.0691, 587.754, 364.9014, 653.9247, 581.7693, 174.1073, 157.6964, 178.1794, 58.04399, 404.9835, 424.9559, 373.1717, 152.3943, 343.8492, 147.3447, 242.8173, 680.9055, 0, 282.5847, 674.2435, 798.8443, 154.2774, 148.2871, 953.3056, 140.1228, 203.8633, 613.944, 222.0209, 270.9018, 470.0751, 0, 164.3343, 195.1609, 478.9721, 591.3025, 3.051758e-05, -1.907349e-06, 104.0892, 609.1013, 544.8145, 0, 1092.276, 90.3295, 559.5973, 942.2048, 738.3458, 379.1989, 1136.89, 409.2184, 328.2721, 241.5688, 150.0837, 0, 0, 1271.015, 503.401, 700.0884, 661.8736, 419.7127, 457.7526, 0, 535.0226, 433.4705, -1.525879e-05, 958.8645, 482.1877, 1184.042, 0
1.2, 266.8066, 18.27449, 72.22108, 442.6158, 229.1633, 3.814697e-06, 262.0414, 559.6599, 349.8313, 653.932, 613.1204, 166.5432, 150.8698, 170.2025, 55.50084, 489.9891, 406.1761, 354.8967, 145.6566, 394.3318, 238.8185, 231.2866, 699.84, 0, 395.8544, 681.0323, 765.0829, 147.8804, 141.5396, 923.8856, 133.9163, 194.7992, 586.0396, 212.8567, 259.8285, 449.3945, 0, 230.6918, 184.382, 602.6443, 565.753, 3.051758e-05, -1.907349e-06, 178.7436, 580.8931, 619.3193, 0, 1046.863, 86.18292, 582.3164, 1117.111, 704.3751, 363.4795, 1125.217, 387.6817, 313.0464, 230.6138, 206.2359, 0, 0, 1327.031, 542.767, 877.4918, 747.0725, 401.7636, 508.6284, 0, 509.4894, 414.6812, -1.525879e-05, 1047.825, 462.0458, 1217.609, 0
1.3, 252.4529, 17.43509, 69.20938, 462.3453, 262.5186, 7.629395e-06, 250.5415, 532.9087, 335.3836, 663.556, 826.572, 159.3077, 212.455, 162.5827, 53.06911, 511.9907, 493.2625, 337.5166, 139.2167, 397.4069, 306.8029, 220.3035, 797.7164, 0, 379.0185, 692.8034, 843.0495, 141.7487, 230.504, 881.7826, 127.9846, 186.1382, 606.6633, 204.0707, 249.2077, 429.6238, 0, 220.2155, 174.1983, 572.4719, 541.3074, 6.103516e-05, 0, 198.373, 553.9912, 592.5976, 0, 1125.724, 82.22669, 595.7401, 1200.948, 671.9674, 348.4118, 1104.398, 367.2785, 298.5269, 220.1556, 197.7986, 0, 1.525879e-05, 1335.12, 518.7667, 838.9923, 712.5167, 384.5821, 517.7751, 0, 599.1362, 396.7064, -1.525879e-05, 1003.388, 442.7454, 1265.473, 0
1.4, 307.4241, 28.20857, 66.32325, 441.4243, 285.2812, 3.814697e-06, 239.5463, 507.4362, 422.1227, 707.9164, 816.8555, 152.3866, 203.2579, 192.7804, 50.74393, 490.0183, 471.4641, 320.9877, 133.0616, 379.7758, 293.6937, 209.842, 853.8912, 0, 384.5016, 658.8452, 862.9472, 135.8713, 220.0153, 848.8576, 122.3156, 177.8622, 579.0897, 195.6474, 239.0211, 410.7228, 0, 264.7518, 311.0922, 563.3324, 630.248, 6.103516e-05, -1.907349e-06, 190.2052, 622.7958, 567.0288, 7.629395e-06, 1162.901, 78.45208, 571.1339, 1266.151, 641.0507, 333.9687, 1320.2, 347.949, 284.6808, 320.9005, 189.7065, 0, 0, 1351.932, 495.8278, 850.0034, 801.6949, 368.1353, 493.9873, 0, 629.562, 379.5106, -1.525879e-05, 960.8365, 424.251, 1211.599, 0
1.5, 318.5849, 26.91281, 77.89491, 421.4501, 272.9566, 3.814697e-06, 229.0336, 483.1812, 455.6728, 761.9908, 817.5001, 145.7662, 194.459, 184.1498, 48.52062, 468.9889, 450.6291, 305.2682, 127.1786, 476.3953, 356.9915, 268.0443, 917.8596, 0, 419.7903, 626.5516, 832.5627, 130.2375, 236.1961, 842.7284, 116.8978, 169.9542, 577.3204, 187.5717, 229.2509, 392.6533, 0, 339.9314, 293.9102, 630.092, 660.1765, 6.103516e-05, -1.907349e-06, 182.3737, 632.7548, 705.3528, 0, 1114.552, 74.85074, 547.5441, 1268.907, 611.5565, 320.1243, 1263.545, 329.6369, 271.4769, 445.491, 221.0822, 0, 0, 1447.218, 553.7416, 845.842, 764.6124, 352.3919, 591.9258, 0, 599.5172, 363.0603, -1.525879e-05, 920.0894, 406.5293, 1160.018, 0
1.6, 342.6907, 100.9754, 104.3114, 402.3796, 261.1645, 3.814697e-06, 218.9823, 460.0856, 489.3116, 735.5571, 783.9266, 139.4334, 203.0233, 175.9056, 46.39473, 448.862, 481.4238, 301.2608, 121.5557, 455.2598, 341.7379, 255.3157, 946.8229, 0, 444.6409, 595.8408, 828.9391, 124.8374, 225.4484, 872.7469, 134.9583, 162.3978, 580.8894, 242.0443, 219.88, 375.3788, 0, 442.8851, 277.6772, 598.5455, 685.8143, 4.577637e-05, -1.907349e-06, 264.8087, 677.9867, 674.919, 0, 1174.276, 71.41472, 651.9565, 1338.606, 667.3828, 306.8539, 1415.005, 377.6461, 258.8854, 448.5125, 212.0375, 0, 0, 1422.715, 603.2767, 900.6744, 729.2452, 337.3218, 626.3724, 0, 725.2524, 347.323, 0, 1003.566, 389.5478, 1284.473, 0
1.7, 324.2545, 96.3372, 99.96152, 430.4489, 249.8817, 0, 209.3721, 463.2798, 469.1035, 837.759, 860.7749, 133.3758, 228.458, 285.1403, 44.36198, 447.0575, 478.9939, 320.2283, 116.1814, 435.062, 327.1359, 363.864, 937.7406, -1.525879e-05, 425.73, 566.6354, 820.0746, 119.6611, 215.1897, 870.12, 146.3501, 155.1773, 619.0566, 286.5803, 210.8922, 358.8643, 0, 422.7723, 297.6709, 568.5784, 656.181, 4.577637e-05, -1.907349e-06, 253.9055, 670.677, 670.1561, 7.629395e-06, 1226.624, 68.13643, 632.9706, 1278.839, 636.677, 294.1335, 1432.634, 357.7711, 246.8779, 462.9685, 203.3629, 0, -1.525879e-05, 1563.888, 623.3318, 896.171, 765.1492, 408.3789, 597.5955, 0, 690.6409, 332.2679, 0, 1043.968, 373.2756, 1265.23, 0
1.8, 306.8102, 111.4114, 95.793, 452.2572, 341.5252, 3.814697e-06, 200.1837, 441.1355, 449.7299, 848.5078, 825.4242, 127.5813, 218.5682, 272.3749, 42.41829, 522.975, 522.6685, 304.546, 111.0448, 464.0574, 335.6639, 346.5851, 977.7246, -1.525879e-05, 553.9084, 688.5673, 785.416, 114.6995, 205.3978, 972.9585, 205.9749, 148.2779, 634.7132, 274.7512, 202.2718, 343.0764, 0, 403.5729, 373.3782, 666.0223, 701.24, 3.051758e-05, -1.907349e-06, 243.4513, 687.5518, 733.6529, 0, 1310.244, 65.00863, 636.7607, 1287.522, 607.384, 335.826, 1389.371, 338.942, 292.4659, 468.7235, 264.4034, 0, -7.629395e-06, 1657, 626.7729, 1000.128, 816.9777, 435.5678, 570.1405, 0, 657.6812, 317.8653, 1.525879e-05, 1038.549, 357.6832, 1282.459, 0
1.9, 350.5207, 106.2938, 132.5328, 491.1088, 326.7708, 3.814697e-06, 191.3985, 420.0496, 502.8874, 877.2426, 973.597, 122.0386, 209.1065, 260.1809, 40.55977, 517.075, 499.5706, 325.7941, 106.1352, 497.7774, 347.9662, 330.1269, 1050.418, -1.525879e-05, 530.3503, 710.6368, 796.6267, 109.9436, 196.0516, 928.6192, 196.8514, 237.9043, 605.8647, 337.2617, 194.0037, 327.983, 0, 478.952, 352.756, 686.9998, 707.2611, 3.051758e-05, -1.907349e-06, 293.0207, 690.8232, 756.4139, 0, 1304.112, 62.02441, 679.5663, 1260.985, 579.4387, 355.109, 1503.249, 378.5009, 365.8014, 447.4672, 253.5865, 0, -7.629395e-06, 1585.485, 664.2543, 956.2483, 779.1883, 416.9406, 582.2291, 0, 775.2794, 304.087, 0, 1072.491, 443.9711, 1263.682, 0
2, 439.5178, 310.0634, 134.1316, 552.6158, 351.7015, 3.814697e-06, 182.9988, 399.9716, 482.1186, 891.2736, 963.7396, 116.7366, 221.3472, 320.3218, 38.78267, 535.5277, 477.4935, 362.6236, 115.9986, 475.6933, 342.7697, 314.4501, 1050.633, -1.525879e-05, 507.7942, 675.8046, 762.9592, 105.3849, 187.1306, 1049.195, 188.1321, 227.3267, 657.7824, 323.3406, 186.0736, 313.5536, 0, 457.2012, 333.2729, 776.2887, 740.3625, 3.051758e-05, -3.814697e-06, 280.956, 733.7632, 734.0909, 7.629395e-06, 1387.181, 59.17718, 651.4979, 1236.61, 552.7792, 356.1753, 1571.93, 488.622, 348.835, 462.2537, 274.7429, 0, -7.629395e-06, 1613.507, 680.7976, 914.2933, 743.1469, 501.7828, 722.4467, 0, 774.0107, 290.906, 0, 1127.615, 472.0681, 1209.884, 0
2.1, 490.8921, 363.6312, 128.5381, 553.8392, 336.5074, 3.814697e-06, 174.9678, 380.8533, 462.2075, 853.7197, 953.4255, 111.665, 211.7652, 305.9813, 37.08344, 512.5452, 524.4996, 419.8031, 146.1312, 509.0902, 328.1236, 299.5179, 1103.836, 0, 486.1974, 676.8932, 800.9193, 101.0152, 209.313, 1180.623, 179.799, 293.2377, 627.8854, 309.9942, 178.4677, 299.7591, 0, 476.0778, 314.8659, 737.4226, 708.3723, 3.051758e-05, -3.814697e-06, 330.3506, 699.7819, 796.6199, 1.525879e-05, 1350.803, 56.46065, 656.6818, 1311.054, 599.3636, 341.4104, 1573.482, 577.1008, 372.1619, 441.2908, 263.503, 0, -7.629395e-06, 1593.479, 724.1599, 1065.799, 708.7726, 480.3239, 700.3951, 181.5856, 737.0723, 278.2964, 0, 1138.999, 589.0636, 1237.247, 0
2.2, 489.61, 350.8027, 133.5544, 587.2361, 321.9698, 3.814697e-06, 167.2892, 425.921, 486.9018, 882.6603, 993.8942, 106.8137, 202.598, 307.3252, 35.45866, 600.8011, 648.1551, 399.2445, 163.9142, 545.5219, 314.1034, 285.2946, 1146.679, 0, 465.5191, 683.6509, 776.498, 96.82672, 199.7886, 1282.843, 198.4738, 354.7994, 674.7, 328.7584, 171.1727, 286.5714, 0, 454.4576, 297.4755, 745.0694, 696.1286, 3.051758e-05, -2.861023e-06, 316.7488, 823.6893, 771.8783, 1.525879e-05, 1365.966, 53.86882, 642.942, 1384.455, 571.7874, 327.2575, 1513.353, 546.7286, 354.9005, 523.4672, 252.7228, 0, -7.629395e-06, 1556.722, 692.1387, 1019.037, 742.8348, 459.7828, 728.5936, 285.0287, 770.4382, 266.2333, -1.525879e-05, 1090.697, 564.4572, 1283.266, 0
2.3, 499.1732, 334.6889, 127.985, 560.6639, 308.0603, 3.814697e-06, 222.117, 405.5624, 466.7931, 906.2002, 1016.565, 102.1732, 224.4379, 322.1781, 33.90506, 575.0173, 619.5117, 379.6926, 277.1466, 577.2982, 329.9541, 271.7469, 1099.486, 0, 445.7203, 650.1414, 792.3772, 142.9165, 217.291, 1387.532, 189.6826, 379.0293, 695.4001, 406.5899, 164.1758, 273.9639, 0, 579.6702, 281.0456, 741.8346, 666.0496, 1.525879e-05, -1.907349e-06, 410.6865, 785.5433, 860.2642, 7.629395e-06, 1309.174, 51.39597, 616.3864, 1404.727, 545.4799, 313.6913, 1737.239, 517.955, 348.8099, 499.7283, 242.3837, 0, -1.525879e-05, 1601.509, 762.4844, 1057.871, 708.4749, 507.4601, 744.8248, 332.7311, 886.7765, 254.6931, -1.525879e-05, 1223.668, 710.4281, 1377.85, 0
2.4, 565.9692, 319.3153, 122.6478, 610.1693, 294.7516, 3.814697e-06, 212.3693, 386.1769, 447.515, 930.1132, 1036.053, 97.73436, 224.9225, 307.7545, 32.41954, 550.3401, 592.1342, 419.7044, 264.8933, 551.6862, 390.8817, 258.8424, 1054.236, 7.629395e-06, 426.7635, 618.2743, 758.8892, 165.7178, 220.5464, 1420.82, 181.2809, 415.4829, 732.858, 438.5517, 157.465, 261.9111, 0, 553.3456, 265.5232, 861.1263, 744.1921, 245.6783, -1.907349e-06, 470.6592, 816.0743, 867.4957, 7.629395e-06, 1454.297, 49.03664, 632.5284, 1417.808, 686.1223, 381.9503, 1662.687, 651.2692, 332.6316, 507.2499, 232.4676, 0, -1.525879e-05, 1762.515, 728.7687, 1064.132, 675.7043, 539.7752, 710.6058, 380.4371, 844.4564, 243.6531, 0, 1384.849, 680.7522, 1340.761, 0
2.5, 618.5862, 336.1715, 117.5333, 667.464, 353.9831, 3.814697e-06, 203.0493, 367.718, 501.1882, 890.9227, 1073.789, 93.48831, 280.9677, 293.9767, 30.9991, 613.2464, 565.9664, 399.1506, 253.1817, 527.2103, 374.1799, 246.5508, 1146.096, 7.629395e-06, 408.613, 587.9692, 800.3328, 193.3252, 210.5108, 1364.184, 173.2512, 426.1032, 699.5488, 420.4497, 151.0284, 250.3885, 0, 586.46, 334.4937, 828.7805, 712.0363, 370.3025, -1.907349e-06, 465.7434, 893.5931, 830.0659, 7.629395e-06, 1504.222, 46.78561, 606.4028, 1354.505, 654.5543, 389.7405, 1759.704, 616.9937, 336.5446, 543.343, 292.917, 0, -2.288818e-05, 1710.31, 696.5437, 1124.984, 644.4496, 586.529, 824.087, 600.0791, 804.1559, 233.0917, 0, 1424.613, 737.8017, 1365.048, 0
2.6, 585.3074, 320.7298, 112.632, 637.2615, 338.6904, 3.814697e-06, 194.1383, 350.1414, 480.4895, 853.3836, 1097.388, 89.42673, 284.9966, 315.5021, 29.6409, 626.2158, 592.973, 423.9592, 241.9879, 503.8204, 358.1917, 234.8428, 1149.653, 7.629395e-06, 391.2344, 711.9737, 798.7838, 185.3092, 200.9319, 1438.583, 165.5772, 438.8118, 723.1701, 403.095, 144.855, 239.3729, 0, 606.6417, 366.3238, 869.4562, 681.2699, 351.0834, -2.861023e-06, 503.198, 852.2098, 794.2511, 0, 1546.71, 44.63792, 581.3563, 1355.962, 624.4388, 373.5841, 1804.46, 584.5221, 361.1715, 625.0233, 280.9335, 0, -2.288818e-05, 1759.927, 804.2734, 1075.626, 614.6405, 561.4459, 786.2266, 574.5219, 902.275, 222.9881, 7.629395e-06, 1455.703, 810.6279, 1403.531, 0
2.7, 553.8188, 305.9973, 112.5913, 608.4257, 397.7729, 1.907349e-06, 185.6184, 333.405, 509.4037, 1001.886, 1103.912, 85.5416, 299.3763, 347.1607, 28.34221, 627.2122, 636.3618, 403.1971, 246.4499, 481.4682, 453.7806, 223.6908, 1212.572, 1.525879e-05, 465.7735, 677.0759, 848.317, 193.2657, 191.7888, 1393.865, 158.2432, 419.3015, 725.6607, 446.9089, 138.9339, 228.8418, 0, 596.9493, 361.9932, 849.9553, 651.8329, 414.8612, -1.907349e-06, 500.5125, 914.9882, 855.9451, 7.629395e-06, 1592.127, 42.58882, 610.3821, 1353.8, 595.7089, 358.0975, 1741.69, 553.7594, 344.4198, 596.6789, 318.2317, 0, -1.525879e-05, 1739.783, 768.7098, 1061.501, 586.2103, 553.5725, 796.9573, 550.0532, 910.9043, 337.5264, 0, 1530.897, 776.7665, 1343.779, 0
2.8, 594.7075, 359.0625, 108.9253, 580.8945, 380.5886, 1.907349e-06, 177.4724, 317.4685, 488.3658, 959.6713, 1058.576, 81.82527, 290.2065, 331.6187, 27.10042, 600.295, 664.4539, 383.4516, 235.5537, 528.4478, 434.3912, 213.0684, 1290.927, 7.629395e-06, 445.9638, 672.7455, 812.4648, 217.3579, 257.5579, 1435.131, 151.2339, 400.6588, 692.6786, 428.462, 133.2548, 218.7741, 0, 725.5898, 385.6907, 860.7449, 744.9675, 393.3295, -2.861023e-06, 533.8019, 916.1921, 835.3668, 7.629395e-06, 1554.98, 40.63378, 585.1712, 1372.064, 625.8954, 343.2529, 1823.136, 668.2642, 398.9745, 569.6199, 305.2126, 0, -1.525879e-05, 1664.695, 837.1452, 1201.282, 559.0951, 569.8313, 760.3433, 526.6266, 924.9503, 322.8959, 0, 1575.565, 744.3195, 1317.628, 0
2.9, 562.7133, 384.1094, 111.8908, 666.6364, 387.947, 1.907349e-06, 169.6839, 365.1004, 506.575, 990.3965, 1050.854, 78.27039, 316.7869, 350.1337, 25.91303, 679.0653, 693.2831, 364.6732, 225.1393, 555.0205, 436.2968, 202.9504, 1333.156, 7.629395e-06, 498.0885, 743.1492, 862.5084, 208.3454, 245.8382, 1369.73, 144.5352, 449.3913, 771.51, 410.7765, 127.8079, 209.1493, 0, 749.0012, 364.3886, 817.6503, 712.7783, 372.9153, -1.907349e-06, 572.4383, 873.7622, 898.2742, 3.814697e-06, 1725.678, 38.76849, 678.9558, 1399.287, 597.0984, 329.0237, 1947.995, 751.4561, 445.4861, 641.91, 292.726, 0, -1.525879e-05, 1754.215, 862.8335, 1148.577, 649.912, 616.6701, 821.7805, 504.1978, 970.1985, 308.8996, 0, 1508.748, 784.7031, 1423.841, 0
3, 607.1073, 366.4656, 107.2248, 636.4713, 405.0735, 1.907349e-06, 162.2372, 347.649, 523.3828, 948.6661, 1151.296, 74.86995, 303.0734, 334.4586, 24.77767, 649.9228, 689.0688, 346.8144, 215.1853, 644.7195, 417.6544, 193.3129, 1322.615, 0, 523.6569, 806.8227, 958.2009, 267.1618, 234.6517, 1370.199, 138.1332, 505.6978, 794.4135, 443.7579, 122.5836, 199.9479, 0, 743.9086, 409.8478, 829.5148, 722.5722, 396.576, -1.907349e-06, 569.7147, 912.7386, 859.5164, 3.814697e-06, 1731.306, 36.98882, 650.9126, 1496.667, 647.7525, 371.4256, 1930.989, 760.1097, 424.8238, 612.7998, 280.7504, 0, -1.525879e-05, 1772.733, 824.6804, 1158.603, 619.8503, 600.0532, 855.6748, 482.7242, 1011.812, 295.5099, 0, 1535.618, 884.431, 1438.428, 0
