 , C000, C001, C002, C003, C004, C007, C008, C009, C012, C013, C014, C015, C016, C018, C019, C022, C023, C024, C026, C027, C030, C031, C032, C033, C035, C037, C038, C039, C042, C043, C044, C046, C047, C048, C050, C052, C053, C054, C056, C057, C058, C059, C060, C061, C062, C066, C067, C070, C072, C073, C074, C076, C078, C079, C080, C081, C086, C087, C090, C091, C092, C093, C094, C098, C101, C102, C108, C111, C112, C113, C120, C124, C125, C127
Time(s)/Cell Status, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted
289.7, 1359.747, 801.5455, 652.631, 691.0767, 165.6913, 44.92646, 85.03011, 1122.699, 1051.821, 631.3608, 2.088632e-10, 1148.984, 505.5914, 1170.515, 806.1101, 1712.465, 117.7587, 1418.984, 1200.572, 154.2464, 926.3821, 1133.035, 830.7259, 207.9417, 682.2747, 1549.564, 1820.429, 817.5412, 1320.433, 277.527, 541.9413, 709.5328, 1654.464, 1290.917, 1185.515, 710.0964, 1055.101, 925.2984, 935.358, 266.5394, 187.9084, 29.37135, 1660.552, 46.45416, 1603.32, 1397.349, 1946.938, 37.65972, 602.3138, 1719.536, 1112.789, 1151.101, 71.14804, 1425.987, 570.9819, 208.6691, 1242.801, 3572.694, 0.001507353, 420.4442, 2072.435, 0.001283518, 683.257, 21.74655, 979.603, 1177.732, 1232.899, 1168.959, 723.704, 3200.432, 91.56461, 1036.975, 4.864019e-08, 1335.936
289.8, 1286.595, 764.7272, 853.9149, 680.9586, 158.5332, 42.88916, 186.5774, 1107.913, 1008.382, 604.7584, 2.002855e-10, 1099.067, 483.7046, 1118.112, 1107.435, 1772.313, 112.5547, 1358.982, 1147.492, 147.4032, 923.8652, 1079.231, 796.5366, 199.1261, 653.2571, 1680.988, 1999.919, 1062.214, 1260.349, 264.8796, 517.9366, 677.986, 1818.022, 1418.6, 1196.399, 678.8563, 1064.786, 883.2778, 883.6972, 253.1947, 179.7891, 27.84694, 1588.956, 44.54147, 1529.068, 1337.057, 2020.356, 36.09397, 574.6646, 1648.513, 1063.105, 1150.793, 68.19866, 1364.792, 540.9318, 198.9907, 1186.441, 3426.532, 0.001440504, 402.3246, 1982.99, 0.001226763, 653.2794, 20.74066, 937.71, 1123.624, 1273.114, 1316.854, 747.3807, 3068.509, 87.68153, 993.6587, 4.656945e-08, 1277.529
289.9, 1480.771, 791.9639, 818.3055, 650.1455, 151.6843, 40.94426, 178.3893, 1054.956, 1042.986, 579.2768, 1.920601e-10, 1051.318, 462.7653, 1068.055, 1058.914, 1696.253, 107.5807, 1309.032, 1096.758, 140.8636, 884.3898, 1281.085, 909.0258, 190.6842, 824.1345, 1598.593, 1915.397, 1018.17, 1202.999, 252.8086, 552.3624, 647.8417, 1735.391, 1449.995, 1196.402, 758.3895, 1088.14, 950.8354, 834.8896, 240.5181, 172.0206, 26.40166, 1520.447, 146.5548, 1458.255, 1357.405, 1933.305, 34.59332, 548.2846, 1601.214, 1015.639, 1097.846, 65.37154, 1306.223, 512.4632, 189.7612, 1188.231, 3618.852, 0.00137662, 474.7991, 1897.405, 0.001172517, 624.6171, 19.7813, 956.9355, 1148.468, 1340.333, 1254.009, 714.9846, 2942.024, 83.96313, 952.1517, 4.458686e-08, 1758.21
290, 1429.051, 755.5857, 784.1812, 620.7267, 145.1313, 39.08754, 266.2442, 1040.599, 1191.516, 554.8689, 1.841725e-10, 1140.571, 442.7324, 1045.904, 1012.518, 1623.458, 102.8264, 1357.986, 1228.656, 134.6141, 953.6354, 1243.902, 871.614, 182.6003, 789.0835, 1520.237, 1933.398, 1017.64, 1288.471, 241.2877, 527.8961, 652.6379, 1656.516, 1497.973, 1353.795, 725.0247, 1095.033, 907.655, 788.7778, 228.4762, 164.5878, 25.03139, 1454.892, 140.5206, 1390.721, 1403.725, 1850.005, 33.15506, 523.1156, 1758.077, 1091.635, 1218.309, 62.66162, 1250.168, 485.4929, 235.7604, 1228.743, 3879.598, 0.001315569, 454.3371, 1964.64, 0.001120671, 597.2123, 18.86632, 916.012, 1095.705, 1387.6, 1441.355, 683.9928, 3113.596, 80.40241, 1253.996, 4.268868e-08, 1681.34
290.1, 1533.444, 720.8785, 890.4141, 632.4066, 138.8614, 37.31503, 254.5599, 990.8594, 1142.307, 531.4894, 1.766088e-10, 1091.019, 526.3025, 1128.944, 986.5625, 1730.575, 98.2823, 1434.345, 1425.211, 128.6419, 934.6938, 1202.826, 835.7419, 174.859, 873.0818, 1740.994, 1851.687, 975.4446, 1229.841, 230.2918, 504.5135, 733.5423, 1744.708, 1465.807, 1320.289, 693.1278, 1047.084, 866.4356, 745.2127, 217.0372, 157.4761, 23.73223, 1437.347, 134.7349, 1430.491, 1446.937, 1845.538, 31.77659, 499.102, 1699.373, 1042.896, 1217.492, 60.06404, 1196.518, 459.942, 224.8255, 1240.877, 3921.382, 0.001257226, 434.7568, 1879.847, 0.001071116, 571.0099, 17.99366, 876.8385, 1137.295, 1328.503, 1372.569, 654.3444, 3101.036, 76.9927, 1201.614, 4.087131e-08, 1607.831
290.2, 1661.889, 687.7656, 905.7045, 758.5344, 132.8624, 35.62289, 243.3883, 981.6637, 1095.131, 639.0824, 1.693558e-10, 1043.62, 567.3079, 1078.403, 1083.01, 1792.538, 93.93899, 1364.102, 1468.477, 122.9347, 894.7557, 1182.175, 801.3462, 167.4459, 835.9491, 1736.365, 1992.103, 970.0291, 1288.899, 219.797, 482.1666, 838.9568, 1947.94, 1508.966, 1319.252, 662.6342, 1001.234, 1033.632, 834.9199, 206.1709, 150.6717, 22.50051, 1400.869, 129.1873, 1657.614, 1384.506, 1925.04, 30.45544, 476.1907, 1769.803, 996.3318, 1260.766, 57.57413, 1303.823, 435.7357, 220.4632, 1265.453, 3812.744, 0.00120147, 416.0204, 1932.716, 0.001023753, 789.5576, 17.16136, 968.6143, 1187.832, 1351.282, 1307.065, 741.9491, 3212.249, 73.72758, 1151.421, 3.913132e-08, 1537.536
290.3, 1690.555, 656.1737, 867.9355, 898.2631, 127.1225, 34.00749, 232.707, 991.8067, 1049.903, 612.1546, 1.624006e-10, 998.2799, 604.0666, 1095.092, 1227.88, 1801.657, 89.78762, 1297.299, 1468.253, 117.4806, 856.524, 1161.366, 768.366, 219.3018, 800.3956, 1796.02, 2023.929, 984.2955, 1403.876, 209.7805, 460.8096, 801.6556, 2107.349, 1534.78, 1375.007, 633.4821, 981.5704, 996.4214, 937.2665, 195.8486, 144.1613, 21.33271, 1340.469, 123.8682, 1646.244, 1490.518, 2061.631, 29.18922, 454.3312, 1770.836, 951.8472, 1202.759, 55.18745, 1247.871, 412.8035, 286.6921, 1337.721, 3743.552, 0.001148187, 398.0915, 2000.311, 0.0009784847, 754.9162, 16.36756, 989.2923, 1225.364, 1477.984, 1244.687, 709.7885, 3276.149, 70.60094, 1103.323, 3.746539e-08, 1470.314
290.4, 1698.382, 626.033, 831.7415, 857.6171, 121.6306, 32.46534, 222.4945, 944.3993, 1006.543, 586.3614, 1.55731e-10, 1018.909, 626.3638, 1089.505, 1174.081, 1847.848, 85.81971, 1352.899, 1560.6, 112.2685, 819.926, 1149.284, 736.7432, 210.0046, 766.3543, 1707.987, 1945.43, 951.7056, 1358.894, 200.2205, 440.3985, 849.025, 2135.519, 1471.429, 1327.295, 605.6125, 1011.271, 995.1563, 1003, 186.0431, 137.9323, 20.22552, 1352.096, 118.7681, 1734.503, 1458.829, 2173.757, 27.97564, 433.4751, 1697.694, 1039.53, 1255.904, 52.8997, 1302.798, 391.0781, 273.3949, 1277.057, 3834.951, 0.001097267, 472.7892, 2092.312, 0.0009352178, 721.7946, 15.61048, 946.985, 1169.068, 1415.037, 1185.286, 679.0219, 3305.839, 67.60689, 1057.236, 3.587039e-08, 1406.032
290.5, 1758.994, 597.2767, 901.3755, 818.8102, 116.376, 30.99312, 212.7302, 899.2579, 1064.93, 607.1323, 1.493354e-10, 1256.174, 599.2488, 1073.172, 1180.178, 1900.083, 82.02715, 1307.871, 1557.315, 107.2877, 784.8918, 1094.708, 706.4219, 201.1016, 779.1043, 1755.568, 1863.211, 925.0627, 1297.06, 191.0961, 420.8915, 875.1542, 2089.389, 1551.372, 1330.046, 578.969, 966.9892, 1029.718, 947.6034, 176.7286, 131.9723, 19.17579, 1423.602, 113.878, 1654.176, 1395.885, 2142.04, 26.81252, 413.5764, 1755.667, 993.1166, 1198.121, 50.70679, 1246.889, 370.4962, 260.7145, 1219.143, 3773.914, 0.001048605, 452.4138, 2021.532, 0.000893864, 690.1262, 14.88841, 906.4869, 1203.981, 1354.771, 1128.72, 649.5889, 3334.687, 64.73981, 1013.073, 3.43433e-08, 1415.757
290.6, 1739.352, 569.8413, 863.787, 781.7593, 111.3484, 29.58767, 292.8309, 856.2742, 1020.95, 581.5507, 1.432024e-10, 1280.745, 573.3077, 1070.421, 1232.056, 1897.949, 78.40218, 1243.821, 1550.001, 102.5278, 751.3545, 1042.724, 677.3484, 217.3263, 745.9685, 1753.972, 1833.344, 908.9562, 1451.786, 182.3875, 402.2486, 836.2436, 2138.126, 1525.873, 1334.112, 553.4977, 924.6464, 1005.869, 895.2662, 167.8804, 237.2034, 18.18055, 1362.222, 109.1892, 1662.586, 1452.601, 2293.156, 25.69775, 394.5912, 1724.857, 948.7755, 1185.743, 48.60479, 1258.231, 350.9974, 248.6222, 1306.005, 3900.758, 0.001002101, 432.9164, 2024.643, 0.0008543388, 659.8473, 14.19975, 867.7208, 1148.667, 1395.107, 1074.854, 621.4317, 3302.195, 61.99432, 970.7549, 3.288121e-08, 1400.571
