 , C000, C002, C003, C005, C006, C007, C009, C011, C012, C014, C015, C016, C017, C019, C023, C025, C028, C029, C030, C031, C033, C034, C035, C036, C037, C039, C042, C043, C046, C048, C050, C051, C053, C054, C058, C062, C063, C065, C066, C067, C069, C076, C077, C078, C085, C093, C098, C126
Time(s)/Cell Status, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.1, 0, 0, 50.17639, 63.19461, 26.27429, 0, 39.93176, 0, 0, 39.15759, 0, 0, 0, 148.2146, 0, 0, 38.33849, 160.9347, 151.5309, 80.39111, 75.72253, 0, 0, 116.738, 49.33453, 0, 122.9685, 80.19861, 0, 18.66602, 0, 0, 0, 0, 0, 69.84149, 0, 0, 0, 0, 174.4521, 51.66103, 0, 31.87628, 65.97546, 0, 0, 150.6298
0.2, -6.103516e-05, 0, 47.91586, 60.36029, 137.5984, -1.525879e-05, 127.9385, 0, 121.7197, 37.48065, 0, 0, 31.32422, 239.7009, -6.103516e-05, 0, 171.7957, 153.311, 238.2925, 76.71661, 127.1343, 0, 34.03033, 265.5068, 75.1911, -1.525879e-05, 117.4533, 141.9635, 1.525879e-05, 152.8276, 0, 0, 0, 0, 6.103516e-05, 66.8576, 91.23999, 0, 0, 0, 167.0208, 49.46753, 6.103516e-05, 30.56204, 63.15454, 0, 0, 179.3125
0.3, 0, 0, 45.75714, 57.65305, 165.6305, -1.525879e-05, 122.2387, 0, 116.2987, 165.6514, 0, -7.629395e-06, 72.02771, 293.3855, -6.103516e-05, 0, 164.6161, 170.5793, 273.0843, 116.6312, 206.0231, 0, 238.4497, 462.4231, 98.0542, 64.03522, 175.6077, 136.1864, 0, 269.76, 0, 0, 98.22693, 0, 3.051758e-05, 139.9258, 87.35205, 1.525879e-05, 0, 7.629395e-06, 277.3293, 47.36717, 0, 29.30191, 127.2168, -6.103516e-05, 0, 170.9773
0.4, 0, 0, 43.69571, 155.7115, 161.5662, -1.525879e-05, 177.0328, 0, 111.1191, 158.5571, 44.32886, -7.629395e-06, 109.3531, 401.8099, -6.103516e-05, 0, 189.4175, 340.9517, 326.8215, 187.5983, 346.3069, 0, 227.9777, 439.8337, 109.5272, 61.09708, 189.8796, 346.8456, 1.525879e-05, 351.1089, 0, 0, 94.22449, 59.11549, 25.10849, 181.6191, 480.7988, 1.525879e-05, 0, 0, 373.2499, 45.35597, 0, 28.09375, 167.3572, -6.103516e-05, 0, 163.0295
0.5, 0, 0, 41.72711, 148.7277, 224.2881, -1.525879e-05, 186.164, -6.103516e-05, 106.1702, 151.7667, 42.40263, -7.629395e-06, 104.173, 454.4696, 0, 147.4751, 265.1339, 324.8005, 369.7338, 278.4921, 361.2281, 0, 217.9655, 514.9502, 165.5169, 58.29372, 194.7454, 404.9498, 1.525879e-05, 334.9272, 3.051758e-05, 0, 90.38507, 257.6214, 59.20432, 173.8596, 460.3109, 3.051758e-05, 3.051758e-05, 0, 396.5647, 43.43018, 0, 76.84988, 205.9775, -6.103516e-05, 0, 196.1398
0.6, 0, 65.17108, 105.2184, 142.0571, 226.1512, -1.525879e-05, 187.9592, -6.103516e-05, 101.4417, 145.267, 40.56012, -7.629395e-06, 99.23828, 573.082, -6.103516e-05, 140.9831, 254.0535, 309.4144, 413.5013, 320.9449, 346.0172, 60.80566, 208.3931, 523.6274, 158.537, 55.619, 186.011, 430.5371, 1.525879e-05, 473.6094, 0, 0, 275.0466, 449.8488, 56.44949, 166.4315, 440.696, 3.051758e-05, 3.051758e-05, 0, 573.006, 41.58614, -6.103516e-05, 73.68127, 280.7267, -6.103516e-05, 0, 187.0224
0.7, 3.051758e-05, 85.68073, 100.4781, 135.6857, 214.9106, -1.525879e-05, 291.6614, 0, 96.92377, 139.0457, 38.79767, -7.629395e-06, 94.53723, 709.4021, 0, 134.7768, 243.4361, 294.7572, 440.0762, 371.2956, 331.4468, 57.90409, 199.241, 581.0342, 151.8514, 53.06702, 207.5947, 549.8506, 1.525879e-05, 537.6749, 3.051758e-05, 0, 263.8392, 582.3314, 130.7114, 192.9911, 421.9169, 3.051758e-05, 3.051758e-05, -7.629395e-06, 548.597, 39.82042, -6.103516e-05, 70.64331, 268.7236, -3.051758e-05, 0, 178.3288
0.8, 0, 81.60236, 95.95142, 129.6001, 273.2311, -3.051758e-05, 318.5979, -6.103516e-05, 169.0586, 133.0909, 73.77048, -7.629395e-06, 126.4242, 1029.035, 0, 157.1443, 233.2625, 280.7943, 430.9726, 550.455, 317.4899, 55.14097, 190.4909, 579.3955, 145.4477, 50.63213, 445.6641, 611.8618, 1.525879e-05, 512.8951, 3.051758e-05, 0, 253.0885, 852.5125, 160.4177, 184.7457, 403.9381, 3.051758e-05, 3.051758e-05, -7.629395e-06, 678.839, 38.12965, -6.103516e-05, 67.73062, 354.0099, -3.051758e-05, 0, 170.0393
0.9, 3.051758e-05, 122.0569, 91.62866, 123.7874, 369.8544, -1.525879e-05, 304.404, 0, 161.5293, 330.3, 70.56493, -7.629395e-06, 120.4353, 1408.706, 0, 150.2266, 340.4954, 267.4929, 440.7559, 783.3299, 398.0798, 52.5097, 182.1251, 727.848, 139.3141, 48.30896, 501.766, 736.2775, 1.525879e-05, 687.9401, 3.051758e-05, 0, 479.9133, 940.366, 161.9798, 224.8249, 386.7253, 1.525879e-05, 3.051758e-05, 0, 649.9216, 85.35551, -6.103516e-05, 101.477, 338.8734, -3.051758e-05, 0, 162.1352
1, 3.051758e-05, 116.247, 87.50064, 118.2354, 351.4711, -7.629395e-06, 290.8423, -6.103516e-05, 154.3353, 316.1544, 91.05759, -7.629395e-06, 138.3807, 1567.888, 0, 274.5107, 391.0851, 254.8216, 542.0245, 747.5262, 381.317, 50.004, 174.1266, 913.8688, 192.2582, 46.09238, 501.5905, 804.5683, 7.629395e-06, 719.0861, 3.051758e-05, -3.051758e-05, 476.5715, 1064.618, 223.3477, 215.2194, 370.246, 0, 6.103516e-05, 0, 699.7382, 122.4255, -6.103516e-05, 97.293, 401.1, -3.051758e-05, 0, 240.2322
1.1, 3.051758e-05, 147.0872, 83.55859, 249.2663, 437.8701, -7.629395e-06, 277.885, -6.103516e-05, 147.4617, 302.6146, 213.5602, 0, 221.7136, 1695.655, 0, 333.3693, 374.7409, 242.7505, 551.5209, 792.824, 365.2601, 103.5904, 166.4794, 869.2261, 229.1687, 43.97751, 479.0939, 819.2991, 7.629395e-06, 685.9457, 3.051758e-05, 0, 457.1525, 1197.178, 212.9551, 226.5502, 354.4689, 0, 181.7848, 0, 810.7601, 117.2274, -0.0001220703, 93.28149, 383.9499, 0, 0, 303.415
1.2, 6.103516e-05, 140.0859, 128.4108, 238.0864, 537.9304, -7.629395e-06, 354.6102, 0, 140.8942, 289.6546, 204.2804, -3.814697e-06, 211.2108, 1715.727, -3.051758e-05, 383.4055, 386.4142, 231.2513, 528.1392, 756.5864, 411.5078, 98.6472, 159.1682, 945.8873, 219.5045, 117.3856, 492.5129, 785.9579, 7.629395e-06, 820.0624, 3.051758e-05, 0, 523.3187, 1228.215, 203.0462, 230.2094, 339.3641, 0, 209.8226, 0, 1040.883, 112.2499, -0.0001220703, 89.43539, 482.9504, 0, 0, 289.311
1.3, 3.051758e-05, 133.4178, 183.5642, 227.408, 642.1191, 0, 363.3316, -3.051758e-05, 199.8837, 277.2497, 195.4038, 0, 201.2054, 1770.161, 0, 393.8052, 370.2653, 220.2968, 505.7487, 722.0053, 425.9024, 93.93987, 152.1779, 1054.825, 210.2479, 111.9996, 609.0016, 817.498, 0, 895.2246, 3.051758e-05, -3.051758e-05, 555.2412, 1294.447, 193.5983, 257.3931, 324.9031, 0, 200.0171, 0, 1353.028, 185.7504, -0.0001220703, 85.74789, 462.3006, -3.051758e-05, 4.741736, 275.8626
1.4, 3.051758e-05, 127.0672, 194.8578, 217.2085, 1172.139, 0, 347.1447, 0, 190.9815, 265.376, 421.06, -3.814697e-06, 312.543, 1741.884, -3.051758e-05, 397.532, 389.608, 209.8611, 484.3076, 689.0046, 419.4626, 89.45716, 145.4947, 1143.18, 262.7924, 106.8607, 641.5681, 970.9393, 0, 865.5753, 3.051758e-05, -3.051758e-05, 564.9128, 1240.405, 184.5901, 379.0847, 311.0582, 0, 372.7855, 186.2447, 1378.221, 177.8636, -0.0001220703, 82.2124, 442.5339, -3.051758e-05, 4.545466, 263.0393
1.5, 3.051758e-05, 121.0188, 312.5464, 207.4665, 1785.466, 0, 331.679, 0, 293.1248, 254.0108, 555.0317, -3.814697e-06, 334.2626, 1793.597, -3.051758e-05, 549.9641, 397.625, 199.9199, 463.7753, 753.3661, 502.5523, 85.18836, 139.1049, 1152.838, 251.7103, 101.9575, 695.8298, 955.2562, 7.629395e-06, 948.5197, 3.051758e-05, -3.051758e-05, 653.3699, 1188.62, 176.001, 362.8885, 297.8032, -7.629395e-06, 449.673, 178.4026, 1538.159, 170.3115, -0.0001220703, 111.133, 508.9973, -3.051758e-05, 4.35732, 250.8122
1.6, 0, 115.2583, 426.3116, 256.4358, 2568.546, 0, 316.9023, 0, 280.0699, 243.1324, 620.4684, -3.814697e-06, 318.4282, 1808.258, -3.051758e-05, 753.3536, 381.0076, 190.4495, 444.1136, 718.9321, 481.3903, 81.12327, 132.9958, 1096.521, 300.1007, 174.68, 664.6215, 1048.645, 7.629395e-06, 955.463, 4.577637e-05, -3.051758e-05, 626.7468, 1301.094, 167.8115, 438.9267, 285.1131, -7.629395e-06, 562.6825, 219.716, 1565.486, 293.4228, 205.736, 106.5509, 549.309, -3.051758e-05, 4.176961, 239.1534
