 , C000, C001, C002, C003, C006, C008, C011, C012, C015, C016, C018, C020, C021, C022, C023, C024, C025, C033, C034, C035, C036, C038, C040, C042, C045, C046, C047, C051, C052, C053, C056, C059, C061, C066, C067, C070, C072, C073, C076, C077, C079, C081, C083, C089, C092, C093, C098, C099, C100, C103
Time(s)/Cell Status, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted
315.1, 372.9613, 378.8873, 245.5212, 487.3325, 326.7583, 4.881312, 1089.794, 548.6292, 428.2297, 190.1163, 715.1744, 231.9294, 246.1568, 87.95569, 1234.961, 1380.839, 1135.62, 95.76115, 165.3791, 230.1473, 718.7525, 1104.696, 632.3093, 446.9808, 378.5308, 1822.138, 1610.932, 956.5563, 106.8902, 156.4935, 12.77384, 314.807, 300.2744, 1598.352, 638.8752, 925.0905, 408.2826, 299.3773, 856.4909, 790.4898, 1246.33, 352.8119, 876.6524, 704.7079, 77.50213, 1911.944, 356.2318, 357.0028, 1003.414, 1870.911
315.2, 355.311, 362.9792, 233.8262, 479.0411, 310.8326, 4.664943, 1158.273, 524.0845, 410.127, 182.0249, 709.0331, 221.4328, 235.0948, 83.73372, 1364.454, 1439.076, 1086.047, 91.39487, 158.5685, 217.9084, 687.2312, 1168.842, 795.3806, 427.0705, 361.7179, 1742.018, 1564.412, 997.4008, 101.7888, 149.8803, 12.208, 384.243, 283.0705, 1584.528, 610.7132, 924.2085, 389.3173, 353.7812, 832.1509, 803.3723, 1224.239, 335.9342, 839.2477, 663.911, 74.3188, 1926.8, 338.0396, 339.4096, 996.8841, 1909.057
315.3, 444.345, 347.7391, 222.6883, 456.5546, 295.6832, 4.458165, 1181.804, 500.6379, 392.7896, 174.278, 764.9734, 211.4113, 224.5299, 79.71441, 1373.66, 1376.275, 1038.638, 87.22768, 152.0383, 206.3204, 657.0923, 1135.402, 756.9587, 408.0471, 345.6517, 1814.146, 1600.354, 1063.137, 96.9309, 143.5466, 11.66723, 367.6599, 266.8522, 1517.497, 621.9323, 882.9363, 371.233, 336.1242, 874.722, 768.1035, 1169.506, 319.8639, 803.439, 738.1852, 71.26623, 1845.201, 320.7764, 322.6833, 951.9694, 1870.39
315.4, 423.3165, 359.8006, 212.0809, 435.1236, 281.2721, 4.260552, 1129.643, 478.2403, 376.1851, 166.8607, 727.3738, 201.8434, 214.4398, 75.88803, 1341.148, 1397.185, 1177.239, 83.2505, 145.777, 195.3487, 628.2751, 1235.704, 720.3928, 389.871, 330.2992, 1790.656, 1526.541, 1016.805, 92.30484, 137.4805, 11.15041, 351.7924, 432.5542, 1453.301, 594.5172, 843.5071, 353.9887, 319.3484, 874.9876, 801.6379, 1117.22, 304.5623, 928.0431, 695.4503, 68.33904, 1956.499, 304.3948, 306.7813, 961.7274, 1843.3
315.5, 403.2832, 344.694, 201.9788, 579.427, 267.5634, 4.071699, 1134.967, 456.8446, 360.2825, 159.7592, 710.0187, 192.7085, 204.8031, 72.24532, 1342.508, 1398.501, 1212.534, 79.45465, 139.7736, 184.9604, 600.7218, 1176.948, 685.5932, 447.3821, 315.6286, 1711.921, 1585.917, 972.4926, 87.89956, 131.6708, 10.65649, 336.6099, 407.7714, 1391.82, 568.3105, 805.8388, 337.5455, 303.4099, 835.3702, 766.4453, 1171.324, 289.9928, 956.8752, 655.1894, 65.53207, 1873.642, 288.8498, 291.663, 918.3967, 1830.271
315.6, 384.198, 330.2216, 271.4942, 552.2283, 254.5228, 3.891217, 1528.948, 436.4062, 433.623, 152.9598, 722.1205, 183.9869, 195.5995, 68.77747, 1284.12, 1370.524, 1159.604, 75.83188, 134.0174, 175.1245, 574.3768, 1231.375, 785.9442, 436.5983, 301.6096, 1668.123, 1542.389, 959.1785, 83.70452, 126.1066, 10.18444, 369.6376, 384.4085, 1394.891, 543.259, 769.8526, 321.866, 288.2669, 797.5466, 782.1395, 1249.272, 276.1202, 916.0477, 719.0786, 62.84041, 1945.692, 274.0986, 277.2897, 877.0183, 1778.097
315.7, 366.016, 316.3568, 340.5304, 593.0154, 242.1178, 3.718735, 1684.885, 416.8822, 415.2923, 146.4499, 686.6271, 175.6601, 186.8095, 65.47607, 1283.88, 1363.268, 1167.859, 72.37429, 128.4983, 304.6673, 632.879, 1331.804, 747.9781, 443.4285, 288.2132, 1670.441, 1531.977, 956.5949, 79.70969, 120.7775, 9.733303, 353.6849, 362.3841, 1462.834, 581.9708, 903.1088, 306.9149, 300.6764, 761.4356, 775.019, 1295.686, 262.9113, 899.2835, 705.4771, 60.2593, 1945.627, 260.1008, 553.7748, 888.1484, 1802.128
315.8, 348.6944, 303.0742, 331.2171, 639.5244, 230.3174, 3.553898, 1779.69, 398.2316, 440.8286, 140.217, 827.8931, 167.7102, 178.4145, 62.33315, 1319.675, 1330.486, 1191.318, 69.07435, 123.2064, 288.4656, 605.1238, 1268.477, 711.8461, 423.6764, 275.4119, 1674.543, 1499.176, 914.9063, 75.90552, 115.6736, 9.302151, 338.4206, 341.6216, 1400.95, 597.2098, 862.7788, 292.6583, 300.0528, 726.9596, 740.9949, 1237.759, 250.3342, 860.9132, 819.6506, 57.78421, 1863.231, 246.8178, 526.4846, 916.3335, 1758.001
315.9, 332.1925, 290.3493, 336.7954, 661.2038, 219.0921, 3.396368, 2010.912, 380.4154, 422.1933, 134.2493, 787.2009, 160.1201, 170.3967, 59.34109, 1262.281, 1272.423, 1188.713, 130.887, 118.1325, 273.1255, 578.5858, 1346.127, 677.4594, 442.6938, 263.1791, 1669.295, 1472.823, 875.0345, 72.2829, 110.7854, 8.890097, 323.8151, 322.0487, 1446.508, 613.6324, 824.2499, 279.064, 285.0773, 836.484, 708.4646, 1199.799, 238.3588, 868.9736, 841.1401, 55.41077, 1784.324, 234.2131, 500.5392, 875.048, 1766.64
316, 316.4716, 278.1587, 383.4832, 630.1665, 208.4139, 3.24582, 2181.167, 363.3963, 404.3458, 128.5357, 789.1833, 152.8734, 162.7393, 56.49265, 1331.226, 1216.894, 1277.953, 124.9192, 113.2676, 258.6011, 553.2115, 1449.796, 644.7338, 476.7129, 251.4897, 1697.411, 1491.839, 836.9004, 68.83317, 106.1038, 8.496295, 309.84, 303.5972, 1393.214, 586.5831, 822.8298, 266.1011, 270.8493, 852.4527, 717.8365, 1165.595, 226.9563, 851.277, 858.6313, 53.13483, 1774.016, 222.2522, 475.8723, 835.6227, 1736.215
316.1, 301.4948, 266.4799, 365.2167, 600.5861, 198.2562, 3.101946, 2369.153, 347.1386, 387.2527, 123.0652, 780.0035, 145.9548, 155.426, 308.1208, 1273.329, 1209.041, 1325.317, 168.8484, 108.603, 244.8491, 528.9501, 1451.315, 696.8371, 455.4781, 240.3195, 1678.653, 1563.663, 800.4281, 65.54808, 101.62, 8.119938, 296.468, 286.2029, 1408.495, 560.7262, 786.0848, 253.7403, 257.3314, 869.603, 737.3219, 1153.009, 216.0992, 867.9521, 808.9235, 50.95237, 1698.887, 210.9021, 452.4211, 859.6449, 1726.889
