 , C000, C001, C002, C003, C006, C008, C011, C012, C015, C016, C018, C020, C021, C022, C023, C024, C025, C033, C034, C035, C036, C038, C040, C042, C045, C046, C047, C051, C052, C053, C056, C059, C061, C066, C067, C070, C072, C073, C076, C077, C079, C081, C083, C089, C092, C093, C098, C099, C100, C103
Time(s)/Cell Status, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.1, 0, 48.16138, 0, 0, 0, 0, 0, 133.4078, 0, 0, 0, 0, 91.31909, 0, 0, 227.4829, 55.37964, 49.23468, 108.299, 0, 0, 134.8921, 0, 26.75717, 87.84344, 0, 41.71046, 0, 0, 0, 164.1509, 7.926025, 53.23633, 6.922852, 0, 179.0396, 0, 0, 20.78531, 0, 0, 0, 67.55518, 202.1839, 130.5894, 230.3984, 0, 72.47195, 0, 47.2157
0.2, -1.525879e-05, 46.13928, 11.51372, 0, 0, 260.3936, 31.74689, 127.4394, 0, 0, -3.051758e-05, 0, 87.2153, 0, 33.48691, 266.8326, 52.96222, 107.7652, 103.839, 7.629395e-06, 6.103516e-05, 128.4781, 33.32806, 25.56531, 169.2015, 71.16129, 97.79145, 0, 0, 0, 277.4468, 127.7629, 184.111, 138.9491, 0, 171.0442, 0, 0, 132.2185, -6.103516e-05, 0, -3.051758e-05, 64.67285, 238.9643, 336.7278, 220.6412, 0, 154.006, 0, 45.18958
0.3, -1.525879e-05, 105.0413, 18.0355, 0, 68.27861, 248.8514, 30.34571, 121.738, -3.051758e-05, 0, -3.051758e-05, 0, 83.2959, 0, 32.03049, 388.8798, 142.3982, 102.8516, 99.56262, 0, 57.26984, 122.369, 31.71811, 24.42651, 161.6862, 68.03232, 170.3716, 0, -1.525879e-05, 0, 378.3123, 261.9012, 173.5626, 225.3451, -3.051758e-05, 246.2679, 0, 0, 315.4871, 24.33728, -7.629395e-06, -3.051758e-05, 61.91333, 225.1302, 511.1379, 293.1736, 65.46936, 242.48, 0, 61.39087
0.4, 0, 184.3547, 109.6455, 0, 103.4604, 342.394, 29.00636, 116.2917, 0, 0, -3.051758e-05, 0, 79.5527, 0, 83.34369, 418.1437, 136.1822, 98.16205, 95.46228, 0, 117.3124, 116.5505, 30.18594, 23.33847, 154.5048, 96.11478, 162.5135, 0, 63.84697, 0, 361.5543, 327.5051, 302.1335, 321.1569, -3.051758e-05, 235.2704, 0, 0, 387.2957, 23.26892, 0, 0, 122.9965, 269.932, 725.9269, 489.8541, 62.12592, 230.5305, 0, 81.17578
0.5, 0, 176.6143, 104.4227, 73.4505, 98.41788, 327.2171, 27.72613, 211.0714, 0, 0, -3.051758e-05, 0, 75.97769, -3.051758e-05, 90.65494, 572.4865, 197.8144, 93.68631, 146.9674, -7.629395e-06, 112.1676, 111.0086, 159.0486, 22.29886, 253.3402, 91.88858, 155.0179, 0, 60.79985, 0, 464.4949, 313.3707, 309.8163, 342.6478, -3.051758e-05, 268.3535, 0, 0, 444.1936, 72.1283, -7.629395e-06, -3.051758e-05, 161.4435, 254.3052, 933.9175, 581.3804, 58.95325, 307.0629, 0, 77.69238
0.6, 0, 282.7225, 99.44872, 115.5438, 93.62117, 580.7181, 26.50241, 201.6284, 30.39893, 0, 52.01181, 0, 72.56335, -3.051758e-05, 205.7184, 780.3539, 189.1792, 89.41461, 291.6187, 169.7703, 107.2484, 105.7302, 151.3656, 271.3352, 242.0878, 181.301, 147.8681, 0, 57.89816, 0, 564.287, 299.8463, 405.0072, 466.2412, -3.051758e-05, 256.3697, -1.525879e-05, 0, 545.444, 109.4047, 0, -3.051758e-05, 154.5551, 239.5829, 1021.514, 556.7593, 55.94263, 291.9308, 115.3475, 74.3584
0.7, 0, 377.7701, 199.7552, 175.167, 208.0884, 597.8481, 25.33269, 412.2922, 29.11386, 14.34788, 105.1688, 0, 69.30246, 0, 196.7714, 1004.896, 261.113, 229.1621, 515.8478, 160.7422, 102.545, 224.0396, 144.0537, 281.8874, 231.3352, 224.4339, 141.048, 152.9378, 100.3794, 71.95048, 711.4028, 286.9055, 665.696, 446.5174, -4.577637e-05, 608.4172, -1.525879e-05, 72.85906, 583.3461, 383.4845, -7.629395e-06, -3.051758e-05, 147.9606, 225.713, 1318.391, 650.2635, 95.77637, 358.3127, 386.5741, 196.9872
0.8, 1.525879e-05, 495.5194, 211.8211, 166.9445, 212.5727, 676.4737, 24.21461, 510.71, 48.24664, 13.73724, 158.2861, 0, 181.7867, 0, 257.1352, 1160.469, 249.7147, 224.4062, 574.3949, 384.5432, 98.04779, 266.7549, 211.7148, 358.4219, 221.0601, 260.1037, 329.4295, 272.3713, 259.2805, 68.90996, 782.6484, 505.453, 707.6711, 589.2435, -3.051758e-05, 650.6815, -1.525879e-05, 228.0177, 556.9336, 406.0042, 0, -6.103516e-05, 264.7792, 462.3089, 1586.928, 622.7252, 174.8364, 674.5667, 568.7568, 188.534
0.9, 1.525879e-05, 486.3452, 201.7314, 159.108, 312.74, 678.8812, 23.14587, 487.8618, 46.20712, 13.15258, 265.4185, 0, 173.6174, 0, 245.952, 1522.198, 283.9083, 341.5155, 550.7401, 364.0938, 93.74786, 311.072, 229.6424, 556.8599, 211.2415, 427.9268, 314.2353, 260.5013, 246.9062, 65.99792, 747.9797, 483.6388, 667.1257, 564.3162, -3.051758e-05, 621.6241, -1.525879e-05, 413.0824, 531.7169, 484.0365, 0, -6.103516e-05, 276.031, 435.5449, 1693.311, 718.8138, 332.4272, 699.9062, 642.9724, 180.4435
1, 1.525879e-05, 465.9255, 192.1222, 151.6394, 346.3414, 648.7892, 22.1243, 496.9549, 44.25381, 12.59281, 311.3994, 0, 184.8981, -3.051758e-05, 255.7708, 1742.915, 271.515, 325.9439, 528.0594, 373.7339, 89.63654, 315.495, 218.5492, 532.0551, 243.8525, 449.9423, 299.7419, 249.1487, 292.3741, 63.20895, 809.1132, 494.876, 628.9034, 702.923, -4.577637e-05, 593.8644, -1.525879e-05, 519.42, 524.8516, 462.7869, -3.814697e-06, -6.103516e-05, 325.3904, 469.8245, 1765.433, 784.5098, 315.4506, 665.4146, 714.8097, 172.7004
1.1, 2.288818e-05, 446.363, 182.9708, 144.5214, 370.95, 726.8766, 21.14781, 588.7853, 200.6667, 12.05686, 407.4632, 0, 347.9228, 0, 244.6469, 1863.428, 337.8863, 311.0824, 557.15, 353.8594, 85.70547, 300.4935, 251.9586, 508.3552, 425.9208, 430.1582, 305.0947, 238.2908, 278.4205, 60.53783, 827.5437, 568.0085, 689.5191, 806.4205, -4.577637e-05, 567.3444, -1.525879e-05, 512.3948, 501.0875, 442.4701, -3.814697e-06, -6.103516e-05, 311.5067, 442.6255, 1910.63, 817.2869, 299.341, 781.9681, 682.6039, 235.2833
1.2, 1.525879e-05, 559.866, 219.3748, 137.7375, 381.6078, 730.0956, 20.21443, 562.444, 192.1838, 11.54372, 387.4357, 0, 364.4954, 0, 330.8282, 1983.977, 384.8701, 296.8984, 644.3056, 335.0418, 81.94681, 324.6003, 325.9585, 532.6396, 423.3346, 411.244, 351.7639, 305.3708, 265.1328, 57.9796, 830.0831, 552.7071, 740.4223, 1003.941, -3.051758e-05, 652.8117, -1.525879e-05, 599.1708, 519.9417, 637.2972, -3.814697e-06, -7.629395e-05, 362.7195, 417.001, 2062.351, 925.121, 361.0892, 743.4324, 754.6689, 240.0656
1.3, 7.629395e-06, 541.8461, 224.9394, 131.272, 387.4037, 794.7749, 19.32224, 589.3129, 222.3303, 11.05242, 429.6318, 0, 381.774, 0, 316.4399, 2016.177, 368.0694, 283.3612, 732.05, 317.2248, 78.35303, 309.1658, 310.2126, 508.9138, 508.4026, 393.1615, 482.5433, 398.2419, 252.4792, 55.52946, 793.3132, 605.1497, 698.0005, 1018.914, -3.051758e-05, 676.7869, -1.525879e-05, 665.0808, 496.4, 609.3193, -3.814697e-06, -6.103516e-05, 397.3165, 463.2715, 2162.274, 885.9425, 342.6489, 812.2352, 777.2303, 279.489
1.4, 7.629395e-06, 585.8613, 250.7558, 125.11, 368.5223, 759.5456, 18.46943, 562.948, 264.7557, 10.58203, 460.6821, 0, 404.7027, 0, 302.6775, 2260.269, 352.0021, 270.4412, 701.9026, 300.3553, 125.101, 316.4418, 295.2274, 486.2447, 513.5417, 451.8225, 460.287, 422.9318, 240.4295, 53.18287, 758.1721, 682.568, 743.2804, 1023.449, -4.577637e-05, 798.4789, -1.525879e-05, 693.8074, 473.9241, 582.5696, 0, -4.577637e-05, 380.3639, 436.4518, 2281.676, 848.4235, 325.1503, 838.2399, 742.2122, 267.4955
1.5, 7.629395e-06, 655.627, 241.7314, 193.7309, 392.9402, 725.8781, 17.65426, 537.7627, 253.5636, 10.13166, 452.5218, 0, 410.1898, 0, 338.9357, 2519.874, 336.6362, 445.4263, 843.4689, 311.389, 246.6926, 301.3953, 280.966, 464.5854, 490.7321, 431.9558, 439.0573, 404.5004, 310.9024, 50.93544, 751.5185, 729.1945, 784.8065, 1113.791, -3.051758e-05, 762.8214, 0, 698.9613, 595.0131, 556.9943, 0, -4.577637e-05, 364.1347, 411.1848, 2439.055, 812.4933, 354.1335, 796.931, 900.6693, 256.0168
1.6, 7.629395e-06, 633.3589, 363.2535, 222.9628, 373.7889, 693.7028, 16.87507, 513.7042, 242.8447, 9.700459, 465.5374, 0, 391.7563, -1.525879e-05, 448.0073, 2579.74, 404.9569, 425.1169, 808.733, 294.8299, 350.5047, 369.3096, 267.3935, 495.9238, 468.9357, 412.9626, 418.8067, 452.5735, 332.4717, 48.78299, 821.5, 763.194, 739.8417, 1248.208, -3.051758e-05, 728.7562, 0, 691.3467, 660.6794, 532.5417, -3.814697e-06, -4.577637e-05, 348.5979, 387.3806, 2520.703, 992.4219, 336.0484, 757.6579, 860.0896, 245.0306
1.7, 7.629395e-06, 606.7665, 361.4731, 212.4967, 355.5711, 662.9537, 68.89168, 490.722, 232.5788, 9.287609, 442.6555, 0, 374.1512, 208.471, 428.5228, 2818.652, 387.2794, 405.7335, 775.4276, 279.1513, 363.2122, 466.7635, 254.4767, 473.8333, 665.1246, 394.8045, 539.2806, 448.9102, 388.727, 46.72149, 902.4223, 800.2748, 697.4531, 1268.24, -3.051758e-05, 696.2122, -1.525879e-05, 662.2675, 630.7654, 509.1627, -3.814697e-06, -4.577637e-05, 450.9546, 364.9543, 2637.252, 1083.963, 391.6254, 797.4105, 821.3382, 337.9596
1.8, 7.629395e-06, 680.6395, 344.2549, 202.522, 338.2411, 667.4618, 65.85107, 468.7679, 222.7469, 8.892329, 461.6963, 0, 448.0276, 198.4642, 455.9702, 2806.405, 370.3736, 528.4033, 810.9663, 321.1002, 419.1357, 444.5693, 242.1839, 452.7269, 635.5823, 465.3528, 514.4074, 458.297, 431.7576, 44.74711, 909.7759, 839.5226, 657.493, 1374.259, 82.39766, 873.8735, -1.525879e-05, 677.2309, 622.2837, 486.81, -3.814697e-06, -3.051758e-05, 431.7134, 431.0521, 2658.841, 1078.845, 584.3262, 919.0071, 893.6945, 323.457
1.9, 1.525879e-05, 785.8956, 396.6732, 193.0155, 321.7559, 726.0886, 62.94465, 447.7961, 213.3307, 8.513872, 629.4362, 0, 477.451, 188.9377, 542.6616, 2809.069, 465.5616, 545.4993, 777.569, 441.4105, 420.4064, 423.4303, 230.4849, 432.5606, 680.3407, 444.8911, 706.0428, 438.3243, 453.8772, 42.85617, 910.852, 911.4184, 791.8846, 1572.691, 78.76552, 966.8544, -1.525879e-05, 643.4307, 594.1082, 465.4386, -3.814697e-06, -3.051758e-05, 413.2932, 455.9573, 2739.713, 1033.156, 554.4855, 1021.743, 880.661, 375.7328
2, 7.629395e-06, 752.8989, 532.03, 183.9552, 379.8955, 722.7103, 60.16652, 540.3995, 204.3125, 8.151523, 598.4985, 0, 484.6982, 179.8685, 519.0604, 2883.466, 445.2385, 520.627, 857.3657, 461.5644, 401.9692, 428.9871, 219.351, 413.2926, 650.1226, 552.3305, 800.2886, 469.1136, 519.3698, 41.04513, 942.5685, 895.2917, 771.3306, 1698.169, 97.26819, 923.6778, 68.85274, 611.3175, 722.7931, 445.0054, 0, -3.051758e-05, 501.0663, 580.1375, 2911.763, 1180.708, 526.1686, 1111.658, 883.2969, 359.6094
2.1, 7.629395e-06, 752.1163, 506.6877, 175.3203, 460.9086, 941.1543, 57.511, 516.223, 195.6755, 7.804595, 637.7871, 0, 681.9954, 171.2346, 496.4857, 2784.55, 559.1028, 496.8888, 949.9598, 476.4443, 492.0049, 408.5891, 208.755, 394.8829, 621.2466, 656.9018, 891.655, 511.4297, 494.5827, 39.31062, 1127.566, 856.6528, 727.1379, 1848.071, 92.98056, 929.8112, 202.5687, 580.807, 867.4571, 425.4693, 0, -3.051758e-05, 609.4094, 546.5522, 3008.181, 1356.913, 650.9816, 1056.875, 1017.967, 441.9315
2.2, 7.629395e-06, 763.0916, 482.5525, 255.389, 589.2737, 924.0593, 54.97268, 493.1282, 187.4036, 7.472432, 606.4389, 0, 682.606, 163.0152, 643.1105, 2808.203, 591.1912, 474.2329, 910.8385, 451.1078, 470.4277, 451.5129, 266.6705, 377.2932, 593.6531, 868.9942, 1029.349, 532.1655, 541.3422, 37.64941, 1077.618, 930.4951, 685.4771, 1822.41, 178.956, 888.2888, 193.1591, 551.8193, 959.8459, 406.7908, 0, -3.051758e-05, 759.0566, 514.9113, 3095.564, 1527.376, 766.9879, 1004.791, 972.1027, 422.9673
2.3, 7.629395e-06, 731.0522, 459.5669, 243.4008, 560.5535, 883.0995, 52.5464, 522.7693, 179.4815, 88.93822, 576.6315, 0, 810.8048, 155.1902, 615.1406, 2840.164, 565.3841, 505.3426, 917.8698, 525.9109, 506.6815, 475.8894, 271.3727, 360.4871, 722.4485, 830.7843, 981.873, 508.9736, 548.7299, 36.05841, 1222.711, 1030.455, 778.567, 1915.779, 171.0675, 848.6207, 184.1866, 572.1153, 916.3864, 388.9323, 0, -3.051758e-05, 789.4047, 543.6625, 3283.143, 1548.799, 767.2333, 955.2749, 928.3046, 404.817
2.4, 0, 708.9509, 437.6762, 231.9755, 533.2331, 1044.705, 50.2272, 499.3815, 171.8942, 85.15302, 548.2892, 0, 832.2838, 147.7409, 588.3871, 2830.198, 540.7035, 544.4359, 1007.6, 497.9439, 484.4607, 453.2613, 258.2637, 446.405, 807.4086, 794.2545, 936.5862, 486.7924, 590.5449, 34.53463, 1168.549, 985.9827, 733.9596, 2097.53, 216.8885, 810.724, 175.6309, 547.5833, 874.8945, 371.8578, 1.907349e-06, -3.051758e-05, 755.7227, 512.1889, 3184.637, 1558.632, 766.7986, 908.1985, 886.4797, 548.7734
2.5, 7.629395e-06, 679.1847, 416.8283, 244.2227, 507.2442, 1032.104, 48.01037, 477.0401, 164.6276, 81.52892, 521.3399, 0, 794.882, 140.6492, 618.8789, 2836.63, 517.1003, 537.3088, 966.1045, 471.4641, 463.2144, 431.709, 316.2582, 486.7137, 785.589, 811.0649, 893.3882, 465.5779, 562.3609, 33.07525, 1159.28, 988.0375, 819.0076, 2008.796, 207.3279, 774.5197, 167.4726, 701.4175, 897.2876, 355.5329, 1.907349e-06, -1.525879e-05, 723.4778, 482.5373, 3343.6, 1567.889, 832.0627, 863.4421, 1025.053, 525.2244
2.6, 7.629395e-06, 720.3981, 396.9734, 269.5487, 639.2336, 1132.496, 45.89138, 455.6982, 157.6683, 78.05905, 495.7152, 0, 759.1608, 133.8979, 591.9629, 2873.096, 719.6015, 512.8099, 926.3182, 446.3924, 442.8999, 411.1816, 300.9809, 526.5509, 866.4673, 775.4023, 852.1826, 540.3896, 535.522, 31.67754, 1119.439, 1027.482, 885.4684, 1940.05, 198.1888, 739.9321, 234.8748, 781.7325, 975.908, 339.9247, 1.907349e-06, -2.288818e-05, 716.2654, 482.5576, 3286.202, 1800.061, 789.5704, 980.1517, 978.8691, 502.6859
2.7, 7.629395e-06, 690.1513, 378.0642, 256.8959, 639.7906, 1082.297, 43.86591, 435.311, 151.0031, 74.73686, 471.3501, 0, 725.045, 127.4706, 654.5979, 2802.639, 688.189, 529.962, 888.1703, 436.871, 450.2075, 483.3079, 362.1509, 503.0962, 827.9821, 829.1757, 855.0121, 528.6707, 509.964, 30.3389, 1310.968, 1027.763, 1052.184, 1857.978, 189.4525, 706.889, 255.2794, 792.523, 1022.376, 325.0017, 3.814697e-06, 257.7162, 748.1596, 499.9286, 3335.244, 1834.629, 787.2051, 1051.3, 1031.476, 481.1147
2.8, 7.629395e-06, 768.0105, 387.3949, 244.8371, 662.6309, 1079.629, 41.92983, 415.836, 144.6197, 121.178, 545.5832, 0, 692.4623, 121.3519, 680.2264, 2846.64, 658.1476, 579.7386, 982.3017, 457.9973, 430.4634, 460.327, 344.6567, 480.6863, 916.9197, 792.7167, 856.2069, 602.5236, 485.6258, 29.05682, 1252.897, 983.4067, 991.9004, 1942.319, 181.1013, 675.3217, 243.4213, 752.9686, 1047.247, 310.7338, 5.722046e-06, 245.3877, 716.2374, 498.1306, 3390.555, 1916.493, 747.0037, 999.4918, 1032.898, 460.469
2.9, 3.814697e-06, 775.1466, 368.942, 233.3442, 676.5035, 1031.774, 40.07921, 430.7179, 138.5061, 116.0207, 518.7669, 0, 772.8714, 383.4494, 650.6423, 2917.037, 629.4176, 632.2779, 998.421, 433.6418, 411.5852, 438.4388, 328.0076, 459.2746, 876.1935, 757.8607, 816.7162, 576.2654, 462.4491, 27.82892, 1197.398, 940.9651, 935.0703, 1889.877, 173.1182, 759.9889, 232.114, 861.8486, 999.8297, 297.0923, 3.814697e-06, 233.6489, 754.2917, 601.1386, 3492.861, 1872.723, 866.5809, 950.2364, 1109.81, 440.7094
3, 7.629395e-06, 742.6012, 351.368, 222.3909, 643.5319, 1108.853, 131.2286, 474.0405, 280.4377, 111.0828, 493.2687, 0, 878.6543, 365.0434, 622.345, 2855.076, 601.9418, 613.2157, 957.3038, 442.4532, 393.5349, 495.0807, 508.8031, 438.8167, 1040.872, 765.9667, 882.1738, 551.1517, 518.5099, 26.65291, 1144.357, 1017.412, 1019.561, 1831.769, 165.4871, 798.9044, 221.332, 829.7766, 990.681, 284.0497, 3.814697e-06, 222.4716, 816.1747, 652.0078, 3628.478, 1857.25, 971.2097, 903.4083, 1059.807, 421.7976
3.1, 3.814697e-06, 892.0632, 334.6313, 211.9518, 612.1672, 1154.411, 125.4366, 483.6181, 268.5827, 161.85, 469.0238, 0, 839.1686, 347.5209, 595.2782, 2803.908, 575.6653, 585.2558, 917.8799, 418.9243, 410.0868, 471.54, 484.2247, 419.27, 1039.243, 771.6454, 841.4855, 603.7776, 555.6992, 25.5266, 1143.533, 995.5383, 996.4448, 1897.231, 158.1923, 778.6926, 211.0509, 788.363, 945.8253, 271.5797, 3.814697e-06, 211.8291, 781.3505, 614.2618, 3669.812, 1871.936, 921.6115, 858.8879, 1012.057, 403.6974
3.2, 7.629395e-06, 927.8882, 318.6917, 202.0026, 616.414, 1103.24, 119.9003, 461.9819, 257.2288, 154.9617, 445.9706, 0, 801.4573, 330.8395, 683.0831, 3018.686, 550.5359, 657.2227, 1045.471, 396.6466, 458.0758, 449.1186, 460.8335, 530.1633, 993.0839, 737.7159, 802.6738, 577.4648, 529.1782, 24.44789, 1179.786, 952.5731, 1064.471, 1849.073, 151.2191, 802.2612, 201.2473, 1006.542, 903.0005, 259.6571, 3.814697e-06, 201.6957, 748.0121, 578.701, 3640.512, 1792.661, 966.3555, 816.5615, 1222.848, 386.3739
3.3, 166.1904, 888.9298, 303.5113, 192.5205, 586.371, 1218.115, 188.2042, 441.3136, 246.3549, 148.3665, 424.0504, 0, 1007.819, 314.9588, 691.5237, 2932.599, 526.5035, 630.8522, 1186.046, 694.357, 437.9867, 427.7634, 438.5724, 506.5477, 968.1752, 790.2234, 884.5485, 552.2988, 503.923, 23.41475, 1192.329, 950.0364, 1003.483, 1832.936, 242.2943, 810.1722, 191.8991, 956.3062, 978.0903, 248.2579, 1.907349e-06, 192.047, 716.0962, 545.199, 3781.165, 1856.993, 917.005, 776.321, 1167.753, 369.7938
3.4, 158.3255, 851.6071, 289.0541, 183.4835, 557.7922, 1201.426, 179.8976, 464.0661, 235.9406, 142.0521, 403.2077, 0, 962.5288, 299.8405, 706.5881, 2835.643, 503.5202, 667.611, 1137.202, 657.4323, 508.263, 407.4236, 417.3865, 483.984, 1012.205, 755.4772, 843.7506, 567.6265, 479.8731, 22.42528, 1295.609, 1015.813, 945.989, 1838.518, 231.6138, 802.5724, 182.9851, 908.5775, 1068.807, 237.3591, 3.814697e-06, 182.86, 870.2483, 513.6364, 3818.377, 1876.56, 1019.797, 738.0635, 1186.349, 353.9252
3.5, 150.8328, 815.8513, 275.2855, 174.8706, 603.0405, 1181.871, 217.4235, 443.3046, 225.9666, 175.8467, 383.3894, 0, 919.2739, 285.4478, 675.8575, 2857.639, 481.5401, 637.171, 1191.028, 704.0089, 485.9729, 388.0509, 397.2241, 462.4254, 1052.385, 846.8712, 804.8344, 619.6915, 456.9709, 21.47762, 1256.315, 971.9731, 891.7894, 1852.73, 221.4042, 883.3174, 315.923, 878.2947, 1136.687, 226.9388, 3.814697e-06, 174.1124, 948.3663, 483.9009, 4000.095, 1928.701, 1000.639, 808.6736, 1132.898, 338.7375
3.6, 219.3331, 928.2815, 262.1728, 166.6621, 596.4427, 1129.483, 207.8273, 423.472, 216.4142, 168.3627, 364.5452, 0, 1068.763, 271.746, 665.8969, 2856.485, 460.5196, 736.7757, 1198.748, 666.5709, 464.6603, 369.5994, 378.0357, 481.8646, 1214.29, 809.6341, 767.7131, 592.6853, 435.1618, 20.57001, 1337.576, 979.8123, 840.6951, 1894.318, 211.6445, 843.8712, 301.248, 875.7423, 1354.655, 216.976, 3.814697e-06, 165.7832, 907.9017, 455.887, 3835.795, 1973.944, 1100.457, 768.8218, 1194.055, 324.2016
3.7, 227.4836, 889.3065, 249.6846, 158.8389, 567.3732, 1173.82, 198.6546, 404.5266, 207.2657, 161.1972, 346.6273, 0, 1080.281, 258.7018, 636.936, 2952.49, 440.4166, 703.182, 1149.381, 670.1548, 444.2824, 352.0252, 359.7741, 506.7895, 1275.886, 774.0343, 732.304, 732.9348, 414.3936, 19.70075, 1385.338, 1037.616, 792.5283, 1940.542, 202.3151, 806.1866, 287.2546, 883.2073, 1293.319, 207.4506, 3.814697e-06, 157.8525, 869.1638, 429.4949, 3975.028, 2117.478, 1171.339, 782.4358, 1140.256, 310.2894
3.8, 216.718, 954.0249, 275.079, 151.3829, 539.7204, 1126.364, 189.8867, 489.9254, 198.5039, 154.3367, 329.59, 0, 1031.735, 246.2839, 668.9216, 2983.62, 421.1912, 695.8099, 1142.803, 667.6278, 424.7982, 470.7335, 342.3947, 484.215, 1219.216, 739.9999, 698.5281, 700.9933, 471.1301, 18.86823, 1323.972, 992.8346, 747.121, 1858.449, 193.3969, 821.6497, 273.9113, 902.6324, 1335.989, 198.3433, 1.907349e-06, 150.3012, 857.0391, 404.6306, 3911.058, 2027.804, 1111.521, 743.8771, 1152.265, 296.9742
3.9, 253.452, 1002.704, 261.9761, 144.2769, 513.4153, 1164.049, 181.5059, 578.8583, 190.1124, 147.7681, 313.3901, 0, 1033.161, 234.462, 707.8032, 2853.415, 402.805, 664.0841, 1172.932, 690.2318, 406.1684, 448.3504, 325.8549, 462.6461, 1165.063, 707.4619, 666.31, 670.444, 562.78, 18.07089, 1382.725, 1032.777, 704.3154, 1856.344, 184.8719, 784.9575, 261.1877, 857.5825, 1401.947, 189.6358, 2.861023e-06, 143.1112, 990.4285, 381.2057, 3991.187, 1994.059, 1231.812, 707.2184, 1289.301, 284.2305
4, 297.6241, 960.6045, 249.4973, 137.5044, 559.4852, 1252.471, 173.4949, 552.9612, 182.0757, 141.4791, 297.9865, 0, 1001.139, 223.2076, 739.5804, 2933.951, 385.2215, 633.8049, 1153.659, 653.5265, 388.3557, 427.0317, 310.1141, 442.038, 1113.315, 676.3547, 635.5779, 641.226, 585.0606, 17.30724, 1451.059, 988.2042, 663.9622, 1878.404, 176.7226, 749.9037, 249.0552, 814.7811, 1338.47, 181.3107, 2.861023e-06, 311.1767, 988.8445, 359.137, 3913.064, 2001.673, 1168.906, 781.3421, 1314.555, 272.0335
4.1, 283.5392, 920.2723, 237.6129, 131.0499, 590.3679, 1288.116, 165.8375, 528.2227, 174.3788, 173.0373, 283.34, 0, 981.5117, 212.4933, 707.4149, 2923.834, 499.4169, 674.2329, 1106.149, 618.773, 445.3665, 406.7267, 295.1336, 422.3478, 1275.554, 646.6152, 606.2632, 613.2812, 767.7584, 16.57586, 1555.49, 945.5555, 688.3165, 1798.94, 168.9326, 753.5351, 237.4862, 835.3062, 1277.868, 173.3509, 2.861023e-06, 296.2907, 946.6528, 418.7776, 4149.878, 1916.904, 1109.211, 742.8372, 1255.328, 260.36
4.2, 270.1208, 881.6337, 226.2946, 124.8983, 632.6231, 1639.592, 158.5181, 504.5909, 167.0072, 165.6728, 269.4134, 0, 937.4037, 202.2934, 756.2576, 2913.28, 477.6159, 643.4909, 1152.18, 585.8677, 503.6155, 437.2601, 280.8768, 474.5371, 1265.187, 618.1833, 578.3007, 668.7228, 845.5163, 15.87539, 1486.587, 904.7474, 648.88, 1743.807, 161.4859, 773.061, 226.4547, 879.343, 1220.009, 165.7407, 2.861023e-06, 450.8467, 906.2614, 446.1784, 4154.208, 2081.183, 1158.281, 706.2299, 1267.508, 249.1874
4.3, 257.3374, 852.161, 215.5155, 223.0744, 601.7902, 1697.464, 151.5217, 482.0164, 159.9473, 276.5218, 256.1714, 0, 895.2778, 192.5831, 768.8064, 2846.228, 456.7667, 674.4024, 1178.098, 554.7122, 512.6791, 455.8676, 267.3086, 534.7202, 1208.992, 591.0016, 551.6278, 837.8515, 805.1637, 15.20452, 1481.204, 946.0362, 686.606, 1776.22, 154.3675, 780.677, 292.5468, 835.4554, 1241.009, 158.4645, 2.861023e-06, 455.3511, 867.5934, 484.131, 4115.201, 2117.083, 1164.375, 671.4265, 1291.022, 238.4943
4.4, 245.159, 830.8492, 252.5712, 212.6032, 572.46, 1671.591, 144.8341, 460.4518, 153.1858, 264.7531, 243.5801, 0, 888.5143, 183.3389, 735.3698, 2866.116, 436.8275, 687.4041, 1129.582, 572.3671, 490.1953, 434.1914, 254.3959, 510.9016, 1155.294, 565.0152, 526.1852, 910.289, 766.7369, 14.562, 1474.416, 1006.502, 762.9019, 1782.995, 147.5629, 777.4412, 278.9576, 793.7584, 1240.335, 151.5078, 2.861023e-06, 433.5681, 891.8242, 456.1037, 4001.22, 2097.539, 1255.592, 697.0353, 1232.855, 228.26
4.5, 233.5569, 795.965, 240.5404, 237.3099, 544.5592, 1620.868, 138.4417, 439.8521, 146.7101, 253.4852, 231.6078, 0, 848.5854, 174.5384, 703.3875, 2806.467, 484.9541, 656.0616, 1142.317, 541.9295, 468.6976, 479.7879, 383.4237, 488.1439, 1290.044, 540.1713, 501.916, 870.6185, 730.1442, 13.94663, 1486.473, 979.3422, 757.6591, 1794.807, 141.0582, 742.7231, 280.8585, 788.3865, 1387.486, 144.8564, 1.907349e-06, 519.3865, 911.9014, 478.7367, 4149.789, 2008.709, 1191.471, 662.6851, 1280.678, 218.4649
