 , C001, C002, C003, C004, C005, C006, C007, C008, C009, C010, C011, C014, C015, C016, C020, C021, C024, C025, C026, C027, C028, C029, C034, C035, C036, C038, C040, C042, C044, C045, C047, C048, C049, C054, C057, C059, C060, C062, C067, C079, C080, C082, C083, C088, C091, C093, C110
Time(s)/Cell Status, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted
337.1, 442.0062, 564.3909, 1135.558, 1071.15, 308.0455, 1178.885, 903.6854, 8.306513e-05, 1215.716, 133.1761, 42.72483, 843.0936, 964.9102, 675.7185, 479.4529, 471.7433, 1401.309, 1821.475, 864.4231, 1148.282, 576.2149, 7.37994, 1303.275, 1523.9, 1297.402, 505.7491, 458.4954, 593.3241, 80.43256, 668.1086, 201.4329, 1705.747, 826.6605, 31.49205, 324.1166, 1343.095, 256.3026, 843.706, 1051.345, 750.6516, 0.0009409409, 1599.466, 1361.015, 4522.527, 201.9495, 2719.591, 857.3094
337.2, 420.2081, 566.6193, 1100.041, 1081.393, 331.2998, 1244.723, 927.4349, 7.898308e-05, 1294.694, 127.7961, 40.794, 880.3848, 1139.559, 721.4512, 453.0794, 451.5152, 1411.63, 1744.091, 955.655, 1099.805, 593.4662, 7.068136, 1248.477, 1627.22, 1299.366, 481.9047, 433.9509, 568.374, 77.14407, 636.8918, 191.7209, 1782.502, 792.9324, 30.20049, 310.9022, 1288.206, 244.4339, 808.4163, 1001.417, 718.7563, 0.0009007389, 1665.54, 1300.637, 4602.607, 193.1215, 2708.049, 848.2767
337.3, 399.485, 542.1368, 1135.269, 1141.936, 314.1727, 1189.837, 946.3602, 7.510163e-05, 1239.111, 122.6335, 38.95043, 887.6003, 1130.603, 680.7669, 428.1566, 432.1546, 1348.974, 1739.85, 912.7474, 1053.375, 567.8881, 6.769506, 1195.983, 1559.392, 1235.508, 459.1844, 410.7204, 544.4731, 73.99003, 699.327, 182.4771, 1887.152, 975.7549, 28.96191, 298.2265, 1235.56, 233.1148, 845.5904, 1013.483, 718.3388, 0.0008622545, 1664.486, 1242.938, 4473.434, 184.6795, 2679.16, 813.5648
337.4, 379.784, 518.7121, 1083.801, 1142.978, 297.931, 1137.371, 951.0927, 7.141093e-05, 1284.764, 117.6795, 37.19017, 848.8045, 1173.225, 679.3859, 404.6047, 413.6241, 1289.098, 1764.255, 923.7204, 1008.905, 592.8087, 6.483492, 1231.448, 1513.163, 1284.077, 437.5353, 388.7334, 521.5773, 70.96494, 666.6516, 173.679, 1963.21, 935.9438, 27.77412, 286.0676, 1185.066, 222.3198, 810.2219, 965.3527, 702.0287, 0.0008254144, 1594.172, 1334.942, 4537.306, 176.6065, 2717.35, 855.1011
337.5, 427.7014, 496.2995, 1216.469, 1092.358, 429.4095, 1108.709, 950.0867, 6.79016e-05, 1278.168, 112.9256, 35.50946, 811.7044, 1181.107, 718.3782, 478.1303, 395.8882, 1267.574, 1710.796, 941.1822, 1056.426, 619.8471, 6.209563, 1203.561, 1450.09, 1220.97, 416.9069, 367.9234, 574.7267, 68.06354, 715.8149, 165.3051, 2004.245, 897.757, 26.63504, 274.4044, 1216.662, 212.0248, 776.3327, 1060.66, 672.1995, 0.0007901483, 1574.796, 1307.286, 4423.389, 168.8864, 2678.839, 820.11
337.6, 429.0764, 533.0909, 1161.32, 1043.98, 407.2104, 1082.854, 918.6504, 6.456473e-05, 1223.296, 108.3637, 33.90471, 776.2259, 1130.346, 784.9735, 477.0534, 614.2706, 1325.911, 1723.095, 919.2141, 1117.113, 593.132, 5.947208, 1254.998, 1496.703, 1160.965, 397.2511, 348.2275, 550.5587, 65.28075, 682.3691, 157.3349, 1951.485, 861.1282, 25.54268, 263.2167, 1196.614, 202.2065, 743.861, 1092.461, 677.9478, 0.000756389, 1631.475, 1249.291, 4450.167, 161.5038, 2638.862, 903.665
337.7, 407.9159, 510.0571, 1108.672, 1147.984, 386.1591, 1150.379, 918.2523, 6.139184e-05, 1195.972, 115.0513, 32.37247, 855.827, 1114.851, 740.707, 450.8119, 638.6251, 1301.303, 1808.618, 877.9427, 1069.953, 567.5683, 5.695937, 1202.23, 1603.11, 1233.439, 378.522, 329.5859, 527.407, 62.61174, 650.486, 149.7491, 1959.166, 825.9938, 24.49512, 252.4852, 1201.2, 192.8428, 816.8256, 1092.566, 672.3333, 0.000724072, 1598.748, 1356.132, 4347.139, 154.4439, 2530.468, 866.6866
337.8, 422.8149, 620.643, 1058.41, 1097.143, 366.196, 1099.653, 879.1018, 5.837487e-05, 1218.427, 110.4035, 30.90949, 879.512, 1159.667, 698.9368, 426.0138, 611.2413, 1370.385, 1891.274, 868.9177, 1024.783, 543.1064, 5.455283, 1249.198, 1536.287, 1269.698, 360.6759, 311.9423, 505.2288, 60.05186, 620.0927, 142.5289, 1938.325, 792.293, 23.49052, 648.616, 1152.11, 183.9128, 782.6602, 1040.68, 643.7658, 0.0006931358, 1712.194, 1295.97, 4375.787, 147.6926, 2612.959, 863.2697
337.9, 401.9633, 593.8262, 1075.851, 1079.689, 381.1695, 1126.938, 966.7382, 5.550617e-05, 1166.119, 114.8822, 29.51262, 854.8527, 1184.051, 659.5222, 506.9172, 585.0317, 1309.559, 1856.011, 900.725, 981.52, 519.6987, 5.224796, 1215.375, 1472.25, 1343.388, 343.6712, 295.2432, 548.9408, 57.59663, 661.4908, 135.6569, 1889.97, 759.9672, 22.52712, 622.1714, 1158.439, 175.3962, 813.9794, 991.2579, 660.7637, 0.0006635214, 1639.865, 1238.478, 4338.078, 141.2364, 2642.885, 853.0883
338, 431.4996, 568.168, 1056.38, 1152.975, 361.4643, 1077.246, 925.5204, 5.277844e-05, 1133.545, 110.2413, 28.17887, 817.4882, 1189.298, 687.5009, 479.0329, 575.9805, 1302.581, 1854.323, 860.2836, 992.1471, 497.3, 5.004047, 1200.583, 1410.882, 1349.957, 327.4682, 279.438, 547.5217, 55.24179, 630.5833, 129.1163, 1828.402, 728.9603, 21.60324, 596.8051, 1186.282, 167.2741, 779.9331, 1036.78, 632.6879, 0.0006351722, 1714.679, 1224.484, 4363.633, 135.0624, 2534.326, 890.1
