 , C000, C004, C005, C006, C008, C009, C010, C011, C012, C013, C015, C017, C018, C020, C022, C025, C027, C028, C029, C032, C034, C035, C037, C038, C044, C046, C051, C052, C054, C059, C060, C061, C065, C071, C072, C073, C075, C083, C093, C109, C111, C124
Time(s)/Cell Status, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted
331.9, 0.05482993, 372.5441, 22.30437, 0.23213, 600.4509, 175.793, 80.4845, 112.8956, 32.25546, 74.61244, 16.06048, 320.0935, 26.80055, 176.3003, 1.319168, 38.88355, 2.465947, 0.001803242, 642.3333, 292.3015, 216.5432, 0.0009384458, 5.358733, 85.2912, 738.2524, 0.01467117, 85.56395, 609.8758, 660.8468, 1364.467, 1735.696, 773.5081, 778.0025, 1505.044, 1383.957, 584.1143, 1096.542, 1328.216, 1014.726, 1290.427, 1227.677, 3757.127
332, 109.9926, 356.3909, 21.3846, 0.2224891, 572.5881, 168.44, 76.98624, 108.2812, 30.93017, 71.43091, 15.32921, 306.442, 25.70369, 168.8853, 1.26404, 37.08566, 2.365211, 0.001729816, 661.5715, 279.6636, 207.5192, 0.0008925679, 5.140585, 158.6748, 765.1797, 0.01406935, 81.79448, 583.6848, 722.7324, 1457.162, 1751.954, 937.4185, 918.7971, 1456.114, 1346.576, 557.7734, 1049.342, 1316.988, 972.0677, 1341.58, 1254.553, 3603.551
332.1, 110.3599, 340.9381, 20.50276, 0.2132487, 546.0182, 161.3947, 73.64002, 103.8555, 29.65933, 68.38504, 14.63123, 324.1388, 24.65172, 161.7821, 1.211215, 35.3709, 2.268591, 0.00165938, 679.1752, 267.5721, 250.4471, 0.0008489329, 4.931319, 152.2206, 734.3141, 7.306114, 78.19107, 618.5769, 744.7381, 1461.953, 1759.203, 934.9703, 877.4793, 1480.755, 1288.228, 661.1699, 1047.997, 1260.501, 931.2027, 1297.57, 1199.621, 3664.946
332.2, 105.7954, 379.7069, 19.65729, 0.204392, 520.6812, 154.644, 70.43925, 99.6106, 28.44071, 65.46905, 13.96504, 383.5442, 23.64281, 154.9777, 1.160598, 33.73543, 2.175918, 0.001591812, 668.4238, 256.0034, 244.9236, 0.0008074311, 4.730571, 160.5415, 716.0746, 7.006413, 248.6197, 592.0121, 712.1356, 1543.522, 1682.493, 1001.487, 838.0195, 1484.363, 1387.188, 631.3542, 1110.165, 1206.438, 892.0555, 1362.702, 1147.094, 3726.989
332.3, 125.1407, 363.2432, 18.84668, 0.1959031, 496.52, 148.1756, 67.37761, 182.213, 27.27216, 62.67739, 13.32918, 453.4995, 22.67518, 156.3791, 1.112097, 32.17558, 118.5718, 0.001526996, 640.5524, 244.9348, 234.717, 0.0007679581, 4.537996, 154.0114, 687.1898, 44.08923, 269.68, 566.5883, 729.9293, 1521.265, 1609.127, 1090.46, 858.9815, 1540.304, 1402.88, 602.8831, 1115.25, 1266.803, 854.5541, 1305.381, 1165.608, 3799.035
332.4, 172.5247, 347.4933, 18.06949, 109.1564, 473.4799, 141.9779, 64.44904, 174.7654, 26.15162, 60.00478, 12.72227, 500.1783, 21.74716, 163.9083, 1.065622, 133.487, 203.6729, 0.001464818, 663.6369, 234.3449, 224.9357, 0.0007304149, 4.35326, 147.7469, 677.6743, 42.28066, 257.7994, 542.2562, 697.9751, 1534.003, 1700.589, 1155.631, 960.3319, 1554.46, 1424, 575.6958, 1067.245, 1212.469, 950.4109, 1365.153, 1171.126, 3643.746
332.5, 232.7504, 332.4262, 17.32436, 104.6229, 451.5089, 136.0393, 61.64775, 167.6222, 25.07713, 57.44613, 12.14299, 478.8465, 20.85712, 189.2718, 1.021089, 127.3148, 195.3527, 0.001405173, 648.9633, 224.2128, 215.562, 0.000694707, 4.176044, 236.4177, 650.3385, 92.59773, 269.7042, 518.969, 702.4937, 1541.48, 1626.435, 1114.354, 970.3527, 1574.025, 1406.648, 549.7346, 1132.478, 1226.311, 910.4563, 1351.581, 1119.847, 3713.886
332.6, 248.5622, 408.5948, 16.60995, 100.2777, 430.5574, 130.3492, 58.96823, 160.771, 24.04678, 54.99658, 11.59009, 458.4244, 20.00351, 188.5824, 0.9784175, 129.4372, 187.3724, 0.001347956, 732.526, 214.5187, 214.8366, 120.7601, 168.4693, 226.8012, 654.3475, 88.79932, 330.8141, 584.144, 671.7405, 1613.26, 1644.879, 1142.653, 926.7165, 1553.998, 1493.243, 524.9441, 1150.007, 1263.429, 964.7703, 1294.728, 1148.582, 3592.505
332.7, 332.3887, 445.1354, 15.92501, 96.11294, 478.7445, 124.8971, 56.40517, 154.1999, 23.05876, 52.65148, 11.06237, 490.6416, 19.18483, 211.7616, 0.9375291, 129.939, 216.3038, 0.001293069, 701.9817, 205.2438, 237.5428, 114.8565, 189.4464, 248.1988, 666.7637, 96.72997, 316.2402, 599.6574, 729.7116, 1615.855, 1655.764, 1299.384, 885.0425, 1529.189, 1428.539, 501.2715, 1171.99, 1285.681, 1037.115, 1384.506, 1098.29, 3694.901
332.8, 318.6408, 425.8347, 15.2683, 124.6688, 456.5293, 119.673, 53.95352, 147.8973, 22.11134, 50.40638, 10.55867, 535.4586, 18.39965, 205.2901, 0.8983495, 147.246, 307.6959, 0.001240416, 750.7779, 196.3699, 227.6437, 122.4052, 257.5332, 334.8608, 673.3152, 92.76205, 302.3085, 573.9052, 738.1185, 1816.146, 1644.534, 1310.264, 1036.193, 1580.778, 1502.67, 524.2551, 1121.542, 1230.537, 1098.34, 1397.997, 1093.824, 3688.398
332.9, 319.6123, 407.3708, 14.63868, 119.491, 435.3448, 140.0286, 51.60843, 141.8523, 21.20284, 48.25701, 10.07791, 512.6221, 17.64662, 239.6534, 0.8608072, 140.4377, 295.1263, 0.001189908, 776.9482, 187.8797, 218.1572, 116.4212, 296.2188, 321.2401, 663.9183, 88.95689, 288.9904, 571.4233, 705.8058, 1737.278, 1690.309, 1331.782, 1108.908, 1584.948, 1437.558, 500.6136, 1134.863, 1332.642, 1052.166, 1418.872, 1064.41, 3643.292
333, 362.9565, 389.7076, 14.03503, 146.3927, 415.1435, 134.1716, 49.36526, 136.0544, 20.33168, 46.1993, 9.619042, 490.7596, 16.9244, 229.5738, 0.8248338, 139.9433, 283.0703, 0.001141457, 788.7827, 179.7565, 209.066, 240.6252, 284.1602, 376.4499, 724.2515, 85.30783, 276.2592, 546.8836, 674.9076, 1718.847, 1670.827, 1289.118, 1174.424, 1606.379, 1556.016, 478.0383, 1086.013, 1275.484, 1109.828, 1389.863, 1164.752, 3595.159
333.1, 347.9443, 519.153, 13.45626, 156.4924, 395.8795, 128.5596, 47.2196, 130.4935, 19.4963, 44.22932, 9.181065, 469.8295, 16.23174, 219.9181, 0.7903637, 184.4014, 271.5067, 0.001094978, 755.8926, 171.9846, 200.3536, 228.8618, 272.5923, 361.1375, 734.0242, 81.80846, 264.0887, 523.3978, 645.3621, 1644.204, 1729.848, 1228.49, 1207.302, 1678.754, 1707.117, 480.2138, 1121.679, 1345.485, 1063.172, 1331.4, 1113.753, 3573.333
333.2, 451.4581, 496.643, 12.90137, 167.4948, 494.5547, 160.6983, 45.16719, 125.1598, 18.69525, 42.34335, 8.763029, 550.1339, 15.56742, 215.4182, 0.7573342, 175.8751, 398.3328, 0.001050392, 805.1949, 164.5487, 192.0043, 217.6734, 382.9943, 346.448, 704.4153, 78.45263, 252.4545, 567.726, 717.9958, 1749.052, 1718.253, 1304.713, 1278.398, 1607.259, 1633.146, 528.2751, 1073.397, 1287.777, 1076.739, 1468.64, 1150.439, 3720.884
333.3, 487.9435, 512.3254, 12.36935, 160.5383, 486.1478, 159.6168, 43.204, 120.0442, 17.92712, 258.6031, 8.364028, 627.8015, 14.9303, 206.3579, 0.7256849, 167.743, 415.388, 0.001007621, 859.4924, 157.4343, 184.003, 207.032, 481.0515, 332.356, 688.6307, 75.23446, 241.3327, 676.4937, 734.9909, 1743.469, 1726.086, 1300.265, 1339.267, 1701.502, 1562.381, 504.4524, 1101.455, 1327.797, 1259.795, 1458.064, 1133.027, 3568.789
333.4, 509.5961, 610.9263, 11.85927, 208.6022, 480.5585, 177.3512, 41.32613, 115.1376, 17.19054, 247.576, 77.4668, 601.0267, 14.31925, 197.6787, 0.6953583, 159.987, 464.6024, 0.0009665919, 855.7646, 150.6275, 176.3351, 196.9108, 512.0814, 318.8372, 684.4707, 72.1483, 230.701, 647.4417, 702.8151, 1746.784, 1689.547, 1239.113, 1384.176, 1629.038, 1634.41, 520.874, 1054.043, 1338.047, 1206.834, 1454.39, 1156.774, 3615.549
333.5, 541.7137, 584.437, 11.37023, 199.9385, 578.262, 189.6864, 39.52989, 110.4316, 16.48423, 237.0192, 73.93955, 575.3939, 13.73321, 189.3645, 0.6662991, 152.5895, 473.2999, 0.0009272335, 873.4754, 144.1149, 168.9867, 187.2844, 491.2352, 305.8683, 717.6757, 69.18874, 276.5507, 619.6374, 749.6244, 1745.837, 1692.619, 1180.837, 1445.294, 1615.023, 1563.59, 497.385, 1059.288, 1280.657, 1156.1, 1393.212, 1178.406, 3627.485
