 , C003, C006, C008, C012, C013, C014, C017, C019, C023, C025, C028, C031, C037, C039, C042, C060, C076, C077, C088, C089, C094, C099, C100, C107, C109, C114, C115, C136, C139
Time(s)/Cell Status, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted
392.4, 338.5854, 215.6572, 2387.837, 1162.645, 2092.466, 1334.1, 1314.099, 2655.363, 1334.065, 858.8353, 1153.768, 365.9584, 1775.752, 1784.313, 13.81613, 724.6611, 1076.613, 1751.754, 1614.419, 1636.932, 1061.917, 1906.066, 1325.659, 2248.094, 1800.329, 1758.543, 1371.806, 2383.745, 3549.612
392.5, 323.1016, 205.7019, 2257.744, 1223.41, 2301.26, 1361.37, 1291.263, 2556.074, 1513.828, 993.1635, 1339.725, 347.1123, 1732.796, 1856.663, 13.18164, 792.1729, 1246.291, 1865.602, 1715.192, 1659.764, 1010.643, 1815.855, 1397.143, 2399.423, 1945.532, 2008.875, 1378.976, 2401.671, 3466.64
392.6, 308.3258, 196.2062, 2350.084, 1256.653, 2307.742, 1294.032, 1524.721, 2673.076, 1512.564, 939.5113, 1277.05, 329.2368, 1712.953, 1775.216, 12.57628, 755.058, 1439.418, 1827.691, 1649.835, 1885.976, 1066.11, 1729.915, 1605.891, 2363.792, 2150.174, 1917.692, 1316.142, 2291.17, 3693.436
392.7, 429.4619, 187.1489, 2222.049, 1249.074, 2498.117, 1412.334, 1684.98, 2540.03, 1444.859, 1085.296, 1217.308, 312.2818, 1723.154, 1729.298, 11.99872, 827.2072, 1542.067, 1917.564, 1733.575, 1894.109, 1014.633, 1648.041, 1759.838, 2521.746, 2162.311, 1830.646, 1256.172, 2320.631, 3733.147
392.8, 409.8222, 178.5096, 2326.632, 1187.344, 2505.814, 1342.475, 1612.28, 2887.158, 1451.645, 1026.667, 1169.304, 296.1999, 1858.453, 1681.693, 11.44768, 853.7115, 1530.101, 2014.231, 1701.648, 1847.973, 965.642, 1570.043, 1672.721, 2699.641, 2213.938, 2101.687, 1198.934, 2439.308, 3596.028
392.9, 405.6765, 170.2692, 2473.562, 1128.665, 2397.345, 1325.149, 1679.033, 2844.879, 1386.667, 1011.177, 1262.987, 280.9463, 1820.641, 1600.791, 10.92195, 813.7135, 1633.186, 1929.615, 1629.86, 1911.501, 1077.386, 1769.896, 1589.916, 2586.51, 2143.15, 2133.638, 1205.392, 2421.342, 3576.85
393, 387.1245, 162.4091, 2503.884, 1072.886, 2293.572, 1259.603, 1628.51, 2876.131, 1324.597, 956.5516, 1410.634, 266.4781, 1737.651, 1523.781, 10.42037, 775.5895, 1555.021, 1848.553, 1708.534, 1967.223, 1062.43, 1888.855, 1740.645, 2645.423, 2067.882, 2036.791, 1150.468, 2436.517, 3610.674
393.1, 369.4208, 154.9119, 2367.469, 1099.059, 2269.286, 1197.299, 1685.646, 2782.109, 1265.305, 930.637, 1368.788, 252.7551, 1695.767, 1450.476, 9.941818, 739.2516, 1539.958, 1804.972, 1676.758, 1886.989, 1098.649, 1857.821, 1654.478, 2534.564, 2208.524, 2096.157, 1217.697, 2324.413, 3606.434
393.2, 366.8979, 147.7608, 2323.09, 1044.743, 2252.281, 1138.077, 1612.917, 2796.795, 1376.985, 921.7013, 1352.756, 239.7387, 1618.469, 1439.942, 9.485246, 796.2097, 1466.254, 1756.933, 1606.019, 1926.901, 1045.601, 1857.316, 1572.576, 2455.171, 2117.392, 2001.011, 1162.212, 2347.716, 3697.637
393.3, 350.1192, 140.9398, 2408.108, 993.1112, 2328.604, 1190.648, 1543.327, 2705.827, 1315.349, 938.587, 1289.472, 293.5968, 1557.262, 1370.67, 9.049641, 758.9057, 1396.078, 1683.623, 1647.936, 1848.311, 995.1145, 1861.94, 1494.729, 2432.078, 2113.202, 2144.955, 1263.021, 2301.022, 3649.844
