 , C000, C002, C003, C004, C005, C013, C021, C024, C025, C026, C031, C034, C035, C040, C041, C044, C045, C047, C054, C056, C057, C061, C063, C064, C066, C072, C073, C074, C077, C078, C079
Time(s)/Cell Status, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted
203, 589.9915, 397.1921, 1083.468, 404.4465, 0.01517561, 2680.151, 868.8425, 4265.328, 1050.976, 1706.505, 828.5785, 3286.948, 7.670675e-05, 1236.954, 0.0002999841, 1504.245, 895.1289, 1328.616, 1939.068, 1117.28, 876.3732, 612.4978, 475.4211, 554.8594, 2896.599, 2674.695, 0.0003001155, 2252.887, 1521.7, 2327.245, 0.000623828
203.1, 732.9117, 380.0348, 1026.778, 381.9693, 0.01452223, 2636.003, 815.2387, 4578.33, 1143.257, 1777.722, 894.068, 3829.963, 7.344124e-05, 1633.572, 0.0002874848, 1648.165, 1068.012, 1259.831, 2098.698, 1144.56, 832.3344, 577.8157, 699.4798, 523.3579, 2946.83, 2865.545, 0.000286147, 2218.65, 1769.467, 2212.321, 0.0005956037
203.2, 768.257, 363.6185, 973.0549, 360.7412, 0.01389697, 2891.922, 764.942, 4861.514, 1080.814, 1935.935, 851.8617, 3966.818, 7.031474e-05, 2276.693, 0.0002755063, 1690.701, 1120.629, 1692.801, 2007.117, 1136.35, 1088.922, 545.0974, 823.9222, 493.6449, 2817.307, 3080.852, 0.0002728287, 2313.646, 1875.438, 2459.31, 0.0005686563
203.3, 731.5733, 347.9114, 1046.41, 340.693, 0.01329864, 2780.839, 717.7484, 5015.036, 1021.781, 1833.895, 833.5252, 3792.816, 6.732134e-05, 2142.042, 0.0002640268, 1603.57, 1349.234, 1708.895, 2018.543, 1395.302, 1064.383, 514.2317, 782.3569, 680.326, 2756.976, 3016.462, 0.0002601302, 2211.045, 1772.428, 2411.625, 0.0005429281
203.4, 696.6413, 332.8828, 991.6597, 321.7589, 0.01272606, 2698.032, 673.4665, 5173.003, 965.9727, 1766.214, 933.3998, 3992.248, 6.445537e-05, 2015.355, 0.0002530257, 1779.172, 1279.504, 2353.406, 2077.461, 1315.513, 1181.213, 485.1138, 742.8885, 641.7013, 2676.076, 2880.876, 0.0002480228, 2326.326, 1787.987, 2292.535, 0.000518364
203.5, 788.2671, 318.5034, 939.774, 303.8771, 0.01217814, 2743.274, 685.5464, 5391.094, 913.2125, 1673.119, 889.3367, 4036.296, 6.171141e-05, 1896.161, 0.000242483, 1785.108, 1213.377, 2231.565, 2032.386, 1240.286, 1121.856, 457.6446, 705.4111, 605.2695, 2558.454, 3079.734, 0.0002364789, 2452.648, 1689.78, 2179.325, 0.0004949112
203.6, 750.628, 304.7451, 890.603, 286.989, 0.01165381, 2614.374, 684.0451, 5258.113, 863.334, 1584.931, 847.3538, 4092.609, 5.908427e-05, 1784.016, 0.0002323795, 2121.066, 1333.134, 2240.687, 2334.842, 1169.361, 1108.074, 431.7309, 669.8245, 570.906, 2765.5, 2941.303, 0.0002254723, 2702.807, 1692.016, 2071.705, 0.0004725195
203.7, 733.2668, 320.9736, 844.0047, 271.0396, 0.01115206, 2552.792, 641.8425, 5343.646, 816.1799, 1664.605, 807.3527, 4108.74, 5.656897e-05, 1678.504, 0.000222697, 2011.756, 1264.236, 2256.01, 2232.955, 1102.492, 1104.445, 407.2845, 636.0331, 538.4935, 2643.947, 2927.922, 0.000214978, 2582.948, 1649.457, 2168.376, 0.000451141
203.8, 698.254, 474.9103, 1014.095, 255.9765, 0.0106719, 2634.142, 602.2437, 5114.608, 771.6012, 1576.866, 769.2399, 4386.792, 5.416074e-05, 1579.232, 0.000213418, 1908.079, 1198.898, 2139.21, 2298.733, 1039.446, 1048.945, 546.6695, 603.9464, 507.9212, 2754.54, 3022.536, 0.0002049721, 2621.539, 1682.51, 2061.298, 0.0004307296
203.9, 811.1955, 454.3957, 961.0353, 285.0625, 0.01021242, 2625.142, 565.0878, 5255.693, 729.4573, 1493.751, 756.8765, 4302.285, 5.185504e-05, 1485.832, 0.0002045256, 1912.104, 1261.948, 2031.415, 2198.423, 980.006, 1061.731, 515.7148, 573.4785, 479.0846, 2633.469, 2918.746, 0.0001954319, 2505.284, 1749.196, 1959.507, 0.0004112418
204, 772.4616, 434.7673, 910.7519, 305.4793, 0.009772727, 2787.05, 530.2244, 5141.954, 689.6153, 1415.017, 997.4017, 4148.301, 4.96475e-05, 1397.955, 0.0001960036, 2309.914, 1304.257, 2147.124, 2125.392, 923.9648, 1008.378, 486.5129, 544.5475, 451.8852, 2784.407, 3062.106, 0.0001863358, 2394.185, 1687.352, 2169.814, 0.0003926357
204.1, 735.5772, 415.9868, 863.0994, 365.4427, 0.009351962, 2656.093, 497.5118, 5071.902, 651.9494, 1343.006, 975.5497, 4168.918, 4.753394e-05, 1315.276, 0.0001878368, 2190.871, 1324.839, 2167.485, 2450.708, 871.1284, 957.7054, 458.9646, 517.0762, 426.2299, 3037.564, 2924.468, 0.000177663, 2569.612, 1594.673, 2062.664, 0.0003748713
204.2, 700.454, 398.0176, 817.9401, 505.8643, 0.008949313, 2729.981, 466.8175, 5203, 616.3408, 1295.446, 977.7711, 4106.344, 4.551035e-05, 1237.486, 0.0001800103, 2077.964, 1256.369, 2055.269, 2348.829, 821.3134, 909.5796, 432.9761, 490.9907, 402.0312, 2916.579, 2793.016, 0.0001693939, 2647.483, 1588.583, 1960.806, 0.0003579107
204.3, 733.1988, 380.8246, 775.1437, 587.3174, 0.008564, 2601.706, 438.0169, 5151.356, 582.677, 1270.562, 931.6133, 4089.652, 4.357291e-05, 1164.298, 0.0001725098, 1970.875, 1191.438, 2121.729, 2402.795, 842.327, 863.8721, 408.4592, 466.2211, 379.2064, 2963.127, 2874.173, 0.0001615097, 2916.028, 1501.329, 1863.977, 0.0003417175
204.4, 842.4727, 364.3742, 851.3076, 573.8987, 0.008195276, 2806.537, 410.9932, 4954.679, 550.8519, 1403.401, 953.8024, 4161.19, 4.171795e-05, 1195.112, 0.0001653219, 2150.185, 1454.978, 2011.882, 2297.944, 992.4939, 943.9993, 586.5474, 442.7011, 357.6774, 3133.187, 2744.982, 0.0001539925, 2962.29, 1787.858, 2126.662, 0.0003262569
204.5, 802.2454, 348.6345, 806.7653, 610.8818, 0.007842428, 2732.202, 385.6367, 4867.524, 520.7651, 1681.74, 1033.489, 4299.143, 3.994196e-05, 1127.083, 0.0001584335, 2330.263, 1414.679, 1949.906, 2372.762, 949.2271, 896.5622, 585.7017, 483.9639, 337.3707, 3284.104, 2810.982, 0.0001468251, 2830.925, 1955.438, 2174.555, 0.0003114958
204.6, 884.3432, 416.7083, 764.5536, 576.9319, 0.007504772, 2603.823, 361.8446, 4889.541, 492.3216, 1736.905, 984.7009, 4401.25, 3.824157e-05, 1060.423, 0.0001518321, 2210.172, 1835.942, 1976.725, 2605.615, 894.946, 851.5089, 552.5368, 459.5489, 318.2169, 3381.641, 2828.757, 0.0001399913, 2705.384, 1932.248, 2067.171, 0.0002974025
204.7, 842.1166, 398.7078, 724.5505, 544.8688, 0.007181654, 2743.905, 380.7284, 4695.504, 465.4316, 1699.275, 1052.269, 4208.193, 3.661357e-05, 1136.953, 0.0001455058, 2096.27, 1741.058, 2049.386, 2626.586, 843.769, 893.3693, 524.7189, 450.0406, 300.1505, 3334.541, 2701.608, 0.0001334756, 2618.619, 1826.118, 2198.012, 0.0002839469
204.8, 801.9062, 381.485, 686.6405, 514.5876, 0.006872447, 2759.1, 556.7454, 4654.634, 440.0103, 1753.641, 1122.556, 4374.034, 3.505488e-05, 1069.711, 0.000139443, 2198.446, 1766.824, 1948.518, 2511.969, 924.752, 848.4764, 609.4763, 518.9455, 283.1099, 3575.69, 2580.173, 0.0001272631, 2982.465, 1840.904, 2133.145, 0.0002711001
204.9, 951.7386, 365.0061, 715.6199, 485.9893, 0.006576553, 2629.456, 605.7168, 4545.603, 415.9775, 1661.209, 1217.428, 4542.381, 3.356254e-05, 1006.445, 0.0001336329, 2085.148, 1791.263, 1847.639, 2402.354, 1004.126, 805.8394, 574.9652, 492.7657, 267.0367, 3730.342, 2501.585, 0.0001213398, 2850.204, 1999.418, 2058.524, 0.0002588345
205, 959.6285, 349.239, 765.4642, 458.9803, 0.0062934, 2505.905, 568.3467, 4726.625, 469.9424, 1573.649, 1395.129, 4766.765, 3.213374e-05, 1245.073, 0.0001280648, 1977.689, 1858.832, 1751.982, 2470.567, 1149.247, 765.345, 542.4083, 467.9066, 251.876, 3665.155, 2522.794, 0.0001156922, 2933.351, 1970.061, 1956.87, 0.0002471238
205.1, 919.7242, 334.1531, 725.4135, 495.5987, 0.006022437, 2500.995, 671.8372, 4534.348, 444.2747, 1768.631, 1329.269, 4557.674, 3.076576e-05, 1171.435, 0.0001227288, 1975.171, 1894.04, 1661.278, 2506.988, 1188.08, 726.8856, 511.6949, 444.3016, 237.576, 3504.06, 2804.591, 0.0001103075, 2946.351, 1927.105, 2036.091, 0.000235943
205.2, 1000.205, 319.7188, 687.4583, 468.0557, 0.005763141, 2383.479, 630.3878, 4487.915, 420.009, 1970.285, 1266.518, 4614.43, 2.945602e-05, 1102.153, 0.0001176151, 1873.38, 2013.458, 1799.06, 2397.589, 1120.14, 838.493, 562.9616, 421.8874, 894.2072, 3682.421, 2733.121, 0.0001051733, 2931.223, 1899.231, 2067.173, 0.000225268
205.3, 952.4459, 423.4915, 670.4193, 442.0434, 0.005515008, 2271.485, 591.621, 4446.413, 397.0687, 2083.781, 1206.73, 4546.317, 2.820203e-05, 1069.334, 0.0001127145, 1776.834, 1988.395, 1960.728, 2292.965, 1056.086, 922.5155, 534.9273, 400.604, 937.1044, 3520.566, 2610.27, 0.0001002782, 2895.615, 1922.379, 1965.092, 0.000215076
205.4, 906.9673, 405.198, 635.3415, 417.4767, 0.005277559, 2164.754, 659.6147, 4682.531, 375.3813, 2122.536, 1149.764, 4373.164, 2.700143e-05, 1006.09, 0.000108018, 1685.265, 1966.661, 1859.217, 2192.906, 995.6939, 895.7803, 531.0629, 380.3943, 1036.682, 3365.826, 2981.416, 9.561087e-05, 2767.206, 1816.791, 1868.052, 0.0002053452
205.5, 863.6604, 440.8805, 602.0991, 394.2754, 0.005050334, 2277.875, 618.9194, 4481.83, 418.1937, 2010.66, 1095.487, 4181.338, 2.585194e-05, 946.587, 0.0001035173, 1721.494, 1865.02, 1828.086, 2097.214, 938.7557, 980.8488, 500.9919, 361.2041, 1144.919, 3217.887, 3206.422, 9.116079e-05, 2644.492, 1717.002, 2224.369, 0.0001960546
205.6, 822.4213, 421.8359, 570.5959, 372.3634, 0.004832891, 2170.844, 580.7347, 4289.731, 395.3525, 1904.681, 1043.772, 4030.387, 2.475139e-05, 1010.223, 9.920404e-05, 1632.776, 1838.093, 1916.05, 2005.697, 885.0734, 1053.789, 472.6237, 342.982, 1079.917, 3076.451, 3062.297, 8.691783e-05, 2527.219, 1716.32, 2114.525, 0.0001871843
205.7, 783.1514, 447.7607, 540.7411, 351.6693, 0.004624811, 2068.841, 544.9059, 4456.641, 373.7588, 1813.24, 1012.764, 3874.792, 2.369769e-05, 950.475, 9.507054e-05, 1548.63, 1743.098, 1826.173, 1918.174, 834.461, 1000.835, 445.8618, 325.6792, 1139.496, 2941.231, 3004.952, 8.287235e-05, 2556.087, 1622.05, 2010.106, 0.0001787154
205.8, 745.7565, 428.4189, 512.4484, 332.1252, 0.00442569, 1971.631, 511.2876, 4384.816, 353.3446, 1764.267, 964.9543, 3704.826, 2.268884e-05, 894.261, 9.110927e-05, 1468.821, 1653.011, 1828.736, 1894.789, 786.7428, 950.5416, 420.6153, 309.2493, 1074.802, 2811.954, 2947.251, 7.901516e-05, 2442.735, 1532.958, 2118.698, 0.0001706296
205.9, 710.1473, 409.9126, 679.0201, 339.1067, 0.004235141, 1998.561, 479.7434, 4196.875, 334.0454, 1671.275, 1164.383, 3633.524, 2.172295e-05, 841.3716, 8.731305e-05, 1393.124, 1683.833, 1734.058, 1975.933, 741.7534, 1023.455, 396.7983, 293.6483, 1013.782, 2897.422, 3065.802, 7.53375e-05, 2334.409, 1679.506, 2090.553, 0.0001629097
206, 676.2383, 913.8177, 694.5325, 320.2607, 0.004052797, 1904.654, 450.1453, 4226.833, 315.8003, 1583.184, 1178.656, 3838.311, 2.079817e-05, 791.6104, 8.3675e-05, 1321.329, 1596.81, 1703.644, 1889.709, 699.3366, 1082.286, 374.33, 278.8343, 956.2255, 2881.141, 2927.998, 7.183101e-05, 2286.896, 1587.258, 1987.317, 0.000155539
206.1, 643.9485, 958.1472, 658.1931, 408.1044, 0.003878304, 1815.159, 444.091, 4066.06, 298.5517, 1499.736, 1237.872, 3669.946, 1.991276e-05, 1053.044, 8.018855e-05, 1307.473, 1514.284, 1615.442, 1807.247, 659.3454, 1027.9, 353.1339, 264.7676, 1084.929, 2754.506, 3249.185, 6.848773e-05, 2185.481, 1500.076, 2302.554, 0.0001485019
206.2, 613.2006, 916.7584, 623.7551, 398.987, 0.003711323, 1729.869, 416.6926, 3952.911, 417.6548, 1547.268, 1293.51, 3619.798, 1.906505e-05, 990.7638, 7.684735e-05, 1314.857, 1436.023, 1531.806, 1821.766, 621.6411, 976.2465, 333.138, 251.4106, 1023.334, 2645.104, 3137.099, 6.530005e-05, 2088.563, 1417.683, 2188.849, 0.0001417831
206.3, 583.9208, 918.6696, 591.1188, 376.8132, 0.003551532, 1648.587, 481.7032, 3889.793, 394.843, 1465.713, 1284.798, 3507.066, 1.825342e-05, 932.167, 7.364538e-05, 1247.095, 1569.863, 1452.501, 1742.269, 586.0929, 1041.051, 314.2743, 238.7274, 1159.981, 2752.731, 2996.09, 6.226075e-05, 2105.65, 1494.291, 2080.76, 0.0001353683
206.4, 556.0391, 878.9861, 583.2907, 355.8718, 0.003398621, 1571.124, 506.6141, 3899.884, 373.2772, 1388.457, 1224.146, 3453.845, 1.747635e-05, 877.0358, 7.057682e-05, 1182.826, 1491.787, 1457.041, 1666.241, 552.5775, 1024.935, 311.9954, 226.684, 1094.125, 2631.74, 3042.771, 5.93629e-05, 2012.272, 1412.216, 2226.763, 0.0001292437
206.5, 529.4886, 941.4608, 552.7717, 336.0941, 0.003252293, 1497.301, 475.3582, 4080.933, 554.8555, 1315.273, 1166.358, 3302.345, 1.673235e-05, 996.0408, 6.763612e-05, 1121.868, 1573.781, 1381.607, 1593.531, 520.9787, 1014.561, 294.3289, 247.9441, 1032.007, 2550.165, 3196.612, 5.659993e-05, 1923.036, 1334.649, 2142, 0.0001233962
206.6, 504.206, 1020.97, 559.2899, 317.4156, 0.003112265, 1426.946, 446.0307, 4135.571, 524.55, 1265.032, 1111.298, 3214.18, 1.602003e-05, 937.1319, 6.481794e-05, 1064.052, 1604.561, 1310.078, 1523.993, 491.1868, 963.5785, 277.6628, 248.9793, 973.4161, 2547.95, 3102.825, 5.396556e-05, 1837.757, 1353.788, 2036.224, 0.0001178133
