 , C001, C003, C004, C006, C007, C008, C011, C013, C016, C022, C025, C026, C027, C029, C035, C038, C039, C054, C055, C058, C060, C065, C069, C083, C084, C090, C102, C105, C107, C117, C118, C119, C120, C121, C124
Time(s)/Cell Status, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted
516.3, 612.0958, 445.1166, 1051.843, 112.3329, 795.0649, 934.2122, 664.4695, 696.8596, 458.7233, 376.0072, 494.8424, 992.4684, 1022.595, 534.0199, 695.2644, 1150.704, 239.8915, 472.2542, 603.4937, 707.0848, 370.0194, 983.1744, 1045.194, 1157.966, 1059.699, 596.5707, 879.2355, 1594.159, 632.497, 903.5902, 2494.715, 1442.035, 1752.263, 1392.188, 1017.853
516.4, 684.2164, 421.8905, 1001.443, 107.3937, 805.3576, 1021.836, 677.116, 663.8503, 437.0229, 355.3156, 469.6087, 950.4024, 974.8587, 529.6585, 665.3215, 1246.443, 229.8379, 448.1176, 577.9605, 720.8867, 351.5207, 941.7437, 1000.14, 1107.581, 1093.755, 565.2942, 840.928, 1670.336, 605.5445, 887.1469, 2609.353, 1431.467, 1693.703, 1375.094, 1047.613
516.5, 650.2218, 437.2096, 953.458, 102.6716, 770.5226, 1081.298, 725.5233, 747.6967, 416.3492, 335.7627, 445.6618, 987.0765, 929.3511, 504.6356, 801.5762, 1181.301, 220.2056, 580.4222, 553.5076, 846.0506, 333.9468, 1024.652, 957.028, 1211.846, 1045.564, 762.688, 804.2896, 1598.195, 579.7405, 1025.238, 2566.93, 1591.079, 1807.891, 1510.443, 1036.503
516.6, 773.2728, 414.3961, 907.7723, 98.15714, 737.1945, 1198.04, 757.7775, 926.9695, 434.5922, 317.2858, 492.2653, 1179.23, 885.9679, 480.7949, 767.0549, 1332.605, 210.9769, 550.7572, 530.0893, 843.5288, 317.2515, 1048.713, 943.3261, 1172.425, 1073.698, 750.9504, 769.2475, 1529.17, 609.4745, 1076.567, 2532.376, 1788.889, 2170.459, 1468.265, 1069.262
516.7, 794.4783, 416.1028, 864.2758, 93.84119, 705.3079, 1147.693, 787.4929, 883.0601, 414.0334, 299.8257, 467.1631, 1203.703, 844.6098, 458.0805, 768.6423, 1385.944, 202.1351, 576.6689, 507.6618, 807.6765, 301.3908, 1004.521, 902.6633, 1121.411, 1159.626, 753.2362, 735.7321, 1463.126, 583.5031, 1279.95, 2424.932, 1988.333, 2251.739, 1427.766, 1023.411
516.8, 787.1279, 430.4589, 822.8633, 89.715, 674.8005, 1093.765, 746.5853, 841.2307, 503.2842, 283.3264, 443.3408, 1207.04, 895.137, 436.4392, 800.9458, 1313.512, 193.6638, 547.1957, 486.1831, 855.9634, 286.3231, 962.1902, 913.9716, 1072.618, 1108.532, 770.3383, 729.9742, 1399.935, 582.7682, 1387.964, 2425.548, 2198.554, 2251.965, 1494.356, 1077.349
516.9, 835.452, 407.9976, 849.5195, 85.77026, 806.3914, 1080.675, 707.8028, 846.3489, 479.4759, 267.735, 420.7334, 1228.025, 853.351, 415.8204, 766.4516, 1293.859, 185.5475, 519.2288, 465.6133, 819.5826, 272.0087, 1009.93, 981.7273, 1085.909, 1135.638, 729.9517, 710.2822, 1463.016, 563.5192, 1324.466, 2384.822, 2261.057, 2370.752, 1461.953, 1129.486
517, 793.9434, 454.7247, 821.1276, 81.99895, 779.7404, 1125.946, 778.2862, 806.2585, 456.7938, 336.1916, 551.7546, 1175.975, 954.2477, 482.4892, 733.4429, 1253.39, 177.7714, 574.9796, 531.9064, 784.748, 258.4099, 1009.566, 939.4091, 1088.94, 1085.601, 691.6824, 679.3359, 1399.829, 539.506, 1298.651, 2537.964, 2311.396, 2270.922, 1547.512, 1081.052
517.1, 811.9251, 430.9972, 827.9105, 78.39348, 771.0295, 1151.456, 737.8569, 816.2811, 435.1847, 424.2942, 523.6188, 1135.337, 909.7022, 520.7505, 725.92, 1196.078, 170.3212, 648.4373, 543.0288, 895.4221, 245.491, 1008.057, 952.4427, 1066.113, 1106.932, 709.057, 649.7379, 1411.564, 516.5162, 1327.258, 2588.444, 2348.929, 2219.897, 1699.077, 1034.696
517.2, 799.7308, 408.5078, 799.5817, 74.94653, 796.9058, 1106.212, 699.5277, 871.942, 492.6188, 400.9454, 496.9177, 1087.215, 867.2362, 496.1485, 757.8328, 1204.762, 192.2972, 687.303, 520.0538, 857.3641, 233.2179, 1006.551, 926.106, 1087.505, 1156.315, 797.6758, 671.1438, 1383, 495.3158, 1376.119, 2540.446, 2298.823, 2195.93, 1929.722, 1141.093
517.3, 789.6898, 433.4843, 795.7701, 71.65115, 801.3818, 1067.699, 691.0064, 881.8824, 469.315, 378.8815, 471.5782, 1073.357, 897.9219, 472.7088, 725.1953, 1141.799, 184.2382, 652.1754, 498.0509, 876.4864, 221.5584, 1019.422, 975.2015, 1149.934, 1119.993, 769.8783, 719.6978, 1430.819, 555.8156, 1313.163, 2506.942, 2244.014, 2214.622, 1855.13, 1092.161
517.4, 750.4549, 410.8651, 757.6402, 68.50066, 766.7189, 1066.081, 655.111, 840.1088, 447.1136, 358.0318, 447.5308, 1027.862, 883.6588, 450.3764, 693.9634, 1082.125, 176.517, 618.843, 548.3712, 857.9687, 210.4818, 996.1219, 954.0986, 1153.419, 1100.132, 729.5157, 769.8798, 1404.273, 546.7761, 1296.363, 2561.59, 2194.488, 2226.865, 1869.987, 1094.53
517.5, 809.0294, 389.4262, 811.9196, 65.48869, 733.5552, 1010.839, 621.0802, 800.314, 425.9624, 338.3294, 424.7097, 1114.527, 905.8299, 478.8494, 664.0766, 1025.571, 169.1193, 587.2143, 585.5091, 873.103, 199.959, 979.8717, 914.2083, 1117.514, 1142.373, 726.1428, 773.8589, 1343.624, 553.4224, 1289.835, 2452.907, 2165.435, 2133.094, 1779.701, 1130.279
517.6, 768.8336, 369.106, 782.4895, 62.60917, 701.826, 1015.86, 588.8172, 897.2226, 462.682, 319.7112, 403.0523, 1067.288, 924.7393, 456.2269, 635.4769, 1000.118, 162.0317, 557.2021, 560.7368, 835.9937, 189.9623, 938.5801, 990.7446, 1068.89, 1097.537, 688.0732, 798.2044, 1301.736, 536.7389, 1316.948, 2348.834, 2072.165, 2096.769, 1790.906, 1183.059
517.7, 730.6349, 349.8461, 772.0208, 59.85625, 727.7541, 997.8755, 558.2302, 862.2158, 462.6185, 302.1176, 430.4551, 1047.342, 881.5713, 434.6732, 608.1089, 1038.657, 173.8762, 528.7238, 621.537, 826.9598, 180.4653, 899.0286, 958.7747, 1063.341, 1123.655, 651.9995, 817.7403, 1245.515, 604.4888, 1256.698, 2358.425, 1982.912, 2149.793, 1704.438, 1132.328
517.8, 694.334, 388.6009, 759.2689, 57.22439, 696.2758, 1070.498, 635.9521, 821.3737, 457.8746, 285.4922, 408.5048, 1002.95, 920.5054, 414.1378, 581.9196, 984.3741, 166.5892, 601.4287, 595.2405, 791.8117, 171.4432, 861.1437, 917.4459, 1083.908, 1074.146, 749.9896, 782.1121, 1320.651, 578.7299, 1277.73, 2291.646, 2113.899, 2083.332, 1745.969, 1083.772
517.9, 659.8367, 368.3237, 774.2135, 54.70824, 766.7115, 1028.969, 688.5345, 782.4663, 436.2144, 404.8259, 439.2102, 960.4401, 877.5351, 475.5859, 661.0751, 978.9639, 159.6076, 570.69, 670.957, 833.4205, 162.872, 904.3248, 899.2149, 1088.494, 1026.819, 710.6698, 748.0363, 1275.385, 566.7905, 1219.275, 2384.118, 2122.928, 2067.657, 1759.2, 1037.299
518, 627.0534, 349.1046, 737.1165, 52.30273, 733.5482, 1034.285, 652.7675, 776.4027, 415.5789, 382.5484, 416.8134, 919.7316, 917.0811, 453.1176, 632.6047, 936.9108, 152.9186, 588.9659, 642.5696, 816.114, 250.6571, 905.6812, 891.5666, 1103.72, 1080.547, 673.4114, 749.714, 1323.85, 622.2247, 1305.499, 2368.542, 2112.01, 2035.485, 1722.429, 992.8179
518.1, 790.5303, 433.509, 701.7969, 50.00299, 790.3831, 1056.379, 618.8584, 866.4182, 494.7304, 361.4969, 436.1647, 945.3038, 874.2706, 431.7108, 605.3604, 1103.825, 146.5099, 558.8642, 615.3832, 781.4269, 259.7229, 868.8323, 908.4763, 1055.696, 1065.427, 638.1063, 806.088, 1401.733, 649.1019, 1269.362, 2268.049, 2021.041, 2009.817, 1639.268, 1073.255
518.2, 769.1228, 410.8885, 684.6923, 47.80437, 756.1958, 1001.639, 586.7108, 950.4451, 471.3267, 341.6039, 509.7578, 969.9365, 883.9379, 430.1411, 579.2894, 1071.666, 140.3698, 530.301, 589.347, 831.5488, 246.7384, 832.22, 935.1654, 1073.709, 1095.847, 604.6522, 793.0151, 1425.102, 678.6478, 1367.386, 2254.793, 1998.914, 2133.359, 1630.005, 1078.353
518.3, 730.9097, 389.4484, 680.0673, 45.70242, 723.4873, 1058.885, 598.6038, 905.4237, 469.2861, 383.7853, 483.7635, 928.8256, 970.0886, 460.1911, 671.1489, 1015.659, 134.4871, 720.5698, 655.0547, 919.311, 267.732, 928.2855, 894.8543, 1105.658, 1047.563, 703.7029, 758.4642, 1363.553, 649.7287, 1414.736, 2381.779, 2147.475, 2088.686, 1763.306, 1141.794
518.4, 694.5952, 369.127, 662.8056, 43.6929, 718.9991, 1133.576, 567.5084, 862.535, 548.9242, 472.7877, 531.5901, 889.4571, 924.8036, 438.4501, 642.2446, 1022.349, 128.8508, 695.6462, 686.5598, 950.889, 254.347, 898.1208, 856.2809, 1080.487, 1040.706, 666.8098, 725.4186, 1370.691, 622.0419, 1350.013, 2482.413, 2169.917, 2040.772, 1763.547, 1146.029
518.5, 771.2646, 349.866, 666.6672, 41.77173, 884.8411, 1074.836, 538.0283, 821.6778, 604.1606, 456.8164, 504.4825, 908.6982, 881.6327, 417.7362, 667.1808, 1054.279, 123.4508, 660.0921, 680.1855, 926.7938, 281.8669, 935.3105, 1032.221, 1033.474, 1243.82, 631.8508, 903.1023, 1311.491, 595.535, 1377.011, 2386.372, 2076.454, 2167.059, 1678.401, 1254.267
518.6, 789.1171, 331.61, 652.0934, 39.93503, 846.5681, 1019.14, 510.0795, 782.756, 575.5801, 465.6355, 478.7572, 947.0862, 1019.803, 398.0009, 658.8329, 1100.192, 160.8964, 626.3552, 651.4077, 921.5215, 267.7753, 895.8968, 991.5228, 988.5068, 1210.706, 598.7247, 863.755, 1384.215, 667.482, 1342.964, 2385.439, 2077.982, 2129.84, 1597.365, 1260.74
518.7, 749.9106, 404.6078, 620.8479, 38.1791, 809.9506, 1045.781, 508.1371, 775.7269, 575.5907, 463.8627, 454.3438, 947.7906, 972.1969, 423.6312, 635.3339, 1103.205, 216.8685, 594.3425, 688.8663, 929.8032, 254.3881, 858.1439, 984.9843, 1048.493, 1157.362, 567.3352, 826.122, 1443.579, 639.0387, 1281.525, 2334.412, 1988.479, 2096.774, 1520.242, 1206.678
