 , C002, C003, C004, C005, C006, C007, C011, C012, C013, C014, C015, C017, C018, C019, C020, C021, C022, C025, C026, C027, C029, C030, C031, C033, C035, C038, C040, C045, C050, C051, C055, C056, C059, C065, C066, C067, C069, C076, C079, C081, C087, C088, C089, C094, C095, C096, C097, C099, C107, C108, C111, C112, C123, C124, C129, C133
Time(s)/Cell Status, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted
293.6, 1842.625, 980.6136, 819.4166, 1020.129, 225.023, 304.8791, 255.9994, 365.5436, 6.864854, 1689.813, 2964.969, 985.6758, 1334.986, 736.5712, 442.8764, 655.7821, 2551.211, 1350.766, 613.9761, 1370.01, 2766.486, 831.1676, 1090.153, 1607.029, 1360.415, 851.5132, 581.8708, 1883.419, 543.6519, 0.04607806, 1224.423, 691.1434, 1942.826, 0.1066964, 980.2596, 1903.111, 725.4056, 1865.683, 0.004206249, 785.1989, 668.3282, 1.878838, 324.5198, 602.5682, 5.723729, 1250.273, 2616.333, 964.1376, 1923.966, 592.4703, 2621.989, 1371.012, 1.017614, 0.003997593, 1004.181, 408.64
293.7, 1860.23, 956.6362, 798.4767, 966.1052, 214.0352, 588.548, 243.8455, 421.115, 6.544922, 1645.656, 2841.411, 1029.854, 1319.2, 702.7791, 422.3196, 651.9086, 2491.196, 1293.129, 587.2179, 1685.59, 2766.902, 790.7554, 1271.598, 1630.426, 1385.21, 882.5751, 601.4352, 1820.681, 519.5022, 0.04406218, 1169.626, 722.5836, 1858.731, 0.1020255, 958.0479, 1820.366, 692.4197, 1863.603, 0.004019042, 765.4091, 734.4778, 1.800506, 310.7148, 572.2147, 5.450166, 1340.053, 2505.178, 919.1853, 1890.022, 565.9125, 2626.72, 1311.864, 0.9722787, 0.003827751, 1002.358, 391.6721
293.8, 1776.024, 942.6614, 760.1722, 943.2388, 203.584, 559.0694, 232.2687, 554.8025, 6.2399, 1642.497, 2838.94, 986.9141, 1314.668, 746.4984, 419.0592, 621.5684, 2493.543, 1352.971, 561.6259, 1730.749, 2773.92, 795.1862, 1346.402, 1560.953, 1323.46, 842.9332, 576.5479, 1846.27, 532.5696, 0.0421345, 1157.669, 837.3645, 1883.093, 0.09755909, 996.5418, 1894.075, 660.9337, 1925.295, 0.003840167, 732.8412, 701.3441, 1.72544, 348.4174, 582.2565, 5.189678, 1412.746, 2420.761, 876.3289, 1809.142, 540.5451, 2586.122, 1306.731, 0.928963, 0.003665126, 991.8, 375.4088
293.9, 1787.713, 903.3627, 861.4843, 928.6819, 193.6431, 531.0673, 221.2415, 609.1088, 5.949094, 1666.373, 2746.851, 945.7648, 1258.917, 768.9529, 509.2352, 686.0561, 2379.639, 1295.24, 537.1492, 1653.963, 2784.745, 869.9722, 1369.748, 1586.248, 1286.36, 805.0718, 552.6903, 1908.516, 508.9122, 0.04029115, 1105.86, 807.6539, 1801.584, 0.09328823, 977.5879, 1911.245, 676.1362, 1863.136, 0.003669253, 779.473, 731.525, 1.653504, 333.5957, 552.9261, 4.94164, 1441.072, 2528.293, 835.4706, 1847.493, 516.3149, 2562.118, 1340.03, 0.8875771, 0.00350941, 996.1543, 359.8207
294, 1837.482, 896.6413, 893.3187, 879.501, 184.1876, 504.4677, 210.7378, 623.1358, 5.67184, 1622.164, 2735.506, 906.3313, 1205.53, 826.9393, 485.5982, 730.5914, 2356.205, 1277.461, 513.7392, 1704.58, 2727.036, 827.6733, 1397.439, 1518.658, 1229.017, 768.911, 587.7281, 1944.856, 486.3058, 0.03852845, 1172.606, 936.6718, 1812.097, 0.08920433, 934.3194, 1868.302, 691.5518, 1978.697, 0.003505946, 746.3067, 785.0914, 1.584567, 319.4046, 525.0732, 219.4307, 1588.747, 2473.162, 796.5173, 1768.433, 493.1708, 2550.482, 1321.082, 0.8480349, 0.003360309, 975.2286, 344.8799
294.1, 1754.305, 1003.261, 951.9874, 832.9246, 175.1938, 479.2003, 200.7328, 610.0684, 5.407508, 1570.971, 2729.956, 868.5419, 1212.628, 789.0013, 463.0584, 696.5892, 2294.136, 1390.363, 491.3495, 1668.713, 2811.255, 961.3937, 1359.556, 1453.948, 1227.005, 774.5279, 611.996, 1927.661, 464.7035, 0.03684286, 1120.128, 906.2524, 1845.408, 0.08529921, 892.966, 1862.771, 660.1053, 1942.241, 0.003349907, 714.5516, 825.6804, 1.518504, 337.0293, 498.6234, 208.9431, 1556.147, 2368.09, 759.3802, 1801.204, 471.0641, 2565.291, 1311.621, 0.8102543, 0.003217544, 998.817, 330.5595
294.2, 1674.894, 961.4363, 975.97, 788.8148, 166.6392, 455.1986, 191.2028, 582.3403, 5.155495, 1538.519, 2760.24, 918.0104, 1322.408, 752.8038, 441.5648, 664.1694, 2290.594, 1465.25, 527.0137, 1814.861, 2946.323, 914.6498, 1297.192, 1427.004, 1279.054, 789.6307, 586.6716, 1845.074, 510.1154, 0.03523102, 1069.999, 885.8245, 1858.38, 0.08156504, 954.3649, 1894.527, 630.0887, 1893.207, 0.003200813, 778.9059, 874.057, 1.455195, 379.0029, 473.5059, 198.9568, 1530.996, 2425.787, 723.9745, 1947.014, 449.9484, 2606.619, 1307.073, 0.7741569, 0.003080843, 956.3086, 316.8337
294.3, 1757.532, 1021.662, 1022.777, 813.9382, 158.5023, 432.399, 182.1252, 555.8726, 4.915226, 1581.55, 2822.769, 879.7341, 1316.743, 780.0898, 461.5554, 633.2585, 2329.367, 1531.498, 542.8525, 1734.344, 2959.071, 943.6005, 1332.984, 1435.618, 1295.372, 763.7186, 562.3951, 1924.12, 487.4554, 0.03368969, 1022.114, 881.8323, 1895.523, 0.07799435, 965.8111, 1812.155, 601.4371, 1838.872, 0.003058355, 754.0417, 974.4639, 1.394525, 362.8802, 449.6537, 189.4477, 1466.079, 2362.774, 690.2197, 1888.787, 429.7792, 2629.458, 1250.683, 0.7396677, 0.002949951, 1047.098, 303.6779
294.4, 1761.997, 979.0696, 1026.901, 770.8339, 150.7627, 410.7414, 173.4787, 549.9088, 4.686156, 1555.76, 2723.302, 974.3137, 1286.686, 744.3011, 440.1315, 738.2518, 2389.749, 1574.673, 519.194, 1793.576, 2949.424, 897.7216, 1376.271, 1374.447, 1237.627, 787.0908, 609.4755, 1904.693, 465.8021, 0.03221579, 1079.628, 859.8855, 1932.018, 0.07457998, 955.6321, 1862.312, 615.1558, 1939.445, 0.002922238, 829.5153, 930.504, 1.336385, 347.4433, 508.8793, 180.3932, 1510.283, 2401.085, 658.0387, 1807.961, 410.5141, 2540.073, 1239.948, 0.7067149, 0.00282462, 1125.814, 291.0683
294.5, 1895.291, 938.2531, 977.6381, 752.6483, 143.401, 390.1685, 165.2426, 716.4872, 4.467761, 1656.16, 2729.15, 963.3827, 1320.158, 710.1544, 483.5641, 803.1124, 2302.583, 1605.096, 496.5665, 1749.375, 2926.249, 941.6692, 1350.609, 1407.537, 1236.103, 814.973, 584.2554, 1959.591, 445.1107, 0.03080638, 1031.311, 889.5202, 1909.347, 0.07131507, 913.3354, 1781.341, 638.5194, 1969.081, 0.002792178, 804.2026, 1025.848, 1.280669, 332.6631, 483.2451, 254.9446, 1446.244, 2327.754, 627.358, 1820.092, 392.1126, 2641.333, 1249.325, 0.6752303, 0.002704613, 1156.22, 278.9823
