 , C000, C001, C004, C007, C009, C010, C011, C013, C015, C016, C021, C022, C023, C026, C030, C031, C032, C038, C040, C042, C043, C045, C046, C047, C049, C051, C052, C055, C057, C058, C059, C064, C065, C066, C068, C069, C071, C078, C101
Time(s)/Cell Status, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted
120.6, 574.7522, 175.145, 467.5188, 340.3485, 404.1033, 895.9428, 0.831582, 63.41512, 1268.173, 940.9717, 2148.981, 676.013, 1294.357, 1168.491, 1372.307, 1784.509, 330.0149, 193.4725, 0.00343519, 656.3642, 401.7253, 368.265, 866.0598, 1603.544, 173.3668, 364.465, 1266.714, 306.1936, 1001.932, 731.583, 123.6762, 252.589, 286.4028, 275.5281, 494.8295, 621.2765, 517.0079, 941.587, 2710.062
120.7, 594.5847, 211.5604, 494.7977, 326.0995, 386.7314, 1076.558, 0.795019, 60.80552, 1326.989, 1087.287, 2410.483, 645.9105, 1400.657, 1493.511, 1598.627, 2047.646, 448.9287, 418.6852, 0.003282971, 690.5129, 561.6085, 367.3156, 984.904, 1691.265, 247.3894, 472.6146, 1518.073, 326.6942, 1147.053, 742.9253, 118.5106, 241.8429, 273.3571, 317.8257, 625.0536, 832.9882, 494.0513, 1034.939, 2654.469
120.8, 660.8013, 256.0365, 471.1283, 312.4469, 532.9335, 1198.722, 0.7600635, 58.3033, 1339.313, 1140.644, 2515.781, 617.1484, 1674.842, 1500.132, 1575.701, 2143.781, 430.1106, 400.599, 0.003137497, 867.9312, 625.9321, 490.2515, 1188.707, 1925.694, 302.8639, 629.0945, 1557.576, 321.4077, 1096.499, 808.5481, 159.2951, 231.554, 260.9055, 304.3691, 595.277, 861.5441, 472.114, 1129.286, 2546.396
120.9, 769.741, 311.736, 448.5911, 400.6337, 571.0882, 1145.466, 0.726645, 55.90405, 1348.564, 1213.357, 2999.906, 589.6671, 1603.135, 1632.32, 1703.758, 2208.871, 412.0814, 383.2941, 0.00299847, 980.0534, 599.3467, 627.9567, 1211.399, 1847.532, 289.5594, 716.9444, 1778.993, 404.1582, 1107.511, 1003.146, 165.3239, 238.0286, 327.7026, 353.5016, 566.9188, 956.918, 530.3547, 1080.985, 2442.724
121, 736.4163, 298.2347, 427.132, 395.2892, 658.5538, 1272.384, 0.6946958, 53.60353, 1286.37, 1322.983, 3184.189, 563.4095, 1775.986, 1678.792, 1765.159, 2415.129, 458.9954, 370.3619, 222.7082, 1060.771, 573.8905, 756.7145, 1351.673, 2091.097, 286.9181, 757.1767, 1706.323, 386.8703, 1058.699, 1052.768, 158.4187, 227.902, 504.6448, 566.1443, 603.2048, 969.9716, 506.8055, 1034.75, 2584.301
121.1, 704.5342, 342.3354, 406.6994, 395.3482, 715.6194, 1468.171, 0.6641514, 51.39768, 1227.045, 1425.174, 3307.704, 538.3212, 1699.949, 1619.012, 1808.362, 2767.712, 589.1787, 605.6367, 444.322, 1017.85, 904.8806, 834.9179, 1434.969, 2129.437, 274.3141, 744.5956, 1984.37, 425.7287, 1141.235, 1037.727, 151.802, 218.2062, 481.6581, 811.3473, 709.2571, 927.7486, 484.3019, 990.4927, 2513.46
121.2, 674.0325, 371.6607, 447.1236, 378.7965, 749.5284, 1471.653, 0.6349499, 49.28261, 1170.455, 1746.011, 3523.829, 714.5634, 1871.826, 1891.54, 2000.125, 2851.424, 564.4817, 579.4746, 525.5663, 1104.697, 919.4096, 800.3632, 1576.682, 2258.491, 262.2638, 904.3525, 2127.792, 403.4701, 1301.168, 1095.38, 145.4616, 355.978, 459.7183, 776.9954, 773.7719, 1026.184, 527.8019, 998.3346, 2615.934
121.3, 644.8513, 486.4359, 683.7528, 362.9378, 739.1899, 1546.892, 0.6070324, 47.25457, 1229.115, 1758.651, 3786.619, 815.6912, 1871.438, 1971.555, 1992.506, 2914.962, 540.8199, 554.4427, 600.8417, 1259.546, 898.7665, 912.3663, 1569.102, 2366.423, 250.7428, 1209.297, 2113.11, 382.3752, 1243.821, 1291.96, 139.386, 399.5323, 546.8927, 744.0978, 736.9105, 981.5137, 504.366, 976.3225, 2578.401
121.4, 616.9335, 465.3685, 651.0444, 394.5323, 893.2663, 1478.168, 0.5803424, 45.30999, 1234.121, 1929.998, 3775.682, 779.3688, 1984.981, 2066.004, 2212.895, 3050.777, 754.6806, 595.9174, 574.2175, 1330.266, 1043.976, 1011.789, 1826.789, 2484.437, 239.728, 1318.489, 2295.42, 362.3833, 1331.946, 1247.789, 133.5642, 420.4014, 585.2858, 712.5932, 701.8051, 1057.404, 481.9707, 963.7084, 2473.426
121.5, 590.2243, 629.4654, 619.9006, 495.0793, 872.6191, 1767.259, 0.5548258, 43.44543, 1177.205, 2003.959, 4082.897, 744.6639, 2191.518, 2283.862, 2368.27, 3240.305, 747.3931, 780.0988, 660.1495, 1460.687, 999.6345, 969.9144, 1968.554, 2454.297, 299.0385, 1388.817, 2438.574, 499.4169, 1494.169, 1318.957, 127.9856, 402.516, 695.038, 894.1447, 780.0798, 1225.448, 460.5699, 995.459, 2372.724
