 , C000, C001, C003, C006, C008, C009, C010, C011, C012, C013, C014, C015, C016, C017, C020, C022, C024, C025, C034, C037, C039, C041, C042, C043, C045, C046, C052, C053, C054, C055, C060, C063, C071, C072, C073, C075, C078, C079, C097
Time(s)/Cell Status, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.1, 0, 75.30283, 0, 0, 0, 0, 61.32159, 0, 0, 0, 33.74989, 0, 0, 0, 0, 88.64801, 59.03601, 0, 0, 0, 0, 0, 0, 0, 0, 2.875305, 0, 0, 0, 0, 0, 144.8829, 0, 11.61212, 0, 0, 284.8882, 129.3734, 0
0.2, 0, 191.1312, 0, 66.01642, 0, 0, 58.46362, 22.46408, 55.37848, 77.70697, 127.4685, 7.629395e-06, 0, 3.051758e-05, 0, 129.6123, 56.28897, -1.907349e-06, 0, 0, 0, 0, 0, 0, 0, 42.97522, 0, 75.09314, 3.051758e-05, 1.389722, 0, 138.4011, 0, 25.10483, 0, 6.103516e-05, 271.1744, 273.0724, 0
0.3, 5.99408, 182.5714, 0, 63.21335, 0, 0, 55.73885, 21.48089, 52.69281, 74.19788, 120.0065, 7.629395e-06, 13.70917, 111.0504, 0, 123.5529, 53.66974, 98.29286, 0, 0, 0, 0, 0, 0, 0, 80.0741, 76.56104, 71.71899, 3.051758e-05, 107.0177, 11.57846, 132.209, 0, 65.71112, 0, 123.353, 429.7074, 261.0906, 0
0.4, 5.706131, 174.3949, 0, 73.60709, 0, 0, 53.14108, 47.6814, 50.13733, 99.69519, 112.9813, 65.08955, 13.116, 106.1355, 0, 190.3754, 51.17239, 94.03305, 0, 0, 3.051758e-05, 3.051758e-05, 0, 1.525879e-05, 0, 76.52917, 73.19241, 159.3903, 83.9202, 102.519, 27.51793, 126.2942, 0, 223.6209, 3.051758e-05, 118.192, 409.0223, 322.1875, 0
0.5, 5.432022, 199.7196, 0, 70.48169, 51.83228, 0, 58.22257, 66.23698, 50.46964, 151.4437, 106.3674, 61.65528, 12.54852, 101.438, 0, 181.4754, 48.79123, 89.95783, 0, -6.103516e-05, 14.55661, 0, 0, 1.525879e-05, 0, 73.14117, 115.2343, 152.2283, 104.4386, 98.20942, 116.3899, 151.6746, 0, 214.109, 0, 113.2468, 389.333, 507.6262, 0
0.6, 5.171082, 190.7751, 0, 67.48898, 158.9038, 0, 170.5883, 128.6253, 48.02203, 177.0939, 115.1813, 58.4022, 91.80301, 96.94849, 0, 256.2012, 46.52087, 123.6204, 0, -3.051758e-05, 13.92963, 3.051758e-05, 0, 1.525879e-05, 0, 69.9032, 203.8835, 145.3881, 98.97913, 94.08099, 130.9355, 160.4716, 0, 205.0017, 0, 108.5086, 370.5914, 676.2413, 0
0.7, 4.922668, 182.2312, 0, 189.918, 151.5767, 0, 232.7482, 135.2373, 45.69315, 169.0967, 118.1328, 55.32077, 87.83096, 121.092, 0, 244.2239, 44.35617, 118.263, 0, -3.051758e-05, 13.32965, 1.525879e-05, 0, 0, 0, 80.75427, 368.679, 289.4827, 93.80501, 90.12611, 125.1834, 153.2922, 0, 196.2818, 1.525879e-05, 103.9688, 352.752, 690.5574, 0
0.8, 82.02113, 174.07, 0, 181.854, 236.4994, 0, 221.9006, 129.3184, 87.5733, 219.5125, 111.2173, 52.40192, 157.3692, 115.7326, 0, 285.172, 42.29221, 113.1377, 0, -3.051758e-05, 12.75552, 0, 0, 0, 0, 190.753, 352.4575, 454.1145, 112.6195, 86.33749, 119.6841, 290.5417, 0, 187.9328, 1.525879e-05, 218.8517, 734.1224, 660.2571, 0
0.9, 78.08098, 166.2743, 0, 174.1324, 225.5944, 0, 211.5587, 123.6585, 83.32629, 287.6639, 104.7066, 49.63707, 150.5604, 120.1345, 0, 271.8403, 40.32425, 108.2345, 0, -6.103516e-05, 12.20612, 0, 0, 0, 0, 182.3083, 336.9498, 433.7094, 106.7323, 82.70812, 114.4263, 277.5432, 0, 260.55, 1.525879e-05, 209.695, 865.9001, 631.2864, 0
1, 74.33012, 199.8379, 0, 166.7386, 215.1923, 0, 201.6987, 130.1401, 108.0562, 307.9333, 104.1707, 47.01811, 228.5849, 174.5648, 0, 259.132, 38.44788, 103.5438, 13.62819, -6.103516e-05, 73.07706, 0, 0, -1.525879e-05, 0, 174.2374, 322.1244, 414.2213, 101.153, 79.23132, 109.3995, 348.183, 0, 260.1996, 1.525879e-05, 200.9214, 953.4674, 738.665, 0
1.1, 96.34404, 190.8882, 0, 159.6588, 205.2698, 60.40784, 192.2983, 124.4442, 102.8158, 403.9424, 98.07248, 44.53732, 229.0784, 166.8387, 0, 247.0176, 36.65884, 232.6679, 12.98341, 76.11002, 126.4209, 0, 0, -1.525879e-05, 0, 166.5238, 307.9513, 395.6088, 95.8652, 75.90068, 167.6788, 332.6057, 0, 296.9667, 1.525879e-05, 336.7715, 907.5698, 760.436, 0
1.2, 91.71584, 230.0488, 0, 214.0579, 195.8049, 57.59791, 183.336, 118.9977, 170.1765, 385.7014, 155.3757, 42.18743, 291.0479, 159.4547, 0, 333.0538, 34.95306, 222.5845, 79.15147, 72.8277, 120.9757, 0, 0, 0, 0, 159.1517, 294.4018, 497.613, 90.8539, 72.71004, 160.3126, 317.7252, 0, 284.335, 0, 322.6811, 957.8062, 763.5427, 0
1.3, 87.30997, 219.746, 0, 204.9689, 298.7361, 54.91869, 174.7914, 113.7895, 226.0913, 380.2265, 146.28, 60.28754, 278.4553, 152.3974, 0, 317.4837, 33.3266, 212.9382, 75.40666, 69.68692, 125.1402, 1.525879e-05, 0, 1.525879e-05, 0, 152.106, 281.4484, 475.2534, 86.10454, 69.65353, 289.2224, 329.5182, 0, 371.302, 0, 309.1803, 941.4109, 1011.009, 0
1.4, 83.11577, 238.517, 0, 341.4161, 328.8764, 52.36409, 166.645, 108.8093, 215.1266, 454.7146, 182.3428, 85.97411, 313.6823, 145.6525, 0, 302.6414, 31.77588, 203.7098, 71.83903, 66.68161, 157.0554, 1.525879e-05, 0, 1.525879e-05, 0, 145.3723, 269.065, 537.1653, 81.60347, 66.72551, 276.5168, 362.0871, 0, 355.5083, 0, 296.2443, 1109.608, 1072.134, 0
1.5, 79.12304, 227.835, 0, 383.0117, 388.3716, 92.49652, 158.8783, 218.6756, 204.6937, 587.7135, 171.6684, 81.43791, 308.0668, 139.2061, 0, 350.9623, 55.06845, 194.8815, 68.44019, 63.80588, 150.2907, 1.525879e-05, 1.525879e-05, 0, 0, 412.1407, 257.2264, 654.993, 77.33769, 63.92057, 388.0159, 345.8877, 0, 340.3865, 108.0455, 283.8496, 1200.211, 1040.096, 0
1.6, 75.32211, 289.3633, 0, 432.5962, 370.4638, 218.3295, 151.4736, 209.1048, 309.3266, 561.1738, 161.6189, 77.14106, 367.49, 133.045, 0, 357.3282, 52.50598, 186.4357, 65.20215, 102.4059, 143.8174, 1.525879e-05, 1.525879e-05, 0, 0, 393.8951, 245.9088, 691.1586, 241.0784, 61.23355, 370.9702, 391.7687, 0, 325.9078, 311.6646, 271.9734, 1142.436, 994.4586, 0
1.7, 253.2969, 276.4042, 0, 414.228, 353.3818, 212.0354, 144.414, 256.1838, 294.3253, 535.8325, 152.1577, 73.07092, 547.2568, 152.1658, 0, 460.6252, 50.06277, 178.3559, 62.11731, 145.1834, 137.6229, 1.525879e-05, 1.525879e-05, 0, 0, 445.304, 235.0891, 660.1023, 298.9701, 58.65948, 354.6734, 374.2413, 0, 390.1241, 442.0778, 260.5941, 1087.442, 1081.747, 0
1.8, 241.1289, 264.0254, 0, 460.2219, 415.817, 202.1724, 137.6834, 244.9714, 280.0515, 549.0295, 143.2504, 69.21553, 523.5789, 235.6747, 0, 439.0912, 47.73328, 170.6263, 59.17842, 138.9222, 131.6953, 1.525879e-05, 119.7077, 0, 0, 425.5903, 224.7454, 630.4415, 339.1328, 56.19361, 339.0925, 357.498, 0, 373.5298, 421.5304, 249.691, 1035.095, 1179.011, 0
1.9, 229.5455, 330.6205, 0, 440.6807, 396.6438, 192.7682, 131.2665, 234.2498, 337.1833, 524.2367, 134.8645, 65.56355, 500.9253, 249.6167, 0, 418.5639, 105.1687, 163.2317, 56.37858, 132.931, 172.3588, 1.525879e-05, 114.3279, 0, 0, 406.7492, 214.8569, 804.2466, 321.4048, 53.8314, 390.2752, 359.2858, 0, 357.6414, 401.938, 239.244, 985.2679, 1274.435, 0
2, 218.5186, 315.8136, 0, 421.9692, 403.2374, 183.8014, 125.1487, 223.9974, 354.5033, 500.5634, 126.9695, 90.24298, 479.252, 238.5689, 0, 398.9962, 100.275, 156.1575, 53.7112, 127.1982, 164.935, 1.525879e-05, 109.1898, -7.629395e-06, 0, 388.7423, 205.4034, 778.1214, 304.6035, 51.56849, 373.1302, 381.7083, 0, 455.4012, 383.2563, 333.2987, 1242.589, 1218.515, 0
