 , C000, C001, C002, C003, C004, C005, C006, C007, C008, C009, C010, C012, C013, C014, C016, C017, C018, C019, C022, C024, C027, C031, C032, C033, C037, C041, C043, C047, C050, C051, C052, C054, C055, C057, C059, C060, C061, C068, C069, C071, C072, C075, C076, C080, C084, C086, C092, C098
Time(s)/Cell Status, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted
46.9, 173.5683, 508.9479, 442.8936, 598.2932, 69.86371, 23.58898, 266.7186, 212.8134, 407.1511, 101.2581, 462.9713, 285.7787, 520.9924, 170.372, 176.8484, 5.349947, 19.74125, 557.4559, 349.0886, 291.1943, 268.5706, 192.7568, 1068.81, 27.27514, 73.45393, 357.6064, 151.9236, 759.1397, 242.5005, 598.5013, 449.6712, 520.7527, 122.8796, 395.4386, 7.913361, 8.386792, 1131.556, 289.7752, 771.7629, 435.304, 101.5124, 713.7131, 409.4668, 875.4744, 935.1754, 1186.036, 1544.356, 258.6339
47, 163.459, 485.1592, 413.5476, 557.8896, 66.0422, 22.33603, 254.1408, 265.3498, 425.5886, 95.77695, 438.3637, 267.4623, 493.3844, 161.2347, 166.5735, 5.057554, 18.59838, 521.5974, 332.1508, 278.1305, 251.0841, 181.3995, 1083.56, 26.07986, 68.7219, 340.2538, 145.6855, 720.1425, 230.8496, 582.3856, 427.4367, 682.6874, 117.0542, 378.5909, 7.441992, 7.883217, 1088.201, 277.0165, 739.2718, 410.2642, 96.75784, 680.0417, 390.4519, 824.6254, 886.7943, 1124.665, 1546.187, 246.4307
47.1, 244.1569, 462.4824, 386.1461, 520.2145, 62.42972, 21.14964, 242.1561, 331.9784, 402.1488, 90.59247, 464.9275, 250.32, 637.1378, 152.5874, 156.8957, 4.781142, 17.52167, 488.0454, 316.0348, 265.6527, 234.7362, 170.7113, 1031.961, 24.93697, 64.29472, 323.7433, 139.7034, 683.1485, 219.7584, 605.2333, 543.4653, 648.2142, 111.505, 362.461, 6.998701, 7.409879, 1020.282, 264.8196, 766.8323, 517.7884, 92.22599, 647.959, 405.377, 776.7298, 891.8595, 1111.828, 1587.361, 384.1245
47.2, 277.2209, 440.8655, 360.5602, 485.0836, 59.01484, 20.02627, 291.1566, 322.9379, 380.0001, 85.68862, 545.0839, 381.0779, 710.4029, 144.4039, 147.7801, 4.519836, 16.5073, 456.6516, 486.1654, 253.7348, 219.4526, 160.6528, 1156.242, 23.84416, 60.15274, 308.0339, 133.967, 648.0549, 209.2001, 574.5983, 516.5931, 678.7481, 106.2188, 347.0183, 6.581815, 6.964962, 956.6017, 253.1597, 734.5488, 631.9452, 171.5432, 617.3898, 386.5521, 731.6161, 845.7192, 1114.066, 1643.959, 366.0002
47.3, 261.0744, 420.259, 381.9708, 452.3252, 55.78676, 18.96256, 382.6289, 1294.421, 411.3673, 81.05022, 570.8636, 356.6536, 672.7578, 136.6593, 192.5806, 4.272811, 15.55165, 427.2773, 582.8577, 242.3515, 205.1642, 151.187, 1166.426, 22.79925, 56.27759, 293.0868, 128.4662, 614.7642, 199.1491, 700.0484, 696.965, 736.0443, 101.1832, 438.9423, 6.189762, 6.546759, 923.107, 242.0132, 703.6244, 595.5941, 163.5087, 588.2628, 390.7934, 689.1226, 801.9661, 1205.401, 1869.531, 348.731
47.4, 245.8684, 400.6156, 389.9052, 421.779, 52.73525, 17.95536, 412.8054, 1570.446, 388.7108, 76.6629, 540.5214, 333.7947, 647.6773, 129.33, 181.3918, 4.039288, 14.65132, 399.7925, 634.6995, 231.4789, 330.7039, 142.279, 1175.766, 21.80012, 52.65209, 452.8394, 123.1912, 583.1835, 189.581, 664.6143, 680.8759, 698.8768, 96.38638, 420.2411, 5.821061, 6.153666, 953.3896, 231.3574, 674.0019, 561.3339, 223.791, 560.5099, 535.7936, 649.0972, 853.6484, 1143.028, 1770.543, 397.3187
47.5, 231.548, 381.8904, 364.0702, 393.2957, 49.85065, 17.00165, 393.3384, 1686.28, 610.0464, 72.51308, 595.6996, 396.7961, 621.6637, 122.3938, 170.853, 3.818527, 13.80312, 374.0757, 648.1307, 256.9945, 964.6013, 133.8958, 1119.777, 20.84478, 49.26015, 611.472, 118.1328, 553.2252, 180.4726, 630.9736, 752.9539, 663.5862, 91.81694, 402.3366, 5.474323, 5.784177, 893.8846, 221.1709, 645.6265, 529.0445, 371.7787, 534.0663, 510.9124, 611.3966, 809.485, 1137.244, 1704.373, 378.5718
47.6, 218.0618, 364.0405, 339.947, 366.7358, 47.12385, 114.5938, 374.7895, 1684.22, 576.4475, 175.5819, 564.0374, 399.3968, 588.721, 115.8296, 160.9265, 3.609831, 13.00402, 350.0131, 616.6833, 372.4221, 901.7967, 126.0066, 1125.002, 19.9313, 46.08672, 673.0679, 113.2822, 524.8058, 171.8018, 774.8123, 715.7232, 630.0776, 199.5978, 385.195, 5.148238, 5.436873, 838.0934, 211.4328, 618.4457, 498.6125, 354.3657, 508.8703, 513.8541, 575.8857, 911.45, 1171.333, 2006.65, 360.7095
47.7, 205.361, 347.0249, 317.4222, 341.9696, 44.5462, 121.5628, 357.1153, 1593.002, 544.699, 230.6795, 534.058, 373.7984, 557.524, 109.6175, 151.5767, 3.412542, 12.25119, 327.4984, 586.7618, 587.0801, 979.7154, 118.5822, 1258.937, 19.05786, 43.11773, 669.8259, 108.6306, 497.8464, 163.5476, 797.1246, 680.3335, 598.261, 190.1353, 368.7837, 4.841577, 5.110423, 785.7845, 202.1235, 592.4093, 780.2332, 337.7682, 484.863, 489.9916, 542.4373, 864.2962, 1110.722, 2515.745, 343.69
47.8, 193.3999, 330.8046, 296.39, 318.8759, 42.10954, 115.1059, 340.2746, 1506.724, 514.6992, 218.1926, 505.6721, 349.8407, 588.6609, 103.7385, 142.7701, 3.226035, 11.54194, 306.4319, 675.513, 560.742, 915.9268, 111.5952, 1198.987, 18.22269, 40.34001, 637.3231, 104.1701, 671.1208, 155.69, 756.7767, 646.6937, 568.0511, 181.1215, 353.0716, 4.553183, 4.803573, 759.7847, 193.2241, 635.5402, 735.3521, 361.797, 461.9883, 479.1575, 510.9317, 819.582, 1053.247, 2408.839, 327.4735
