 , C000, C001, C002, C003, C004, C005, C006, C007, C008, C009, C010, C011, C012, C013, C015, C016, C017, C019, C020, C022, C023, C024, C025, C026, C027, C028, C029, C036, C037, C038, C040, C044, C046, C047, C048, C049, C050, C052, C053, C055, C057, C060, C061, C062, C063, C067, C068, C069, C070, C071, C072, C073, C075, C076, C079, C080, C083, C093, C095, C096, C097, C105
Time(s)/Cell Status, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted
131.4, 264.7943, 86.22311, 94.52017, 155.4957, 0.03908458, 1710.265, 610.4048, 578.1735, 1114.244, 436.2531, 1032.374, 1053.16, 216.7561, 1.286151, 770.8704, 1045.223, 512.7088, 189.7026, 257.4556, 7.378598, 131.5261, 336.9884, 2178.117, 3713.267, 2369.935, 32.8721, 1266.974, 3071.091, 1848.32, 234.4507, 1944.339, 2453.166, 1181.225, 2044.368, 275.4364, 48.42595, 315.6635, 2235.382, 1732.718, 509.921, 2251.87, 1853.591, 2462.976, 675.5631, 693.277, 214.6479, 1178.304, 379.3051, 2541.847, 5401.509, 1662.956, 806.7867, 2807.591, 3399.629, 2725.907, 1146.955, 3311.12, 1965.136, 543.5983, 2743.802, 2539.083, 1368.62
131.5, 253.1769, 82.16122, 89.71839, 147.7281, 0.03720097, 1636.096, 579.2797, 569.8929, 1311.343, 416.2022, 987.7054, 1166.721, 207.0979, 1.227295, 732.2115, 1034.029, 563.9648, 180.9863, 245.529, 7.052098, 125.475, 321.9339, 2207.051, 3632.789, 2438.885, 31.40642, 1300.443, 3173.936, 2016.647, 273.5943, 2004.724, 2440.125, 1131.331, 2182.035, 262.0735, 46.31837, 352.2702, 2280.307, 1771.151, 572.2592, 2262.448, 1771.363, 2462.794, 645.8552, 664.2004, 204.1418, 1119.676, 430.7703, 2516.329, 5446.115, 1740.046, 836.6117, 2801.362, 3371.607, 2727.29, 1177.325, 3216.21, 1924.55, 520.1309, 2814.89, 2557.66, 1393.76
131.6, 242.0692, 78.29068, 85.16055, 140.3485, 205.6756, 1565.143, 549.7417, 545.9323, 1567.175, 397.0728, 1023.643, 1104.984, 197.8701, 1.171132, 755.5009, 988.192, 536.3328, 172.6705, 234.1549, 6.740046, 119.7023, 307.5519, 2108.438, 3662.724, 2336.842, 30.0061, 1308.569, 3044.971, 2075.128, 280.0125, 1914.281, 2394.574, 1083.545, 2272.813, 249.3588, 44.30251, 334.8712, 2420.095, 1684.965, 544.1334, 2288.678, 1692.783, 2584.368, 617.4536, 636.3433, 194.15, 1214.955, 519.1937, 2517.375, 5613.978, 1666.622, 799.4182, 2820.044, 3365.741, 2736.132, 1231.864, 3221.431, 1912.848, 497.6765, 2753.911, 2719.581, 1334.45
131.7, 310.6484, 74.60248, 80.83426, 133.3376, 252.473, 1539.188, 521.7098, 550.339, 2000.797, 378.8227, 979.352, 1089.897, 189.0535, 1.117539, 717.6127, 981.1568, 510.0547, 164.7368, 223.3077, 6.441802, 114.1952, 293.8124, 2105.986, 3574.367, 2239.069, 28.66821, 1241.099, 3172.007, 1975.543, 267.0688, 1957.105, 2291.637, 1037.778, 2179.406, 365.8878, 42.37438, 318.3315, 2414.979, 1712.621, 517.39, 2358.094, 1617.689, 2961.565, 773.2632, 609.6545, 184.6472, 1299.631, 496.3917, 2549.939, 5622.502, 1903.922, 763.8781, 2990.878, 3476.326, 2701.748, 1269.596, 3168.661, 1918.207, 476.1915, 2846.774, 2645.531, 1277.664
131.8, 297.0193, 71.08803, 111.5412, 126.6769, 240.3055, 1586.285, 626.568, 609.062, 1912.71, 361.4114, 1036.557, 1032.226, 180.6297, 1.066399, 681.6247, 937.6639, 485.064, 157.1676, 212.963, 6.156755, 108.9415, 280.6868, 2176.269, 3483.156, 2247.404, 27.38998, 1237.948, 3176.586, 1880.737, 459.2451, 1951.3, 2277.309, 1083.472, 2089.837, 348.1365, 40.53017, 302.6087, 2311.211, 1729.023, 491.9609, 2414.151, 1724.649, 2852.392, 739.2589, 584.0851, 175.6096, 1434.813, 552.2331, 2581.676, 5812.354, 1823.583, 729.9181, 2972.592, 3472.182, 2720.344, 1214.182, 3230.849, 1921.508, 455.634, 2843.05, 2633.734, 1223.294
131.9, 283.988, 67.73914, 161.3563, 120.3489, 228.7244, 1517.493, 594.6187, 662.4304, 1940.605, 344.8004, 991.7071, 1169.979, 172.5813, 1.017599, 647.4414, 896.0989, 461.2978, 149.9463, 203.0975, 5.884322, 103.9295, 268.1475, 2199.354, 3454.517, 2153.373, 26.16874, 1308.436, 3193.198, 1790.48, 438.0164, 2053.676, 2655.286, 1070.935, 2003.95, 331.2465, 38.76622, 287.6625, 2752.431, 1787.855, 467.7817, 2311.559, 1740.372, 3052.279, 706.7499, 559.5881, 167.0143, 1660.583, 527.98, 2474.338, 5636.234, 1777.245, 697.4678, 3012.945, 3647.46, 2723.322, 1187.836, 3359.312, 2128.953, 435.964, 2987.328, 2521.357, 1171.238
132, 271.5285, 64.54801, 198.6301, 114.3371, 240.6725, 1451.683, 588.4017, 634.5791, 1855.167, 328.9528, 1000.194, 1108.07, 164.8914, 0.9710324, 614.9724, 856.3765, 553.5137, 143.0567, 193.689, 5.623943, 99.14803, 256.1683, 2101.084, 3458.311, 2240.281, 25.00195, 1240.973, 3299.228, 1989.421, 417.7689, 1961.025, 2731.042, 1025.7, 1921.592, 315.1758, 37.07904, 273.4545, 2634.162, 1700.857, 444.7908, 2293.763, 1663.167, 3075.498, 675.6705, 536.1185, 158.8397, 1698.73, 586.0236, 2471.597, 5810.478, 1738.909, 728.4714, 2912.159, 3708.416, 2702.116, 1135.991, 3317.447, 2034.903, 417.1431, 2941.225, 2525.51, 1121.397
132.1, 259.6157, 61.50721, 188.5394, 108.6255, 296.8575, 1388.728, 641.1047, 607.8988, 1818.566, 313.8336, 956.9177, 1049.437, 157.5443, 0.9265966, 658.3705, 818.4149, 526.3937, 136.4836, 184.7164, 5.375086, 94.58656, 244.7244, 2032.706, 3603.614, 2146.547, 23.88718, 1334.689, 3439.034, 1910.838, 398.4574, 1912.117, 2613.641, 1083.653, 1842.619, 299.8849, 35.4653, 377.8892, 2637.071, 1618.092, 508.0986, 2233.218, 1634.45, 3317.57, 645.9578, 513.6333, 151.0652, 1760.577, 723.8752, 2368.836, 5899.556, 1883.874, 696.0854, 3038.133, 3674.697, 2648.371, 1253.316, 3281.009, 2104.703, 399.1348, 2981.052, 2574.7, 1073.677
132.2, 248.2255, 58.60966, 178.9612, 103.1993, 470.9896, 1328.503, 608.4142, 599.3819, 1864.099, 299.4093, 1029.842, 993.9063, 150.5245, 0.8841943, 625.3535, 892.4949, 500.6025, 130.2126, 176.1594, 5.137241, 90.23495, 233.7916, 1941.883, 3496.274, 2056.736, 22.82212, 1265.873, 3386.211, 1819.137, 380.0386, 1926.217, 2501.286, 1037.881, 1973.856, 285.3358, 33.92178, 502.8539, 2683.971, 1606.569, 483.1263, 2325.076, 1682.3, 3326.568, 617.5517, 492.0911, 143.6712, 1845.498, 703.7705, 2348.854, 5967.257, 1834.369, 665.1393, 3208.922, 3624.486, 2639.73, 1271.027, 3129.371, 2062.149, 381.9039, 2970.628, 2610.331, 1027.988
132.3, 237.335, 55.84862, 169.8697, 98.04408, 448.291, 1270.89, 624.4631, 618.4616, 1782.03, 285.6479, 1009.967, 941.314, 143.8174, 0.8437323, 663.7867, 852.9322, 476.075, 124.2298, 167.9988, 4.909921, 86.08355, 223.3473, 1933.623, 3567.272, 2207.975, 21.80455, 1200.604, 3461.931, 1849.547, 362.4712, 1839.316, 2409.604, 1125.462, 2296.917, 271.4925, 32.44545, 478.0173, 2568.644, 1528.392, 459.3812, 2309.432, 1654.286, 3463.408, 590.3948, 471.4524, 136.6392, 1837.217, 729.2692, 2271.785, 6157.87, 2024.597, 698.3721, 3367.511, 3735.732, 2701.503, 1409.17, 3085.663, 2008.673, 365.4169, 2847.939, 2691.851, 1054.077
