 , C000, C001, C002, C003, C004, C005, C006, C007, C008, C009, C010, C011, C012, C013, C015, C016, C017, C019, C020, C022, C023, C024, C025, C026, C027, C028, C029, C036, C037, C038, C040, C044, C046, C047, C048, C049, C050, C052, C053, C055, C057, C060, C061, C062, C063, C067, C068, C069, C070, C071, C072, C073, C075, C076, C079, C080, C083, C093, C095, C096, C097, C105
Time(s)/Cell Status, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.1, 0, 73.74872, 0, 0, 0, 0, 22.97502, 0, 0, 0, 53.71503, 0, 0, 32.29462, 0, 0, 0, 160.2506, 141.9556, 0, 34.53964, 0, 21.13562, 48.44739, 17.3396, 0, 0, 111.1924, 0, 24.28513, 0, 0, 60.28198, 0, 0, 24.67285, 0, 113.8882, 31.2793, 0, 0, 0, 0, 88.09094, 0, 0, 55.65405, 0, 49.63232, 236.7431, 0, 0, 0, 0, 29.75189, 0, 0, 0, 159.1836, 0, 0, 118.2791
0.2, 41.59946, 70.27448, -1.525879e-05, 130.5382, 14.90829, 0, 54.41983, 0, 0, 0, 105.5201, 0, 6.103516e-05, 30.81677, -0.0001220703, 0, -6.103516e-05, 152.8876, 206.3197, 0, 42.03278, 63.09985, 80.80847, 46.29102, 33.83191, 91.10245, 0, 106.6744, 0, 23.16254, 0, 0, 57.73584, 0, 43.31598, 127.6804, 0, 142.3204, 84.48584, 132.5569, 0, 0, 91.49098, 84.21716, 0, 64.27539, 184.0292, -6.103516e-05, 79.18848, 227.0513, 0, 0.0001220703, 0, 6.103516e-05, 218.1693, 0, 19.87888, 36.25439, 213.7719, 103.8719, 42.27466, 113.246
0.3, 39.77435, 79.38785, -1.525879e-05, 124.0173, 108.0678, 0, 51.64491, 3.051758e-05, 31.73773, -1.525879e-05, 100.9545, -3.051758e-05, 0.0001220703, 29.40656, -0.0001220703, -6.103516e-05, -6.103516e-05, 179.8173, 303.2519, 0, 65.95975, 60.28101, 91.80908, 139.7268, 65.79077, 87.04044, 0, 102.34, -6.103516e-05, 22.09186, 0, 0, 193.8693, 118.2252, 87.85876, 122.1235, 0, 347.8711, 158.4897, 126.042, 147.0407, 0, 87.53465, 158.4204, -1.525879e-05, 61.12927, 303.0288, -6.103516e-05, 198.1264, 217.7563, 0, 81.37073, 0, 6.103516e-05, 208.4751, 0, 66.18405, 127.0403, 204.5431, 141.9741, 40.47076, 140.0034
0.4, 38.02933, 162.7308, -1.525879e-05, 117.8223, 125.1185, 6.103516e-05, 49.01149, 47.43164, 30.34039, -1.525879e-05, 96.5863, 0, 0.0001831055, 28.06085, -0.0001220703, -6.103516e-05, -6.103516e-05, 256.5049, 289.2038, 0, 62.9252, 57.58801, 140.2457, 133.5077, 114.2861, 83.15955, -7.629395e-06, 175.7261, 27.65863, 21.07065, 7.629395e-06, 0, 225.913, 326.5792, 83.59625, 116.8085, 0, 332.9236, 217.3204, 119.8472, 140.7921, 0, 83.74941, 151.4539, -1.525879e-05, 58.13733, 356.6034, -0.0001220703, 189.8889, 375.2865, 0, 77.75317, 0, 6.103516e-05, 244.7644, 3.051758e-05, 63.12521, 121.428, 195.7129, 197.6063, 216.9642, 267.5981
0.5, 36.36084, 155.0647, 13.50787, 111.9366, 119.0887, 6.103516e-05, 46.51235, 45.43744, 29.00458, 36.94653, 92.40723, 0, 0.0001220703, 26.77679, -0.0001831055, -6.103516e-05, 42.8808, 244.7191, 275.8065, 0, 98.23264, 55.01532, 251.4028, 127.5654, 109.5043, 157.2867, -7.629395e-06, 244.4603, 26.33124, 88.05676, 7.629395e-06, 0, 216.3707, 313.1576, 170.5591, 111.7247, 0, 318.6182, 282.1661, 113.9568, 134.809, -6.103516e-05, 80.12785, 227.7975, -3.051758e-05, 55.29175, 422.4329, -0.0001220703, 181.994, 460.7725, 0, 156.3069, 0, 6.103516e-05, 354.4659, 3.051758e-05, 86.08688, 222.4487, 388.4244, 265.3912, 207.7067, 325.9075
0.6, 34.76559, 177.7852, 42.80054, 106.345, 361.7661, 3.051758e-05, 132.9303, 43.52707, 27.7276, 73.51981, 140.7145, 0, 0.0001831055, 82.26257, -0.0001831055, 0, 52.45184, 292.1454, 423.6193, 0, 93.71329, 110.6585, 273.5231, 152.723, 104.9226, 150.2737, -7.629395e-06, 282.3998, 25.06763, 83.98633, 0, 0, 207.2316, 300.2874, 162.2843, 106.8622, 0, 416.9031, 358.1666, 108.3561, 129.0801, -3.051758e-05, 145.0504, 248.9329, -1.525879e-05, 137.3953, 523.5367, -0.0001220703, 246.416, 441.9093, 0, 203.8477, 192.0493, 9.155273e-05, 456.6595, 3.051758e-05, 189.2654, 263.5756, 601.4786, 289.6617, 280.9395, 361.9601
0.7, 33.2403, 191.8893, 75.60593, 217.2852, 344.3314, 3.051758e-05, 126.152, 76.39944, 141.4924, 70.14072, 134.6261, 0, 0.0001831055, 78.49811, -0.0001831055, 0, 49.88196, 344.2078, 494.5456, 0, 204.2646, 105.715, 261.3019, 145.9254, 236.0903, 143.5735, -7.629395e-06, 417.6384, 46.59546, 80.10403, 7.629395e-06, 0, 198.4784, 510.377, 206.3699, 102.2113, 0, 541.1629, 419.8481, 148.8702, 123.5948, -3.051758e-05, 138.778, 378.9225, -1.525879e-05, 229.7891, 606.6069, 136.8946, 319.6267, 640.324, 0, 295.4712, 387.1224, 9.155273e-05, 466.0049, 3.051758e-05, 180.5182, 366.4963, 720.3176, 388.9316, 337.251, 502.7195
0.8, 31.78195, 213.6184, 97.96329, 282.0878, 327.7369, 3.051758e-05, 119.7194, 108.0398, 135.2631, 102.2702, 204.0027, 0, 173.3702, 176.682, -0.0001220703, 0, 139.0206, 384.7244, 562.6011, -3.051758e-05, 209.8299, 141.9142, 314.3451, 139.4304, 305.1044, 190.6397, -7.629395e-06, 454.4583, 58.41528, 76.4012, 7.629395e-06, 0, 242.6698, 595.7704, 196.3577, 97.763, 0, 623.0353, 495.0924, 274.2911, 118.3426, -6.103516e-05, 132.7769, 392.955, 0, 373.0775, 738.2084, 130.8824, 414.8112, 689.3297, 0, 282.3353, 588.8849, 9.155273e-05, 671.5872, 3.051758e-05, 172.1753, 350.3056, 899.7095, 372.8684, 322.8611, 600.1079
0.9, 30.38757, 203.555, 92.98659, 267.9963, 311.9422, 3.051758e-05, 113.6148, 103.4974, 129.308, 97.56967, 195.1759, 0, 165.6453, 168.5968, 88.79071, 0, 132.2092, 407.1606, 689.6724, -3.051758e-05, 200.1763, 135.5744, 326.7928, 298.3668, 501.1316, 182.1396, -7.629395e-06, 435.9926, 88.50693, 72.86952, 7.629395e-06, 0, 402.6765, 571.2855, 330.1817, 247.6329, 0, 640.0084, 550.7465, 260.8101, 113.3135, -3.051758e-05, 186.6164, 487.2998, 0, 478.6577, 763.8188, 125.1343, 440.2829, 778.5128, 0, 367.4225, 783.1096, 6.103516e-05, 795.1942, 0, 164.2179, 351.6712, 911.3583, 468.6199, 309.0852, 690.819
1, 153.9193, 193.9658, 199.3393, 309.6136, 296.9087, 6.103516e-05, 121.9008, 99.14594, 207.2211, 93.08521, 186.731, 0, 158.2645, 160.8816, 84.33789, -6.103516e-05, 125.7315, 388.4529, 657.7234, -1.525879e-05, 266.5096, 129.5178, 312.1914, 285.0867, 480.1642, 174.0185, -7.629395e-06, 418.2771, 84.25952, 110.2853, 0, 0, 466.1483, 677.6907, 378.8832, 257.9747, 0, 612.5081, 544.7702, 308.8022, 154.4328, -3.051758e-05, 400.3881, 465.8707, 0, 586.3649, 888.7123, 228.3694, 421.9774, 746.642, 0, 351.0878, 749.2428, 6.103516e-05, 759.8605, 0, 156.6282, 397.389, 1000.823, 574.8435, 295.897, 833.6019
1.1, 172.21, 184.8282, 235.5278, 515.0378, 282.5997, 3.051758e-05, 172.0983, 189.6811, 255.3486, 135.8744, 178.6516, 1.525879e-05, 151.2126, 153.5194, 291.5484, 0, 264.3283, 370.6046, 748.8925, -1.525879e-05, 254.2484, 123.7318, 417.726, 272.3977, 460.0741, 166.2596, -7.629395e-06, 401.2814, 159.5078, 183.3314, 0, 0, 560.9886, 755.818, 360.5014, 416.2132, 0, 687.838, 627.9234, 293.6249, 259.8699, -3.051758e-05, 383.0742, 445.384, 0, 557.6649, 844.4933, 218.3398, 496.6566, 876.1429, 0, 398.2618, 738.6227, 6.103516e-05, 726.0969, 0, 149.3894, 379.8336, 957.6172, 651.7526, 283.2716, 1014.444
1.2, 164.6546, 176.1211, 223.5625, 489.3099, 268.9803, 3.051758e-05, 163.3228, 181.7061, 433.1157, 184.424, 170.9216, 1.525879e-05, 183.5285, 146.4942, 276.9274, -6.103516e-05, 251.3773, 353.5763, 823.4927, -3.051758e-05, 260.3383, 190.6907, 458.1488, 260.2734, 440.8247, 158.8465, -7.629395e-06, 384.9763, 151.8531, 174.8569, 0, 0, 537.2931, 724.7556, 412.1951, 474.7666, 0, 658.2824, 618.8477, 279.1937, 248.8265, -6.103516e-05, 366.5089, 580.6642, 0, 588.972, 874.9844, 208.7507, 517.1796, 840.2753, 0, 443.3269, 838.606, 3.051758e-05, 744.7817, 0, 142.4851, 363.0538, 916.2762, 624.8346, 366.2936, 1119.432
1.3, 157.4307, 167.8242, 262.5395, 464.867, 256.0173, 3.051758e-05, 154.9948, 174.0664, 414.0473, 175.9475, 163.5262, 1.525879e-05, 313.2677, 139.7904, 295.3223, -6.103516e-05, 239.0608, 337.3304, 785.3445, -3.051758e-05, 248.361, 237.5038, 437.6783, 248.6889, 422.3807, 151.764, -7.629395e-06, 369.3337, 144.5656, 218.1372, 7.629395e-06, 0, 638.5569, 906.4354, 392.1972, 454.1039, 0, 835.1042, 746.4308, 265.4717, 284.5857, -6.103516e-05, 350.6601, 555.1295, -7.629395e-06, 575.6977, 831.4485, 199.5828, 528.1188, 805.876, 0, 423.6178, 828.8048, 3.051758e-05, 772.35, 1.525879e-05, 135.8999, 347.0151, 1097.545, 738.9703, 350.6644, 1145.773
1.4, 150.5237, 159.9182, 249.2021, 441.6453, 243.679, 3.051758e-05, 147.0915, 235.8427, 395.8184, 167.8607, 156.4507, 1.525879e-05, 299.3092, 310.2523, 280.512, -3.051758e-05, 227.3478, 431.3843, 832.7941, -3.051758e-05, 236.9347, 226.8937, 494.7501, 237.6199, 523.5153, 323.7966, -7.629395e-06, 551.1552, 137.6279, 208.0538, 0, 0, 670.8055, 997.918, 373.1695, 434.3406, 0, 870.3234, 710.1089, 317.0561, 387.826, -3.051758e-05, 335.4966, 649.5043, -7.629395e-06, 683.8599, 1083.458, 190.8174, 535.1968, 1105.982, 0, 487.5715, 913.4285, 3.051758e-05, 831.8881, 1.525879e-05, 129.619, 331.6851, 1050.163, 738.604, 788.5025, 1171.227
1.5, 143.9196, 226.0179, 236.5422, 504.8171, 231.9353, 6.103516e-05, 139.5912, 225.9269, 378.3921, 160.1456, 149.6814, 1.525879e-05, 285.9727, 296.0547, 266.4445, 0, 216.2086, 411.5635, 794.215, -3.051758e-05, 275.5148, 216.7575, 538.8969, 227.0436, 501.6115, 317.0618, -7.629395e-06, 566.6951, 131.0232, 198.4364, 7.629395e-06, 0, 764.2721, 956.9058, 389.9215, 415.4373, 0, 832.9266, 675.5545, 420.1192, 371.345, 0, 320.9887, 717.598, -7.629395e-06, 650.3881, 1128.498, 221.6058, 527.7303, 1060.705, 0, 511.2446, 1129.138, 3.051758e-05, 794.9239, 1.525879e-05, 123.6284, 317.0323, 1086.179, 781.6406, 754.8584, 1294.875
1.6, 137.6054, 215.3704, 224.5255, 479.5997, 220.7575, 3.051758e-05, 195.3842, 216.428, 361.733, 152.785, 143.205, 1.525879e-05, 315.9897, 282.5068, 309.3915, 0, 205.6152, 392.6533, 789.8894, 83.50208, 262.8393, 207.0742, 609.3295, 216.9381, 480.6241, 373.2493, -7.629395e-06, 611.7682, 124.7354, 207.3836, 7.629395e-06, 0, 731.9902, 917.5791, 433.6492, 397.3567, 0, 989.5444, 787.7919, 449.681, 355.5644, -3.051758e-05, 307.1082, 686.0414, -7.629395e-06, 694.3999, 1200.375, 211.8733, 547.8203, 1017.282, 0, 621.1253, 1201.537, 3.051758e-05, 759.6022, 1.525879e-05, 301.2912, 303.0268, 1059.296, 894.7633, 722.6498, 1351.666
1.7, 161.8134, 205.2245, 213.1192, 455.6419, 210.1185, 6.103516e-05, 185.4214, 207.3285, 345.8073, 145.7627, 137.0088, 1.525879e-05, 301.9099, 315.3037, 293.8757, 0, 195.5409, 374.6121, 793.3813, 79.80716, 250.7469, 247.6379, 611.2334, 207.2823, 460.5148, 421.5401, -7.629395e-06, 661.805, 118.7493, 260.338, 7.629395e-06, 0, 736.5813, 1064.061, 412.6104, 380.0629, 0, 1020.274, 749.4573, 427.5797, 340.4544, -3.051758e-05, 293.828, 727.9868, -1.525879e-05, 675.9506, 1243.267, 202.5682, 590.306, 1328.133, 0, 593.5117, 1379.794, 3.051758e-05, 725.85, 0, 287.3665, 388.4988, 1077.436, 924.3405, 691.8155, 1294.147
1.8, 164.2482, 195.5566, 221.6453, 545.9799, 199.9922, 6.103516e-05, 175.9666, 227.1431, 330.5828, 139.0632, 131.0807, 3.051758e-05, 374.4076, 300.875, 331.181, 0, 185.9602, 526.7667, 777.6049, 76.27573, 316.6655, 278.7624, 583.923, 198.0563, 441.2468, 402.7448, -7.629395e-06, 781.8681, 113.0505, 248.3037, 7.629395e-06, 0, 705.4691, 1076.271, 392.5923, 363.5219, 0, 976.4341, 791.2053, 406.5648, 325.9865, -3.051758e-05, 281.1221, 784.5789, -1.525879e-05, 755.6082, 1223.068, 357.2743, 565.763, 1416.268, 0, 616.2958, 1509.615, 3.051758e-05, 816.1873, 0, 274.0853, 387.6711, 1030.922, 1063.236, 662.2968, 1333.896
1.9, 157.0421, 210.4366, 210.3853, 518.7062, 190.3539, 6.103516e-05, 166.9939, 244.6109, 316.0285, 132.6717, 125.4091, 3.051758e-05, 459.2259, 356.6801, 314.5724, -3.051758e-05, 176.8489, 522.1092, 741.5825, 190.1504, 302.0967, 266.3091, 687.6493, 271.2487, 485.6515, 403.3176, -7.629395e-06, 750.0988, 107.6252, 236.8258, 1.144409e-05, 0, 877.8482, 1143.747, 431.7371, 347.7008, 0, 1147.014, 813.4037, 490.1196, 312.1334, -3.051758e-05, 268.9656, 818.6999, -1.525879e-05, 718.6245, 1274.16, 341.5835, 542.2404, 1358.288, 0, 662.9961, 1533.756, 3.051758e-05, 858.9126, 0, 377.4191, 394.0394, 1092.367, 1019.324, 634.0377, 1368.943
2, 150.1521, 200.5231, 276.6826, 541.5119, 181.1801, 3.051758e-05, 158.4787, 234.3265, 302.115, 126.5739, 119.9829, 3.051758e-05, 513.6271, 391.3658, 298.7967, -3.051758e-05, 168.184, 498.1198, 828.3182, 281.6028, 301.8142, 254.412, 656.9246, 259.1755, 465.3318, 462.0598, -7.629395e-06, 835.5788, 102.4603, 299.8902, 7.629395e-06, 0, 840.769, 1140.75, 410.7911, 332.5682, 0, 1231.103, 814.6591, 534.6768, 298.869, 0, 257.3347, 837.6853, -1.525879e-05, 703.7575, 1277.259, 326.5818, 594.517, 1481.379, 0, 633.5211, 1675.476, 3.051758e-05, 820.7477, 0, 359.976, 451.1779, 1126.101, 1110.938, 606.9844, 1370.777
2.1, 143.5644, 191.0767, 262.6267, 573.3639, 172.4485, 4.577637e-05, 150.3977, 224.4744, 288.8141, 120.7563, 404.3852, 4.577637e-05, 490.7411, 373.4564, 283.8122, -3.051758e-05, 159.9437, 557.0757, 912.3322, 269.1421, 287.9287, 243.0465, 646.6343, 247.6399, 554.0466, 463.6378, -7.629395e-06, 831.9908, 97.54324, 319.4743, 7.629395e-06, 0, 805.256, 1175.697, 431.4419, 400.667, 0, 1254.134, 848.8937, 660.1091, 286.1683, -1.525879e-05, 246.2069, 824.1234, -1.525879e-05, 823.5414, 1321.021, 312.239, 583.1764, 1636.484, 0, 605.3564, 1843.476, 3.051758e-05, 784.2785, 1.525879e-05, 377.7222, 431.2462, 1122.407, 1093.572, 581.0853, 1377.134
2.2, 137.2658, 239.6248, 265.6197, 544.7223, 164.1376, 3.051758e-05, 142.7288, 215.0366, 276.0987, 115.2062, 386.8882, 3.814697e-05, 562.3141, 377.413, 269.5791, -3.051758e-05, 152.1071, 531.4798, 870.0685, 257.2327, 274.6821, 232.1888, 688.6171, 297.7639, 530.8654, 442.9655, 183.9402, 798.1849, 92.86212, 304.7065, 1.144409e-05, 0, 831.0643, 1127.379, 493.8974, 383.2292, 0, 1289.559, 836.5175, 672.2631, 274.0073, -1.525879e-05, 235.5602, 980.7615, -7.629395e-06, 824.6494, 1255.292, 298.526, 558.9299, 1569.49, 0, 685.0703, 2177.218, 1.525879e-05, 749.4298, 3.051758e-05, 446.503, 412.1951, 1083.201, 1145.7, 556.2914, 1498.94
2.3, 157.7771, 228.3363, 266.464, 571.8207, 156.2273, 3.051758e-05, 135.4509, 262.769, 263.9431, 109.9111, 370.1484, 3.814697e-05, 537.2587, 419.9274, 256.0598, -3.051758e-05, 144.6544, 688.5764, 983.7639, 245.8502, 273.478, 302.1049, 684.0082, 284.5106, 508.6541, 423.215, 174.4562, 865.8997, 88.40567, 328.5141, 7.629395e-06, 0, 795.9611, 1162.359, 469.9357, 366.5504, 0, 1332.712, 835.7175, 639.2223, 262.3631, 0, 225.3739, 1033.344, -1.525879e-05, 784.2866, 1263.727, 285.4153, 619.8891, 1659.486, 0, 672.5388, 2290.971, 1.525879e-05, 809.7288, 1.525879e-05, 479.334, 393.9857, 1063.019, 1343.784, 532.5554, 1483.801
2.4, 150.8548, 263.0393, 252.9272, 601.7302, 148.6982, 3.051758e-05, 128.5442, 251.7211, 252.3228, 262.3426, 354.1328, 4.577637e-05, 587.7141, 454.5664, 243.2184, 0, 137.5669, 720.5063, 990.7856, 234.9715, 346.599, 288.6087, 734.3416, 271.8472, 487.372, 487.3348, 165.4613, 830.716, 84.1631, 313.3285, 7.629395e-06, 0, 807.1176, 1114.589, 447.1364, 433.2301, 0, 1435.44, 795.0509, 769.7726, 251.2138, 0, 215.6281, 1010.862, -1.525879e-05, 796.0437, 1320.541, 272.8804, 612.9344, 1719.316, 0, 699.9694, 2291.91, 3.051758e-05, 1018.653, 0, 457.1808, 376.5806, 1098.477, 1555.4, 509.8321, 1532.172
2.5, 144.2363, 294.1349, 240.0781, 784.0148, 141.5319, 3.051758e-05, 191.4845, 241.1377, 241.214, 290.4167, 338.8102, 3.051758e-05, 734.5202, 447.2583, 324.3888, -3.051758e-05, 130.8267, 707.2411, 944.8876, 224.5741, 348.8175, 319.8166, 701.5306, 259.7475, 466.9804, 465.606, 156.9301, 796.9619, 80.12413, 298.8448, 7.629395e-06, 0, 803.8784, 1068.782, 456.3368, 414.3752, 0, 1447.309, 791.7081, 731.9393, 240.5382, 1.525879e-05, 206.3037, 1089.859, 176.2703, 757.081, 1362.387, 260.896, 647.5201, 1857.225, 0, 860.9764, 2294.558, 3.051758e-05, 1294.745, 1.525879e-05, 436.0514, 359.9445, 1082.322, 1571.051, 488.0784, 1543.659
2.6, 137.9082, 359.2589, 227.8817, 744.8503, 134.711, 3.051758e-05, 213.1168, 309.4772, 230.5943, 362.2509, 324.1505, 3.051758e-05, 775.8136, 462.7618, 308.1208, 0, 124.4167, 674.7454, 1010.529, 214.6368, 362.7663, 305.5292, 761.4167, 248.1863, 540.265, 577.9939, 148.8388, 817.6246, 76.27899, 285.0306, 7.629395e-06, 0, 797.1239, 1161.157, 480.3289, 396.3408, 0, 1485.664, 863.8749, 695.9654, 230.3163, 0, 197.3826, 1133.447, 168.8774, 783.7896, 1294.599, 249.4379, 620.5984, 1852.193, 0, 841.5354, 2195.326, 1.525879e-05, 1674.068, 1.525879e-05, 572.2527, 470.8748, 1035.597, 1648.19, 467.2529, 1581.844
2.7, 131.8577, 409.1067, 224.3598, 805.7183, 128.2189, 1.525879e-05, 202.2498, 395.816, 220.4421, 345.6013, 310.1251, 2.288818e-05, 859.9691, 441.5851, 292.6686, 0, 118.3208, 643.7429, 1011.985, 205.1392, 390.2199, 366.0036, 727.396, 237.1397, 572.0339, 552.2228, 141.1647, 784.4023, 72.61836, 331.0241, 7.629395e-06, 0, 840.5266, 1113.436, 457.0255, 531.1814, 0, 1457.296, 906.359, 799.8559, 322.1754, 0, 188.8472, 1152.143, 161.7946, 884.6837, 1349.447, 238.483, 634.5421, 1942.705, 0, 834.3331, 2314.444, 0, 2016.794, 1.525879e-05, 545.8051, 450.0731, 1044.925, 1675.988, 447.316, 1709.844
2.8, 126.0727, 487.8976, 267.1743, 889.1031, 122.0396, 1.525879e-05, 255.7896, 412.271, 210.7369, 329.7169, 296.7066, 2.288818e-05, 821.6509, 474.3751, 277.9914, -1.525879e-05, 112.5235, 728.31, 1109.156, 196.0619, 434.2515, 451.663, 694.8954, 287.6133, 548.1, 706.7898, 133.8862, 752.5302, 69.13339, 315.7224, 3.814697e-06, 80.16505, 827.2742, 1122.064, 434.8525, 508.0635, 0, 1502.402, 979.2395, 760.5441, 538.5384, 1.525879e-05, 180.6809, 1181.974, 222.044, 841.3824, 1316.117, 228.0093, 608.1599, 2026.466, 0, 850.6216, 2268.736, 0, 2181.095, 1.525879e-05, 577.1696, 539.5792, 999.8147, 1686.178, 428.2297, 1777.795
2.9, 120.5415, 550.7137, 253.6014, 1083.052, 116.1581, 1.525879e-05, 298.157, 394.9375, 201.459, 314.5625, 283.8687, 2.288818e-05, 871.23, 452.6671, 264.0502, -1.525879e-05, 107.0103, 694.8463, 1057.774, 187.3862, 435.6613, 502.4814, 663.8469, 287.1158, 525.1675, 810.1817, 215.8844, 721.9529, 65.81569, 366.8826, 3.814697e-06, 197.8733, 868.1872, 1105.141, 452.5804, 485.9517, 0, 1581.834, 1303.232, 723.1643, 515.6527, 1.525879e-05, 172.8678, 1129.997, 275.2874, 800.2006, 1250.632, 217.9956, 582.8746, 2015.731, 0, 812.8053, 2359.347, -1.525879e-05, 2180.522, 1.525879e-05, 550.4947, 566.2117, 1155.85, 1697.281, 409.9579, 1765.284
3, 115.2529, 543.0081, 296.6302, 1117.569, 110.5601, 0, 282.9537, 378.3327, 192.5896, 300.1047, 271.5863, 2.288818e-05, 937.0547, 431.9524, 250.8082, -3.051758e-05, 228.1128, 688.5316, 1117.58, 179.0945, 415.618, 665.3623, 722.6738, 293.4957, 577.2074, 987.5368, 204.7534, 744.2653, 62.6572, 349.9233, 3.814697e-06, 189.3672, 831.5161, 1147.304, 430.6231, 464.8022, 75.67176, 1513.864, 1489.325, 687.6218, 493.7395, 1.525879e-05, 165.3925, 1124.742, 263.7416, 832.0514, 1188.405, 208.4216, 558.6406, 2079.034, 0, 776.6701, 2476.325, -1.525879e-05, 2115.682, 7.629395e-06, 525.0526, 541.1982, 1105.951, 1683.921, 392.4657, 1817.216
3.1, 110.1964, 517.4275, 281.5609, 1061.742, 105.2318, 0, 268.5257, 362.426, 184.1106, 286.3114, 259.8353, 2.288818e-05, 895.3017, 412.1856, 238.2303, -3.051758e-05, 216.9362, 756.109, 1065.808, 171.1696, 396.4968, 653.9454, 896.2614, 280.4324, 707.0209, 1399.471, 194.1963, 798.2468, 59.65025, 333.748, 5.722046e-06, 245.4622, 1040.496, 1171.183, 409.7311, 492.388, 119.1851, 1448.815, 1491.136, 653.8261, 472.7576, 0, 158.2405, 1130.745, 352.6631, 865.8123, 1129.275, 199.2681, 563.619, 2099.042, 0, 742.1414, 2520.472, -1.525879e-05, 2257.557, 7.629395e-06, 500.7863, 517.2897, 1244.335, 1654.502, 375.7198, 1861.934
3.2, 105.3617, 517.1748, 311.0068, 1053.79, 100.1603, 0, 254.8333, 347.1881, 176.0049, 273.1521, 248.5927, 2.288818e-05, 855.4091, 433.1395, 226.2831, -3.051758e-05, 206.3071, 742.5476, 1190.234, 163.5955, 393.5751, 695.6597, 882.1056, 337.0577, 758.1617, 1337.072, 184.1836, 818.9017, 56.78763, 318.3204, 5.722046e-06, 247.8372, 1014.667, 1215.838, 389.8527, 544.476, 113.2984, 1386.561, 1655.493, 743.916, 452.6674, 0, 151.3977, 1154.561, 337.8722, 984.4358, 1187.914, 190.5166, 660.9958, 2013.111, 0, 709.1477, 2458.389, -1.525879e-05, 2157.244, 222.6473, 477.6416, 519.725, 1190.616, 1651.799, 359.6885, 1959.363
3.3, 100.7392, 492.8112, 295.2072, 1059.298, 95.33328, 0, 241.8391, 401.8454, 168.2561, 260.5976, 237.8366, 2.288818e-05, 885.9806, 413.3184, 511.2597, -3.051758e-05, 196.1989, 750.7919, 1135.097, 156.3564, 525.0541, 770.347, 842.6924, 360.4249, 791.5245, 1277.456, 174.6871, 829.33, 54.06239, 303.6059, 5.722046e-06, 248.0538, 1089.988, 1165.87, 555.6683, 520.7794, 174.5523, 1461.129, 1697.547, 707.3535, 433.4309, 0, 303.7635, 1165.372, 434.4021, 1005.939, 1531.548, 182.1495, 731.6206, 2035.199, 0, 787.828, 2375.398, -1.525879e-05, 2105.848, 212.9295, 628.6884, 623.9143, 1283.261, 1715.812, 344.3412, 1976.221
3.4, 96.31942, 542.7059, 280.2102, 1034.515, 90.73885, 0, 229.5075, 384.9502, 160.8485, 248.6201, 227.5459, 2.288818e-05, 846.5033, 394.4044, 575.4438, -1.525879e-05, 370.1269, 812.1769, 1166.814, 149.4377, 500.8982, 814.9948, 912.8602, 358.1421, 892.7426, 1288.718, 165.6802, 795.6321, 51.46796, 375.0847, 5.722046e-06, 277.1507, 1102.565, 1218.042, 528.7097, 498.1141, 165.9309, 1455.161, 1738.966, 672.588, 415.0118, 0, 382.0413, 1114.124, 452.0447, 990.8312, 1631.256, 174.1498, 822.4655, 2254.573, 0, 818.7556, 2484.502, -1.525879e-05, 2150.573, 203.6358, 599.6324, 596.3517, 1266.692, 1742.102, 329.6487, 2029.991
3.5, 185.0321, 539.8062, 314.5364, 1002.894, 86.36585, 0, 217.8047, 475.699, 153.767, 237.1931, 217.7004, 2.288818e-05, 951.7502, 448.8316, 636.5948, -3.051758e-05, 351.9921, 774.8597, 1157.354, 142.8252, 559.3685, 778.5861, 872.0729, 362.6919, 855.3902, 1263.777, 285.6619, 876.0309, 48.99799, 357.7462, 5.722046e-06, 331.8297, 1055.994, 1209.271, 544.1605, 476.4353, 157.7354, 1484.727, 1745.155, 639.5312, 397.3755, 0, 396.5351, 1240.559, 587.2633, 1069.622, 1566.803, 166.5015, 788.2701, 2350.181, 0, 893.8081, 2578.701, -1.525879e-05, 2113.097, 194.7478, 745.9965, 570.0068, 1334.1, 1869.797, 315.5832, 2029.276
