 , C000, C002, C003, C004, C005, C006, C007, C008, C009, C010, C012, C014, C016, C017, C019, C021, C022, C030, C033, C034, C037, C040, C042, C046, C052, C053, C055, C061, C065, C077
Time(s)/Cell Status, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.1, 0, 68.32607, 0, 0, 30.70081, 39.25812, 0, 0, 0, 15.91852, 126.2367, 0, 0, 0, 0, 0, 0, 0, 144.1046, 130.1454, 70.03217, 0, 0, 0, 51.40271, 0, 0, 99.62504, 61.68689, 0
0.2, 0, 73.93224, 0, 0, 29.30289, 37.55011, 0, 0, 104.1038, 142.0516, 118.8518, 0, 0, 128.1713, 0, 0, 0, 0, 462.3328, 176.0221, 138.3493, 0, 0, 3.051758e-05, 78.56927, 0, 0, 94.63873, 93.19214, 0
0.3, 0, 70.75113, 0, 10.88889, 94.85588, 35.91647, 0, 0, 99.04034, 134.0769, 111.8989, 0, 0, 122.7664, 0, 0, 1.525879e-05, 0, 449.5677, 183.5794, 131.8554, 0, 0, 0, 113.6028, 0, 0, 136.5312, 185.0942, 53.34875
0.4, 0, 67.70689, 0, 10.27061, 90.53676, 34.35391, 7.629395e-06, 0, 213.6881, 126.5498, 160.3776, 0, 0, 117.5893, 0, 0, 1.525879e-05, 0, 425.0085, 174.555, 125.6664, 0, 124.6384, 3.051758e-05, 107.2346, 0, 0, 129.6977, 341.8798, 143.5494
0.5, 0, 64.79365, 0, 9.687445, 86.41428, 32.85934, 21.01537, 0, 203.2948, 119.4454, 150.9955, 0, 0, 112.6306, 0, 0, 1.525879e-05, 0, 519.5865, 165.9742, 238.9568, -3.051758e-05, 138.625, 46.38324, 218.3608, 0, 0, 123.2062, 327.5087, 136.5093
0.6, 0, 145.0585, 0, 9.137387, 82.47952, 31.42978, 101.9597, 0, 232.0414, 112.7397, 142.1622, 0, 0, 107.881, 0, 0, 7.629395e-06, 0, 491.2025, 157.8151, 227.7405, -3.051758e-05, 132.3256, 121.0336, 257.501, 0, 0, 117.0396, 441.2592, 129.8145
0.7, 0, 138.817, 0, 8.618563, 78.72391, 52.39474, 148.8401, 0, 231.7819, 106.4106, 133.8457, 0, 0, 103.3317, 0, 0, 64.01761, 0, 464.369, 186.9252, 263.1828, -3.051758e-05, 126.3125, 129.9031, 285.8008, 0, 0, 111.1817, 422.7106, 123.4479
0.8, 0, 132.8441, 0, 8.129197, 75.13933, 50.11523, 142.2235, 0, 434.5783, 171.7142, 126.0157, 0, 0, 98.97423, 69.20462, 0, 61.30444, 0, 461.6625, 177.7363, 250.8295, 0, 120.5726, 174.5016, 269.7799, 0, 0, 172.4009, 520.6927, 117.3937
0.9, 0, 127.1282, 0, 30.20389, 71.71797, 47.93491, 135.901, 0, 436.9598, 162.0742, 118.6437, 0, 0, 94.80051, 65.92545, 0, 58.70627, 0, 436.4427, 194.0179, 295.6623, 0, 133.7514, 376.2502, 254.657, 0, 0, 248.9126, 498.8052, 222.321
1, 0, 121.6582, 0, 34.38077, 68.45239, 45.84946, 145.703, 0, 437.8478, 152.9754, 143.3438, 0, 0, 90.8028, 88.09738, 0, 82.922, 0, 412.6006, 184.4803, 281.7845, 0, 127.6735, 359.9956, 240.3819, 0, 0, 236.4544, 477.8376, 211.4177
