 , C000, C001, C002, C003, C004, C005, C006, C007, C008, C009, C010, C011, C012, C013, C014, C015, C017, C018, C022, C023, C025, C026, C027, C029, C030, C031, C032, C035, C037, C038, C039, C040, C045, C047, C048, C052, C053, C054, C056, C057, C058, C061, C063, C065, C066, C078, C081, C092, C098
Time(s)/Cell Status, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.1, 0, 87.32593, 0, 0, 138.6594, 0, 52.99426, 34.6944, 0, 28.94092, 0, 0, 0, 0, 0, 116.2792, 9.165405, 0, 0, 0, 59.78848, 0, 0, 0, 14.05856, 0, 0, 0, 110.2091, 0, 0, 171.0801, 0, 0, 0, 0, 100.79, 0, 0, 0, 132.5847, 0, 224.3679, 0, 0, 0, 273.1621, 0, 86.91089
0.2, 0, 83.5282, 21.4035, 38.50891, 131.9685, 0, 89.72925, 33.09003, 0, 72.10779, 0, 0, -3.051758e-05, 0, 0, 110.854, 224.347, 0, 0, 0, 135.6346, -6.103516e-05, 88.00305, 0, 238.5703, 0, 0, 20.23163, 289.2339, 120.2572, 6.103516e-05, 245.6094, 0, -3.051758e-05, 43.41782, 36.64983, 96.46094, 0, 180.9419, 241.3548, 127.0012, 0, 250.1995, 6.103516e-05, 0, 0, 261.6954, 0, 114.9309
0.3, 1.525879e-05, 217.9738, 20.37384, 36.67371, 211.953, 0, 85.33502, 31.55981, 49.29278, 301.3909, 0, 0, -3.051758e-05, 0, 6.103516e-05, 105.6819, 271.5173, 0, 0, 26.40845, 210.5282, 70.49048, 83.71729, 0, 451.9621, 0, 0, 62.42145, 359.9547, 216.0022, 6.103516e-05, 260.176, 52.32458, -3.051758e-05, 41.50104, 34.97767, 92.31787, 0, 242.3923, 230.5574, 121.6528, 84.62378, 344.965, 89.90387, 0, 0, 250.7102, 6.103516e-05, 228.6047
0.4, 0, 208.4944, 34.90601, 34.9259, 261.9742, 0, 81.15588, 30.10034, 46.53817, 446.467, 107.3664, 0, 45.18106, 0, 0, 100.7513, 303.2812, 101.2705, 1.525879e-05, 64.35101, 237.36, 66.9516, 79.64026, 70.79309, 770.4954, 0, 0, 59.76245, 368.0102, 405.2417, 6.103516e-05, 311.801, 90.56287, -3.051758e-05, 39.66895, 128.0518, 88.35278, 0, 520.6356, 299.1579, 116.5295, 80.83154, 431.7731, 108.988, 0, 0, 240.186, 0, 219.0469
0.5, 0, 251.8571, 33.22668, 91.05811, 249.3329, -7.629395e-06, 196.0573, 28.70837, 72.41029, 578.0048, 102.6892, 0, 79.21954, 0, 3.051758e-05, 96.0506, 308.2317, 128.634, 64.13185, 200.8862, 253.0409, 63.59039, 187.1425, 67.90491, 843.694, 3.051758e-05, 0, 57.21667, 550.0853, 384.9504, 6.103516e-05, 411.7297, 161.1453, -3.051758e-05, 56.36827, 152.7504, 84.55798, 6.103516e-05, 602.0255, 306.6008, 223.2847, 77.20898, 595.9827, 339.7661, 0, 0, 230.1038, 6.103516e-05, 351.8423
0.6, 0, 323.2461, 97.45316, 86.71857, 237.3017, -7.629395e-06, 186.4557, 143.9455, 68.36381, 1034.451, 98.21574, 0, 280.1351, 0, 3.051758e-05, 184.5479, 295.4123, 172.3515, 371.4717, 191.9436, 242.5599, 60.39795, 200.2643, 65.13446, 1048.056, 3.051758e-05, 0, 124.2969, 640.4128, 445.9083, 6.103516e-05, 442.5815, 154.0783, 0, 53.87981, 221.5205, 80.92603, 0, 717.7433, 292.8845, 213.8815, 118.8647, 567.5972, 337.6238, 0, 0, 220.4446, 0, 528.165
0.7, 0, 309.1885, 92.76486, 82.58588, 225.8509, 0, 177.3243, 137.2889, 64.54346, 1322.933, 164.1752, -1.525879e-05, 267.6364, 0, 3.051758e-05, 204.4591, 449.2371, 165.0205, 450.7473, 214.6365, 271.7491, 57.36578, 306.8699, 62.47711, 1123.006, 3.051758e-05, 6.103516e-05, 119.0021, 748.6059, 454.5963, 6.103516e-05, 593.5156, 147.3212, 0, 196.0938, 486.0051, 77.4502, 0, 726.8771, 345.4614, 204.8743, 213.0094, 540.5636, 321.5829, 0, 0, 211.1909, 0, 609.3481
0.8, 0, 354.9923, 88.30209, 160.7791, 226.2424, -7.629395e-06, 168.6403, 194.943, 60.9366, 1780.233, 230.903, -1.525879e-05, 255.6954, 0, 6.103516e-05, 194.9198, 466.8908, 158.0013, 430.1501, 266.4525, 318.3927, 54.48578, 446.9818, 59.92813, 1431.419, 0, 0, 113.9328, 808.4614, 537.2524, 6.103516e-05, 583.6616, 175.9906, 0, 187.437, 463.8309, 74.12366, 0, 858.174, 452.7789, 230.8593, 203.4633, 514.8176, 322.5601, 0, 0, 202.3258, 0, 796.7034
0.9, 0, 409.2985, 84.05405, 153.1169, 228.2099, 0, 244.6287, 185.9281, 95.42048, 2036.305, 220.8442, -1.525879e-05, 244.2871, 0, 3.051758e-05, 185.8256, 562.9847, 151.2807, 410.4941, 254.5911, 381.6613, 51.75043, 425.2137, 57.48315, 1589.431, 3.051758e-05, 0, 109.0794, 970.3024, 583.0764, 6.103516e-05, 652.6382, 225.4941, 0, 179.1624, 601.522, 175.4987, 0, 990.4802, 461.9122, 221.1371, 224.7091, 490.2977, 411.6859, 0, 0, 193.8326, -3.051758e-05, 763.3936
1, 0, 417.0361, 80.01031, 145.8197, 336.8156, 0, 276.7877, 177.3301, 114.2797, 2243.115, 211.2235, -3.051758e-05, 233.3878, 0, 0, 177.1557, 615.8872, 144.8459, 391.7363, 243.2577, 365.8528, 49.15237, 404.5059, 55.13794, 1765.238, 3.051758e-05, 0, 104.4328, 1038.932, 692.4989, 0, 780.9272, 215.6052, -1.525879e-05, 192.4922, 678.6178, 202.2135, 0, 1058.562, 530.8423, 235.6261, 214.6387, 611.859, 433.6792, 0, 0, 185.696, -3.051758e-05, 876.6108
1.1, 135.5731, 484.8479, 76.16119, 279.679, 354.5023, 0, 286.1298, 169.1297, 107.8935, 2306.875, 294.7146, -3.051758e-05, 222.9748, 0, 0, 168.8903, 590.2725, 138.6849, 373.8356, 315.5132, 350.6992, 46.68481, 384.8064, 74.49878, 1927.77, 3.051758e-05, 0, 99.98416, 1150.449, 657.824, 0, 744.3531, 292.4947, -1.525879e-05, 198.5085, 647.6556, 193.5282, -6.103516e-05, 1144.488, 507.0942, 225.7032, 327.0835, 582.7173, 458.3965, 0, 0, 177.9011, -3.051758e-05, 904.8235
1.2, 128.51, 482.5629, 72.49719, 266.3504, 337.3962, 0, 370.5493, 161.3084, 101.8641, 2403.496, 281.8759, -1.525879e-05, 213.0264, 0, 3.051758e-05, 212.8148, 697.777, 132.7859, 356.753, 301.4678, 406.7831, 147.2181, 366.0664, 71.45935, 1943.659, 3.051758e-05, 0, 95.72504, 1200.492, 725.7583, -6.103516e-05, 709.4923, 279.6674, -1.525879e-05, 189.7451, 905.5789, 213.8115, -6.103516e-05, 1170.902, 629.4174, 257.1143, 312.4252, 641.8834, 436.6175, 0, 0, 170.4332, -6.103516e-05, 894.4861
1.3, 121.8148, 484.5109, 157.0226, 320.8224, 321.1155, 0, 352.4023, 195.794, 96.17165, 2586.861, 269.5966, -1.525879e-05, 203.5219, 0, 3.051758e-05, 286.9722, 668.7565, 127.1378, 340.4509, 394.1931, 389.9341, 139.8273, 348.239, 122.3911, 2306.93, 82.784, 6.103516e-05, 154.0997, 1300.104, 871.7562, 0, 676.2638, 267.4027, -1.525879e-05, 210.7326, 864.2615, 383.9003, -6.103516e-05, 1299.5, 601.2595, 417.6957, 392.1643, 661.7593, 415.8732, 0, 0, 163.2789, -3.051758e-05, 1034.539
1.4, 115.4685, 583.4973, 149.4685, 373.5, 305.6205, 0, 335.144, 290.6328, 131.3936, 2922.437, 334.0751, 107.9264, 194.4414, 0, 3.051758e-05, 273.5831, 695.9943, 121.7299, 324.8938, 782.6, 373.783, 241.9585, 331.2798, 235.3012, 2348.13, 79.38135, 6.103516e-05, 147.5353, 1414.94, 951.2018, 0, 820.6405, 255.6759, -1.525879e-05, 201.4295, 961.9505, 386.1605, -6.103516e-05, 1385.687, 574.3611, 400.1054, 374.5894, 630.2409, 396.1146, 0, 55.50586, 156.4249, -6.103516e-05, 1052.686
1.5, 109.4528, 600.2863, 142.2778, 385.5233, 346.0364, 7.629395e-06, 318.731, 488.4188, 124.051, 3414.952, 319.5218, 295.3511, 185.7661, 0, 3.051758e-05, 260.8188, 752.9407, 163.4554, 310.0475, 969.3239, 395.1834, 258.7261, 315.1466, 251.474, 2417.549, 76.11856, 6.103516e-05, 226.4699, 1562.374, 903.5731, 29.54953, 782.2067, 244.4634, -1.525879e-05, 192.5372, 1061.109, 456.9772, -6.103516e-05, 1498.875, 556.2911, 435.5258, 357.802, 600.2238, 377.2947, 0, 141.823, 437.5703, -3.051758e-05, 1081.623
1.6, 103.7506, 662.8489, 135.4331, 367.1505, 329.3388, 3.814697e-06, 410.4294, 639.537, 117.1187, 3509.717, 389.698, 339.7921, 177.4778, 0, 3.051758e-05, 274.6409, 754.3947, 182.5134, 295.8797, 1401.522, 403.4492, 245.7372, 407.332, 241.2143, 2576.795, 72.98987, 3.051758e-05, 216.8227, 1497.208, 858.3293, 55.58237, 745.5729, 233.7426, -1.525879e-05, 184.0373, 1072.686, 550.4349, -6.103516e-05, 1438.41, 649.157, 417.1846, 341.7671, 571.6361, 442.5649, 0, 261.8472, 419.2023, -3.051758e-05, 1183.472
1.7, 98.34535, 713.0125, 193.2346, 437.9595, 313.4469, 3.814697e-06, 459.1736, 707.1183, 204.5403, 3629.51, 438.7368, 407.2375, 169.5594, 0, 3.051758e-05, 318.1814, 815.9263, 335.902, 282.3593, 1571.166, 407.305, 313.3413, 387.495, 256.2507, 2629.222, 69.98975, 3.051758e-05, 207.5864, 1603.03, 815.351, 53.25504, 808.9091, 286.564, -3.051758e-05, 175.9128, 1133.002, 552.5427, -6.103516e-05, 1430.427, 620.1159, 438.261, 402.0483, 593.9814, 490.6363, 0, 283.4045, 575.6418, 0, 1187.891
1.8, 93.22175, 746.9672, 183.9384, 417.0878, 367.6562, 3.814697e-06, 436.6865, 674.4185, 193.11, 3527.551, 419.624, 491.9872, 161.9942, 0, 3.051758e-05, 325.4438, 827.8417, 526.8657, 269.4567, 1540.802, 453.9939, 297.6105, 368.624, 245.7961, 2695.68, 67.11298, 3.051758e-05, 198.7436, 1647.71, 1065.588, 103.9319, 918.1731, 282.806, -1.525879e-05, 213.6043, 1109.422, 641.5837, -9.155273e-05, 1543.89, 752.8896, 465.0762, 453.9915, 619.3663, 475.4352, 0, 403.155, 551.4779, 0, 1226.848
1.9, 88.36508, 714.4826, 175.0894, 397.2107, 349.9153, 7.629395e-06, 415.3006, 643.2308, 182.3185, 3604.898, 401.3439, 469.6641, 154.7665, 0, 0, 310.2598, 878.8036, 504.4553, 257.1437, 1557.418, 435.1894, 282.6696, 350.672, 235.768, 2845.028, 64.35443, 3.051758e-05, 352.8209, 1578.984, 1101.179, 108.9994, 940.8052, 395.8347, -1.525879e-05, 227.1681, 1058.804, 629.5862, -9.155273e-05, 1597.976, 796.236, 549.9551, 488.7181, 589.867, 527.1105, 0, 677.9921, 528.3284, 0, 1258.302
2, 83.76144, 786.9915, 166.6661, 378.281, 333.0306, 7.629395e-06, 394.962, 613.4854, 252.5016, 3509.239, 383.8601, 448.3537, 147.8613, 0, 1.525879e-05, 390.1587, 879.7633, 482.9982, 245.3933, 1488.088, 571.6935, 268.4786, 427.5692, 379.6185, 2982.846, 61.70929, 3.051758e-05, 337.7913, 1608.148, 1204.719, 156.991, 896.7435, 378.4755, 0, 269.2333, 1047.057, 678.1576, -9.155273e-05, 1749.805, 760.615, 526.7949, 506.158, 673.1199, 657.8218, 0, 726.1765, 506.1506, -3.051758e-05, 1358.819
2.1, 79.39764, 785.062, 158.6481, 360.2533, 316.9606, 7.629395e-06, 418.4212, 585.1155, 238.3911, 3498.104, 367.138, 428.0103, 141.2643, 0, 1.525879e-05, 381.8466, 923.7802, 537.9066, 234.1799, 1551.833, 604.2279, 255.0002, 406.7466, 364.1307, 3074.555, 59.17288, 3.051758e-05, 340.0693, 1643.095, 1356.789, 150.4176, 894.4972, 361.8776, -7.629395e-06, 257.3476, 999.2844, 673.3409, -9.155273e-05, 1812.864, 746.6088, 532.2623, 581.0001, 641.0604, 638.5781, 0, 881.6962, 484.9038, 0, 1302.007
2.2, 75.26117, 807.8692, 151.0158, 430.4389, 301.666, 7.629395e-06, 397.9298, 558.0575, 225.0692, 3566.58, 351.1443, 408.59, 134.9615, 0, 3.051758e-05, 386.3378, 992.4883, 617.7429, 223.4789, 1482.752, 631.303, 287.0609, 386.938, 349.2748, 3248.757, 93.42998, 3.051758e-05, 325.5829, 1574.562, 1394.428, 144.1194, 852.6044, 448.0297, -7.629395e-06, 304.5481, 953.6917, 644.4203, -6.103516e-05, 1865.487, 744.875, 509.8472, 554.9626, 693.4023, 608.2385, 0, 972.1437, 464.5489, 851.1164, 1321.535
2.3, 71.34021, 823.209, 198.0011, 470.5511, 287.1095, 7.629395e-06, 378.442, 532.2509, 212.4917, 3444.55, 335.8474, 390.0509, 128.94, 0, 3.051758e-05, 538.9402, 1015.172, 727.5341, 213.2669, 1472.975, 692.8348, 485.2809, 436.975, 335.025, 3151.932, 89.58971, 3.051758e-05, 311.7136, 1557.531, 1324.606, 138.085, 876.6396, 428.3815, -7.629395e-06, 315.444, 1019.04, 721.9446, -9.155273e-05, 1878.914, 831.9653, 488.376, 530.0919, 660.3769, 664.4292, 0, 1054.202, 445.0483, 812.9639, 1266.282
2.4, 67.62353, 855.3958, 188.4755, 510.7656, 273.2553, 7.629395e-06, 359.9085, 507.6375, 200.6171, 3353.632, 321.2168, 372.3529, 123.1871, 0, 3.051758e-05, 513.7953, 972.9508, 696.5882, 203.5215, 1457.052, 664.1375, 460.9183, 415.6943, 321.3565, 3195.143, 85.90732, 3.051758e-05, 298.4352, 1492.567, 1258.28, 132.3032, 863.2306, 570.7194, -1.525879e-05, 301.5183, 1064.854, 781.6933, -9.155273e-05, 1859.212, 800.3385, 496.9141, 586.0272, 628.9244, 701.4254, 0, 1093.58, 579.8412, 776.5217, 1291.902
2.5, 64.10048, 913.8799, 226.654, 514.0336, 260.0697, 7.629395e-06, 432.7363, 484.1624, 189.4061, 3387.732, 307.2236, 355.4579, 117.6909, 0, 1.525879e-05, 539.4074, 932.4858, 730.1288, 194.2215, 1392.19, 636.6288, 519.3699, 421.9875, 308.2457, 3288.518, 93.31851, 3.051758e-05, 285.7223, 1608.722, 1195.276, 126.7635, 960.4776, 581.7169, -7.629395e-06, 288.2074, 1096.214, 777.9606, -9.155273e-05, 1815.937, 840.5731, 475.9875, 559.7643, 673.6004, 742.4716, 0, 1113.585, 652.452, 741.713, 1368.492
2.6, 60.76097, 874.1365, 215.75, 489.5364, 247.5203, 7.629395e-06, 465.2419, 461.7729, 178.8216, 3451.602, 293.84, 513.3455, 112.4399, 0, 0, 514.2407, 893.7037, 768.5004, 185.3464, 1388.708, 793.6586, 493.2959, 440.694, 375.3858, 3300.81, 123.4993, 3.051758e-05, 397.1795, 1541.623, 1317.405, 121.4557, 915.4946, 625.9252, -7.629395e-06, 275.4841, 1113.084, 867.9127, -6.103516e-05, 1852.303, 998.1343, 470.5921, 592.3341, 641.5181, 707.1959, 0, 1203.58, 980.5018, 708.4647, 1412.666
2.7, 57.59544, 836.1215, 205.3707, 541.3172, 235.5765, 7.629395e-06, 442.4575, 440.4188, 168.8286, 3428.722, 281.0394, 490.0532, 107.4232, 0, 0, 490.2482, 926.5093, 735.8121, 176.8769, 1457.035, 848.2426, 610.4838, 419.2322, 368.0385, 3400.559, 141.7664, 3.051758e-05, 435.7977, 1706.295, 1471.916, 116.3702, 872.6183, 598.4755, -7.629395e-06, 263.3225, 1062.299, 867.3116, -9.155273e-05, 1938.935, 1009.167, 503.6549, 708.0473, 645.6941, 734.3423, 0, 1217.634, 1043.856, 676.7068, 1412.677
2.8, 54.59483, 946.322, 268.8109, 515.5197, 224.209, 9.536743e-06, 445.6644, 460.2158, 159.394, 3505.853, 268.7964, 467.8177, 102.6304, 0, 0, 467.3751, 911.8228, 756.7488, 168.7944, 1392.174, 830.274, 579.8356, 430.7348, 473.5996, 3592.753, 135.9394, 6.103516e-05, 417.2335, 1660.33, 1464.798, 111.4977, 917.3975, 572.2295, -7.629395e-06, 270.3649, 1013.831, 911.1871, -9.155273e-05, 1948.866, 1008.193, 482.4446, 676.3162, 746.9088, 725.9094, 0, 1187.576, 1000.038, 646.3725, 1436.387
2.9, 51.75055, 970.0959, 255.8788, 529.2289, 213.3901, 9.536743e-06, 459.8032, 456.7894, 245.0015, 3498.696, 330.2662, 446.5912, 98.05132, 0, 0, 445.5691, 922.3619, 968.0557, 161.0812, 1423.859, 840.589, 550.726, 517.7579, 454.2775, 3598.94, 130.3519, 6.103516e-05, 529.9056, 1684.377, 1456.378, 106.8291, 973.2805, 547.1345, -7.629395e-06, 337.1643, 967.5744, 872.0507, -9.155273e-05, 2035.098, 963.0895, 520.4974, 646.007, 711.3349, 735.4199, 0, 1325.663, 1222.776, 617.3979, 1376.332
3, 49.05445, 927.9078, 299.7192, 561.3919, 289.0302, 1.144409e-05, 437.2852, 496.063, 231.3102, 3483.094, 315.8788, 426.3278, 93.6766, 0, 1.525879e-05, 424.7805, 905.9728, 1061.042, 153.7205, 1360.475, 886.7925, 523.0778, 492.5432, 493.2779, 3660.394, 180.9257, 6.103516e-05, 507.3325, 1650.737, 1500.181, 102.356, 927.6979, 590.9423, -7.629395e-06, 322.2798, 923.4284, 834.5954, -9.155273e-05, 2187.208, 920.0041, 498.5778, 732.5771, 718.3005, 710.2633, 0, 1469.462, 1171.447, 589.7223, 1603.549
3.1, 46.49881, 951.9321, 285.3002, 574.1642, 294.0909, 1.144409e-05, 415.8699, 473.1231, 218.3839, 3516.009, 302.1181, 406.9838, 89.49706, 0, 1.525879e-05, 404.9619, 991.6881, 1219.019, 146.6962, 1372.843, 850.0614, 496.8175, 653.2098, 479.0513, 3737.691, 173.4892, 6.103516e-05, 485.7209, 1628.535, 1552.306, 98.07022, 1099.078, 648.4437, -7.629395e-06, 308.0523, 1007.434, 798.7488, -7.629395e-05, 2173.087, 934.3539, 477.5812, 799.7897, 773.828, 748.8812, 0, 1546.92, 1122.273, 563.2872, 1536.505
3.2, 44.07631, 931.0278, 309.8562, 572.3861, 279.8999, 1.144409e-05, 395.5035, 451.2441, 206.1801, 3360.439, 288.9569, 388.5175, 85.50401, 0, 1.525879e-05, 505.7531, 950.4438, 1233.73, 139.9928, 1311.73, 835.6583, 471.8757, 621.3985, 471.4475, 3817.929, 194.4405, 6.103516e-05, 509.3734, 1663.781, 1531.303, 93.96388, 1105.203, 620.0065, -7.629395e-06, 294.4529, 961.4692, 849.3919, -7.629395e-05, 2245.678, 892.554, 457.4689, 904.9391, 796.127, 713.3009, 230.3027, 1602.34, 1075.163, 538.0371, 1571.976
3.3, 41.78002, 890.5387, 294.9495, 545.108, 266.3936, 9.536743e-06, 376.1345, 430.377, 194.6582, 3304.724, 309.4533, 370.8891, 81.68909, 0, 0, 482.1566, 1087.838, 1253.581, 133.5957, 1349.196, 801.0452, 448.186, 656.7646, 524.4484, 3780.613, 186.4485, 6.103516e-05, 487.675, 1662.217, 1530.142, 90.0295, 1053.442, 592.8163, -7.629395e-06, 281.4539, 956.2596, 845.3593, -6.103516e-05, 2354.667, 897.9518, 438.2036, 888.0447, 838.451, 679.4111, 220.227, 1736.178, 1030.031, 513.9188, 1552.8
3.4, 39.60336, 991.3347, 280.7599, 519.1299, 253.5391, 9.536743e-06, 474.4838, 410.4747, 206.8848, 3312.159, 348.2308, 354.0606, 78.0444, 0, 0, 506.2161, 1078.101, 1200.26, 127.491, 1337.587, 840.2535, 425.6857, 665.0224, 503.0518, 3738.205, 178.7849, 6.103516e-05, 466.9008, 1592.886, 1606.839, 86.25986, 1074.265, 566.8185, -1.144409e-05, 269.0288, 968.5612, 809.0504, -6.103516e-05, 2327.198, 981.1343, 536.4356, 864.1074, 798.5171, 647.1315, 210.592, 1780.836, 986.7928, 490.8817, 1642.564
3.5, 37.5401, 974.5576, 267.2531, 522.049, 241.3048, 9.536743e-06, 451.2468, 391.4927, 195.3235, 3278.221, 333.0608, 337.9956, 74.56232, 0, 0, 482.598, 1138.116, 1259.822, 121.6652, 1406.942, 843.54, 404.3149, 632.6359, 482.5281, 3813.61, 171.4363, 4.577637e-05, 447.0117, 1711.169, 1526.381, 82.64804, 1090.08, 541.9609, -1.144409e-05, 257.1522, 1011.008, 774.301, -6.103516e-05, 2343.962, 987.566, 513.8448, 955.5128, 760.4851, 783.7567, 201.3786, 1918.201, 945.3701, 468.8772, 1729.588
3.6, 35.58434, 1002.411, 254.396, 523.0205, 324.2289, 7.629395e-06, 429.1478, 373.3886, 263.0966, 3316.46, 318.5516, 322.6595, 71.23559, 0, 7.629395e-06, 460.0818, 1090.782, 1449.008, 116.1056, 1344.31, 825.2042, 384.017, 722.8258, 536.1209, 3883.642, 164.3898, 4.577637e-05, 487.1229, 1639.797, 1582.686, 79.18745, 1162.061, 545.0545, -1.525879e-05, 245.7999, 1012.365, 781.2711, -6.103516e-05, 2445.808, 943.3857, 492.2053, 912.6915, 999.0472, 760.1261, 192.5683, 1967.085, 1082.165, 447.8592, 1657.274
3.7, 33.73046, 981.7732, 242.1574, 529.7689, 308.5836, 9.536743e-06, 408.1311, 356.1217, 248.3941, 3207.508, 349.6802, 308.0193, 68.05729, 0, 7.629395e-06, 438.6161, 1066.098, 1442.316, 110.8001, 1408.717, 791.0241, 364.7381, 687.6242, 520.5349, 3957.344, 157.6329, 4.577637e-05, 475.5062, 1628.159, 1542.136, 75.87175, 1179.578, 584.6328, -1.144409e-05, 234.9487, 984.5485, 804.4509, -6.103516e-05, 2546.053, 1001.722, 471.4771, 916.1656, 951.4645, 854.8527, 184.1435, 2144.379, 1183.808, 427.7832, 1712.44
3.8, 31.97317, 984.7264, 230.5076, 504.5218, 326.119, 7.629395e-06, 388.1436, 339.6533, 296.4029, 3229.173, 353.5698, 294.0435, 65.0208, 0, 1.525879e-05, 418.1519, 1048.896, 1391.055, 105.737, 1346.006, 873.4592, 346.4271, 717.8716, 558.5818, 3907.643, 151.1537, 3.051758e-05, 455.2504, 1560.249, 1494.145, 72.6949, 1198.433, 586.321, -1.144409e-05, 224.5766, 976.2371, 769.899, -6.103516e-05, 2452.862, 965.4562, 451.6219, 1069.094, 906.1481, 814.2376, 176.0872, 2236.031, 1134.115, 408.6073, 1736.327
3.9, 30.30743, 941.902, 219.4182, 480.4778, 326.0993, 7.629395e-06, 479.4755, 323.9464, 306.0993, 3160.29, 338.1672, 280.7017, 62.11978, 0, 1.525879e-05, 536.9425, 1005.273, 1444.161, 100.9053, 1360.193, 867.0286, 329.0353, 682.9114, 535.7926, 3786.568, 144.9409, 3.051758e-05, 435.8575, 1510.768, 1419.33, 69.65109, 1307.476, 560.6082, -7.629395e-06, 214.6623, 998.2194, 891.2075, -4.577637e-05, 2514.613, 942.0114, 479.641, 1070.308, 862.9898, 792.3356, 168.3834, 2252.546, 1086.508, 390.2909, 1663.732
4, 28.72847, 989.4497, 208.8624, 534.2231, 310.3637, 6.67572e-06, 455.994, 384.2417, 288.9937, 3184.034, 371.3766, 267.9653, 59.3482, 0, 1.525879e-05, 603.0406, 1032.291, 1382.734, 96.29434, 1299.643, 831.1161, 312.5167, 696.1069, 513.9332, 3894.047, 171.9303, 3.051758e-05, 471.0801, 1483.398, 1407.439, 66.7347, 1246.242, 536.0228, -7.629395e-06, 205.1858, 1094.478, 852.9294, -4.577637e-05, 2499.884, 899.869, 459.4419, 1077.297, 892.1273, 754.6907, 161.0166, 2384.548, 1040.899, 372.7956, 1682.841
4.1, 27.23178, 997.1039, 198.8143, 534.8943, 295.3875, 6.67572e-06, 433.6626, 366.4729, 321.8119, 3199.828, 368.9132, 255.8067, 56.70028, 0, 2.288818e-05, 574.905, 1018.852, 1481.578, 91.8941, 1241.788, 879.4514, 296.8274, 744.9373, 492.9656, 4094.047, 164.8635, 3.051758e-05, 458.6307, 1448.924, 1511.21, 63.94041, 1231.787, 583.6488, -1.144409e-05, 196.1276, 1044.542, 873.3519, -6.103516e-05, 2479.959, 943.7577, 440.0935, 1029.018, 905.9061, 795.1504, 153.9721, 2443.198, 997.205, 356.0845, 1636.722
4.2, 25.81306, 1041.69, 306.3193, 621.4502, 329.877, 6.67572e-06, 437.5724, 349.5258, 322.1454, 3058.247, 352.8422, 244.1999, 54.1705, 0, 2.288818e-05, 548.0822, 987.439, 1455.367, 87.69495, 1283.822, 933.2049, 281.9257, 708.6588, 472.8534, 4099.847, 158.0871, 1.525879e-05, 439.0938, 1568.361, 1554.634, 61.26315, 1277.184, 734.3096, -7.629395e-06, 187.4693, 996.8842, 874.3678, -6.103516e-05, 2578.413, 901.5372, 537.6136, 1048.05, 919.5859, 780.0977, 147.2358, 2463.169, 1106.436, 340.1225, 1632.647
4.3, 24.46825, 1101.169, 409.0799, 801.2614, 313.9592, 7.629395e-06, 439.6997, 470.8222, 304.1431, 3097.158, 378.1541, 233.1197, 192.0413, 0, 2.288818e-05, 522.5108, 1044.13, 1493.669, 83.68767, 1226.671, 937.3234, 267.7721, 674.1472, 479.0378, 4173.393, 151.5893, 3.051758e-05, 468.0901, 1557.829, 1519.677, 58.69798, 1217.368, 784.3798, -1.144409e-05, 179.1932, 1040.965, 836.8129, -4.577637e-05, 2597.78, 965.1961, 589.7067, 1072.776, 1168.751, 943.0504, 140.7943, 2599.978, 1059.99, 324.876, 1818.077
4.4, 23.1935, 1053.28, 501.3855, 821.1497, 405.2719, 7.629395e-06, 433.6418, 449.0496, 287.1468, 3029.994, 454.2381, 222.5422, 199.7398, 0, 2.288818e-05, 592.1864, 1019.682, 1588.249, 151.1401, 1261.862, 967.6884, 254.3291, 641.3163, 504.5078, 4236.46, 145.3585, 3.051758e-05, 526.5803, 1492.853, 1643.633, 56.24022, 1358.483, 749.9811, -1.144409e-05, 171.2825, 993.4708, 957.6205, -6.103516e-05, 2572.895, 922.0165, 582.9519, 1150.338, 1604.741, 898.2449, 134.6345, 2549.717, 1230.801, 310.313, 1818.748
4.5, 21.98516, 1135.205, 512.7131, 819.5472, 385.716, 6.67572e-06, 412.405, 428.2839, 329.6472, 2938.796, 434.45, 212.4447, 290.9606, 0, 1.525879e-05, 564.5572, 977.2736, 1816.068, 144.2336, 1205.689, 927.6066, 241.561, 610.0842, 503.8237, 4136.104, 139.3839, 3.051758e-05, 595.1317, 1495.349, 1561.333, 53.88536, 1294.859, 717.0909, -1.144409e-05, 163.721, 948.1432, 1033.712, -6.103516e-05, 2594.188, 880.7686, 589.3305, 1123.067, 1800.435, 897.9388, 128.7443, 2651.89, 1179.135, 296.4028, 1742.707
