 , C000, C001, C002, C003, C004, C005, C006, C007, C008, C009, C010, C011, C012, C013, C014, C015, C017, C018, C022, C023, C025, C026, C027, C029, C030, C031, C032, C035, C037, C038, C039, C040, C045, C047, C048, C052, C053, C054, C056, C057, C058, C061, C063, C065, C066, C078, C081, C092, C098
Time(s)/Cell Status, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted
288.3, 237.0306, 615.8708, 670.2791, 952.7188, 427.4691, 974.8168, 6.042197, 721.7574, 483.5177, 1723.43, 1.482199, 358.0052, 966.821, 441.9308, 1284.745, 310.073, 111.6244, 442.2036, 1604.774, 2286.594, 1276.135, 40.45562, 1034.877, 425.7151, 51.55918, 468.2731, 571.2785, 322.6791, 26.6463, 491.9308, 39.04768, 696.7474, 16.04744, 578.5245, 1146.712, 694.484, 222.3496, 684.321, 1295.264, 241.5974, 1479.32, 2340.321, 1261.524, 448.7044, 726.8821, 444.693, 2861.717, 2061.296, 1886.85
288.4, 260.8707, 589.0874, 709.2019, 931.4716, 465.6399, 996.4529, 5.746292, 753.4315, 564.1549, 1715.241, 1.417629, 341.7612, 1010.598, 516.1172, 1333.618, 295.6061, 106.9819, 423.3944, 1531.443, 2390.946, 1223.277, 38.42461, 984.4788, 408.3466, 49.4435, 489.7104, 610.3304, 308.9336, 25.53489, 467.2988, 37.4127, 686.2484, 15.34368, 595.9071, 1096.089, 662.7979, 212.7995, 655.1985, 1243.012, 230.7892, 1451.849, 2414.626, 1201.44, 427.3859, 752.8004, 426.5382, 2973.031, 2069.24, 1974.942
288.5, 247.2799, 563.4688, 675.0833, 887.0806, 482.0286, 965.3414, 5.464878, 718.5899, 547.0441, 1690.231, 1.355873, 365.6597, 965.5082, 490.5187, 1274.343, 281.8143, 102.5325, 426.9683, 1672.351, 2306.044, 1202.087, 36.49557, 1049.494, 391.6868, 47.41463, 498.8187, 585.259, 295.7735, 24.46984, 514.2929, 35.84618, 802.4735, 14.67079, 564.9995, 1188.942, 677.259, 203.6596, 627.3154, 1238.903, 220.4644, 1390.707, 2447.594, 1183.05, 407.0803, 719.8654, 409.1245, 2848.232, 2021.183, 1947.028
288.6, 234.3971, 538.9644, 687.2374, 917.7011, 458.7688, 960.4014, 5.197246, 685.3596, 516.4739, 1737.079, 1.296807, 404.9825, 1007.309, 466.1899, 1259.209, 308.6144, 98.2682, 408.8071, 1612.112, 2393.524, 1185.761, 34.66338, 998.3833, 375.7066, 45.46901, 514.8904, 561.2173, 283.1741, 23.44922, 509.6653, 34.34526, 764.8905, 14.02741, 535.695, 1136.455, 646.3588, 194.9122, 600.619, 1188.926, 210.6016, 1332.141, 2360.68, 1229.587, 387.7394, 688.3713, 392.4218, 2989.015, 1984.729, 1973.024
288.7, 222.1855, 613.4586, 654.1755, 873.9664, 436.6314, 908.7494, 4.94272, 653.666, 487.612, 1660.219, 1.240314, 386.607, 962.3665, 443.0677, 1203.241, 294.2157, 94.18123, 391.4184, 1538.446, 2286.974, 1175.284, 32.92317, 949.7621, 398.1049, 43.60323, 493.7269, 589.5878, 271.1113, 22.47116, 484.1453, 32.90718, 778.3268, 13.41224, 587.1498, 1086.284, 702.2211, 186.5406, 575.0586, 1193.686, 201.18, 1323.144, 2417.723, 1171.024, 369.3174, 658.2551, 421.8708, 2996.288, 2062.786, 1919.409
288.8, 210.61, 642.1465, 622.7042, 962.8915, 585.9297, 962.9746, 267.8137, 623.438, 460.3629, 1668.426, 1.186282, 369.0653, 919.4289, 421.0924, 1149.761, 308.7827, 90.26423, 415.0493, 1468.145, 2356.055, 1228.217, 301.2689, 1007.847, 395.1972, 41.81401, 473.4333, 565.3684, 259.5624, 21.5339, 557.8178, 31.52931, 893.6837, 12.82405, 628.6069, 1074.955, 730.0113, 178.5285, 550.586, 1240.01, 192.1799, 1427.228, 2379.055, 1190.214, 351.7707, 629.4564, 404.6478, 2870.511, 2050.893, 1929.76
288.9, 199.6377, 683.8566, 592.7469, 917.0031, 585.147, 992.2709, 565.2181, 694.9012, 534.1504, 1650.378, 1.134604, 352.3195, 952.586, 487.5647, 1155.322, 294.3761, 86.51014, 397.3951, 1469.92, 2251.173, 1196.877, 334.1243, 1119.211, 439.3217, 40.09821, 453.9738, 595.232, 248.5055, 20.63573, 609.7407, 30.20914, 885.4474, 12.26166, 596.0034, 1027.499, 756.4833, 170.8606, 527.1548, 1266.372, 183.5824, 1367.123, 2433.163, 1133.527, 335.0577, 601.9177, 495.001, 2845.528, 2037.554, 1968.712
289, 261.0562, 654.1166, 564.2308, 873.3016, 661.2421, 971.0643, 791.2006, 662.7664, 504.3007, 1685.368, 1.085177, 336.3335, 1044.443, 463.3824, 1155.883, 280.6417, 82.91218, 380.4918, 1469.54, 2343.205, 1147.302, 317.3502, 1096.666, 472.2635, 38.45282, 482.044, 782.8724, 237.9196, 19.77502, 579.2097, 28.94424, 1002.455, 11.72393, 565.0908, 982.1391, 771.7495, 163.522, 504.7209, 1226.555, 175.3696, 1455.172, 2541.917, 1079.539, 319.1387, 575.5838, 516.7517, 2876.062, 1946.218, 1923.792
289.1, 258.3127, 625.6699, 537.0865, 831.6829, 641.6099, 939.0837, 964.1685, 632.1176, 476.119, 1610.797, 1.037903, 321.0729, 997.843, 440.3995, 1110.821, 267.548, 79.46386, 460.8385, 1402.388, 2322.68, 1218.875, 325.433, 1142.137, 558.1102, 36.87494, 462.2306, 750.7131, 227.7846, 18.95022, 611.4376, 146.4852, 1039.065, 11.20978, 535.7816, 938.7813, 829.4841, 156.4986, 483.2416, 1239.856, 167.5241, 1393.891, 2593.935, 1028.122, 303.976, 550.402, 534.9429, 2874.748, 2067.009, 1843.359
289.2, 316.7159, 598.4604, 511.2482, 915.8391, 610.6497, 1038.679, 1050.972, 602.886, 449.5122, 1598.479, 0.992689, 306.5047, 1065.299, 418.5565, 1169.181, 255.0652, 76.15896, 441.2367, 1430.462, 2219.283, 1168.389, 322.252, 1145.231, 660.2006, 35.36181, 443.2316, 801.6412, 218.0814, 18.15981, 666.6971, 140.3517, 990.4013, 10.71818, 538.7957, 997.5902, 843.6209, 149.7768, 462.6765, 1291.539, 160.0296, 1335.19, 2593.156, 979.1547, 289.5338, 673.1406, 554.2218, 2901.043, 1974.353, 1898.309
