 , C000, C001, C002, C003, C004, C007, C010, C012, C015, C019, C022, C024, C025, C026, C029, C033, C035, C036, C040, C041, C044, C045, C051, C058, C062, C063, C064, C068, C076, C077, C078, C079, C085, C104, C106, C127
Time(s)/Cell Status, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted
39.7, 475.2945, 2731.229, 2347.065, 278.3021, 4920.876, 1370.417, 798.2147, 0.1198457, 1038.656, 1558.923, 1519.011, 1128.669, 1106.116, 175.8289, 1395.361, 3160.832, 1112.905, 1131.586, 133.2236, 724.8495, 2.563518, 1803.169, 1236.177, 0.6014526, 630.811, 1067.018, 2554.936, 2604.767, 1922.296, 1421.443, 1749.859, 107.2356, 0.485428, 1090.182, 1387.938, 3348.15
39.8, 451.9772, 2616.669, 2399.863, 266.5049, 4971.166, 1312.742, 761.9243, 0.1149522, 1000.169, 1495.99, 1456.266, 1184.582, 1105.122, 168.3853, 1459.294, 3032.41, 1065.608, 1079.032, 127.5303, 690.9453, 2.456263, 1937.259, 1280.112, 0.5730538, 600.5386, 1066.943, 2557.323, 2674.208, 1918.54, 1353.248, 1861.927, 288.5237, 0.4639482, 1140.466, 1328.155, 3264.686
39.9, 429.8038, 2660.938, 2364.262, 255.2078, 4920.56, 1257.494, 727.2838, 0.1102586, 988.4356, 1567.646, 1543.576, 1147.347, 1058.568, 161.2568, 1512.002, 2955.885, 1222.921, 1122.321, 122.0802, 658.6268, 2.353495, 1911.496, 1219.636, 0.545996, 657.0159, 1090.918, 2444.733, 2664.49, 2013.245, 1405.913, 1880.852, 275.8471, 0.4434189, 1089.283, 1270.947, 3423.312
40, 408.7182, 2654.952, 2264.099, 244.3895, 5026.321, 1283.218, 694.2181, 0.1057566, 949.2518, 1651.687, 1672.723, 1107.844, 1013.976, 244.9379, 1475.499, 3170.809, 1263.828, 1070.197, 116.8631, 734.8268, 2.255028, 1988.641, 1261.915, 0.5202157, 657.2669, 1142.847, 2699.832, 2649.732, 2014.9, 1338.463, 1801.937, 263.7275, 0.4237979, 1040.397, 1340.972, 3394.975
40.1, 388.6671, 2665.783, 2385.594, 234.0299, 4834.331, 1247.726, 779.0406, 0.1014384, 1082.472, 1654.153, 1758.293, 1096.076, 1014.082, 234.5686, 1450.977, 3161.318, 1267.085, 1153.238, 201.6918, 700.4558, 2.16068, 1904.543, 1202.299, 0.4956527, 625.725, 1291.819, 2844.002, 2612.416, 2160.011, 1349.601, 1787.385, 252.1404, 0.4050452, 1087.14, 1361.776, 3298.045
40.2, 369.5996, 2665.419, 2368.202, 395.2486, 4930.144, 1206.446, 786.4095, 0.09729652, 1033.776, 1787.169, 1721.059, 1048.231, 1086.14, 275.3481, 1533.682, 3032.876, 1213.236, 1119.307, 193.0724, 840.0408, 2.070279, 2035.93, 1145.499, 0.4722495, 606.807, 1235.022, 2804.447, 2499.648, 2060.755, 1339.042, 1922.475, 241.0624, 0.3871222, 1038.35, 1427.383, 3377.948
40.3, 351.4676, 2570.167, 2418.151, 378.494, 4934.102, 1155.672, 750.6558, 0.09332377, 1040.445, 1809.938, 1717.302, 1002.475, 1088.566, 263.6913, 1465.458, 3214.997, 1288.375, 1067.323, 184.8215, 800.7485, 1.983661, 1949.832, 1173.99, 0.4499513, 664.9802, 1286.074, 2803.582, 2644.447, 1997.508, 1339.889, 1841.814, 230.4711, 0.3699924, 991.7495, 1401.269, 3439.163
40.4, 334.225, 2462.363, 2458.196, 497.084, 5046.604, 1141.48, 731.7891, 0.08951324, 1200.286, 1736.872, 1646.366, 958.7162, 1042.71, 252.5281, 1476.333, 3167.21, 1233.621, 1196.14, 176.9231, 763.2941, 1.900667, 1909.973, 1118.527, 0.428706, 716.9373, 1229.53, 2778.151, 2648.674, 1934.107, 1353.489, 1806.221, 220.3451, 0.3536205, 1176.563, 1372.181, 3479.038
40.5, 317.8284, 2468.844, 2505.283, 476.0126, 5289.711, 1306.372, 851.4126, 0.08585829, 1246.485, 1691.227, 1578.361, 979.7227, 998.7857, 241.8374, 1557.396, 3130.094, 1299.833, 1185.778, 247.4782, 879.0712, 1.821145, 1874.032, 1179.387, 0.4084638, 682.5317, 1315.17, 2765.681, 2534.342, 1984.192, 1288.554, 1773.423, 210.664, 0.3379731, 1123.76, 1337.147, 3521.154
40.6, 302.2362, 2532.184, 2518.555, 473.7954, 5652.161, 1251.393, 812.7036, 0.08235259, 1190.411, 1698.876, 1718.973, 980.1227, 1122.214, 231.5994, 1500.659, 3174.678, 1286.479, 1130.708, 236.9022, 837.9532, 1.74495, 1870.163, 1123.67, 0.3891774, 649.7773, 1286.868, 2643.917, 2704.964, 2053.963, 1226.734, 1888.253, 201.4083, 0.323018, 1122.241, 1453.423, 3485.082
40.7, 287.4089, 2521.688, 2576.665, 603.4537, 5953.087, 1298.111, 775.7544, 0.07899002, 1203.69, 1758.747, 1677.743, 937.3396, 1074.94, 221.7947, 1476.314, 3045.694, 1295.656, 1078.195, 226.7782, 798.7586, 1.671943, 1937.163, 1113.041, 0.3708016, 719.2993, 1253.172, 2527.514, 2746.634, 2038.669, 1223.437, 1911.875, 192.5592, 0.3087247, 1233.614, 1402.59, 3411.879
40.8, 273.309, 2686.216, 2788.613, 577.8733, 6029.277, 1243.479, 836.9591, 0.07576475, 1238.643, 1687.747, 1774.937, 1098.872, 1089.971, 212.4051, 1604.478, 3257.839, 1240.593, 1165.838, 234.6643, 761.3973, 1.601991, 1986.341, 1247.863, 0.3532935, 786.0797, 1204.763, 2534.515, 2728.447, 2164.571, 1164.741, 1984.655, 184.099, 0.2950639, 1178.25, 1594.668, 3300.527
40.9, 259.9008, 2652.046, 3009.051, 573.0883, 6352.589, 1378.174, 847.9743, 0.07267118, 1379.842, 1619.613, 1761.353, 1113.526, 1140.687, 203.413, 1533.105, 3125.476, 1193.532, 1187.45, 224.6359, 850.072, 1.534965, 2076.757, 1354.082, 0.336612, 816.7632, 1151.794, 2422.928, 2644.719, 2346.055, 1265.958, 1901.385, 176.0104, 0.2820075, 1125.371, 1639.536, 3232.447
