 , C000, C002, C004, C005, C006, C007, C008, C009, C010, C011, C012, C013, C014, C015, C016, C017, C018, C019, C020, C022, C024, C025, C027, C031, C032, C033, C035, C036, C037, C038, C041, C043, C044, C046, C050, C056, C058, C060, C062, C066, C068, C069, C072, C073, C076, C079, C084, C088, C092, C096, C097, C105
1, 0, 85.06404, 208.715, 0, 311.757, 242.8406, 689.7758, 329.1201, 0, 286.2392, 69.60986, 0, 321.2326, 1.525879e-05, 233.0024, 584.8336, 125.5293, 271.5219, 122.3416, 329.3352, 96.97885, 512.0612, 301.1678, 413.4817, 211.6004, 0, 368.6848, -6.103516e-05, 101.7972, 650.5586, 311.2307, 679.6648, 166.2892, 0, 694.871, 242.1395, 64.4259, 208.3535, 594.1334, 262.6959, 130.9212, 92.62766, 455.8856, 126.5861, 591.1429, 502.0045, 72.16318, 386.1389, 640.9907, 511.7762, 784.3676, 428.3845
1.1, 0, 81.3705, 198.5872, 0, 307.856, 231.6605, 869.9604, 524.8102, 0, 342.5777, 98.85303, 0, 326.8005, 1.525879e-05, 221.8172, 675.5741, 150.4578, 381.5098, 160.9759, 313.7992, 92.45011, 565.2401, 438.7377, 424.0977, 201.8593, 0, 350.4434, -6.103516e-05, 97.48468, 621.9421, 297.013, 650.98, 158.8995, 0, 887.3782, 232.2289, 61.0776, 327.4105, 658.339, 251.4971, 125.2961, 88.42258, 638.1196, 121.0543, 564.7668, 662.4259, 69.04837, 509.8617, 658.5391, 610.0737, 745.2308, 406.3649
1.2, 0, 77.83733, 188.9508, 0, 310.3931, 322.8748, 959.4805, 496.3854, 0, 326.6694, 94.26843, 0, 312.3718, 1.525879e-05, 211.169, 746.6059, 179.876, 364.0041, 172.9211, 334.2449, 88.13286, 566.0099, 441.0657, 591.2173, 306.3626, 0, 333.1045, -6.103516e-05, 93.35477, 594.5846, 283.4447, 623.5059, 151.8382, -1.525879e-05, 924.4282, 378.4423, 57.90331, 313.2896, 785.7389, 346.3087, 147.1099, 84.40842, 628.2102, 115.7643, 713.4152, 633.0292, 66.06799, 484.4987, 657.5808, 581.4576, 811.2082, 385.4772
1.3, 0, 96.07707, 179.782, 0, 377.4062, 308.0099, 924.3748, 580.6161, 0, 311.4999, 157.1361, 0, 298.58, 1.525879e-05, 201.0319, 802.728, 171.2105, 347.3016, 163.8556, 318.4773, 84.01721, 556.6166, 419.4438, 561.5852, 462.0149, 0, 316.6234, -6.103516e-05, 89.39987, 568.4304, 270.4963, 609.0571, 209.0629, -1.525879e-05, 916.3378, 362.9529, 54.894, 299.7777, 752.8459, 331.5456, 140.7893, 80.57651, 739.5945, 110.7054, 681.5834, 628.1071, 63.21626, 637.9623, 864.8549, 554.1838, 770.7322, 365.6631
1.4, 0, 221.1068, 171.0581, 0, 361.3839, 355.9319, 877.7089, 567.1992, 0, 333.4387, 149.8484, 0, 322.5461, 1.525879e-05, 227.883, 764.9927, 206.8898, 331.3656, 155.2654, 474.7186, 80.09377, 613.8895, 558.1336, 632.1838, 440.7459, 0, 300.9578, -6.103516e-05, 85.61255, 657.6214, 258.1394, 733.4117, 199.7723, 0, 891.4563, 348.0975, 155.5337, 286.8486, 802.8036, 317.4117, 167.4723, 146.3203, 768.0059, 105.8676, 651.1719, 846.0778, 60.48763, 606.227, 829.6336, 705.7905, 895.4289, 346.8675
1.5, 0, 211.5062, 356.2137, 0, 423.5547, 339.545, 833.3989, 677.4491, 0, 348.0565, 233.1598, 0, 482.2575, 65.91527, 310.3343, 729.0313, 196.9229, 316.1607, 210.1243, 452.3243, 76.35353, 656.9991, 685.7607, 672.7226, 428.0438, 0, 394.1968, 105.6814, 81.98563, 762.4846, 246.347, 702.4586, 190.8947, -1.525879e-05, 867.5586, 333.8502, 147.4503, 274.4771, 899.25, 360.9301, 246.9213, 139.6777, 751.1417, 101.2412, 764.0473, 904.7097, 57.87675, 576.0704, 878.6985, 672.6846, 850.7506, 329.038
1.6, 0, 202.3224, 412.1137, 0, 405.5731, 323.9126, 950.9319, 801.3488, 0, 411.0591, 353.0131, 0, 572.8921, 97.70514, 351.112, 828.1805, 187.4362, 301.6536, 248.5325, 584.5307, 72.78795, 688.8123, 749.2131, 639.0054, 451.832, 0, 374.6931, 188.7129, 78.51236, 785.5349, 235.0933, 762.9231, 182.4115, -1.525879e-05, 1089.525, 320.1859, 139.7872, 262.6391, 911.0127, 430.8506, 236.3123, 192.3551, 786.5822, 96.81702, 729.9564, 864.5612, 77.9532, 547.4139, 936.483, 641.1317, 808.3016, 312.125
1.7, 0, 193.5374, 392.116, 0, 388.355, 308.9999, 902.9254, 757.946, 0, 391.9708, 336.6411, 0, 547.598, 115.577, 334.257, 789.2488, 178.4065, 352.0516, 235.503, 598.269, 69.38889, 732.0888, 753.4111, 606.9781, 431.0317, 0, 356.1544, 180.1352, 75.18625, 845.0192, 224.3536, 758.31, 174.3053, -1.525879e-05, 1154.783, 346.0571, 188.4019, 251.3118, 969.416, 437.5957, 226.1591, 183.6227, 885.9894, 92.58617, 697.3866, 826.1941, 83.70726, 520.1829, 1034.667, 611.0587, 922.4088, 296.0814
1.8, 0, 185.1339, 373.0887, 0, 387.8581, 294.7738, 857.3423, 935.9897, 0, 373.7688, 321.0284, 0, 748.2377, 109.8677, 318.2111, 752.1472, 169.8118, 371.9251, 239.3267, 570.0463, 66.14854, 769.5589, 728.766, 608.3007, 411.189, 0, 338.533, 171.9475, 72.00107, 845.2347, 214.1046, 729.1655, 204.515, -1.525879e-05, 1094.659, 345.4593, 239.256, 240.4729, 1045.863, 418.941, 216.4421, 175.2867, 842.1255, 88.54016, 666.2701, 934.2539, 80.09418, 494.3065, 1106.583, 582.3964, 876.3844, 280.8624
1.9, 0, 178.8612, 354.9847, 0, 401.7778, 281.2026, 814.0605, 885.2946, 0, 451.8763, 306.1397, 0, 882.6334, 104.4405, 302.9355, 716.7897, 161.6312, 459.2464, 252.8866, 543.155, 63.05953, 752.385, 704.3912, 845.0418, 392.2597, 0, 321.7833, 164.1319, 68.95078, 827.5415, 204.3238, 698.3916, 195.4265, -1.525879e-05, 1095.812, 438.5078, 226.8215, 230.1015, 1111.042, 432.2559, 207.1427, 167.3291, 800.4334, 177.476, 721.2349, 913.7637, 76.63702, 469.7173, 1061.517, 555.0785, 1000.823, 402.8546
2, 0, 171.0949, 337.7592, 0, 384.7208, 332.3391, 772.9638, 960.2766, 0, 488.2195, 291.9416, 0, 948.5726, 99.28133, 288.3932, 683.0943, 153.8446, 438.1737, 322.3567, 542.2358, 60.11476, 878.3583, 775.8186, 810.7261, 374.2019, 0, 305.8625, 156.6715, 66.02972, 791.1401, 194.9897, 668.9165, 186.742, -7.629395e-06, 1056.156, 497.6649, 215.0333, 220.1775, 1064.531, 413.8288, 198.2428, 272.1577, 899.3647, 211.0703, 763.9038, 1015.582, 73.3291, 446.3514, 1141.397, 529.042, 950.8862, 462.1808
2.1, 0, 194.3474, 354.1421, 0, 368.3879, 317.0384, 749.9191, 1024.035, 0, 465.5481, 387.0563, 0, 984.8752, 139.7298, 274.549, 650.9828, 146.4332, 418.068, 316.619, 566.0997, 57.30751, 850.8828, 737.7865, 810.9452, 356.9754, 0, 290.7293, 238.0618, 63.23239, 862.5311, 186.0822, 703.9793, 178.4434, -1.525879e-05, 1001.168, 477.2959, 203.8577, 210.6815, 1134.682, 443.9572, 189.7253, 259.8024, 854.8387, 201.8466, 739.4073, 970.5131, 70.16396, 424.1478, 1094.914, 504.2268, 903.4407, 438.4241
2.2, 0, 271.6471, 336.9574, 0, 352.7485, 353.8774, 897.7813, 968.5709, 0, 443.9294, 439.9264, 0, 1019.868, 132.8274, 287.3394, 620.381, 139.3789, 398.8848, 328.5243, 633.0364, 54.63136, 813.4914, 701.6188, 770.3002, 340.542, 0, 276.3448, 245.5742, 60.55359, 824.5906, 177.5815, 674.2684, 170.5135, -7.629395e-06, 1087.617, 489.699, 193.2629, 201.595, 1087.181, 530.833, 252.9392, 248.0081, 982.0764, 193.0259, 790.5338, 927.4442, 67.13545, 403.0486, 1334.02, 480.5755, 1155.978, 514.1656
2.3, 0, 259.852, 356.275, 0, 378.1207, 337.5851, 887.1428, 967.6655, 0, 495.7312, 419.5235, 0, 974.8391, 126.266, 273.5457, 591.2177, 132.6643, 380.5818, 315.745, 812.632, 52.08017, 868.659, 667.2241, 731.6923, 324.865, 0, 262.6721, 282.6804, 57.98828, 912.8415, 169.4691, 678.1802, 162.936, 379.7947, 1106.481, 627.7814, 183.2188, 192.9004, 1100.038, 508.2036, 242.0716, 236.7492, 1067.648, 184.5908, 755.2611, 1070.083, 64.23766, 382.999, 1279.692, 458.0336, 1170.342, 660.0248
2.4, 0, 248.569, 492.1511, 0, 362.068, 322.043, 842.3566, 915.2548, 0, 495.0931, 400.0668, 0, 1140.175, 316.1257, 260.4143, 563.4252, 164.5951, 363.1187, 489.2035, 774.2969, 49.64812, 921.61, 634.5155, 695.0194, 309.9097, 0, 249.6759, 269.8316, 55.53168, 1076.988, 161.7274, 649.5581, 155.6953, 363.4391, 1048.872, 602.0867, 173.6967, 184.5808, 1262.776, 486.5388, 281.5636, 226.0014, 1108.545, 327.9065, 721.5623, 1022.596, 61.46494, 363.9468, 1306.237, 646.5701, 1111.947, 626.0986
2.5, 0, 243.8315, 517.1301, 0, 535.6716, 307.2164, 822.7521, 937.761, 0, 472.1025, 381.5125, 0, 1147.005, 300.5096, 247.9132, 536.9393, 156.6657, 346.4568, 463.5566, 737.7703, 47.32964, 954.7009, 684.7896, 685.4219, 295.6429, 0, 237.3227, 281.868, 53.17911, 1227.103, 154.3393, 622.144, 148.7764, 347.7877, 994.2629, 734.4419, 164.6694, 176.62, 1209.913, 544.8185, 306.8408, 215.7415, 1164.794, 313.5771, 857.233, 1066.851, 58.81187, 450.3409, 1370.137, 616.242, 1082.474, 593.9163
2.6, 0, 233.2442, 492.0366, 0, 512.9302, 293.0723, 870.4492, 1012.948, 0, 450.1795, 451.5451, 0, 1159.957, 311.9167, 236.0122, 519.2611, 149.1184, 330.5596, 453.5653, 794.7877, 45.11943, 1023.756, 663.9652, 681.8043, 282.0328, 0, 348.429, 269.0562, 50.92624, 1288.034, 228.5994, 595.8868, 225.8214, 332.8104, 942.4969, 704.3817, 156.1113, 169.0025, 1312.463, 521.5928, 293.6573, 205.9474, 1225.572, 322.1671, 900.3188, 1085.554, 56.27336, 515.3885, 1484.505, 587.3366, 1309.479, 563.3882
2.7, 0, 281.8867, 590.6438, 0, 491.1543, 279.5795, 826.5057, 958.0851, 0, 515.172, 430.6034, 0, 1204.294, 296.5086, 224.6825, 572.8669, 154.4847, 315.3917, 576.3292, 757.2944, 43.01244, 978.7681, 663.5216, 647.6319, 269.0494, 0, 331.1898, 294.4816, 48.76881, 1378.501, 238.3301, 703.5612, 215.7861, 318.4781, 935.7208, 787.0406, 147.998, 161.7136, 1397.132, 499.3573, 281.0403, 196.5979, 1164.896, 348.5047, 997.9216, 1173.666, 53.84441, 489.7507, 1501.403, 617.122, 1321.89, 534.4292
2.8, 0, 353.6841, 626.6073, 0, 470.3028, 399.1105, 784.7806, 982.8401, 0, 542.7003, 410.6329, 0, 1151.122, 281.8617, 286.8286, 545.9372, 159.4082, 300.9199, 546.1147, 778.3444, 41.00383, 979.7618, 700.9338, 615.1722, 256.6636, 0, 314.8035, 281.0964, 46.70274, 1368.441, 227.4426, 673.8679, 206.1968, 304.763, 1076.255, 778.1287, 140.3064, 270.1906, 1475.338, 478.0697, 268.9654, 187.6729, 1199.572, 333.2752, 953.3955, 1137.208, 51.52029, 465.3881, 1617.451, 588.1753, 1255.933, 582.0492
2.9, 0, 338.3268, 597.2601, 0, 503.6562, 380.7358, 745.162, 1164.59, 0, 517.4989, 481.5241, 0, 1100.298, 332.6396, 273.0594, 531.3149, 189.6995, 287.1121, 560.334, 741.6268, 39.08902, 1050.979, 666.5727, 644.5413, 244.848, 0, 299.2279, 268.3196, 44.72421, 1422.142, 248.7872, 685.3379, 239.0372, 291.6385, 1020.22, 746.2805, 133.0144, 276.2155, 1413.577, 457.6896, 257.4092, 475.897, 1213.577, 446.4202, 976.9443, 1323.474, 55.05522, 442.2375, 1626.525, 948.667, 1276.618, 552.1311
3, 0, 323.6364, 568.2783, 0, 482.274, 363.207, 707.5435, 1344.536, 0, 493.4678, 496.6459, 0, 1196.852, 438.5253, 259.9513, 538.9334, 227.4085, 273.9379, 530.9582, 739.9341, 37.26363, 1004.795, 695.5508, 748.9742, 233.5763, 0, 362.8639, 256.1236, 42.82951, 1359.586, 237.422, 656.4137, 313.7991, 279.0793, 1132.921, 774.2025, 213.5291, 295.1358, 1497.628, 554.228, 246.3496, 454.2925, 1271.673, 426.9118, 1011.337, 1378.987, 52.67886, 420.2384, 1560.284, 904.1688, 1244.153, 523.7508
3.1, 0, 319.6765, 628.6934, 0, 613.1981, 346.4852, 722.5789, 1446.054, 0, 553.085, 473.6124, 0, 1244.132, 509.3387, 259.1232, 513.5989, 216.4531, 261.3681, 579.941, 854.0139, 35.52349, 1091.35, 798.5451, 817.2592, 265.9138, 0, 344.9105, 328.9348, 41.01506, 1386.247, 247.4615, 628.7103, 317.1154, 267.0609, 1196.463, 832.2195, 202.4317, 282.4069, 1560.166, 530.6012, 310.5378, 433.6689, 1271.192, 408.2559, 975.9358, 1317.791, 136.317, 399.3338, 1808.958, 861.7578, 1182.075, 496.8293
3.2, 0, 305.7959, 618.187, 0, 626.3812, 449.067, 686.1005, 1551.414, 0, 546.0323, 540.4313, 0, 1309.218, 484.1784, 365.0388, 489.4553, 206.0256, 249.3752, 577.3334, 813.7267, 33.8646, 1104.793, 850.16, 776.2976, 268.2423, 0, 327.8453, 313.9835, 39.27748, 1325.27, 236.1568, 735.0854, 373.9624, 255.5601, 1202.746, 798.1575, 416.4316, 517.981, 1506.935, 507.9816, 297.1955, 413.9815, 1208.257, 390.4152, 965.054, 1259.311, 130.4331, 477.509, 1869.978, 821.3362, 1213.53, 471.2916
3.3, 0, 292.518, 588.1896, 0, 756.575, 428.3923, 651.4636, 1674.064, 0, 594.746, 515.3671, 0, 1251.414, 460.2609, 362.4135, 559.2409, 232.3553, 237.9325, 547.0663, 775.34, 32.28319, 1133.738, 808.4836, 850.535, 301.7922, 0, 311.6245, 299.7119, 37.61353, 1386.473, 254.2234, 817.9548, 357.3439, 244.5545, 1252.978, 815.6099, 456.6735, 495.6409, 1658.067, 486.3264, 284.4265, 395.1878, 1225.235, 567.9243, 921.9944, 1356.549, 124.8032, 453.7554, 1949.786, 782.8107, 1152.98, 582.1779
3.4, 0, 279.8167, 649.189, 0, 748.7824, 408.6694, 665.1179, 1627.308, 0, 567.1279, 491.4654, 0, 1289.665, 437.5249, 345.0159, 532.9517, 221.1617, 417.3623, 518.3859, 846.5208, 30.77562, 1140.576, 810.9256, 821.0024, 287.8991, 0, 361.17, 313.3328, 36.02005, 1431.449, 242.6098, 783.4337, 341.4639, 234.0229, 1256.579, 923.6307, 432.9395, 474.2644, 1588.656, 520.2351, 272.206, 377.2473, 1333.152, 543.1063, 880.8561, 1296.349, 119.4162, 480.8705, 1955.016, 746.0921, 1095.451, 552.2531
3.5, 0, 267.6668, 629.4023, 0, 716.9937, 389.8546, 631.5403, 1602.722, 0, 540.7922, 468.6722, 0, 1232.724, 458.9397, 328.4536, 528.2308, 210.5073, 398.2115, 524.2999, 837.472, 29.33845, 1220.16, 771.1725, 779.8532, 274.6456, 0, 343.3003, 448.4142, 34.49409, 1485.116, 297.3168, 750.3694, 326.2896, 223.9449, 1264.62, 908.0688, 410.4391, 453.8099, 1613.195, 526.587, 260.5107, 360.1213, 1267.15, 519.3727, 841.5533, 1307.249, 114.2618, 456.9497, 1938.688, 711.0959, 1190.615, 523.8665
3.6, 0, 256.0445, 598.8607, 0, 686.5545, 371.906, 636.7411, 1596.604, 0, 515.6794, 446.9362, 0, 1178.297, 436.269, 312.6863, 503.3994, 200.3662, 379.9395, 507.5515, 797.9651, 27.9684, 1239.479, 733.3682, 752.3243, 262.0022, 0, 326.3148, 428.0323, 33.03279, 1464.355, 283.7346, 718.7006, 311.7896, 214.3008, 1286.053, 893.8481, 389.108, 434.2375, 1604.75, 660.3658, 319.8055, 343.7727, 1204.416, 496.6762, 869.1363, 1249.237, 109.3299, 434.2188, 1859.735, 677.7412, 1167.617, 496.9391
3.7, 0, 318.3841, 569.8012, 0, 734.1123, 354.7837, 604.5961, 1521.208, 0, 640.6048, 426.2081, 0, 1176.252, 414.7181, 387.2715, 479.7352, 238.3689, 362.5058, 496.9543, 760.322, 26.66232, 1185.011, 773.6631, 859.1367, 249.9408, 0, 310.1697, 461.2724, 31.63338, 1454.729, 270.7729, 688.3684, 297.934, 205.072, 1334.809, 941.3986, 368.8855, 415.5092, 1650.602, 632.2144, 306.0651, 328.1664, 1406.469, 523.7308, 830.3565, 1284.873, 104.6108, 412.6187, 1957.721, 645.9511, 1109.357, 768.0571
3.8, 0, 304.5596, 542.1518, 0, 702.9463, 338.4497, 574.0739, 1501.09, 0, 610.8571, 406.4414, 0, 1197.429, 394.2319, 368.6807, 457.1834, 226.8856, 345.8721, 470.9012, 847.3576, 25.41724, 1224.484, 735.7366, 856.3583, 318.1952, 0, 397.756, 440.306, 30.29326, 1498.982, 258.4034, 659.3163, 284.694, 196.2407, 1265.313, 998.3414, 349.714, 397.5887, 1622.94, 605.2631, 292.9149, 313.2685, 1336.837, 500.844, 793.307, 1293.74, 100.0955, 450.6805, 1992.316, 615.6521, 1204.845, 728.5779
3.9, 0, 291.3354, 541.3239, 0, 673.1035, 322.8677, 545.0925, 1470.339, 0, 663.3777, 387.5915, 0, 1196.503, 445.926, 350.9823, 435.6918, 278.9008, 330.0016, 446.2138, 807.3844, 24.2303, 1170.675, 699.6694, 813.4371, 303.5469, 0, 378.0762, 420.2926, 29.0099, 1500.675, 246.5989, 637.1815, 272.0425, 187.7897, 1279.933, 957.48, 331.5389, 380.4411, 1626.716, 579.4608, 311, 299.047, 1398.301, 478.9573, 819.0637, 1327.482, 95.775, 428.2616, 1969.231, 586.7743, 1202.716, 691.1281
4, 0, 278.6854, 515.0564, 0, 644.5276, 385.2665, 517.5742, 1443.092, 0, 632.5724, 369.6157, 0, 1143.676, 423.8981, 334.1335, 415.2105, 288.1257, 314.8594, 422.8208, 871.1741, 23.09879, 1119.231, 665.3704, 772.6671, 289.5731, 0, 359.3701, 417.6653, 27.78093, 1434.664, 235.3337, 610.2897, 259.9532, 179.7026, 1328.867, 918.291, 314.3084, 364.033, 1687.191, 554.7583, 297.6379, 285.471, 1461.425, 458.027, 956.993, 1299.218, 91.64102, 406.9578, 1889.034, 559.2511, 1142.705, 808.4472
4.1, 0, 266.5847, 490.0634, 0, 651.2261, 399.17, 526.8482, 1364.931, 0, 603.1977, 352.4737, 0, 1157.509, 402.9583, 318.0935, 395.692, 274.2454, 300.412, 492.5724, 830.0774, 22.02012, 1120.832, 632.7526, 733.9406, 289.1047, 0, 341.5895, 445.4249, 26.604, 1481.83, 224.583, 584.5328, 248.4011, 171.9638, 1324.819, 880.7061, 297.9733, 348.3326, 1631.346, 531.1089, 318.0481, 272.5114, 1399.094, 529.7668, 914.2932, 1447.72, 87.68548, 386.7137, 1927.122, 533.0188, 1085.689, 766.8919
4.2, 0, 255.0093, 497.0163, 0, 659.2772, 488.7486, 500.2509, 1428.265, 0, 575.187, 336.1266, 0, 1195.092, 383.053, 302.8236, 385.1533, 261.0337, 286.6275, 466.7489, 847.8706, 20.99182, 1117.875, 718.5909, 811.4596, 275.7957, 0, 324.6887, 425.1787, 25.47694, 1546.357, 214.3235, 559.863, 237.3624, 164.5583, 1307.951, 844.6594, 282.4872, 333.3094, 1629.127, 508.4678, 304.3831, 260.1401, 1470.663, 642.0619, 939.9441, 1383.474, 83.90067, 367.4768, 1848.64, 508.0171, 1245.681, 727.4726
4.3, 0, 306.5769, 472.8987, 0, 681.8533, 518.0668, 507.9774, 1457.06, 0, 592.5753, 393.0705, 0, 1226.176, 364.1309, 288.2867, 431.5372, 248.4585, 273.4755, 442.2793, 807.8732, 20.01154, 1153.608, 683.3642, 809.46, 263.0993, 0, 308.6241, 428.5212, 24.39764, 1527.313, 204.5327, 620.239, 226.8143, 157.4717, 1284.532, 810.0881, 267.806, 318.9341, 1646.43, 486.7918, 291.3053, 248.3304, 1397.853, 614.004, 898.0049, 1391.488, 80.27922, 349.1967, 1954.706, 484.188, 1281.175, 690.0795
4.4, 0, 293.2651, 449.9515, 0, 652.9059, 494.2153, 576.7976, 1459.616, 0, 653.8087, 374.8407, 0, 1172.038, 363.6028, 274.4476, 434.9461, 236.489, 260.927, 427.8937, 769.7627, 19.07703, 1109.774, 649.8644, 768.8895, 250.9874, 0, 293.3543, 409.0435, 23.36405, 1460.131, 302.7032, 594.0623, 234.0905, 150.6902, 1273.887, 776.9318, 253.8877, 305.1787, 1659.181, 466.0399, 297.0055, 237.0569, 1414.577, 587.1722, 900.5183, 1329.737, 76.81409, 387.7996, 1966.734, 461.4767, 1341.158, 799.7607
4.5, 0, 316.0259, 428.1177, 0, 625.1875, 471.462, 547.6787, 1491.813, 0, 623.4478, 389.9649, 0, 1159.492, 368.9728, 261.2728, 414.4998, 225.0963, 392.9313, 508.8437, 733.45, 18.18617, 1123.34, 618.0068, 872.4116, 295.2305, 0, 421.0111, 390.451, 22.37424, 1395.904, 340.4909, 568.9904, 223.6877, 144.2008, 1248.677, 745.1325, 240.6928, 292.0167, 1739.638, 446.1726, 284.2447, 226.2951, 1344.544, 561.5129, 947.879, 1325.096, 73.49852, 368.5086, 2003.372, 439.8307, 1348.206, 853.5012
