 , C000, C002, C004, C005, C006, C007, C008, C009, C010, C011, C012, C013, C014, C015, C016, C017, C018, C019, C020, C022, C024, C025, C027, C031, C032, C033, C035, C036, C037, C038, C041, C043, C044, C046, C050, C056, C058, C060, C062, C066, C068, C069, C072, C073, C076, C079, C084, C088, C092, C096, C097, C105
Time(s)/Cell Status, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.1, 0, 0, 0, 0, 88.20117, 0, 0, 183.1144, 0, 0, 0, 0, 45.59741, 0, 0, 0, 0, 0, 124.2363, 0, 0, 120.8198, 32.18262, 293.2122, 41.46313, 0, 0, 0, 150.291, 0, 0, 243.4967, 53.55109, 0, 109.3895, 39.17316, 0, 84.34756, 0, 51.64777, 0, 0, 0, 189.2506, 137.98, 172.4452, 0, 0, 190.899, 0, 185.3589, 35.69586
0.2, 0, 37.05545, 97.50244, 0, 84.45679, 116.6667, 0, 271.1956, 0, 171.9789, 6.103516e-05, 0, 98.44897, 0, 3.051758e-05, 187.8449, -6.103516e-05, 0, 155.1916, -6.103516e-05, 0, 115.5106, 64.08026, 278.5161, 39.55438, 0, 63.59065, 0, 143.924, 0, 6.103516e-05, 383.6629, 111.3793, 0, 103.6942, 159.2078, 98.73904, 80.70972, 118.095, 49.44598, 0, 0, 0, 180.9804, 159.1404, 164.7926, 0, 0, 259.9346, 116.8146, 216.5237, 33.86102
0.3, 0, 35.44644, 92.77118, 0, 80.87122, 111.2955, 40.07803, 256.5072, 0, 235.191, 6.103516e-05, 0, 94.10229, 0, 16.64294, 247.0975, 43.00903, -6.103516e-05, 147.0556, -6.103516e-05, 0, 117.2484, 135.3517, 359.9309, 65.77194, 0, 129.4979, 0, 137.8267, 70.03235, 0, 367.4707, 106.4297, 3.051758e-05, 119.8619, 152.6915, 93.60742, 77.22879, 216.1116, 47.33813, 0, 32.93707, 114.9667, 173.0716, 152.0398, 303.8969, 93.06445, 0, 288.3665, 111.3354, 282.1057, 32.12054
0.4, 0, 33.90735, 89.10022, 0, 162.6067, 106.1715, 117.9363, 242.6141, 0, 224.2694, 6.103516e-05, 0, 135.3965, 0, 20.07535, 256.9593, 128.202, 63.04446, 139.3461, 105.8706, 7.629395e-06, 316.955, 143.0311, 410.3162, 169.5503, 0, 149.1076, 0, 131.9878, 166.0806, 0, 366.634, 137.9043, 3.051758e-05, 192.7063, 146.442, 88.74251, 73.89798, 306.7493, 106.2632, 0, 31.4418, 346.3251, 165.5084, 145.2559, 290.4106, 94.03491, 87.10553, 306.8041, 106.1131, 536.2484, 137.6946
0.5, 0, 46.61504, 84.7767, 0, 217.8309, 101.2834, 111.9824, 251.9074, 0, 213.855, 6.103516e-05, 0, 129.4185, 0, 84.40836, 295.0886, 122.0259, 60.15167, 132.0408, 100.8763, 7.629395e-06, 410.5942, 136.0195, 389.751, 161.7449, 0, 141.7302, 0, 126.3963, 184.9216, 0, 556.0605, 131.7759, 1.525879e-05, 329.0974, 298.4092, 84.13046, 70.71082, 398.5757, 101.7333, 0, 116.8496, 329.1791, 158.2758, 344.8361, 318.2888, 89.97604, 82.77252, 412.408, 101.1357, 509.4917, 164.6172
0.6, 0, 55.45273, 95.24265, 0, 248.04, 96.62036, 106.3291, 251.7925, 0, 203.9243, 6.103516e-05, 0, 123.7044, 0, 176.2949, 310.7483, 116.1473, 57.3916, 151.7472, 151.1212, 117.4236, 430.4762, 181.9515, 427.5444, 154.2989, 0, 291.4362, -3.051758e-05, 121.0416, 176.7874, 45.3476, 543.2293, 128.9439, 1.525879e-05, 311.963, 286.1956, 79.75807, 154.6353, 480.6777, 97.39636, 0, 111.545, 428.4634, 151.3592, 436.3911, 304.1641, 86.09238, 247.5706, 685.964, 96.39185, 594.444, 156.1556
0.7, 0, 53.04492, 242.3043, 0, 277.1609, 92.17209, 109.4612, 319.5687, 0, 194.4547, 6.103516e-05, 0, 201.3063, 0, 185.8074, 406.373, 110.552, 109.9859, 143.7917, 158.795, 111.9401, 415.369, 173.0319, 482.4484, 147.1957, 0, 277.0168, -6.103516e-05, 115.9138, 169.011, 43.27606, 520.3027, 186.2148, 1.525879e-05, 319.4892, 274.4819, 75.61293, 147.966, 460.5554, 299.3737, 0, 106.4811, 502.1987, 144.7448, 477.0558, 327.799, 82.37634, 235.2552, 658.028, 91.87054, 697.3881, 243.2524
0.8, 0, 50.74167, 230.5465, 0, 265.3942, 87.92853, 225.1811, 343.9122, 0, 185.4248, 0.0001220703, 0, 229.0607, 0, 257.0933, 387.2699, 105.2262, 104.9392, 136.2534, 151.304, 106.7127, 482.9865, 164.5495, 458.2678, 140.4195, 0, 263.3109, -6.103516e-05, 111.0032, 313.0862, 130.6014, 509.8623, 177.9396, 1.525879e-05, 384.5398, 263.2475, 71.68323, 141.5844, 441.2754, 286.6115, 0, 101.6472, 477.3359, 138.4195, 455.7701, 432.6818, 78.82068, 269.0298, 631.2297, 428.0244, 662.5912, 292.1117
0.9, 0, 88.92525, 219.3593, 0, 254.1272, 170.1432, 462.2815, 347.9666, 0, 267.9498, 59.89972, 0, 255.9807, 0, 244.7516, 613.6819, 100.157, 284.5799, 129.1102, 218.1996, 101.7294, 535.5975, 254.163, 435.2991, 133.9552, 0, 250.2831, -6.103516e-05, 106.3006, 439.7028, 124.6352, 570.9216, 174.0226, 0, 477.9832, 252.473, 67.95776, 169.5269, 541.1254, 274.3932, 136.7988, 97.03265, 479.6313, 132.3706, 568.0798, 469.2664, 75.41849, 255.647, 668.2032, 511.614, 825.5596, 277.0967
