 , C000, C001, C002, C003, C004, C006, C007, C008, C009, C010, C012, C013, C016, C017, C018, C023, C025, C026, C028, C032, C034, C037, C041, C042, C044, C047, C048, C054, C055, C056, C057, C059, C061, C068, C069, C071, C072, C073, C075, C076, C079, C080, C081, C083, C085, C086, C088, C089, C092, C094, C098, C099, C100, C101, C102, C110, C112, C117, C118, C121, C123, C125, C126, C128, C131, C142
Time(s)/Cell Status, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.1, 211.6741, 0, 532.9458, 2.824974, 773.7329, 0, 140.1448, 90.92212, 157.9509, 0, 28.20691, 0, 121.2714, 0, 0, 94.71524, 0, 0, 0, 183.1479, 0, 0, 0, 142.4728, 34.50757, 41.58983, 165.0217, 190.0532, 261.4531, 70.3269, 0, 0, 31.92773, 0, 0, 0, 0, 177.2053, 0, 667.0669, 0, 273.6249, 0, 161.6435, 0, 0, 242.9064, 0, 21.34524, 111.0049, 0, 0, 0, 147.8161, 48.41956, 0, 140.183, 0, 74.23047, 84.0603, 0, 0, 0, 0, 0, 0
0.2, 202.5376, 0, 847.2988, 55.12463, 1154.112, 0, 268.8843, 86.86389, 534.6257, 0, 235.176, 0, 413.292, 0, 0, 90.72156, 142.6663, 185.093, 0, 423.7668, 245.949, 3.051758e-05, 0, 135.9614, 285.1965, 39.67197, 396.855, 181.9729, 420.4834, 222.2837, 0, 0, 149.2046, 0, 0, 46.63904, 0, 170.0419, -6.103516e-05, 634.3076, 87.82349, 261.0604, 0, 351.9481, 350.7507, 0, 232.8816, 77.57196, 20.43389, 105.9257, 0, 96.05298, 0, 189.1488, 89.21069, 0, 134.4803, 0, 183.421, 80.6026, 0, 0, 0, 101.9861, 0, 0
0.3, 471.8118, 0, 1408.667, 52.56041, 1815.793, 170.9904, 257.4086, 82.98706, 865.426, 190.5244, 224.8, 0.0001220703, 682.8662, 0, 0, 86.8963, 281.3999, 367.8411, 0, 548.8135, 279.0645, 0, 0, 129.7476, 528.4243, 75.17024, 567.498, 174.2361, 433.3992, 435.532, 0, 0, 143.0524, 0, 0, 44.20795, 0, 181.0153, 0, 603.1571, 228.6053, 249.073, 0, 336.6971, 336.1056, 0, 321.834, 73.98145, 68.64672, 101.0789, 0, 407.6508, 0, 243.7184, 174.2596, 0, 129.0096, 0, 406.2986, 77.28717, 0, 157.4314, 0, 729.4216, 0, 0
0.4, 451.447, 0, 1577.891, 50.11548, 2017.041, 332.7721, 444.1429, 79.28314, 1014.846, 276.8027, 346.7631, 203.907, 750.3279, 0, 0, 83.23233, 469.8796, 485.8513, 0, 521.3259, 479.7471, 0, 0, 123.8177, 712.2043, 179.5471, 695.051, 166.8281, 567.1538, 494.9546, 0, 0, 325.366, 0, 0, 123.5145, 0, 173.6979, 0, 573.5364, 254.5702, 237.636, 0, 322.1069, 322.072, 0, 308.5518, 70.55707, 65.71583, 155.2497, 0, 390.4949, 0, 277.8728, 277.1677, 0, 123.7614, -0.0001220703, 455.0123, 169.9152, 0, 275.3634, 0, 697.829, 0, 0
0.5, 595.9255, 0, 1655.095, 47.78426, 2445.712, 315.214, 515.5647, 75.74457, 1020.704, 301.428, 345.2047, 447.8408, 943.9685, 1.525879e-05, 0, 79.72281, 550.1489, 637.3082, -6.103516e-05, 528.5911, 607.5938, -3.051758e-05, 0, 118.1589, 745.5898, 171.2676, 733.4104, 159.7352, 675.7368, 715.8853, 0, 0, 407.3749, 0, 89.50293, 117.076, 0, 206.8202, 0, 545.3704, 242.9265, 226.7242, 0, 308.1489, 308.6244, 0, 295.8179, 67.29114, 126.0823, 181.689, 0, 374.0609, 0, 366.2288, 422.625, 0, 118.7269, 0, 562.4236, 162.9261, 0, 308.905, -3.051758e-05, 667.6049, 0, 0
0.6, 667.071, 0, 1933.516, 45.5615, 2709.522, 298.5823, 701.0169, 72.36389, 1137.867, 672.6301, 414.3185, 428.8038, 903.9147, 0, 0, 76.3613, 639.6848, 917.9874, 49.96973, 502.1165, 840.0691, -3.051758e-05, 0, 112.7587, 892.2646, 163.3698, 826.1455, 152.9438, 753.4434, 794.4573, 0, 0, 458.044, 0, 106.7699, 110.9733, 0, 239.6226, 0, 518.5875, 305.1338, 216.3134, 0, 294.7958, 295.7382, 0, 283.6095, 64.17645, 145.7929, 173.3755, 0, 358.3185, 90.89124, 490.6698, 440.692, 0, 254.2673, 0, 641.1638, 212.3234, 0, 456.1898, -3.051758e-05, 638.6897, 0, 0
0.7, 769.5117, 0, 2179.497, 43.44213, 2959.861, 384.8542, 929.4363, 180.3024, 1087.93, 1003.909, 409.3582, 505.912, 1082.69, 0, 0, 73.14154, 612.0703, 1240.465, 47.65283, 696.9514, 798.6755, 279.1428, 0, 204.0795, 1018.368, 155.8363, 881.5498, 146.4412, 834.1199, 759.0176, 0, 0, 500.4236, 0, 209.2619, 105.1887, 0, 280.8629, 311.6169, 493.12, 291.1775, 206.3806, -6.103516e-05, 282.0214, 283.3901, 0, 271.9049, 61.20593, 166.3612, 500.7664, 0, 343.2386, 443.6141, 520.4713, 421.2167, 0, 318.3504, 104.1044, 635.3934, 203.5898, 0, 510.0585, 0, 611.027, 0, 0
0.8, 830.6892, 0, 2192.333, 41.42134, 2979.054, 496.9507, 903.5942, 172.2552, 1202.794, 1111.292, 458.9508, 521.439, 1036.75, 0, 0, 70.05753, 774.9104, 1375.474, 186.8878, 662.0446, 859.6069, 731.1703, 0, 194.7525, 1212.786, 148.6502, 1013.651, 140.2151, 825.6052, 856.843, 0, 605.9437, 595.0863, 0, 236.6667, 263.9069, 0, 373.7792, 309.8303, 468.9031, 478.6403, 196.904, -0.0001220703, 269.8005, 271.5576, 0, 260.6833, 58.37286, 159.2584, 477.8532, -3.051758e-05, 328.7935, 425.3973, 536.2432, 402.6022, 0, 385.8427, 250.8844, 757.1321, 195.2156, 0, 596.3116, 3.051758e-05, 584.5624, 0, 0
0.9, 1040.656, 0, 2482.729, 39.49456, 3098.466, 470.73, 865.0294, 164.567, 1430.995, 1242.102, 481.437, 499.2737, 1103.863, 0, 0, 67.10356, 771.4653, 1312.364, 178.2224, 719.2688, 848.4984, 695.0748, 0, 185.8518, 1358.833, 141.7954, 1100.288, 134.2537, 962.5957, 818.6204, 0, 580.2969, 570.5488, 0, 226.2204, 363.1359, 0, 358.6694, 408.4267, 445.8755, 456.7481, 187.8625, -0.0001220703, 258.1091, 260.2191, 0, 249.9249, 55.67102, 246.1548, 455.9884, -3.051758e-05, 314.9562, 541.6813, 598.8536, 626.0737, 0, 483.5092, 240.0061, 891.1849, 187.1857, 0, 709.8646, 0, 559.244, 0, 0
1, 1097.556, 0, 2585.855, 37.6574, 3107.749, 445.8927, 915.0752, 157.222, 1578.684, 1266.897, 460.1959, 562.5234, 1067.585, 0, 0, 64.27414, 738.1619, 1526.337, 224.7757, 833.4327, 806.6892, 660.7612, 0, 177.3579, 1480.4, 135.2568, 1258.447, 128.5457, 922.1274, 782.103, 0, 555.7357, 789.1423, 0, 216.2352, 344.2068, 0, 344.1703, 391.0531, 423.9788, 646.244, 179.2361, -0.0001220703, 246.9244, 249.354, 0, 239.6104, 76.64642, 235.6451, 435.1241, 0, 301.7012, 639.7322, 588.9623, 680.8936, 9.536743e-07, 511.9615, 229.5995, 941.0537, 179.4863, 0, 720.3771, 0, 535.0222, 0, 0
1.1, 1163.27, 0, 2478.058, 35.9057, 2973.269, 703.698, 1004.841, 150.205, 1612.224, 1238.214, 439.892, 1090.178, 1212.412, 0, 0, 61.56403, 1175.513, 1456.304, 231.5107, 791.6901, 908.1738, 661.7112, 0, 169.2521, 1418.339, 129.0197, 1205.185, 123.0804, 883.3604, 906.6353, 0, 532.214, 852.1077, 0, 410.6234, 510.3492, 0, 330.2574, 449.016, 403.1574, 909.8592, 171.0059, 263.3691, 236.2244, 238.9426, 0, 229.7217, 73.09863, 225.5841, 415.2144, -3.051758e-05, 289.0042, 699.3835, 580.6846, 693.0569, 9.536743e-07, 720.528, 348.5374, 966.8208, 307.322, 0, 1027.968, 0, 511.8495, 0, 0
1.2, 1293.021, 0, 2813.027, 34.23549, 3291.562, 666.5685, 1228.322, 143.501, 1749.088, 1478.315, 420.4838, 1043.836, 1160.968, 0, 0, 58.96817, 1124.767, 1389.485, 258.5529, 945.1844, 1051.585, 660.4121, 0, 161.5168, 1701.335, 123.0701, 1300.942, 117.8474, 952.4628, 917.8992, 0, 509.6879, 816.9723, 0, 392.4988, 483.7464, 0, 316.907, 488.9311, 383.3586, 868.2437, 163.1536, 252.1915, 225.988, 228.966, 0, 220.2411, 69.71515, 272.4223, 396.2157, -3.051758e-05, 276.8414, 670.6636, 554.9631, 764.1769, 9.536743e-07, 728.5606, 333.425, 1061.517, 294.6809, 0, 985.674, 0, 489.6804, 0, 0
1.3, 1575.764, 0, 2695.76, 32.64296, 3149.128, 662.5559, 1248.462, 137.0962, 1883.092, 1507.548, 401.9321, 1294.132, 1289.272, 0, 0, 56.48177, 1277.308, 1325.731, 311.3276, 897.8445, 999.769, 680.2325, 0, 154.1351, 1630.012, 117.395, 1274.493, 112.8369, 912.4204, 876.9529, 0, 488.1152, 822.7045, 0, 375.1741, 559.7294, 0, 304.0961, 468.1331, 364.5321, 987.3578, 155.6619, 512.9083, 216.1952, 219.4058, 0, 211.1517, 97.52637, 260.7911, 378.0864, -3.051758e-05, 265.1906, 933.4474, 596.4523, 730.4059, 0, 698.9226, 490.8923, 1015.866, 282.5598, 0, 1087.285, -3.051758e-05, 468.4714, 0, 0
1.4, 1695.081, 0, 2793.954, 31.12452, 3113.925, 708.4276, 1377.655, 130.9773, 1800.45, 1658.298, 384.1987, 1289.542, 1387.954, 0, 0, 54.1002, 1347.774, 1264.903, 296.8925, 852.8757, 1170.753, 727.4913, 0, 147.0906, 1561.68, 111.9815, 1344.9, 108.0395, 874.0614, 931.4098, 0, 467.4555, 788.7815, 0, 495.0466, 530.5526, 0, 291.8031, 448.2197, 346.6301, 942.1976, 148.5142, 491.1401, 206.8268, 210.2449, 0, 202.4375, 128.8764, 249.6565, 360.7865, -3.051758e-05, 254.03, 895.1158, 570.0324, 831.9922, 9.536743e-07, 822.8102, 573.1013, 1076.418, 270.9373, 0, 1354.549, -3.051758e-05, 448.1812, 0, 0
1.5, 1881.125, 0, 2950.217, 29.67671, 3147.922, 671.0486, 1617.937, 125.1315, 1923.17, 1707.377, 471.8016, 1235.011, 1329.061, -1.525879e-05, 0, 51.81906, 1289.591, 1325.368, 283.1266, 810.1592, 1113.065, 691.5775, 0, 140.3682, 1727.589, 106.8177, 1537.099, 103.4461, 960.1685, 1050.298, 0, 447.6703, 756.2573, 0, 473.1956, 773.4331, 0, 280.0071, 549.0855, 329.6073, 899.1029, 141.6946, 526.814, 258.8612, 201.4664, 0, 194.0829, 122.911, 276.21, 344.2783, -3.051758e-05, 243.3391, 858.3583, 544.7828, 795.2243, 9.536743e-07, 840.8035, 743.7243, 1063.788, 259.7928, 0, 1298.819, 0, 428.7697, 0, 0
1.6, 2119.786, 0, 3142.376, 51.77185, 3113.444, 635.6418, 1548.884, 119.5466, 1906.779, 1693.173, 450.9856, 1342.043, 1358.649, -1.525879e-05, 0, 49.63412, 1297.293, 1286.582, 398.4966, 884.0161, 1163.253, 685.9747, 0, 133.953, 1684.894, 101.8919, 1472.044, 99.04791, 967.3641, 1022.966, 0, 428.7225, 725.074, 0, 452.309, 733.1166, 0, 302.8241, 583.4604, 313.4205, 857.9793, 135.1882, 529.1794, 388.234, 193.0545, 0, 186.0731, 143.7942, 296.8319, 328.5254, -3.051758e-05, 233.0982, 823.1102, 593.819, 760.0814, 1.907349e-06, 872.8849, 772.7166, 1018.039, 249.1068, 0, 1400.491, -1.525879e-05, 410.1989, 0, 0
1.7, 2028.289, 0, 3403.972, 53.12157, 3335.947, 602.1033, 1705.286, 114.211, 1823.098, 2038.844, 569.8857, 1284.995, 1301, -1.525879e-05, 0, 47.54131, 1241.29, 1227.55, 380.0197, 839.74, 1105.934, 652.1102, 0, 127.831, 1905.303, 97.19338, 1704.361, 418.3256, 1136.309, 1097.889, 0, 410.5767, 695.1766, 0, 432.3443, 694.9017, 26.29234, 355.2878, 558.6414, 298.0286, 818.7366, 128.9806, 506.7206, 653.835, 184.9938, 0, 178.3938, 212.3308, 420.1681, 313.4933, -4.577637e-05, 223.2883, 789.3097, 567.5157, 812.6304, 1.907349e-06, 837.3758, 739.2119, 1065.168, 299.3682, 0, 1342.87, 244.2935, 392.4325, 0, 0
1.8, 2274.905, 0, 3262.071, 50.65052, 3191.592, 570.3343, 1820.085, 146.9528, 1901.177, 1952.346, 581.9577, 1558.421, 1518.359, -7.629395e-06, 0, 45.53673, 1488.811, 1350.493, 527.6194, 797.6813, 1051.44, 619.9176, 0, 121.9887, 1825.43, 92.71148, 1754.134, 400.5399, 1088.537, 1048.914, 0, 393.1989, 666.512, 0, 413.2609, 658.6788, 25.17465, 413.5256, 534.8781, 283.3925, 781.2889, 123.0581, 598.0444, 625.5022, 177.2697, 0, 171.0315, 273.693, 402.2289, 299.149, -3.051758e-05, 213.8912, 756.897, 542.3776, 916.6904, 1.907349e-06, 918.6634, 739.0436, 1130.786, 287.0544, 0, 1381.207, 233.3028, 375.4355, 0, 0
1.9, 2268.799, 0, 3371.9, 160.4233, 3327.572, 540.2416, 1875.563, 140.3939, 1828.689, 2200.639, 575.7308, 1768.635, 1453.933, 0, 0, 43.61665, 1424.54, 1324.552, 503.1555, 757.7291, 999.6317, 649.6631, 0, 116.4135, 1788.34, 88.43625, 1679.892, 383.5104, 1241.783, 1002.123, 0, 376.5567, 639.0293, 0, 395.0198, 624.3441, 24.10447, 399.6666, 512.1255, 269.4753, 745.554, 117.4075, 572.663, 598.3972, 169.868, 0, 163.973, 407.886, 385.0555, 285.461, -3.051758e-05, 204.8896, 725.8154, 557.5627, 985.4769, 1.907349e-06, 881.2921, 850.7874, 1082.156, 290.9447, 0, 1497.259, 222.8066, 359.1748, 0, 0
2, 2281.75, 0, 3831.627, 152.961, 3402.803, 511.7366, 1859.903, 214.4112, 1887.208, 2542.644, 626.5012, 1693.454, 1392.241, 0, 0, 41.77757, 1363.044, 1263.778, 479.826, 834.8546, 950.3755, 617.5913, 0, 235.036, 1843.693, 84.35815, 1885.286, 434.681, 1282.879, 957.4199, 0, 360.6188, 612.6799, 0, 377.5838, 591.7991, 23.07978, 466.9854, 490.3409, 256.2415, 711.4536, 112.0163, 548.3587, 841.7568, 162.7755, 0, 157.2058, 389.0061, 503.6099, 272.3994, -3.051758e-05, 196.2668, 696.0102, 532.8655, 941.9261, 1.430511e-06, 845.441, 813.8975, 1069.379, 344.4044, 0, 1465.05, 734.554, 343.6183, 0, 99.26235
2.1, 2543.786, 0, 3788.465, 145.8457, 3389.558, 484.7357, 1780.524, 401.9668, 1949.349, 2715.839, 708.0433, 1621.469, 1490.063, 0, 0, 40.01602, 1362.781, 1317.934, 457.5781, 868.8795, 903.5466, 703.3348, 0, 233.6008, 1766.402, 80.46812, 1805.493, 470.6699, 1357.026, 989.5508, 0, 345.3555, 587.4169, 0, 360.9175, 560.9506, 22.09865, 448.1077, 469.4829, 243.6576, 678.9128, 106.8727, 587.6976, 832.2102, 155.979, 0, 150.7179, 466.1393, 547.2996, 259.9354, -3.051758e-05, 188.0069, 667.4289, 653.1223, 1052.975, 9.536743e-07, 811.0483, 919.9502, 1126.363, 330.238, 0, 1481.051, 701.5067, 328.7356, 0, 295.3109
2.2, 2617.762, 0, 3866.425, 276.7767, 3427.445, 459.1594, 1996.382, 384.0261, 1902.839, 2708.877, 687.293, 1663.04, 1485.497, -7.629395e-06, 0, 38.32874, 1336.255, 1270.822, 540.9974, 825.3614, 859.0251, 702.3168, 0, 323.2924, 1966.899, 76.75747, 1949.17, 450.6586, 1493.968, 1141.815, 0, 330.7382, 563.1956, 0, 344.9868, 531.7101, 21.15923, 502.3947, 449.5121, 231.6917, 647.8604, 101.9653, 605.8659, 829.2417, 149.4664, 0, 144.4978, 490.8023, 523.9324, 248.0418, -3.051758e-05, 180.0947, 640.0212, 624.1921, 1052.941, 9.536743e-07, 937.3938, 968.0868, 1191.073, 316.6544, 0, 1472.548, 669.9462, 314.4975, 0, 382.2264
2.3, 2694.337, 0, 3951.521, 263.9019, 3613.24, 434.9327, 1911.178, 380.9242, 1907.079, 2792.603, 665.2502, 1605.833, 1562.888, -7.629395e-06, 0, 36.71261, 1373.099, 1212.513, 515.9133, 903.1675, 911.7129, 792.8728, 0, 308.5171, 1884.443, 73.21792, 1901.903, 621.1821, 1431.16, 1162.477, 0, 316.7396, 539.973, 0, 329.7593, 503.9938, 97.68816, 559.2177, 430.3909, 220.3135, 618.2283, 97.2832, 580.1526, 793.308, 143.2256, 0, 138.5344, 734.2507, 501.563, 236.6923, -3.051758e-05, 172.5154, 613.7391, 723.7018, 1006.409, 9.536743e-07, 899.2604, 956.2946, 1257.618, 445.9983, 0, 1538.065, 639.8056, 300.8761, 0, 363.0651
2.4, 2737.373, 0, 4025.628, 251.6261, 3512.793, 411.9842, 1922.554, 363.9227, 1933.461, 2775.425, 727.043, 1572.49, 1666.344, -7.629395e-06, 0, 35.16463, 1439.238, 1331.601, 572.8922, 857.932, 866.7889, 836.4396, 0, 294.417, 1982.731, 69.84161, 1978.541, 594.7717, 1457.363, 1134.753, 0, 303.3335, 517.708, 0, 315.2039, 477.7223, 114.117, 660.7507, 412.083, 209.494, 589.9515, 92.81613, 611.0782, 1028.051, 137.2455, 0, 132.817, 700.2643, 480.1485, 225.8621, -3.051758e-05, 165.2551, 588.5363, 691.6454, 1091.862, 9.536743e-07, 862.6785, 990.271, 1359.022, 501.128, 0, 1623.171, 611.021, 287.8446, 0, 344.8643
2.5, 2787.814, 0, 4221.729, 239.9213, 3561.411, 390.2465, 1974.317, 347.68, 1936.456, 2702.702, 820.3154, 1610.192, 1595.639, -7.629395e-06, 0, 33.68191, 1446.916, 1270.503, 546.3292, 924.6465, 824.0787, 936.7754, 0, 280.9614, 1931.089, 66.62096, 2039.439, 656.9211, 1437.65, 1357.257, 0, 290.4948, 496.3611, 0, 301.291, 452.8203, 109.2659, 668.11, 394.5539, 199.2059, 562.968, 88.55417, 675.759, 993.5583, 131.515, 0, 127.3357, 751.2814, 459.6484, 215.5275, -3.051758e-05, 158.3003, 691.2096, 784.1976, 1190.209, 1.430511e-06, 827.5846, 947.3333, 1300.577, 495.998, 0, 1698.254, 583.5314, 275.3776, 0, 515.8409
2.6, 2912.094, 0, 4045.738, 228.7609, 3407.3, 369.6558, 1890.055, 332.1623, 2364.077, 2765.509, 784.1229, 2076.567, 1767.069, -1.525879e-05, 0, 32.2617, 1732.752, 1212.209, 620.024, 878.3353, 944.3353, 935.7105, 0, 303.3487, 1962.015, 63.54885, 2032.968, 668.9526, 1550.473, 1325.663, 0, 278.1996, 475.8943, 0, 287.9922, 429.2162, 104.621, 674.6761, 377.7704, 189.423, 537.2188, 84.48792, 743.7616, 1008.647, 126.0238, 0, 122.0805, 1132.912, 440.0235, 205.6658, -1.525879e-05, 151.6382, 736.5189, 773.563, 1137.611, 1.430511e-06, 793.9182, 945.2933, 1388.502, 502.209, 0, 1711.513, 557.2786, 263.4505, 0, 489.9813
2.7, 2980.036, 0, 4311.685, 218.1197, 3685.91, 350.1516, 1809.388, 393.9034, 2529.239, 3349.975, 850.0209, 2072.854, 1692.09, -7.629395e-06, 0, 30.9014, 1657.95, 1156.589, 591.2756, 1045.487, 924.4984, 920.201, 0, 341.046, 1986.259, 161.0876, 2179.974, 743.9121, 1578.926, 1336.665, 0, 266.4247, 456.2715, 0, 275.2804, 406.8427, 100.1735, 787.9068, 421.7611, 180.1205, 512.6472, 235.4027, 712.1959, 1035.785, 120.7618, 0, 117.0422, 1141.071, 421.2366, 196.2552, -3.051758e-05, 145.2565, 706.2741, 758.7925, 1125.714, 9.536743e-07, 814.9885, 943.9213, 1328.789, 598.0002, 0, 1641.096, 532.2068, 252.04, 0, 758.4544
2.8, 3044.4, 0, 4349.038, 242.4739, 3569.02, 385.7872, 1904.688, 394.0396, 2706.154, 3670.045, 858.3026, 2121.806, 1747.139, -1.525879e-05, 0, 29.59843, 1628.06, 1211.182, 563.8602, 1054.502, 928.3904, 928.0561, 0, 373.6111, 1958.269, 153.6593, 2166.458, 712.2835, 1683.85, 1569.958, 0, 255.1482, 437.4578, 0, 263.1296, 385.6353, 172.6668, 756.056, 463.4754, 171.2749, 489.1995, 268.7312, 777.0719, 1261.921, 115.7196, 0, 112.2119, 1255.274, 452.3238, 187.2753, -4.577637e-05, 139.1434, 677.2713, 858.5762, 1313.543, 9.536743e-07, 781.8347, 902.9932, 1402.898, 589.6249, 0, 1723.717, 508.2631, 241.1237, 0, 829.5604
2.9, 3239.699, 0, 4317.648, 231.1948, 3687.342, 365.4318, 1904.557, 388.6466, 2587.391, 3770.876, 952.2894, 2031.612, 1837.343, -7.629395e-06, 0, 28.35042, 1714.036, 1155.609, 537.7161, 1087.697, 1005.114, 998.4517, 0, 393.882, 2093.42, 157.2262, 2248.458, 826.4299, 1818.642, 1914.272, 0, 244.349, 500.8026, 0, 251.5153, 365.5334, 168.8634, 725.4928, 443.7602, 162.8637, 466.8243, 280.6789, 744.0924, 1207.238, 110.8879, 0, 107.5809, 1236.774, 483.56, 178.7063, -4.577637e-05, 133.2876, 649.4595, 820.5455, 1327.477, 4.768372e-07, 808.1632, 863.8397, 1508.426, 603.5639, 0, 1652.797, 485.3965, 230.6803, 0, 787.9737
3, 3158.312, 0, 4365.316, 361.7219, 3559.386, 461.0931, 1918.083, 460.8152, 2659.895, 3809.261, 930.7123, 2155.518, 1759.382, -7.629395e-06, 0, 135.7141, 1800.068, 1174.072, 512.784, 1033.219, 955.5877, 1024.953, 0, 399.3099, 2027.264, 206.5947, 2255.062, 791.293, 1742.184, 2018.063, 0, 234.0068, 480.1527, 0, 240.4135, 346.4794, 170.3351, 696.1651, 710.8129, 154.8656, 613.3417, 288.0773, 806.7, 1209.161, 106.258, 0, 103.141, 1274.707, 462.9142, 170.5294, -4.577637e-05, 127.6782, 681.4235, 784.1993, 1268.812, 4.768372e-07, 841.8342, 972.9445, 1443.555, 578.7375, 0, 1785.321, 463.5588, 220.6891, 0, 748.4718
3.1, 3212.929, 0, 4205.64, 412.2129, 3405.363, 436.7643, 2066.052, 440.248, 2909.227, 3647.653, 889.6492, 2117.783, 1907.775, -1.144409e-05, 0, 196.234, 2096.439, 1120.202, 558.9998, 981.4702, 1256.223, 1103.748, 0, 407.6053, 2096.732, 223.2555, 2205.919, 757.6501, 1668.941, 2213.02, 0, 224.1024, 556.4165, 0, 508.3515, 712.4978, 186.02, 693.6609, 747.7231, 147.2602, 625.5074, 274.8492, 1041.306, 1156.764, 101.8213, 0, 98.8844, 1313.497, 443.1499, 162.7266, -3.051758e-05, 122.3048, 985.3706, 749.4631, 1259.623, 0, 901.3445, 983.2681, 1445.655, 554.9324, 0, 2130.34, 442.7035, 211.1307, 0, 710.9502
3.2, 3450.098, 0, 4284.27, 580.4025, 3328.75, 441.9157, 2221.573, 441.4451, 3130.78, 3736.681, 850.3976, 2176.294, 1839.176, -7.629395e-06, 0, 305.4827, 2259.103, 1068.804, 552.808, 1149.785, 1262.801, 1102.589, 0, 522.6428, 2026.158, 312.1237, 2413.265, 1282.796, 1598.777, 2311.208, 0, 214.6172, 660.4996, 0, 596.9399, 675.3577, 178.1122, 819.1285, 715.9166, 140.0283, 702.2158, 318.3503, 997.1121, 1178.904, 97.56993, 0, 94.80343, 1252.699, 424.2294, 155.2808, -3.051758e-05, 117.1576, 944.9069, 716.2657, 1203.958, 0, 1129.036, 988.0122, 1537.037, 532.1063, 0, 2364.876, 422.7864, 201.9862, 0, 740.7706
3.3, 3675.812, 0, 4582.138, 570.9474, 3601.653, 431.6645, 2277.772, 609.0929, 3156.157, 3923.046, 1089.376, 2083.784, 1774.396, -7.629395e-06, 0, 302.7923, 2161.58, 1019.764, 576.8451, 1267.831, 1646.919, 1048.157, 0, 498.7566, 2301.886, 391.5461, 2410.763, 1228.256, 1723.612, 2392.412, 0, 205.5334, 635.5371, 0, 570.5914, 640.1536, 170.5406, 879.2258, 945.0153, 133.1516, 670.0976, 599.5146, 954.7939, 1163.398, 93.49604, 0, 90.89088, 1303.286, 472.9778, 148.1758, -3.051758e-05, 112.227, 906.1048, 684.5386, 1150.752, 4.768372e-07, 1083.107, 945.1724, 1470.936, 510.2192, 0, 2452.902, 403.7654, 193.2379, 0, 844.3118
3.4, 3735.302, 0, 4391.123, 802.0125, 3601.83, 589.7159, 2209.43, 611.5113, 3189.524, 4004.455, 1041.312, 2267.423, 1923.823, -1.144409e-05, 0, 361.0862, 2651.266, 972.9743, 550.0988, 1236.666, 1708.171, 1042.098, 0, 475.9621, 2238.021, 397.8024, 2308.73, 1176.035, 1651.15, 2849.985, 0, 196.8342, 660.5095, 0, 801.8191, 606.7845, 270.929, 857.2195, 1006.95, 126.6126, 772.376, 642.1937, 997.6093, 1112.985, 89.59225, 0, 87.13981, 1373.605, 452.7838, 141.3958, -3.051758e-05, 807.5186, 868.8961, 654.2169, 1099.897, 0, 1359.384, 1072.146, 1510.628, 602.1828, 0, 2632.223, 385.6002, 184.8684, 0, 801.9856
3.5, 3896.305, 0, 4410.874, 897.9216, 3988.653, 558.6006, 2158.593, 584.2182, 3159.081, 4187.214, 1132.178, 2171.039, 1865.378, -7.629395e-06, 0, 413.9128, 2536.813, 928.3313, 561.1228, 1174.727, 1854.745, 1178.417, 0, 454.2093, 2407.726, 379.4584, 2301.1, 1126.034, 1658.244, 2845.84, 0, 188.5031, 633.2744, 0, 766.4272, 575.1548, 293.2762, 833.6094, 1002.302, 120.3947, 737.0487, 718.379, 955.27, 1064.755, 85.85146, 0, 83.54353, 1310.025, 433.452, 134.926, -3.051758e-05, 773.5342, 833.2153, 625.2383, 1181.024, 0, 1304.084, 1025.658, 1539.289, 577.4133, 0, 2687.808, 368.2522, 176.8615, 0, 761.7813
3.6, 3878.183, 0, 4556.895, 856.1532, 4194.087, 529.127, 2186.806, 558.1433, 3208.609, 4259.916, 1082.226, 2165.283, 1786.227, -1.144409e-05, 0, 396.4602, 2427.301, 885.7368, 575.1125, 1209.127, 1894.772, 1120.242, 0, 501.5695, 2470.696, 377.7296, 2335.807, 1078.159, 1686.058, 2942.669, 0, 180.5247, 607.1622, 0, 732.5975, 802.6552, 280.809, 799.9112, 959.6666, 114.4822, 703.3372, 747.6287, 914.7276, 1200.242, 82.26687, 0, 80.09569, 1249.388, 530.788, 128.7523, -3.051758e-05, 740.98, 798.9998, 597.5433, 1242.085, 0, 1251.033, 1050.112, 1554.484, 584.0625, 0, 2577.223, 351.6847, 169.2013, 0, 723.5925
