 , C000, C001, C002, C003, C004, C006, C007, C008, C009, C010, C012, C013, C016, C017, C018, C023, C025, C026, C028, C032, C034, C037, C041, C042, C044, C047, C048, C054, C055, C056, C057, C059, C061, C068, C069, C071, C072, C073, C075, C076, C079, C080, C081, C083, C085, C086, C088, C089, C092, C094, C098, C099, C100, C101, C102, C110, C112, C117, C118, C121, C123, C125, C126, C128, C131, C142
Time(s)/Cell Status, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted
142.1, 432.1324, 0.4402194, 42.44481, 354.2129, 51.40738, 667.639, 1057.374, 463.5758, 625.9004, 0.0653367, 329.3231, 235.0555, 802.6791, 283.0992, 155.9319, 1711.221, 0.5883594, 188.1344, 954.1398, 0.01111361, 484.0449, 680.0174, 1702.906, 605.309, 22.19346, 1326.573, 0.3194394, 1701.426, 409.8713, 0.4564565, 1492.166, 2260.393, 3273.441, 8704.535, 2233.492, 978.9189, 1929.107, 6416.599, 1446.655, 1342.12, 1098.235, 1575.576, 1645.388, 163.0614, 2693.612, 4641.234, 2236.698, 1392.604, 2586.634, 773.5688, 1445.957, 2777.417, 3735.484, 1145.326, 0.0581984, 1194.228, 5608.071, 1657.982, 0.05293072, 4516.847, 3279.149, 0.002243294, 1086.436, 1461.26, 1292.116, 0.1367203
142.2, 494.5485, 0.4199139, 40.67542, 383.1936, 49.18286, 632.4122, 1100.057, 539.0084, 609.9105, 0.06256479, 375.2403, 225.0637, 824.878, 268.5866, 148.8636, 1707.588, 0.5629604, 179.5023, 909.8997, 0.01055698, 825.1107, 693.6649, 1677.025, 577.6447, 21.26307, 1349.034, 0.3059195, 1629.087, 427.5427, 0.4360947, 1446.27, 2164.721, 3360.885, 8795.697, 2391.646, 927.8912, 1970, 6690.297, 1472.685, 1389.811, 1071.734, 1720.805, 1683.232, 155.9955, 2742.275, 4474.524, 2215.503, 1651.422, 2476.197, 847.6385, 1661.169, 2660.53, 3786.969, 1094.594, 0.05562647, 1248.416, 5795.003, 1586.093, 0.0506544, 4453.277, 3137.257, 0.002150997, 1253.052, 1546.327, 1235.668, 0.1298664
142.3, 473.2022, 0.4005451, 38.97979, 365.3687, 47.0546, 643.7607, 1053.107, 527.4004, 642.9474, 0.05991048, 372.8287, 215.4967, 799.3206, 254.8179, 142.1157, 1787.537, 0.5386578, 202.2281, 1002.515, 0.01002823, 784.454, 666.0755, 1689.01, 680.8306, 20.37169, 1428.603, 0.2929718, 1626.861, 409.5684, 0.4166411, 1406.106, 2211.697, 3248.256, 8971.74, 2431.107, 879.5233, 1957.178, 6619.203, 1439.134, 1531.375, 1022.715, 1641.788, 1787.982, 149.2357, 2766.098, 4283.374, 2222.219, 1574.983, 2428.354, 808.8537, 1661.342, 2676.11, 3631.458, 1115.464, 0.05316819, 1251.175, 5825.98, 1565.534, 0.04847598, 4438.438, 3356.299, 0.002062498, 1265.184, 1479.353, 1181.687, 0.1233561
142.4, 452.7773, 0.3820696, 37.35484, 348.3729, 45.01844, 678.9769, 1132.581, 570.7916, 640.4778, 0.05736878, 424.013, 291.2251, 928.8599, 241.755, 135.6737, 1779.585, 0.5154045, 192.9492, 980.7548, 0.009525961, 745.8007, 633.1935, 1633.098, 699.0829, 19.51767, 1362.726, 0.2805721, 1663.946, 468.0997, 0.3980554, 1399.354, 2263.786, 3310.789, 8962.779, 2323.8, 880.1522, 1928.091, 6514.982, 1513.429, 1493.83, 1196.479, 1676.528, 1765.6, 142.7688, 2650.604, 4507.667, 2142.466, 1591.16, 2458.143, 862.0258, 1776.045, 2655.778, 3683.269, 1066.054, 0.05081856, 1195.6, 5856.801, 1497.653, 0.04639125, 4420.968, 3260.115, 0.00197764, 1208.264, 1415.28, 1281.121, 0.1171721
142.5, 487.6491, 0.3644464, 35.79763, 332.1678, 43.07038, 643.1518, 1084.244, 545.3159, 706.7922, 0.05493491, 405.3054, 462.639, 941.5319, 229.3618, 129.5237, 1725.173, 0.4931549, 184.0962, 1008.05, 0.00904885, 709.052, 687.9711, 1582.436, 667.1329, 18.69946, 1306.158, 0.2686971, 1593.201, 511.959, 0.3802987, 1488.751, 2167.971, 3388.703, 8917.267, 2445.37, 1093.696, 1846.127, 6796.953, 1449.051, 1420.469, 1141.754, 1599.545, 1768.845, 136.5822, 2667.8, 4634.127, 2205.576, 1674.847, 2398.259, 864.3574, 1700.739, 2786.995, 3744.611, 1130.121, 0.04857275, 1240.781, 5962.58, 1549.249, 0.04439617, 4523.761, 3264.31, 0.001896274, 1287.836, 1353.982, 1225.154, 0.1112982
142.6, 466.6006, 0.347636, 34.30534, 316.7164, 41.20663, 686.6172, 1037.969, 520.9773, 675.7737, 0.0526043, 387.4232, 442.9731, 901.5815, 217.6039, 123.6525, 1752.181, 0.4718658, 175.6493, 1002.462, 0.008595636, 674.1141, 654.0082, 1503.262, 636.6432, 17.91555, 1364.842, 0.2573248, 1577.436, 490.4358, 0.3633341, 1505.673, 2217.631, 3285.035, 9100.426, 2557.094, 1098.614, 1943.664, 6615.329, 1429.753, 1414.173, 1089.531, 1626.373, 1757.442, 130.6637, 2556.41, 4667.783, 2160.435, 1597.324, 2295.864, 824.8076, 1699.74, 2763.585, 3732.838, 1080.063, 0.0464262, 1185.668, 5986.885, 1482.074, 0.04248689, 4459.205, 3153.587, 0.001818255, 1229.897, 1388.433, 1171.632, 0.1057187
142.7, 446.4607, 0.3316011, 32.87525, 301.9838, 39.42352, 650.389, 1098.926, 497.725, 646.1165, 0.05037256, 370.33, 424.1431, 863.3263, 206.4488, 118.0474, 1780.182, 0.4514958, 167.59, 955.981, 0.008165121, 640.8977, 621.7219, 1428.049, 607.5469, 17.1645, 1343.773, 0.2464338, 1662.908, 469.8174, 0.3471263, 1505.337, 2123.769, 3323.136, 9048.145, 2504.05, 1041.347, 1967.15, 6542.017, 1530.907, 1453.783, 1039.698, 1551.693, 1682.855, 125.0016, 2449.671, 4468.377, 2264.135, 1581.99, 2402.295, 888.3883, 1841.503, 2818.791, 3600.418, 1032.221, 0.04437451, 1133.004, 5969.58, 1417.812, 0.04065972, 4564.169, 3235.306, 0.001743446, 1174.564, 1525.329, 1120.448, 0.1004189
142.8, 427.1901, 0.3163057, 31.50478, 287.9365, 37.71757, 616.0723, 1052.025, 475.5104, 676.3047, 0.04823551, 353.991, 406.1136, 838.1029, 195.8655, 112.6964, 1751.115, 0.4320051, 179.5174, 911.6555, 0.007756168, 609.318, 598.1625, 1448.814, 579.7803, 16.44493, 1286.126, 0.2360038, 1592.207, 450.0658, 0.3316415, 1443.989, 2033.88, 3186.111, 9212.869, 2393.522, 1054.01, 1883.526, 6549.427, 1641.783, 1502.706, 992.1438, 1480.442, 1697.168, 119.5848, 2464.454, 4395.821, 2250.288, 1677.327, 2299.729, 847.739, 1935.935, 2700.162, 3602.535, 1025.801, 0.04241348, 1082.678, 5974.259, 1479.974, 0.03891113, 4573.298, 3095.311, 0.001671715, 1121.721, 1459.265, 1230.299, 0.0953848
142.9, 408.7512, 0.3017159, 30.19144, 274.5426, 36.08544, 583.5663, 1007.125, 454.2874, 707.622, 0.04618911, 338.3728, 388.8504, 802.5411, 185.8248, 107.588, 1677.279, 0.4133558, 171.2807, 869.3853, 0.007367698, 579.2944, 627.2341, 1376.326, 553.2828, 15.75553, 1259.076, 0.2260152, 1524.512, 431.1446, 0.3168475, 1385.141, 1947.796, 3282.045, 9244.659, 2413.378, 999.0681, 1872.901, 6436.548, 1571.946, 1428.909, 946.7646, 1412.462, 1811.428, 114.4028, 2628.923, 4514.647, 2237.012, 1657.132, 2222.739, 808.9496, 1872.164, 2639.475, 3454.599, 1168.549, 0.04053912, 1034.588, 5950.777, 1453.615, 0.03723773, 4464.563, 2961.373, 0.001602935, 1071.255, 1396.062, 1176.552, 0.09060307
143, 391.1082, 0.287799, 28.93286, 290.0583, 34.52394, 552.7754, 964.1415, 434.0116, 676.5671, 0.04422954, 323.4437, 509.0861, 827.6359, 176.2987, 102.7111, 1693.353, 0.3955116, 163.4218, 840.7498, 0.006998685, 550.7501, 712.8757, 1307.464, 560.8087, 149.8449, 1374.795, 0.2164493, 1459.695, 586.7016, 0.3027134, 1480.449, 2064.594, 3288.854, 9217.982, 2606.834, 1073.622, 1800.208, 6548.084, 1505.078, 1358.736, 903.4611, 1451.127, 1790.032, 109.4454, 2639.919, 4626.699, 2144.69, 1580.429, 2287.756, 771.9351, 1792.783, 2627.554, 3312.738, 1116.788, 0.0387476, 988.6341, 5949.557, 1505.61, 0.03563631, 4500.174, 2833.231, 0.001536985, 1023.06, 1335.596, 1145.333, 0.08606105
143.1, 590.4566, 0.274524, 27.72673, 276.5657, 33.03, 609.934, 1049.025, 414.6407, 646.8751, 0.0423531, 421.7664, 487.4458, 946.9871, 167.261, 98.05524, 1669.84, 0.3784377, 260.2602, 985.6042, 0.006648154, 523.6124, 677.6832, 1242.048, 582.7974, 217.4804, 1333.427, 0.2072883, 1397.634, 688.6689, 0.2892098, 1534.523, 2111.25, 3311.077, 9335.928, 2491.77, 1017.658, 1978.55, 6608.633, 1524.673, 1365.379, 862.1382, 1384.494, 1771.589, 104.7028, 2690.232, 4490.164, 2389.295, 1507.275, 2230.154, 736.6142, 1764.868, 2516.973, 3328.88, 1154.185, 0.03703524, 1027.067, 5883.083, 1440.327, 0.03410375, 4510.743, 2794.352, 0.001473748, 977.033, 1376.463, 1138.259, 0.08174673
143.2, 564.9706, 0.2618614, 26.57089, 321.2237, 31.60072, 577.7519, 1004.253, 396.1344, 618.4861, 0.04055627, 403.158, 466.7254, 906.8052, 158.6866, 93.61046, 1607.361, 0.3621009, 293.3315, 939.9052, 0.006315179, 497.8118, 644.2281, 1179.905, 556.162, 274.9536, 1271.938, 0.198515, 1338.211, 676.445, 0.2763085, 1596.45, 2021.891, 3201.186, 9410.217, 2381.785, 964.6105, 1980.797, 6570.176, 1571.456, 1544.018, 1004.773, 1393.312, 1696.402, 100.1657, 2726.869, 4298.346, 2290.688, 1492.855, 2367.259, 702.9095, 1713.39, 2541.239, 3240.778, 1170.555, 0.03539856, 1153.876, 5943.719, 1377.875, 0.0326371, 4604.142, 2673.437, 0.001413113, 933.0767, 1377.908, 1088.533, 0.07764868
143.3, 540.5847, 0.2497829, 25.46323, 306.2814, 30.23328, 547.2678, 961.3922, 378.4541, 691.4865, 0.03883567, 414.8928, 446.8858, 892.2607, 150.5518, 89.36716, 1586.292, 0.3464693, 279.8726, 896.3251, 0.005998882, 473.2825, 690.6862, 1120.871, 530.7439, 263.4271, 1301.921, 0.1901131, 1420.203, 648.0066, 0.2639828, 1531.389, 1936.313, 3369.691, 9376.867, 2364.179, 914.3286, 1896.592, 6435.148, 1553.274, 1468.193, 958.8162, 1349.797, 1803.543, 95.82517, 2656.558, 4400.583, 2278.388, 1618.944, 2306.324, 670.7469, 1737.218, 2684.75, 3371.576, 1118.705, 0.03383421, 1102.624, 5900.582, 1352.63, 0.03123352, 4591.481, 2557.754, 0.001354973, 996.4252, 1374.267, 1040.98, 0.07375608
