 , C002, C005, C011, C015, C018, C019, C021, C022, C023, C024, C025, C029, C037, C038, C039, C041, C044, C045, C048, C050, C064, C068, C071, C076, C078, C080, C083, C085, C090, C094, C104, C106, C110, C113, C120, C121, C126, C130, C139
Time(s)/Cell Status, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted
276.5, 474.6712, 1232.368, 973.5443, 16.49996, 929.1205, 243.45, 1358.109, 383.3891, 98.19324, 606.4843, 1575.432, 35.94566, 935.7333, 502.9542, 846.1806, 1742.73, 1106.173, 2330.285, 1224.718, 2317.284, 1832.875, 1305.272, 1520.685, 1609.131, 860.5363, 0.3757442, 2044.61, 3515.768, 2590.413, 1751.325, 1748.534, 14.18134, 1549.615, 2840.654, 1675.059, 2608.369, 733.308, 1178.984, 2167.663
276.6, 453.7722, 1175.064, 947.2558, 15.76808, 889.5674, 232.828, 1408.053, 425.9091, 93.24641, 600.3005, 1606.411, 34.33594, 988.4169, 480.5326, 836.282, 1670.091, 1094.974, 2385.012, 1255.504, 2334.114, 1800.983, 1247.728, 1471.214, 1614.054, 839.0242, 0.3604893, 2061.305, 3570.843, 2504.204, 1756.867, 1781.302, 13.60532, 1618.1, 2836.834, 1606.49, 2606.905, 699.7388, 1126.532, 2170.041
276.7, 433.7933, 1167.297, 946.9614, 15.06866, 851.6981, 222.6694, 1414.418, 441.5402, 88.54881, 575.6645, 1579.221, 32.7983, 980.7817, 459.1105, 835.1817, 1600.48, 1135.153, 2395.452, 1233.176, 2308.005, 1769.296, 1348.721, 1451.165, 1582.486, 840.8683, 0.3458537, 2121.432, 3631.417, 2587.569, 1693.126, 1760.317, 13.05271, 1571.107, 2823.65, 1664.402, 2583.897, 667.7062, 1158.827, 2181.243
276.8, 414.6941, 1113.019, 1001.029, 14.40027, 815.4409, 212.9541, 1434.167, 421.685, 84.08785, 566.4645, 1618.347, 31.32952, 963.803, 438.6435, 860.2327, 1533.77, 1087.412, 2319.531, 1182.625, 2329.654, 1779.248, 1289.262, 1511.214, 1570.212, 885.1653, 0.3318123, 2077.679, 3723.925, 2554.996, 1623.235, 1715.748, 12.52254, 1532.979, 2803.338, 1625.08, 2590.357, 637.1401, 1107.272, 2089.177
276.9, 396.4358, 1092.359, 951.3918, 13.76153, 780.7272, 203.6627, 1371.769, 402.7226, 79.85164, 543.2171, 1604.092, 29.92651, 920.0228, 419.0888, 824.3903, 1620.093, 1041.679, 2352.698, 1142.702, 2369.942, 1786.917, 1269.159, 1446.284, 1542.444, 838.87, 0.318341, 2077.188, 3632.019, 2502.843, 1707.86, 1730.231, 12.0139, 1596.053, 2815.511, 1558.557, 2625.168, 756.0056, 1185.34, 2145.437
277, 378.9813, 1041.566, 904.2156, 13.15112, 747.4913, 194.7767, 1420.354, 518.2675, 75.82883, 520.9237, 1601.399, 28.58634, 878.2313, 400.4059, 790.0413, 1570.127, 997.8691, 2338.939, 1188.638, 2420.205, 1778.59, 1244.785, 1461.286, 1637.349, 832.8611, 0.3054166, 2077.583, 3664.159, 2509.949, 1645.066, 1655.628, 11.52593, 1527.703, 2754.291, 1494.758, 2698.823, 721.3972, 1132.605, 2085.517
277.1, 362.2954, 1190.795, 934.4194, 12.56778, 715.6703, 186.2784, 1358.558, 494.962, 72.0087, 499.5453, 1538.671, 27.30618, 838.3381, 382.5559, 776.5316, 1576.664, 1025.851, 2369.456, 1139.913, 2313.779, 1797.166, 1292.958, 1439.542, 1647.833, 789.3014, 0.2930169, 2035.015, 3599.694, 2467.759, 1597.77, 1625.433, 11.05777, 1543.098, 2783.675, 1510.027, 2777.699, 712.5542, 1082.217, 2119.718
277.2, 346.3441, 1145.263, 902.4529, 12.01032, 685.2039, 178.1508, 1358.935, 472.7046, 68.38101, 479.0442, 1554.988, 26.08335, 871.5546, 365.5017, 770.3893, 1584.944, 1006.232, 2416.74, 1201.822, 2357.16, 1791.426, 1300.082, 1411.309, 1641.552, 764.2239, 0.2811207, 2147.596, 3648.867, 2454.02, 1621.083, 1683.749, 10.60863, 1566.622, 2692.636, 1463.952, 2662.207, 679.935, 1121.858, 2090.052
277.3, 331.0951, 1100.26, 870.1392, 11.47758, 656.0344, 170.3779, 1306.432, 451.4479, 124.6593, 519.1252, 1561.508, 24.91528, 831.9647, 349.2077, 797.3805, 1527.583, 975.7809, 2337.249, 1152.557, 2260.832, 1801.916, 1301.193, 1432.351, 1566.249, 850.5551, 0.2697074, 2050.843, 3579.492, 2478.881, 1567.861, 1682.299, 10.17774, 1509.837, 2764.93, 1549.115, 2647.718, 696.2037, 1071.947, 2180.523
277.4, 451.7413, 1088.081, 863.8526, 10.96848, 628.1068, 162.9441, 1319.653, 431.1472, 130.4136, 497.8206, 1579.868, 23.79951, 879.6136, 333.6401, 823.2074, 1581.096, 1111.248, 2398.129, 1133.318, 2361.148, 1725.158, 1243.829, 1370.81, 1609.061, 822.2082, 0.2587575, 2119.966, 3565.812, 2510.254, 1554.172, 1698.307, 9.764341, 1511.414, 2687.539, 1570.976, 2537.631, 719.3018, 1162.889, 2265.058
277.5, 475.6526, 1080.921, 821.0172, 10.48196, 601.3679, 155.8347, 1312.6, 411.7593, 123.8435, 477.3903, 1512.323, 22.73372, 839.6576, 318.7665, 788.9077, 1523.047, 1064.512, 2286.214, 1138.545, 2350.731, 1853.541, 1262.6, 1349.184, 1635.906, 779.2056, 0.2482521, 2099.505, 3571.693, 2462.31, 1490.017, 1625.081, 9.367738, 1517.947, 2710.477, 1554.731, 2651.619, 775.3193, 1111.153, 2259.164
