 , C000, C001, C002, C003, C006, C009, C011, C016, C019, C021, C022, C025, C027, C032, C033, C034, C035, C039, C042, C043, C044, C046, C047, C056, C063, C065, C067, C081
Time(s)/Cell Status, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted
324.3, 184.1224, 278.9813, 383.6279, 122.5599, 540.916, 72.29891, 56.95251, 369.4479, 26.8272, 134.5829, 123.5545, 0.1559238, 374.4903, 146.022, 304.278, 15.15141, 1345.85, 3.560755, 66.22604, 994.1497, 1036.023, 308.3682, 51.02411, 398.0779, 415.6505, 0.5948872, 587.9254, 714.0134
324.4, 173.6761, 261.6575, 367.5108, 116.1872, 506.4449, 69.24517, 54.38481, 352.7698, 25.72313, 128.9164, 118.2631, 0.1492789, 359.0599, 139.8201, 300.784, 14.43072, 1388.228, 3.416558, 62.70711, 1006.937, 983.1443, 289.654, 48.85574, 381.5081, 396.8346, 0.5683475, 601.7512, 678.8775
324.5, 163.8225, 245.4094, 352.0708, 110.1457, 565.3942, 66.32041, 51.93287, 336.8446, 24.6645, 123.4884, 113.1983, 0.1429171, 344.2653, 133.8816, 288.3329, 13.74432, 1344.077, 3.2782, 59.37515, 959.0092, 1075.482, 272.0755, 46.77951, 446.0705, 470.1446, 0.5429919, 568.037, 773.5659
324.6, 154.528, 230.1703, 337.2795, 104.4185, 529.3632, 63.51919, 122.7815, 327.5736, 23.64944, 118.289, 108.3504, 0.1368265, 330.0802, 128.1954, 276.3973, 13.09056, 1329.345, 3.145446, 56.22024, 913.3627, 1029.227, 255.5639, 44.79152, 427.503, 448.8618, 0.5187674, 536.2117, 735.4995
324.7, 145.7608, 215.8775, 358.3464, 195.5621, 495.6283, 60.83628, 117.2459, 312.7858, 22.67615, 113.3085, 103.7102, 0.1309955, 403.6282, 122.7506, 264.9558, 12.4679, 1272.743, 19.30748, 53.23297, 895.2725, 1031.413, 240.0542, 42.88801, 409.7083, 428.5425, 0.4956237, 506.1694, 699.3063
324.8, 137.491, 340.498, 343.2914, 185.3934, 499.8464, 58.26669, 111.9599, 298.6656, 21.74291, 108.5377, 99.26865, 0.1254129, 386.9972, 117.5371, 262.5142, 11.87486, 1339.481, 18.5256, 50.40442, 890.6649, 978.7693, 225.4859, 41.0654, 418.2819, 474.3598, 0.4735124, 534.6089, 881.6669
324.9, 129.6904, 319.3542, 328.869, 175.7534, 467.9926, 55.80564, 106.9122, 285.1829, 38.25648, 103.9678, 95.01733, 0.1200683, 371.0514, 112.545, 251.6474, 11.31002, 1299.936, 17.77538, 47.72617, 929.209, 928.8129, 211.8016, 39.32024, 528.0899, 452.8863, 0.4523877, 504.6565, 838.2811
325, 122.3323, 299.5233, 315.0524, 166.6147, 485.3004, 53.44853, 102.092, 272.3087, 36.68204, 99.59026, 90.94807, 0.1149514, 409.2378, 107.765, 241.2304, 10.77205, 1305.744, 17.05554, 45.19023, 1026.782, 930.6205, 274.9091, 37.64925, 506.1084, 432.3848, 0.4322053, 549.6783, 829.9183
325.1, 198.8228, 340.7011, 301.8163, 200.9666, 477.269, 51.19099, 220.0183, 260.0158, 35.1724, 95.39706, 87.05309, 0.1100526, 418.1835, 103.1879, 231.2446, 10.25967, 1338.523, 16.36486, 42.78904, 1012.444, 934.9211, 258.2254, 36.04926, 485.0418, 482.0834, 0.4129234, 518.8815, 838.4645
325.2, 187.5425, 319.5447, 289.1363, 190.5169, 446.8539, 49.02879, 210.0988, 248.2778, 33.72489, 91.38042, 83.32492, 0.1053626, 400.9528, 98.80528, 312.0005, 9.771665, 1281.53, 15.70214, 40.51543, 1020.949, 911.8679, 242.5543, 34.51728, 464.8521, 460.2603, 0.3945016, 489.8102, 797.2045
325.3, 176.9022, 299.7021, 389.6019, 256.0566, 418.3772, 46.95793, 253.4916, 237.0697, 32.33694, 87.53289, 79.75642, 0.1008724, 384.432, 94.60879, 299.0852, 9.30687, 1261.103, 15.06627, 38.36264, 972.3543, 1055.802, 227.8342, 33.0504, 445.5029, 492.1373, 0.3769017, 462.3677, 829.7823
325.4, 166.8656, 289.6932, 373.2339, 242.7424, 391.7152, 44.97453, 242.063, 226.3676, 31.00612, 83.84737, 76.34074, 0.09657358, 368.5919, 90.59053, 286.7045, 8.864182, 1306.723, 14.45614, 36.32423, 1007.729, 1228.422, 214.0074, 31.64585, 426.959, 496.9259, 0.360087, 436.4627, 788.9496
325.5, 157.3984, 292.8815, 357.5534, 230.1204, 439.6524, 43.07491, 232.4468, 274.2315, 29.73007, 80.31702, 73.07133, 0.09245797, 385.6212, 86.74294, 274.8363, 8.442552, 1323.669, 13.87072, 34.39413, 997.1774, 1323.923, 230.3165, 30.301, 409.187, 474.4308, 0.3440225, 412.0091, 750.1262
325.6, 148.4683, 274.6945, 342.5318, 218.1548, 451.9478, 41.25552, 221.967, 261.8518, 28.50653, 76.93531, 69.94195, 0.08851774, 415.4514, 83.05876, 263.4594, 8.040977, 1367.663, 13.30901, 32.56659, 980.3541, 1483.171, 254.1105, 29.01329, 392.1547, 497.6305, 0.3286746, 388.9256, 713.2133
325.7, 140.0449, 257.6369, 328.1412, 206.8113, 423.1465, 39.51297, 246.0414, 250.0309, 27.33335, 73.69599, 66.94659, 0.08474544, 486.1418, 79.53106, 252.5535, 7.658502, 1347.899, 12.77004, 30.83616, 985.4218, 1566.727, 238.6891, 27.78032, 431.0662, 475.1035, 0.3140115, 519.1413, 678.1168
325.8, 132.0994, 275.6687, 314.3552, 301.5399, 396.1805, 37.84404, 269.9452, 291.3374, 26.20845, 70.59306, 64.07951, 0.08113389, 466.1109, 76.15319, 242.099, 7.29422, 1344.501, 12.2529, 29.19767, 966.715, 1618.675, 261.1788, 26.59973, 413.1233, 453.5963, 0.3000025, 522.2244, 754.2032
325.9, 124.6046, 258.5506, 301.1484, 324.7133, 370.933, 36.24559, 257.7747, 278.1855, 25.12984, 67.62078, 61.33521, 0.07767627, 446.9053, 72.91879, 232.0773, 6.947266, 1353.267, 11.75671, 27.64625, 920.7018, 1631.784, 245.3285, 25.46932, 395.9272, 494.3171, 0.2866185, 492.9659, 717.0897
326, 117.5351, 242.4954, 288.4965, 307.8291, 405.6121, 34.71466, 280.6485, 265.6273, 24.09563, 64.77364, 58.70844, 0.07436599, 428.4911, 69.82175, 222.4704, 6.616815, 1295.646, 11.28061, 26.17726, 978.7139, 1580.123, 230.44, 24.38695, 379.4468, 471.9402, 0.2738316, 465.3466, 681.8024
326.1, 110.8667, 227.4373, 276.3761, 344.3624, 379.7636, 33.24839, 298.9242, 253.636, 23.10398, 62.04638, 56.19417, 0.07119678, 410.8357, 66.85626, 213.2612, 6.302082, 1314.709, 10.82378, 24.78633, 971.2294, 1677.564, 216.4551, 23.35058, 431.6035, 450.5761, 0.2616152, 495.7043, 648.2516
326.2, 212.7547, 228.1824, 264.7649, 358.5221, 405.5551, 31.84405, 285.4472, 242.186, 22.15314, 59.43395, 53.78758, 0.06816263, 393.9077, 64.01672, 204.4332, 6.002319, 1298.757, 10.38546, 23.4693, 951.107, 1715.198, 233.6221, 22.35825, 413.6382, 573.2209, 0.2499438, 467.9316, 858.4084
326.3, 200.6839, 339.059, 253.6415, 339.8799, 468.0844, 30.49903, 272.5779, 298.8256, 21.24143, 56.93151, 51.48405, 0.06525779, 377.6772, 61.29778, 195.9706, 5.716815, 1310.816, 9.964889, 22.22225, 975.6036, 1768.435, 227.7379, 21.40809, 396.4207, 547.2721, 0.238793, 441.7149, 816.167
326.4, 189.298, 318.0045, 242.9854, 398.9253, 438.2547, 29.21082, 336.3253, 285.3356, 20.36724, 54.53444, 49.27917, 0.06247674, 362.1155, 58.69431, 236.0649, 5.444891, 1342.758, 9.561348, 21.04147, 929.1673, 1742.611, 213.9169, 20.49831, 379.9198, 522.4979, 0.2281398, 498.2821, 776.0043
326.5, 178.5581, 298.2575, 232.777, 382.6666, 410.3259, 27.97702, 321.1621, 272.4546, 19.52903, 52.2383, 47.16872, 0.05981421, 347.1949, 56.20143, 226.293, 5.185901, 1331.641, 9.17415, 19.92343, 947.4642, 1964.125, 241.5305, 19.62719, 394.4174, 498.8452, 0.2179618, 524.7441, 737.8179
326.6, 168.4276, 282.0854, 278.5424, 377.2644, 442.0972, 26.79533, 306.6826, 325.2694, 18.72531, 50.03883, 45.14865, 0.05726514, 332.8892, 53.81442, 216.9255, 4.93923, 1424.274, 8.802631, 18.86479, 1055.632, 1863.877, 306.1011, 18.7931, 386.0874, 476.2633, 0.2082379, 580.5534, 783.6685
326.7, 158.8717, 311.6139, 387.526, 357.6476, 413.9236, 25.66356, 292.8558, 326.3646, 17.95468, 47.93197, 214.2425, 0.05482471, 319.1729, 51.52879, 207.9459, 4.704293, 1419.551, 8.446158, 17.86241, 1038.881, 2009.151, 287.5245, 17.99445, 498.1868, 454.7036, 0.1989478, 548.0269, 745.105
326.8, 149.8581, 303.7668, 436.2413, 453.2109, 406.8701, 24.57959, 291.8648, 372.0057, 17.21575, 45.91382, 366.0008, 0.05248828, 395.2124, 49.34024, 199.3379, 4.48053, 1359.108, 8.104121, 16.91328, 997.5141, 2042.91, 270.0753, 17.22973, 477.45, 434.1198, 0.1900721, 599.6015, 885.6364
326.9, 141.3558, 308.5851, 512.097, 429.6451, 380.9414, 57.98122, 278.7061, 355.2121, 16.50724, 43.98064, 359.6216, 0.05025142, 378.9282, 47.24465, 191.0863, 4.267411, 1367.719, 7.775935, 16.01459, 1156.064, 2092.247, 263.0218, 16.49752, 528.6127, 414.4679, 0.1815924, 566.0078, 947.2415
327, 133.3359, 289.4229, 533.9501, 462.2411, 491.8717, 55.53222, 266.1407, 339.1766, 15.82789, 42.12886, 365.6001, 0.04810989, 401.6546, 45.23806, 183.1762, 4.064429, 1407.835, 7.461039, 15.16365, 1101.038, 2156.838, 268.5576, 15.79643, 506.6094, 395.7055, 0.1734911, 534.2961, 900.6287
327.1, 125.771, 271.4507, 511.5176, 438.2058, 460.5261, 53.18666, 254.1418, 323.8651, 15.17649, 40.35505, 553.0135, 0.04605962, 385.1049, 43.31669, 175.5936, 3.871102, 1347.89, 7.158895, 14.35793, 1188.812, 2054.966, 252.2594, 15.12513, 485.522, 377.7925, 0.1657511, 504.3612, 856.3098
327.2, 147.3889, 254.5946, 490.0275, 415.4203, 431.1781, 51.59087, 242.6838, 309.2447, 14.55191, 38.65592, 529.33, 0.04409673, 369.2372, 41.47692, 168.3249, 3.68697, 1374.453, 6.868986, 13.59502, 1183.102, 2237.995, 236.9503, 14.48235, 498.1093, 513.5515, 0.1583565, 476.1035, 814.1716
327.3, 149.954, 238.7851, 482.667, 427.5711, 403.7003, 49.41179, 231.7424, 298.1776, 13.95303, 37.02833, 506.6606, 0.04221749, 396.8374, 39.7153, 161.357, 3.511597, 1373.842, 6.590818, 12.87264, 1182.163, 2158.737, 251.7314, 13.8669, 528.5249, 542.2678, 0.1512917, 449.4289, 862.8254
327.4, 141.4463, 241.7212, 475.7221, 405.3385, 377.9736, 49.81125, 221.2943, 284.7168, 13.37879, 35.46927, 484.9622, 0.04041833, 380.4862, 38.0285, 154.6776, 3.344566, 1315.345, 6.323915, 12.18865, 1143.096, 2196.694, 236.4544, 13.27759, 606.749, 613.6398, 0.1445422, 424.2488, 911.1735
327.5, 133.4212, 257.3702, 484.9622, 384.262, 353.8864, 47.70733, 211.3173, 330.8098, 12.82819, 33.97586, 464.193, 0.03869585, 456.5893, 36.41334, 148.2747, 3.185479, 1331.698, 6.06782, 11.54101, 1126.759, 2222.362, 261.2458, 12.71334, 673.1644, 643.701, 0.1380937, 400.4795, 894.1822
327.6, 170.1835, 241.3884, 479.8165, 364.2814, 462.683, 45.69228, 209.9665, 357.1906, 12.30025, 32.54532, 444.3133, 0.03704677, 437.7761, 34.86678, 142.1369, 3.03396, 1327.758, 5.822096, 10.92777, 1097.909, 2108.932, 245.3913, 12.17306, 645.1442, 725.4868, 0.131933, 378.0419, 957.8859
327.7, 160.528, 239.0069, 502.9409, 345.3398, 433.1975, 43.76234, 200.5002, 341.0658, 11.79403, 31.17502, 425.2849, 0.03546797, 419.738, 33.3859, 136.2531, 2.889648, 1322.714, 5.586323, 10.34712, 1045.651, 2149.188, 230.499, 11.65574, 618.2903, 692.6451, 0.126047, 459.1645, 910.7493
