 , C000, C001, C003, C004, C005, C007, C008, C009, C010, C012, C013, C014, C015, C016, C017, C018, C019, C020, C021, C022, C023, C025, C026, C028, C031, C032, C033, C035, C036, C037, C038, C039, C040, C041, C043, C044, C048, C049, C051, C054, C055, C056, C059, C060, C062, C067, C072, C079, C085, C090, C097, C111
Time(s)/Cell Status, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted
195.1, 635.3797, 140.511, 407.4551, 123.0372, 1328.211, 4897.549, 0.0005286167, 593.4904, 1374.116, 2208.806, 389.0748, 3549.792, 2734.084, 2486.302, 4814.21, 216.4996, 1202.096, 1790.387, 2123.5, 3496.138, 6079.256, 911.5676, 2302.919, 5274.17, 2645.526, 0.0447329, 1820.75, 851.5884, 20.54942, 1086.721, 1118.518, 26.53687, 349.9453, 2881.359, 1454.779, 3029.12, 1.723782, 3150.073, 2996.203, 50.67353, 0.0001772069, 6880.75, 0.0001390237, 1259.278, 753.1707, 4248.541, 155.4809, 1082.823, 883.1849, 914.1118, 4003.383, 3351.131
195.2, 605.7914, 134.5236, 387.6026, 117.8547, 1437.105, 4939.569, 0.0005003175, 561.3102, 1402.07, 2479.462, 366.8097, 3570.72, 2810.749, 2386.978, 4733.05, 241.7325, 1178.643, 1714.494, 2195.72, 3485.007, 5830.483, 865.8428, 2188.048, 5497.62, 2763.824, 0.04271891, 1915.863, 865.1504, 19.55744, 1151.378, 1125.35, 25.42912, 334.496, 2989.258, 1388.54, 3318.479, 1.643263, 3020.195, 3016.822, 48.44811, 0.0001697636, 6821.034, 0.0001330086, 1436.126, 717.4778, 4312.384, 148.8595, 1408.891, 846.0592, 898.821, 3857.837, 3465.98
195.3, 877.9966, 128.7913, 590.6729, 112.8904, 1370.776, 4938.187, 0.0004735334, 530.8749, 1432.944, 2367.086, 345.8187, 3472.836, 2795.117, 2399.228, 4769.502, 332.9702, 1349.036, 1862.654, 2239.363, 3439.001, 5666.44, 822.4116, 2156.239, 5272.696, 2857.837, 0.04079559, 1830.747, 824.3803, 18.61334, 1099.206, 1071.174, 24.36762, 319.7287, 2984.684, 1325.317, 3252.292, 1.566504, 2912.802, 2891.025, 46.32042, 0.0001626329, 6852.975, 0.0001272536, 1405.953, 683.4764, 4261.297, 142.5202, 1528.552, 810.4941, 978.2637, 3861.849, 3425.271
195.4, 922.4032, 123.3032, 561.8935, 108.1353, 1328.74, 5019.535, 0.0004481831, 502.0898, 1369.106, 2259.802, 326.0289, 3636.186, 2678.726, 2346.886, 4725.984, 316.7805, 1279.712, 1783.698, 2213.991, 3355.357, 5634.955, 887.9305, 2048.683, 5390.28, 2739.764, 0.03895887, 1929.039, 815.4905, 17.71482, 1256.655, 1129.78, 214.5573, 305.6134, 3069.354, 1264.973, 3543.85, 1.493331, 2988.83, 3000.091, 44.28618, 0.0001558018, 6900.702, 0.0001217477, 1426.596, 651.0863, 4095.83, 136.4508, 1785.803, 776.4241, 932.3062, 3932.884, 3400.59
195.5, 903.9175, 118.049, 534.5163, 103.5804, 1267.413, 5412.846, 0.0004241899, 474.8655, 1390.545, 2192.534, 307.3716, 3826.07, 2628.542, 2329.605, 4528.763, 301.378, 1213.95, 1721.021, 2175.87, 3214.796, 5672.856, 843.3914, 2114.623, 5169.748, 2948.88, 0.03720484, 1863.673, 857.4005, 16.85968, 1295.657, 1106.17, 205.6009, 292.1212, 2971.249, 1207.376, 3595.834, 1.423576, 2941.67, 2946.092, 42.34127, 0.0001492576, 6933.076, 0.00011648, 1534.351, 620.2312, 4110.234, 130.6399, 1949.041, 743.7862, 888.5078, 3922.217, 3383.64
195.6, 861.8239, 113.0187, 508.473, 99.21745, 1346.682, 5809.1, 0.0004014812, 449.1174, 1444.334, 2093.162, 289.782, 3838.142, 2602.971, 2225.24, 4515.766, 286.7244, 1151.568, 1732.843, 2333.519, 3080.124, 5582.457, 822.2668, 2009.143, 5192.535, 2916.291, 0.03552978, 1954.41, 816.9955, 16.04581, 1279.517, 1141.575, 262.0552, 279.2247, 2968.515, 1152.402, 3562.621, 1.35708, 2820.385, 2956.677, 40.48178, 0.0001429882, 6801.991, 0.0001114402, 1529.722, 590.8383, 4062.074, 125.0764, 2080.24, 712.5203, 984.1907, 3856.272, 3300.944
195.7, 821.6906, 108.2028, 483.6986, 95.03824, 1328.041, 5728.796, 0.0003799882, 424.7654, 1476.225, 2013.665, 273.199, 3863.356, 2665.316, 2163.97, 4327.317, 464.079, 1092.392, 1659.39, 2490.804, 3025.584, 5410.987, 781.0215, 1908.925, 5398.871, 2992.233, 0.03393013, 1873.228, 793.3863, 15.27123, 1221.539, 1120.209, 436.3781, 266.8975, 2994.378, 1099.93, 3411.93, 1.293689, 2732.95, 2904.518, 38.70395, 0.0001369822, 6695.47, 0.0001066185, 1633.437, 562.8384, 4138.326, 119.7499, 2019.538, 682.5687, 1055.109, 3687.333, 3216.048
195.8, 879.2023, 103.5921, 460.1313, 91.03506, 1266.746, 5545.841, 0.0003596458, 401.7338, 1475.003, 2030.606, 257.565, 3696.752, 2574.512, 2298.466, 4359.298, 502.4056, 1036.256, 1657.808, 2384.55, 3034.608, 5189.56, 823.4376, 1851.036, 5177.987, 2868.608, 0.03240251, 1790.007, 755.998, 14.53404, 1462.587, 1182.724, 418.162, 292.6682, 2929.34, 1049.848, 3386.106, 1.23326, 2797.56, 2995.492, 37.00419, 0.0001312285, 6646.938, 0.0001020054, 1562.777, 536.1653, 3952.671, 114.6502, 2002.5, 653.8761, 1108.449, 3859.342, 3197.885
195.9, 838.2597, 99.17783, 437.7123, 87.2005, 1248.479, 5459.706, 0.0003403923, 379.951, 1409.291, 1938.573, 242.8256, 3537.333, 2489.279, 2332.42, 4259.151, 477.9776, 983.0057, 1610.339, 2366.957, 3172.01, 5293.856, 782.1335, 1926.222, 5103.644, 2939.144, 0.03094367, 1753.98, 747.93, 13.83244, 1396.314, 1187.304, 400.7064, 279.7476, 2852.374, 1002.047, 3257.925, 1.175653, 2840.831, 2870.585, 35.37909, 0.0001257165, 6543.951, 9.759193e-05, 1685.257, 510.7563, 3775.345, 109.7677, 1917.127, 626.3896, 1229.44, 3784.228, 3239.122
196, 799.2237, 94.95167, 416.3856, 83.52746, 1238.045, 5453.864, 0.0003221697, 359.3493, 1346.507, 1949.029, 228.9297, 3460.969, 2579.231, 2376.547, 4172.618, 454.7374, 932.4913, 1542.079, 2265.986, 3039.13, 5193.782, 864.2028, 1830.14, 5151.502, 2962.168, 0.0295505, 1764.835, 764.6008, 13.16471, 1424.497, 1392.238, 420.7549, 267.3973, 2754.113, 956.4214, 3248.769, 1.120737, 2723.703, 2888.525, 33.82535, 0.0001204359, 6518.045, 9.336939e-05, 1725.882, 486.5515, 3732.212, 105.0931, 1835.393, 600.0586, 1289.641, 3768.635, 3198.245
196.1, 894.2778, 90.90559, 396.098, 80.00913, 1180.904, 5304.102, 0.0003049225, 339.8647, 1406.102, 1889.809, 215.829, 3311.718, 2636.003, 2518.663, 3998.49, 432.6271, 884.5728, 1593.416, 2169.322, 2965.242, 5115.55, 820.8539, 1738.851, 5026.466, 3031.251, 0.02822006, 1686.429, 728.5691, 12.52921, 1483.463, 1507.427, 403.191, 255.5923, 2638.907, 912.8735, 3331.809, 1.068386, 2716.896, 2866.07, 32.33985, 0.0001153772, 6429.542, 8.932954e-05, 1651.223, 463.4937, 3652.748, 100.6176, 1757.143, 574.8344, 1380.389, 3697.234, 3234.307
196.2, 852.6332, 87.03194, 376.7989, 76.63901, 1157.745, 5287.395, 0.0002885987, 321.4366, 1453.409, 1804.157, 203.478, 3247.6, 2726.834, 2405.829, 3874.405, 411.5919, 839.1166, 1579.474, 2076.781, 3026.939, 5072.193, 779.6794, 1652.116, 5208.339, 2997.133, 0.02694952, 1628.054, 750.663, 11.92439, 1436.235, 1613.626, 386.3603, 244.3084, 2528.521, 871.3085, 3190.88, 1.018481, 2754.504, 2894.606, 30.91958, 0.000110531, 6390.708, 8.54645e-05, 1725.04, 441.5287, 3724.429, 96.3327, 1738.945, 550.6706, 1315.54, 3679.562, 3261.172
196.3, 812.9279, 83.32334, 358.4401, 73.41084, 1104.31, 5299.525, 0.0002731488, 304.0077, 1445.811, 1722.387, 191.8338, 3290.134, 2613.286, 2379.443, 3793.566, 391.5795, 795.9964, 1512.522, 2138.912, 3016.123, 4864.63, 740.5702, 1569.707, 5115.085, 2935.984, 0.02573618, 1592.936, 859.7784, 11.34876, 1426.919, 1544.382, 370.2322, 267.7132, 2523.603, 831.636, 3055.913, 0.9709068, 2779.813, 2773.906, 29.5617, 0.0001058883, 6343.219, 8.176668e-05, 1679.472, 420.6045, 3690.817, 92.23026, 1761.419, 527.5225, 1253.738, 3629.767, 3266.265
196.4, 775.0715, 79.77277, 340.9757, 70.31864, 1128.365, 5153.419, 0.0002585259, 287.5238, 1452.528, 1644.323, 180.856, 3251.693, 2504.467, 2322.218, 3692.314, 372.5401, 755.092, 1448.408, 2047.669, 2889.773, 4915.915, 703.4227, 1491.408, 4961.847, 2984.297, 0.02457747, 1577.385, 819.2614, 10.80092, 1420.209, 1481.464, 354.7773, 255.8942, 2418.039, 793.77, 3191.344, 0.9255548, 2726.877, 2658.238, 28.26344, 0.0001014406, 6105.554, 7.822886e-05, 1659.123, 400.672, 3525.238, 88.30252, 1686.323, 505.3475, 1251.433, 3655.948, 3162.1
196.5, 761.0061, 76.3735, 324.3623, 67.3567, 1076.286, 5098.61, 0.0002446859, 271.9337, 1509.034, 1681.621, 170.5064, 3111.467, 2400.178, 2218.185, 3667.662, 354.4265, 716.2896, 1387.011, 2005.921, 2866.843, 4804.946, 668.1386, 1417.015, 4800.342, 2906.117, 0.02347093, 1507.307, 780.6538, 10.27953, 1355.856, 1410.143, 339.9676, 283.7023, 2383.123, 757.628, 3056.357, 0.8823212, 2840.141, 2737.402, 27.0222, 9.717976e-05, 6184.988, 7.48441e-05, 1587.352, 532.9636, 3466.398, 84.54205, 1614.429, 484.1046, 1250.61, 3595.792, 3147.754
196.6, 725.5676, 73.11909, 308.5584, 64.51952, 1141.047, 5097.992, 0.0002315868, 257.1889, 1582.163, 1744.166, 160.749, 2977.287, 2514.811, 2118.812, 3672.957, 337.1935, 679.4811, 1328.217, 2073.266, 2746.746, 4608.32, 785.3831, 1346.333, 4903.317, 2786.05, 0.02241421, 1456.647, 743.8656, 9.783308, 1294.419, 1429.867, 325.7761, 271.1775, 2346.266, 723.1317, 2927.08, 0.8411071, 2765.313, 2739.975, 25.83547, 9.309788e-05, 6021.689, 7.16058e-05, 1518.686, 531.7204, 3617.905, 80.94173, 1545.6, 463.7547, 1210.942, 3665.169, 3175.641
196.7, 691.7795, 70.00334, 293.5245, 61.80184, 1088.383, 5056.047, 0.000219189, 243.2436, 1566.096, 1665.116, 151.55, 2848.894, 2507.713, 2071.917, 3519.679, 508.8709, 644.5641, 1374.226, 1984.823, 2775.15, 4531.223, 767.9058, 1279.177, 4702.708, 2670.943, 0.02140506, 1430.837, 708.811, 9.311039, 1352.378, 1439.609, 312.177, 259.2056, 2481.427, 690.206, 3021.963, 0.8018182, 2651.299, 2625.722, 24.70086, 8.918744e-05, 5960.984, 6.850761e-05, 1558.857, 560.1869, 3455.597, 77.49474, 1479.706, 444.2602, 1378.635, 3543.925, 3099.754
