 , C003, C004, C005, C008, C009, C010, C016, C017, C018, C020, C023, C024, C028, C029, C038, C039, C041, C045, C053, C055, C059, C060, C066, C070, C073, C076, C077, C080, C082, C083, C087, C089
Time(s)/Cell Status, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted
79.3, 300.4959, 678.3163, 102.2043, 401.9222, 136.1205, 260.6466, 153.5156, 33.64989, 158.4788, 35.95277, 5.58055, 292.3643, 74.05126, 1008.703, 5.69983, 250.6519, 258.9913, 432.0118, 416.3038, 298.8848, 177.7259, 534.1823, 271.9016, 237.916, 1140.812, 1026.597, 667.3984, 688.6469, 345.6887, 889.3248, 121.4142, 800.4433
79.40000000000001, 287.669, 658.404, 97.79391, 422.5975, 129.9935, 249.5244, 147.2514, 198.4856, 151.9663, 34.46288, 5.2937, 280.5531, 70.88039, 1007.566, 5.432775, 239.9803, 247.1339, 411.0388, 450.1118, 284.8703, 169.7944, 512.0089, 260.2098, 226.0891, 1091.236, 1044.188, 717.978, 657.7698, 328.7669, 851.6339, 116.1486, 762.2149
79.5, 352.8158, 675.1003, 93.57387, 419.4609, 124.1422, 238.8768, 141.2428, 189.1265, 145.7215, 33.03472, 5.021595, 269.219, 67.84531, 1116.74, 5.178233, 229.7631, 235.8194, 391.0839, 467.7146, 271.513, 162.2168, 554.7319, 249.0208, 214.8501, 1043.816, 1105.438, 738.5757, 628.2772, 336.9329, 898.1838, 111.1113, 814.6525
79.59999999999999, 337.7556, 659.043, 89.53593, 402.2167, 118.5544, 228.6835, 135.4794, 180.2088, 139.7333, 31.66574, 4.763476, 258.3427, 78.67392, 1099.699, 4.935617, 240.9268, 225.0229, 389.8514, 444.3986, 258.782, 154.9773, 531.7055, 238.3129, 204.1698, 998.4556, 1050.798, 707.7943, 600.1069, 320.4397, 989.3084, 106.2925, 775.7455
79.7, 338.9396, 623.3724, 85.67223, 385.6814, 140.1144, 218.9252, 129.9512, 171.7116, 133.9911, 30.3535, 4.518625, 247.9059, 75.30511, 1148.357, 4.704368, 257.6628, 214.7207, 427.2253, 422.245, 246.6479, 148.061, 509.6349, 228.0655, 194.0204, 1006.693, 998.8598, 678.2958, 573.1998, 317.7416, 1054.507, 151.1662, 738.6967
79.8, 324.4718, 589.6326, 81.97527, 369.8259, 159.2066, 209.5834, 124.6485, 163.615, 128.485, 29.09563, 4.28636, 237.8907, 72.08056, 1099.342, 4.483954, 246.6928, 204.8902, 426.0303, 401.1957, 235.0827, 141.4533, 488.4805, 218.2587, 184.3756, 1080.078, 999.295, 670.0054, 547.499, 302.1878, 1074.054, 144.6102, 936.6513
79.90000000000001, 310.6216, 557.7188, 78.43783, 354.6223, 175.1936, 229.3487, 119.5622, 222.4859, 200.1206, 61.44009, 4.066033, 228.2802, 108.0025, 1191.405, 4.273867, 284.291, 224.5597, 440.0501, 381.1957, 224.0599, 423.6548, 734.4537, 208.8736, 175.2102, 1110.39, 949.9022, 663.9644, 522.9506, 432.7501, 1028.534, 248.4665, 891.9178
80, 486.6917, 527.5324, 75.05305, 340.0436, 174.6934, 340.5927, 114.6835, 385.6767, 265.3805, 58.89398, 287.3389, 284.134, 413.2925, 1350.107, 4.073623, 653.7073, 325.5996, 514.632, 395.1582, 213.5539, 677.5181, 703.9672, 469.697, 539.0656, 1287.345, 902.9507, 784.4031, 499.5029, 592.1375, 1114.599, 237.6907, 1361.461
80.09999999999999, 465.917, 577.701, 71.81432, 344.604, 256.2858, 458.966, 110.0038, 448.1347, 309.0819, 56.45338, 443.369, 374.6158, 395.5954, 1473.508, 279.8936, 625.8756, 450.1911, 489.648, 504.8232, 324.2718, 949.0616, 888.3768, 599.613, 729.078, 1263.211, 858.32, 820.2625, 613.4611, 696.4719, 1274.672, 227.3822, 1408.169
80.2, 446.029, 546.4331, 68.71536, 330.4372, 282.1345, 440.9103, 105.5151, 427.0042, 296.3806, 188.4439, 488.755, 394.155, 543.9798, 1645.734, 266.7798, 680.1446, 548.4281, 494.3072, 493.15, 360.7414, 1261.265, 1085.515, 613.5343, 775.3195, 1316.087, 815.8953, 786.0767, 585.9551, 893.0413, 1430.511, 377.2885, 1641.152
