 , C000, C001, C002, C003, C004, C005, C006, C007, C009, C011, C013, C014, C015, C016, C017, C020, C021, C022, C023, C024, C025, C026, C028, C029, C030, C031, C032, C033, C035, C038, C039, C040, C042, C043, C044, C045, C050, C051, C052, C053, C055, C060, C063, C069, C076, C087, C093, C103
Time(s)/Cell Status, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.1, 0, 164.8899, 0, 0, 9.833145, 0, 0, 155.4413, 22.9939, 26.0332, 0, 0, 57.82278, 17.55603, 0, 0, 75.50473, 182.1777, 0, 0, 46.52441, 151.5103, 0, 0, 0, 303.7943, 0, 36.70282, 57.62866, 0, 297.2107, 261.4141, 0, 40.01953, 0, 98.71906, 0, 37.31207, 225.266, 0, 0, 0, 79.98364, 125.211, 0, 44.44836, 0, 0
0.2, 72.28766, 278.1178, 0, 31.55652, 134.4411, 0.5682068, 0, 316.1869, 66.57312, 24.64572, 0, 201.1216, 124.692, 57.30281, 0, -1.525879e-05, 170.6382, 174.1443, 0, 1.525879e-05, 44.39478, 917.7484, 0, 34.7243, 66.4657, 284.4555, -3.051758e-05, 95.2403, 237.0807, 0, 284.0753, 316.9617, 0, 54.20673, 0, 94.44159, 37.06763, 122.9059, 347.9609, 0, 0, 6.103516e-05, 99.18213, 180.9224, 5.105072, 132.7642, 77.24103, 195.176
0.3, 68.52475, 337.3798, 0, 30.19183, 220.9386, 0.5382385, 0, 301.5916, 194.7928, 125.9365, 0, 208.7612, 210.0166, 70.13782, 0, -1.525879e-05, 709.6324, 166.4651, 0, 0, 42.36267, 1379.086, 0, 32.95737, 63.45392, 266.3478, 0, 146.0673, 631.5614, 0, 337.5359, 322.475, 0, 97.63574, 0, 90.34937, 118.8759, 117.1858, 365.6544, -3.051758e-05, 0, 0, 152.1344, 172.0566, 4.889648, 126.4819, 73.84106, 186.8373
0.4, 64.9577, 349.1904, 0, 86.69611, 518.3196, 0.5098572, 0, 287.6701, 184.803, 119.2245, 0, 235.4883, 200.4905, 161.9192, 0, -1.525879e-05, 948.2228, 159.1245, 0, 0, 40.42358, 1410.867, 0, 31.28036, 60.57867, 249.3929, 0, 228.6689, 784.3761, 0, 507.1038, 385.5167, 0, 93.6188, 100.4472, 86.43454, 113.82, 168.5647, 455.402, -3.051758e-05, 0, 0, 238.5699, 163.6252, 4.683319, 120.4971, 70.5907, 178.8549
0.5, 61.57634, 444.7073, 0, 82.94684, 494.4757, 32.85397, 0, 274.3912, 199.4522, 112.8702, 0, 225.467, 191.3965, 154.9119, 0, 0, 1051.602, 152.1077, 0, 0, 38.57324, 1388.843, 8.780426, 130.8736, 57.83368, 233.5172, 0, 374.821, 754.2938, 0, 525.9471, 368.4606, 0, 89.76712, 96.22809, 82.68933, 108.9792, 160.7195, 437.6389, 0, 0, 0, 232.4136, 155.6071, 4.485687, 114.7953, 67.48346, 171.2135
0.6, 58.371, 424.481, 0, 79.35968, 571.0611, 31.12143, 0, 261.7252, 189.2236, 106.8546, 0, 215.8722, 182.715, 148.2078, 3.814697e-06, -1.525879e-05, 1002.499, 145.4002, 0, 1.525879e-05, 36.80774, 1404.709, 12.62782, 124.2142, 165.7343, 305.508, 0, 353.6764, 973.4257, 0, 545.6345, 352.1593, 0, 86.07391, 208.524, 79.10638, 104.3443, 265.6797, 520.319, -3.051758e-05, 0, 6.103516e-05, 238.4186, 147.9818, 4.296402, 109.3634, 152.1222, 163.8986
0.7, 55.33253, 463.3377, 0, 75.92773, 544.791, 29.48029, 0, 249.644, 179.5195, 101.1597, 0, 206.6858, 174.4272, 141.7939, 0, -1.525879e-05, 955.6884, 138.9886, 0, 1.525879e-05, 35.12286, 1344.863, 11.97929, 117.8936, 158.2244, 286.0602, 0, 333.7246, 996.0839, 0, 619.3726, 445.8911, 0, 124.9668, 199.7652, 75.67868, 99.90654, 253.3148, 492.8986, 0, 0, 6.103516e-05, 225.7581, 157.2384, 4.115082, 243.9363, 145.4261, 237.5002
0.8, 52.45222, 442.2639, 0, 72.64417, 549.3621, 27.92566, 0, 238.1203, 170.313, 95.76822, 0, 197.8903, 166.5155, 135.6575, 3.814697e-06, 35.00154, 996.7017, 132.8596, 0, 1.525879e-05, 33.5152, 1372.84, 11.36406, 111.8947, 151.0548, 267.8503, 0, 335.3447, 993.386, 0, 591.999, 437.857, 0, 130.3374, 191.3744, 72.39951, 95.65748, 342.0931, 492.5276, 0, 0, 6.103516e-05, 213.77, 159.6727, 58.46413, 277.5948, 139.0247, 227.3534
0.9, 49.72185, 422.1487, 0, 69.50262, 524.0901, 26.453, 0, 227.1286, 161.5787, 90.66406, 0, 189.469, 170.824, 129.7867, 3.814697e-06, 33.47536, 950.162, 127.001, 0, 0, 31.98108, 1293.668, 10.78043, 106.201, 144.2101, 250.7997, 0, 393.5857, 949.1002, 0, 568.4843, 418.4854, 0, 124.975, 183.336, 69.26239, 91.58914, 326.1718, 466.5718, 0, 0, 6.103516e-05, 202.4183, 151.8482, 59.93805, 356.1844, 132.9052, 242.6578
1, 47.13361, 402.9484, 0, 66.49695, 613.0957, 25.05804, 0, 216.6443, 153.2923, 85.83197, 0, 216.6627, 217.3905, 124.17, 3.814697e-06, 32.01573, 905.7955, 121.4007, 0, 0, 30.51715, 1219.062, 25.36636, 100.797, 137.6755, 234.8344, 50.06021, 446.6831, 906.7888, 0, 543.3597, 399.9708, 0, 119.8333, 207.6367, 66.26126, 87.69383, 310.9916, 441.9838, 1.525879e-05, -7.629395e-06, 6.103516e-05, 202.2424, 144.4071, 57.40881, 339.3303, 127.0549, 232.2905
1.1, 44.68008, 384.6213, 0, 63.62125, 584.8918, 68.01477, 0, 206.644, 145.4308, 151.5503, 0, 213.5591, 304.2729, 118.7963, 3.814697e-06, 30.61975, 965.3964, 116.0473, 0, 0, 29.1203, 1148.758, 33.53963, 95.668, 131.437, 292.8693, 48.0175, 421.4846, 866.3635, 0, 661.8558, 545.6359, 0, 114.9031, 229.1894, 63.39014, 83.96419, 330.2347, 418.6916, 21.16997, -7.629395e-06, 6.103516e-05, 191.5029, 137.3307, 54.98631, 364.3533, 178.088, 222.3661
1.2, 69.00194, 367.1278, 0, 60.86987, 602.7552, 64.4281, 0, 197.1052, 271.5596, 143.4732, 0, 204.471, 290.4715, 113.6552, 3.814697e-06, 150.8108, 932.6392, 110.93, 0, 0, 27.78729, 1082.509, 31.81712, 90.79999, 193.4263, 274.226, 46.05815, 397.7076, 827.7405, 0, 632.6046, 521.4958, 0, 113.8636, 219.5626, 60.64346, 80.39317, 314.8654, 396.6268, 20.3058, -7.629395e-06, 3.051758e-05, 181.3337, 229.7136, 52.66602, 529.7444, 170.249, 233.5203
1.3, 65.41008, 416.6709, 0, 58.23749, 646.4166, 191.639, 0, 188.0068, 263.1555, 226.5903, 0, 290.9608, 285.5052, 108.7366, 7.629395e-06, 144.235, 899.1432, 106.0384, 0, 0, 26.51538, 1109.956, 81.60855, 127.8432, 184.6616, 257.9177, 44.17874, 446.7086, 854.4096, 0, 736.3982, 514.3188, 0, 109.179, 293.1076, 58.01578, 109.7676, 300.2113, 483.3042, 66.88391, 0, 3.051758e-05, 179.2144, 267.1325, 70.89434, 504.6779, 276.6211, 239.5898
1.4, 62.00517, 485.5401, 0, 55.71896, 649.3125, 181.5331, 0, 264.2262, 249.6598, 214.5138, 0, 278.579, 272.5551, 104.0309, 3.814697e-06, 137.9458, 895.0695, 101.3624, 0, 0, 96.09082, 1096.326, 77.41733, 121.338, 176.294, 501.5535, 130.38, 421.5086, 816.3195, 0, 703.8525, 640.5024, 0, 199.7889, 280.7961, 64.93842, 112.9285, 286.2393, 881.2813, 64.15363, 12.84663, 0, 199.6187, 254.0421, 67.90278, 480.7973, 385.6576, 280.2632
1.5, 146.0141, 463.4566, 0, 53.30936, 619.4426, 171.9601, 0, 351.6072, 240.4333, 203.0809, 0, 299.0535, 329.6385, 99.52876, 3.814697e-06, 131.931, 1030.277, 96.89267, 0, 0, 91.69238, 1033.1, 73.44136, 115.1637, 168.3056, 755.0425, 125.0598, 414.0284, 811.9321, 0, 672.7451, 612.1654, 0, 191.5692, 269.0017, 62.1246, 108.1257, 461.6092, 935.8291, 61.53481, 45.79457, -3.051758e-05, 189.0186, 241.5932, 65.03746, 458.0468, 368.6817, 268.2892
1.6, 138.4133, 484.8685, 0, 51.00394, 659.1461, 162.892, 0, 335.3769, 277.1452, 192.2574, 0, 330.1694, 314.6865, 95.22149, 3.814697e-06, 126.1783, 982.1698, 92.62003, 0, 0, 87.49524, 973.5212, 171.7688, 109.3037, 252.9052, 706.9785, 119.9568, 539.8078, 834.3163, 0, 693.0846, 585.082, 0, 183.6876, 257.7027, 186.4244, 103.527, 440.1255, 1022.062, 59.02289, 43.65391, -3.051758e-05, 178.9813, 229.7544, 62.29305, 436.3727, 352.4531, 256.8268
1.7, 131.2083, 462.8156, 0, 48.79822, 653.7208, 154.302, 0, 396.5605, 262.9321, 182.0108, 0, 316.119, 300.4127, 91.10062, 1.907349e-06, 167.2091, 980.9185, 88.5358, 0, 0, 83.49023, 1008.555, 162.9472, 103.7418, 257.9851, 741.4257, 146.0067, 509.3559, 797.1219, 0, 662.4531, 559.1969, 0, 244.7414, 246.8783, 240.9613, 99.12402, 419.6418, 1038.868, 56.61349, 41.61332, 0, 169.4771, 218.4957, 59.66445, 415.7243, 336.9388, 245.8541
1.8, 124.3783, 441.7656, 0, 46.68787, 623.6481, 191.7593, 0, 378.2552, 249.4479, 172.3102, 0, 302.6665, 286.7863, 87.1581, 1.907349e-06, 164.6813, 950.4973, 84.63167, 0, 0, 79.66852, 1005.954, 154.5786, 98.463, 317.1974, 727.2545, 140.0489, 480.6219, 894.4229, 0, 688.9399, 534.457, 0, 245.3461, 236.5086, 309.6273, 94.90825, 470.4795, 984.1203, 54.30246, 87.42398, -3.051758e-05, 160.4775, 207.7887, 57.14677, 396.0529, 322.1074, 285.959
