 , C001, C002, C003, C004, C005, C007, C010, C011, C012, C013, C016, C017, C018, C019, C020, C021, C022, C024, C025, C027, C028, C029, C031, C032, C033, C034, C035, C036, C037, C038, C039, C043, C045, C046, C047, C051, C052, C053, C054, C055, C056, C063, C064, C068, C070, C077, C082, C089, C092, C099, C106
Time(s)/Cell Status, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.1, 58.04175, 0, 138.1853, 0, 100.432, 0, 67.21838, 210.7422, 0, 0, 124.3822, 0, 0, 44.91687, 26.36922, 67.11694, 74.44916, 0, 119.3401, 0, 51.34128, 0, 0, 0, 282.2798, 64.16553, 0, 0, 0, 0, 100.5542, 0, 53.47144, 0, 0, 37.7782, 0, 0, 0, 151.343, 0, 0, 326.4336, 151.5392, 0, 0, 86.40863, 0, 0, 168.6217, 0
0.2, 55.14297, 0, 214.1694, 0, 96.16455, 70.25903, 120.6621, 290.0542, 229.1433, 7.629395e-06, 118.9004, 71.50024, 0, 42.83386, 150.4552, 63.96997, 138.5176, 0, 414.5066, 0, 48.95428, 0, 36.79218, 0, 403.7778, 189.9836, 228.3906, 0, 96.42706, 0, 96.31421, 24.32478, 122.7256, 216.556, -3.051758e-05, 58.81738, 0, -0.0001220703, 0, 235.2964, 0, 0, 313.0547, 225.6469, 0, 1.525879e-05, 82.42432, 7.629395e-06, 1.525879e-05, 161.571, 0.0001220703
0.3, 52.38895, 6.103516e-05, 385.3069, 0, 153.2759, 140.0255, 164.8908, 392.2563, 372.5867, 7.629395e-06, 210.7701, 163.3342, 41.84302, 68.70068, 143.4181, 60.97058, 132.6754, 0, 415.3408, 0, 46.67825, 0, 35.05945, 0, 534.0542, 181.5674, 221.6377, 0, 209.7743, 0, 92.25302, 23.25963, 304.3423, 207.194, -3.051758e-05, 239.8831, 0, 48.10229, 0, 301.364, 0, 0, 300.2242, 318.6716, 0, 0, 209.7311, 0, 0, 154.8153, 0.0001220703
0.4, 49.77246, 0, 367.8887, 0, 146.7631, 183.1704, 157.3539, 624.9587, 355.7766, 7.629395e-06, 283.4529, 279.2988, 62.43445, 65.51468, 153.3239, 58.11194, 127.0795, 0, 487.6499, 0, 44.50806, 0, 63.70837, 0, 743.9561, 258.6091, 211.4675, 0, 200.9029, 0, 88.36307, 22.24112, 289.7627, 198.2368, 0, 228.9268, 0, 46.06836, 0, 467.5527, 0, 0, 287.9195, 415.6573, 0, 0, 200.0605, 0, 188.3828, 148.342, 0.0001220703
0.5, 47.28665, -6.103516e-05, 359.3308, 0, 140.527, 204.061, 150.1616, 597.5176, 339.725, 1.525879e-05, 331.5793, 317.0901, 79.18579, 152.8264, 302.1289, 55.38708, 121.7195, 0, 584.6724, 0, 42.43875, 0, 85.20905, 0, 853.395, 247.1526, 334.1381, 0, 192.4067, 0, 84.63715, 51.25264, 380.4812, 189.6667, -3.051758e-05, 268.7371, 0, 44.12036, 0, 628.9136, 0, 0, 276.1191, 395.926, -3.051758e-05, -1.525879e-05, 245.2928, -7.629395e-06, 180.3317, 142.1393, 0.0001220703
0.6, 74.74777, -6.103516e-05, 516.548, 0, 134.5559, 193.5193, 143.2979, 732.4644, 349.8969, 1.525879e-05, 412.8003, 436.5027, 133.2252, 145.739, 332.1204, 52.79016, 116.5858, 0, 703.0804, 0, 40.46564, 0, 139.8613, 0, 987.8706, 236.2034, 318.8059, 0, 184.2698, 68.42944, 81.06833, 95.0103, 453.6445, 181.4672, -3.051758e-05, 297.817, 0, 42.25464, 0, 742.7468, 0, 0, 264.8024, 377.1313, 0, -1.525879e-05, 290.4807, 0, 358.9093, 136.196, 0.0001220703
0.7, 97.25781, -6.103516e-05, 570.7592, -3.051758e-05, 179.8347, 255.799, 136.7479, 875.6316, 353.0298, 7.629395e-06, 524.899, 416.9746, 215.3113, 176.8408, 316.5863, 50.315, 111.6685, 0, 796.9866, 0, 91.30615, 0, 188.1765, 0, 1178.926, 286.1281, 420.2095, 0, 176.477, 140.5862, 77.64996, 90.84991, 561.6611, 173.6221, -3.051758e-05, 342.1462, 0, 40.4679, -3.814697e-06, 941.6982, 0, 0, 253.9494, 523.0004, 0, -1.525879e-05, 289.5861, -7.629395e-06, 343.5702, 130.5012, 6.103516e-05
0.8, 92.40042, -6.103516e-05, 674.55, -3.051758e-05, 213.8358, 242.5847, 206.4688, 837.1831, 468.2439, 7.629395e-06, 543.1942, 482.1111, 330.8378, 168.6398, 301.7789, 231.8978, 106.9586, 0, 760.4094, 0, 129.3289, 0, 179.3142, 0, 1274.691, 448.6616, 445.4011, 0, 169.0137, 134.8827, 74.37578, 119.401, 672.489, 166.1163, -3.051758e-05, 406.5745, 0, 38.75671, -3.814697e-06, 968.7812, 0, 0, 243.5412, 498.1736, 3.051758e-05, -1.525879e-05, 357.6489, -7.629395e-06, 328.8867, 125.0445, 0.0001220703
0.9, 141.5173, -6.103516e-05, 785.6357, -6.103516e-05, 204.7498, 268.915, 197.0314, 959.8381, 518.8916, 1.525879e-05, 519.254, 648.686, 316.5218, 160.8191, 368.9855, 221.0247, 162.9438, 0, 856.0175, 0, 156.9275, 0, 190.8438, 0, 1367.613, 428.7854, 458.3707, 0, 249.6085, 176.882, 71.23967, 141.0317, 713.1831, 158.9348, -3.051758e-05, 388.0046, 0, 37.11792, -3.814697e-06, 982.9023, 0, 0, 233.5596, 474.5251, 3.051758e-05, -1.525879e-05, 412.0228, -7.629395e-06, 314.8307, 119.816, 0.0001220703
1, 153.249, -9.155273e-05, 750.1201, -6.103516e-05, 339.4344, 310.3013, 320.8314, 1096.941, 495.4805, 1.525879e-05, 527.2546, 619.6656, 302.8253, 189.8798, 351.7272, 210.6614, 156.0713, 0, 881.8381, 0, 168.2274, 0, 181.8559, 0, 1661.749, 559.1536, 437.338, 0, 279.3282, 169.7059, 68.23578, 134.8561, 906.621, 152.0639, -3.051758e-05, 383.6642, 0, 114.9852, -3.814697e-06, 1045.04, 0, 0, 223.9872, 564.0907, 6.103516e-05, 0, 393.0245, -7.629395e-06, 301.3755, 114.8062, 6.103516e-05
1.1, 160.6662, -6.103516e-05, 978.0267, -6.103516e-05, 325.0116, 294.2715, 306.1667, 1187.329, 649.0658, 7.629395e-06, 519.7855, 708.8018, 289.7214, 265.1443, 335.2761, 200.7841, 301.0006, 0, 932.5333, 0, 204.8819, 0, 173.2913, 0, 1618.673, 534.3826, 417.2704, 0, 300.7051, 222.1211, 65.35855, 128.9509, 863.1895, 145.49, -3.051758e-05, 399.8865, 0, 110.1232, -3.814697e-06, 1104.443, 0, 0, 214.8071, 731.5188, 3.051758e-05, 0, 539.9283, -7.629395e-06, 288.4953, 270.7855, 6.103516e-05
1.2, 185.2391, 94.15787, 933.8138, -3.051758e-05, 311.2016, 279.0697, 292.1723, 1255.529, 696.9272, 1.525879e-05, 576.5955, 677.0917, 277.1846, 320.7666, 319.5944, 191.3699, 288.3052, 0, 1056.037, 0, 195.3563, 0, 296.8817, 0, 1656.93, 646.7263, 586.996, 0, 309.7499, 399.3353, 62.60263, 123.3043, 979.9821, 139.2003, -6.103516e-05, 420.5356, 0, 149.5745, 0, 1139.89, 0, 0, 206.0032, 774.0662, 0, -1.525879e-05, 515.0323, 0, 276.1656, 259.4631, 6.103516e-05
1.3, 175.9876, 163.2115, 924.077, -6.103516e-05, 297.9784, 408.731, 278.8175, 1353, 825.2334, 7.629395e-06, 634.4392, 646.8003, 265.1904, 305.891, 304.6462, 182.397, 276.1452, 0, 1184.255, 0, 186.2737, 0, 317.4966, 0, 1893.376, 715.8086, 560.0612, 0, 348.9369, 383.1344, 59.96291, 117.905, 1094.071, 133.1825, -3.051758e-05, 472.8236, 0, 143.2499, -3.814697e-06, 1194.709, 0, 0, 197.5601, 799.8179, 0, -1.525879e-05, 491.2844, 0, 264.3628, 248.614, 0.0001220703
1.4, 195.3549, 155.4838, 1032.354, -6.103516e-05, 285.317, 427.8154, 266.0732, 1399.899, 868.7114, 7.629395e-06, 615.0455, 765.1998, 294.7835, 402.4841, 290.3972, 173.8449, 264.4981, 0, 1129.904, 0, 177.6133, 0, 302.5439, 0, 1947.507, 837.0299, 534.3623, 0, 334.1802, 474.2478, 190.4127, 112.7421, 1173.31, 127.4248, -3.051758e-05, 458.6453, 0, 137.1927, -3.814697e-06, 1140.101, 0, 0, 189.463, 761.8505, 0, 0, 468.6314, 0, 253.0645, 238.2186, 0.0001220703
1.5, 219.4643, 207.2487, 1052.733, -6.103516e-05, 273.1937, 501.4628, 253.9114, 1504.689, 895.9807, 1.144409e-05, 764.9976, 730.9668, 407.835, 475.7372, 337.7607, 424.3335, 253.3423, 0, 1274.05, 0, 215.6798, 0, 413.9585, 0, 2057.316, 799.9489, 647.96, 0, 538.7604, 587.8047, 382.7718, 269.1501, 1239.452, 121.9161, -3.051758e-05, 531.3093, 0, 188.8726, -1.907349e-06, 1224.425, 0, 0, 181.6978, 879.2455, 0, -1.525879e-05, 491.7565, 0, 242.249, 228.2579, 0.0001220703
1.6, 254.832, 197.4359, 1179.072, -6.103516e-05, 261.5854, 475.5577, 242.3054, 1612.102, 954.6586, 7.629395e-06, 762.5554, 698.2653, 390.1873, 453.6748, 321.9629, 404.4376, 242.6569, 0, 1378.618, 0, 247.4895, 0, 416.0383, 5.994273, 2215.909, 932.3542, 664.774, 0, 515.9761, 563.9576, 366.6318, 286.8083, 1180.077, 116.6455, 0, 653.1459, 0, 376.8658, 0, 1263.881, 0, 0, 174.2509, 949.772, 0, -2.288818e-05, 469.0818, 3.814697e-06, 231.8958, 287.9395, 0.0001220703
1.7, 242.1048, 188.0878, 1125.77, -6.103516e-05, 250.4705, 450.9909, 231.23, 1541.316, 1338.669, 7.629395e-06, 750.7276, 866.094, 423.8973, 467.3555, 323.8146, 385.4747, 232.4223, 0, 1440.764, 0, 235.983, 0, 396.4447, 5.691357, 2278.73, 954.2202, 770.157, 43.65991, 494.1555, 653.0538, 351.1724, 274.2493, 1338.743, 111.6028, 0, 875.8355, 0, 373.4347, 0, 1367.602, 0, 0, 167.1093, 1077.15, 0, -2.288818e-05, 625.2454, 3.814697e-06, 221.985, 275.8997, 0.0001220703
1.8, 255.7271, 179.1822, 1074.878, -3.051758e-05, 239.8278, 427.6932, 220.6608, 1744.524, 2006.765, 7.629395e-06, 717.6407, 827.3472, 405.5545, 587.3693, 394.5434, 367.4008, 222.6193, 0, 1374.641, 0, 225.0115, 0, 459.8217, 65.21062, 2587.76, 1066.747, 1212.518, 41.69531, 473.2575, 713.2166, 336.3649, 330.7826, 1362.827, 106.778, 0, 1079.43, 0, 490.551, 0, 1371.665, 0, 0, 160.2603, 1026.018, 0, -2.288818e-05, 641.225, 3.814697e-06, 212.4978, 264.3635, 0.0001220703
1.9, 419.3705, 170.6983, 1137.856, -3.051758e-05, 229.6373, 405.599, 210.5747, 1889.796, 1916.225, 7.629395e-06, 855.2661, 862.8187, 456.7663, 606.7433, 376.0897, 350.1744, 213.2298, 0, 1407.425, 0, 214.5501, 0, 469.4164, 61.91526, 2646.356, 1388.544, 1304.026, 39.81911, 453.2434, 684.2816, 322.1816, 316.298, 1341.755, 102.1619, 0, 1229.285, 0, 495.2976, 0, 1308.968, 0, 0, 153.692, 1061.269, 0, -2.288818e-05, 611.6584, 3.814697e-06, 203.416, 481.8102, 0.0001220703
2, 398.4258, 162.6161, 1151.605, -3.051758e-05, 219.8799, 384.6461, 292.4529, 1929.309, 2067.793, 7.629395e-06, 817.572, 947.6008, 437.0012, 578.6056, 358.4991, 405.4809, 204.2363, 0, 1460.278, 0, 204.575, 0, 514.0414, 58.78642, 2863.024, 1629.12, 1371.451, 38.02734, 434.0756, 770.0936, 308.5966, 330.6449, 1395.363, 97.74527, 0, 1192.337, 63.16258, 554.7621, 0, 1409.564, 0, 0, 522.9609, 1047.12, -1.525879e-05, -1.525879e-05, 620.1153, 3.814697e-06, 194.7224, 512.7888, 0.0001220703
2.1, 378.5271, 228.2954, 1136.853, -3.051758e-05, 210.537, 364.7757, 279.0853, 2007.732, 2078.478, 7.629395e-06, 836.4833, 1014.435, 451.6295, 654.9724, 433.3631, 386.469, 195.6221, 0, 1535.659, 0, 294.7414, 0, 510.0503, 146.4517, 3203.303, 1813.106, 1333.164, 131.7417, 415.7185, 803.5219, 400.38, 316.1664, 1403.021, 93.51959, -1.525879e-05, 1149.182, 75.97337, 584.5092, 0, 1489.422, 0, 0, 577.0345, 997.413, -1.525879e-05, -2.288818e-05, 614.6847, 3.814697e-06, 186.4004, 491.3474, 9.155273e-05
2.2, 359.6222, 338.364, 1241.493, -1.525879e-05, 201.5911, 345.9318, 330.4489, 2009.358, 2116.345, 7.629395e-06, 799.6169, 1053.639, 432.0866, 624.598, 456.0539, 442.9702, 187.3713, 0, 1524.329, 0, 308.9902, 0, 486.0292, 139.0509, 3314.559, 1760.63, 1305.713, 206.1825, 398.1377, 825.661, 383.4976, 340.3822, 1451.203, 89.47662, 0, 1214.875, 192.1382, 559.7938, 1.907349e-06, 1500.021, 0, 0, 553.3847, 1128.305, -1.525879e-05, -1.525879e-05, 603.6017, 7.629395e-06, 178.434, 470.8026, 9.155273e-05
2.3, 341.6614, 322.3432, 1185.369, -1.525879e-05, 193.0254, 398.4887, 315.3446, 1968.205, 2065.989, 7.629395e-06, 810.0818, 1093.866, 455.9146, 737.0126, 434.7232, 472.6166, 179.4684, 0, 1520.029, 0, 365.8674, 0, 564.4078, 132.0241, 3371.012, 1707.03, 1363.714, 236.2894, 381.3004, 911.1588, 367.327, 377.8571, 1650.962, 85.60843, 0, 1194.336, 207.0175, 598.2197, 3.814697e-06, 1590.24, 0, 0, 530.7042, 1074.744, -1.525879e-05, -7.629395e-06, 646.6705, 7.629395e-06, 170.8081, 525.4371, 9.155273e-05
2.4, 407.5712, 390.4308, 1244.207, -1.525879e-05, 184.8236, 410.0065, 300.9307, 1934.175, 1972.777, 236.4284, 883.0458, 1044.929, 436.1864, 723.8456, 414.3902, 507.2723, 171.8989, 0, 1532.31, 0, 348.8572, 0, 537.8268, 125.3523, 3496.667, 1739.72, 1301.139, 309.0597, 365.1751, 900.5012, 382.5551, 418.9346, 1691.269, 81.90744, -1.525879e-05, 1211.229, 396.7347, 572.9244, 3.814697e-06, 1689.833, 0, 0, 508.9532, 1239.389, 0, -1.525879e-05, 674.7283, 7.629395e-06, 163.5081, 662.1604, 6.103516e-05
2.5, 417.738, 371.9447, 1187.961, -1.525879e-05, 176.9703, 480.9579, 287.1756, 1849.248, 2087.848, 224.8947, 1033.224, 1173.451, 417.3118, 730.83, 481.7937, 483.4877, 164.6487, 0, 1512.115, 0, 360.2051, 0, 557.7454, 119.0177, 3620.059, 1662.649, 1357.385, 309.9392, 349.7318, 909.6691, 431.5926, 400.59, 1610.25, 78.36649, -1.525879e-05, 1260.049, 380.1462, 548.6989, 3.814697e-06, 1743.241, 0, 0, 568.3502, 1180.555, 0, -1.525879e-05, 643.6168, 1.144409e-05, 156.5201, 658.3015, 6.103516e-05
2.6, 408.0679, 354.334, 1211.523, -1.525879e-05, 169.4507, 456.1121, 274.0492, 1981.94, 1993.649, 213.9236, 1319.467, 1192.865, 399.254, 853.7227, 459.2591, 460.8183, 157.7042, 0, 1641.36, 0, 343.4582, 0, 531.4781, 113.0033, 3636.748, 1588.992, 1392.746, 475.4329, 334.9416, 1100.588, 466.8593, 490.8465, 1574.009, 74.97859, -1.525879e-05, 1307.296, 622.6553, 590.6757, 3.814697e-06, 2003.775, 0, 0, 572.533, 1173.357, -1.525879e-05, -1.525879e-05, 751.246, 1.144409e-05, 149.8307, 698.1063, 9.155273e-05
2.7, 393.863, 337.5569, 1280.482, -1.525879e-05, 162.2506, 432.5498, 307.7961, 1974.999, 1903.701, 203.4877, 1510.593, 1260.638, 552.2908, 814.1312, 437.7784, 521.0197, 151.0527, 0, 1718.834, 0, 482.9883, 0, 577.9164, 218.9625, 3839.327, 1608.349, 1404.92, 621.9507, 320.7769, 1191.997, 447.1737, 469.353, 1691.013, 71.73717, -3.051758e-05, 1533.304, 738.5535, 678.9266, 1.907349e-06, 2398.78, 0, 0, 683.9452, 1219.367, -1.525879e-05, -7.629395e-06, 829.8644, 1.144409e-05, 143.4272, 989.1925, 9.155273e-05
2.8, 425.9534, 511.16, 1406.718, -1.525879e-05, 155.3564, 410.2048, 640.3539, 2028.127, 1870.949, 193.5609, 1536.146, 1395.04, 528.3922, 1011.135, 513.338, 496.5905, 144.6816, 0, 1795.797, 0, 549.1843, 0, 679.2956, 268.1457, 3933.466, 1537.098, 1754.065, 610.8738, 449.0237, 1488.642, 670.9371, 596.3715, 1732.574, 68.63586, -1.525879e-05, 1939.403, 1025.239, 1040.117, 3.814697e-06, 2978.93, 0, 0, 736.6718, 1268.622, 0, -7.629395e-06, 1015.68, 1.144409e-05, 137.2974, 947.8312, 9.155273e-05
2.9, 404.6799, 593.6104, 1443.54, -1.525879e-05, 148.7552, 389.014, 861.2965, 2041.826, 1786.537, 184.1184, 1644.356, 1332.63, 505.5277, 1124.106, 533.4211, 539.0455, 138.5793, 0, 1713.38, 0, 725.6797, 0, 816.5693, 431.9145, 3924.218, 1469.003, 1983.894, 659.5294, 611.5359, 1606.208, 642.6464, 570.2571, 1716.615, 65.66864, -1.525879e-05, 2253.172, 1429.347, 1210.964, 3.814697e-06, 3475.644, 0, 0, 876.8625, 1281.036, 0, -7.629395e-06, 968.847, 1.144409e-05, 131.4296, 1006.856, 9.155273e-05
3, 400.9631, 565.5042, 1404.958, -3.051758e-05, 142.4345, 368.9179, 964.1053, 2109.145, 1705.932, 175.1365, 1637.545, 1355.493, 483.6526, 1071.976, 545.2526, 688.3512, 132.7344, 0, 1658.954, 0, 786.0994, 0, 899.6165, 497.0844, 4056.628, 1403.925, 1964.58, 629.852, 656.2259, 1541.044, 615.5485, 561.4147, 1634.38, 62.82973, 0, 2416.31, 1659.031, 1159.76, 3.814697e-06, 3887.842, 0, 0, 939.797, 1331.381, 0, 0, 943.0048, 9.536743e-06, 125.8126, 1089.173, 6.103516e-05
3.1, 380.9377, 538.7287, 1613.568, -3.051758e-05, 136.3823, 349.86, 920.0374, 2117.503, 1628.965, 166.5928, 1577.37, 1399.193, 462.724, 1083.649, 598.8611, 715.5366, 127.136, 0, 1775.818, 0, 749.5514, 0, 901.9577, 521.0703, 3909.507, 1341.729, 1989.586, 647.9409, 657.4932, 1596.43, 589.5933, 640.1875, 1556.086, 60.11351, -1.525879e-05, 2305.948, 1811.865, 1303.442, 3.814697e-06, 4165.6, 0, 0, 1038.343, 1268.181, 0, 0, 986.9308, 241.4568, 120.4356, 1159.931, 6.103516e-05
3.2, 415.9463, 513.221, 1556.388, -3.051758e-05, 130.5873, 331.7866, 877.9839, 2236.9, 1555.47, 158.4658, 1589.601, 1336.597, 442.7011, 1033.394, 570.851, 725.179, 121.7737, 0, 1783.058, 0, 714.7026, 0, 859.4795, 645.4135, 4091.227, 1282.29, 1944.669, 618.785, 687.425, 1531.663, 564.7324, 612.1545, 1581.885, 57.51474, -1.525879e-05, 2465.128, 2326.895, 1248.328, 3.814697e-06, 4125.674, 0, 0, 1122.646, 1340.284, 1.525879e-05, -3.814697e-06, 941.4238, 230.1452, 115.2884, 1359.627, 6.103516e-05
3.3, 542.7661, 488.9211, 1613.729, -3.051758e-05, 125.0386, 314.6468, 837.8525, 2138.679, 1670.22, 150.7354, 1637.21, 1276.801, 423.5446, 1031.417, 544.1509, 803.8683, 116.6376, 0, 1701.226, 0, 681.4741, 0, 842.9567, 612.798, 3975.298, 1225.483, 1953.589, 698.9148, 658.3537, 1544.422, 540.9199, 585.349, 1506.105, 55.02829, 0, 2369.238, 2396.358, 1195.543, 2.861023e-06, 4094.723, 0, 0, 1301.009, 1276.661, 0, -3.814697e-06, 1031.84, 219.3636, 110.3612, 1302.777, 6.103516e-05
3.4, 541.2565, 465.7717, 1540.778, -1.525879e-05, 119.7256, 389.4698, 799.5555, 2182.974, 1594.864, 143.382, 1611.009, 1357.32, 405.2171, 983.5853, 587.2852, 766.1771, 111.7182, 0, 1804.999, 0, 649.7904, 0, 853.1047, 581.8307, 4019.842, 1171.193, 1920.507, 667.4652, 723.7802, 1528.596, 518.1115, 559.7173, 1433.955, 52.64935, -7.629395e-06, 2261.027, 2537.836, 1144.991, 2.861023e-06, 4043.076, 0, 0, 1401.077, 1216.057, 7.629395e-06, 0, 984.2621, 209.087, 105.6446, 1370.115, 9.155273e-05
3.5, 571.9355, 492.9279, 1517.076, -1.525879e-05, 114.6384, 472.0281, 763.009, 2195.016, 1522.908, 136.3874, 1658.011, 1344.916, 387.6826, 937.9714, 559.8165, 730.2532, 107.0062, 0, 1792.67, 0, 619.5798, 0, 812.9272, 687.8991, 4016.962, 1191.498, 1948.766, 821.9595, 724.8719, 1466.582, 496.2647, 535.2081, 1423.664, 50.37325, -7.629395e-06, 2271.25, 2461.049, 1096.576, 1.907349e-06, 3920.109, 0, 0, 1452.351, 1158.331, 0, -3.814697e-06, 968.0621, 199.2919, 101.1296, 1409.077, 9.155273e-05
3.6, 543.3712, 536.8529, 1448.495, -3.051758e-05, 109.7673, 447.6436, 728.133, 2239.202, 1743.775, 224.7757, 1584.938, 1318.387, 370.9069, 991.7662, 609.4075, 696.0135, 102.493, 0, 1710.396, 0, 590.7738, 0, 774.642, 653.1367, 3939.619, 1213.447, 1859.345, 896.9343, 694.2169, 1539.045, 475.3392, 517.3191, 1577.053, 48.19556, -7.629395e-06, 2167.514, 2472.877, 1104.508, 2.861023e-06, 3871.081, 0, 0, 1392.826, 1321.548, 7.629395e-06, -3.814697e-06, 1131.933, 189.9556, 96.80748, 1395.141, 9.155273e-05
3.7, 516.2334, 637.5938, 1383.013, -2.288818e-05, 105.1032, 424.5187, 694.8511, 2234.252, 1665.1, 517.1556, 1680.095, 1336.491, 354.857, 1006.88, 702.5828, 663.3794, 98.17006, 0, 1742.254, 0, 751.1411, 0, 892.3173, 702.343, 4041.018, 1217.143, 1830.608, 889.2343, 738.6808, 1476.606, 455.296, 499.0643, 1501.504, 46.11198, -7.629395e-06, 2171.966, 2482.723, 1057.805, 2.861023e-06, 3904.563, 0, 0, 1335.741, 1258.814, 7.629395e-06, 0, 1079.74, 181.0567, 92.67012, 1472.045, 7.629395e-05
3.8, 490.451, 794.6966, 1465.129, -2.288818e-05, 100.6373, 402.5885, 663.0905, 2136.148, 1589.975, 756.469, 1659.294, 1276.7, 428.1899, 1004.316, 669.7213, 632.2754, 94.0295, 0, 1662.295, 0, 839.6895, 0, 850.2931, 666.8506, 4106.497, 1263.117, 1746.609, 889.5733, 913.1635, 1479.849, 436.098, 477.2109, 1429.575, 44.11852, 0, 2223.205, 2378.914, 1132.64, 2.861023e-06, 3987.406, 0, 0, 1280.995, 1286.683, 7.629395e-06, -3.814697e-06, 1029.953, 172.5748, 269.9742, 1501.123, 7.629395e-05
3.9, 465.9562, 833.5899, 1499.155, -2.288818e-05, 96.36113, 461.838, 632.7816, 2178.234, 1649.329, 833.5444, 1739.406, 1385.115, 409.6613, 957.7405, 698.4329, 602.6297, 90.06358, 0, 1810.032, 0, 921.0831, 0, 870.3306, 720.6238, 4106.479, 1273.364, 1778.206, 849.5445, 1064.899, 1486.281, 417.7094, 608.7181, 1613.045, 42.21121, -7.629395e-06, 2121.663, 2458.084, 1084.747, 2.861023e-06, 3952.509, 0, 0, 1228.494, 1251.121, 7.629395e-06, 0, 1066.019, 164.4901, 258.436, 1567.287, 6.103516e-05
4, 442.6848, 887.3121, 1431.383, -2.288818e-05, 92.26667, 437.9799, 603.8581, 2189.959, 1574.916, 1054.414, 1662.746, 1323.148, 391.9345, 1358.405, 757.0191, 574.374, 86.26494, 0, 1803.529, 0, 878.2593, 0, 829.3418, 684.2076, 3929.841, 1216.953, 1711.817, 811.3169, 1112.349, 1425.983, 400.0963, 600.1992, 1592.198, 40.38637, -7.629395e-06, 2104.084, 2487.415, 1134.296, 2.861023e-06, 3909.931, 0, 0, 1178.144, 1285.05, 7.629395e-06, -3.814697e-06, 1165.201, 156.7842, 324.4828, 1602.25, 6.103516e-05
4.1, 420.5757, 845.2997, 1518.173, -2.288818e-05, 88.34618, 415.3544, 576.2566, 2093.8, 1629.839, 1002.976, 1621.331, 1351.788, 418.9183, 1295.408, 721.6115, 547.4432, 82.6265, 0, 1873.479, 0, 837.4266, 0, 790.2834, 649.6317, 3855.029, 1275.523, 1698.474, 808.9789, 1144.298, 1519.842, 383.2258, 573.9173, 1607.204, 38.64041, -7.629395e-06, 2056.094, 2717.702, 1128.047, 2.861023e-06, 3881.213, 0, 0, 1129.857, 1244.282, 7.629395e-06, -3.814697e-06, 1151.072, 149.4393, 310.6151, 1677.05, 6.103516e-05
4.2, 399.5707, 805.2766, 1449.541, -2.288818e-05, 84.59227, 393.8976, 549.9167, 2274.755, 1556.304, 992.7734, 1711.67, 1291.312, 429.7817, 1289.458, 687.86, 613.0634, 79.14152, 0, 1787.497, 0, 879.1469, 0, 863.673, 824.1317, 3986.34, 1219.016, 1626.278, 772.5767, 1095.905, 1458.182, 367.0667, 548.7862, 1641.564, 36.96993, -7.629395e-06, 2147.603, 2904.849, 1310.908, 2.861023e-06, 3829.095, 0, 0, 1270.002, 1351.299, 7.629395e-06, -3.814697e-06, 1170.069, 561.1452, 297.34, 1783.03, 6.103516e-05
4.3, 464.7731, 767.1484, 1430.591, 430.9336, 80.99788, 413.918, 524.7808, 2299.75, 1787.578, 973.2253, 1703.513, 1334.38, 411.1843, 1229.659, 734.949, 649.2694, 75.80353, 0, 1705.461, 0, 838.2729, 0, 897.3078, 782.4848, 4056.719, 1165.013, 1569.485, 845.2985, 1049.559, 1515.629, 351.5889, 537.058, 1562.925, 35.37167, 187.023, 2071.06, 3095.615, 1270.652, 2.861023e-06, 3915.597, 0, 0, 1503.341, 1287.152, 1.525879e-05, 0, 1116.117, 534.8571, 284.6323, 1784.65, 6.103516e-05
4.4, 506.7547, 811.2167, 1414.037, 646.4789, 77.55621, 432.1155, 500.7939, 2481.02, 1706.927, 925.7482, 1863.713, 1401.015, 477.0088, 1172.634, 809.8605, 690.1915, 72.60633, 0, 1816.43, 0, 921.118, 0, 855.0486, 846.7053, 4200.031, 1147.726, 1537.851, 807.262, 1005.173, 1454.14, 336.7638, 526.4719, 1585.498, 598.4885, 179.3642, 2111.626, 3095.509, 1250.925, 2.861023e-06, 3845.766, 0, 0, 1501.291, 1226.051, 1.525879e-05, 3.814697e-06, 1132.155, 509.8006, 272.4677, 1845.685, 4.577637e-05
4.5, 481.4457, 772.8073, 1682.259, 729.4546, 74.2608, 409.7928, 477.9033, 2372.081, 1672.812, 880.5872, 1873.803, 1497.49, 606.1763, 1118.253, 771.9814, 861.7069, 69.54399, 0, 1844.798, 0, 878.2927, 0, 922.65, 803.9177, 4332.832, 1134.847, 1493.896, 837.1868, 962.6644, 1712.59, 322.5638, 606.8359, 1509.545, 572.6151, 172.019, 2275.958, 3115.539, 1213.701, 1.907349e-06, 3866.854, 0, 0, 1552.23, 1167.851, 1.525879e-05, 3.814697e-06, 1079.951, 485.9179, 260.823, 1768.511, 4.577637e-05
