 , C001, C002, C003, C004, C005, C007, C010, C011, C012, C013, C016, C017, C018, C019, C020, C021, C022, C024, C025, C027, C028, C029, C031, C032, C033, C034, C035, C036, C037, C038, C039, C043, C045, C046, C047, C051, C052, C053, C054, C055, C056, C063, C064, C068, C070, C077, C082, C089, C092, C099, C106
Time(s)/Cell Status, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted
18.1, 1448.886, 763.1428, 1275.965, 231.3419, 17.21409, 313.2166, 4951.054, 4569.966, 1377.719, 615.7789, 6038.969, 5327.818, 379.4453, 1998.192, 1155.614, 56.01925, 240.4843, 18.34811, 3160.622, 202.2858, 24.42756, 0, 837.2191, 988.9033, 6034.315, 834.3254, 2089.781, 1070.687, 1765.733, 4829.012, 955.1802, 1254.946, 683.9571, 907.8169, 214.0962, 3688.427, 5162.882, 3646.3, 159.7422, 6284.191, 66.12376, 0, 1946.818, 3552.92, 2563.233, 320.8657, 1990.382, 4057.239, 2.597366, 1807.575, 70.00061
18.2, 1522.808, 727.0095, 1218.283, 221.1992, 16.48265, 297.0362, 4839.754, 4610.959, 1315.56, 585.7393, 6306.241, 5326.009, 363.026, 2176.251, 1101.563, 53.39265, 230.3412, 17.3909, 3071.666, 191.5143, 23.29185, 0, 910.186, 962.9604, 5774.751, 797.364, 2184.396, 1022.508, 1691.06, 4933.215, 914.9041, 1330, 651.1922, 868.5707, 205.3287, 3934.504, 5689.7, 3594.398, 152.6485, 6537.061, 63.27192, 0, 2084.922, 3517.36, 2469.033, 306.5725, 1898.606, 4089.219, 2.48636, 1731.995, 67.07265
18.3, 1455.916, 863.0326, 1163.209, 211.5012, 15.78229, 591.3113, 5063.827, 4615.476, 1256.206, 639.5569, 6474.509, 5458.451, 347.3172, 2075.328, 1136.726, 50.88922, 220.626, 16.48363, 3038.415, 181.3164, 22.20895, 0, 907.3588, 944.8925, 5767.777, 852.0962, 2084.163, 976.4979, 1619.545, 4733.076, 1131.446, 1271.761, 619.9969, 831.0213, 196.9202, 4137.655, 5698.332, 3442.412, 145.8698, 6604.405, 60.54307, 0, 2167.642, 3496.601, 2547.598, 292.916, 1811.062, 4012.953, 2.380098, 1659.575, 64.26717
18.4, 1489.441, 822.1698, 1179.766, 202.2283, 15.11169, 754.5505, 5125.482, 4412.814, 1199.529, 608.3573, 6401.997, 5547.572, 332.2881, 1979.084, 1191.774, 48.50316, 211.3206, 15.62368, 3101.918, 171.6616, 21.17639, 0, 893.1426, 897.1431, 5707.615, 853.2845, 2185.03, 932.5577, 1551.054, 4679.186, 1083.737, 1306.123, 590.2961, 866.1703, 188.856, 4017.303, 5519.859, 3426.655, 139.3921, 6474.949, 57.93192, 0, 2134.251, 3330.617, 2544.628, 279.8679, 1776.509, 3928.262, 2.278377, 1682.212, 61.57904
18.5, 1479.153, 783.2418, 1126.433, 193.362, 14.46958, 715.5711, 5006.489, 4406.677, 1145.409, 578.6797, 6257.158, 5354.934, 317.9094, 1926.439, 1264.808, 46.22898, 202.4076, 14.80861, 3034.195, 162.5208, 20.19184, 0, 851.0795, 1018.273, 5659.32, 815.4832, 2084.769, 890.5947, 1914.894, 4489.353, 1038.04, 1248.93, 787.786, 828.7245, 181.1221, 3878.979, 5439.845, 3321.176, 133.2021, 6367.838, 55.43338, 0, 2483.06, 3435.559, 2428.426, 267.401, 1694.594, 3832.603, 2.181004, 1611.873, 59.00334
18.6, 1450.646, 746.1569, 1087.159, 184.8845, 13.85476, 782.4431, 4777.65, 4421.512, 1093.731, 550.4498, 6488.932, 5343.127, 304.1529, 1837.1, 1205.65, 44.06143, 193.8706, 14.03605, 3002.238, 153.8668, 19.25307, 0, 810.9974, 1046.965, 5678.437, 993.5355, 2029.872, 850.52, 1833.913, 4307.22, 994.2701, 1194.24, 860.658, 792.8977, 173.7049, 3884.025, 5440.198, 3302.715, 127.287, 6257.248, 53.04261, 0, 2381.292, 3309.814, 2477.446, 255.4895, 1768.527, 3653.056, 2.087792, 1768.339, 56.53538
18.7, 1378.196, 710.8279, 1133.799, 176.7786, 13.26606, 742.0228, 4826, 4324.103, 1044.385, 523.597, 6459.055, 5488.276, 290.9916, 1953.411, 1149.259, 41.99551, 185.6936, 13.3038, 2948.135, 145.6736, 18.35793, 0, 936.3572, 994.057, 5504.029, 981.0783, 2294.505, 922.1691, 1756.356, 4409.376, 952.3456, 1141.946, 994.7493, 758.6197, 166.5915, 3856.555, 5422.323, 3296.661, 121.6345, 6322.966, 50.75494, 0, 2283.695, 3470.727, 2512.017, 244.1085, 1686.98, 3588.72, 1.998564, 1694.399, 54.17065
18.8, 1573.767, 677.1718, 1157.95, 169.0281, 12.70237, 703.6907, 4859.475, 4479.185, 997.2647, 498.0543, 6301.754, 5679.959, 278.3999, 2132.01, 1268.482, 40.02645, 177.8615, 12.60975, 2842.644, 137.9167, 17.50442, 0, 892.2589, 1010.041, 5791.297, 937.6156, 2325.115, 1092.219, 1682.08, 4357.238, 912.189, 1091.942, 982.7471, 725.8236, 159.7693, 3737.93, 5674.917, 3227.995, 116.233, 6667.918, 48.56594, 0, 2253.135, 3607.511, 2495.223, 233.2346, 1609.194, 3627.381, 1.913149, 1623.551, 51.90482
18.9, 1665.376, 645.1091, 1105.603, 161.6174, 12.16264, 667.3387, 4871.32, 4354.9, 952.2707, 473.7576, 6509.025, 5498.237, 266.353, 2033.138, 1252.261, 38.14972, 170.3598, 11.95191, 2762.851, 130.5728, 16.69059, 0, 911.8998, 1136.408, 5852.717, 896.0783, 2361.545, 1043.072, 1610.944, 4180.466, 873.7256, 1044.127, 1008.516, 753.3186, 153.2266, 3694.415, 5761.007, 3235.4, 111.0715, 6480.096, 46.47134, 0, 2279.606, 3638.674, 2480.999, 222.845, 1654.032, 3502.745, 1.831385, 1555.665, 49.73377
19, 1582.201, 614.5645, 1055.623, 154.5316, 11.64584, 737.5566, 4700.79, 4297.773, 1011.731, 450.6462, 6269.981, 5578.315, 254.8274, 2018.082, 1296.228, 36.36098, 163.1745, 11.32838, 2750.518, 123.62, 15.9146, 0, 950.2027, 1097.534, 5755.631, 899.4681, 2296.266, 1044.316, 1542.817, 4182.189, 836.884, 998.4061, 960.2036, 790.5839, 146.9518, 3547.563, 5652.021, 3186.688, 106.1391, 6513.476, 44.46709, 0, 2186.176, 3723.757, 2398.264, 212.9182, 1592.385, 3432.772, 1.753115, 1624.561, 47.65353
19.1, 1642.919, 585.4662, 1007.902, 147.7565, 11.151, 699.4552, 4533.167, 4394.526, 966.084, 532.7438, 6467.498, 5370.582, 243.8006, 2034.081, 1276.653, 375.6989, 156.2922, 10.73739, 2853.392, 117.0374, 15.17469, 0, 905.4523, 1231.428, 5713.486, 1034.27, 2299.15, 1181.303, 1477.571, 4128.02, 801.5959, 954.6871, 1004.396, 756.4059, 140.9339, 3560.675, 5531.716, 3356.335, 101.4257, 6445.298, 42.54927, 0, 2205.93, 3843.279, 2475.428, 203.4336, 1658.834, 3510.446, 1.678191, 1646.157, 45.66031
19.2, 1699.578, 557.7456, 1044.907, 141.2784, 10.67718, 663.322, 4619.486, 4334.981, 977.3612, 506.7548, 6437.655, 5360.5, 233.2509, 2043.725, 1237.14, 358.0834, 149.7002, 10.17722, 2842.42, 110.8053, 14.46917, 0, 898.23, 1169.199, 5979.206, 988.451, 2226.932, 1128.147, 1415.084, 4058.784, 767.7958, 912.8826, 1093.1, 723.7055, 135.1624, 3398.046, 5498.396, 3380.225, 96.9217, 6328.893, 40.71417, 0, 2274.305, 3822.195, 2362.386, 194.3715, 1637.072, 3383.476, 1.606468, 1683.719, 43.75045
