 , C000, C002, C003, C004, C005, C006, C008, C009, C010, C011, C012, C013, C016, C017, C019, C020, C026, C028, C029, C032, C035, C041, C043, C046, C052, C054, C057, C082, C084, C087, C088
Time(s)/Cell Status, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted
532.5, 1.517645, 4311.565, 3578.014, 2958.519, 7964.635, 2971.231, 5680.226, 3285.207, 4106.089, 3126.266, 7165.066, 5930.295, 1944.323, 524.8835, 2786.411, 1631.548, 3759.98, 5609.678, 3651.356, 5725.749, 4267.738, 3848.289, 2393.574, 5124.183, 2709.308, 3330.965, 1479.604, 3102.26, 2103.122, 3987.835, 469.4175
532.6, 1.440136, 4230.027, 3438.662, 2832.855, 8029.777, 3073.602, 5473.41, 3228.983, 3925.521, 2997.869, 6950.248, 6054.604, 2058.007, 509.6574, 2703.466, 1561.14, 3673.997, 5460.061, 3493.361, 5698.534, 4240.207, 3756.396, 2275.648, 5124.702, 2690.799, 3375.15, 1410.645, 2983.45, 2040.937, 3823.421, 449.8413
532.7, 1.366585, 4040.297, 3375.003, 2850.037, 7909.855, 3003.012, 5464.213, 3166.856, 3752.893, 3101.958, 6924.872, 6012.36, 2047.813, 488.4338, 2588.281, 1512.371, 3609.252, 5398.824, 3342.202, 5463.053, 4179.914, 3669.71, 2163.531, 4950.135, 2574.093, 3257.644, 1344.901, 2868.965, 1956.092, 3938.159, 431.0816
532.8, 1.296791, 3859.076, 3602.83, 2774.744, 8101.985, 3258.288, 5318.379, 3023.349, 3927.227, 3171.31, 6827.86, 5997.519, 2026.436, 468.094, 2478.003, 1683.619, 3762.656, 5775.246, 3197.584, 5552.506, 4003.37, 3499.354, 2056.938, 5371.252, 2462.449, 3121.075, 1390.17, 2747.774, 2048.133, 3979.099, 547.8209
532.9, 1.230561, 3685.984, 3441.553, 2701.074, 8314.008, 3120.247, 5144.548, 2886.345, 3952.161, 3192.461, 7026.888, 5958.704, 1980.997, 566.1137, 2372.424, 1686.692, 3649.472, 5961.114, 3059.223, 5551.615, 3973.343, 3336.906, 1955.597, 5236.865, 2355.648, 3053.789, 1325.379, 2631.703, 1962.99, 3988.192, 711.712
533, 1.167714, 3520.656, 3347.836, 2697.273, 8202.193, 3192.312, 5058.24, 2755.549, 3778.361, 3056.501, 6825.638, 6057.721, 1899.302, 660.4062, 2328.408, 1613.904, 3751.764, 5821.988, 2951.326, 5453.257, 3805.523, 3200.154, 1859.248, 5210.08, 2253.478, 2976.603, 1263.608, 2639.22, 2020.464, 4024.448, 682.0314
533.1, 1.108076, 3362.743, 3284.828, 2617.609, 8161.667, 3115.571, 5083.949, 2630.68, 3820.592, 2987.991, 6722.833, 6028.084, 1953.354, 633.6458, 2288.714, 1544.257, 3597.547, 5680.092, 2903.736, 5274.082, 3843.936, 3207.612, 1767.647, 5235.287, 2157.381, 2996.839, 1204.716, 2659.268, 1936.471, 3951.994, 653.5886
533.2, 1.051485, 3877.469, 3144.343, 2853.594, 8066.701, 2983.576, 5062.278, 3106.737, 3713.336, 2917.273, 6716.054, 6011.641, 1890.283, 771.8858, 2366.346, 1477.616, 3531.894, 5668.366, 3362.477, 5182.285, 4187.887, 3262.905, 2058.087, 5020.063, 2260.635, 3019.893, 1148.569, 2751.513, 1855.969, 4024.956, 626.332
533.3, 0.9977834, 4050.753, 3003.59, 2866.183, 8162.086, 2882.746, 5086.241, 3038.924, 3848.082, 3084.443, 6635.785, 5922.268, 1808.788, 746.6397, 2469.305, 1424.277, 3542.47, 5622.293, 3216.981, 5386.242, 4148.523, 3111.434, 2088.453, 4987.405, 2204.846, 2945.422, 1153.07, 2780.573, 1778.814, 3956.015, 600.212
533.4, 0.9468246, 4046.062, 2993.944, 2832.714, 7947.452, 2937.802, 5070.512, 2901.214, 3724.167, 3292.039, 6502.907, 6039.198, 1873.588, 914.7221, 2424.494, 1451.045, 3584.694, 5678.338, 3152.415, 5304.668, 4162.854, 3004.197, 2001.658, 4979.586, 2109.217, 2994.534, 1099.33, 2731.113, 1794.746, 3990.447, 575.1814
533.5, 0.8984683, 3864.583, 2957.137, 2712.394, 7919.161, 3084.275, 4891.467, 2769.744, 3630.901, 3209.805, 6600.325, 6220.594, 1792.813, 940.5482, 2321.195, 1437.946, 3617.406, 5565.411, 3016.009, 5539.018, 3987.031, 2926.957, 1903.041, 5111.791, 2017.736, 2897.606, 1064.712, 2615.745, 1849.472, 3984.27, 676.3054
533.6, 0.8525817, 3838.05, 2970.629, 2597.184, 7813.018, 3054.221, 5080.435, 2655.281, 3673.435, 3214.658, 6559.27, 6280.411, 1749.749, 961.7703, 2230.608, 1499.552, 3598.694, 5623.906, 2885.505, 5595.531, 3856.84, 2812.263, 1809.281, 5097.091, 2032.338, 2776.131, 1051.738, 2608.108, 1810.513, 3912.989, 648.1014
533.7, 0.8090387, 4053.66, 3081.295, 2547.365, 7480.2, 3074.538, 5033.482, 2558.501, 3959.08, 3171.153, 6421.202, 6173.849, 1707.359, 1003.389, 2253.09, 1584.195, 3706.266, 5816.8, 2760.648, 5597.705, 3693.941, 2681.711, 1944.88, 4925.828, 1944.192, 2659.749, 1002.72, 2720.754, 1830.315, 3948.112, 710.0981
533.8, 0.7677194, 3977.672, 2943.365, 2533.321, 7268.335, 3163.239, 5082.09, 2499.8, 3784.977, 3113.604, 6436.858, 5980.214, 1751.842, 972.549, 2289.698, 1515.83, 3720.334, 5805.806, 2641.194, 5658.93, 3824.728, 2557.22, 1985.859, 4837.926, 1859.868, 2643.88, 955.9873, 2670.555, 1815.578, 3817.861, 680.4849
533.9, 0.7285105, 4013.531, 2811.608, 2520.824, 7423.321, 3029.225, 5095.876, 2460.684, 3618.53, 3040.729, 6424.956, 6399.286, 1676.315, 1014.94, 2442.406, 1450.416, 3567.409, 5566.37, 2920.846, 5698.345, 3809.821, 2786.964, 1978.019, 5054.344, 1934.495, 2786.805, 911.4323, 2557.746, 1740.102, 3793.018, 652.1066
534, 0.691304, 4195.262, 2685.75, 2568.969, 7497.275, 2900.888, 5064.538, 2684.556, 3459.402, 2952.355, 6459.508, 6536.241, 1604.045, 972.6749, 2410.543, 1387.824, 3469.337, 5351.462, 2937.074, 5699.478, 4101.101, 2798.456, 1996.378, 4913.279, 1858.523, 2865.875, 868.9539, 2530.235, 1667.763, 3771.799, 624.9117
534.1, 0.6559978, 4215.637, 2565.525, 2558.835, 7430.611, 2777.988, 5136.864, 2578.931, 3468.381, 2839.018, 6544.784, 6485.723, 1534.891, 932.1699, 2401.34, 1327.934, 3442.557, 5356.698, 2809.986, 5823.974, 4024.657, 2668.545, 1982.116, 4860.974, 1777.915, 2745.73, 828.4552, 2599.368, 1624.582, 3841.739, 598.851
534.2, 0.6224946, 4026.552, 2730.896, 2482.479, 7161.305, 2999.275, 4967.232, 2462.065, 3372.515, 2910.532, 6339.262, 6344.079, 1468.718, 893.3516, 2299.027, 1270.628, 3594.416, 5478.341, 2688.397, 5992.271, 3854.67, 2544.665, 1884.461, 4967.023, 1700.803, 2630.622, 789.844, 2489.566, 1685.191, 3793.622, 573.8771
534.3, 0.5907026, 3897.616, 2861.812, 2597.72, 6856.249, 2983.943, 4860.25, 2359.792, 3981.054, 2947.265, 6316.281, 6080.317, 1491.226, 961.4155, 2201.074, 1581.75, 3750.386, 5927.904, 2572.069, 6113.068, 3743.051, 2426.536, 2004.728, 4762.828, 1627.036, 2520.34, 1052.114, 2664.418, 1700.046, 3637.215, 675.319
534.4, 0.5605342, 4067.543, 2820.094, 2942.816, 6564.187, 2857.524, 4942.765, 2527.602, 4328.048, 2948.927, 6407.813, 6159.11, 1584.292, 1008.143, 2233.01, 1626.278, 3757.592, 6131.528, 2460.775, 5920.196, 3979.404, 2313.891, 2402.018, 4567.027, 1556.468, 2414.681, 1149.694, 2829.012, 1847.327, 3739.805, 647.1561
534.5, 0.5319066, 3948.485, 2924.511, 2887.845, 6284.567, 2913.288, 4846.492, 2507.48, 4292.709, 3020.667, 6368.79, 6034.28, 1515.989, 966.1607, 2137.869, 1655.854, 3693.387, 6066.437, 2354.296, 5988.961, 3811.328, 2206.475, 2295.225, 4495.651, 1488.96, 2313.452, 1173.409, 3000.593, 1806.649, 3618.615, 758.4599
534.6, 0.5047411, 3771.383, 3219.293, 2979.795, 6016.858, 3164.589, 4886.085, 2393.853, 4224.176, 3006.612, 6370.43, 6159.287, 1642.214, 925.9269, 2046.781, 1677.456, 3821.784, 6141.834, 2252.425, 5914.223, 3787.506, 2146.739, 2182.143, 4425.401, 1424.381, 2216.466, 1316.255, 2873.843, 1960.93, 3752.605, 753.0955
534.7, 0.4789629, 3946.453, 3242.901, 3007.976, 5783.544, 3288.017, 4876.584, 2345.224, 4400.697, 2878.96, 6457.042, 6229.326, 1604.649, 962.5776, 1987.449, 1650.019, 3844.94, 6082.498, 2154.962, 6257.741, 3725.976, 2315.654, 2273.688, 4450.825, 1362.603, 2224.093, 1254.909, 2993.546, 1961.465, 3746.078, 747.4466
534.8, 0.4545013, 3907.367, 3164.655, 3143.315, 5691.25, 3175.27, 4969.771, 2238.949, 4338.801, 2768.822, 6363.142, 6302.553, 1535.468, 971.5004, 1902.77, 1578.814, 3906.338, 6404.392, 2061.716, 6316.851, 3648.931, 2213.203, 2350.826, 4409.601, 1303.504, 2329.957, 1196.423, 3284.052, 1996.769, 3689.341, 716.2758
534.9, 0.431289, 4311.186, 3022.993, 3009.802, 6561.247, 3040.746, 5017.292, 2326.302, 4399.663, 2650.904, 6504.171, 6461.547, 1469.27, 931.0443, 2061.831, 1510.682, 4046.3, 6329.141, 2585.589, 6493.554, 3903.648, 2449.486, 2540.14, 4736.832, 1539.722, 3044.979, 1140.662, 3240.742, 2005.047, 3786.359, 686.4049
535, 0.4092622, 4200.416, 2887.672, 3169.388, 6572.678, 3036.302, 5004.08, 2414.137, 4318.42, 2586.241, 6565.228, 6537.124, 1405.926, 978.2908, 2096.772, 1445.489, 4176.749, 6436.205, 2599.699, 6538.901, 3798.241, 2403.085, 2501.618, 4600.348, 1472.941, 3283.445, 1087.5, 3418.352, 2146.878, 3853.589, 657.7797
535.1, 0.3883604, 4317.412, 2758.409, 3184.732, 6811.249, 2981.155, 4999.767, 2404.079, 4128.515, 2476.099, 6467.818, 6561.01, 1415.827, 937.5519, 2261.955, 1383.11, 4171.578, 6280.061, 3189.727, 6413.192, 3903.498, 2549.012, 2464.197, 4678.84, 1635.082, 3499.918, 1036.816, 3449.022, 2095.552, 3694.71, 630.3483
535.2, 0.3685261, 4233.981, 2634.932, 3049.46, 6884.43, 2923.132, 5057.519, 2295.137, 3946.96, 2459.8, 6492.157, 6609.431, 1354.787, 898.5095, 2226.697, 1323.423, 4185.598, 6247.993, 3374.529, 6364.137, 3783.163, 2550.069, 2342.79, 4580.583, 1631.49, 3557.086, 988.4936, 3303.329, 2181.611, 3724.176, 604.0609
535.3, 0.3497047, 4062.159, 2673.608, 2919.933, 6591.168, 3332.863, 4883.433, 2191.132, 3773.389, 2625.876, 6222.629, 6590.655, 1381.817, 861.093, 2131.825, 1314.537, 4513.041, 6084.214, 3228.512, 6557.096, 3623.376, 2431.689, 2227.365, 4753.028, 1560.729, 3407.964, 942.4236, 3163.79, 2326.999, 3645.684, 634.1577
535.4, 0.3318446, 3879.958, 2636.983, 2795.909, 6673.061, 3235.482, 4675.949, 2091.84, 3607.452, 2514.045, 6373.916, 6524.956, 1322.243, 825.2346, 2040.995, 1257.809, 4808.078, 6079.671, 3088.813, 6545.883, 3470.338, 2318.804, 2117.627, 4794.54, 1493.036, 3591.224, 898.5008, 3030.146, 2384.056, 3525.052, 660.5677
535.5, 0.3148966, 4021.956, 2606.589, 2762.447, 6388.803, 3200.846, 4780.544, 2122.913, 3448.811, 2406.977, 6109.296, 6521.239, 1265.238, 841.0206, 2251.115, 1203.529, 4891.626, 5846.006, 3370.05, 6275.387, 3530.951, 2253.523, 2149.108, 4716.995, 1591.687, 3440.671, 856.6251, 3087.626, 2342.573, 3632.969, 633.0201
535.6, 0.2988142, 4179.066, 2489.908, 2809, 6882.291, 3065.239, 4798.193, 2108.019, 3297.147, 2304.469, 6274.125, 6728.547, 1210.69, 805.998, 2155.203, 1151.592, 4751.857, 5716.821, 3420.149, 6291.299, 3636.239, 2312.085, 2111.775, 4671.127, 1574.584, 3538.057, 816.701, 3022.979, 2245.189, 3622.24, 625.8194
535.7, 0.2835532, 3991.621, 2465.812, 2789.473, 6589.12, 3199.072, 4792.305, 2012.493, 3360.203, 2357.997, 6054.521, 6677.144, 1294.534, 836.7748, 2124.234, 1173.047, 5080.782, 5926.231, 3272.158, 6279.108, 3482.657, 2204.753, 2007.732, 4794.36, 1506.291, 3389.732, 778.6376, 3029.907, 2453.638, 3615.585, 681.7637
