 , C001, C002, C003, C004, C005, C006, C007, C008, C009, C010, C012, C013, C021, C024, C025, C026, C030, C034, C040, C043, C047, C055, C060, C062, C065, C066, C069, C070, C072, C073, C074, C078, C080, C082, C083, C090, C094, C098, C116
Time(s)/Cell Status, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted
106.4, 293.3706, 221.8654, 23.64306, 1264.898, 196.7256, 430.5265, 1874.009, 576.0239, 342.7788, 958.9334, 519.8815, 261.741, 1138.719, 433.3191, 625.9171, 985.1699, 1852.485, 1081.109, 1115.688, 21.17051, 1257.264, 2272.566, 803.1782, 373.0849, 64.48876, 21.50123, 635.1608, 1026.432, 149.2997, 819.6125, 510.0762, 13.69947, 1087.377, 1033.259, 1683.081, 17.28717, 1813.561, 1474.819, 2411.172
106.5, 278.9431, 211.9927, 22.32321, 1441.308, 185.2485, 406.6908, 1898.76, 675.0704, 322.1404, 1030.755, 576.1736, 251.09, 1092.15, 415.5482, 600.1945, 937.277, 1885.9, 1080.243, 1073.219, 20.16365, 1349.884, 2156.188, 808.1426, 355.485, 61.08212, 20.55497, 604.0497, 1085.736, 224.8996, 793.4471, 485.7148, 12.95204, 1042.555, 1006.772, 1605.803, 16.44643, 1796.25, 1547.44, 2465.252
106.6, 265.2252, 202.5594, 21.07705, 1370.038, 230.1532, 405.657, 1890.518, 635.3964, 302.7447, 971.8691, 545.6721, 240.8724, 1062.75, 452.3544, 575.5289, 891.7123, 1794.003, 1081.408, 1071.466, 19.20468, 1281.276, 2095.494, 762.4893, 338.7153, 57.85543, 19.65035, 574.4625, 1025.868, 221.449, 748.2838, 491.3207, 12.24539, 999.5814, 1085.449, 1532.073, 15.64657, 1706.483, 1499.999, 2702.661
106.7, 258.6571, 193.5457, 19.90045, 1302.292, 216.7259, 485.9516, 1930.417, 598.0541, 451.6259, 916.3474, 616.5164, 231.0705, 1019.289, 433.8028, 551.8771, 982.2436, 1706.584, 1088.025, 1082.046, 18.29132, 1311.278, 2203.288, 719.415, 322.7368, 54.79919, 18.78554, 546.3245, 1131.84, 208.6957, 705.6912, 467.855, 11.57729, 958.3789, 1032.893, 1689.496, 14.88562, 1621.203, 1604.927, 2862.104
106.8, 245.9368, 218.7489, 18.78954, 1237.895, 204.0819, 459.0473, 2008.657, 562.9063, 424.434, 922.5933, 853.6396, 221.6676, 977.6042, 448.773, 529.1972, 934.493, 1623.425, 1181.614, 1021.45, 17.4214, 1286.796, 2090.458, 678.7741, 307.512, 51.9044, 17.95879, 519.5647, 1121.018, 196.6769, 799.0468, 445.51, 10.94564, 918.8748, 982.8829, 1646.884, 14.16168, 1785.901, 1555.591, 2964.478
106.9, 233.8421, 263.2885, 17.74063, 1176.683, 192.1756, 433.6326, 1917.506, 529.8242, 398.8792, 869.8867, 962.6432, 212.6472, 937.6245, 430.3683, 511.5704, 889.0637, 1655.377, 1125.278, 964.247, 16.59285, 1221.394, 2010.532, 640.429, 293.0054, 49.16253, 17.16843, 494.1157, 1172.499, 210.5009, 753.5648, 578.5571, 10.34846, 880.999, 993.4032, 1571.268, 13.47294, 1914.072, 1478.906, 2818.551
107, 222.3421, 251.5725, 16.75029, 1157.361, 180.964, 409.6249, 1878.212, 498.6863, 374.863, 910.2747, 1043.017, 203.994, 899.2798, 412.7184, 490.547, 845.8428, 1716.95, 1089.765, 910.2477, 15.8037, 1243.819, 1907.573, 688.6655, 279.1831, 46.5655, 16.41285, 469.9132, 1107.847, 198.3782, 710.6716, 550.925, 9.783853, 844.6844, 1033.627, 1582.428, 12.8177, 1865.371, 1406, 2813.877
107.1, 211.4077, 240.3779, 15.81523, 1100.132, 170.4064, 422.9137, 1792.981, 469.3784, 479.104, 894.6472, 1035.013, 195.6928, 894.4167, 395.7923, 522.6432, 845.6888, 1633.286, 1074.9, 859.2724, 15.05209, 1203.569, 1993.458, 649.7616, 266.0129, 44.10566, 15.69053, 446.8961, 1046.76, 186.9536, 683.4993, 524.6125, 9.250053, 1061.467, 983.5806, 1706.872, 12.19432, 1772.15, 1452.148, 2743.574
107.2, 201.0111, 229.6814, 14.93236, 1045.732, 160.4648, 441.1747, 1878.65, 502.5318, 450.2576, 922.4219, 980.2212, 187.7295, 972.0626, 379.5604, 501.1647, 865.7871, 1620.387, 1023.652, 811.1518, 14.33622, 1146.853, 1891.374, 765.6919, 253.464, 41.77576, 14.99999, 543.5016, 1073.214, 203.2169, 809.1206, 555.705, 8.745378, 1017.713, 1195.004, 1628.501, 11.60127, 1683.588, 1405.471, 2707.3
107.3, 219.1277, 219.4609, 14.09878, 1201.182, 151.1031, 439.9839, 1958.854, 472.9979, 423.148, 869.725, 968.2261, 180.0902, 932.3096, 363.9941, 580.7237, 823.6979, 1617.816, 1088.901, 840.9526, 13.6544, 1314.038, 1952.74, 722.4367, 241.5071, 39.56894, 14.33984, 640.6822, 1014.037, 191.5137, 763.0651, 551.208, 8.268238, 975.7634, 1137.144, 1608.904, 11.03705, 1655.454, 1410.633, 2859.422
107.4, 208.3514, 209.6952, 13.31174, 1215.153, 142.2877, 415.6246, 1892.575, 445.1997, 397.6706, 820.0386, 916.9699, 172.7618, 894.1823, 409.3951, 556.8583, 803.76, 1594.856, 1116.83, 793.858, 13.00501, 1247.252, 1852.741, 730.5158, 230.1142, 37.47869, 13.70875, 609.3007, 1003.628, 180.4844, 719.6312, 558.4684, 7.81713, 935.5426, 1082.086, 1616.396, 10.50028, 1594.127, 1341.094, 3070.497
107.5, 198.105, 200.3641, 12.56863, 1215.19, 133.9865, 392.6139, 1933.552, 442.2163, 373.7272, 773.1908, 949.92, 165.7316, 857.6141, 392.6053, 543.7208, 834.5194, 1551.245, 1076.274, 749.4007, 12.3865, 1183.859, 1916.948, 741.5876, 219.2588, 35.49887, 13.10543, 579.4562, 1038.443, 170.0903, 678.6695, 531.7958, 7.390634, 1069.527, 1124.414, 1589.902, 9.989608, 1652.588, 1413.879, 3134.307
