 , C002, C003, C005, C006, C008, C011, C014, C017, C022, C024, C037, C046, C049, C051, C053, C055, C057, C062, C071, C072, C084, C101, C113, C117, C119, C121, C122, C123, C128, C132
Time(s)/Cell Status, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted
233.4, 86.89523, 14.52272, 397.1454, 1067.681, 238.3604, 112.6371, 9.281481e-05, 365.588, 2605.328, 1099.584, 1128.865, 3342.878, 825.9962, 160.957, 833.5334, 0.03050848, 8720.033, 4937.968, 5772.943, 4224.526, 864.022, 1952.758, 3039.119, 12.05781, 1377.686, 1304.474, 1278.27, 4100.509, 1733.614, 115.3252
233.5, 83.08653, 13.87515, 377.0428, 1030.118, 228.2353, 107.7234, 8.881823e-05, 348.7924, 2510.663, 1040.763, 1271.069, 3366.24, 788.8616, 151.6761, 797.1525, 0.02909145, 8970.627, 4735.105, 5723.644, 4271.705, 824.8547, 1965.281, 3051.729, 11.34108, 1305.843, 1334.982, 1405.863, 4122.1, 1715.812, 110.1654
233.6, 217.6034, 13.25646, 357.9576, 1027.278, 218.5403, 103.024, 8.499375e-05, 332.7683, 2472.782, 1043.881, 1304.517, 3491.139, 753.3965, 142.9303, 810.6373, 0.02774024, 9057.166, 4813.793, 5800.468, 4296.973, 787.4628, 1893.842, 2943.384, 10.66695, 1348.357, 1387.764, 1352.211, 3900.425, 1768.448, 105.2364
233.7, 208.0657, 12.66535, 339.8386, 976.8329, 209.2571, 98.52963, 8.133395e-05, 317.4805, 2554.285, 988.04, 1357.137, 3502.537, 719.5259, 134.6888, 958.1888, 0.02645179, 9121.516, 4856.618, 5815.561, 4255.089, 875.8279, 1954.5, 3091.004, 10.03289, 1278.044, 1325.432, 1460.286, 4167.155, 1752.432, 100.528
233.8, 252.0936, 12.1006, 322.6366, 928.8653, 200.3683, 94.23134, 7.783174e-05, 302.895, 2443.165, 977.7411, 1325.905, 3574.388, 687.178, 126.9225, 924.5296, 0.02522318, 9009.371, 4816.493, 5850.25, 4164.55, 877.5334, 1863.436, 3032.245, 9.436522, 1267.306, 1265.9, 1598.666, 4085.615, 1815.776, 96.03028
233.9, 241.0442, 11.56104, 306.3054, 883.2532, 191.857, 90.12056, 7.448033e-05, 288.9795, 2568.196, 925.4381, 1281.411, 3483.912, 656.2843, 119.604, 884.177, 0.02405164, 8972.004, 4805.686, 5986.957, 4265.06, 837.7536, 1836.925, 3228.215, 8.875603, 1201.219, 1295.571, 1509.247, 4044.923, 1811.303, 91.73377
234, 230.479, 11.04553, 290.8009, 1045.274, 183.7073, 86.18911, 7.127324e-05, 275.7034, 2509.177, 986.5981, 1225.23, 3530.424, 626.7795, 112.7076, 1014.255, 0.02293451, 8922.75, 4956.63, 5731.165, 4299.833, 915.0956, 1751.339, 3205.8, 8.348024, 1351.289, 1237.38, 1661.972, 4078.454, 1727.681, 87.62949
234.1, 220.3769, 10.55301, 276.0811, 1090.388, 175.9038, 82.42917, 6.820424e-05, 263.0371, 2400.019, 933.8213, 1329.522, 3588.877, 598.6013, 106.2087, 1003.623, 0.02186927, 9076.115, 4741.368, 5756.983, 4315.235, 873.613, 1766.235, 3100.215, 7.851806, 1369.915, 1345.606, 1569.012, 3859.126, 1647.92, 83.70885
234.2, 210.7176, 10.08245, 262.1065, 1036.844, 168.4317, 78.83325, 6.526738e-05, 250.9528, 2444.868, 938.994, 1494.444, 3793.12, 571.6898, 100.0846, 959.8182, 0.02085351, 9213.711, 4904.723, 5892.23, 4322.243, 932.511, 1877.275, 2997.201, 7.385084, 1298.477, 1337.482, 1481.252, 3806.757, 1773.469, 79.96362
234.3, 201.4816, 9.632874, 248.8392, 985.93, 161.277, 75.3942, 6.245699e-05, 239.4237, 2506.016, 952.6492, 1646.427, 3658.921, 545.9882, 94.31366, 917.9254, 0.01988493, 9000.264, 4901.4, 5692.818, 4385.094, 962.6028, 1940.866, 3089.397, 6.946104, 1389.53, 1308.411, 1398.401, 4072.438, 1691.593, 76.38595
234.4, 192.6505, 9.203344, 236.2435, 1000.645, 154.4263, 72.10518, 5.976762e-05, 228.4242, 2396.996, 901.6885, 1700.11, 3496.792, 521.442, 88.87544, 877.861, 0.01896133, 9082.268, 4754.234, 5738.305, 4465.105, 918.9667, 2004.913, 3123.671, 6.533218, 1445.923, 1320.938, 1320.183, 3853.433, 1613.498, 72.96835
234.5, 184.2065, 8.792967, 224.2853, 1158.882, 147.8666, 68.95964, 5.719405e-05, 217.9301, 2384.334, 853.4538, 1671.921, 3728.711, 497.9994, 83.7508, 839.5453, 0.01808063, 9018.309, 4741.767, 5795.653, 4458.859, 927.5271, 1926.544, 3105.121, 6.144875, 1446.948, 1383.603, 1246.341, 3646.207, 1539.007, 69.70365
234.6, 176.1326, 8.400888, 212.9324, 1110.406, 141.5855, 65.95132, 5.473129e-05, 207.918, 2392.629, 807.7994, 1598.619, 3698.832, 655.975, 78.92165, 802.902, 0.01724084, 9143.398, 4916.071, 5548.035, 4487.734, 942.6215, 2128.203, 3091.237, 5.779615, 1371.494, 1343.903, 1176.629, 3836.619, 1467.956, 66.58502
234.7, 168.4125, 8.026293, 202.1543, 1182.463, 135.5712, 63.07424, 5.237458e-05, 198.366, 2478.125, 764.5872, 1528.531, 3565.818, 709.7288, 74.37096, 838.4783, 0.01644005, 9258.107, 4778.881, 5630.154, 4301.22, 997.0512, 2230.556, 2961.987, 5.436067, 1368.773, 1309.297, 1110.816, 3842.828, 1400.185, 63.60593
234.8, 161.0308, 7.6684, 191.9216, 1124.398, 168.0655, 60.32267, 5.011935e-05, 189.2527, 2409.16, 723.6865, 1461.516, 3607.691, 677.8214, 70.08266, 801.8816, 0.01567646, 9087.307, 4827.946, 5617.995, 4282.339, 951.8535, 2126.63, 3045.377, 5.112939, 1581.729, 1250.489, 1048.684, 3963.326, 1555.654, 60.76012
234.9, 153.9727, 7.326467, 182.2069, 1069.184, 178.2683, 57.69113, 4.796123e-05, 180.5582, 2353.388, 684.9738, 1618.306, 3766.524, 647.3483, 66.04163, 840.3843, 0.01494834, 9165.451, 4680.896, 5741.668, 4396.611, 908.7046, 2160.986, 3026.363, 4.809019, 1499.246, 1234.537, 1220.644, 3804.548, 1605.461, 58.04164
235, 147.224, 6.999779, 304.8117, 1016.682, 170.6958, 55.17439, 4.589603e-05, 172.2631, 2384.397, 798.1169, 1547.354, 3649.614, 643.1991, 62.2336, 833.79, 0.01425403, 9072.662, 4730.343, 5800.809, 4306.819, 867.5117, 2060.301, 2953.084, 4.523164, 1421.064, 1378.97, 1314.911, 3875.641, 1531.342, 55.44478
235.1, 140.771, 6.687659, 289.3828, 966.7574, 163.445, 52.76744, 4.391977e-05, 164.3491, 2327.685, 755.4226, 1500.549, 3509.536, 623.1186, 58.64516, 817.7833, 0.01359197, 9043.609, 4832.195, 5783.912, 4449.248, 951.1562, 1964.306, 3048.778, 4.254301, 1346.959, 1387.103, 1241.364, 3917.738, 1460.645, 52.96412
235.2, 134.6009, 6.389457, 274.7348, 919.2845, 156.5021, 50.4655, 4.20286e-05, 156.7986, 2668.175, 850.7643, 1568.668, 3533.21, 653.1873, 55.26362, 782.0898, 0.01296067, 9059.873, 4887.191, 5706.733, 4356.581, 978.7264, 1969.162, 3005.814, 4.00142, 1276.719, 1324.8, 1462.615, 3921.694, 1683.515, 50.59444
235.3, 128.7012, 6.104551, 260.8283, 874.1429, 149.8542, 48.26398, 4.021886e-05, 149.5951, 2908.363, 856.488, 1555.309, 3376.651, 623.8217, 52.07707, 863.1862, 0.01235868, 9131.678, 4772.669, 5624.737, 4428.934, 934.3593, 2009.49, 3050.451, 3.76357, 1210.141, 1265.296, 1431.095, 3867.677, 1605.792, 48.33078
235.4, 123.0601, 5.832349, 247.6257, 831.2179, 143.4887, 46.15849, 3.848705e-05, 142.7225, 2882.589, 869.274, 1487.12, 3491.651, 595.7764, 49.07426, 825.511, 0.01178466, 9097.412, 4680.411, 5521.493, 4439.829, 892.0035, 1948.57, 2986.152, 3.539858, 1147.036, 1454.885, 1395.746, 3909.481, 1531.658, 46.1684
235.5, 117.6663, 5.572284, 235.0914, 790.4008, 168.2512, 44.14486, 3.682981e-05, 136.1656, 3063.769, 822.7733, 1543.352, 3581.456, 568.9919, 46.24459, 833.9322, 0.0112373, 8876.58, 4768.681, 5509.463, 4255.306, 919.7628, 1876.677, 2861.295, 3.329444, 1087.221, 1389.538, 1497.514, 4025.842, 1611.323, 44.10277
235.6, 112.5089, 5.323816, 223.1916, 751.588, 161.1042, 42.21907, 3.524393e-05, 129.9099, 3190.866, 946.7537, 1475.687, 3422.759, 583.5018, 43.57808, 797.5339, 0.01071536, 8921.473, 4797.564, 5651.448, 4183.466, 878.0687, 1789.238, 2906.631, 3.131537, 1030.525, 1362.172, 1630.62, 3949.253, 1710.401, 42.12956
235.7, 107.5775, 5.086427, 267.5945, 714.681, 154.2608, 40.37729, 3.372634e-05, 123.9417, 3636.384, 988.1229, 1459.54, 3424.812, 626.0951, 41.06533, 762.7242, 0.01021766, 9016.752, 4656.899, 5444.643, 4447.916, 838.2646, 1928.717, 2936.191, 2.945394, 976.7859, 1300.989, 1645.302, 3961.391, 1631.437, 40.24463
235.8, 102.8623, 4.859623, 291.7494, 679.5864, 147.7081, 38.61586, 3.22741e-05, 118.2476, 3982.261, 1059.113, 1395.55, 3351.884, 597.9476, 38.69746, 729.4338, 0.00974308, 8964.102, 4563.596, 5651.75, 4417.352, 893.6902, 2008.802, 2892.761, 2.770316, 925.8491, 1501.872, 1553.274, 3998.55, 1633.103, 38.44404
235.9, 98.35375, 4.642933, 406.1295, 646.2152, 151.8023, 36.93127, 3.088439e-05, 112.8151, 3831.592, 1087.246, 1345.772, 3371.153, 571.0655, 196.0925, 697.5965, 0.009290542, 8794.049, 4636.389, 5510.384, 4508.134, 853.1779, 1963.498, 2903.375, 2.605644, 877.5685, 1594.93, 1466.394, 3783.519, 1888.767, 36.72401
236, 94.04282, 4.435905, 414.6098, 614.4827, 145.354, 35.32016, 2.955452e-05, 107.6322, 3966.751, 1068.982, 1356.828, 3311.004, 545.392, 315.7002, 667.1487, 0.008859024, 8812.059, 4435.034, 5355.159, 4320.772, 915.8812, 1872.014, 2839.85, 2.450761, 831.8056, 1523.293, 1384.374, 3792.326, 1859.133, 35.08093
