 , C004, C009, C017, C026, C027, C029, C030, C032, C033, C034, C038, C043, C048, C050, C052, C056, C059, C060, C061, C064, C068, C071, C072, C078, C080, C085, C088, C089, C098, C102, C117, C125
Time(s)/Cell Status, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted
28.4, 214.4914, 159.1357, 743.6472, 1076.338, 867.2477, 782.7905, 388.9835, 1377.726, 264.3141, 1151.489, 1522.034, 773.7663, 0.02374152, 973.0647, 503.2647, 728.8374, 502.8029, 628.0336, 1900.025, 1051.905, 714.2253, 1779.306, 2585.745, 391.6871, 1145.035, 0.007733636, 165.2167, 109.7229, 586.7152, 1319.085, 1563.469, 944.0866
28.5, 205.3748, 151.3846, 850.3648, 1026.543, 923.6086, 807.9232, 365.9689, 1482.775, 250.6366, 1101.821, 1454.001, 741.008, 0.02275597, 1067.035, 534.8068, 756.9497, 479.1906, 597.6166, 1927.519, 1088.991, 753.1336, 1879.944, 2607.754, 514.4078, 1090.153, 0.00740326, 156.4655, 104.4631, 558.7631, 1284.295, 1615.601, 968.5163
28.6, 288.8861, 144.011, 793.6596, 982.1555, 884.3181, 795.6095, 344.3159, 1465.154, 282.3075, 1054.295, 1502.25, 709.6366, 0.02181133, 1013.392, 509.5242, 718.1185, 456.6871, 568.6727, 1867.434, 1093.84, 721.5061, 1800.394, 2575.891, 492.333, 1153.117, 0.007086998, 148.1779, 99.45554, 532.1428, 1264.565, 1545.602, 1054.127
28.7, 276.6074, 136.9966, 740.7357, 999.3395, 846.6989, 792.6793, 323.9441, 1467.166, 267.6988, 1008.82, 1435.1, 679.5933, 0.02090591, 962.4454, 485.4369, 681.2792, 435.2404, 541.1306, 1810.299, 1106.27, 691.2067, 1724.21, 2471.051, 471.2055, 1097.848, 0.006784246, 140.3292, 94.688, 572.5507, 1209.073, 1478.636, 1008.918
28.8, 442.0724, 130.3238, 829.5876, 1004.189, 810.6801, 879.8147, 304.7776, 1449.684, 283.865, 965.3055, 1506.199, 845.0162, 0.02003807, 914.0604, 616.2343, 646.3298, 414.8009, 563.1701, 1812.191, 1073.902, 662.1797, 1800.199, 2617.758, 450.9846, 1045.228, 0.006494428, 132.8963, 90.14899, 545.2734, 1156.016, 1414.571, 965.6481
28.9, 423.2828, 153.4288, 774.2679, 1003.2, 776.1936, 889.8683, 286.7451, 1383.436, 278.1812, 923.6683, 1642.898, 846.5153, 0.01920626, 929.735, 598.6593, 613.1734, 395.3213, 593.3524, 1848.875, 1074.192, 662.5693, 1790.107, 2633.035, 431.6315, 1061.548, 0.006216991, 125.8571, 85.82758, 519.2957, 1263.208, 1353.281, 924.2338
29, 405.2918, 330.1904, 722.6371, 1049.471, 868.0879, 1200.464, 469.2528, 1349.25, 344.8458, 994.4354, 1608.684, 810.6771, 0.01840898, 1115.874, 957.7878, 869.423, 376.7564, 903.2894, 1930.154, 1145.704, 714.8491, 1714.358, 2699.145, 449.7228, 1112.91, 0.005951406, 119.1907, 81.71331, 711.7858, 1637.776, 1384.481, 884.5958
29.1, 524.2344, 364.253, 947.333, 1161.317, 951.2175, 1465.934, 535.295, 1287.592, 327.0009, 951.5417, 1651.103, 1003.05, 313.3713, 1391.896, 1279.244, 1106.24, 359.0634, 1000.958, 1846.83, 1339.851, 761.902, 1641.814, 2780.883, 627.6054, 1291.413, 0.005697166, 112.8774, 77.79626, 677.8752, 1927.583, 1324.495, 927.5341
29.2, 501.9526, 593.0511, 884.1616, 1107.591, 981.4041, 1643.781, 503.6237, 1228.751, 310.0795, 965.4874, 1744.346, 971.5333, 371.1689, 1321.921, 1456.779, 1080.773, 342.2013, 1161.382, 1784.172, 1444.44, 867.1847, 1572.34, 2923.086, 629.2289, 1306.701, 0.005453786, 106.8985, 268.6253, 977.6972, 2016.164, 1267.109, 1022.758
29.3, 480.6179, 835.8213, 825.2027, 1077.818, 939.6549, 1743.365, 473.8263, 1172.599, 294.0337, 923.8423, 1723.387, 1163.302, 428.4607, 1309.062, 1681.132, 1025.33, 326.131, 1105.134, 1707.15, 1451.35, 913.285, 1570.679, 2878.672, 703.4515, 1244.071, 0.005220804, 101.2363, 255.7483, 931.1182, 2115.531, 1439.041, 1161.352
