 , C000, C001, C003, C004, C060, C083
Time(s)/Cell Status, accepted, accepted, accepted, accepted, accepted, accepted
6.395071444318611, 11.58572, 0.3671873, 4.563851, 25.5746, 4.768372e-07, 0
6.494994435636089, 10.96761, 0.3519229, 4.375071, 24.44812, 4.768372e-07, 0
6.594917426953567, 10.38247, 0.3372931, 4.194099, 23.37125, 0, 0
6.694840418271045, 9.828555, 0.3232714, 4.020613, 22.34182, 0, 0
6.794763409588524, 9.30419, 0.3098326, 3.854303, 21.35774, 0, 0
6.894686400906002, 15.12417, 0.2969524, 3.694872, 20.41699, 2.384186e-07, 0
6.994609392223481, 14.31728, 0.2846078, 3.542037, 19.51769, 2.384186e-07, 0
7.094532383540959, 13.55344, 0.2727762, 3.395523, 18.658, 2.384186e-07, 0
7.194455374858437, 12.83035, 0.2614366, 3.255069, 17.83617, 2.384186e-07, 0
7.294378366175915, 12.14583, 0.2505683, 3.845408, 17.05054, 0, 0
7.394301357493394, 11.49784, 0.2401519, 3.686346, 17.37095, 2.384186e-07, 0
7.494224348810872, 10.88441, 0.2301684, 3.533863, 16.60581, 2.384186e-07, 0
7.59414734012835, 10.30372, 0.2206, 4.8717, 29.27165, 4.768372e-07, 0
7.694070331445829, 9.754002, 0.2114294, 4.670186, 30.5295, 2.384186e-07, 0
7.793993322763307, 13.63749, 0.20264, 4.477007, 29.18477, 0, 0
7.893916314080785, 12.90991, 0.194216, 4.291819, 29.35599, 2.384186e-07, 0
7.993839305398263, 17.03713, 0.1861422, 4.114291, 28.06295, 2.384186e-07, 0
8.093762296715742, 21.96724, 0.1784041, 3.944106, 26.82687, 2.384186e-07, 0
8.193685288033221, 35.70583, 0.1709876, 3.780961, 26.60182, 0, 0
8.293608279350698, 39.94497, 0.1638794, 3.624564, 25.55776, 0, 0
8.393531270668177, 37.81386, 0.1570667, 3.474637, 27.34567, -1.192093e-07, 0
8.493454261985654, 35.79645, 0.1505373, 3.33091, 30.51536, -1.192093e-07, 0
8.593377253303133, 33.88667, 0.1442793, 13.07726, 36.98249, 0, 0
8.693300244620611, 33.85205, 0.1382814, 16.13713, 35.35352, 1.192093e-07, 0
8.79322323593809, 32.04601, 0.1325328, 15.46963, 33.79631, 0, 0
8.893146227255569, 30.33632, 0.1270233, 14.82974, 35.98066, -1.192093e-07, 0
8.993069218573046, 28.71784, 0.1217428, 14.21631, 40.81815, -1.192093e-07, 0
9.092992209890525, 31.76937, 0.1166818, 13.62827, 39.02023, -1.192093e-07, 0
9.192915201208002, 30.07444, 0.1118312, 14.77149, 59.10234, 39.49879, 0
9.292838192525481, 45.0577, 0.1071822, 14.16048, 56.49906, 40.37549, 0
9.392761183842959, 42.65382, 0.1027265, 13.57474, 71.41433, 58.98457, 0
9.492684175160438, 40.37819, 0.09845603, 20.767, 68.26875, 56.47293, 0
9.592607166477917, 38.22396, 0.09436309, 19.90798, 65.26173, 54.06825, 0
9.692530157795394, 36.18467, 0.09044027, 19.0845, 62.38715, 51.76595, 0
9.792453149112873, 34.25417, 0.08668056, 18.29509, 64.37934, 49.5617, 0
9.892376140430351, 32.42667, 0.08307715, 17.53832, 65.24747, 63.07346, 0
