 , C04, C07, C08, C09, C11, C12, C19
Time(s)/Cell Status, accepted, accepted, accepted, accepted, accepted, accepted, accepted
0, 0, 0, 0, 0, 0, 0, 0
0.09992320450350684, 0, 0, 0, 0, 0, 0, 0
0.1998464090070137, 0, 0, 0, 0, 0, 0, 0
0.2997696135105205, 12.81392, 0, 0, 0, 0, 0, 0
0.3996928180140273, 31.70019, 0, 0, 22.14696, 0, 0, 0
0.4996160225175341, 30.17268, 0, 0, 35.20709, 0, 0, 0
0.599539227021041, 28.71877, 0, 9.536743e-07, 33.76826, 0, 0, 0
0.6994624315245478, 27.33492, 0, 4.983765, 32.38823, 0, 0, 0
0.7993856360280547, 26.01775, 0, 5.900981, 48.08693, 0, 0, 0
0.8993088405315615, 24.76405, 0, 5.662791, 48.76746, 0, 0, 0
0.9992320450350682, 23.57077, 0, 5.434216, 56.34549, 0, 0, 0
1.099155249538575, 22.43498, 0, 17.91057, 89.21185, 0, 0, 0
1.199078454042082, 21.35392, 0, 28.15872, 120.1273, 19.30721, 0, 0
1.299001658545589, 20.32496, 0, 27.02211, 119.3019, 18.51419, 0, 0
1.398924863049096, 19.34558, 0, 25.93138, 139.4294, 17.75373, 0, 0
1.498848067552602, 18.41339, 0, 24.88467, 139.2229, 17.02451, 0, 0
1.598771272056109, 17.52611, 0, 23.88021, 164.2867, 19.68815, 0, 0
1.698694476559616, 16.6816, 0, 22.9163, 192.8308, 18.87947, 0, 0
1.798617681063123, 15.87777, 0, 21.99129, 217.2255, 18.10401, 0, 3.511549
1.89854088556663, 15.11268, 0, 21.10363, 222.6708, 17.3604, 0, 3.366942
1.998464090070136, 14.38446, 0, 24.36254, 223.1994, 16.64734, 0, 3.228291
2.098387294573643, 13.69133, 0, 23.37916, 234.4292, 15.96356, 0, 3.095349
2.19831049907715, 13.03159, 0, 36.9956, 246.5978, 20.23494, 0, 2.967882
2.298233703580657, 12.40365, 0, 35.50229, 255.3396, 24.7902, 0, 2.845664
2.398156908084164, 11.80596, 0, 34.06926, 261.6126, 24.58049, 0, 2.728479
2.498080112587671, 11.23708, 0, 32.69407, 274.928, 23.57086, 0, 2.61612
2.598003317091178, 10.69561, 0, 53.81028, 281.3516, 33.04033, 0, 2.508388
2.697926521594685, 10.18023, 0, 51.63825, 286.3893, 32.81548, 0, 2.405092
2.797849726098191, 9.689679, 0, 49.5539, 291.4859, 32.35591, 0, 2.30605
2.897772930601698, 9.22277, 0, 47.55368, 298.7589, 31.02691, 0, 2.211086
2.997696135105205, 14.62082, 0, 45.6342, 312.5705, 29.75251, 0, 2.120033
3.097619339608712, 13.91629, 0, 43.7922, 318.5061, 30.69001, 0, 2.03273
