 , C03, C05, C06, C07, C08, C10, C12
Time(s)/Cell Status, accepted, accepted, accepted, accepted, accepted, accepted, accepted
132.1985924264733, 214.0691, 490.2585, 798.8197, 226.1409, 298.656, 152.136, 912.8629
132.2985157767579, 204.2086, 506.9325, 796.8259, 217.0392, 329.1001, 147.0678, 899.003
132.3984391270424, 194.8024, 521.3199, 805.8848, 224.4841, 318.2109, 141.8462, 895.8442
132.498362477327, 201.7285, 509.152, 812.1292, 218.5881, 323.1171, 159.2493, 914.2955
132.5982858276115, 206.2444, 542.5528, 797.9686, 209.7903, 330.1886, 163.5052, 912.845
132.6982091778961, 205.8995, 520.5173, 822.11, 234.6091, 332.9899, 156.5793, 921.7892
132.7981325281806, 196.4154, 512.7974, 816.6189, 231.7592, 352.837, 149.9467, 952.7864
132.8980558784652, 206.1761, 539.7701, 821.4584, 239.949, 338.5332, 155.181, 930.6128
132.9979792287498, 223.1279, 545.9407, 815.4674, 232.2524, 354.5015, 164.5514, 926.8524
133.0979025790343, 216.8656, 541.8966, 821.3445, 238.218, 349.3105, 168.5897, 946.9541
133.1978259293189, 213.8028, 536.8102, 839.4377, 232.5326, 342.9758, 170.1159, 935.9014
133.2977492796035, 203.9546, 555.2244, 863.6438, 252.6614, 329.0717, 162.9099, 922.3344
133.397672629888, 194.5601, 551.7598, 856.2583, 245.2882, 346.0517, 157.2729, 926.5364
133.4975959801726, 188.9046, 543.9791, 867.0748, 249.8282, 353.966, 175.7288, 948.953
133.5975193304571, 180.2033, 570.8094, 866.949, 246.1572, 352.0996, 168.285, 937.0652
133.6974426807417, 183.7386, 547.6263, 865.7178, 275.3472, 349.0586, 164.578, 944.143
133.7973660310263, 175.2753, 578.6789, 858.3058, 264.265, 334.908, 175.3792, 946.7232
133.8972893813108, 196.5035, 582.9385, 852.8501, 269.6752, 348.863, 183.2651, 948.3715
133.9972127315954, 188.2818, 566.902, 897.0547, 270.0648, 336.7249, 175.5022, 947.2976
134.0971360818799, 179.6092, 577.4659, 866.9903, 277.1166, 340.3061, 178.8621, 941.586
134.1970594321645, 171.336, 590.1031, 899.4686, 287.1189, 344.2923, 196.4016, 932.5795
134.296982782449, 183.7271, 593.078, 875.0064, 286.9551, 342.711, 188.7544, 940.9752
134.3969061327336, 179.6351, 574.9152, 890.6093, 289.4427, 351.2063, 189.3176, 950.8315
134.4968294830182, 179.895, 612.5045, 890.2697, 286.6212, 357.901, 181.2983, 941.8486
134.5967528333027, 182.2062, 604.2195, 894.1666, 290.8629, 353.4422, 173.6187, 958.1228
134.6966761835873, 176.2338, 588.7059, 905.4974, 302.8576, 356.3689, 183.7552, 950.27
134.7965995338719, 182.1261, 600.4065, 875.5847, 290.6682, 341.9219, 188.8159, 974.4957
134.8965228841564, 173.737, 618.3481, 892.3353, 281.9705, 328.0606, 196.794, 952.3522
134.996446234441, 165.7344, 600.6141, 881.6161, 289.6162, 346.0532, 188.458, 942.5085
135.0963695847256, 158.1003, 590.34, 884.9471, 299.789, 357.6009, 183.6528, 935.4833
135.1962929350101, 150.8179, 610.8627, 879.5037, 294.2787, 343.1039, 175.8734, 945.2334
135.2962162852947, 143.871, 590.2809, 879.4348, 290.2144, 355.5656, 168.4236, 923.9544
135.3961396355792, 137.244, 583.1492, 868.3109, 291.1732, 344.7927, 183.0419, 918.9227
135.4960629858638, 130.9223, 592.2712, 872.8265, 279.454, 335.0047, 183.4038, 911.0215
135.5959863361483, 124.8918, 568.2164, 860.306, 291.9861, 338.8399, 175.6349, 894.1862
135.6959096864329, 151.4836, 574.6757, 861.8995, 280.2343, 325.1035, 168.9821, 899.8836
135.7958330367175, 144.506, 551.3355, 857.3954, 279.2954, 323.8393, 161.8242, 895.2997
135.895756387002, 154.0809, 550.1729, 854.0992, 285.492, 325.075, 169.6651, 884.4452
135.9956797372866, 146.9836, 550.5758, 832.0286, 289.155, 321.4144, 162.4783, 885.0976
136.0956030875711, 140.2133, 544.7854, 848.4622, 277.517, 308.3845, 161.6959, 875.2626
136.1955264378557, 133.7548, 529.0913, 845.2539, 288.5095, 319.1822, 156.1904, 867.8604
136.2954497881403, 127.5938, 522.2023, 837.6394, 276.8975, 320.1731, 149.5744, 867.0323
136.3953731384248, 121.7166, 514.0069, 818.0544, 276.4475, 317.8476, 155.6522, 856.9027
136.4952964887094, 116.1101, 524.471, 820.3389, 273.1685, 310.7348, 149.0589, 845.7023
136.595219838994, 110.7618, 503.1699, 799.1365, 262.174, 309.2375, 142.7449, 828.5699
136.6951431892785, 105.6599, 493.375, 792.5104, 271.3454, 302.3349, 136.6984, 818.8057
136.7950665395631, 100.793, 473.3368, 804.4238, 283.4079, 319.8304, 130.908, 806.1033
136.8949898898476, 96.15033, 498.6324, 804.0206, 277.5107, 306.8647, 155.669, 803.6624
136.9949132401322, 91.72147, 503.4556, 780.3571, 266.3414, 314.7059, 149.075, 795.4991
137.0948365904167, 87.4966, 487.1127, 782.5199, 271.5359, 309.5914, 142.7604, 807.8398
137.1947599407013, 83.46635, 472.735, 781.6818, 279.0114, 297.0407, 136.7132, 776.0474
137.2946832909859, 79.62173, 462.2135, 769.5935, 267.7817, 302.2388, 135.605, 776.7438
137.3946066412704, 75.9542, 460.0924, 765.3846, 268.2788, 289.9862, 129.8609, 761.9363
137.494529991555, 72.4556, 444.2144, 765.9988, 267.451, 297.0406, 137.0877, 755.0289
137.5944533418395, 69.11816, 449.3579, 749.9154, 258.8668, 306.2187, 138.5478, 753.7626
137.6943766921241, 65.93445, 447.216, 759.9238, 256.7282, 308.191, 133.1132, 737.252
137.7943000424087, 65.08926, 442.8082, 747.4276, 269.8828, 312.1177, 127.4747, 750.3209
137.8942233926932, 71.34306, 440.8089, 741.2695, 259.0205, 299.4647, 122.075, 746.1705
137.9941467429778, 68.05686, 443.3102, 733.278, 254.1571, 292.4835, 119.7188, 736.8972
138.0940700932624, 64.92204, 425.3054, 729.2854, 245.2078, 296.062, 114.6476, 726.3477
138.1939934435469, 61.93161, 430.1562, 735.0389, 255.3699, 284.0598, 132.0256, 720.3371
138.2939167938315, 59.07892, 420.7517, 736.1924, 247.673, 272.5442, 126.4331, 700.2752
138.393840144116, 56.35764, 421.7579, 721.4941, 242.4409, 277.1977, 129.4367, 708.7424
138.4937634944006, 53.7617, 410.7211, 730.9716, 242.2949, 272.8404, 129.2085, 710.437
138.5936868446852, 51.28533, 403.3895, 709.675, 237.3892, 273.9801, 123.7354, 701.3995
138.6936101949697, 48.92303, 423.3704, 706.6435, 231.7249, 274.7589, 118.494, 675.8749
138.7935335452543, 46.66955, 406.1754, 705.0201, 243.7342, 271.4037, 113.4748, 675.4338
138.8934568955388, 44.51986, 404.2008, 699.6088, 234.9265, 260.6267, 118.349, 657.2097
138.9933802458234, 42.46919, 391.6321, 682.0718, 246.3802, 271.4855, 113.3359, 657.0851
139.0933035961079, 40.51298, 394.7618, 683.4577, 236.4638, 262.9945, 108.5351, 650.2872
139.1932269463925, 38.64688, 394.7216, 673.6757, 226.9466, 264.325, 103.9376, 646.5013
139.2931502966771, 36.86673, 389.2996, 660.9984, 225.6583, 265.8737, 99.53493, 636.8434
139.3930736469616, 35.16858, 381.457, 680.7064, 223.8368, 269.5504, 95.31873, 631.3875
139.4929969972462, 33.54865, 365.9643, 675.7645, 236.535, 258.623, 91.28111, 636.356
139.5929203475308, 32.00333, 368.6425, 663.9286, 229.6798, 262.4542, 87.41453, 641.6207
139.6928436978153, 35.17027, 374.0442, 653.5408, 221.7002, 251.8144, 99.06284, 630.3482
139.7927670480999, 51.08416, 358.8526, 646.8885, 224.2291, 257.5072, 94.86664, 628.6226
139.8926903983844, 52.62746, 348.6738, 651.1671, 232.9959, 247.068, 90.84818, 618.3488
139.992613748669, 55.90553, 346.4497, 626.9937, 223.6183, 259.343, 88.66956, 621.7912
140.0925370989536, 70.74583, 374.6704, 651.8571, 225.2417, 254.6934, 101.9006, 640.8566
140.1924604492381, 105.1939, 389.0333, 678.7869, 237.6365, 259.1327, 103.4642, 657.803
140.2923837995227, 105.9499, 409.8128, 665.8044, 239.2641, 249.0149, 102.3913, 670.3293
140.3923071498072, 130.1702, 414.9494, 678.8621, 229.6341, 240.7125, 98.05414, 687.0501
140.4922305000918, 162.6622, 429.7553, 681.9723, 251.6806, 238.4637, 98.32777, 704.1021
140.5921538503763, 167.9898, 432.8719, 698.4349, 245.9691, 246.002, 94.1627, 713.9785
140.6920772006609, 160.2519, 452.065, 672.6271, 251.2179, 236.583, 98.53606, 723.5318
140.7920005509455, 161.7881, 452.5181, 720.0667, 256.6195, 244.1422, 99.49822, 729.2519
140.89192390123, 173.4936, 481.3682, 704.7912, 256.0611, 238.8607, 96.19087, 733.048
140.9918472515146, 208.4236, 471.9324, 717.1934, 255.6854, 245.6957, 92.11632, 739.2122
141.0917706017992, 202.4379, 492.4974, 726.1832, 262.8223, 253.1719, 115.2873, 764.0501
141.1916939520837, 206.751, 489.6215, 733.9487, 256.3132, 242.9084, 110.4039, 748.9039
141.2916173023683, 197.2277, 511.7701, 734.7032, 268.0208, 253.0079, 105.7273, 786.6359
141.3915406526528, 201.346, 515.7123, 744.7076, 289.4285, 242.7511, 106.8538, 791.0768
141.4914640029374, 210.0549, 518.39, 741.1597, 277.7796, 253.4577, 120.4168, 800.6057
141.591387353222, 200.3794, 524.3155, 739.4006, 275.1815, 243.1826, 115.3161, 794.7408
141.6913107035065, 196.5649, 542.0215, 744.1155, 281.1352, 233.3242, 111.9171, 816.3708
141.7912340537911, 187.5108, 546.4399, 763.1273, 283.4157, 233.8908, 130.2825, 829.9572
141.8911574040756, 190.9947, 546.3425, 758.5785, 294.7845, 243.1997, 124.7639, 819.0223
141.9910807543602, 199.6538, 560.2983, 762.0062, 308.3136, 238.6719, 121.1879, 834.7094
142.0910041046448, 194.5154, 562.1995, 760.3403, 307.398, 236.685, 118.5334, 840.7922
142.1909274549293, 188.36, 563.713, 764.0016, 300.299, 254.7973, 117.4678, 834.5886
142.2908508052139, 211.2654, 574.9402, 767.3749, 314.1023, 245.6901, 125.1124, 850.082
142.3907741554984, 201.5341, 579.9534, 764.0773, 307.4716, 248.8457, 129.2241, 852.1496
142.490697505783, 215.1815, 577.0554, 770.4315, 295.3706, 242.4219, 130.3853, 862.0685
142.5906208560676, 207.5406, 580.5088, 787.8412, 324.3927, 252.8853, 127.8532, 854.7343
142.6905442063521, 214.0223, 599.1093, 775.4045, 319.0904, 255.7363, 124.937, 853.4409
142.7904675566367, 204.164, 589.9745, 771.2717, 310.1049, 257.5132, 123.529, 857.6292
142.8903909069213, 200.7861, 595.8883, 789.5746, 324.4602, 247.6386, 118.2964, 878.1534
142.9903142572058, 192.0166, 601.744, 793.8644, 318.4542, 251.9825, 116.7342, 856.1624
143.0902376074904, 202.251, 608.7059, 780.9666, 330.6046, 261.3975, 128.1659, 871.3847
143.1901609577749, 192.9349, 624.8423, 795.96, 318.7951, 250.8006, 131.1977, 876.9275
143.2900843080595, 196.3599, 612.9033, 806.07, 332.3753, 273.8683, 125.6403, 885.8771
143.390007658344, 198.2089, 633.0552, 804.428, 325.0626, 273.878, 128.6864, 867.7698
143.4899310086286, 207.1249, 631.0916, 812.878, 330.2208, 262.7751, 123.2354, 880.9049
143.5898543589132, 197.5843, 635.7941, 813.9944, 342.6391, 270.8061, 139.3603, 869.1685
143.6897777091977, 202.6026, 626.3664, 832.7491, 345.6507, 263.9894, 133.4571, 868.0975
143.7897010594823, 212.7841, 633.1255, 825.3828, 349.136, 255.7044, 132.3462, 895.6622
143.8896244097668, 215.1023, 644.0443, 812.3698, 357.9005, 260.4657, 137.0934, 894.1921
143.9895477600514, 228.0396, 652.7084, 833.3912, 361.0617, 250.2879, 134.5021, 892.5112
144.089471110336, 219.4998, 651.7765, 832.3155, 346.5297, 263.5223, 136.4645, 905.5375
