 , C000, C001, C002, C003, C004, C005, C006, C008, C009, C011, C012, C013, C015, C024, C025, C029, C037, C039, C111
Time(s)/Cell Status, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted
2.7, 4.768372e-06, 25.84258, 381.1183, 0, 265.96, 10.42513, 203.4071, 12.01971, 322.2305, 169.2413, 543.875, 334.4662, 512.059, -3.814697e-06, 666.1917, 1455.289, 690.154, 829.9652, 729.699
2.8, 4.768372e-06, 24.3036, 361.5344, 0, 251.1261, 9.552755, 190.225, 11.32295, 324.7198, 159.748, 624.5613, 315.3673, 488.1267, -3.814697e-06, 630.1188, 1440.977, 646.6611, 828.9781, 692.5342
2.9, 3.814697e-06, 22.85629, 342.9567, 0, 255.4571, 8.753376, 236.7548, 10.6666, 303.887, 150.7873, 593.6056, 297.3589, 465.313, -3.814697e-06, 595.9991, 1393.801, 605.9091, 855.4425, 657.2623
3, 3.814697e-06, 21.49516, 336.2477, 0, 303.4436, 8.020893, 221.4115, 10.04828, 284.3908, 177.3192, 564.1842, 280.379, 443.5655, -3.814697e-06, 563.7269, 1525.961, 567.7253, 807.7377, 623.7869
3.1, 3.814697e-06, 20.21508, 320.5827, 0, 287.4479, 7.349701, 207.0625, 9.465805, 345.2822, 247.9187, 536.2209, 264.3685, 496.4933, -3.814697e-06, 636.7115, 1571.428, 531.9478, 762.6932, 592.0164
3.2, 3.814697e-06, 19.01124, 304.1094, 0, 300.1118, 6.734676, 193.6435, 8.917084, 323.1302, 234.0122, 509.6437, 341.0784, 523.8469, -7.629395e-06, 667.151, 1546.525, 498.425, 847.1675, 561.864
3.3, 4.768372e-06, 17.87909, 288.4825, 0, 283.3731, 6.171115, 181.0941, 8.400185, 338.5268, 230.0599, 484.3838, 321.6019, 499.3637, -7.629395e-06, 631.0261, 1618.298, 467.0148, 799.9242, 533.2474
3.4, 4.768372e-06, 16.81435, 289.6709, 0, 326.9829, 5.654714, 169.3579, 7.913239, 377.4198, 217.1552, 460.3758, 303.2375, 476.0248, -7.629395e-06, 596.8574, 1661.262, 437.584, 755.3155, 506.0883
3.5, 3.814697e-06, 15.81303, 299.9007, 0, 308.7455, 5.181526, 158.3824, 7.454521, 353.206, 204.9743, 532.0836, 285.9219, 453.7767, -7.629395e-06, 817.0966, 1567.554, 410.0078, 713.1945, 480.3123
3.6, 3.814697e-06, 14.87134, 284.4901, 0, 291.5252, 4.747935, 148.1181, 7.0224, 330.5456, 193.4767, 534.5897, 269.5949, 432.5684, -7.629395e-06, 1185.323, 1479.132, 384.1696, 727.7075, 455.8492
3.7, 3.814697e-06, 13.98573, 269.8714, 0, 336.9079, 4.350627, 138.519, 6.615326, 309.3391, 182.624, 508.0934, 254.2003, 412.3513, -5.722046e-06, 1121.14, 1395.698, 359.9595, 687.126, 432.6321
3.8, 3.33786e-06, 13.15285, 256.0038, 0, 318.1169, 3.986566, 129.5421, 6.231857, 289.4931, 172.3801, 482.9103, 239.6848, 393.0791, -7.629395e-06, 1121.682, 1384.019, 337.2753, 648.8076, 410.5975
3.9, 3.33786e-06, 12.36957, 242.8489, 0, 300.3739, 3.652967, 121.1469, 5.870605, 355.8401, 162.7108, 458.9754, 225.9981, 414.9913, -5.722046e-06, 1073.763, 1339.851, 316.0205, 612.626, 389.6851
4, 3.33786e-06, 11.63294, 230.37, 0, 289.7301, 3.347286, 113.2957, 5.530296, 333.0107, 191.2262, 521.4326, 213.093, 470.8778, -5.722046e-06, 1015.621, 1395.368, 296.1052, 617.5778, 369.8378
4.1, 121.9203, 10.94018, 236.9468, 0, 273.5704, 3.067184, 105.9534, 5.209717, 311.646, 385.8678, 495.5883, 200.9248, 448.8702, -5.722046e-06, 960.6272, 1482.57, 277.4449, 583.1377, 351.0014
4.2, 114.469, 10.28868, 338.6647, 0, 258.312, 2.81052, 99.08687, 4.907722, 362.8675, 435.6135, 471.025, 189.4515, 427.8912, -5.722046e-06, 951.5257, 1398.942, 394.3818, 620.4782, 333.1243
4.3, 107.4732, 9.675968, 357.5472, 0, 243.9047, 2.575336, 92.66537, 4.623234, 339.5873, 411.1786, 512.2942, 178.6333, 596.4225, -5.722046e-06, 900.0024, 1361.394, 456.5308, 585.8765, 316.1577
4.4, 122.3541, 9.099747, 339.1744, 0, 230.3009, 2.35983, 86.66002, 4.355236, 445.7883, 388.1144, 598.2621, 264.0085, 630.9917, -5.722046e-06, 851.2692, 1398.21, 469.336, 627.4022, 300.0553
4.5, 114.8764, 8.557842, 405.5477, 0, 217.4559, 47.62004, 81.04386, 4.102776, 417.1882, 366.3439, 568.6099, 248.9329, 601.5009, -3.814697e-06, 805.1747, 1462.409, 439.7589, 592.4144, 284.773
4.6, 107.8556, 8.048206, 424.5165, 0, 205.3273, 43.63518, 75.79167, 3.864941, 477.6201, 345.7946, 593.9797, 234.7182, 709.1602, -3.814697e-06, 761.5761, 1414.198, 450.0462, 559.3777, 270.269
4.7, 101.2639, 7.568922, 402.7025, 0, 241.4858, 39.98377, 70.87985, 3.6409, 446.9778, 434.7361, 564.5397, 221.3151, 676.0159, -4.768372e-06, 804.9109, 1334.427, 497.8477, 580.967, 256.5038
4.8, 95.0751, 7.118177, 382.0094, 0, 228.017, 36.63792, 66.28635, 3.429848, 418.3015, 484.4441, 701.5419, 208.6774, 822.358, -4.768372e-06, 837.3093, 1455.672, 577.2755, 548.5687, 243.4396
4.9, 89.26451, 6.694279, 362.3796, 0, 215.2993, 33.57204, 71.59599, 3.231026, 391.4648, 457.2701, 666.7708, 233.8892, 783.9232, -3.814697e-06, 791.9707, 1373.561, 566.1486, 754.1277, 231.0408
5, 86.4177, 6.295623, 343.7585, 0, 211.7036, 30.76273, 66.95608, 3.043732, 366.3499, 431.6205, 633.723, 220.5335, 747.2848, -3.814697e-06, 749.0872, 1426.701, 575.3576, 766.4981, 219.2735
5.1, 81.13622, 5.920707, 326.0942, 0, 211.1573, 28.18849, 112.9637, 2.86729, 342.8463, 407.4096, 602.3132, 207.9404, 712.3587, -2.861023e-06, 711.1143, 1396.059, 644.7888, 723.7534, 208.1056
5.2, 76.17751, 5.568119, 309.3377, 0, 199.38, 25.82967, 105.6429, 2.70108, 320.8506, 505.1542, 572.4602, 238.6046, 679.065, -2.861023e-06, 672.6089, 1432.491, 604.1548, 683.3924, 197.5064
5.3, 71.52187, 5.236527, 293.4422, 0, 188.2596, 23.66823, 98.79649, 2.544506, 300.2661, 476.8186, 544.0868, 224.9796, 647.3273, -3.814697e-06, 829.1948, 1500.695, 566.0815, 645.2822, 187.4471
5.4, 67.15076, 4.924683, 292.5367, 0, 209.3924, 21.68767, 92.3938, 2.397007, 281.0021, 450.0724, 517.1198, 212.1326, 743.3887, -2.861023e-06, 784.2956, 1443.428, 530.4076, 609.2972, 177.9001
5.5, 63.04679, 4.63141, 277.5045, 0, 197.7136, 19.87284, 86.40605, 2.258059, 428.1937, 424.8265, 491.4893, 200.0193, 708.6447, -2.861023e-06, 741.8276, 1362.007, 496.9818, 575.319, 168.8394
5.6, 59.19364, 4.3556, 263.2448, 0, 186.6861, 18.20987, 80.80635, 2.127163, 459.4177, 400.9967, 467.1291, 252.5813, 675.5245, -2.861023e-06, 701.6591, 1410.54, 521.81, 543.2357, 160.2401
5.7, 55.57597, 4.096216, 249.7178, 0, 256.3426, 16.68606, 75.56954, 2.003859, 429.9432, 397.9702, 443.9763, 238.1582, 643.9523, -2.861023e-06, 663.6657, 1381.787, 549.8311, 512.9415, 152.0788
5.8, 52.17941, 3.85228, 236.8859, 0, 242.0451, 15.28977, 70.67212, 1.887699, 517.2565, 375.6469, 421.9711, 224.5587, 653.1653, -2.861023e-06, 627.7296, 1303.843, 515.1813, 616.1891, 144.3332
5.9, 48.99043, 3.622869, 224.7133, 0, 228.5451, 14.01031, 66.09209, 1.778275, 525.368, 426.8941, 401.0566, 211.7358, 730.1111, -2.861023e-06, 593.7393, 1308.108, 519.2267, 690.4358, 136.9821
6, 45.99634, 3.407121, 213.1663, 0, 215.798, 12.83793, 61.80886, 1.675192, 557.9327, 402.9483, 381.1786, 199.6451, 695.9877, -2.861023e-06, 561.5895, 1234.32, 506.7174, 651.9328, 130.0053
6.1, 43.18523, 3.20422, 202.2126, 0, 203.7619, 12.38605, 57.80323, 1.578085, 522.1379, 464.849, 362.2859, 188.2448, 759.0693, -2.384186e-06, 568.2515, 1259.157, 499.5212, 615.577, 123.3839
6.2, 40.54594, 3.013403, 191.8218, 0, 192.3971, 11.34958, 54.05718, 1.486605, 488.6396, 438.7743, 344.3296, 177.4955, 811.4332, -2.384186e-06, 537.4819, 1188.131, 468.0419, 581.2485, 117.0998
6.3, 38.06794, 2.83395, 181.9649, 0, 181.6661, 10.39984, 50.55391, 1.400431, 457.2903, 432.1393, 327.2633, 167.3601, 871.3797, -2.384186e-06, 508.3783, 1160.13, 516.2829, 548.8345, 111.1357
6.4, 35.74139, 2.665183, 172.6145, 0, 171.5337, 9.529578, 47.27767, 1.319252, 427.9523, 407.8993, 311.0428, 157.8033, 830.6537, -2.384186e-06, 480.8506, 1281.743, 517.5555, 518.2281, 105.4754
6.5, 33.55703, 2.506467, 163.7446, 0, 161.9664, 8.732141, 47.36666, 1.242778, 455.543, 385.019, 295.6263, 148.7923, 791.8312, -1.907349e-06, 454.8136, 1268.674, 484.9396, 619.2997, 100.1033
6.6, 31.50617, 2.357202, 155.3305, 0, 152.9328, 8.001431, 44.29698, 1.170736, 426.3171, 363.4221, 280.9739, 140.2959, 754.8232, -1.907349e-06, 510.1831, 1197.111, 565.0306, 584.7637, 95.00491
6.7, 29.58064, 2.216827, 147.3487, 0, 144.403, 7.331869, 41.42624, 31.97967, 592.5474, 403.4769, 267.0477, 132.2846, 719.5448, -1.430511e-06, 482.5577, 1201.85, 787.081, 613.3417, 90.16615
6.8, 27.7728, 2.084811, 139.7771, 0, 136.3489, 6.718336, 38.74154, 30.12588, 554.5318, 380.8447, 253.8118, 124.7308, 752.4712, -1.430511e-06, 522.0595, 1134.056, 1019.354, 643.8986, 85.57384
6.9, 26.07545, 1.960657, 132.5946, 0, 128.744, 6.156143, 124.4851, 28.37955, 518.9551, 359.482, 241.2319, 117.6083, 784.8911, -1.66893e-06, 540.1183, 1070.086, 993.5784, 671.53, 81.21542
7, 88.38064, 1.843896, 125.7811, 0, 121.5633, 5.640995, 116.4176, 26.73445, 551.6287, 339.3176, 229.2755, 110.8926, 792.3422, -1.192093e-06, 541.8964, 1009.725, 930.964, 703.8611, 77.07899
