 , C000, C001, C002, C003, C004, C005, C006, C007, C010, C012, C014, C015, C018, C019, C020, C023, C024, C026, C035, C050, C058, C085, C089, C101
Time(s)/Cell Status, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted
254.4, 281.9872, 405.029, 94.4659, 45.04334, 857.6793, 51.38424, 40.93955, 517.0809, 283.0613, 802.3325, 362.7955, 462.1969, 1031.293, 1152.211, 638.5519, 11.38046, 1454.412, 145.423, 249.4939, 1307.675, 1007.868, 1522.648, 1701.926, 1155.867
254.5, 267.078, 380.6784, 89.19553, 41.92914, 818.9586, 51.7909, 38.89702, 487.2889, 405.7943, 981.5967, 398.9008, 437.3325, 982.8568, 1090.539, 600.2491, 10.74354, 1545.615, 137.4581, 233.8289, 1369.522, 1159.244, 1620.791, 1605.86, 1249.612
254.6, 252.9571, 357.7918, 84.21919, 39.03025, 993.9148, 48.62585, 36.9564, 459.2133, 388.0641, 938.1547, 403.3341, 413.8057, 936.6951, 1032.168, 564.2438, 10.14227, 1478.154, 143.0789, 219.1475, 1308.571, 1099.052, 1536.728, 1515.217, 1246.873
254.7, 239.5827, 336.2811, 79.5205, 36.33178, 949.0437, 45.65423, 35.1126, 432.7554, 371.1086, 896.6353, 459.6253, 391.5446, 892.7015, 976.9211, 641.3672, 9.574657, 1413.637, 135.2423, 205.3879, 1250.333, 1041.986, 1457.024, 1429.69, 1233.415
254.8, 226.9155, 316.0637, 75.08395, 33.81988, 906.1984, 42.8642, 33.36079, 407.8219, 354.8939, 856.9533, 436.4334, 370.481, 850.7741, 924.6314, 602.8955, 9.038807, 1351.936, 229.1191, 192.4922, 1262.412, 987.8822, 1381.455, 1348.99, 1179.476
254.9, 214.9181, 297.0618, 70.89493, 31.48165, 865.2873, 40.24469, 31.69638, 384.3249, 339.3877, 819.0275, 414.4117, 350.5506, 810.8159, 875.1406, 566.7315, 8.532946, 1389.594, 216.5701, 180.4062, 1308.484, 990.6953, 1309.805, 1272.846, 1127.896
255, 203.5549, 279.2023, 66.93961, 29.30507, 826.2232, 46.28154, 30.11501, 362.1818, 324.559, 782.7802, 393.5013, 331.6923, 772.7344, 828.2987, 532.7368, 8.055395, 1328.943, 302.2726, 169.0791, 1250.249, 939.255, 1241.871, 1201, 1078.571
255.1, 192.7926, 262.4165, 63.20497, 27.27898, 788.9227, 43.45318, 28.61253, 341.3144, 310.3781, 748.1371, 373.6459, 313.8486, 736.4415, 855.9532, 500.7811, 7.604571, 1270.939, 285.7169, 158.4631, 1254.997, 890.4857, 1177.46, 1133.209, 1031.403
255.2, 182.5993, 246.6398, 59.67868, 25.39297, 753.3061, 40.79767, 27.18502, 321.6493, 296.8169, 715.0272, 354.7924, 296.9648, 701.8532, 1049.017, 592.4514, 7.178977, 1398.927, 347.3611, 148.5137, 1199.143, 1034.042, 1116.391, 1069.245, 1110.051
255.3, 172.9449, 231.8117, 56.34914, 23.63736, 719.2975, 38.30444, 25.82872, 303.1172, 283.8482, 683.3826, 427.0733, 280.9892, 668.8894, 992.8683, 556.9139, 6.777203, 1553.233, 328.3358, 139.1889, 1145.775, 1063.55, 1058.488, 1008.891, 1061.506
255.4, 163.801, 217.8751, 53.20535, 22.00312, 686.8242, 35.96358, 24.54009, 285.6529, 271.4462, 653.1384, 405.5239, 265.8731, 637.4738, 939.7251, 523.508, 6.397913, 1485.439, 310.3526, 130.4497, 1094.782, 1027.28, 1003.589, 951.9434, 1035.927
