 , C000, C002, C003, C004, C005, C006, C008, C009, C011, C012, C013, C016, C018, C022, C023, C024, C038, C072, C083, C128, C130
Time(s)/Cell Status, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted
336.3, 171.0394, 146.704, 379.9505, 978.1319, 61.36148, 178.7442, 209.4507, 13.99294, 143.1062, 223.0144, 1545.8, 231.9746, 640.2543, 41.07309, 183.4458, 0.368138, 229.3735, 27.97331, 180.4447, 163.3641, 204.9405
336.4, 162.6879, 138.861, 363.3219, 956.1302, 57.39101, 271.8604, 197.5996, 13.2848, 136.6198, 210.6311, 1478.205, 220.0796, 613.6638, 38.77642, 175.2075, 0.3461758, 323.7226, 26.52743, 171.2804, 156.0572, 196.0556
336.5, 154.7441, 131.4372, 347.421, 909.0129, 53.67746, 255.4595, 186.419, 12.61249, 150.4599, 245.1035, 1509.737, 208.7945, 715.3503, 36.60817, 167.3391, 0.3255237, 308.4144, 25.15627, 162.5816, 149.0771, 187.5558
336.6, 147.1882, 178.8714, 332.216, 864.2175, 131.0009, 240.048, 175.871, 11.97421, 143.6402, 231.4937, 1659.329, 198.0881, 691.5591, 34.56116, 159.8241, 0.3061037, 293.8301, 23.85599, 180.0677, 142.4093, 179.4245
336.7, 140.0013, 169.3086, 317.6765, 821.6296, 122.5243, 225.5663, 244.634, 11.36823, 137.1295, 218.6395, 1586.77, 187.9307, 690.6337, 32.62862, 152.6466, 0.2878422, 279.9354, 22.62292, 170.9227, 136.0397, 171.6458
336.8, 133.1652, 160.257, 303.7733, 935.5591, 114.5962, 211.9582, 230.7921, 10.79291, 188.8044, 206.4991, 1552.545, 178.2941, 703.5381, 30.80413, 145.7914, 13.85199, 266.6978, 21.45358, 206.1198, 129.955, 164.2043
336.9, 126.663, 151.6894, 290.4785, 904.0598, 107.1812, 199.1711, 217.7334, 10.24671, 180.2467, 195.0329, 1579.232, 169.1517, 674.3195, 34.3235, 282.5871, 17.34213, 254.0862, 20.34469, 195.6516, 124.1424, 157.0854
337, 120.4783, 143.5798, 277.7657, 926.1601, 100.2459, 229.8166, 205.4135, 9.728153, 172.0768, 184.2033, 1552.045, 255.6751, 646.3142, 56.7216, 269.8964, 16.30754, 242.071, 19.29311, 185.715, 118.5898, 150.2751
337.1, 114.5955, 135.9038, 265.6092, 908.1801, 93.75935, 363.7654, 234.366, 9.235838, 164.2772, 173.9751, 1600.296, 281.4834, 717.2552, 53.54992, 257.7757, 15.33466, 230.6239, 18.29588, 176.2831, 113.2856, 143.7601
337.2, 140.1721, 128.6381, 253.9847, 863.4258, 87.69254, 341.82, 221.1051, 8.768437, 156.8312, 164.3148, 1533.517, 267.0497, 717.2493, 252.5451, 301.4624, 14.41983, 219.7181, 17.3502, 195.5339, 108.2186, 137.5276
337.3, 228.2579, 121.7609, 242.869, 820.8769, 82.0183, 321.1985, 208.5945, 8.324691, 209.9705, 155.1909, 1599.007, 321.8952, 687.4612, 238.4236, 287.924, 13.55958, 209.3281, 16.4534, 185.6033, 103.3782, 131.5652
337.4, 217.1124, 115.2513, 232.2397, 970.5314, 76.7112, 301.8211, 196.7917, 7.903401, 200.4533, 146.5736, 1530.88, 305.3893, 658.9102, 225.0918, 274.9937, 12.75064, 199.4294, 15.60296, 176.1771, 98.75437, 125.8613
337.5, 217.6656, 109.0898, 222.0757, 922.7044, 71.74752, 283.6127, 185.6568, 7.503431, 191.3676, 138.4348, 1488.375, 289.7297, 631.5449, 212.5054, 355.6932, 11.98997, 189.9987, 14.79647, 167.2296, 94.33733, 120.4048
337.6, 244.7248, 103.2576, 212.3565, 877.2343, 113.1051, 278.105, 175.152, 7.123703, 182.6936, 130.748, 1500.548, 274.8732, 652.4415, 200.6228, 339.7195, 46.53284, 181.0141, 14.03167, 207.1447, 90.11784, 115.1848
337.7, 232.7753, 97.73728, 203.0626, 1033.595, 389.4658, 500.914, 165.2415, 6.763192, 174.4129, 123.488, 1434.932, 260.7784, 736.3071, 252.3605, 324.463, 107.622, 172.4543, 13.3064, 196.6244, 86.08709, 110.1911
337.8, 221.4093, 92.51207, 326.7447, 1015.597, 459.1642, 493.4654, 155.8918, 6.420925, 166.5074, 161.7918, 1405.945, 337.268, 705.7274, 238.2494, 309.8918, 116.6469, 164.2992, 12.61861, 186.6384, 82.23663, 105.4138
