 , C000, C001, C003, C004, C005, C006, C008, C009, C010, C011, C013, C014, C015, C016, C017, C019, C020, C023, C024, C025, C031, C032, C033, C034, C040, C043, C051, C056, C063, C107, C108
Time(s)/Cell Status, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted
412.2, 90.61461, 1314.519, 425.2521, 541.9674, 2393.798, 613.9543, 3835.064, 412.3883, 2226.764, 1552.506, 881.0214, 495.3453, 1996.902, 1695.074, 668.9581, 131.1882, 1776.801, 192.685, 1635.489, 2.5098, 0.0004928397, 1492.702, 154.9862, 1612.618, 406.4669, 334.9226, 349.0256, 369.5903, 1827.707, 5.527509e-08, 825.59
412.3, 83.96027, 1238.599, 409.7731, 512.4711, 2381.104, 572.287, 3957.774, 389.4614, 2114.642, 1650.487, 945.9689, 465.2479, 1955.495, 1594.381, 634.5762, 124.2552, 1714.477, 180.7467, 1623.542, 2.392272, 0.0004708137, 1401.486, 146.5839, 1866.123, 405.9126, 318.3438, 331.5483, 351.8978, 1739.281, 5.271968e-08, 773.087
412.4, 87.38809, 1170.557, 390.0976, 484.5802, 2270.121, 533.4475, 3779.312, 367.8091, 2277.245, 1589.047, 921.3459, 608.9879, 1867.531, 1499.669, 601.9614, 117.6885, 1626.171, 169.5481, 1547.219, 2.280247, 0.000449772, 1315.845, 138.6372, 1895.939, 385.1184, 302.5856, 314.9462, 335.0522, 1655.133, 5.028241e-08, 723.923
412.5, 80.97069, 1131.633, 371.3668, 458.2072, 2194.322, 497.244, 3771.021, 347.3606, 2162.58, 1515.208, 939.9569, 603.9758, 1903.654, 1455.491, 571.0229, 111.4688, 1642.025, 159.0434, 1584.868, 2.173468, 0.0004296708, 1235.437, 131.1213, 1855.989, 365.2285, 287.6075, 299.1754, 319.0131, 1575.057, 4.795782e-08, 677.8856
412.6, 75.02455, 1066.276, 353.5353, 433.2695, 2092.045, 520.5735, 3581.811, 328.0489, 2317.914, 1444.8, 966.1692, 601.4252, 1831.139, 1381.141, 541.6745, 105.5779, 1660.36, 149.1894, 1545.648, 2.07169, 0.0004104679, 1159.942, 124.0128, 1909.312, 357.686, 273.3708, 284.1943, 303.7417, 1590.711, 4.574069e-08, 634.7758
412.7, 69.51508, 1006.845, 336.5601, 409.689, 2105.363, 611.0873, 3485.581, 309.8109, 2412.321, 1377.664, 920.7653, 635.4269, 1895.933, 1411.232, 513.8345, 99.9983, 1614.423, 139.946, 1472.986, 1.974677, 0.0003921232, 1089.061, 117.2897, 1921.949, 339.2129, 259.8388, 269.9634, 289.2014, 1513.751, 4.362607e-08, 594.4077
412.8, 64.41019, 973.1583, 320.3999, 387.3919, 2007.232, 569.6146, 3310.693, 292.5868, 2307.009, 1343.837, 885.2993, 612.8727, 1810.649, 1327.4, 487.4253, 94.71356, 1531.27, 131.2753, 1520.339, 1.882208, 0.0003745984, 1022.511, 110.9311, 1949.292, 321.6938, 246.9766, 256.4452, 275.3571, 1474.692, 4.16092e-08, 556.6066
412.9, 59.68018, 916.9538, 305.0157, 366.3083, 1913.676, 530.9565, 3233.64, 276.3203, 2625.452, 1281.392, 1032.417, 635.2311, 1828.345, 1376.953, 462.3735, 278.1164, 1519.921, 123.1418, 1468.216, 1.794068, 0.0003578568, 960.0279, 104.9172, 1838.684, 305.0795, 234.7512, 243.6038, 262.1756, 1506.224, 3.968558e-08, 521.2095
413, 55.29753, 863.9954, 290.3701, 346.3722, 1917.752, 510.056, 3223.798, 260.9581, 2861.802, 1280.227, 1709.224, 682.4814, 1746.101, 1297.04, 438.6093, 263.4184, 1526.598, 115.5123, 1399.195, 1.710057, 0.0003418634, 901.3629, 99.22935, 1849.952, 289.3233, 223.1309, 231.4054, 249.6251, 1757.175, 3.785089e-08, 488.0635
413.1, 51.23672, 814.0955, 276.4278, 327.5211, 1838.687, 506.63, 3174.89, 246.45, 2941.221, 1314.844, 2828.469, 968.5148, 1667.557, 1260.596, 416.0664, 249.4972, 1626.292, 108.3554, 1385.067, 1.629978, 0.0003265848, 846.2828, 93.84985, 1836.653, 274.3809, 212.0858, 219.8179, 237.6754, 2034.221, 3.610101e-08, 457.0254
413.2, 47.47412, 767.0776, 263.1549, 309.6959, 1752.986, 525.3259, 3146.8, 232.7485, 2998.446, 1406.498, 3006.427, 909.6675, 1755.941, 1188.868, 394.6822, 236.3117, 1542.528, 101.642, 1319.955, 1.55365, 0.000311989, 794.5685, 88.76198, 1732.437, 260.2101, 201.5874, 208.8107, 226.2977, 1964.468, 3.443203e-08, 427.9612
413.3, 43.98782, 722.7753, 250.5194, 292.8409, 1679.239, 675.5278, 3201.112, 219.8088, 2847.468, 1442.579, 3062.857, 854.3959, 1924.253, 1118.246, 374.397, 223.8231, 1562.384, 95.34451, 1448.009, 1.480896, 0.0002980456, 746.0144, 83.94994, 1738.986, 246.7712, 191.6088, 198.3546, 215.4647, 2026.524, 3.284022e-08, 400.7452
413.4, 40.75755, 681.0316, 238.4905, 276.9031, 1613.251, 643.1556, 3040.497, 207.5884, 2852.981, 1415.021, 3015.896, 802.4825, 1876.285, 1051.818, 355.1544, 211.9944, 1528.103, 89.43721, 1474.02, 1.41155, 0.0002847253, 700.4272, 79.39877, 1841.298, 234.0264, 182.1241, 188.4221, 205.1503, 2185.385, 3.132199e-08, 375.2601
413.5, 37.76449, 641.6987, 227.0392, 261.8328, 1538.058, 599.5065, 2887.942, 196.0474, 2826.747, 1459.43, 2931.16, 753.7234, 1878.144, 1008.846, 336.9008, 200.7909, 1545.276, 83.8959, 1404.726, 1.34545, 0.0002720004, 657.6259, 75.09433, 1736.818, 237.7964, 173.1088, 178.9869, 195.3296, 2255.992, 2.987395e-08, 351.3956
413.6, 34.99123, 620.1597, 216.1378, 407.2651, 1466.37, 667.4644, 2858.641, 185.1481, 2707.613, 1466.422, 2861.667, 707.9269, 1793.66, 1050.962, 319.5854, 376.9857, 1537.295, 78.69793, 1443.934, 1.282446, 0.0002598441, 617.4399, 71.02325, 1774.282, 225.5151, 164.5399, 170.0242, 185.979, 2489.888, 2.849286e-08, 329.0488
413.7, 32.42163, 584.3425, 205.7598, 385.0999, 1433.293, 622.1655, 2715.209, 174.8547, 2644.753, 1421.091, 2981.362, 664.9131, 1712.976, 988.5311, 303.1599, 416.4433, 1482.047, 73.82201, 1391.374, 1.222392, 0.0002482311, 579.7097, 67.17288, 1804.316, 213.8681, 156.3951, 161.5103, 177.0761, 2507.663, 2.717561e-08, 308.1232
413.8, 30.04072, 550.594, 195.8801, 364.1411, 1366.488, 579.9409, 2578.975, 165.1336, 2593.132, 1355.057, 2966.132, 624.5128, 1635.922, 968.3629, 287.5787, 394.435, 1405.712, 69.24818, 1490.011, 1.16515, 0.0002371371, 544.285, 63.53125, 1891.27, 202.8226, 148.6534, 153.4228, 168.5993, 2561.532, 2.591926e-08, 288.5283
413.9, 27.83466, 599.963, 186.4747, 344.3229, 1302.796, 540.582, 2473.589, 155.9529, 2652.044, 1292.091, 2930.949, 586.5671, 1655.474, 935.9467, 272.7982, 406.5568, 1333.309, 64.95774, 1538.814, 1.110589, 0.000226539, 511.0251, 60.08704, 1783.954, 316.429, 141.295, 145.7402, 160.5284, 2463.83, 2.4721e-08, 270.1795
414, 25.79061, 565.3123, 177.521, 325.5833, 1269.566, 503.8943, 2388.6, 147.2826, 2536.008, 1249.153, 2882.204, 550.9271, 1690.892, 982.4036, 258.7774, 478.3226, 1264.635, 60.93312, 1585.52, 1.058582, 0.0002164145, 479.7976, 56.82954, 1716.169, 300.0866, 134.3008, 138.4424, 152.8438, 2554.349, 2.357813e-08, 252.9976
414.1, 23.89666, 532.6628, 213.6595, 307.8636, 1210.392, 497.5287, 2313.277, 139.0944, 2455.485, 1191.108, 2916.819, 517.4526, 1757.421, 1005.585, 245.4773, 496.1576, 1199.498, 496.2431, 1679.136, 1.009012, 0.0002067425, 450.4783, 53.74865, 1737.996, 284.5883, 127.6529, 131.5099, 145.5271, 2656.286, 2.248809e-08, 236.9083
414.2, 22.14179, 502.7772, 203.4005, 291.1083, 1241.266, 463.7628, 2224.574, 131.3613, 2390.151, 1333.648, 2796.485, 486.0121, 1678.367, 1209.054, 232.8607, 469.9366, 1137.716, 733.1415, 1827.63, 0.9617618, 0.0001975027, 422.9507, 50.83478, 1639.378, 269.8904, 121.334, 124.9246, 138.5606, 2922.653, 2.144845e-08, 221.8423
414.3, 20.51579, 473.7394, 193.6341, 275.2649, 1183.411, 490.9582, 2263.61, 124.0583, 2359.016, 1303.039, 2836.993, 456.4818, 1693.396, 1249.01, 220.8925, 445.1012, 1108.913, 707.3834, 1905.857, 0.9167248, 0.0001886759, 397.1052, 48.07888, 1546.355, 255.9516, 115.3279, 118.6691, 131.9276, 2927.138, 2.045687e-08, 207.7344
414.4, 19.0092, 446.3787, 184.3366, 260.2837, 1212.591, 562.2089, 2150.034, 117.1612, 2514.811, 1259.469, 2715.132, 428.7458, 1776.732, 1174.815, 209.5395, 870.9551, 1147.93, 738.5087, 1842.499, 0.8737966, 0.0001802436, 372.839, 45.47239, 1458.611, 242.7326, 109.6191, 112.7268, 125.6121, 2785.521, 1.951114e-08, 194.5236
414.5, 17.61325, 420.5982, 175.4855, 246.1179, 1156.073, 539.2227, 2082.892, 110.6476, 2749.556, 1208.685, 2766.666, 402.6951, 1714.518, 1238.389, 198.77, 1192.902, 1088.805, 692.7525, 2061.54, 0.8328788, 0.0001721881, 350.0557, 43.0072, 1375.846, 230.1964, 104.1929, 107.082, 119.599, 2817.724, 1.860912e-08, 182.153
