 , C01, C02, C04, C05, C10, C12, C13, C43, C52, C55, C62
Time(s)/Cell Status, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.1, 0, 37.79272, 0, 0, 0, 15.13464, 0, 0, 14.65125, 147.1882, 218.1704
0.2, 0, 192.4813, 0, 0, 0, 80.95563, 36.05554, 17.45248, 126.7028, 295.489, 206.778
0.3, 1.68056, 347.1367, 0, 0, 204.445, 181.1193, 125.4854, 16.53296, 199.1262, 458.771, 253.4836
0.4, 21.2693, 532.3245, 24.84249, 0, 237.0275, 170.7048, 205.1143, 96.59839, 214.1472, 428.8308, 388.0317
0.5, 52.40537, 604.3292, 712.6935, 0, 320.6206, 300.5977, 364.3099, 91.50894, 888.8033, 457.9927, 367.7694
0.6, 49.5269, 1269.617, 889.353, 0, 433.7892, 283.3131, 440.3162, 86.68765, 1136.488, 649.1165, 348.5652
0.7, 46.80654, 1206.365, 837.6736, 323.4982, 451.7837, 280.0701, 417.7471, 144.3517, 1109.985, 606.7539, 443.7456
0.8, 44.2356, 1146.264, 843.2903, 1224.926, 485.0661, 315.8649, 396.3348, 162.643, 1337.76, 567.1562, 420.5741
0.9, 41.80587, 1207.327, 794.2876, 1401.505, 463.4817, 309.7299, 746.1732, 299.1883, 1270.902, 820.3564, 398.6124
1, 269.6187, 1179.174, 811.6467, 1532.374, 721.5578, 291.9203, 707.927, 346.9933, 1207.385, 766.8187, 541.9393
1.1, 254.8094, 1343.075, 901.0869, 1506.3, 689.4501, 275.1346, 1084.468, 328.7114, 1279.643, 860.9392, 830.3701
1.2, 240.8135, 1435.813, 848.7257, 1678.025, 678.9189, 371.5973, 1642.166, 358.2717, 1358.633, 1120.346, 787.0096
1.3, 227.5863, 1411.785, 799.4072, 1649.505, 648.7085, 350.2302, 1792.341, 339.3955, 1554.558, 1227.218, 1036.062
1.4, 215.0857, 1522.075, 768.4307, 1566.261, 844.2606, 330.0917, 1763.696, 321.5139, 1610.744, 1399.029, 981.9602
1.5, 206.3299, 1518.184, 723.778, 1493.309, 834.6832, 311.1113, 1673.295, 337.4269, 1692.562, 1307.726, 1111.668
1.6, 194.9968, 1442.548, 681.72, 1404.149, 798.7957, 293.2222, 1587.528, 331.4005, 1607.972, 1310.398, 1053.618
1.7, 184.2863, 1511.906, 1020.283, 1399.082, 763.251, 276.3618, 1506.157, 313.9401, 1527.609, 1274.902, 1064.809
1.8, 174.164, 1456.474, 1445.979, 1362.198, 729.2881, 260.4708, 1428.957, 383.2897, 1546.629, 1423.115, 1310.971
1.9, 164.5977, 1383.912, 1361.955, 1280.866, 696.8364, 245.4936, 1566.112, 363.0955, 1469.333, 1428.334, 1242.514
2, 155.5568, 1314.966, 1342.333, 1204.389, 665.8289, 231.3775, 1485.838, 713.8464, 1395.899, 1494.88, 1177.632
2.1, 147.0126, 1249.455, 1318.828, 1238.096, 636.2009, 218.0732, 1409.679, 808.8309, 1326.135, 1464.885, 1227.468
2.2, 138.9376, 1187.207, 1242.192, 1164.173, 607.8915, 211.404, 1457.453, 766.2162, 1259.858, 1427.769, 1163.372
2.3, 131.3062, 1128.061, 1305.625, 1117.863, 580.8417, 374.1046, 1382.749, 725.8469, 1196.893, 1731.327, 1281.096
2.4, 124.0939, 1146.975, 1229.756, 1072.522, 554.9955, 1801.66, 1311.874, 687.6044, 1189.332, 1681.676, 1214.199
2.5, 117.2778, 1103.05, 1158.296, 1008.485, 530.2994, 2351.536, 1480.095, 651.3768, 1282.026, 1571.927, 1150.796
2.6, 110.8361, 1135.079, 1166.491, 981.7565, 506.7023, 2216.321, 1404.231, 636.7173, 1261.181, 1469.34, 1289.865
2.7, 104.7482, 1143.559, 1495.25, 988.829, 484.1552, 2260.5, 1489.276, 623.2633, 1198.15, 1652.455, 1268.561
2.8, 98.99471, 1113.529, 2212.533, 929.7891, 462.6115, 2130.52, 1412.941, 1081.512, 1138.269, 1544.613, 1349.173
2.9, 93.55722, 1131.554, 2296.597, 874.2743, 442.0263, 2077.507, 1386.153, 1197.486, 1134.667, 1443.808, 1342.458
3, 88.4184, 1075.18, 2267.161, 822.074, 422.3571, 2062.233, 1533.719, 1312.524, 1265.977, 1349.583, 1272.357
3.1, 83.56184, 1095.851, 2200.002, 772.9905, 403.5632, 2022.292, 1455.106, 1281.865, 1202.706, 1344.198, 1205.917
3.2, 78.97205, 1182.586, 2309.657, 726.8376, 385.6055, 1932.594, 1380.522, 1287.257, 1142.598, 1295.4, 1142.946
3.3, 74.63435, 1123.67, 2208.626, 683.4404, 368.447, 2001.961, 1346.954, 1302.661, 1085.494, 1397.801, 1083.263
3.4, 70.5349, 1172.621, 2310.287, 642.6343, 352.0519, 1900.993, 1353.108, 1234.028, 1031.243, 1306.577, 1182.52
3.5, 66.66064, 1192.528, 2267.757, 604.2646, 336.3864, 1791.685, 1406.282, 1312.7, 979.7041, 1310.356, 1203.537
3.6, 62.99917, 1133.117, 2135.98, 568.1858, 321.418, 1732.841, 1334.201, 2017.903, 930.7408, 1279.206, 1297.96
3.7, 59.53881, 1076.665, 2011.861, 618.3051, 307.1156, 1633.201, 1298.094, 2525.106, 884.2247, 1347.604, 1230.182
3.8, 56.26853, 1023.026, 1947.281, 581.3879, 293.4497, 1539.291, 1282.344, 2415.327, 840.0332, 1324.036, 1249.766
3.9, 53.17787, 972.0588, 1834.127, 546.675, 280.3918, 1450.781, 1246.164, 2399.259, 798.0504, 1335.128, 1184.506
4, 50.25697, 974.3254, 1798.365, 536.4935, 267.915, 1367.361, 1266.085, 2375.959, 758.1658, 1247.995, 1122.653
4.1, 47.49651, 1046.095, 1693.864, 504.4612, 255.9934, 1376.202, 1201.19, 2336.47, 720.2745, 1166.549, 1241.542
4.2, 44.88766, 1051.175, 1656.233, 474.3413, 244.6023, 1397.997, 1369.813, 2252.803, 914.4374, 1236.452, 1176.711
4.3, 42.42212, 998.8053, 1559.991, 446.0199, 233.718, 1317.611, 1340.371, 2134.111, 868.736, 1939.627, 1465.512
4.4, 40.092, 1096.6, 1573.12, 419.3894, 223.3181, 1245.445, 1475.792, 2074.944, 825.3187, 3246.573, 1692.076
4.5, 37.88987, 1041.967, 1481.707, 394.3489, 213.381, 1199.573, 1486.364, 2119.25, 784.0712, 3819.092, 1896.139
4.6, 35.80869, 990.0568, 1559.404, 370.8036, 203.886, 1139.276, 1410.178, 2007.593, 827.8853, 3850.971, 1875.791
4.7, 33.84183, 944.2351, 1711.159, 357.3597, 194.8135, 1082.148, 1420.871, 1974.732, 853.6548, 3655.055, 1850.019
4.8, 31.983, 933.124, 1611.725, 350.9083, 186.1448, 1084.664, 1381.378, 2095.711, 879.7542, 3638.979, 2079.993
4.9, 30.22627, 886.6359, 1518.069, 371.8065, 177.8618, 1045.612, 1394.91, 2062.863, 835.7861, 3873.819, 2432.602
5, 28.56603, 972.5657, 1592.542, 349.6071, 169.9473, 985.4888, 1444.315, 2038.433, 965.1474, 3745.92, 2305.575
5.1, 26.99698, 924.1127, 1554.661, 378.1234, 162.385, 961.1404, 1370.285, 1979.594, 916.9116, 3852.812, 2340.299
5.2, 25.51412, 878.0735, 1464.321, 355.5468, 155.1593, 968.7507, 1300.049, 1935.237, 871.0865, 3601.371, 2360.536
5.3, 24.11271, 834.3281, 1379.231, 364.6099, 148.255, 913.0469, 1306.832, 1841.073, 907.3401, 3504.64, 2237.273
5.4, 22.78827, 792.762, 1360.281, 354.2626, 141.658, 894.276, 1400.353, 1856.992, 1091.742, 3275.92, 2120.446
5.5, 21.53658, 753.2667, 1316.477, 333.1107, 135.3546, 842.8546, 1401.012, 1759.153, 1037.179, 3309.738, 2009.72
5.6, 40.32539, 715.7391, 1239.978, 353.5702, 165.9317, 794.39, 1329.201, 1785.865, 985.3435, 3093.738, 2145.069
5.7, 38.11044, 680.0811, 1167.924, 430.0337, 158.5481, 803.3123, 1261.071, 1726.366, 936.0984, 3121.377, 2033.057
5.8, 36.01715, 754.3898, 1335.178, 404.3577, 151.4931, 818.6613, 1196.433, 1652.678, 889.3145, 3189.474, 1926.895
5.9, 38.7264, 716.8063, 1296.107, 380.2148, 144.752, 871.8182, 1135.108, 1581.075, 844.8686, 2981.323, 1941.996
6, 121.049, 681.0952, 1364.53, 357.5133, 157.4864, 872.2354, 1197.684, 1650.725, 802.6441, 3095.392, 1840.589
6.1, 114.4001, 740.0406, 1285.239, 336.1673, 162.164, 822.0814, 1136.295, 1619.826, 876.8714, 3060.973, 1744.476
6.2, 108.1164, 703.1719, 1210.555, 316.0958, 154.948, 774.8113, 1078.052, 1534.483, 833.0475, 2861.208, 1708.833
6.3, 102.1779, 723.628, 1157.754, 297.2227, 148.0532, 765.7914, 1259.518, 1453.636, 791.4138, 2715.104, 1691.857
6.4, 96.56561, 727.485, 1163.368, 279.4765, 141.4652, 721.758, 1194.96, 1481.41, 849.2136, 2639.106, 1682.263
6.5, 91.26154, 691.2418, 1095.766, 262.7898, 135.1703, 680.2565, 1196.862, 1403.36, 844.5721, 2527.204, 1594.418
6.6, 86.24883, 714.4545, 1130.52, 247.0994, 129.1555, 641.1414, 1196.147, 1329.421, 802.3624, 2573.461, 1568.079
6.7, 81.51144, 678.8605, 1138.523, 232.3459, 123.4084, 604.2755, 1264.172, 1443.423, 819.808, 2405.512, 1606.356
6.8, 80.97043, 645.0397, 1207.1, 218.4732, 117.917, 569.5292, 1199.375, 1367.374, 865.5852, 2248.523, 1522.474
6.9, 76.52296, 666.2155, 1136.957, 205.4289, 112.67, 554.8619, 1142.31, 1336.61, 822.3253, 2101.781, 1442.973
7, 72.31979, 633.0247, 1164.691, 193.1633, 107.6564, 522.9571, 1083.759, 1289.103, 781.2275, 2187.635, 1367.624
7.1, 68.34748, 666.9237, 1097.012, 181.6301, 145.1961, 492.8868, 1199.063, 1221.184, 742.1837, 2146.078, 1296.209
7.2, 64.59336, 633.6977, 1038.858, 170.7856, 138.7352, 464.5455, 1137.603, 1259.956, 705.0911, 2103.09, 1418.437
7.3, 61.04544, 602.127, 1009.305, 160.5885, 132.5618, 437.8339, 1079.294, 1213.708, 669.8524, 1965.839, 1380.523
7.4, 57.6924, 657.5021, 950.6551, 151.0002, 126.6631, 412.6582, 1023.973, 1175.176, 700.3632, 1837.544, 1419.828
7.5, 54.52353, 879.4749, 895.4136, 141.9845, 149.7409, 388.9301, 971.4877, 1344.135, 665.3608, 1717.623, 1345.687
7.6, 51.52872, 1207.188, 897.7928, 133.507, 143.0778, 489.1718, 955.9838, 1340.709, 918.0348, 1871.21, 1353.204
7.7, 48.6984, 1167.625, 866.8749, 125.5357, 136.7111, 461.0441, 991.9113, 1270.071, 872.1536, 1749.091, 1282.542
7.8, 46.02354, 1169.621, 816.5018, 118.0404, 130.6278, 437.6151, 941.0695, 1203.155, 864.1845, 1634.942, 1283.915
7.9, 43.49561, 1184.354, 769.0557, 110.9925, 126.3901, 435.5379, 892.8335, 1139.765, 820.9946, 1788.78, 1216.872
8, 41.10652, 1172.412, 832.4487, 104.3655, 120.766, 410.4942, 847.07, 1079.715, 978.1663, 1672.041, 1218.605
8.1, 38.84866, 1114.003, 784.076, 98.13418, 115.3922, 386.8906, 950.3261, 1022.828, 945.0726, 1819.576, 1154.972
8.199999999999999, 36.71482, 1058.503, 738.5142, 92.27489, 110.2575, 364.6442, 1109.516, 1136.532, 956.0101, 2880.498, 1401.209
8.300000000000001, 34.69819, 1125.517, 695.5999, 86.76543, 105.3513, 343.6769, 1052.646, 1076.652, 908.231, 3087.255, 1598.295
8.4, 32.79232, 1115.758, 655.1793, 81.58494, 100.6634, 323.9153, 1079.75, 1019.927, 962.713, 3164.448, 1514.835
8.5, 30.99114, 1060.171, 816.2783, 76.71375, 344.8514, 305.29, 1225.714, 966.1904, 914.5989, 3027.62, 1668.737
8.6, 29.28889, 1007.354, 853.4343, 72.13341, 329.5063, 287.7357, 1162.888, 963.8464, 868.8894, 3033.366, 1581.599
8.699999999999999, 102.9982, 1000.371, 856.4343, 67.82655, 365.7561, 377.4225, 1234.986, 945.0367, 992.3531, 3071.161, 1598.013
8.800000000000001, 97.34085, 1001.516, 827.8021, 63.77683, 481.314, 421.6462, 1231.689, 1027.552, 1111.155, 2917.826, 1514.567
8.9, 223.1628, 951.6202, 779.6994, 59.96891, 705.79, 424.0723, 1398.405, 973.4135, 1183.774, 2902.22, 1578.018
9, 361.9592, 904.2107, 860.9459, 56.38836, 674.384, 459.6707, 1415.874, 1027.048, 1124.612, 2943.011, 1629.102
9.1, 342.0779, 996.3862, 854.6205, 53.02158, 644.3755, 433.2501, 2316.75, 972.9367, 1358.205, 3133.968, 1629.615
9.199999999999999, 323.2886, 955.0316, 822.3597, 49.85582, 615.7023, 408.338, 2898.867, 981.873, 1467.071, 3139.081, 1544.52
9.300000000000001, 305.5313, 907.4521, 774.5732, 46.87909, 588.3049, 384.8583, 2750.281, 1026.268, 1393.75, 2934.218, 1463.867
9.4, 288.7494, 881.3769, 729.5636, 44.08008, 562.1266, 381.4943, 3055.789, 972.1971, 1324.094, 2789.07, 1387.427
9.5, 272.8893, 837.4668, 687.1694, 41.44819, 537.1133, 448.9677, 2899.16, 952.2232, 1257.919, 2936.486, 1314.978
9.6, 257.9003, 795.7443, 722.8763, 38.97345, 513.213, 423.1518, 2786.288, 902.0537, 1195.051, 2945.653, 1246.312
9.699999999999999, 243.7346, 756.1005, 751.6616, 36.64647, 490.3762, 398.8203, 2715.714, 854.5275, 1135.325, 2753.414, 1181.231
9.800000000000001, 230.347, 718.4317, 707.9834, 34.45842, 468.5555, 375.8879, 2576.516, 809.5052, 1161.872, 2743.957, 1251.876
9.9, 217.6947, 682.6395, 668.059, 32.40101, 447.7059, 354.2742, 2757.504, 929.7729, 1140.494, 3199.8, 1420.349
10, 205.7374, 764.8232, 678.6998, 30.46644, 427.784, 333.9032, 2679.956, 887.9133, 1141.011, 3277.781, 1346.181
10.1, 194.4369, 846.0637, 655.8553, 28.64739, 408.7486, 314.7036, 2639.478, 1252.006, 1083.986, 3341.108, 1510.001
10.2, 183.757, 803.9129, 617.7443, 26.93694, 390.5602, 296.608, 2724.276, 1334.309, 1029.811, 3668.874, 1431.151
10.3, 173.6638, 763.8621, 581.8478, 25.32862, 373.1811, 279.5529, 2584.64, 1324.54, 978.3433, 3817.068, 1502.389
10.4, 164.125, 725.8066, 567.1282, 23.81632, 356.5754, 263.4784, 2452.16, 1424.303, 1159.747, 3721.318, 1423.937
10.5, 155.1101, 689.647, 534.173, 22.39432, 340.7086, 248.3283, 2326.471, 1523.159, 1101.786, 3654.629, 1349.582
10.6, 146.5904, 655.2889, 503.1328, 21.05723, 325.5479, 238.8753, 2207.224, 1442.908, 1046.721, 3416.121, 1279.109
10.7, 138.5386, 622.6425, 473.8962, 19.79996, 311.0617, 225.1399, 2094.09, 1366.886, 994.4085, 3193.178, 1212.316
10.8, 130.9291, 591.6226, 446.3586, 18.61777, 297.2202, 212.1942, 2073.443, 1294.87, 1071.021, 3288.22, 1149.011
10.9, 123.7375, 562.1481, 420.4212, 17.50616, 283.9946, 261.7202, 2230.765, 1226.647, 1017.494, 3205.981, 1236.441
11, 116.941, 742.8193, 395.991, 16.46092, 271.3575, 329.3372, 2124.142, 1162.019, 966.6417, 3195.838, 1171.876
11.1, 110.5178, 705.8121, 372.9804, 15.47809, 259.2827, 310.4001, 2015.266, 1100.796, 1000.913, 3172.43, 1110.683
11.2, 104.4474, 670.6487, 376.4359, 14.55394, 247.7452, 292.5519, 2052.308, 1042.799, 950.8898, 2965.391, 1052.685
11.3, 98.7104, 665.0911, 354.5616, 13.68497, 236.7211, 275.73, 1947.114, 1078.812, 903.3666, 2915.549, 1324.274
11.4, 93.28853, 631.9564, 415.137, 12.86788, 226.1875, 259.8754, 1955.841, 1665.458, 952.2089, 3090.774, 2013.651
11.5, 88.16447, 600.4724, 391.0138, 12.09958, 216.1227, 244.9324, 1967.808, 1700.702, 904.6198, 3177.166, 2797.73
11.6, 83.32186, 570.5569, 368.2924, 11.37715, 206.5057, 230.8486, 2069.561, 1622.639, 859.4091, 3489.79, 3410.591
11.7, 78.74524, 542.1319, 346.8913, 10.69786, 197.3167, 217.5747, 1963.482, 1537.147, 816.4579, 3517.671, 3335.317
11.8, 74.42, 597.0699, 326.7339, 10.05912, 188.5365, 205.0641, 1992.002, 1579.047, 775.6533, 3288.101, 3407.507
11.9, 70.33233, 567.324, 356.5675, 9.458521, 180.1471, 193.2728, 1975.277, 1510.204, 736.888, 3368.839, 3292.312
12, 73.31963, 539.06, 427.0134, 8.893782, 172.1309, 182.1595, 1874.031, 1633.548, 815.8317, 3233.668, 3120.393
12.1, 105.9793, 512.2042, 489.9674, 8.362761, 164.4715, 171.6852, 1987.376, 1547.482, 775.0584, 3200.515, 3139.359
12.2, 100.1582, 489.8075, 461.4959, 7.863447, 157.1529, 161.8132, 1885.51, 1465.95, 736.3229, 3094.567, 3108.594
12.3, 94.65677, 465.4054, 602.6423, 7.393944, 150.1599, 152.5089, 1788.865, 1473.902, 699.5232, 3082.059, 3079.915
12.4, 89.45756, 442.219, 694.9328, 6.952475, 143.4781, 143.7395, 1723.809, 1504.274, 752.4939, 2880.918, 2949.942
12.5, 84.54392, 420.1877, 706.7613, 6.537364, 137.0937, 135.4744, 1635.452, 1425.019, 787.5071, 2803.48, 3031.652
12.6, 79.90018, 399.254, 665.6921, 6.147038, 130.9933, 127.6846, 1556.497, 1448.609, 905.4624, 2698.777, 3013.297
12.7, 75.5115, 379.3633, 627.0095, 5.780017, 125.1645, 120.3427, 1476.717, 1372.286, 946.9247, 2774.604, 2855.948
12.8, 71.36388, 390.2458, 628.2116, 5.43491, 119.5949, 113.4229, 1589.611, 1327.337, 899.5997, 2593.528, 3109.453
12.9, 67.44408, 370.8038, 591.7069, 5.110408, 114.2732, 106.901, 1508.133, 1375.174, 854.6399, 2539.743, 2947.083
13, 63.73957, 352.3304, 557.3235, 4.805281, 109.1883, 100.7541, 1430.832, 1311.221, 890.7848, 2485.635, 2793.191
13.1, 60.23855, 334.7774, 524.938, 4.518373, 104.3297, 94.96072, 1357.492, 1354.941, 931.6611, 2564.314, 2647.336
13.2, 56.92983, 355.0778, 535.3484, 4.248594, 99.68725, 89.50043, 1292.27, 1283.554, 885.0989, 2396.962, 2509.096
13.3, 53.80285, 337.3879, 518.7226, 3.994924, 95.25139, 84.3541, 1412.769, 1215.927, 840.8638, 2419.03, 2450.714
13.4, 50.84762, 320.5793, 587.4365, 3.756399, 91.01292, 79.50369, 1420.144, 1151.864, 798.8395, 2261.159, 2631.381
13.5, 48.05471, 304.6081, 553.3012, 3.532116, 86.96304, 74.93219, 1447.504, 1170.959, 939.9846, 3273.527, 2933.467
13.6, 45.41521, 289.4326, 521.1495, 3.321224, 83.09338, 70.62355, 1373.31, 1151.195, 893.0063, 4399.962, 3008.062
13.7, 42.92069, 275.0131, 528.8839, 3.122924, 79.39592, 66.56266, 1379.512, 1090.542, 875.3174, 4710.239, 3149.131
13.8, 40.56318, 261.312, 503.5488, 2.936464, 75.86298, 62.73527, 1572.907, 1142.441, 831.5711, 5062.907, 3108.45
13.9, 67.59203, 248.2935, 474.2881, 2.761137, 72.48725, 59.12796, 1545.909, 1130.079, 815.9251, 5209.825, 3200.54
14, 96.69649, 235.9235, 446.7277, 2.596278, 69.26173, 55.72807, 1466.671, 1139.882, 817.3426, 5274.461, 3185.975
14.1, 91.38524, 224.1699, 485.3793, 2.441262, 66.17974, 52.52367, 1491.103, 1114.051, 991.2538, 5198.417, 3243.158
14.2, 86.36572, 213.0018, 457.1744, 2.295502, 63.23489, 49.50353, 1414.674, 1055.355, 1455.083, 5031.623, 3073.806
14.3, 81.62191, 263.6981, 430.6085, 2.158444, 60.42108, 46.65705, 1342.163, 1041.404, 1382.361, 5019.093, 2913.297
14.4, 77.13866, 310.3552, 405.5863, 2.02957, 57.73248, 308.4601, 1449.811, 986.5362, 1313.274, 4769.23, 2892.951
14.5, 72.90167, 294.8933, 406.5244, 1.908391, 55.16352, 432.7384, 1538.085, 1418.974, 1247.64, 4750.59, 3036.429
14.6, 68.8974, 280.2018, 807.9288, 1.794447, 52.70887, 461.6481, 1503.512, 2091.341, 1308.738, 4536.486, 3097.362
14.7, 65.11308, 271.9189, 931.788, 1.687306, 50.36344, 435.1031, 1737.732, 2140.986, 1539.043, 4635.674, 3014.439
14.8, 61.53661, 408.6922, 932.9969, 1.586562, 48.12239, 421.2741, 1648.661, 2416.471, 1462.125, 4380.259, 3006.728
14.9, 78.04741, 388.3312, 967.0504, 484.9695, 45.98105, 512.8443, 1582.242, 2348.269, 1389.051, 4360.103, 2937.736
15, 73.7605, 368.9846, 964.0773, 879.118, 43.935, 483.3555, 1501.142, 2252.325, 1401.569, 4284.781, 2784.333
15.1, 108.1217, 350.6019, 917.3937, 826.6285, 41.97999, 455.5623, 1489.622, 2774.467, 1331.522, 4354.243, 2776.95
15.2, 102.1829, 333.1349, 864.0849, 904.5825, 40.11198, 429.3672, 1521.45, 2970.914, 1288.579, 4216.192, 2828.265
15.3, 96.57026, 316.5382, 813.8738, 850.5727, 38.32709, 404.6784, 1443.466, 2885.925, 1224.179, 4147.366, 2680.578
15.4, 91.26595, 300.7683, 766.5805, 799.7876, 36.62162, 381.4091, 1510.021, 2834.466, 1434.542, 3951.447, 2747.875
15.5, 86.25298, 398.301, 822.3175, 752.0347, 34.99204, 359.4779, 1563.965, 2779.703, 1362.847, 3943.42, 2702.489
15.6, 81.51537, 556.8565, 774.5335, 738.033, 33.43497, 338.8077, 1549.308, 2782.127, 1294.735, 3686.065, 2761.946
15.7, 77.03797, 776.1786, 729.5262, 693.9673, 31.94719, 319.3261, 1469.896, 2635.546, 1346.78, 3557.2, 3212.475
15.8, 72.80651, 752.75, 743.7149, 655.9527, 30.52562, 300.9647, 1395.871, 2739.477, 1279.472, 3519.354, 3044.725
15.9, 68.80746, 715.2481, 700.4984, 740.9769, 29.16729, 283.659, 1324.747, 2595.143, 1215.527, 3475.635, 2994.754
16, 65.02808, 679.6146, 659.7932, 696.7354, 27.86942, 267.3485, 1294.624, 2576.311, 1154.777, 3432.671, 2838.373
16.1, 61.45628, 780.9362, 678.733, 724.4487, 26.62929, 251.9758, 1344.149, 2440.574, 1287.432, 3434.56, 2860.655
16.2, 58.08067, 930.3062, 951.279, 697.5931, 25.44435, 237.487, 1275.253, 2429.62, 1294.707, 3210.414, 2830.346
16.3, 54.89047, 883.9585, 896.0012, 655.942, 24.31213, 223.8314, 1238.001, 2534.442, 1397.106, 3258.187, 2787.898
16.4, 51.8755, 839.9199, 850.6121, 616.7777, 23.2303, 210.961, 1211.724, 2417.716, 1367.075, 3045.551, 2871.642
16.5, 70.22723, 883.7184, 975.3446, 579.9518, 22.1966, 198.8306, 1196.071, 2401.878, 1298.752, 2963.815, 2805.576
16.6, 66.36986, 839.6917, 918.6684, 612.696, 21.2089, 245.939, 1134.765, 2393.755, 1407.399, 2909.77, 2659.073
16.7, 62.72436, 797.8584, 865.2856, 576.1138, 20.26515, 231.7974, 1201.647, 2267.636, 1372.035, 2895.37, 2520.221
16.8, 59.2791, 779.7094, 815.0048, 541.7158, 19.3634, 219.3279, 1143.674, 2148.162, 1303.464, 2984.63, 2388.619
16.9, 56.02308, 740.8644, 767.6457, 509.3716, 18.50177, 218.3239, 1085.053, 2608.357, 1289.445, 2789.847, 2330.572
17, 52.9459, 703.9547, 723.0386, 481.2737, 17.67849, 205.7702, 1029.437, 2857.813, 1247.9, 2727.985, 2341.022
17.1, 50.03774, 669.8641, 775.5604, 452.5383, 16.89183, 193.9383, 976.6719, 3000.76, 1185.533, 2549.952, 2218.778
17.2, 47.28932, 636.4916, 789.8788, 425.5186, 16.14019, 182.7867, 926.6111, 2930.861, 1126.282, 2447.052, 2196.265
17.3, 44.69186, 604.7817, 743.9799, 461.5935, 15.42198, 172.2764, 879.1163, 2929.455, 1200.208, 2287.353, 2321.954
17.4, 42.23707, 574.6516, 700.748, 453.235, 14.73574, 162.3704, 834.0558, 2775.112, 1140.225, 2400.873, 2200.706
17.5, 39.91711, 568.9138, 660.0283, 426.1737, 14.08004, 153.034, 791.3051, 2906.818, 1171.422, 2244.187, 2244.952
17.6, 37.72459, 540.5705, 621.6747, 400.7282, 13.45351, 144.2345, 750.7456, 2753.667, 1112.877, 2194.821, 2127.724
17.7, 35.65249, 634.2776, 585.5499, 400.8062, 12.85485, 135.9409, 914.5037, 3416.041, 1057.259, 2476.999, 2462.912
17.8, 33.69421, 692.2514, 575.2606, 376.8753, 12.28284, 128.1242, 867.6295, 3390.007, 1004.419, 2487.168, 2704.369
17.9, 31.84348, 657.7636, 692.453, 364.131, 11.73628, 120.757, 823.1578, 3279.941, 954.2208, 2324.85, 2563.151
18, 30.09442, 742.902, 652.2153, 342.3898, 11.21405, 113.8134, 866.1653, 3234.417, 906.5311, 2367.519, 2650.194
18.1, 28.44142, 705.8907, 629.1807, 321.9467, 10.71505, 107.2691, 821.7687, 3510.253, 918.6694, 2456.156, 2511.805
18.2, 26.87922, 670.7234, 592.6197, 302.7243, 10.23825, 101.1011, 779.6478, 3821.769, 921.0823, 2295.863, 2593.52
18.3, 25.40282, 637.3081, 569.3868, 284.6496, 9.782672, 95.2877, 806.8336, 3674.249, 875.0488, 2146.03, 2458.09
18.4, 24.00752, 605.5575, 651.4834, 267.654, 9.347365, 89.8086, 779.6868, 3572.684, 873.2866, 2005.976, 2436.936
18.5, 22.68886, 575.3887, 613.6264, 251.6732, 8.931429, 84.64456, 739.7227, 3403.444, 866.9139, 2100.06, 2345.496
18.6, 21.44263, 552.7764, 1335.4, 236.6466, 8.534001, 79.77744, 701.8071, 3387.882, 943.834, 2094.005, 2494.774
18.7, 54.89784, 528.8214, 2053.485, 222.5171, 8.154257, 75.1902, 778.5986, 3270.524, 954.8495, 2069.798, 2435.041
18.8, 51.88247, 502.4756, 2037.808, 244.8579, 7.791411, 70.86671, 901.7703, 3206.354, 966.1738, 1934.719, 2352.303
18.9, 49.03272, 532.4197, 2172.584, 230.2382, 7.444711, 66.79184, 924.3569, 3211.536, 1161.207, 1808.455, 2291.561
19, 46.3395, 505.8947, 2106.642, 216.4914, 7.113438, 62.95127, 876.9777, 3121.975, 1103.172, 1690.432, 2369.688
19.1, 43.79422, 480.6911, 2019.852, 203.5653, 6.796906, 59.33154, 832.0269, 3103.917, 1048.039, 1717.108, 2300.897
19.2, 41.38873, 456.7432, 1990.176, 191.4111, 6.494459, 55.91994, 789.3801, 3004.549, 1102.446, 1656.395, 2257.286
19.3, 39.11538, 433.9883, 1874.529, 179.9825, 6.20547, 52.70451, 748.9193, 2883.882, 1082.369, 1607.352, 2242.875
19.4, 36.96688, 446.1718, 1858.057, 265.0717, 5.929341, 49.67398, 710.5323, 2833.759, 1028.275, 1549.148, 2125.756
19.5, 34.93641, 423.9436, 1796.291, 269.1566, 5.665499, 46.8177, 674.1129, 2839.808, 976.8842, 1555.378, 2115.69
19.6, 33.01745, 402.8228, 1718.811, 312.8258, 5.413397, 44.12566, 639.5602, 2753.841, 928.0619, 1499.306, 2039.323
19.7, 31.2039, 382.7543, 1618.932, 294.148, 5.172513, 41.58841, 606.7786, 2744.86, 881.6796, 1401.458, 1932.833
19.8, 29.48997, 363.6855, 1524.858, 276.5853, 4.942348, 39.19705, 575.6773, 2616.082, 1016.127, 1434.068, 1978.882
19.9, 27.87017, 345.5668, 1514.464, 322.8661, 4.722425, 36.9432, 546.1701, 2661.125, 1095.017, 1340.478, 1875.548
20, 26.33935, 328.3507, 1426.46, 303.5887, 4.512288, 34.81894, 605.6357, 2520.919, 1040.291, 1252.996, 2011.663
