 , C01, C02, C04, C05, C10, C12, C13, C43, C52, C55, C62
Time(s)/Cell Status, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted
244, 157.4907, 296.8811, 110.2649, 0.4429459, 141.4064, 912.2048, 455.6589, 2934.38, 172.1738, 2906.63, 1034.847
244.1, 148.8402, 282.0905, 103.8575, 0.416499, 135.1142, 859.7526, 432.3034, 3115.714, 163.569, 2820.529, 980.8094
244.2, 140.6649, 268.0368, 97.82243, 0.3916311, 129.1019, 1032.034, 410.1451, 3002.94, 155.3942, 2636.456, 929.5932
244.3, 132.9386, 254.6833, 92.13808, 0.368248, 123.3572, 972.6919, 389.1225, 2844.725, 147.628, 2655.236, 971.3385
244.4, 125.6366, 241.995, 86.78403, 0.3462611, 117.8681, 916.7616, 369.1774, 2805.298, 140.2499, 2619.78, 920.6168
244.5, 118.7358, 229.9389, 81.7411, 0.3255869, 112.6232, 864.0473, 380.8849, 2788.278, 133.2405, 2514.797, 1024.343
244.6, 112.214, 218.4833, 76.99122, 0.3061471, 107.6117, 814.3641, 383.0806, 2834.386, 126.5815, 2584.588, 970.8531
244.7, 106.0504, 207.5985, 72.51734, 0.287868, 102.8232, 767.5378, 398.464, 2800.135, 120.2552, 2537.918, 952.1588
244.8, 100.2254, 276.3982, 68.30344, 0.2706803, 98.24785, 780.1295, 378.0402, 2695.781, 114.2452, 2429.103, 1076.569
244.9, 94.72031, 293.455, 64.3344, 0.2545188, 93.87605, 783.6828, 358.6631, 2718.503, 490.3803, 2321.53, 1020.352
245, 89.51761, 308.1711, 60.59599, 0.2393222, 91.88946, 738.6206, 400.1183, 2698.632, 465.8723, 2280.572, 1021.618
245.1, 84.60068, 361.9391, 57.07483, 0.225033, 87.80058, 760.6144, 387.814, 2556.45, 624.1743, 2282.405, 968.2704
245.2, 79.95382, 343.9074, 53.75827, 0.211597, 249.2805, 716.8787, 452.162, 2613.424, 592.9796, 2133.451, 1074.552
245.3, 75.56219, 326.774, 50.63443, 0.1989632, 238.1881, 694.5588, 457.2066, 2498.264, 563.3439, 2086.72, 1018.44
245.4, 71.41179, 446.4741, 47.69212, 0.1870837, 232.0655, 654.6213, 433.7718, 2491.381, 651.1867, 2099.574, 965.259
245.5, 81.01128, 424.2308, 44.92078, 0.1759135, 221.7391, 616.9803, 411.5382, 2466.725, 778.6308, 2078.448, 1101.708
245.6, 87.75072, 490.4263, 42.31048, 0.1654103, 211.8722, 581.5036, 469.025, 2336.761, 739.7167, 1942.805, 1044.179
245.7, 168.0638, 526.3676, 39.85186, 0.1555341, 328.3837, 548.0668, 444.9844, 2626.274, 750.1868, 1906.561, 989.6534
245.8, 243.9026, 500.1441, 37.53611, 0.1462477, 428.1358, 516.5527, 422.1761, 2585.631, 889.3362, 1782.135, 937.9754
245.9, 245.3126, 729.0442, 45.29924, 0.1375157, 409.0847, 486.8506, 427.2404, 2449.403, 844.8893, 1665.83, 1001.089
246, 231.8383, 739.4938, 42.66695, 0.129305, 390.8814, 489.0416, 439.4774, 2425.577, 871.0082, 1673.574, 1022.051
246.1, 219.1041, 702.6524, 40.18762, 0.1215846, 373.488, 460.9214, 622.3202, 2367.612, 875.5599, 1627.765, 1072
246.2, 207.0694, 667.6464, 37.85236, 0.1143252, 356.8687, 434.4182, 590.4222, 2295.466, 883.6551, 1521.534, 1245.379
246.3, 195.6957, 799.1323, 35.6528, 0.1074992, 340.9888, 409.4389, 576.0598, 2403.019, 839.4921, 1574.01, 1384.918
246.4, 184.9467, 766.4948, 33.58105, 0.1010807, 325.8156, 385.896, 546.533, 2322.499, 942.4595, 1471.287, 1312.6
246.5, 174.7881, 728.3082, 31.6297, 0.09504551, 311.3176, 363.7067, 518.5196, 2267.253, 895.3576, 1752.646, 1244.058
246.6, 165.1875, 692.024, 29.79173, 0.08937063, 297.4646, 342.7934, 491.9421, 2147.799, 850.6098, 1638.265, 1179.095
246.7, 156.1143, 657.5475, 28.06056, 0.08403458, 284.2281, 323.0826, 466.7269, 2138.6, 808.0984, 1531.349, 1117.525
246.8, 147.5394, 624.7886, 26.42999, 0.07901714, 271.5806, 304.5052, 442.8041, 2121.601, 767.7115, 1431.41, 1059.17
246.9, 139.4355, 593.6617, 24.89418, 0.07429927, 259.4959, 286.9959, 420.1075, 2009.821, 729.3431, 1337.994, 1003.862
247, 131.7767, 564.0856, 23.4476, 0.06986309, 247.9489, 270.4935, 398.5743, 1903.93, 775.2369, 1250.674, 951.4418
247.1, 124.5386, 535.983, 22.08509, 0.06569178, 236.9158, 254.94, 378.1448, 1864.022, 736.4924, 1169.052, 901.7591
247.2, 117.6981, 509.2804, 20.80175, 0.06176952, 226.3736, 480.5194, 358.7624, 1765.812, 699.6843, 1092.758, 854.6708
247.3, 111.2333, 483.9081, 19.59298, 0.05808146, 216.3004, 668.5439, 340.3735, 1774.505, 664.7157, 1021.443, 810.0413
247.4, 105.1236, 459.7999, 18.45445, 0.05461359, 206.6756, 630.1023, 322.9272, 2058.364, 631.4948, 954.7812, 767.7423
247.5, 99.34946, 436.8928, 17.38209, 0.05135278, 197.479, 675.615, 306.3751, 1949.915, 599.9342, 892.4704, 727.6521
247.6, 93.89249, 415.1268, 16.37203, 0.04828667, 188.6916, 636.7668, 290.6714, 1934.824, 666.0956, 834.2261, 689.6553
247.7, 88.73526, 432.8347, 15.42067, 0.04540362, 180.2953, 639.7214, 275.7726, 1922.844, 632.8058, 779.7829, 653.6427
247.8, 83.8613, 411.2709, 14.52459, 0.04269271, 172.2725, 602.9371, 261.6374, 1821.536, 601.1797, 728.8928, 619.5106
247.9, 79.25505, 390.7815, 13.68058, 0.04014366, 164.6068, 568.2679, 248.2268, 1725.565, 571.1342, 904.5576, 587.1608
248, 74.90181, 393.0768, 12.88562, 0.0377468, 157.2822, 642.189, 282.7028, 1634.651, 542.5903, 956.7384, 556.5002
248.1, 70.78768, 474.1146, 12.13685, 0.03549306, 150.2834, 605.2628, 399.1467, 1808.711, 747.9524, 1253.183, 756.0696
248.2, 66.89953, 478.9184, 11.43159, 0.03337388, 143.5962, 570.4599, 408.8825, 1713.416, 755.8889, 1285.034, 982.4304
248.3, 63.22494, 517.6554, 10.76731, 0.03138123, 137.2065, 537.6581, 387.9247, 1770.901, 867.1684, 1362.879, 1113.582
248.4, 59.75218, 491.8659, 10.14164, 0.02950755, 131.1011, 506.7425, 368.041, 1749.86, 823.8294, 1273.935, 1055.432
248.5, 56.47017, 521.6727, 9.552317, 0.02774575, 125.2674, 477.6045, 471.0371, 1657.665, 782.6564, 1190.795, 1114.262
248.6, 53.36843, 495.683, 17.62225, 0.02608913, 119.6933, 450.142, 446.8934, 1570.328, 743.5411, 1533.627, 1203.045
